O00142 Q8N4B1
Q6XPS3 O75306
Q9H8Y1 Q96KS9
Q8N9F8 Q96DS6
Q9HAH7 P63119
Q15691 Q96C12
Q96EA4 Q13247
Q95604 O43924
O94850 Q9H8Y8
Q96DF8 Q9HBF5
Q92959 Q8WVE6
P48307 Q8WTX7
Q96KN9 Q9BRB3
Q8TF66 Q9BYQ5
Q9UJV8 A6NL08
A6NC57 Q8N9W6
Q6ZQT0 Q9H3K2
Q9NVR2 Q96NR2
Q99678 O75829
Q86YJ5 Q4G0N7
Q9BZG1 Q86XD5
Q8N446 Q9NYW5
Q9BUN1 Q9BQL6
P34059 Q6HA08
P01019 Q9NR56
Q96LZ2 Q5VVS0
Q5JQC9 Q9BU61
P11908 Q8N6N3
P24534 Q8N7Q3
P35713 Q8N8Y2
Q15835 Q9NRM0
A6NFQ7 Q96PV7
Q9H2J7 Q3KNS6
Q9NR71 P42575
A0PJX4 Q96R45
Q7Z6Z6 Q96LB2
P28066 Q9Y691
Q13268 O96018
Q9NRP2 Q13098
P12644 Q9BW85
Q6PP77 Q9UMX5
Q9Y3M9 Q8IUC0
Q7Z4H8 Q9H981
P09466 Q9Y4L5
Q9GZW5 Q8N813
Q9NXA8 P29120
O15481 Q9UJX6
Q9UKP3 Q5K4L6
P16402 Q96CT7
O14732 Q0VAA5
O60260 Q96T53
Q9UHY1 Q9BVA1
Q9HBI5 Q8TB45
P01889 Q9H7E9
Q04900 Q8N831
Q9UDX4 Q9NRG0
Q9H772 P62318
Q14774 Q8NFP7
Q9UH03 Q5VV41
Q5T699 Q9H3Q3
Q96PB7 Q15554
Q5MNZ6 Q9NPF5
Q9BYE0 Q86X52
P01148 Q7Z6I5
P34982 Q9NW07
Q12794 A6NKX1
P04222 P35410
Q9H6X2 Q99453
Q9BV99 Q8TEA8
Q8N0U4 Q8N1L9
Q14154 Q86Z23
P42261 P59646
Q96BW1 Q6EEV4
Q8N205 Q96RK4
P62308 Q5VV42
Q9UIK4 Q16560
P50995 Q03426
Q99807 O43678
O00422 Q6P9F5
P04141 D6RJB6
Q9NPJ1 Q6TCH7
P22695 P61964
Q86Y29 O14613
Q13470 Q9NUL5
Q8N5K1 Q6NUN9
Q96M60 Q8N0Z9
P21583 Q6NUN0
O43318 P0DOX4
P55107 Q9NRD5
Q8IXR9 Q9HA72
Q9BYT5 Q8N8G6
Q8IWR1 Q86YV9
P19086 P09917
Q8N4C7 Q9H425
Q0VD86 P32119
P20963 P43405
O43676 O75419
Q9H4G0 O60675
Q99643 P42574
P08861 Q9UND3
Q9BZW5 P80294
P0CL84 P56179
Q08AM6 P0CJ71
P20472 Q8WW32
Q9NZI2 Q6UXN2
P35452 Q9UGJ0
Q92765 Q9GZS3
P78396 Q9H5Q4
A6NJG2 Q9UJU5
O75689 P0DP01
P10124 Q8NCS4
P50616 Q9H1M0
Q96MT0 P48645
Q00987 Q16819
P00747 P04216
O15204 O15245
Q9Y6H3 Q6ZNG9
Q9BSA4 Q15562
Q9HCL3 P31371
Q9BTK2 Q6P0N0
Q9HAW0 Q01453
Q29983 P30498
O15392 Q969S9
Q5TA77 Q969J3
O15354 Q96NR8
O95267 Q6ZMB5
Q9NX70 Q9NYX4
Q9NWW7 Q2TAM9
Q96FN5 Q6ZUJ4
Q6ZU80 Q96S95
Q9BPZ7 Q9Y5K8
Q6ZRP5 Q8NBJ9
P51582 Q9Y2R2
P01858 O43815
O43559 O96005
Q5H9E4 Q9P2H3
Q96E09 Q8NB42
Q5JRS4 Q8TCG1
P30511 Q99689
Q7RTU7 Q6P995
P00797 Q6ZUV0
O75607 O00270
Q9NS67 Q7Z6I5
P0CE67 P43166
Q8NHV1 Q9BQG1
P30487 Q9ULD5
P35637 Q7Z569
P0CJ88 Q9Y6U3
Q6UWP7 Q96FZ5
P54727 Q64ET8
O95279 P21912
Q5JU69 Q96AB3
Q6RFH5 Q9UFP1
Q9BQ61 Q9Y576
Q9NUB4 Q96M19
P0C5Y4 Q9NV96
Q12980 O75896
Q6NXP0 Q96E66
P23921 Q5U649
Q9C0D7 Q9UKJ5
O94772 A0A0G2JMI3
Q86YN1 Q9Y3F1
Q96D21 Q06250
A8K554 Q96P71
Q5TA82 Q96IL0
Q9UBN6 O76064
Q9NW82 O60938
P52565 Q9NP86
Q14728 Q96M91
Q8NFK1 Q96KW9
Q86Y29 Q6PF05
P17026 Q15486
P35625 Q96F85
Q96EQ8 O14730
P07202 Q5VZ03
A2RRD8 Q7Z5A8
Q5GH70 Q2NL68
Q6PGQ1 Q9BZJ6
Q8IVG9 Q86VU5
P06729 Q9NQG5
Q9Y5B8 Q8N7R0
Q96FA3 Q99619
Q86WA9 Q86U70
Q9NUU7 O00571
P17181 Q8NH16
Q96AB3 Q8IWB1
P03923 P30049
Q9H237 Q86VZ6
Q8WV15 Q9H205
P08754 Q96EF6
Q5SY16 P02743
Q6PKH6 Q96PU4
O76050 P0C7V8
Q96T91 Q8NGR3
Q8N1H7 P54920
Q6DD87 Q2M3C6
O43159 Q9Y262
P07910 Q8NCV1
Q9UBM1 O43281
P15259 Q8IXQ9
O95922 Q17RA5
O95398 Q7RTT6
Q658K8 O95267
Q5PT55 O75427
Q2VIR3 Q5T7P6
Q969K4 Q9UQ07
P31358 P22352
P11844 Q96NW4
Q9H9T3 Q5T5F5
Q9BX74 Q9Y484
O95751 P98082
Q96GQ5 Q9BQ66
Q6F5E7 Q86WK9
Q9BTL3 Q7Z4H8
Q8IVB5 Q07960
Q8TEA8 Q8N6R0
P02794 P15085
Q02223 Q8NEC5
Q01459 Q99436
Q9UQ49 Q96RD0
Q8IYN0 Q13515
O43603 Q53GD3
Q99623 Q14331
Q9Y6W6 Q53S58
Q8NGW6 A6NNA5
O60931 Q8N7M0
Q96N53 Q8TD22
Q9NVV9 Q9BPY3
Q5TD97 Q9H707
Q8IUK8 B1ANY3
Q6S8J7 Q9NXF8
Q9P2W6 Q15819
Q7Z6W1 O14966
Q6P435 Q9BVI0
Q9H4I2 Q9H444
A6NI47 Q9H347
Q5CZA5 O00189
P48307 Q8N8E1
Q5T0T0 Q8TC84
Q9UNE0 H0YL09
Q96BD8 Q9UP65
P12277 Q6J272
P09486 Q9BYN8
A8MTL3 Q8N4M7
Q7L622 Q6P474
Q8IYW5 Q96EB1
Q9BRK4 Q147X3
O75678 Q6FI81
P83731 Q13241
P0DKB6 P68402
Q8NGF8 Q96T21
Q6ZRF8 O60493
Q96KX2 O75569
Q9Y6E2 Q6ZNR0
Q9H7Z7 P20962
Q6P7N7 O43325
Q01113 Q969M1
Q712K3 Q9NVV5
Q9BU40 Q9UKL6
P07954 Q8NGN0
Q9UJD0 O75781
Q17R60 Q9UGQ2
Q53T59 Q8N7S2
Q86TY3 Q96BQ5
Q8N9T2 Q3B8N2
P49914 P20774
Q8N5U0 P0DOX7
P0DMB2 P01854
Q9NX52 Q99581
Q9P2N2 Q9NRR2
Q9NPD7 O14901
A0A1B0GTR0 Q7Z5M8
Q5TEC3 Q9H1J5
P32929 Q8WVV4
Q8WV41 O15514
Q15024 P59044
Q969E8 A5D8W1
A6NC97 A6NKU9
P09234 Q9UHF4
Q9NY72 Q16518
Q9H2X8 Q9H3M0
Q8IZF4 Q969R8
A6NJG6 Q9UNW1
Q9NQ94 P61970
Q6ZRR5 Q9BYS1
Q8N9K7 Q14137
Q8N1L1 P12314
Q9UI95 Q92837
P30042 Q9UI72
Q9NP92 Q9H3H3
Q96GE5 P09497
P05141 O60397
Q8N5I3 Q5SZQ8
Q9N2J8 P16422
Q6NS38 O75815
Q05C16 A8MV72
Q6F5E7 O15496
Q9UKD1 Q9P2C4
Q8IX15 Q9UKL4
Q86VP1 P07988
Q96MU6 P01566
Q499Y3 Q6UW32
P11226 P07202
Q86YQ8 Q7Z692
Q9HB71 P01569
Q9BQ48 Q96S94
Q96KT0 O95178
Q5GH77 Q02086
O95257 P30042
P41222 A0A075B6K6
Q8N1D0 Q96HL8
Q01113 P22309
Q10586 Q14525
Q9Y5X0 Q8MH63
Q9HC07 O95475
Q9BS86 Q9ULC4
Q6S5L8 Q9BTV4
P18669 O60299
A1A580 Q9P246
A8MUP2 P12525
Q9BVW6 A6NKD9
O14901 A6NLU5
O95298 Q7RTT9
Q96B01 P63122
A0A0B4J1V6 P0DN78
Q9NRW3 P13674
Q86UA6 Q9BPX3
Q6NW29 O43741
P09661 Q13571
Q9BY43 P60174
Q96DT6 O95965
Q96K62 Q9GZZ7
P98172 Q96AD5
Q6B9Z1 A0A0B4J1Z2
Q9Y478 O15499
P10606 P33241
Q9Y678 P28676
Q8N8J0 Q96GY0
Q8NG84 Q71UM5
P30486 Q96N35
Q9H3F6 Q8N5X7
Q15005 A0A096LNP1
Q9P1A2 A0PJX8
Q9H175 Q3LFD5
P51149 Q8N184
Q9NYK5 Q9NUQ8
Q5JSS6 P20749
Q96HN2 O00168
Q8N2K0 Q7Z3Y8
Q8N4K4 Q11201
Q9BRJ7 O43914
Q6ZV56 Q9BWC9
Q01726 Q6ZMV8
P56377 Q2TBC4
P22528 Q8NEP3
P11150 Q9NVC3
Q9HCY8 Q9NQR9
Q52MB2 O15234
O75954 Q9UL19
Q9NTQ9 Q9UBX7
Q9H2S6 O14905
P83881 B1AKI9
Q9NRK6 A6NMN3
Q86YR5 Q86YW5
Q6PEX7 Q68DY9
O95352 P54252
Q8WVV5 Q07812
Q9H2C5 A8MT69
Q9BYQ8 Q8IUD6
P01858 Q96B49
Q902F9 P58294
Q9UQ80 Q02878
Q9BPW4 A4D1N5
Q96CF2 Q96BI3
Q9NQG7 Q9Y619
Q96GW9 A6NDA9
Q8WW33 Q8N966
Q8NGB2 P19652
O60755 Q5M7Z0
P21926 Q8N130
P17031 P36969
P50052 Q6IE38
P98187 A1L453
Q5TAB7 Q5TGI0
Q8NH19 Q6P2I3
P30740 P33992
Q9H095 P60484
Q6ZV77 Q9BT40
P51948 O95292
O95619 Q9BTT6
Q8IY26 Q8TAG9
Q9NS67 Q9UBX1
Q15077 P56381
Q9HC57 Q96RP7
Q00169 Q9NXW9
Q9H8X2 P34913
D6REC4 Q92930
P15509 Q8NEZ2
Q9NPJ3 A6NNE9
P42126 Q9NQ32
Q9H477 Q6P1R4
Q8NEL9 O75409
P08034 P58550
P10415 Q7Z434
Q8NFH4 Q8NI17
O60224 P24557
Q12962 P60510
P11309 Q7Z7F7
Q16650 Q92963
Q9HD47 Q14451
Q7L5A3 O95619
Q9Y5E2 O43852
Q9UK97 Q8NGP2
O95363 P61009
Q8TBK6 P98194
Q8N1A6 Q9H255
Q8IWT1 P30793
P0DMT0 Q8WW36
Q08499 P10265
O60756 Q9UK76
O75553 Q9H6D3
Q69YU3 Q8IY84
Q5MAI5 Q8N4E4
P34913 O76003
Q92686 O00155
Q8N988 Q5XKE5
P56851 Q4VXF1
F5H4B4 Q8IV77
Q8NBP5 P84074
Q8WVX3 Q9BQY6
Q7L5A3 Q9UJV9
O95551 O95363
Q8N1Y9 Q9UKX7
Q9Y6W8 Q8WU79
O00189 Q68DH5
P40425 Q8WVD3
Q6ZSI9 P28472
Q9BRT6 P30510
Q9NS69 O00628
P60520 Q8WVX3
O95067 Q96PU8
Q7Z6J4 P55075
Q5VIY5 Q9C0D0
Q00169 O95407
Q7Z3K6 Q5NUL3
Q9NUM3 Q6UXV0
Q96T92 Q9H6T3
A6NK59 Q2TAM9
A6NNE9 Q9NPJ3
P07910 Q8N7X2
P19086 Q03014
Q7L523 Q8NGS2
P52849 A8K554
O00391 O75554
Q99437 Q9UF11
P08236 Q9HB14
Q9Y224 P31943
P15259 Q9UI25
Q9Y4A0 Q6PIU1
Q99593 Q9BWP8
Q6ZSN1 P01701
P49758 Q6ZRP7
Q86WG3 P82909
P53602 Q5T0B9
Q96RR1 Q8TB40
P07602 O60688
Q8TDC3 P52657
P09622 Q96M34
P57730 Q9H2Q1
Q86TG1 Q9UPY5
P31689 Q92485
A6NM03 Q9Y6D9
O75159 O60870
Q14995 Q96F86
P31946 O60662
Q96DA6 Q8N8D7
P56557 A2RUB6
P55773 P49354
Q9Y5Q9 Q8IX29
Q6I9Y2 P35408
Q9GZU7 Q2WGJ6
O43614 P07237
A8MYZ0 Q6NT16
P46108 A0A0B4J1Y9
O60756 Q99502
Q9H598 Q12796
O00451 P17050
Q8N129 Q9H5V7
Q9NRY7 Q9UKF6
Q9ULJ1 P49771
I0J062 Q5U5X8
Q7Z3Z2 Q96EW2
P0DMQ5 Q495X7
Q15842 Q96CW9
Q8IYB9 Q6NT16
Q92914 P0DMV2
Q9NS84 Q9Y6G3
Q8IXW5 Q14186
O43818 Q9HA82
Q8NHM4 Q5T0F9
Q9H091 Q9NZK7
Q5SV17 Q9NX40
P30455 P13765
Q5VZY2 Q9NP86
P20848 O76080
Q6P499 Q5XG92
O43196 Q9UGM6
P62955 Q6NVY1
P51511 Q14012
Q86W33 Q9BYC5
Q9NVM1 Q8NHB7
Q9Y6G3 Q9NS84
Q5JRM2 P24385
P05062 Q7L5Y1
P22004 Q6WBX8
P19022 Q9H426
Q96G23 Q8N9Q2
P09496 P04066
Q96QG7 Q9UKU7
Q9UJV8 O43869
Q9UBC0 P42166
A6NM03 Q8NA47
Q6IPM2 P23582
A6NIJ5 Q96N21
Q5MAI5 Q96KV6
P35080 Q9H6Y5
P0DN78 A0A0B4J1V6
Q9H7L2 Q8NE35
Q00765 Q14409
Q9ULZ2 O95249
Q8WTX7 Q99954
O96020 A4D1U4
Q7Z5W3 Q9Y573
Q8N0Y7 Q9Y662
P35227 P08708
Q5T0U0 Q5VZM2
Q8WZ71 Q96A84
O75593 Q5JUR7
Q8TEQ0 Q9BV99
Q7Z7D3 Q9Y271
Q10586 O43261
Q5JTZ9 P28072
Q53HI1 Q9BSL1
Q96F85 Q9H2P9
Q7Z7J7 Q8NCR6
A6NL26 O95007
Q8TD08 Q13895
P27694 Q8TCG2
P23396 A6NGU5
Q5VYX0 Q6ZMD2
Q99952 Q04826
O75354 Q96QV1
Q5SR56 Q9UHG3
P15104 Q15907
Q8IYA7 Q9Y484
Q5T292 Q86XM0
Q9BUL9 O00453
Q16674 Q9P0J1
Q03936 Q9Y616
Q9UHD8 Q9H7X3
P37058 P45452
O00213 P23771
Q7Z422 Q9Y4X4
Q8TC20 O95336
P07492 Q5T1J5
P18031 Q9Y3U8
P40429 Q8TAX7
P30519 Q9P2U7
Q9HBE5 Q96MF0
Q9HBF5 Q96DF8
Q9P0J0 P16671
Q8WX77 Q8IXB3
Q9BT81 Q9H0F7
Q6RW13 P0DOX7
Q8TE85 Q9NVC3
Q8N127 Q96P56
A8MW95 P81408
P30419 P15259
Q8N752 P62891
Q9BRZ2 Q29865
P0CAT3 P31689
Q13586 Q8WVY7
A6NF89 Q9BWU1
Q9Y3C8 Q969K4
O15488 Q9NQ87
Q9BVK6 Q86YB8
P28330 Q9P000
Q8N6T0 P10301
Q96CW1 Q92466
Q9NQZ3 Q9Y2V3
P58546 Q9Y4E8
Q06413 P27482
Q9NQG7 P31273
P33032 Q6IE81
P0CL83 Q9H7M6
Q99705 Q9H1J5
A8MV23 P07492
Q86VD9 Q9GZX3
P01892 Q9UKR0
P41218 Q13416
Q9BQ66 Q3LI66
Q9HCG1 O60902
P04150 Q9NXR7
Q92527 P07288
Q8N6T7 Q8N0T1
Q8TE67 P13378
Q01518 P18848
Q9Y5K1 Q2I0M4
Q4W5G0 Q8NFZ5
Q6PH85 Q9UI46
Q6ZTC4 Q5JTB6
P62256 Q9NRP0
Q9P107 A2RUU4
P30043 Q96KC2
Q9NVX0 Q8NGL4
Q13643 Q14247
Q9GZN6 P63124
A6NK59 Q8NG99
P20848 Q7Z444
Q16222 P07947
Q9NV29 Q9GZR1
P16278 P19256
Q96E40 Q13547
Q5SQS7 Q9BXS5
Q9Y5N6 Q15833
Q9P0S2 Q5MJ10
Q9BZW8 Q494X1
Q5JXC2 Q9P2E8
Q6ZV70 Q15583
Q538Z0 Q9Y5X0
Q9BQD1 Q8NA72
P15531 Q8NEF3
Q58FF6 Q92847
Q7Z7K0 Q8NBS3
Q8TDR2 O15527
Q08AN1 Q6PL45
P50549 Q8NGK6
P01763 O75346
O75688 Q6NZI2
Q9NRB3 Q9H6L4
Q96LS8 Q8NG77
Q6P3S1 Q8TE69
Q8NH21 P0CL84
Q96T54 Q96JM7
Q9H6W3 P01624
P0CJ85 P17706
Q86YB7 Q5TFE4
Q8N112 Q8NGV0
Q8IVG9 P05093
Q07820 Q8NGI9
Q96T76 Q9NQ50
Q7RTT4 P01703
Q9H1E1 O95873
Q9BVH7 Q9BZ19
Q8TAS1 Q6ZSN1
Q08554 Q6ZVS7
Q13033 P40855
Q9H1J7 Q6ZN19
P33981 Q9BSH5
O75192 O43505
Q92876 P55291
P60602 O00471
Q9BYD5 O75344
Q569K4 P36222
P52298 P32119
P78352 Q6PIF2
Q96QR8 Q9Y2T5
Q16581 Q8N2W9
Q9H8N7 Q9H040
Q99608 Q8NH18
Q52WX2 Q5VYV0
Q969R8 Q8IZF4
O14807 Q05639
Q8IWT1 Q13361
Q13158 Q8NI17
Q96H15 Q93075
Q6PRD7 P01743
P55895 Q9NPH3
O95744 Q7Z3I7
O60930 Q5T871
Q5VV11 Q92619
Q5JRS4 Q8N7R1
Q9NQG7 Q96DT0
Q70YC4 B2RV13
Q9GZW5 O75380
P09172 P27797
P54821 Q8IUF1
Q8TCH9 P40424
Q6UXH8 Q7Z4U5
Q8NCL4 Q9Y2T5
Q9UGR2 Q8TBE3
Q9UJC5 O00175
P43034 Q6ZSB3
P06729 Q5VTH9
Q9BUL8 B7ZAQ6
Q96T55 P35606
Q96FK6 Q9UF72
Q9H7X2 Q9H4P4
P61758 Q9NW07
P13761 Q96EL1
Q9UP65 P06703
Q8IXS0 P29033
Q7Z388 O95295
Q9UHC3 Q6ZMV7
Q8N998 Q9UFN0
Q9NS18 Q8NHU3
Q13563 O15428
P54107 Q2M3T9
Q6UVY6 P05230
P35325 Q96R54
Q5MIZ7 Q9P0W2
Q8N9W4 O95470
Q8N162 Q9NP80
P12272 Q8N9T8
Q9H165 P31415
P80162 P25685
Q8TAT8 Q69YQ0
O43255 Q8N957
Q8IV03 O14893
P54821 A8MXK9
O96013 Q9H7B7
P59044 P20645
Q8NGS4 P52951
Q9NP73 P06703
O15049 A1KXE4
Q6GPH6 Q8N998
P05413 P57730
P20073 O60487
A8MTA8 Q9Y285
Q8NH19 Q9Y675
Q15119 Q4VX62
Q641Q3 P26038
A1L4Q6 P52735
Q53H64 Q5GAN3
Q9Y6R1 Q6IAA8
Q9BWG4 P01563
Q9NPH3 P33947
A0A075B6I1 Q8N0Y3
O15335 Q6ZVS7
P28482 Q96MB7
Q86W42 Q8N9X5
Q96LR2 Q8N726
O00522 Q96LR2
Q8WXH4 Q9BYI3
Q9UBS8 P40424
P61964 Q9UJT0
Q8NGZ0 Q9Y696
P51178 A0A0C4DH38
Q9NRW7 Q7L5Y6
P04070 Q96FT9
Q8WTQ1 Q5T0N1
Q8N0X2 P51817
Q14410 Q96S90
Q7L266 Q86YD1
Q8N4P2 Q9UJU5
O95976 P56696
Q9UJ96 Q86VY9
P17516 P01579
Q8IXQ5 O15205
Q9P2Y5 Q6ICG8
Q9BYQ3 Q5W0B1
Q6NVV9 P30559
Q5D0E6 Q14257
O75072 P17483
Q99259 Q8IWE2
Q12851 Q96NG5
Q4G0N7 Q13422
Q9P0K7 P13640
O75462 Q9NYG8
Q96EH8 Q4G0W2
O14933 P13489
O15355 Q8TAP8
Q32M92 Q9BWD1
A6NGY5 Q13232
Q8TB36 O95070
Q9P1J3 A6NHM9
A6NJV1 Q8NBT0
O14787 A6NEN9
P05089 Q7Z601
P04000 Q6ZMJ2
P47881 Q8N954
Q8WV15 A6NJG6
O15409 P29016
P11684 O43374
Q9H1M0 Q9BYM8
Q96CV9 H3BU77
Q9UDW1 Q8N910
P49959 Q9H9V4
Q5VWM6 Q9ULC5
Q8NEP9 Q9UJZ1
Q9UF12 Q8N9R6
Q7LFX5 P0CE71
Q9BRU2 O43298
P23528 P55017
Q12912 Q9HCP6
Q8N8D7 Q96DA6
Q92750 A8MZH6
Q8WVF1 Q16777
A6NKP2 O14753
O75610 Q15723
Q30KQ1 P20963
Q9BZY9 Q6UXN7
Q9BVW6 Q9BRT2
P62318 A0A0C4DH55
Q99990 P58304
A5PLL1 Q8NGX0
O43556 Q7Z6J4
Q9HC47 Q9Y228
Q86UP9 Q9UJV3
Q9NZD8 Q9H4E5
Q8N554 A6NHG9
P04155 Q9Y2T1
Q6IN84 O00221
P09467 Q9UGJ0
Q6ISS4 Q96EF9
Q6PF05 Q86Y29
Q3SY56 Q12799
Q96MV1 Q5JPI3
P49643 P20338
D6R9N7 P0C7V9
Q9HC73 P62495
P35575 Q9H2Z4
P21941 O60829
Q969J3 P09327
Q8IUB2 O14958
O94941 P0DI81
P04075 O43353
Q6ZMV7 Q5BKY6
A6NMN3 Q7Z7K6
Q15599 Q6UY01
Q9NP66 Q3B7J2
Q643R3 O94766
Q9BWL3 O43581
Q5T0N5 Q13242
Q9Y5A9 P59025
Q52LJ0 Q86Y22
Q9BX68 Q9HBI6
Q5VUE5 P26639
Q9H853 O43772
Q12934 P50151
Q6XPR3 Q14656
Q13950 Q6ZVU0
A4D1T9 Q5T6S3
Q15771 A0AVK6
Q8N9F0 Q8TB73
Q8NGY0 Q96DR8
Q8TCT6 Q9BSG5
P54108 Q9UK32
Q70IA6 Q8WUF5
O75600 Q9H5L9
Q9Y2Z0 Q5T3F8
O00478 Q53HI1
Q9Y3F4 P0CW27
Q9UIG4 Q07021
P62491 P55285
Q15392 Q8IVV7
Q99733 Q96RK1
P36021 Q6ZUX7
P0C2S0 Q96AX2
Q03154 Q6RFH5
Q2TAK8 Q8IZ57
P29122 C9JUS6
P10415 O94876
O95125 Q8WVD3
Q13387 P56181
Q96RB7 O15033
P04118 O95221
Q96IL0 Q9NYK5
Q9UL33 Q9NPE2
P10997 Q9BV68
Q9BY42 Q6MZZ7
Q96NA2 Q92541
Q86Y97 Q14019
Q12798 Q13033
Q5T6S3 C9JUS6
A6NDX4 Q8IW03
O75290 A6NEQ0
Q7Z3B1 P35414
P0DMM9 P51504
Q3KQZ1 Q6ZNB6
A6NGH7 P48546
Q9UNN5 Q02539
O14662 P34903
Q96A56 P60985
Q96NS1 Q96SI1
P30511 Q9UK97
Q658Y4 Q9BWJ5
Q86XF0 Q9GZS3
Q8N7B9 P42229
P49763 Q9H2A2
Q9H0N5 P06576
Q9NYB0 P36507
Q9UJW9 Q9P0N8
P06858 A8K5M9
Q9NZG7 O60237
O75310 Q9Y5Z6
Q92947 Q96HE9
Q8TAT5 Q8IXH7
P58876 Q6ZQT0
P63215 P00740
Q9NR23 O75712
Q6PIW4 Q8IYR6
P06315 Q5T4J0
Q96HB5 Q8NGD4
Q9H008 Q9UBM8
A9YTQ3 Q96HE7
A6H8M9 Q9BYJ0
P07237 O43614
Q96G61 Q8WW27
Q96K49 P09131
Q16842 P47974
Q8IVU9 P48995
P45984 Q6UWR7
Q86VE9 Q9BTV4
P49761 Q9BUJ0
Q8NGD4 Q96HB5
Q8WTQ1 O94772
Q13126 P08861
Q86WG3 Q12893
Q8NHQ8 P51793
P42696 P11021
Q8NGQ4 Q9GZY6
Q86SX6 Q9UJT9
O96018 P01906
Q86UQ8 P51861
Q9H2C1 Q96S95
Q9BQ49 P78410
Q9H1C3 O14863
Q07627 P51648
A8MVA2 O43597
O43653 Q9ULJ1
Q96DR5 Q8WTU2
Q86YD1 Q7L266
O43543 Q8WUQ7
Q8WXU2 Q499Z4
Q5I0X7 Q96IL0
Q9P0J1 Q16674
Q75N03 O14908
Q9UN75 Q9NVS9
Q7Z7B7 Q9UQK1
Q00887 P33552
Q8N5K1 Q96I59
P22362 Q96H79
Q6PJE2 Q6K0P9
A6NN90 Q9BY76
Q8WXW3 A6ND48
Q96CV9 Q7Z7B7
Q69YG0 P35637
Q15223 P01594
Q9BQ61 P0CG34
Q9BRQ0 Q6UXR8
O60939 P78364
B1AMM8 O95140
O75469 Q9BW83
O95972 P10606
Q9UJW8 P14921
Q9Y547 P80404
Q8TBM8 Q9H6L2
Q9UIK5 Q96S95
Q8WXI3 P0C7T2
O00746 Q52LG2
Q8N4S7 O43173
Q96PU4 Q92187
P61313 Q6ZN84
Q8NGF0 Q96M53
Q96HP8 Q5BLP8
Q9H089 Q6UWQ5
Q9NRW3 Q86TU7
Q9UKJ8 Q9BV23
P50221 O94921
P52757 Q99574
B7ZW38 O00560
Q12996 Q13069
Q86SH2 O75351
Q9P1Z2 O14718
Q86XT2 P13598
Q9NZJ6 Q9NVK5
Q5T8I9 Q7L8C5
O43665 P43363
Q8TCV5 Q86V81
O75348 O43586
O15522 Q9NPF5
Q9UJW2 Q8NH10
Q13825 Q16881
Q9NSG2 P05114
P21796 Q8N859
P56704 Q9Y2D4
Q8IUC0 P16860
Q10589 O94850
Q96EK2 Q53GQ0
Q701N4 Q8N0Y5
Q5H8A3 Q9UGP8
Q8IVS8 Q14653
A6NFE3 P59537
O43583 P39900
O95684 Q5T1B1
P52803 Q9BQY9
Q8N1N4 Q96DX4
P39210 A5YM72
Q96MN5 Q9NUG4
Q9NVM1 Q9BSE2
P78406 P52735
Q92681 P54274
P27469 Q8N9P0
Q8TBY8 P0DP02
A0A1B0GV22 Q8N8Y5
Q9ULV8 Q9BRL7
P16190 A8MU76
Q96K19 P25791
Q9HBL6 Q7Z444
P30740 Q8N9H6
P22888 Q5NUL3
P28161 Q96H15
Q9Y3D8 Q86XW9
Q06250 Q8NHS9
P05452 Q13278
Q6P5X7 A6NF89
Q9NS18 Q13133
Q9Y696 Q8NGZ0
Q96G79 A6NDE8
A6NJV1 Q8NHS2
Q96NZ1 P00505
Q8MH63 P17039
Q6EIG7 Q8N9M5
Q969L4 P04439
Q14500 F2Z398
Q9Y3Y2 O15511
P53708 P51671
Q6PGQ7 O75879
Q8NCR3 Q14982
A0PJZ0 O43612
Q00577 Q3SXR2
Q9Y5L5 Q8TCJ2
Q8NCQ7 Q8N7P1
P00709 Q9ULJ3
P53667 P59051
Q96C36 Q8TF30
P18669 P04279
P53677 Q5VSG8
Q92187 Q96PU4
P02654 Q96PK6
Q9H9L4 Q1T7F1
P17509 O43309
Q9HC23 Q8IYF3
Q8N1Q8 P49910
Q86YB7 Q96JZ2
Q96CT7 P60852
Q9BYR2 Q5T1C6
Q08050 Q9NX77
Q9H322 Q96CX6
Q9NY64 P26583
P20265 Q9BRQ5
O75638 Q92734
Q99435 Q5J8M3
Q9NPD7 Q9NY93
Q8N6N2 Q86YH6
Q86XS8 Q96BQ5
C4AMC7 Q8NGC7
A0A1W2PPG7 P49917
Q6PIU2 O15503
Q8WW12 P53365
P11086 O14543
O00548 Q8NGA1
Q9NSD7 Q9BR46
A8MTL9 Q9UMQ6
P0DJD3 Q5JXM2
Q6PDA7 O00757
Q8N114 P27986
Q9BQJ4 Q8NF37
P51589 A6NGK3
P62333 Q8N9U9
O94923 P51571
Q9NQL9 P12277
P61601 Q9UPY5
Q5W0A0 F8W1W9
P40337 Q96A35
Q494W8 Q9HAY2
Q3LI76 Q9NZB8
Q8TE99 Q8IW75
Q8N5I9 O95178
P11171 Q96LL3
Q66K66 Q6FI81
A5X5Y0 Q5T1Q4
Q8IYJ3 Q8NA72
Q15619 Q8TBA6
Q8IU85 Q9BWX1
Q9NWH2 Q9NW61
Q14457 Q16663
Q96AM1 Q9HBA9
Q5SQS8 P23284
P43121 Q96QF0
Q96NF6 P60153
O43824 Q9UNP4
P60985 Q8NH64
Q8NC01 P35452
Q7L513 P49441
Q16651 Q9H2H0
P29373 Q9UNA1
B9A014 P78358
Q9BQS2 P46063
O75023 Q07869
