Q96EZ8 Q9H1A7
P0C7X1 P0CJ75
Q15853 O00303
Q68DC2 P0C7P4
Q8NDF8 Q96NF6
A6NHP3 Q8WUB2
Q6P5Z2 O14561
Q8IWN6 P15529
Q6XXX2 Q8IUQ4
Q8IWB1 O60894
Q9BQD1 Q9UEY8
Q86YG4 Q9P0B6
P50150 P19012
P0C866 Q16635
Q14166 A6NH57
O15130 Q9BQ95
Q9NQ87 O15488
Q9NVC3 Q9UIV1
O94892 O15533
Q9NUL7 Q6ZSM3
O43463 Q1W6H9
P15421 O75626
Q9NPI9 P02795
Q8N7K0 Q9BY77
Q9BPZ3 Q6UWL2
P58418 Q96LQ0
Q86SY8 Q8WUG5
O95872 Q86WR0
P30464 P51911
P60201 Q5SRI9
Q5VWC8 Q9Y3B3
P11597 Q9BWD3
O43447 Q92482
Q9UMS5 Q9H479
Q96AX1 Q14677
O95813 Q9BTC8
Q86WC6 P12018
Q9UNN5 P37023
Q5SSJ5 Q12800
O94919 Q86XE5
Q8TCE6 Q9H0W9
P51946 Q96C10
Q9NRW7 Q9BRQ0
Q9Y2S7 Q8NGN0
O75563 Q1HG43
O43248 Q8WVZ1
Q8TE54 Q9BVK6
Q9BRP9 P0CG22
Q5VW00 Q7Z3I7
Q16881 Q13825
Q14831 Q86SI9
A8MZG2 Q6UY18
Q8NCF0 Q05823
P41220 A6NNJ1
Q9UET6 Q9NV06
Q7Z692 Q6UWW9
Q8NH05 O14978
Q8N3S3 Q5T4F4
Q9UHL0 Q6ZWK4
Q96LT6 Q86XT9
Q9P1V8 Q9Y6M5
Q8IWL1 A8MUZ8
P17029 Q5GH77
Q9P2U8 Q04941
Q6ZQT7 P53634
Q96AY3 Q14032
Q9HAH1 Q8NG98
P11441 P36383
Q8IV77 Q9Y5X9
Q86XK3 Q9UQR1
Q1W209 P04271
Q8TB05 Q5TEZ5
P63218 Q96HE8
Q96RU8 Q7Z5L3
O75459 Q9BTV6
Q9NRR6 A1L453
P26641 P09382
O43310 Q5T751
Q9H9B4 P20292
Q9HBW9 A0A0A0MRZ8
A6NL05 Q8TBK6
Q969H6 Q499Y3
Q9BSG1 Q14376
Q01638 Q9UK85
P20337 Q9HB14
Q8N4F4 Q16612
Q07817 Q96B77
P63244 Q5T0B9
O43278 Q9P289
A0PG75 O95168
P0DMU7 P28329
Q8TCX1 P24864
P80370 Q6NXT6
Q86TS7 Q0VAK6
P78337 P84095
Q8N393 Q9NP50
Q05215 P09919
P43632 Q8N7B9
Q7Z3C6 Q92928
P63215 Q9NV06
Q9H0F5 Q15517
Q969W8 Q86VK4
O95857 Q86YP4
Q32M92 Q07812
Q96A19 Q13283
Q9BTV7 Q9P2B4
Q5T7N8 Q13275
Q8TD33 Q15283
Q96B77 Q5JRC9
P37288 Q58FF8
P09622 Q5VVS0
Q3LI73 P07998
Q8N4S7 Q68D10
Q969F1 P0DP01
A6NDN3 Q5JT82
Q9UIX4 O94876
Q8NDX5 A8MTL0
Q13907 O14682
O15143 Q9HC73
P50395 Q2M2E5
P07320 Q96RS0
Q9H8H3 Q9Y534
Q8N4B1 O75677
P23229 P01286
Q8N0U7 Q08170
Q15391 Q15084
Q53FZ2 Q9BYE0
O75200 O43766
Q5XKR4 A8MWV9
O95415 P0C8F1
Q9NRX6 Q8N2E6
G3V211 Q6PGQ7
Q9Y580 P98082
O14598 A1XBS5
Q6PF06 Q92530
Q16610 Q9HCU8
P21815 Q6PEX3
Q5TBC7 P18509
Q9Y6N5 P17844
P30461 P33032
A8MXZ3 Q16661
O00182 Q96N76
Q16254 O94993
Q08ET2 Q6UXN7
Q5JUK9 P83105
P0C7T7 Q9NW81
Q9BR10 Q6ZMV5
Q5VYV0 Q8TBY0
Q5T7M4 Q99990
Q15306 P52566
Q15287 Q8WWX8
O43739 Q96DT0
Q9BZJ7 Q9BSF4
Q86XG9 Q8TAB7
Q8IWS0 Q99729
Q08E93 P51151
Q9HAT0 Q9BT09
O43309 P35325
Q15782 P14653
Q01740 Q9Y473
Q13505 Q5T4T1
A0PJX0 Q5PT55
Q9UBB4 Q9H7R0
Q9NPD5 O60831
Q8N1D0 P30501
Q5T2W1 O43823
Q494V2 Q9BWW9
P61647 Q9Y2B2
Q9NZL4 A8MVS1
Q68DD2 P13236
Q8N119 Q9NWT8
Q9NWX6 Q8NCW6
Q9H3R5 O95067
Q8N335 P11912
Q5TG92 Q7Z2E3
Q9UKU0 Q9H5J4
P04798 Q6ZU45
Q96QR1 Q9NR28
O14681 P62266
P20042 Q6ZNM6
P35236 Q8WXF8
Q8IUW3 A6NEM1
P31941 P62826
Q9NY93 Q6DKJ4
P50454 Q8IYX0
Q01831 Q8N4C7
Q9BY77 P26440
P45381 Q8N2H9
P57682 Q01638
P36776 Q6P3W2
Q9NR23 P33897
Q9Y294 O60613
Q7RTZ1 Q07507
P51813 Q9Y343
Q9BWG6 C9J7I0
Q6PI77 Q8WU49
Q9Y5Y4 O95182
A4D256 Q6ZTR6
Q12981 Q8NAS9
Q96MU5 O43736
A6NJW4 Q5JTD0
Q9ULF5 Q9NZL9
Q14681 P07355
Q8NG81 Q9UNW9
Q8NGJ8 P32247
Q5MNV8 Q96CU9
Q5JXA9 A1A5B4
Q9Y399 P59542
P48050 Q14258
P30556 Q96QG7
Q8TCJ2 Q9UBQ7
P24278 Q6PJT7
Q96KG9 P47944
P32243 Q9HCX4
P0DMM9 A6NH00
Q96JX3 Q9C0J1
Q6S545 Q99819
Q56P03 P03956
Q5T1C6 P48147
P21673 Q9BX73
P01584 Q96GM5
Q96EF6 Q9H9Y4
Q9H3M7 Q8NEP7
Q96S19 Q9H4A9
O95150 P19801
O15354 H3BQB6
Q9C056 Q9NQN1
P01780 Q8N336
Q15418 Q9HCT0
P36894 P24588
Q5W0Z9 O14842
Q9Y5X2 Q92753
O94952 Q8WXG1
P14555 Q8IYM0
Q99942 Q6P1S2
P01242 Q9ULT0
O95935 O75964
Q5I0G3 Q9BVG4
Q56UQ5 Q8IZJ4
P0C7M6 P15391
P68363 Q9NPC8
Q9BYT1 P19801
Q12982 Q9NRY7
Q9NZV6 Q8NEP7
Q99735 Q96ES6
Q9BZ19 Q96EU7
Q8WW18 Q96KP1
Q8WZ94 P03989
Q8N1B3 Q8N8J6
Q6XD76 P61160
P33897 O60930
P29536 P0C7P0
P0DN24 O15303
P29074 Q8TDE3
Q9BPW4 Q9NX52
Q9H0I9 Q5MJ70
Q8NCH0 O43280
P40879 Q5SQN1
Q8NG66 Q9Y3D0
Q8IVS8 Q9NRD0
Q9H1Y3 O75603
Q9UK12 Q6PI98
Q13070 A6NF83
Q15910 P15812
O43865 O43687
P35659 P51608
Q9UHW5 Q13586
O43361 Q9Y6N3
Q9NZH0 Q8NFV5
Q8NGR3 A8MTJ6
Q8TBA6 Q15785
Q9NR80 Q9H313
Q02928 Q8NGV6
Q9NP87 P46695
P08294 P21453
O94992 O95229
A3KFT3 P24462
Q96MI6 Q99958
O95159 Q658K8
Q969J3 Q8NH56
Q9ULV4 P12035
Q9BSE5 Q9UGV2
Q15691 P83859
Q8TF39 Q96CP7
A8MT65 Q5JVS0
Q9UHE5 P03923
Q8TCQ1 Q9H832
Q3LIE5 Q5VZV1
P0C7P0 Q8WZB0
Q8NGV7 P49789
O15144 Q6P597
P61326 Q86XF0
P0CG23 P36896
Q8IYX3 Q8NEY8
A0A075B6P5 Q15238
P0DMS9 Q10567
A0A1B0GVM6 Q8WZ33
Q86XD5 Q96AQ7
Q14943 Q96BW1
Q9Y375 O75600
Q9P1W9 Q9H5V7
Q6PXP3 P46937
Q96A23 O94818
A6NJW4 A6NIE9
P0DOY5 Q9Y222
Q8IUZ5 Q00994
P48546 A6NGH7
Q31610 Q8IV20
Q5JUR7 P36544
Q8N7P7 Q8N831
Q9BTV7 Q9Y680
Q9H2S6 Q14392
Q9HBK9 Q8IV01
Q5T1S8 Q05C16
Q8TB33 Q9H169
Q8N4C0 Q8IYS1
Q8TDI8 P62314
Q8TDX5 Q9HB07
Q5VYV0 Q5PR19
Q14995 P48729
Q8TBX8 Q9NVX2
P53370 P61964
Q9UQF2 Q9NWS0
O75629 Q68DD2
Q9P0W2 Q6X784
Q9UJY1 Q96PD7
A8MX34 Q9UKL4
Q14728 P62070
Q9BSF8 Q6UW32
O95563 Q5SXM8
Q9UNS2 Q8NGG3
Q5JRK9 Q6P050
Q9Y2C2 Q9BXC9
O60347 A0A075B6K0
Q16661 A8MXZ3
Q9H0F7 Q9Y6Q3
Q9BW83 Q92600
Q96A37 P52569
Q969K3 Q9NX78
Q9NQW8 Q9BY19
P84022 P35789
Q6P4F2 Q9BXS5
O15127 O75354
P00167 Q12852
Q9H9G7 Q9NTX7
Q6P995 Q7RTU7
Q12905 Q7LFL8
Q96EZ8 Q9UPM6
A6ND01 Q29960
Q9BYD9 A8MUP6
Q6UXD1 Q9HC73
Q6JBY9 Q8WW59
Q96L08 Q16048
O95429 P61421
Q9GZM8 Q9H4A4
P60329 Q9BV40
Q96LX7 Q8TBE9
Q8TF63 Q96F63
Q13670 Q9H869
Q58FF6 Q6ZV65
Q8NFW5 P06126
Q5EBM0 Q9Y4J8
Q96GQ7 O75444
Q9H0U9 O14960
P03886 Q9UKP6
D3DTV9 P61579
Q9GZN8 Q8NGP0
Q96JP0 P46736
P67936 Q96CV9
P10909 Q9GZQ4
Q15723 O75610
Q8N584 Q6IS14
P0CE72 P49758
Q8IZM9 O94763
Q9NQR1 Q8TB68
Q8TAL5 Q7Z3H0
P68543 Q6GPH6
P26436 Q86XJ0
Q8WWF5 Q6IF99
Q9BUB4 Q9NP72
Q99643 Q6NXS1
P36776 Q8WTQ1
Q15646 P35408
Q99807 Q96FA7
Q8NA66 P61204
Q5TEZ4 Q8IWR0
Q96LB3 A6NMZ5
Q9NR77 P17538
Q9Y5M1 Q06250
Q16739 Q9NWT1
Q8N474 Q9BQN1
A0A1B0GTR4 Q8N128
P61964 Q05519
Q9Y4W6 O60412
P51858 Q15506
Q9NX18 Q6ZUL3
P0C5K7 Q8N461
O43869 Q9H2S6
Q96NL6 Q9NZN3
Q6ZS94 Q05519
Q9HC07 P0CJ69
Q9BYJ0 P07998
P04279 Q16763
Q96NJ5 A0A075B6K4
O43916 Q8IXB3
Q8NGI1 O15539
Q9H741 Q96QV1
O75665 P62745
P25445 O43299
Q8IWS0 E9PKD4
P11712 O14495
Q8WY91 Q9NR00
Q9BYG3 A6NH11
P09668 Q16666
Q96LQ0 Q9NWS1
Q8NHW6 Q9NR90
Q8N1N0 Q9NPR9
Q9H3N8 A0A1B0GTK5
A2RUB6 P56557
O60733 Q58FF8
Q8WVY7 Q13586
Q9H0X4 Q9BX51
Q92466 Q969U7
P13385 P61604
Q8NBI3 P61966
O75462 P54792
P39086 P0DKL9
Q05066 P16219
Q8NET8 Q9H190
P51790 P62424
Q6PIY7 P30459
O75690 Q69YH5
Q9NZF1 A0A075B6S4
P36897 O95221
Q9P0B6 O75688
Q8NA92 Q16778
Q92737 P13796
Q8WXF3 P0C851
Q8NGL4 Q69YG0
Q8N118 Q6P093
Q9C0K1 A1A519
Q8WXI3 Q9H1X1
P0DJD7 P00540
Q9BTK2 O95832
P22415 O43307
Q8NGB8 Q9P0M4
P25105 O95167
Q00688 P16499
Q96G23 P60321
Q14626 Q9BX79
O95243 P20340
Q9NSC5 Q9Y3C7
P54819 A8K855
Q8IXP5 Q9GZS1
O60506 Q9UNX9
O76061 Q03923
A8K830 Q70CQ3
Q5T9A4 B2RV13
P51801 O43741
Q06323 A8MZ26
P48065 P49841
Q6ZMJ4 Q96FF9
Q12982 Q96HA9
P47883 P49643
P14406 P16871
Q8NH21 P09131
Q6NXP0 Q96BF6
Q00403 O95294
Q9Y274 Q9NVT9
Q6P1M0 Q8TE02
Q8WXH5 Q9NZM6
Q8TAT5 Q9NRZ5
Q5VTB9 Q8NG35
Q96P09 Q8WXK1
P54727 Q9UN37
P09017 Q13867
Q8TDN6 P29120
P06454 A2RUU4
Q96L03 I6L899
Q96H96 A0A0C4DH68
Q8NGK5 Q86V42
O75347 Q9NP31
P60827 Q969I6
Q9BXS6 Q8N8B7
O94810 Q09028
Q9Y6D9 P47224
Q1X8D7 Q13115
Q86TJ5 Q96D15
Q7L8W6 Q9H714
Q96FB5 P61009
P24347 O95340
Q9H741 O43310
O00471 Q9NX45
Q8IW50 P86397
P83916 Q8IY49
Q9NZ81 P46778
Q5T8I9 Q99500
P16473 Q8IU54
Q8IYI0 Q9BYQ9
Q8NFT6 A8MZF0
Q9Y2Q5 Q01780
P78362 Q86UT8
Q06330 Q17RR3
Q8N8E1 Q7L0Q8
Q8WZ59 Q8TED4
Q8IYN6 Q6QAJ8
P12109 Q16540
Q29980 Q8WY07
P98153 Q96C24
Q5JS13 O75449
P03973 P47888
Q7RTX9 Q6UXZ3
Q6P2M8 P25100
O14561 Q86VD7
Q9NVR7 Q9UIR0
Q9UQK1 Q9NZP2
Q9NQH7 Q99727
Q96IT1 Q9BSE5
Q9GZY6 P17661
Q13113 P27105
P56282 O75431
Q8IUC1 P0C672
Q66K80 Q8NBT0
Q9NX58 P18283
O75677 Q8N4B1
Q8TE76 Q96KH6
P69208 Q8TE85
O14926 O75828
P0CI26 A8MXD5
O96007 Q5XKE5
Q16478 A0A0C4DH34
Q8N5I9 Q86W25
P84090 Q6NVY1
P25929 P16422
Q5T751 Q9Y5G8
Q9BUB5 Q6UW01
O43897 P22532
P28908 Q96RD3
O76014 Q6NT76
Q9HBQ8 P61571
Q96B67 Q08426
A6NKX4 P0DN82
O95183 Q16581
O43869 Q13606
P42830 Q14314
Q96CC6 Q9BY41
O00472 O94772
Q13065 O96015
O43927 B2RXF0
Q9NZS9 Q86TE4
Q86SH2 Q5VV42
Q5TAA0 Q9NW64
P0DN82 Q5VWZ2
Q5HYJ3 P08133
Q9HCU8 A1X283
Q8NGR3 Q96BM9
Q9UNA4 Q9GZN4
Q9BVG4 Q5I0G3
Q8N4C7 Q8NEL9
Q8N5S1 Q8NGH7
Q96EU6 A6NG13
Q9NQZ2 Q1X8D7
Q96NX5 Q01959
Q92905 Q8NHX4
Q16611 Q9HDB9
O43155 Q5MJ10
P83881 Q13761
Q9NUQ6 Q9H4X1
Q13546 Q9H853
Q9NRR2 Q6UQ28
Q9UGQ2 P10600
Q8N616 P11166
Q06945 Q96L46
Q13443 Q9H825
Q5T619 A6NIZ1
P59646 Q6J9G0
Q99958 Q8WXH6
Q8IZP0 O43395
Q7RTV0 Q6PIZ9
Q9BXS1 Q96PX1
Q5U5Z8 B9A064
Q8NHP6 P15622
Q92604 Q14055
A8MXQ7 Q6PRD7
P08779 Q96P11
Q5GH77 A4D2H0
O95047 A2NJV5
Q9NZQ7 Q9P2E5
P62805 P07320
P98153 Q8WWB7
Q32NC0 Q03167
Q9NSQ0 O14786
Q9UBC7 O14730
Q8NH53 P31146
P09467 O75716
P30041 O43294
P28074 O43818
Q99878 Q9UJP4
Q9HC62 P59551
Q8TED4 O15178
Q9NS69 Q5T8P6
Q9NWQ9 Q15506
P20671 O43920
P13236 Q9Y3D9
Q9Y6K0 P09211
Q8NCQ7 Q9Y2Z9
Q5VW38 Q3LI60
Q76EJ3 Q6ZN17
Q92783 Q9H2C0
Q9H9H5 Q6UXV1
P0DI83 Q96G27
Q6EEV4 Q9NZD1
Q9BRK4 Q5VVH5
Q8TDQ0 Q96BR1
A4D1T9 P21452
Q8NB42 O60443
Q12934 Q96RK1
P0C7T4 Q9NS71
Q9H069 Q8N5W8
P10314 Q86WU2
Q7Z739 P48637
O60238 Q8NH69
Q8IYJ3 Q86XS8
Q9H4A6 Q9Y3B8
Q10471 Q96S19
P35557 O00178
P60484 Q9C0J1
Q5T5A4 P50749
Q6IA69 Q8N9H6
Q6NXG1 P30304
Q5T5M9 P01286
Q9NS28 Q8IUC6
Q8N5T2 Q8NBZ9
O15254 P61573
Q8NE28 Q99614
Q9BYR7 Q9GZT8
Q8IY50 Q712K3
O15178 O14796
P29033 Q8NFQ5
Q7Z444 Q8NH04
Q8NGT5 O00231
Q6U7Q0 Q9NWT6
Q9HBU6 Q8N392
Q9UKQ9 Q9Y4A8
Q86UP9 P02489
O00481 P15621
Q9UBN6 Q6ZV77
Q70EL3 P47710
Q6P9G4 P52737
Q6ZT52 Q7RTU1
Q9H342 P25929
Q8WU20 Q86YD3
A7MD48 Q494R4
P43003 Q8IWZ4
Q969S0 P05787
Q8N7Z2 Q8NGG2
O15225 Q99728
O75952 Q8IU89
Q12952 Q08257
Q5VZE5 P04216
Q08050 A6NGC4
Q13907 O14818
P23083 Q9NP79
P00740 Q03060
Q8IYL3 Q12906
Q06787 Q9NWZ3
Q9NW81 Q9NYG8
Q9BXH1 P29033
Q5XKL5 P30419
A8MUL3 Q96TC7
P54762 O43822
P00540 P40121
Q5VV17 Q53HC9
Q92963 Q16650
P15153 P07451
Q2T9J0 P17707
Q9NWS9 Q5T9C9
Q8NGI3 P69208
Q96IU2 A6NCS4
Q9Y5N6 O14602
P01298 Q9UIR0
O75897 O75618
Q9Y5U5 Q8N9Q2
Q9NQZ3 Q9H2J4
Q8IVH4 P48048
Q6ZNI0 P61568
P11086 P52756
O00178 Q8IUK5
O75953 P07947
Q96MN9 P56282
P49748 Q9Y2V0
Q5FVE4 Q5T4W7
Q8WZ26 Q2KHN1
P16442 P25787
Q6UWP2 P21810
Q8NGI8 O15442
Q13585 P07864
Q9UK99 Q8IVS2
Q9H446 Q86XT9
Q8IUI4 P13995
Q9UHF5 P05538
Q8TDR4 Q3KQV9
P61586 P58181
A8MXZ1 Q9BU89
P17677 Q9Y342
P35908 Q5VXM1
Q9BRP9 Q16695
Q6FHJ7 Q13444
Q8WYP3 Q9BY32
P43155 P62736
P49441 Q9UHB6
Q96BI3 Q7LDG7
E9PQR5 Q5TAQ9
Q969P6 Q9BYC5
P62888 B9A014
Q9Y2T6 P42658
Q13508 P59942
Q9Y2L1 A6NC42
Q8IUZ5 Q9BTP6
P17568 Q96NG5
Q9NVA2 O95222
Q5T751 Q92609
Q9H910 P56377
P43034 Q9Y2Y0
Q15717 Q9NT62
Q9BXH1 O43150
Q701N4 P0C7I6
Q7Z3Y8 Q8N2K0
Q5GFL6 P51668
Q5SYC1 Q92959
Q86XP6 Q92664
A0A1B0GTY4 Q8IUR6
P23945 O75056
A6NCN2 Q13241
Q9UBP5 Q9BXC9
P49441 Q330K2
P13498 Q17RA5
Q8NE01 Q9NX24
O95484 Q9NXB0
Q9UH77 O14907
P16298 Q96L12
P29466 Q9HD87
Q66PJ3 P08842
Q96EF6 P48507
Q9BQ66 Q9P0M9
Q13435 P0C8F1
Q99677 P14091
O75396 Q0D2K5
Q5W5W9 O75438
P25067 P0CG36
Q6ZR37 Q96N38
Q9H0J9 Q9BW11
P98153 P04844
Q9BXL5 P30041
P46782 Q8N4U5
Q6P1L6 Q9NQG5
Q8IW40 Q9UBD0
Q5VZM2 Q96MT3
Q7Z4T8 P0DO92
Q8N3X1 Q12918
P32970 Q9H0X6
Q5QJ74 Q8IYN6
Q66K89 P20340
O14931 Q96NY8
Q16740 O95460
Q8N9E0 Q9H8S9
Q6GMR7 P78508
P17787 Q6ZRX8
Q10589 P08118
Q9BTD3 P57775
Q96F63 Q8TF63
P51957 Q96A54
Q96H35 A0AVF1
P07288 O43930
Q8WVP5 Q86V97
Q14565 Q8N228
Q5D0E6 Q9Y448
P40225 Q16674
Q8N5P1 P20711
P04637 Q8NAJ2
Q5SQ64 P05165
Q68CJ9 P0CL81
Q9Y282 P17029
Q8NEY3 Q8N6K4
Q92956 Q96NF6
A6NCE7 P01848
Q969E1 O95947
E7ETH6 Q14197
Q8NBT2 O95837
Q96B77 Q86UV6
P15559 Q9P2X8
Q13636 P43405
O00170 Q9H3C7
Q9Y5P3 P48539
Q8WVC0 O00624
P84098 Q8N7Z2
Q9H987 Q6PEX7
Q10586 Q8NHC7
Q8WY91 Q9BXC0
Q16799 Q8N812
D6R901 Q9Y673
A6NKL6 P18463
A0JP26 Q8IUZ5
Q9BRY0 A6NM03
Q9NRP2 Q8NGP9
Q494U1 P35544
P09237 Q9BTV5
Q13606 O43869
Q6ICL3 Q8WXI8
B3KU38 P62745
Q6UXH8 P0DN80
P22090 Q9UKR8
Q8WYR1 Q14353
Q5TZF3 Q6NXG1
P37802 Q9BZW2
Q9BTE1 O75840
H3BTG2 O15511
Q92839 Q86U28
A6NMD2 Q15274
Q9Y224 Q96J86
O43761 Q6X784
Q8WZ26 Q7Z5A4
P61578 Q9NQH7
Q9NX36 Q9HBU9
P08910 Q9UHG3
Q9Y577 O43567
Q6GMV2 Q8IXL6
Q969V3 Q5JR98
Q86V42 Q9BTL3
A6NE02 P61163
Q9HBT7 P0CF75
Q6ICB0 P78380
Q8WVZ1 O43248
Q8ND82 Q8N0U4
Q99954 Q8WTX7
Q9ULM6 P10720
Q1W4C9 Q14318
Q9HCN8 Q9NQV7
Q9NXS3 Q9UHJ6
Q96JC4 Q6ZMC9
Q8NGS7 Q00978
O75170 Q9P0R6
Q9H9L3 Q13616
O95873 Q9H1E1
Q86U17 Q8IZT9
O14830 Q96NC0
Q6IB77 O60477
Q9Y2T1 Q96BP2
P30679 O75635
O43447 Q9H4L4
P25106 Q9UBK7
Q3LFD5 Q9BW60
Q96CX3 Q2M2I8
Q92838 Q6PCB0
Q8N4N3 Q14914
P60153 Q9BT76
P22004 Q8N8V8
O43280 P18465
Q9P2X3 O60412
Q13033 Q12798
O95460 Q9UI10
Q14232 P17275
Q4VXF1 O95050
Q9Y2T1 O75794
Q9BYT8 O43913
Q6ZP65 O95178
P20472 Q9BSA9
Q96LW2 Q9Y2P7
P06315 Q8N118
O95872 Q495A1
P49447 Q401N2
O15075 Q5MNZ6
Q02318 A8K830
Q03154 Q86Z23
Q86TP1 O15481
Q92730 Q8IZ26
Q9Y224 O43181
Q9BV99 Q96D09
Q8IVU9 P57789
P08727 Q96KP4
Q9UC07 Q8WXF8
Q92985 Q5T750
Q8WXS5 Q8N4T0
Q9HC96 Q9Y5Z4
A6NCL1 Q9UKS6
Q9UBH0 O75474
Q9H7C9 Q96ED9
P36871 Q99986
Q6ZMC9 Q96JC4
Q5T0W9 P80723
P80297 Q6ZS72
Q13563 Q7Z7F7
Q5T700 Q9HCJ3
Q9HCY8 A0A075B6K0
Q14641 Q5TEA6
P62633 Q8N4T4
Q92904 P05976
Q8TC94 Q9BQE4
P20160 P50391
Q96KJ9 Q6ZU67
Q96AG4 A0A075B6K0
Q8N0U2 Q8N6K4
P00973 Q06203
Q16777 P01138
Q68J44 Q9HAB8
P18433 Q16558
P53367 O60259
Q9BRT2 Q15819
Q96PJ5 Q06323
P61962 Q86XU0
Q8IYB0 O75496
Q68D85 Q06432
Q9UM07 Q16445
P0CF75 Q9BUZ4
P09172 P20963
P80404 P21283
O95185 Q8IU53
Q13286 Q9NP84
Q8N831 Q9Y606
P05108 Q9P1G2
Q7L5Y6 Q9Y6X1
Q5R3I4 Q14249
P0CJ85 Q6IEZ7
Q96P56 Q6ZP68
P59780 O14604
O75771 Q15003
Q7Z444 Q8IWD4
Q49A17 Q7KYR7
P16452 P49760
Q92903 Q99547
Q9Y296 O75444
Q9H0C2 O00255
P28566 A4D1E9
O95249 Q9ULZ2
Q6ZS52 Q13426
Q5QGZ9 P07858
Q7Z309 P04808
Q8N7P1 Q8NCQ7
P43351 Q9H4Q4
Q9NX70 Q8TB36
Q9NS28 P21283
Q9H098 A6NDX4
Q8N3Z3 Q8NGC5
O43581 Q16772
P51668 Q5GFL6
P0C2Y1 Q8WTX9
P68366 A0A1B0GTK5
A6NM66 P27539
P19835 Q9Y2C3
Q6PJG9 Q99643
Q9H2G4 P08631
P0C2S0 Q8TEW6
P14174 P55145
Q86TU7 P40227
Q8WUY1 Q93096
O76095 Q13895
Q67FW5 P43631
P17568 Q8WUF5
Q9UHF1 P55735
Q16348 P41236
P0CJ79 Q8TAG5
Q15649 P0DMR2
Q8WUZ0 P06239
Q99622 A6NIU2
Q9H4W6 Q9NUL3
Q86V24 P19835
P58012 P11142
Q96GL9 Q9BV29
Q02809 P06340
Q14526 Q5NE16
Q6PI47 Q9HCC8
Q9HD26 Q96PQ1
Q9NXW2 Q8IXS8
P05026 Q8TCG5
Q9NZS2 O43347
O95406 Q9NV39
P48643 Q8N131
Q12870 Q9NWK9
O75935 P69891
Q9NVE7 Q99954
Q9C0I9 Q99456
Q86TP1 Q8N2U9
Q6NUJ1 Q6UVY6
Q9UKU0 Q15118
Q15669 P55073
Q6UXR6 O60330
P01611 Q9NYZ2
P60606 B4DS77
C9J202 P01764
Q16186 Q8N326
Q9NWS6 P14920
Q495M3 Q9NVL8
A0A5B9 P40425
Q8NGS4 Q15544
P53611 O95997
A6NDY0 A6NNV3
Q9BQC6 Q9H9S0
P09012 P0DME0
Q6ZU67 P0C7T5
Q9Y548 Q15238
P51798 O00470
Q9UJL9 Q9H0U9
Q5VZI3 O43776
Q8IWB1 P23141
O43175 Q6L8G8
P02655 Q1ED39
P04433 Q9HBH5
A6NJG6 Q02750
Q6UXY1 P49189
Q86YP4 O95857
P15374 Q15195
P20226 Q6ZNH5
Q969Q5 O97980
Q7Z7H5 P42679
P07315 Q15404
Q8IZ02 P27539
Q9BXI9 Q9UHQ7
P11684 Q8TCC7
Q16667 O43791
P01589 P10966
Q9Y619 O14662
Q0VD83 O95399
Q99576 P22557
P18509 P52565
P52736 Q5SQN1
O15245 O95867
O60239 P0C7P2
Q8N7S2 O15162
Q717R9 Q8TB52
P24864 Q3SY52
P86496 Q6AZY7
O00559 Q96CX3
Q5VSD8 Q6PI98
Q8TCB6 A6NLE4
Q9BV44 Q99678
Q9Y2H8 Q8NH48
Q6PIY7 P46109
Q9H4G0 Q9NQR9
Q99218 P50995
Q5VTM2 Q9BSE4
A0A075B6J6 Q9H7Z6
Q6N075 Q96BT7
Q9H6U8 Q8NCU1
Q9NQG6 B6SEH9
Q8IWY8 O75880
Q8N8H1 Q9H6Q4
P25098 Q9BQ67
Q16772 P61619
Q8IXR9 O95639
Q96I45 Q9NR96
P68104 P20396
Q14331 Q6IFN5
Q8ND71 A8MXK9
P36873 Q03052
P61576 Q7Z7K0
Q9BSE5 Q9HDC5
O00168 Q03060
Q96GR2 Q8N300
O60291 Q9UKU7
P05181 P10997
Q14442 P0DP01
Q9Y5P4 P35236
Q0P641 Q8IYX1
Q6ZSJ8 Q9H074
Q9HCL2 P46952
P15170 Q9NX04
Q8TAD8 Q12934
P41159 Q60I27
O75437 O15255
Q9NTU7 Q6ZV65
P22310 P0DI80
P01911 O14579
Q9NV39 Q6B8I1
P29460 A0PJX2
Q9Y5R8 P28329
Q9BQS2 O75688
Q86X45 Q9BYR4
Q8IYW5 P61803
Q494V2 P18440
P52198 P48029
Q13569 Q96M96
Q92575 O95416
P19622 Q9ULX9
P01178 P33151
Q567U6 Q9H6L2
Q8N9Q2 P61221
Q969E2 Q9Y4L5
Q8IUQ4 Q6XXX2
O43745 P84098
Q9NQ25 Q08380
P26439 Q4G0Z9
Q9GZY0 Q15517
P20160 P82979
Q7L5Y1 P05062
P54709 A2RRD8
O60260 Q9BYD6
Q9NQC8 Q3MIR4
Q68CP4 P03999
Q15744 O75123
O94992 Q9HB15
Q9BUL5 Q3LI73
P17028 Q9BYQ6
O60784 Q7Z5P4
P62324 Q9Y5B0
P57764 Q8NBB4
P13051 Q96BP2
Q9UHY8 Q8N2U9
Q8N3A8 Q96CD0
P14927 P01709
Q8N6I4 Q8N9M1
A6NER0 Q6ICI0
Q07001 Q9H7P6
Q9NZD1 Q92523
Q96KB5 P30085
Q02386 Q9P2W7
Q9BY21 Q96I76
Q99679 P15863
A0A075B6I0 Q8TF09
A6NKX1 Q12794
