P62258 Q9UKT5
P61244 O75461
Q8N661 Q13323
Q7L190 Q9H8E8
P50402 Q5SNT2
Q96C10 P56537
P61289 Q00987
Q7Z3S9 Q6L8H1
Q8NHQ1 Q8N9E0
O43602 Q13422
Q8NCP5 P60900
Q969E8 O75928
Q8WUK0 Q9BYQ4
P60484 O43791
Q13561 Q9H3R5
O14744 P62805
Q14D33 Q6A162
Q9BYV2 Q9H5Z6
P61024 P15884
Q12846 Q5SQN1
P49755 P49768
Q8NBW4 Q9Y2Q5
Q06418 Q9Y5K2
Q6RW13 Q8N612
Q7Z3S9 P09603
Q52LD8 P50222
P03372 Q99966
P43115 P32320
Q9BWG6 Q15323
O15160 Q13064
Q8NFJ9 Q96QF0
Q15038 O95817
Q3SYF9 Q13554
Q9BYG5 Q05513
Q9UBU8 Q15742
P27361 P28482
Q96Q77 Q16206
A8MQ03 Q8NA54
Q16656 Q03692
A8MQ03 Q9NQL9
P49247 O75716
Q8IVS8 Q5BKX5
Q15843 O94888
P52735 Q03135
O60504 Q7L5A3
Q969F0 Q9BRL7
P48047 Q9UBB9
Q8NHW4 Q9BRI3
Q8NEA9 Q13077
Q7L2K0 P60409
Q9H9A7 Q96E14
Q9Y2D8 Q96SQ5
O43516 P08631
P49901 P60411
Q9UJ41 Q9C019
Q8TBB1 Q9HAT0
Q86Y79 Q8IZU0
Q5T7P3 Q9BQ66
O76003 Q13077
Q96QH2 Q9NYB9
O14744 P31269
Q13155 Q9H8W4
O43597 Q8TF42
P49757 P04637
Q13347 O75821
Q9BSE2 Q9NRS4
O75569 Q9NX58
Q8ND90 Q06250
Q9H0R8 P60409
P60409 Q15560
O43687 Q8TAP6
Q8NBT2 Q9HBM1
O43765 Q16586
Q99856 Q7Z3S9
P54829 Q07325
O75478 Q96T49
Q9UN37 O43633
Q8N668 Q01201
P04271 Q00987
P55081 O75478
P57739 Q7Z3S9
Q96DZ9 Q9ULP0
P78318 O75663
Q9H9H4 P07992
Q9H8E8 Q9NS73
Q8NCA9 Q63ZY3
P27482 Q9NYB0
Q96BR9 O00560
Q9NTW7 Q86V42
Q93062 Q6RSH7
O43823 O15379
Q9BS40 Q9Y6G1
Q09013 P26678
P49903 P24278
O14777 Q9Y3C0
Q13077 P15408
Q9UHH9 P04637
Q9NX40 P17544
P15884 O14929
P61968 Q68D86
Q9Y294 P68431
P23396 P63104
P49715 P47902
O75593 Q15796
P0CG47 Q15038
P60409 Q5HYJ3
Q9UM19 Q96AQ9
O43521 Q9HD36
Q99259 P46952
Q15323 Q13895
Q86VP1 Q15560
P25786 Q99081
P25440 Q13761
Q96JC9 O95402
Q86VE0 P98179
Q9NPJ6 Q9BVG8
P84022 Q15796
Q13077 Q7RTU3
Q8TAU3 Q6NT76
Q9C004 Q8IUH5
Q9NSA3 P60409
O43734 O75716
Q16775 Q9NYB0
P24001 P24158
O95793 Q96H20
O75143 Q9GZQ8
Q3LI76 Q0VD86
O43353 Q13489
O15305 P50222
Q9BXY8 Q6A162
Q9H0I2 Q8IXK0
Q9UKT9 O43741
Q9H9E3 Q13190
O14653 Q08AF8
P11801 P08238
Q8WVV9 Q9BQY4
Q13352 P53365
Q96K17 P40222
Q3SY84 Q8N6Y0
Q8N6Y0 Q9BVI4
P41134 O14936
Q9BT49 Q9UBB9
P49247 Q6IPU0
P36406 Q01850
P61968 Q93062
P11309 Q9UNQ0
Q8TAQ5 P04637
O60291 Q99816
O95671 P48775
P10073 Q9NWS9
Q13137 Q9UIM3
Q12933 P07947
Q15653 Q04206
P40855 Q9NR77
Q6PJG9 Q7Z3S9
Q15819 P61088
P31350 Q9UM11
Q8WV44 Q8WTP8
Q99942 P61077
P54274 P49418
Q00013 Q53G59
P61968 Q96L14
Q8N4C7 P61764
O43493 P16333
P37235 P60410
Q8ND90 Q9UKJ5
P35219 Q9BZG1
P62753 Q09161
Q9P253 O15400
P37198 Q9H1K1
P27449 Q9BZL3
Q9NP61 Q8IUH5
Q9NYB9 Q9H9J2
Q96HV5 Q8N6L0
Q9Y3Y2 P84090
Q03933 Q00613
Q9NPJ6 O00560
Q13526 Q8NA61
O00233 Q8IWZ5
Q5T7W7 O95159
P54274 Q96MH2
O95751 Q9H8W4
P24468 Q13485
Q969G2 Q9Y5N6
Q7Z3S9 P43353
P29274 P14416
P51116 Q9BU76
P49841 P17612
Q13526 P51617
Q13227 O60907
Q96EG3 Q7Z698
O14558 P02489
Q9Y2K1 P11309
O00238 P43026
P25963 P35221
P59991 Q14498
Q9H6L4 Q13422
Q9HC52 Q92993
P31314 O00470
O43463 P83916
Q15233 Q53ET0
Q8WWZ3 Q96HA8
Q96B67 O95817
P40855 P33897
Q9BZL3 Q9BRK4
P23511 P68400
Q13352 Q8WWB5
P06239 P20749
Q9NQT5 Q9NPD3
Q15323 Q8IYI6
Q99081 Q96S90
P67870 P68400
Q9BZL3 P11686
Q9P0T4 Q9BQ66
Q99853 Q6A162
P28562 P27361
Q8IZU0 Q8IYX8
Q9Y5V3 Q15038
P63104 P08670
P13693 P13010
P18846 O95644
P63165 Q9UER7
Q6A162 O75604
P68402 Q15102
Q8IZU0 P17544
Q9H4B4 P04156
Q9BVK8 Q96BA8
O75558 Q52MB2
Q8N6Y0 Q9BYV2
P40222 Q6A162
Q00537 P63104
O60232 O75971
Q8ND90 Q9H7H0
Q99697 Q12948
Q5FBB7 P83916
Q8WWY3 O75525
Q9Y294 Q13112
Q96HT8 Q969G3
Q8N9N5 P30405
Q96C00 Q9Y237
O43463 Q5T6S3
Q13049 Q9C035
Q00987 O15151
Q3B820 Q6NT76
P12956 Q07812
Q08117 Q9BQY4
O60880 Q969G2
Q96DZ9 O60664
O43236 Q8IYM1
Q86SE5 Q9NVV9
Q08426 O43805
Q9GZQ8 Q9BQD3
O76003 P17027
Q08117 Q12933
Q9UKC9 P63208
P00540 Q8WXE1
Q16613 Q99750
Q7Z3S9 Q8WWX9
Q8IXL6 Q9NP70
Q92567 Q9Y2K5
Q8NHQ1 Q99909
Q93062 Q14511
Q07812 O75460
O95214 Q96E93
Q15554 P05204
Q15528 Q9NX70
Q5T5A8 Q701N4
Q3KNV8 O95503
P10398 O43187
P51617 Q8N2H9
Q17RB8 Q9H8Y8
Q8TAI1 Q5VWX1
Q5TA81 Q6L8G9
O43752 P25788
Q9UK45 P62310
Q14457 Q8N5C8
Q13422 Q3B820
Q8IUQ4 Q8WWY3
P30039 Q8TBB1
Q99719 Q14141
Q13501 P54725
Q969G3 P0C7W6
Q96Q83 Q96MA6
Q9UJC3 P11802
A8MQ03 Q9C086
Q13077 O15519
Q9NX53 P59022
O00204 O43900
P05412 P45983
Q8TBZ5 Q13077
O95751 P51116
Q16543 O15111
P63279 Q9Y3V2
P36406 Q96M91
Q92890 Q8TAT6
P62993 Q5SXH7
Q9NYB0 P09936
P26927 Q15831
P62491 Q5T4F4
P06748 Q9BZQ8
Q15633 Q9UL40
Q99750 Q3YEC7
Q8IVP5 P60520
Q15311 P40337
P62306 P62304
Q8IUQ4 Q70IA8
Q15006 Q9UKT9
P55036 Q9UHD9
Q9NSK0 Q9P2A4
Q9GZM8 Q1A5X7
Q9P2K3 Q12933
Q6RW13 Q17RD7
P10997 P14735
A5D8V6 Q53EZ4
P31749 P67775
Q5TA78 P60411
Q96DZ9 P34897
P04637 O95863
Q6A162 O60573
P07766 P43405
Q8N6L0 Q6UX06
Q8N1B4 Q8N8B7
Q92804 Q92993
Q96HA8 P56279
Q13838 P09110
Q8NHQ1 Q96M91
P31946 P78362
Q9BUL8 O00506
Q93062 Q9Y4M8
Q96EZ8 Q6ZUT1
Q99750 Q8IYX0
P04070 A8MQ03
Q13569 P24522
Q9H2F3 Q9BYR5
Q9HD26 Q9P0T4
Q5BJH2 P62993
Q16630 Q9Y3C6
Q9UJX2 Q8IYA8
Q8N1B4 Q5T7W7
Q9H668 Q5SW96
Q8TF42 Q9H9H4
Q8WXE1 Q9BUN5
Q8IYX8 Q13137
Q5T753 Q96HA8
P04637 O95352
Q14012 P54253
A8K8V0 P60370
Q96NC0 Q8IXK0
P08238 P11801
Q9UHV2 Q9H503
P15884 Q9NQL9
Q8NB12 P30520
P84243 Q9UER7
Q6UY14 Q8N6N6
Q5HYN5 Q9BU76
P08949 Q13490
Q9UGC6 P08754
Q9NP55 Q92734
Q9HCM9 O43395
O43524 P11309
Q3B820 Q8IZU0
P14317 O43516
P12004 A2RU14
Q92769 P01106
Q9NX63 Q13077
Q9NRI5 Q9GZM8
Q8TC90 Q7Z3S9
Q8WTS6 Q04206
Q96SB4 Q07955
Q9NYB0 P61978
Q9H0E2 Q15038
Q16625 Q8N205
Q9NV39 P86480
Q9P127 Q9P2K3
Q12800 O43189
Q96LT7 Q04864
Q8IWZ5 Q9BYR5
Q15555 Q9BWF2
Q9UKT9 P53673
P48645 Q7Z3S9
Q96HA8 Q9BYR5
Q96M91 Q9NP66
Q86UD4 Q6A162
P35240 Q9H204
O95273 Q9BZE7
O75478 Q12874
Q7Z3I7 P14373
Q96EG3 Q9NWQ4
Q08379 Q9P0T4
Q9UKT9 Q96T49
O60806 Q92734
Q9Y5X1 P42768
Q6UY14 Q5TA78
Q96HA8 Q9H0E2
Q15038 Q9UBV8
Q96DZ9 Q05329
Q9Y6A5 Q7Z614
P04637 Q6NYC1
Q9GZT8 Q8N7W2
Q52LG2 Q53HV7
O15117 Q86WV1
Q9P209 P25786
Q8NDC0 A5D8V6
Q9BZL3 Q01453
Q14094 Q96E35
Q96E29 Q6RW13
Q99750 Q9H7X3
P08670 O95361
Q9H6L4 Q59EK9
Q13105 P01106
O95198 Q96MW1
P60484 Q15599
P46781 P40763
Q9NQ76 P16333
Q9BYR5 Q5TA82
Q8N8K9 Q96LK0
Q9BUZ4 Q8N7F7
Q96NT3 Q6A162
Q8N5M9 Q9BXN2
Q8WXU2 P60520
P08579 Q8ND90
Q5TA77 P26371
Q5D1E8 P84022
Q13867 Q9BQG2
Q29983 P17931
Q9Y6H1 Q04864
Q9BYQ4 P60409
Q13112 Q9Y294
P56545 P51946
Q969V4 Q13895
P26368 P09012
Q8NHQ1 O43309
Q9H788 P62993
Q8IUQ4 O14645
O00746 P15531
Q8WTP8 Q13422
Q01850 Q9UKJ5
Q93062 Q8N9W6
Q96MZ4 P25788
Q8TBZ3 Q9UN19
P47224 Q04864
Q13490 Q9Y572
P19447 P54727
Q12846 O14662
Q9NQT4 Q9Y3B2
P26447 P15514
Q8WTR7 Q8WTP8
Q9BYQ4 Q8N6T3
Q8TAB5 P62333
P41212 Q9BXS5
Q13526 O76015
Q8TBK6 Q9UHJ3
O96017 Q13362
A1L4K1 Q96BZ8
Q9BS34 Q96CV9
P05787 P19012
O75323 Q9BXW4
Q00987 P25098
P14373 Q9NR81
O43918 Q9BYR6
Q13617 O94888
O00401 Q9Y5X1
Q3LI72 Q15038
P60409 Q5BKY6
Q9NPJ6 Q96CS2
Q12933 Q96NC0
Q12933 Q9GZQ4
O43704 O00204
Q494R4 Q9H8Y8
P17844 P22087
P51817 P10644
P09132 Q9UHB9
P28069 Q14847
Q86V42 Q9NTW7
Q8TD16 Q9Y247
Q16621 Q9Y297
P01137 Q12841
Q9NWS0 O95905
O75771 Q8IYA8
Q9UJM3 O14757
Q15560 Q9BZW7
P10644 Q9GZX7
Q8IZU0 P32969
O14817 O43559
Q9NXN4 Q8TAP6
P56545 O75807
P49841 Q13144
Q9H0I2 Q92569
Q13137 Q9Y4Z0
Q8N9N5 Q9P0T4
Q8NHQ1 Q9H5J8
P16333 Q9NZV5
Q0D2K3 Q93062
Q15323 Q96LX7
P14373 Q96QH2
Q6AZY7 O43760
Q08AF8 Q14032
Q96B86 P12643
Q6UY14 P09228
P61244 P49916
P30153 Q9Y534
Q2T9L4 P60520
Q9Y605 Q6ZUJ4
Q92567 Q9P2K6
Q13077 Q8TAU3
O60232 P35609
P01116 P50749
Q00587 P60953
Q9BVG8 Q969E8
P50222 Q52LD8
Q6ZVK8 Q96GX9
P08238 P36896
P26715 Q01453
P30626 P20073
Q9BYR5 Q5TA79
Q96LA8 Q96H20
O75427 Q9Y2Z0
O00257 P63104
Q16637 O15160
A6NEM1 Q00403
P11362 P05230
Q9H8S9 Q96MX0
Q99728 Q6A162
Q07817 Q14457
Q13042 P45984
Q9H6Z9 Q5JST6
Q66PJ3 P62993
Q9H0T7 Q8IZU0
Q9HC52 P42568
Q9Y5Q3 Q14653
O76015 Q9BXY8
Q96SQ5 O75558
O76011 Q06250
Q96RI1 Q8WTS6
Q8IWZ5 Q6PEX3
P14416 P21917
Q9P0L0 O95070
P17152 Q969F0
Q13094 O43639
Q13596 Q6RW13
Q9NSB8 Q9BRK4
O00257 P62258
P26371 Q9NQL9
Q9H0R8 Q8TD19
Q9P127 P78362
P63104 O00257
Q99759 P62258
P16520 P32302
Q13643 Q5BN46
Q9NVV9 P68400
Q9BRK4 Q8N5M1
Q9BYQ0 P49639
P27797 O95166
P62316 Q9BW66
O75553 Q96MN9
Q86U06 O14744
Q9UKK6 O95793
O75553 O43251
O14910 Q14168
O14980 O15392
P45984 Q15427
P35219 Q96EA4
Q9Y2X8 Q9HAC8
Q9NSC5 Q9NYB9
Q8IYR0 Q8N6K7
Q04864 P04053
P50222 Q9NSK0
Q2WGJ6 Q8IUC1
Q8TBB1 Q15415
Q14657 Q9NW61
Q5T7V8 Q00987
P41227 Q13137
Q8WXK3 Q08AM6
O14757 P08238
Q9BUZ4 Q9NPH2
O75604 Q9GZM8
O43251 Q96HR8
Q6A162 Q9UBR2
Q8N9I9 O14933
Q96EC8 Q9BWQ6
Q96HT8 Q86XK3
Q9Y2X8 Q86XT4
Q07817 O43521
Q99816 O14964
Q6NT76 Q96FJ2
P17544 P05412
P60484 Q06830
Q8N6L0 O75379
Q9NUX5 P30838
Q00987 P15311
Q9BRQ5 Q96D31
P31321 P17612
P26367 O95872
Q12933 Q7Z434
P50222 Q8IW40
Q9GZV5 O14640
Q8IWZ5 Q9NX04
Q13064 P31947
A8MQ03 Q96NT3
P63279 P61956
Q99895 P60409
Q86SE9 Q8IXK0
P69905 Q6A162
Q6UY14 Q13526
Q96M95 Q9UJV3
Q86VQ0 Q9P2K3
A1L4K1 Q9P2K3
Q8N205 Q6UX06
Q92624 Q9NXR5
Q3LI66 P60328
Q15661 P27986
Q9GZU8 Q12933
Q14525 O43559
P60409 P50539
P63208 Q9NVF7
O15160 Q8WZ19
Q9H4L4 P06748
O00560 Q16799
P07315 P02489
Q9Y2S7 P13196
P84090 P62318
O00560 O00463
Q9UER7 Q8IZU0
Q9Y3S2 Q9H9D4
Q86UN6 P31323
Q8N9N8 Q96BR9
Q9H7B4 Q9Y2U5
Q9BTL3 P25788
P52292 O75478
P56279 Q53EZ4
Q15025 Q9H305
O95429 P54652
Q15369 Q96A44
Q99750 Q8N7K0
P14373 Q8WXI9
P46976 P13807
Q9GZX7 P52294
Q99525 Q6PL24
Q9BYQ6 Q7Z417
Q9BRP0 Q8TF50
Q6A163 P78385
Q96JB5 O75344
Q14515 Q99972
Q13049 Q5T7P8
P15884 Q9BRU9
Q9BQG2 Q13867
P19012 P25791
P60410 Q9Y5Y7
P60410 P07510
P43626 Q29963
Q9BXJ5 Q9BYV2
Q9H3M0 O95363
Q13021 P21757
Q15831 Q7RTN6
P62306 O14893
Q9BYQ2 Q9BYR5
Q8IXL7 P15884
Q9H9L3 P16333
Q9BYR9 Q969G9
P01579 P15260
Q9UBI4 P24941
P55327 Q16890
Q9NZD8 Q6PF05
P53365 Q96MT8
O43186 Q2TAL8
Q16543 Q96IK5
O95999 Q05513
Q92843 Q92934
P62333 P17980
Q92843 Q8IYF3
O75928 P41219
Q13137 O43602
Q96LR2 P06753
P60370 Q7Z417
Q13501 Q9BXW4
Q92569 Q8N2H9
P29274 Q7Z6G3
P67809 O15355
Q9C0C4 Q8ND90
P68036 Q9BYM8
Q12846 Q9UNK0
P63244 Q99497
P25788 Q9BTD8
Q9NQL9 Q13077
Q7L3V2 P21796
Q14192 Q9NPA5
P01857 P31994
P61328 Q14592
Q13526 P05067
P17482 Q07627
P35638 P24278
Q9BYR6 Q3SYF9
Q8IWR1 Q9UEU0
P62854 Q969E8
Q8NEC5 Q5VWX1
Q99966 P03372
Q96GN5 Q99750
P23497 Q96GY0
O14936 P41134
P01275 P27487
Q6RW13 O00330
P49286 P48039
Q9BW04 Q14919
Q96FZ7 Q9BRG1
Q7LBR1 P53990
Q01831 P41208
Q15172 Q5FBB7
Q96HT8 Q9C0F1
P48645 P26371
Q9NZ81 P50542
P17544 P17535
Q9UJX2 Q8N4L8
P43115 P15884
Q6EMK4 A8MQ03
Q9Y2T2 Q9UHP6
Q96B67 Q9UGI0
Q9HCM9 Q9HAC8
Q9NZL4 Q7Z3S9
Q05655 P06241
P48047 Q8TD10
P23297 Q00987
Q9NWU2 Q8IUR7
Q9Y316 Q04864
P78537 Q16795
Q8N3Y1 P01106
A1A5C7 P60410
P62805 Q96DZ9
Q9BQY4 Q3SYF9
P50222 Q9UJX0
Q96B02 Q9HAT0
P56962 Q96AX1
P69905 Q9NZD4
Q9NXR5 P78424
Q8IZ13 Q8WXB1
P0C0S8 Q99496
O15162 Q92731
P25786 Q96GX9
Q8IYA8 Q96FJ2
P52657 P52655
Q96PJ5 Q03403
Q7L273 Q9H9D4
Q7Z3S9 Q9Y3R4
Q9H0D6 Q96HQ2
Q5BJH2 Q9BXK5
P42167 Q8WZ60
Q04864 Q9H3H3
P62837 Q8ND25
P19012 P40222
Q8N8X9 Q8IZU0
Q96GD4 Q92993
Q9BQD3 Q14533
Q08117 Q13131
Q92542 P49768
Q8N8B7 Q9BVG8
Q9BYV2 Q9UJ41
O95125 Q6A162
Q9ULZ2 Q96B97
Q9P2K3 Q53EZ4
P14136 P13646
Q5JST6 Q13882
O14770 P31314
Q5VWX1 Q96AH0
Q9UL42 Q6ZVT0
Q92609 P60520
P43220 P60411
Q9BYV2 Q92556
Q5T5B0 Q7Z3S9
Q9Y2D8 Q6A162
Q9BYR5 Q9BR84
Q969G3 Q8TD31
Q00403 Q14919
Q6RW13 Q99909
P31151 Q96S59
Q9UH03 Q14141
Q9BYG4 Q96L34
Q8TD10 Q8WY64
P37198 Q96BD5
Q96DZ9 Q8N205
Q9H5Z6 P60409
P01106 P0CG48
P54252 P54257
Q9BWF2 Q9BS40
Q9UIV1 Q96LI5
Q9BVV2 P14373
Q6A162 Q96SQ5
P49639 P26371
P04637 P49841
Q9BXN2 Q9BZ11
Q8WWY3 Q14296
Q13137 Q8NBM4
P25787 P25789
O15409 Q08117
Q9BXW4 Q8TD19
Q15323 P14222
O95990 Q7Z3Y8
Q5T754 Q9BQ66
Q93062 Q02930
Q14D33 Q8NA61
P60411 Q8NE01
P49716 P18848
Q04864 Q96A72
Q29963 P43626
P23284 P13667
Q9ULK2 P60411
Q08881 P48023
Q12933 Q16649
Q969U7 P15884
A0PK00 O95273
Q9HD42 Q8WV92
Q15038 Q96LR5
P15408 Q13643
Q8TBZ8 Q6A162
O00560 Q9NX04
Q9UJV3 Q86W54
Q15691 Q9UPY8
Q9BRK4 Q9ULM2
Q14103 Q9UNL4
P14373 P55040
Q8NHY2 P14921
P62760 Q9BXU2
P67775 Q15173
Q9UKD1 Q14192
Q8N6Y0 Q9Y4H4
P49770 Q9UI10
Q15562 Q15853
Q9NV56 Q9UBU8
Q08209 P63098
P09012 P98179
P22694 Q92917
P60411 Q96H86
Q8N6L0 Q10471
P31749 O43524
Q96HA8 Q96BR9
Q8WXE1 P00540
Q99081 Q6ZMU5
Q13526 Q15233
P47813 Q99613
P25815 P04271
Q9H0U4 P47224
Q9Y2D8 Q53EZ4
Q9UHV8 P49639
O60826 Q7Z4G1
Q52MB2 P30039
P32242 Q9UF72
Q8IUR6 O43889
P46527 P24941
P04629 P18031
O60941 P37198
Q15562 Q99990
Q5SWA1 P62136
P13647 P02533
Q12933 Q8WWZ3
Q9Y2J4 Q8WWW0
P53350 Q99741
Q13162 P30101
Q8TAT6 Q92890
P48023 Q7Z3S9
Q15185 Q9UKV8
Q6N075 Q96BA8
P08138 P01138
Q6A162 Q9UQ90
P61956 P63279
O75379 Q5SQN1
Q96BR9 Q13895
P15927 Q9BVW5
Q99757 Q96HT8
Q8NEY8 Q9BZW7
Q12933 Q9NZD8
Q9UEU0 Q5T700
Q92843 Q9BXH1
O75558 Q9NX04
Q14847 Q5T4B2
P0CG47 Q9UJ41
P59768 P62873
P62826 Q99986
Q9ULS6 Q7Z3S9
Q15654 O75638
Q5TD97 P53673
Q9UBU9 Q9UMX0
Q8IZU0 O43395
Q08117 Q13643
Q15466 O00482
Q9UBB9 Q9BYU1
O00560 P02489
P26196 Q9NPI6
Q9NYB9 Q9H6Z9
O95231 Q93062
Q96EB6 O43159
P50222 Q969G3
Q96NB3 Q13573
O00244 O43822
Q9UJV3 P43353
Q13444 P62993
Q96A09 Q15645
Q9NYB0 Q8TE68
Q93062 Q6PIY7
Q15040 P26371
O94806 P63027
Q8N9E0 Q96MF2
Q8WWB3 Q8N5A5
O00463 P50453
A2RU48 P45984
Q9H568 Q9Y5P4
P14373 Q9BQ89
Q7Z3S9 Q5BKY6
P06132 Q96KN1
Q9BXH1 P10415
P53779 P49407
Q6A162 Q5I0X4
P63096 Q9UGC6
O95999 P20749
Q08117 Q96FQ7
P22415 Q12933
P07947 Q8TAK6
O14836 O43765
Q9GZQ8 Q86V97
O00505 P02792
Q15365 Q9Y2W2
P35226 O95931
Q9H1J1 Q9Y5S9
Q15311 Q16204
P40692 P17661
Q9UBB9 Q9BT49
Q8NC69 Q13618
P26371 Q5T752
O60880 Q07912
Q9Y5X1 O00401
Q9Y3Q8 P25791
Q6L8G9 Q9BYQ4
P43360 Q9H2L5
Q53EZ4 Q8IYX8
Q6NX45 Q9UJV3
P49407 P53779
Q15014 Q9BRK4
Q8WWY3 O43586
Q86V97 Q9H0R8
Q9BQ04 Q8NB12
Q9UGC6 P49901
Q5TA79 P60370
Q9NYJ8 Q15750
Q9GZV8 Q9BXY8
O95503 Q06587
Q03692 Q8N9N5
Q6NVV7 O14503
P08238 P41279
Q06455 O75558
Q8IYM1 Q16181
P25025 P10145
P12004 P04406
Q8WYH8 Q9BQD3
Q9BQ95 P49768
Q13177 P60953
P62805 O60264
P06748 O14965
P32121 P25101
P51572 Q6Y1H2
Q9P0N9 P08727
P17028 P51693
P35900 P37198
P49321 Q6NXT2
Q8N668 Q15369
Q9BYR5 Q9P0T4
P49736 P62805
Q9UNI6 Q9UJY1
Q9UK97 P63208
Q9H0R8 O00410
P45973 Q5FBB7
Q96B36 Q04917
Q12933 Q9BXF9
P05067 P01137
P20674 Q15323
Q9P2K3 Q9UJV3
P62312 P54105
P61978 Q66K41
Q9Y605 Q9UHG0
O15304 Q07817
P06730 Q5T124
Q9BQ66 Q5T752
P29034 Q00987
O43521 Q16548
P08670 P14136
P60411 Q92993
Q9NUX5 Q9Y4P8
O00629 Q6ZMK1
Q8IUQ4 Q9H0A9
Q9BYR7 Q9BYQ4
Q13326 P21399
Q9Y4K3 P25942
Q92844 O96018
Q15323 P49639
P59991 Q5TA78
P50402 Q9P127
Q96B67 Q96LR5
Q6A162 Q8N9W4
Q96G23 P27449
P29350 P06239
P51809 Q5SQN1
P51116 Q9UI14
Q8NDC4 Q9P242
Q96FJ0 P43360
P78358 Q7Z4N8
P60411 Q9H2F3
Q15560 Q8IZU0
Q96F15 Q8N112
P36873 Q5JR98
P62851 Q9NVV9
Q12800 P63165
Q9HCM9 P51668
Q9UKS6 O43597
P55210 P98170
Q9BYQ6 P60411
Q13427 Q16637
Q8TBZ0 Q8TB45
P98170 P61077
P62333 O00233
Q9BRK4 O75344
Q15942 Q14847
Q96ED9 Q9BXS5
Q9UHD9 Q2TAL6
Q9NQT5 Q9Y2L1
Q6A162 Q5TZK3
O75530 Q15022
Q9Y3E7 Q9UQN3
Q9H115 O43752
P17544 P01100
Q14554 P60409
Q9UI95 Q9UM11
O00506 Q8NHQ1
O14965 Q9NWT8
Q9NX04 Q8IYA8
P35219 Q9BPX1
Q9BYV2 O95678
Q96B26 O14530
Q8IWV1 Q96FJ0
P62837 Q9Y4K3
P16333 Q9HCM9
Q02078 Q99697
Q96NC0 P51116
Q9H5Z6 Q9Y2D8
P55040 Q9NR12
O95273 Q5I0X4
Q86YT5 P60410
Q15777 Q5TYM5
Q9BX70 Q96HA8
P59990 P60328
Q13330 Q8N726
O75971 Q9GZM8
Q8WWY3 Q13137
O43765 Q13568
Q9NQT5 Q96B26
Q9Y275 O14836
Q08117 Q9BSW2
Q8NHQ1 Q9UGY1
Q9Y383 Q96SB4
P49585 Q9Y5K3
Q13895 Q9H9H4
P36406 Q6NYC8
Q2WGJ6 P60411
Q9UHX1 Q96BM9
P78424 Q14192
P07196 P54274
P58753 P10398
P63261 Q9Y281
Q15323 Q9BY27
P62805 P63104
Q96BR9 Q9NWQ4
Q16206 Q96Q77
P61289 Q9HCE7
Q14565 Q9GZT8
O60504 Q9NU19
Q15025 Q96MN5
Q93034 O95273
P54274 O00148
Q96JM7 P18545
Q8TC57 Q9BT43
O00463 O75031
Q9Y3B2 Q9P286
Q9UJV3 P51668
Q8NA82 Q96HA8
Q13257 Q14145
Q8WV92 Q9NZZ3
Q9P0N9 Q9Y250
Q3B820 Q96BR9
Q9Y4L5 P61077
Q13435 Q01081
O43914 O95944
O43865 P55957
A0MZ66 P05413
Q96D03 P53674
Q14498 Q15365
Q9BXW4 Q86V97
O14744 Q8N8U2
P09493 Q9BQD3
Q969F0 Q9H2H9
Q5TA81 O14633
P43490 P02792
Q9BPX5 O95257
Q7L523 Q9HB90
Q6IQ16 O15131
Q8N726 P06748
P14373 Q8N443
P16591 Q16543
Q9P127 Q9UKI8
Q9H6Z4 Q15796
Q13895 P60370
P20042 Q9Y6E2
Q68D86 Q9GZT3
Q53EZ4 Q96HA8
Q8TDR4 Q14582
O95872 P14373
Q9BV35 Q92624
Q9BYR5 O76081
Q5JVL4 P19012
P62310 P62312
O76083 Q14657
Q8NA61 Q6NYC8
Q15323 Q9NSK0
P04155 Q6UXZ3
P15884 P61296
P62826 O15392
O75344 Q14318
P15884 Q92886
P29972 Q04864
P02749 P00747
Q9BRK4 Q8TAU3
Q9NP86 P15884
P0CG20 Q9Y3C6
Q17RB8 O43597
P09917 P09769
P63027 Q12846
P10912 P17706
Q9BXY8 O76015
Q9BQQ3 O00116
Q16555 Q9H8Y8
Q9UII6 P02545
O00560 Q8N9N8
Q08117 Q96I34
P60410 P19544
Q9HBL7 P26641
Q64LD2 P36406
Q9NP84 Q9BRI3
Q9UIH9 Q16656
P60409 P26371
P49407 P25101
P67775 O14920
Q96MG7 Q8WV22
Q9UL15 Q8N6L0
P60410 Q92537
Q5VU69 Q9H7Z7
P84103 Q9UBU9
P05161 P41226
P15036 Q8WVJ9
Q8N8B7 Q08AM6
P60409 Q9ULM2
Q13021 P35372
Q13526 Q6A162
P21673 Q5VUD6
Q8N5M1 Q9UKT9
Q9BUY5 Q96Q77
P49761 P38159
Q16385 Q86VP1
P60409 Q9UHI7
P29373 P35609
Q5T753 P60328
P36575 Q96IT1
Q13155 Q96AE4
P29972 Q9BXK5
Q96ES7 Q9NPJ6
O14745 P47900
Q9NRC8 P28324
Q13616 P46527
Q8N6L0 Q92843
P12004 P38936
P37231 O60869
Q9BYR5 Q9UBE8
Q8IYX8 Q5SQN1
P25786 Q9NRD5
Q15323 Q96BZ8
Q7L0Y3 Q99714
P57075 P14136
Q16695 Q9UHJ3
Q9NT62 O95166
P16333 P10412
Q14847 P28069
P0CG48 Q16186
P60411 P49639
Q9BS31 O43463
O14965 P53350
P13196 Q8TBZ8
Q5TA81 Q6L8G4
Q13137 Q9Y3M9
