P06730 Q9NRA8
Q9Y2V7 Q9BWG6
Q14451 O00165
Q96FN4 Q8TBC4
Q9Y217 Q13287
O60506 Q99873
Q8IUH5 Q7Z698
Q7Z3I7 Q04864
Q6VVB1 O95278
Q07812 Q7L3V2
P60410 Q9BWG6
O00560 P12931
Q15323 Q96FQ7
O43186 Q01974
Q8IYF3 Q8NDB6
P49711 Q01860
Q9Y237 Q8IZU0
Q08379 Q08117
Q8WWY3 Q8ND90
Q13740 P17931
Q8N6Y0 Q8IYX3
Q6UWE0 P54274
Q9ULS6 Q7Z3S9
Q03014 P60410
P51116 P55081
P15884 O75934
O43586 P48023
Q53EZ4 P56279
O00401 Q13882
Q13435 Q70Z53
Q14103 P31947
Q9UER7 Q99816
P46109 P22681
P98170 P63000
Q9NP66 P78346
Q9UKJ5 Q5TA76
Q8IZU0 Q9Y2Z4
Q9H305 Q15025
Q9BUY5 Q9BRK4
Q8ND90 Q9UKJ5
P54105 P62312
Q3SYF9 Q93062
P40222 Q86VQ0
Q9BUL9 O75817
Q04900 Q7Z3S9
P55072 P68543
P62714 Q9Y2T1
Q8WUK0 Q7Z3S9
Q96E29 Q15041
P06748 P04637
Q9C0F1 O76064
O95402 O43513
O43482 P37198
P35609 O60232
O75427 Q99750
Q8N6Y0 Q9BXY8
Q8N668 Q04206
Q8IUH5 O00161
Q96JM7 Q9NPG2
Q8N684 Q08117
P50222 Q9H788
P10606 P14373
Q8TAU3 O43281
P25791 P17028
P12643 Q6ZVN8
Q05519 O00560
O75478 P52292
P15884 Q9UBY9
Q15323 P14222
O60573 Q7Z6G3
Q14247 P18031
Q9Y265 P63279
P11473 Q15645
Q8NF64 Q16385
O43395 Q8IZU0
Q15560 Q9C0F1
O95336 Q9NYB0
P35249 P35250
Q96C00 P60411
O43186 O94888
Q9UI14 Q9NPQ8
P62993 Q9UQC2
P00540 O95273
P45984 Q96JM7
Q96M61 Q06547
Q8NDC0 Q9BUJ2
Q8IZU0 Q9Y5T4
P49902 Q6ZVK8
Q9NVV9 Q9UL15
P40763 P30626
Q9BYE3 Q5T749
Q5TA78 O14633
Q7Z6G3 Q96CN9
Q9BUZ4 Q8N7F7
Q8WVZ9 P60520
P60903 Q14527
Q9GZQ8 Q9GZZ9
Q53GL0 Q9HCE7
Q68G74 Q86U70
P53567 P18847
Q9C0F1 Q8IYX8
Q9BSD3 Q9BRK4
Q99986 O76064
Q9H492 Q9BQD3
O15400 Q9H270
Q9BYG4 Q96L34
P01583 P27930
Q14192 Q9NTW7
Q9H257 Q14134
P23763 O95721
O00629 Q9NZL9
Q9Y4K3 O43734
P49639 Q5T749
Q03431 O95872
P49005 P12004
Q9NPB6 P41743
P17535 Q00987
Q99750 O43741
Q99750 Q5W150
Q7Z7F0 Q9UHX1
Q8NCR3 P27482
O96015 O95837
Q9UBU8 P13805
Q9NZ81 P50542
Q96LI5 Q9UIV1
Q9UPT5 Q969G3
O14777 Q96ES7
P13196 Q8TCT0
P54646 Q93062
A1L4K1 Q6NX45
Q08117 P26368
O75031 Q8NHS9
Q9BWD3 Q68D86
P22570 P49789
Q5MCW4 Q6A162
P54646 Q9UBR4
Q07021 O00198
P60900 Q14D33
Q6P1W5 Q96CS7
Q96LR5 O15344
P43629 P03989
Q9BXY8 Q15323
Q06481 O75618
Q86SE8 O75607
Q8WVC0 P23193
Q08379 Q9NSI2
Q9BYV2 P55081
P60409 Q9NSA3
Q9NQZ2 Q96GN5
P49321 Q16695
Q96N64 Q13547
Q8TAX7 P15515
Q8N8B7 Q9BYR5
Q9BSL1 Q92567
Q9NV31 Q15942
Q8N4L8 P15976
Q9Y6H1 Q9BYV2
Q99750 Q96GN5
P36508 Q9H0I2
P18847 P35638
Q8TAB5 Q13077
P02489 O14558
P61024 P60411
Q9H5Z6 Q15323
Q6P444 P43365
P31944 P50222
P19012 P10606
Q96BZ8 Q01850
Q9UKT9 Q9P2K3
P50222 P36383
Q8N6S5 Q9BZJ8
P30626 Q9NZ81
P07858 P40692
P36406 Q7L4I2
Q9NP31 Q9UF11
Q86XT4 P54725
P26447 P23297
Q9H7E9 P36406
A6NGK3 Q96IK5
P19338 P61586
Q6NT76 Q9H788
Q9UHW5 Q9HCN4
Q14498 Q8N9Q2
P35236 P28482
Q8NEC5 O14817
Q8NBI2 Q99942
P51116 Q9UI14
P61086 Q8N9I9
Q1A5X7 O14964
P01375 P20333
P32242 Q9BYQ2
P61247 P07900
Q96IZ5 P14373
O00472 Q96JC9
O15379 P01106
Q96SQ5 P60370
Q96G23 P07306
Q8WUM4 P17931
Q8IXK0 P25791
P41182 Q13077
P51116 Q8N7H5
Q9BYV2 Q53TS8
P06241 Q9Y2W2
Q13137 Q96S44
O95834 Q8NHP7
P17542 P15923
Q9H8Y8 O00463
Q08117 P98175
O95166 Q9GZZ9
P60370 O75386
Q00526 P24863
Q5VW32 Q9NZZ3
Q9NP55 Q9NXW9
P45984 Q5HYW2
P01106 Q15059
P37837 Q9NYB0
P60328 Q5TA76
Q7Z3S9 P60329
P54105 P62314
Q14596 Q9H492
Q9H8Y8 Q9BXF9
Q9P2Z0 Q03393
Q14145 Q9Y3Q8
Q9NYB0 Q96A72
Q6ZVT0 P55209
Q9NYB0 O95336
Q9UJX0 Q0VD86
Q6ZN57 Q6A162
Q8ND90 Q13895
Q9NUL5 Q99750
P0CG48 P35226
Q8IZU0 Q9H7E9
Q07820 O43521
Q9BQ89 Q9BYV2
P06239 P43403
P26371 P50222
Q8IYX8 Q15654
Q96GN5 Q8IUH5
P17612 P31321
P49841 O95863
O43765 O14836
Q9H446 Q9Y295
P25800 Q8IXK0
Q8IW40 P50222
P46108 P56945
Q96PN8 Q08117
O43365 Q15437
O75683 P68400
Q7Z3S9 Q9Y223
Q9UBF6 Q96Q27
Q13617 O94888
Q12846 Q96IW7
Q9BYQ2 Q96HA8
Q9BXS5 Q13422
P25786 Q13829
Q9BYQ2 O43741
P49407 P50148
P50995 O75340
Q96CJ1 P0C1Z6
Q8WVM0 Q00059
Q96P16 Q8IXW5
Q8NI38 Q6A162
Q6A162 Q9UHP6
Q9UQN3 O75351
Q9Y297 Q8WWW0
P63000 Q13177
A8MQ03 P49639
Q08117 P84022
P62805 Q13547
Q14318 O75344
P40222 Q9P2K3
O43639 Q15427
P30153 Q13362
Q9Y383 P78362
P17861 Q9NS37
P98170 P40937
P60328 P49639
Q16623 Q9H115
P26371 Q99571
O94992 O60563
O43597 O43741
Q9NS73 P24863
Q04864 A8MT69
Q7RTU3 Q08117
Q13352 Q8WWB5
P60409 Q8TBZ8
Q9NUL5 Q13077
P19429 Q9UKA8
P57052 Q06547
Q3ZCW2 Q9Y6D9
P83876 Q9BRK4
P26371 Q8NDP4
P16949 Q86VW0
E9PJI5 Q9BUZ4
P26371 P59991
Q92993 Q01130
Q3B820 Q8N6L0
P25786 P19012
Q9BYR7 Q7Z417
Q8TF65 Q9HB19
P14373 Q9BUI4
P43378 Q96DZ9
P27658 P60409
Q9BYQ4 Q86YT5
Q9Y6K9 Q9UHD2
Q13547 P17844
Q53H82 Q8IUQ4
O14544 Q13480
P62993 P27986
Q13643 A2VCK2
Q9NQL2 Q7L523
P78337 Q9NP55
O14936 P41134
O75971 Q8NFP7
Q9BRK4 Q14847
Q9H8W4 Q9HAF1
P09917 Q14019
Q96FJ2 O96015
Q8NA61 Q7Z2X4
Q8N8K9 P60520
Q3KQV3 P61978
Q9HCM9 P19474
Q14103 P67809
Q9NZW5 O14910
Q9H7P6 Q8TBB1
P08243 Q86WT6
Q16637 O15160
P35219 O43186
Q01094 P49336
P25786 Q13077
Q9BZL3 P11686
P78329 O43889
Q9BQD3 Q96EZ8
P0DI81 O96006
Q15843 Q13616
Q13112 Q9Y294
O43741 Q8WXI9
P18846 P16220
O00560 Q96HT8
Q8WVV9 Q8N9W6
P63208 Q8TCJ0
P60891 O60256
Q9P0T4 O95273
P00540 Q8N6Y0
P49902 Q9Y5B8
O75553 Q96HA8
Q8IWZ5 Q7Z3S9
Q9Y4K3 Q12933
P62913 P01106
Q08050 Q00534
P50222 Q15560
Q00987 P17535
P20783 P50222
Q96BS2 Q9Y2W2
P49427 O00560
Q9HBM1 Q8NBT2
Q96HD9 Q9H8W4
Q9UQR1 Q8IUQ4
Q9BXY8 Q12933
Q9UBX5 O95967
Q96FJ0 Q9UKT9
P23511 Q92624
P48729 Q96SW2
P06730 P11940
Q13490 Q12933
Q14847 Q9BYR5
Q9Y294 Q13112
Q86X95 Q01081
P40933 Q13261
O00560 O15347
Q8N8B7 Q8NC69
Q08117 O15409
P55273 Q13363
P12956 P13693
Q13526 P49639
Q7Z6G3 Q96HA8
P27487 P51671
O75971 O60232
P63165 Q9BQY4
O43390 P16333
Q8TAP6 P32969
Q99986 P38432
Q8N6L0 P15622
O95678 P19012
Q7Z417 P60410
Q6NUQ1 Q9H788
Q7Z3S9 O14910
Q9H6L4 Q5JST6
P49639 Q9BQ66
Q93062 Q9Y4M8
Q8TDH9 Q6QNY1
P24863 Q15323
O95343 Q92570
P25705 P63104
Q15038 P86479
P06241 P50406
O15318 Q9H1D9
O75553 Q3SYF9
O15111 P46527
Q8N7H5 P23193
P10636 P04156
P56693 P23760
Q9UBK7 Q96LK0
P50552 Q9C026
Q9P2A4 Q96HT8
Q9NWS9 Q8NF99
O75821 Q8IZU0
Q8N715 P43356
Q9NV12 Q9GZY8
Q96NB3 Q86VW0
P49810 Q53EL6
O43516 P08631
Q96GS4 Q12929
P24593 O43889
Q9H190 Q9P0T4
Q01094 O14744
Q08117 O95751
P53365 Q8N6Y0
Q99750 Q8IVW4
P98066 P80098
P09012 Q9BQ61
Q96EK4 Q13363
P02538 P19012
P17542 P10242
A5D8V6 Q6P1W5
Q9UD71 Q12800
O75379 O14662
P48047 P19012
Q9UBL3 Q9C005
Q9H9Q4 P49917
O43829 Q9H0I2
Q8ND90 Q9H7H0
P31749 P10636
O14964 Q13287
Q9H190 Q8IZU0
Q6NT76 Q3B820
P60412 P32242
P61968 Q93062
O43760 Q6AZY7
Q7Z434 Q13137
Q04323 Q9Y263
Q8NC69 P57764
Q9GZZ1 P41227
Q8WWY3 O95751
Q9H668 Q5SW96
O60884 Q8WW22
Q969V4 Q8IYR0
Q8N4P3 P0C7W6
P60370 Q9P2Z0
Q96D71 Q9UL33
O95999 Q12933
Q13526 Q52MB2
Q9HAT0 Q8TBB1
Q9NP66 Q96BS2
Q14847 Q96GY0
P15884 O15160
Q13643 Q9HC36
P43115 Q0VD86
Q5T4F4 O95292
P48023 Q9UNF0
Q8NI60 Q9UI14
Q96HR9 Q9NRS6
Q15004 P12004
Q5TZK3 O95967
Q8N6G5 Q8N205
Q15797 P17844
Q8IXM6 Q8IWR1
P14373 Q9H0K6
Q8NA54 Q9H2G9
Q9H4D5 P12757
Q9Y2V7 O95995
Q12846 P54920
Q13509 P54274
Q7L273 Q9HC52
Q6NXG1 P86480
Q8IUH5 Q16537
P62258 P63104
P09493 Q9Y6D9
Q6NYC8 P08727
Q99750 Q3B820
Q9HCS7 Q9UNP9
Q96HA8 P60409
Q9UHX1 P26368
P50222 P26371
Q13155 Q12904
Q9UQB8 P63000
Q96HR3 P60411
O76003 Q6NX49
P51687 Q9UJW9
Q9UMX0 P01160
P29372 Q9BPX1
P30411 P01042
Q93062 Q6DKI2
P19012 O60220
Q15796 P35813
Q9H492 Q86VR2
Q8N6Y0 Q6ZUS5
P56279 Q53EZ4
P32239 Q9P121
Q9NS37 Q5W5X9
Q9Y468 P68431
Q14318 Q8TBM7
Q9Y3C0 Q8TBB1
O43752 Q9H115
Q8N6T3 Q9BYQ4
P21673 P22459
P60411 O43167
P78423 P05106
P49841 Q15797
Q92805 Q8IYX8
Q15323 Q8TD31
Q15025 Q9UBU8
P13805 Q9UBB9
Q17RD7 Q9UI14
Q9NRR5 Q9H492
Q13114 O00463
Q08117 Q96A09
Q9Y371 Q8IVP5
Q9Y2V7 P55040
O14633 P60328
Q9GZT8 Q9UHG0
P50402 Q9UH99
O75934 O14964
Q8NF64 O75865
Q8IXL9 Q17RB8
Q8ND90 Q8TAP4
Q9NPB6 Q8ND90
Q15555 P25791
P19525 O75569
Q9BVM4 Q96KN8
Q8N140 P43355
O43812 P17661
Q14318 Q9GZT9
P04083 Q13546
Q9BXK5 Q8N661
P61296 P15884
P13073 P00395
O14503 Q08AM6
O14796 Q96DU3
Q9H898 Q13620
P19012 Q8TD31
Q9BQ66 Q5T7P2
Q8IW41 Q16659
Q13137 P17482
Q7Z4I7 Q6A162
Q8N4P3 Q15025
Q9NQL9 O75525
Q01081 Q6NYC1
O15162 Q9UBR2
P52797 Q7Z3S9
P15036 P04637
Q9H892 Q8TD10
Q8IZU0 O75821
Q8N3C7 Q8NC26
Q96CS2 Q99816
O15155 Q12846
P43115 P60411
P61978 Q9NYB9
Q9UJV3 Q8WTP8
P18848 O95751
O15392 P62826
Q96HA8 P49247
O43290 P63165
P60410 Q8TAB7
Q9UHD2 Q12933
P0DN76 P26368
Q9UJC3 Q9H8T0
Q96GN5 Q9GZV8
Q15697 P10073
P21145 Q9BZL3
P05813 O75360
P0CG48 Q6ICB0
Q9BWF3 P60842
Q13261 P40933
Q9UBR2 Q9UJV3
O95210 P60520
Q00978 P52630
Q9BYV2 Q6NYC8
P10909 P01100
P52789 P43365
Q8N3L3 Q01850
Q969T9 Q9GZV5
Q96MU7 P61978
Q8NEC5 Q6L8H2
Q9BQ24 P14373
Q13895 P60409
P61326 O75478
P19012 P13647
P32927 P05113
P52657 P20226
Q7L4P6 Q3B820
P31749 Q13485
P29350 P43628
Q8WVJ2 O14744
Q14525 O43559
O43741 Q9BQ66
Q99081 Q9Y5S9
Q96A04 O15409
Q07325 P27487
O60573 Q8N6Y0
P57086 Q8ND90
P84022 Q15796
Q9HD42 P07947
Q04206 Q9NY61
Q5T754 Q9BYQ0
O94921 P38936
P29972 O43889
P01138 P08138
P05556 Q9BY76
Q9BSH4 P21673
Q08AM6 Q96HA8
Q9NP66 Q96A72
P67775 Q9Y6K9
Q92934 P10415
Q8IYX8 Q3B820
Q99750 Q8NEC5
Q8IUH3 Q99757
Q9NWZ3 P58753
Q9UJV3 Q9HAC8
P43360 Q8TAE8
P35232 Q496Y0
P14678 P62318
Q6A162 Q8NEF3
Q13131 O14627
P54764 O43921
Q8N7H5 P04792
Q8WYH8 Q6ZUJ4
P60410 Q8WUK0
Q9C0F1 Q9BZW7
Q9Y6R0 Q9NWB1
Q9Y6M9 P43364
Q68D86 Q08426
Q14296 Q8WWY3
P63208 Q86XK2
Q9Y2K5 Q93062
P35227 Q8IXK0
O43597 Q5TA78
Q99418 Q96HB5
O95402 Q9NPJ6
Q8IWE2 Q96DZ9
O43609 Q5T7P3
Q93062 Q02930
Q9BQD3 Q8TBB1
O43504 Q8NBW4
P55209 Q6ZVT0
Q96HA8 P98170
P86480 Q9NV39
Q96I34 Q15654
O95273 Q02363
Q8WXI9 O43741
P50222 O14929
O76003 Q9NWS6
Q9UPY8 Q8NEU8
P52744 Q99750
Q5T752 Q9BYS1
Q53G59 Q8IVS8
Q96NC0 Q9BRK4
Q16236 P13805
O75558 O43741
Q5TCM9 P05187
Q96BR9 O00560
Q8IXL6 P08833
Q13190 P43360
Q96EQ8 Q96LR5
P30039 Q52MB2
P09917 P08631
P08631 Q9HD26
O14640 Q14186
Q92993 P11926
Q13489 Q9Y572
Q8IWZ5 Q8NEZ2
Q99750 Q06418
Q99873 Q9NR22
Q9Y3Q8 P54646
P21673 Q9NQL9
P50222 Q8N9N8
Q9BRU9 P60370
Q8NDB6 Q9UBB9
Q9P0T4 P14373
O75031 Q8NFU5
Q9Y4K3 Q96CG3
Q9Y3D6 Q8N6L0
Q9NSC5 P62306
Q5TA78 Q9BYR5
Q9BSG1 Q9BZW7
Q6PIV2 Q8N9N5
P17661 Q9UBX2
P05412 P01100
Q9BXN2 O60238
Q86VP1 Q9Y3B7
Q9NWS0 O95905
Q86WT6 Q86SG6
Q9UBF1 Q16384
Q9HAZ1 P52294
Q9NS73 Q9GZM8
Q7Z3S9 P60370
Q7Z3S9 O60259
O15304 Q9NR77
O95863 Q9Y297
Q9BQ24 Q8IUQ4
Q8N6Y0 Q9Y3D9
Q13444 P62993
Q8ND90 P0CW24
O43741 Q01974
Q5TA81 Q9BQ66
Q99750 Q9Y6K1
Q969H0 P01106
P02649 P50502
O60684 P01583
Q8WV44 Q08117
Q9NRI5 P18848
Q12933 Q92917
Q5T681 P60411
Q9BRK4 O43463
P18031 Q9H1D0
O60573 P60410
O75771 Q8IYA8
Q9H0I2 Q9UL42
Q96FX2 Q8WWB5
Q9P021 P78352
Q9UJ70 Q99081
O14633 P60410
O75426 Q8WVJ2
P09493 Q8TC20
P55040 Q9UKT9
Q96DZ9 Q9NVS9
Q9BSE2 Q96IW7
P40306 P50222
Q96Q77 P50222
Q8N6F8 Q92569
W5XKT8 Q8N9N5
Q68J44 P45381
Q8IVS8 Q86UW9
Q9HC52 Q6A162
Q9HAC8 Q9UJV3
Q96GX9 Q8IYR0
O43704 O00560
Q5VWX1 Q9NQX5
P50222 Q8IWZ5
O00570 P40763
P60372 Q15040
O43913 Q9UBD5
P49321 Q9NYB0
P61077 Q6ZNA4
O95231 Q9NVL1
Q9Y5X4 Q13547
Q9HCK0 P63279
P43358 O75832
Q96LI6 Q7L1I2
Q8NE31 P0C7W6
P57060 Q8N8K9
Q8NHQ1 Q14584
Q15323 Q9UHI7
Q96ED9 Q9UII6
Q96EZ8 Q6ZUT1
Q12884 P01275
Q969G3 Q9UKL0
Q9C005 O43823
P60409 Q9NZ81
Q8IZU0 Q5JUK9
Q8WYH8 P53365
Q13153 P60953
Q8IZ13 Q04864
Q7Z3S9 Q6PJG9
O43463 Q9BS31
Q3SY00 Q86XT4
P25208 P04637
A8MQ03 Q8NA54
P43628 Q29960
Q9P2A4 Q9NSC5
P60409 Q9UBK9
Q15051 Q8NFJ9
P41002 P63208
Q16633 Q9BX46
Q9Y2J4 P63167
Q9Y4K3 P61077
O00267 P63272
Q9BRP8 Q9NUX5
P20073 P30626
Q8N6Y0 Q9BVI4
O95166 Q8WVZ9
P60370 Q6PEX3
Q9BYS1 Q9NQL9
Q9Y223 Q9BQ66
P14373 O75716
O43639 Q9H9H4
Q5T754 Q8N5G2
Q9BSE2 Q9NRS4
Q9Y4X0 Q13137
Q05D60 Q8IY31
P62993 Q8TF74
Q96A72 Q04864
P16220 Q6SA08
P24863 O14880
Q9UER7 Q8IZU0
P59022 P14678
Q9HAT0 Q15506
P31941 O95630
O96011 P40855
P09917 P07947
Q676U5 Q9BXW4
Q96Q77 Q9UHV2
O43561 P18031
Q9BWG6 O94972
Q7Z2X4 Q9NVV9
Q02930 Q7Z3S9
O95365 Q8IX15
O43765 P05121
P16333 Q13177
P45381 Q68J44
Q13330 Q7Z3S9
Q9NQ50 Q12800
Q8NHY3 P21673
P32242 Q16348
Q04864 Q9UJX0
Q9UBU8 Q14919
Q9NWQ4 Q8WV44
Q13077 Q9HBE1
Q9NWS6 Q70IA8
Q71DI3 P02545
Q8IYF3 O95715
Q9BYV2 Q8TBB1
O14863 Q6XR72
O43597 P62993
Q9UKT9 Q9NW38
Q9NZD4 P69905
Q15796 Q9H3D4
P60370 Q9BQ24
O00629 P07910
Q86VP1 Q9NP72
P23511 P52655
Q86VS8 P50222
P50222 P20783
P47897 Q9Y3C5
O43324 Q9BTE0
Q13501 O95166
P28324 Q9NRC8
P26371 O43167
O43257 P60409
P06401 Q9H467
Q9H8Y8 Q8TAK5
Q9NYJ8 Q15750
Q15040 P60410
O14530 Q96B26
Q99259 Q6RW13
Q96GN5 Q99750
Q9ULW2 Q9Y5L2
Q15415 Q9NRW3
O76015 P05787
O60573 Q5T124
Q96MA6 Q9H832
Q05329 Q969L2
O15392 P06493
Q15369 Q15370
P10145 P25025
P61978 Q99873
Q9H0A9 Q8IXK0
O95166 Q86V97
Q15742 Q8N8B7
O14908 P17643
Q68D86 Q96ES7
Q8NHQ1 Q9Y3A2
P49366 P27361
Q14790 P48023
P01112 P15056
P18065 Q9C086
Q03135 P41134
Q9HC52 Q9BSM1
Q9P2K6 Q8WTU0
Q9UH03 P61024
O15379 Q9UIS9
Q8WV24 Q99750
P28482 P32121
P23381 P54274
O95983 Q01860
Q5PSV4 O00471
Q9NWQ4 Q96EG3
Q8IYF3 Q9H596
P49757 Q05513
P01106 P11802
P55211 O15392
Q6KB66 P19012
P22694 P08238
Q13077 Q8TD31
Q96KP6 P43356
A8MQ03 Q5TA78
P60411 Q9H2F3
Q8IWZ5 P0DI81
Q7Z3S9 P43353
P46108 Q13480
P07437 P05412
Q86XK2 O95863
P58340 O75190
Q15654 Q8IXL7
P52292 Q99750
Q9UKK6 Q9H4D5
P30307 P53350
Q04864 P62875
O43255 P35372
Q8N9N5 P61968
Q02930 P15407
Q01968 P20339
P26371 Q9BYQ4
Q14554 Q99750
P40939 O95166
Q9BRK4 P24863
P25685 P54274
Q96MU7 P62995
Q9NX04 Q86UD0
Q86UW9 P61601
P48645 P26371
Q99598 Q9H257
Q5T4W7 O60609
P51813 P11309
Q8TF42 Q96PM5
Q9NSB8 Q9BRK4
Q16585 P47884
Q9BT49 P60410
Q96E40 O00471
O43463 Q15910
Q8N8B7 O95073
Q13330 P43364
O76075 O00273
Q15006 O43402
Q14145 P62495
Q9ULK2 P60411
Q6UWP7 Q9HD26
Q71U36 P05412
Q04724 Q01196
Q9HAF1 Q9BYV2
Q8NEY3 Q8IUQ4
Q04864 Q9NSA3
Q96Q40 Q13451
P31153 Q9NZL9
O60220 O75886
Q53HL2 Q96GD4
Q15437 Q8N684
P46108 P45983
Q96JM7 Q96S99
Q13330 P21673
Q8TD10 Q8N5A5
Q9NS91 Q13416
P15884 Q5JT25
Q14847 Q8IUH5
Q12778 P14635
Q9UGI0 Q96H86
P63000 Q6P589
O95273 O75928
Q99471 Q8TEW6
Q5PSV4 Q9UJV3
P49639 Q92802
Q9BTA9 Q9Y228
Q96BZ8 Q8NHQ1
Q9BYR8 Q9BYQ3
P26371 A1A5C7
P85298 Q13526
Q3KQV3 P60411
Q9H0A8 Q9NX08
O43829 P62875
Q13526 P01106
Q9BYQ3 P60410
P0CG48 P98170
Q7Z3S9 Q9UBX3
P11049 P29350
P10242 P63165
P06727 P20393
P54646 Q9NYB9
Q9P0B6 P49238
Q99836 Q8IUQ4
Q8TBK6 P61289
Q969G9 Q9BYR9
Q8WWG1 Q969F0
O43463 Q5TAQ9
P19338 P32121
Q13155 P13807
P54253 Q96LI6
P49247 Q8TBB1
Q9BYQ0 Q5T7P2
Q96IX9 Q12933
Q8N720 Q6A162
Q15645 Q96L50
Q8TC92 Q96E35
Q13094 O75791
Q8IZU0 Q9ULW3
Q09028 O14929
O43716 Q05519
Q68D86 P55040
Q08426 Q8ND90
O60573 Q08117
P50222 Q9UJX0
O14558 P02489
Q8IZU0 Q9BYD2
O60573 Q96C00
P24863 O75528
Q15022 O15379
P14373 Q9BT92
P61964 O43823
Q96DZ9 O43615
O75360 Q08117
A5D8V6 P25788
P55273 Q00534
Q6NZ67 P23258
Q08117 P61968
Q9P2K3 Q15323
Q49AR2 Q9Y2W2
P05067 Q13867
P31431 O43765
Q02363 O95273
P63165 Q9UJ78
Q9C026 Q8NI38
Q86VR2 Q9H492
P04637 P23396
Q92802 P25791
Q08209 P24588
Q8IWZ5 Q8ND90
P41223 Q7L4P6
P43353 Q7Z3S9
P08631 P60411
P12236 Q15654
P36404 Q9Y2Y0
Q15323 P49639
O14512 Q14141
P01160 Q9UMX0
Q9HBI0 Q96D03
Q9UN37 Q96K21
P35520 P25786
P60709 P63261
Q8WZ19 Q13618
Q96CV9 Q9BUY5
Q15038 Q9UHD9
Q9P0V9 Q16181
Q3KQV3 Q96EG3
P49639 Q9BYQ0
Q96C03 Q9UMX0
P50222 P41227
Q96QF0 Q86V42
P26371 Q3B820
Q6P1W5 P62993
Q14498 Q8TBK6
Q9BYR5 Q8WWW0
Q8TBB1 Q68D86
Q15323 Q8N6Y0
Q53ET0 Q15233
Q96LR2 Q96CS2
Q9UJV3 Q9H8Y8
P17275 P18847
Q0VGL1 O43504
P47902 P49715
Q16543 P02649
Q9HBW1 Q9Y2I2
Q86XK3 Q9UBB9
P16333 Q15109
Q07812 Q07820
Q9C0C6 Q9UJ41
Q9H7E9 Q9NRI5
Q96RJ6 P15884
O75711 Q8NEC5
Q9UHD8 Q14141
Q9NV12 Q8N205
P14373 Q8IUQ4
Q9UHI7 P16333
P49137 Q16539
Q3B820 Q8N0S2
Q86VP1 Q8TAP4
P49841 P10636
Q13077 Q13573
P25800 P15884
P04637 P13693
Q15056 Q9NRD5
P67775 P46695
Q96HA8 Q9UI14
Q9UI14 Q17RD7
P43355 Q13547
Q9BUH8 Q6NX45
Q96RU7 O14744
P01008 Q8IXL6
Q86YD7 Q96B26
Q7Z4N8 Q9UBF1
P13010 P09629
P04637 Q07817
P26367 Q9Y247
P27797 P04792
Q8IUQ4 Q8TBK6
Q8WTP8 Q6A162
Q8WVV9 Q9NVV9
Q9UBU8 Q9BRK4
Q14847 Q93052
Q9BSI4 Q16643
Q8TAE8 O95257
Q86VP1 P60981
Q06609 P43351
Q6A162 P35900
P13051 P15927
Q04864 Q96H72
Q08379 Q14964
Q96Q77 Q9Y6A5
O00506 O43815
P31749 O43524
P49639 O76014
Q9P2K3 Q53EZ4
Q15645 P22307
O14744 Q86U06
Q04864 Q96LT7
P50222 P04440
P31749 P62136
Q13573 Q06330
P49639 P59990
Q3B820 Q7Z6G3
P04792 Q16644
Q96A54 Q9UKG1
O95639 P50222
P61086 Q8WVD3
P62993 Q9BRR9
P35240 Q9H204
P84022 Q9HAU4
Q16543 Q96GD4
P48023 O43586
P16333 P15586
Q96EY1 O75716
Q719H9 Q8TBB1
Q12933 O95990
Q9BTL3 Q15323
Q03154 P54274
P21579 Q9Y6K9
Q15415 P38159
Q9UNE7 Q9BZS1
Q9ULW3 Q8N205
Q9BYR5 O43167
P05162 Q9H190
Q96PU4 P20248
O95295 Q6QNY1
Q00587 Q9H4E5
Q8N6Y0 P35900
Q0VD86 Q96FJ0
P60409 Q8TAU3
P38936 Q00535
P14373 P55040
Q6ZUJ4 Q96CS2
Q93062 Q96LM6
P28799 O76003
Q96HL8 P14136
P29692 P13693
Q9HC52 Q92993
Q9BQY4 O60568
Q7L273 Q8NFH5
Q66PJ3 Q92569
Q96DX5 P12277
Q7L3V2 Q07817
Q9NP66 Q9BWG6
O75478 P55081
O43597 Q6L8G9
Q8IXM3 Q969Q1
Q9Y3Y2 Q86V81
O76080 P0CG48
Q8WUK0 P60410
Q13895 Q12815
P60409 Q9H1Q7
O43829 Q96JC9
Q92567 Q9NWF9
Q93062 P09565
P31749 O15530
Q92692 P60370
Q15233 P26196
Q12874 Q9UDV6
P29692 Q8IUQ4
Q96HD9 O75928
Q6A162 P05787
Q8IW19 Q13426
O15160 P08727
P22736 P10415
Q5TD97 O96015
Q9GZZ9 O95166
Q9BVN2 Q93062
Q96JN0 P56545
Q06587 Q9BYE7
P27348 P23945
O43602 P50221
Q9UGI0 Q9H0E2
Q9BXN2 Q8N205
Q8NHQ1 Q5T3I0
Q03989 P59991
P60410 Q96S52
O60826 Q9UBI1
Q7Z3C6 P26371
Q9Y4K3 Q9UGI0
Q53FD0 Q9UJ41
Q9Y2K5 Q9BYR7
Q93062 Q92567
O43463 Q96ED9
P07947 P25445
Q3SY84 Q8N6Y0
Q8IYR0 Q15323
P24941 Q96PU4
P60033 Q14739
P16333 O00294
Q9BRK4 P00540
Q92665 P40763
O15232 P60410
Q8N6L0 P11836
Q8IWL3 P13804
P61073 P51681
P25788 O15320
Q93050 P07195
Q96S65 P62136
