P38806 Q03096
Q07963 P32525
P53237 P32562
P53043 P24583
Q12186 P31382
P38768 Q03956
P29366 P39937
P47116 Q04660
P53184 Q06708
P32571 P12868
P38792 Q05881
Q06151 P07866
Q12250 P38153
P53100 P29509
P47041 P53196
P38910 Q12390
P19524 P38615
P36131 P40079
P00549 P38996
P38301 Q06648
P36162 P53316
Q12044 P41318
P25644 P38130
P32828 P39108
P22515 P34252
P38631 P38886
Q08965 P14747
P38705 P38823
P38113 P53297
Q03973 P33419
P53184 P32854
P53236 P24279
P53974 P40160
Q05933 Q04562
Q07844 Q06102
P32917 P00812
P53322 P32504
P07258 Q06616
P40564 P38682
P41810 P38333
P08964 P07278
Q03792 P40693
P32481 P32783
P53628 P38696
P38702 P09119
Q07986 P40462
P11433 P38346
P35728 P53248
P38631 P23776
P89886 P12753
P32453 P19262
P25582 P40555
P39083 P39076
P43535 Q12440
P20437 Q00416
P53978 P38720
Q06549 P33296
P35169 P25294
P05085 P02293
P40339 P24871
Q00539 P13663
P43132 P33891
P32447 P38840
P32801 Q06451
P49166 P38431
P11709 P08458
P53011 P39551
P09938 P21651
P53236 Q03900
Q12262 P19812
P40314 P38634
P13856 P06100
P00358 P33760
P54199 P53221
Q12124 P17536
P46672 Q04411
P32796 P39705
P06844 P20081
P06778 P32495
P38759 P31383
Q12233 Q12499
P17157 P22515
P38872 P38786
P48412 P32364
P08153 P40069
P07278 P40462
Q05670 P14126
Q06632 P09032
Q07508 P43321
P40565 Q08931
Q12477 P20604
P19882 P38348
P25655 P38989
P05085 P32908
P23301 P39016
P15108 P36049
Q12224 P38805
P20433 Q07688
P36094 P34226
Q12518 Q03782
P50108 P12612
P38855 Q12102
Q06704 Q07913
P32864 P19657
P12945 Q12483
P53064 P25584
P34087 P25644
P20052 P38737
Q12186 P27636
P40956 P12612
P49956 P52919
P40483 P12753
P20433 P32836
P38113 P50105
P38636 P48232
P53067 P33755
Q12420 P39111
Q04839 Q00416
P10081 P35203
Q12055 P47113
P40055 Q04307
P53176 P42935
Q05949 P40453
P38204 P40563
P36149 P51862
P38690 P38287
P53036 P38753
P50944 Q12151
P53754 P38329
Q99186 Q03337
Q03503 Q12078
P32607 P38990
P24004 P10862
P38820 P38149
P49435 P32364
Q03012 P46949
P00359 Q06673
P32447 Q05947
P40574 P13099
P06169 P15790
Q08949 P08431
P41816 P19657
P39968 P22141
P50113 Q00955
P40013 P38623
P38879 P38862
P06782 P38991
P06103 P39010
Q00539 P53883
Q12513 P38805
Q07887 P53743
P23644 Q08162
Q03081 P38149
P06103 P38328
Q12473 P38249
Q06102 P01120
P25808 Q04412
P38328 P18851
O14455 P53067
Q12241 Q04673
P33203 Q07478
P54199 P39723
P40567 Q08963
P23585 P47057
P31385 P50275
P40555 P38970
Q03071 Q03750
P38889 P36013
Q05946 P36094
P42846 P12754
P40151 Q12020
P32855 P40462
Q00539 Q12220
P38814 Q07478
P53184 P25694
P40565 P04046
P32867 Q12078
P32485 P54885
Q08601 Q06525
P32447 P53830
Q12460 P32629
P25657 P53250
Q08723 P05318
Q12434 P36124
Q06160 Q04089
P36013 P27515
P32324 P53971
P47083 P37296
P53082 Q05947
P25655 P29056
Q08685 Q12256
Q05610 P41277
P22213 P14904
P53283 P18410
P18410 P00560
Q02804 Q06217
P25615 P22204
P38742 P38716
P10363 P38013
Q12344 Q12417
P50094 P29461
P40048 P24870
P22543 Q12084
P40512 P43603
Q06551 P07260
P22007 Q02100
Q05871 P47017
Q12241 P25656
P43574 P42843
P53112 P53221
P36034 Q02608
P08458 Q06675
P46985 Q92331
P46673 Q04562
P53267 Q04217
Q02892 Q06160
P53901 Q12118
P53834 P40465
Q02892 Q12230
Q05670 P17119
P11433 P11154
P05626 P27472
P40164 P35181
P53184 P39935
P23202 P16467
P32598 P53081
P35203 P36103
P25294 P53100
P32855 P21268
P25491 P33201
P00830 P42951
P40070 P38208
P39929 Q06479
P02829 P31384
Q04412 P47129
P07258 P40340
P00937 P50086
P09938 P22543
P38690 Q04894
P40092 Q07930
Q03792 Q04264
P38063 Q03957
Q05080 Q06408
P57744 P38989
P50095 Q99189
P00931 P17157
P53901 P06634
P53978 P24004
Q12055 P53622
Q00245 Q03018
P34758 Q04067
P22147 P09624
Q03697 P05318
P38431 Q04439
P19735 P32912
P21192 P40507
P50094 Q12277
P25441 P20449
P06704 P41834
P15108 P40956
P38861 P33755
Q03071 P27636
P40038 Q08962
Q02804 P36034
P38989 Q06479
P53277 P51862
Q01939 P22139
P40164 P40469
P36005 P11484
P17121 P53550
P47029 P32521
P19145 P36094
P23624 P40494
Q04491 P39929
P54885 P53036
Q03162 Q04004
Q03558 Q04217
P31382 Q08931
P32855 P29366
P12753 P53256
P08638 Q03125
P32502 P35193
P53064 Q12361
P47074 P40202
P24869 P47122
P39969 P11154
P20435 P39704
P24869 Q04439
P38720 Q07657
P40091 P38708
Q06001 P39742
P39743 P32786
P38121 P32590
P40473 Q06340
Q02629 Q00776
P18494 P13185
P32786 Q04660
P41816 O14455
P42884 P12753
P53254 O13553
Q12028 Q03897
P25659 P32590
Q08732 P28495
P21538 Q04048
P32450 P11927
P39548 P53145
P00958 Q08921
Q02892 Q04199
P48524 Q03690
P14736 P40565
P53163 Q06604
P33892 Q06102
Q06324 P20435
P08153 P47822
Q12420 P09798
P48363 P38313
P38744 P40469
P22007 P31244
P38200 P21801
P32528 P25343
P22543 Q08729
P19882 P39904
P20449 P36027
Q08119 P20053
P43638 P47019
Q12129 Q07786
P53261 O13553
P53322 P42843
P43593 Q08963
P38705 P53919
P53738 P53169
Q02775 P39077
Q12260 P14737
P23624 Q12241
Q05778 Q12100
P25567 Q04264
P40510 P40344
P40465 P39925
P00724 P48562
P32899 Q05933
P32582 P15873
P40360 P40857
P37296 P11746
P54999 Q03956
P23394 P37296
P38555 P40555
Q08746 P35056
P18961 Q00816
P40091 Q04377
Q06644 P32790
P53277 P38757
P27999 P07834
P39990 P38691
P53750 P40018
Q02197 P53968
P38692 Q03330
P32802 Q04377
P33306 P32457
P32582 P52286
P47134 P32381
Q08236 P53295
P36068 P33199
Q06409 P53316
P53136 P40078
P36012 Q06479
P38257 Q06216
P41834 P36003
P53272 P30656
P37296 Q05027
P17891 Q08962
P32324 P53298
P53202 Q08215
P40461 P53124
P53901 P21657
P25591 Q06412
Q05946 P10081
P53254 Q02630
Q08562 P43592
P29340 P40453
P00830 P33314
Q03792 P33892
P40462 P40563
Q05080 P48837
P36139 Q12174
P51862 Q12473
P18961 P38850
Q12517 P36103
P46985 P53829
Q12230 P42884
Q04121 P38695
P38749 Q06648
Q02773 P32914
P24783 P47176
P47176 P32583
Q12041 P53212
P32349 P43616
P40959 P15705
P53124 P32458
P23624 Q04675
P53100 P31244
Q04199 P35190
P35190 Q07915
P32786 Q12464
P09959 Q03690
Q12098 P26793
P53283 P32588
P39014 Q6Q547
Q04868 P38324
P12688 P50111
P23644 Q92331
P52491 P05986
Q12276 P53238
P38766 P38237
P38313 P24279
P46672 Q02866
Q03750 P53323
O13554 P39707
P33306 P32525
P34223 P32490
P21951 P31412
P38200 P50105
Q12518 P53834
P49435 P15442
Q12098 P23776
Q04491 P15108
P40573 P32786
P46673 P39515
P30665 Q03818
P11433 P29461
P35688 P32944
Q12044 P47113
P41920 Q08550
P53124 P38298
P28817 P40563
P32502 P31383
P17891 P25360
P32854 P38283
P32481 P14907
Q07508 P21268
Q08446 P29295
P40164 Q06408
P23624 P53600
P10659 P39926
P24482 Q03435
P11745 P33199
Q04031 P47050
Q06216 P32578
Q08726 P50111
P12688 Q12514
P19145 Q02260
P35169 P20437
P37302 P38634
P32328 P53271
P38291 Q05022
P28239 P32776
Q08119 P38063
P24004 P38753
Q12276 O13553
P32366 P53894
P25303 P47122
P40965 P53738
P50108 P38737
P53136 P24871
P51996 P53600
P10592 P87284
P54199 Q00416
Q07418 P38631
P02557 P25454
Q05933 P18962
P39563 P39705
P10592 P39967
P19882 P40038
P32380 P41832
P32496 P04807
P39703 P40460
P28708 P40960
P33331 Q07824
Q08235 Q06616
P40413 Q12009
P19735 P36149
Q06549 P25591
P21182 P07560
P25808 Q08931
Q03735 P39079
P37303 P05986
P07264 Q06628
Q12285 Q12447
P35056 P25579
Q03899 Q06640
Q02100 Q06440
P53628 P47122
P13856 P39966
P47068 P40362
P36172 P35691
P32505 P38793
P32447 Q04411
P20433 P38759
Q05670 P52488
P40564 P40480
Q06412 P32905
Q12310 P53082
Q04004 P39077
Q06679 Q12055
P10592 Q04562
P40078 P25580
P53322 Q12477
Q02354 Q12256
Q06676 P43583
P40495 P32350
P38257 P36149
P33306 P13712
P29366 P30771
Q05610 P38333
P06103 P47160
Q03792 P22141
P28817 P53959
P53152 Q08966
P53834 P53199
P53152 Q06324
P19145 P50275
P39682 P32849
Q06408 P38853
P40958 P40856
P53968 Q08923
P17121 P32909
P07149 P00729
P53550 P04046
P34077 Q02354
P53196 Q03782
P40963 Q12434
P40327 P40991
P38820 P40494
Q12513 Q12318
P17121 P32264
Q04868 P36047
P07866 P33307
P36139 P40963
Q06436 Q04562
P38217 P02293
Q12301 Q02884
Q00684 Q12220
P35718 P20053
P32501 P53169
Q04651 Q12460
P40541 P40167
P25333 P22515
Q02256 P53168
Q12063 P52490
P21801 P47019
P39682 P38555
P36168 Q06665
Q05080 P53256
P36009 Q06216
Q03081 Q06665
P13586 P30656
P28708 P22515
Q05080 Q06216
P38276 Q12315
P41896 P22517
P25299 P32786
P20606 P35181
P07991 P53904
P25367 Q12434
P32607 Q03981
P50094 P25333
P53939 P32563
P22204 P47045
P38861 P00958
P43565 P23287
P32319 Q04439
P25655 P13712
P38310 P53258
P33891 Q04110
P14126 Q08729
P12904 Q04053
Q08965 P00830
P21243 P04456
P22007 Q00578
P24870 Q06815
Q06644 Q04005
P33303 P43568
P38789 Q12045
P14291 P32491
P11709 P36047
Q03220 P40303
P32471 P33755
P40991 P32835
P32481 P50086
Q04031 P49166
Q03897 P53297
P23644 P32767
P53622 P32464
Q08931 P36520
P38690 P21965
P47116 P33760
P20449 P46675
Q04439 P39101
Q03012 P40091
Q04673 P27895
P30619 P53115
P32450 P07262
Q99207 P53278
P16467 Q04660
Q12248 P25584
P40959 Q00816
P34730 P32794
P20438 P14164
P40005 P00830
P40018 P24871
P41814 P00950
P11075 P13099
P20133 P24583
P23561 P36120
P20459 P06775
Q05946 P37296
P53100 Q04675
Q06549 P38990
P13856 Q00816
P06787 P23638
P38690 P50105
P38339 Q07657
P32945 P46677
Q04199 P47176
P47176 P28795
P39717 Q07478
Q04368 P21801
P36029 P39929
Q02199 Q00916
P53865 P04821
Q06708 P38998
Q04439 Q03096
P53094 P06775
P36005 P38760
P32528 P22141
P38274 P30902
P53068 P47103
P25586 P36012
P32607 P40204
Q04121 Q12390
P40078 Q08963
Q03919 P35728
P40567 P47041
P43612 P38346
P18888 P42846
P39014 P32527
P32350 P38988
Q04199 P28006
P25719 Q08562
P33401 P42935
P49704 P40567
P38861 P28708
Q06616 Q12055
Q12460 P38810
P32505 P38431
P08964 P33331
P32464 P25336
P53550 P40314
P17255 P19658
P32504 Q99189
P13517 P39081
P19524 P25491
Q08649 Q00618
P32607 P16861
P21951 Q04673
P49956 P38806
Q08550 Q03096
P32349 P32523
P42073 P40957
P46680 Q12468
P53845 P10869
P40095 Q12372
P53129 Q04062
P32790 Q05958
P40018 Q06479
Q07623 P38705
P08524 P20081
P21182 P32909
P53252 P38837
Q02884 P34241
P23644 P46948
Q08975 P32578
Q06624 P08638
Q04562 P53196
Q03558 Q04338
P53130 P24279
P39875 O13559
P31109 P35203
P53905 P54860
P13586 Q12447
P27796 P23301
P39875 P40357
P33331 P40507
P15646 P48582
P36010 Q08963
P38631 Q99189
Q06696 P38962
P39927 P38776
P38789 P10964
P53840 P33333
Q03063 P32457
P25043 P33399
P07272 Q07896
P53184 P02400
P33303 P38555
Q00684 P38720
Q08965 P06100
P53136 P07342
P17555 Q02100
P40335 Q12241
P48525 P32350
Q12418 P02400
Q03899 P06774
Q08119 P53168
P40958 P46985
Q04368 P38991
P17121 Q12041
Q12161 Q12285
Q04749 P53176
P30657 Q12446
P24868 P28834
P38877 P00358
P33334 P02994
P19735 Q07834
P87284 P14682
P25296 Q08902
P53280 P32801
P24482 Q04089
Q02825 Q12482
P33331 P27472
P25644 Q08956
P43565 P40484
Q12347 P07834
Q04087 P53861
Q05947 P13045
P32854 P38863
P25569 P35203
P53094 Q07657
P40892 P29509
Q12276 P40350
Q02256 P53221
P53855 Q04121
P46655 P32854
Q08911 P38783
P17121 P53277
P01123 P35177
P47176 P00128
P40186 Q08601
P38431 P26793
Q03012 P38705
Q03784 P50275
P36085 P40453
P20435 P47019
P38861 P50277
P25604 P31412
P32354 P32849
Q07657 Q03071
Q06644 Q08965
P49955 P48562
P43638 P43583
P25369 P38333
P14306 P39702
Q03735 P53221
Q08956 Q06665
Q03012 P37838
P02994 P53081
Q12424 P32521
Q08273 P27637
P38696 P47104
P53267 Q12328
Q05471 P40515
P53277 Q04089
P07274 Q03957
P25646 P38903
Q12199 P40563
P32478 P50095
P32854 P38806
P47912 P53163
P39073 P38013
Q03308 P47103
P38720 P22137
P38203 P53196
P47116 Q03497
Q02100 Q08962
Q08492 P43637
P00724 Q03254
P38291 P00044
Q00245 P33338
Q02629 P39111
P33338 P10566
P51601 P32521
P46954 P30657
P32521 Q00246
P53159 P53754
P39014 P14359
P31539 P38691
P30665 P45819
P24869 Q04217
P31374 P06169
P38829 P40078
P38822 P36103
P25655 P09435
Q04439 Q04003
P12611 Q00362
P39517 P25615
P21672 P33400
P04840 P39077
Q08492 P53129
P35197 P53941
P53750 Q08245
P35734 P07260
P53094 P35207
P43603 Q06344
P24783 P47912
P53124 P53685
P09938 P09734
P38298 P38146
P40512 P03965
P09032 P20606
P18852 Q03782
P53628 Q12152
Q08438 P40186
Q08492 Q00723
Q03956 Q05947
P39960 P32835
P52593 P52910
P53865 P20424
P53011 P53859
Q12522 P40565
P04387 P25297
P53277 P15646
P48582 Q04233
Q04199 P15790
P46682 Q03956
P53616 P16140
P39551 P35194
P40485 Q05871
P38801 Q03920
P00358 Q00416
P38623 Q08581
P39523 P38872
Q12277 P39551
P53254 P02400
P06634 Q05930
P23639 P32796
P53322 P46988
P11978 P53169
P38766 P19735
P32447 Q12044
P38129 Q03782
P18888 P41896
P34758 P15646
P40959 P53286
P33895 P40462
P20134 P10592
P32793 Q12045
P19145 P53861
P37370 P23638
Q04199 Q05775
P40988 P38358
P41814 P32905
P38794 P47045
P33399 P40479
P06777 P53064
P25341 P38810
P40956 P33311
Q03280 P40024
P39935 Q00723
P53100 P04821
P38699 P52488
Q08949 P39076
Q06169 Q00578
P54790 Q06177
P28707 P53834
Q01590 O13553
P36048 P36131
P38429 P35728
Q12084 P28791
P25333 Q12389
P41805 P39703
Q04195 P11154
P00899 P32786
Q08119 P50113
P40204 Q99385
P10863 P33334
P21192 P38861
P43568 P38254
P52593 Q04089
P32895 Q02875
P53277 P43321
P38766 P39547
P32796 Q06708
P11710 P21951
Q03973 Q12417
P25441 P21182
P40340 P53197
Q12377 P46673
P39729 P48363
P20435 P18898
P36018 Q08245
Q07508 P08018
P42846 P04807
P41816 Q07657
P38193 P32336
Q06151 P47041
P53248 P24813
P46954 P42843
P53100 Q12440
Q99189 P41921
Q05670 P39702
P34758 P15442
P23642 P30283
P42846 P36124
P53199 P53248
P32917 Q12434
P38182 Q06451
P38264 Q00723
P23642 P35203
P32912 P02293
P53202 P46655
P31382 P38886
Q12176 Q12256
Q04839 P46673
P80428 P47160
P22202 P40064
P35729 P48836
Q05583 Q05947
P35190 Q00245
P33895 P34234
P38838 P53299
P39517 P36162
P25333 P32905
Q08746 Q07887
P40554 P32570
Q12420 P32525
P09435 P38749
P07262 P08431
P53953 P43619
P39073 P33307
Q03063 P41277
P48363 P35691
P46954 Q12033
Q02773 Q12168
P50945 P00899
P39966 Q04217
Q08119 P25369
P08964 P38786
P35203 P53036
P41807 P38696
Q99207 P53254
P02400 P14907
Q07887 Q04067
P38786 Q04660
P38431 Q03782
P32573 Q02884
Q12028 P18852
P33331 P32350
P38872 P17536
P32471 P24814
P49573 P40480
P38822 P29340
P08964 Q12044
P40541 P16467
Q04272 Q03782
Q99207 P21182
P13517 P06782
P10869 Q08285
P38132 P05453
P32337 P32336
Q08746 P40963
P53924 P53965
Q00362 P32573
Q12315 Q12152
P13586 P29340
P22543 Q00916
P35169 P53049
Q06549 P32504
Q06708 P11927
Q03981 P47054
P32639 P32525
P39717 P23201
P43563 P40565
Q04964 P32565
P32566 P53867
P36029 Q99394
P19882 P16892
P25582 P39958
P15790 O13553
P17709 Q06103
P32327 P47019
P11154 P33419
Q08746 P38165
P19882 P33895
P32854 P32528
P40186 P16892
Q99207 P29295
Q08649 P53086
P38829 Q03758
P35497 P41817
Q02884 P35181
Q03280 P04147
P25296 P32528
Q99314 Q12084
P53082 Q03619
P38041 P53845
Q03897 P04147
P38339 Q12142
Q02260 P36003
P35197 P31244
P53731 P00359
P25369 P32898
Q07084 Q03254
P43568 Q12055
Q03792 P00560
P39682 P38113
P43535 P46963
Q04411 P32381
P53861 P39077
P40958 P36018
Q04439 Q00578
P21672 Q12427
P41834 P38871
Q12368 Q99210
Q02100 P43565
P51862 P32364
Q05080 P53538
P36421 P33201
P38203 Q12499
P25569 O13565
P25646 P43612
P08524 Q06651
P32573 Q07824
P28743 P38873
P38316 P20437
P38631 P53941
Q08931 P39707
P32468 P42935
P43321 P36062
P36012 Q12021
Q03862 Q06160
Q06549 Q07508
P38328 P38764
P38792 Q07084
P24482 Q03654
P50278 P32336
P36124 O13563
Q08278 P53855
P24870 P38749
Q06640 Q12514
Q00684 Q12263
Q04411 Q12449
P43568 P38789
P38337 P40160
Q12019 Q04272
P53141 P21339
Q06216 P43619
Q08162 P28834
P46954 Q12142
P33334 P42073
Q03012 P38156
P32318 P38970
P34216 P42935
P33301 P40070
P12385 P40565
P38853 P39016
Q07844 P32566
P33760 P38810
P48581 Q07896
P53168 P53549
P53685 P38910
P00175 P40368
P49166 P40314
P48412 Q12427
P40507 Q01217
P53124 P53599
P18562 P00729
P39935 P36024
P29469 P09624
P00331 Q08931
P46949 P33420
P53094 Q12527
P38310 Q04562
P38838 Q12276
P39929 Q99210
Q03208 P38862
P00044 P53893
P17709 P05318
Q04307 P07262
P53221 P32910
Q12045 Q99189
P36013 P47050
Q04894 Q07468
P12611 P43609
P10659 Q03322
P33399 Q12468
P36139 P53094
P53283 P42935
P53277 P38798
P39960 P05694
P40573 P32561
P25694 Q08749
P35197 P38859
P38690 P36048
P38319 P42935
Q12734 P54860
Q02199 P39926
Q03792 P25333
P13856 P23642
Q12522 Q12389
P29465 Q00246
P13393 P25043
P39563 P09798
P40155 Q12044
P40335 P07170
P11154 P32350
Q03758 P27515
P33411 Q03063
P46962 P21182
Q12018 Q04964
P40328 P47117
P35728 P10591
P53256 P46988
P38283 P53197
P35169 P25296
P13712 P28743
P39713 P15790
P32634 P19658
P39008 P09734
P27636 P07170
O13539 P09064
P29340 Q04660
P57743 P80667
P38801 Q07844
Q04651 P02400
P39960 P21965
P14064 Q06628
P17123 P36017
P32485 P53834
P32366 Q04693
P53202 Q08920
Q00816 Q08729
P40965 P18759
P25333 P40038
P52593 P23301
P40564 P53540
P50275 P46957
P32468 P32501
P31374 P38339
P23644 P15873
P41814 Q12236
P14741 P38932
P38810 Q06217
Q08949 Q06410
P47116 Q07381
P00445 P32589
P46673 P38283
Q08562 Q03630
P25644 P13185
P25299 P07866
P07258 P46675
P31374 P40339
P22204 P21268
P39517 P04912
P40507 P39937
P53064 P09440
Q01649 P32774
P32380 P24867
P54199 Q12344
P29465 P35729
P38132 P32783
P36018 P47120
P38699 Q03619
P33891 P37302
P38861 Q04411
P53965 P47053
Q12098 P42843
P34758 Q07688
P12688 P43587
P53600 Q06551
P33313 Q08236
P06103 P33334
P33301 P33418
Q07376 P47135
P33411 P50944
P53924 P35193
Q06568 Q02773
P20449 P02829
P53604 P32571
Q03455 P41920
P48837 Q12427
Q06217 P53169
P32802 P32495
P25649 O13553
Q12310 P40515
Q05874 P30656
P40564 P31383
P43593 P38764
P53941 P35729
P38274 P20604
P47104 P41832
P43535 P18962
P23059 Q04004
P19524 Q03208
P53924 P46673
P36131 P35203
P34087 Q12330
Q06651 P37302
Q99207 P35729
P32447 P53297
P32773 P11938
P17255 P00359
Q08965 Q12315
P32783 Q07980
P46673 Q12264
P29703 P29366
P40988 P53254
P07866 P18410
Q12098 P30619
P53115 P32835
P30665 P32909
Q05874 P12754
P38072 P18898
P38329 P22204
P22216 Q12102
P38346 Q04439
P07347 P40465
P26793 Q03776
P04840 P21965
P40090 P32457
P02293 Q04272
P43132 Q12315
P11433 Q06178
P35728 P53250
Q03220 P12385
P14736 P33331
Q02773 P32471
P53978 P38749
P38132 Q08550
P53829 P40344
Q08144 P38873
P41816 P14164
P40477 P05317
P48240 Q07786
P40155 P53036
P23394 P39967
P35197 P32591
P29496 P21182
P33895 P24583
Q04839 P38270
Q12152 P38301
P32639 P38708
P47064 Q04004
Q00362 P36013
P50278 P40091
P38757 Q12473
Q03792 P39523
P38276 Q06568
P15891 Q03558
P32598 P27472
P48524 P12868
P38998 Q99278
P38348 P20435
P38063 P39703
P53094 P53112
P32501 P34234
Q00578 P53116
P43601 P47054
P40164 P00899
P25367 P19097
P38991 Q06169
Q07376 Q12420
P32324 P48582
P53905 P38862
Q08492 P53912
P40018 Q03976
Q03081 P36103
P12611 P25808
P12962 P32783
P54786 Q12055
P53184 P02294
P29366 Q08162
P38872 P39935
P27636 P27514
P47017 P38883
P40573 P38723
P47176 Q03071
P40202 P47045
P52488 Q06340
P42846 P32578
P38298 Q03900
Q06704 P40350
P39960 P19955
P41813 P24869
P15436 P53150
P10659 Q06616
P32492 O13539
Q06815 P38272
Q08921 P40091
P06242 Q02197
P40061 P20053
P32783 P32794
P40092 Q12749
P39682 P46948
P25333 P47093
Q03081 P47165
P53549 P42935
P25657 P35207
P53550 P13586
Q12460 Q03407
P36080 P20424
P53104 P09734
P29496 P32855
P32790 Q07980
P16521 P33328
P39967 P47019
P28743 P53299
P53202 P32074
Q12344 P35203
P21182 P09959
P25808 Q12691
P53965 P38798
Q08921 P39935
Q02773 P38624
P40565 P38748
P36139 P40462
P46655 Q06163
Q00416 Q03096
P32895 P40368
P48361 P36017
P12962 P36037
Q08446 P38165
P53094 P17442
P19882 Q05946
P43574 Q12318
Q07623 P40507
P21651 P47045
P43563 P18898
Q12276 P08638
P43609 P53927
Q12248 P33329
P38631 P40010
Q03162 P32490
P07264 P53036
Q07657 P24869
P32264 P11154
P15646 P36049
Q12142 P21374
Q12033 Q01329
P40395 Q06706
P32800 P38737
P38313 P52286
P35688 P25615
P40958 P40061
Q08723 P32828
P32366 P26570
P34223 P53883
P07258 P39523
P31384 P42839
P38696 P53740
P38622 P31374
Q12347 P38146
P50275 P48562
Q06436 Q01939
P46669 P15108
P32501 P40555
P46655 Q12285
Q12477 P40555
P13185 P38149
Q02256 P39547
P26754 Q04089
P53184 P48363
P38631 P38850
P22137 P27614
P13185 P00175
P38692 P18759
P38690 Q12518
Q07986 P07560
P00931 P32525
Q12017 P10363
P32917 P38785
P25694 P38814
P43569 P01120
Q12477 Q12078
P18759 P40422
P32912 P54885
Q01590 P12753
P25369 Q02821
P35729 P31383
P32571 Q04233
Q00916 Q03619
P40316 P15705
P43574 P38861
P10659 P29366
P40492 P53323
Q02948 Q06673
P32607 P26263
P34240 P38615
P06169 P53145
P06242 P32913
P25333 Q12514
P53094 P16658
P25808 P32854
P50278 P47124
Q6Q547 P21538
P39929 P41318
Q06251 P38590
P32599 P53250
P43682 P47176
Q08215 P53199
Q08911 P32835
P38261 P32607
P32945 P48562
P40204 P32898
P46681 P25567
P25649 P53163
P41832 Q12306
P14291 Q12199
P12385 P40457
P19882 P47045
P39703 P48606
Q03956 P41911
P38229 Q03940
Q08902 P33201
P40319 P41277
P12611 P10355
Q03503 P38313
P32591 P32912
P25371 P05986
P15807 P35203
Q12098 P36022
P38785 Q02336
P53248 P43561
Q06549 P39523
Q12411 P28006
P53834 P36085
P32899 Q01684
P41807 P38785
P38274 P53685
Q02890 P53258
P18852 P38620
P11154 Q12424
P53281 P39937
P11927 P02400
Q04651 Q08817
P11075 Q99385
P32583 P48232
P40155 P38692
P42942 P43569
Q02895 P53965
P54199 P33891
P06169 P12612
P32264 P20433
P40327 Q00618
P40328 Q05933
P00359 P40561
P20437 P38634
P53094 P48559
P13856 P42846
P22007 Q12417
Q12318 P28795
P33339 Q12199
P18494 Q12527
P38716 P01149
P33892 P53068
P36005 P38753
Q03899 Q12256
P46985 P36009
Q12186 P13712
P08518 Q06616
P39962 P40061
P33204 P25515
Q12310 P18888
P00817 Q12488
P47135 P07264
Q08979 P18852
P41814 P25582
P53599 Q04338
P47057 P07269
P32802 P53169
Q12165 P36018
P43563 Q04493
P41811 P53197
P19882 Q06340
Q08886 P28795
P53628 Q12477
P35497 P32468
P23642 P23561
P49687 P34077
P12688 Q00578
P32450 P27515
P53949 P42884
P40890 P18410
Q06624 P40480
P12611 P11484
P40494 P39077
P39944 P53277
P38229 O14467
P43637 P23202
P09959 Q06604
P53258 P20081
P32905 Q08162
P32327 P27351
P25369 Q04003
P14359 Q08873
P32899 P39925
P38129 P40202
P09032 P38228
P49573 P00958
P25491 P45976
P23644 P18410
P40055 P42073
Q03497 P25659
P38959 P31111
P17255 P32074
Q06679 P40494
Q03735 Q03956
P39994 P14359
Q06679 Q04978
P06784 P38149
P18961 Q03897
P31244 P48240
P38713 P38786
P38198 P39984
P40302 Q03337
Q04934 P38785
P27472 Q08162
P32366 Q04004
P35817 P40507
P28817 P15873
P40095 P29461
P32864 P43638
P24004 Q12280
P38692 P53738
P39101 P38859
P40302 P52910
P42846 P25591
P06103 P32525
P39523 P53604
P38716 P53168
P32783 P31383
P00724 Q04233
P24783 Q7LIF1
P41814 P32354
P33199 P32873
P38273 P32802
P40413 Q07468
Q04411 P38208
P30656 P46675
P10659 P53185
Q06704 P40479
P46672 P40328
P43593 P33328
P39994 Q12417
P18961 P53163
P23776 P42073
P36029 P25615
P38757 P53036
P32599 P53283
P38182 P13185
P38823 P40303
P40492 P32767
Q08119 P22804
Q04673 P36094
P32478 P35189
P28707 P53845
P32380 P53254
P40340 P38624
P07270 P38956
Q12009 P53829
P32525 P35178
P37302 P34241
P11433 P32629
P38699 P40483
P11154 Q12477
Q04636 P38998
Q99207 Q08956
P40314 P40091
P12962 P36049
P53136 Q04978
P53141 Q12449
P40202 P00128
Q12418 Q04272
P32337 P34252
P48415 P53267
P38072 Q06628
P33895 P48837
P00958 P39531
P53202 P51996
P53600 Q07915
P08518 Q00582
Q04792 P04807
P14682 P38748
P53322 P53953
P39966 P41834
P31377 P40453
P49687 P38301
P35728 P32387
P53924 P38082
Q07844 P39730
P05986 Q02795
P30619 P53867
Q08438 P39984
P39081 Q12330
Q12452 P43619
P39563 P07248
P32908 Q02773
P53267 Q04894
P38768 Q03330
Q12222 Q06651
P20606 P38228
Q08562 P24482
P32318 P39727
Q12517 P38348
P38193 P53185
P21182 Q08920
P24867 P11746
Q03774 Q12513
P53248 P53169
P48412 P13711
P53840 P53202
P40564 Q03792
P53865 P47122
P31109 P41834
P50108 P53250
P36130 Q12449
P12754 P19097
P46947 P00729
Q99385 P40574
P36080 P40303
P53298 P38862
P32480 P32599
P53628 P38287
Q03322 P38042
P32485 P43616
Q07657 P19145
P53152 P22213
Q99299 P38769
P53834 Q07896
P41805 P53171
P32600 P36124
P06787 P05986
Q03656 P39077
Q03792 P43569
Q05583 P32497
Q03208 P36149
P53271 P53145
Q04601 P21268
P33332 P12868
