Q07699 Q9NY72
P55210 P53539
Q86UU0 P07327
Q13950 Q49AM1
P12755 Q9NRV9
Q9NPB1 P49917
P30711 Q02535
P32780 Q04837
Q96I99 P17947
O95243 Q16851
Q6NXG1 P82909
P20132 O14802
P14061 O43148
P47902 Q96TA2
Q53GS9 Q9BUQ8
P13796 P06454
Q7L3B6 Q13156
Q9UHN1 Q9NV88
Q9BPX1 O94768
Q03989 Q15185
O95429 P31267
Q8IXQ5 P14061
P09430 Q02108
P54577 P21291
Q03923 P62942
Q8NFZ5 Q15306
P35244 Q9H6S1
O43913 Q7RTR2
O75164 Q93088
P82914 Q15562
Q96I25 P07148
Q9UBC3 Q16773
P24666 A6NLJ0
Q8IVS2 O94953
O60675 Q06278
Q15329 P45877
Q9P0K8 P68402
Q05209 Q9ULX3
Q9BRJ2 O95990
Q9Y399 P49736
Q15561 O43776
Q02962 P00568
Q9BT17 Q53HV7
Q9P2R7 Q9HAW0
Q8IUE6 P20591
P00338 Q15475
Q9BRJ2 P0C0S8
P24928 Q9BYD2
P24666 Q15651
P55039 P31249
Q9UBU7 Q9Y4H4
P16050 Q9Y5K3
Q9NX18 Q12800
Q7RTV3 Q6PGN9
Q9BXL7 O60481
Q9NYK5 Q13761
Q6ZYL4 Q02153
P62942 P60008
Q9UKV3 O75394
Q9P0M9 B2CW77
Q9Y2X9 Q5JY77
Q16851 Q9H147
Q8IWT3 O94916
P43897 Q99967
P51580 O95343
P27707 P54687
Q07960 Q9UKI8
Q8TF76 P50213
Q9UDX5 Q9H1Z4
Q9UKF7 O14802
P49184 O75936
P06746 Q04828
P07451 P49639
Q16698 P33992
P24666 P20290
Q03989 P35325
O75170 P07602
Q8WTW3 Q14746
O00754 Q8N983
Q12849 Q8NB91
P0CG30 Q9H5F2
Q96T66 Q16533
P52657 Q9UBW5
P48200 O95343
Q96AZ6 Q9Y6M4
Q9Y239 Q5VVJ2
Q9UJA3 P20132
Q6PGN9 O15514
P06746 Q9NVV4
P17096 P16949
P17482 P15121
Q5TB30 P49411
Q96RG2 Q9NR56
Q9UM63 O60941
O75363 P78364
Q07617 Q9NV88
P15172 Q9HBU6
Q9Y603 Q9NZJ9
Q16594 P55854
Q6PL18 P09132
Q13461 P30419
O95696 O95786
Q9BPZ2 Q08257
P15172 P0CG30
O60683 O75192
Q06710 P41252
P59046 Q86XI2
P23527 Q5H9J7
Q6PRD7 Q96N77
P46783 Q9BWT3
Q15319 Q68J44
P05089 P63279
Q58WW2 Q07617
P62917 Q8IYD8
P35218 Q99626
P24928 P16050
Q99956 Q9BX63
Q9BYD1 Q15906
O60675 Q9BWD1
P14598 Q15329
Q93088 Q9UBE0
Q9NR19 Q9NYW8
O95379 O43148
Q92598 O96028
O60551 Q01130
P52701 Q9BZQ8
P19387 Q9Y4K4
Q9UII2 Q9Y535
P50749 Q9BXI3
P10155 Q8WXA9
Q9UIK4 Q8TCJ0
Q15596 Q06278
P17174 Q96T37
Q9HCY8 Q6UN15
P46783 P17482
P30260 Q5JY77
P20823 Q9HBU6
O75891 O95218
Q9H5F2 Q9NRV9
Q7Z7A3 Q9Y3Z3
O60711 O60315
P59046 Q9Y603
Q13950 P82930
Q9NSY1 P29466
Q16543 P51513
P03372 P12081
Q9HD33 O75971
Q9NR55 P34897
P48729 P57053
Q8IX03 Q99879
Q9H9S0 Q8WYK0
Q9NX02 Q86Y25
P49638 Q8NFW8
P22492 P15559
Q7RTR2 O60284
O14948 P20807
P18847 Q68DY1
P34896 O60671
P53567 Q9NQR4
Q8IVW6 P60484
Q6PL18 Q8N4X5
Q06278 Q99626
P78540 Q8IXF0
P29466 P17900
P0DJD3 P28838
Q9BUL9 P01040
Q9UKV3 P23921
Q02535 Q70SY1
P82921 Q9NZI6
P15104 P35453
P51116 O60231
Q15054 Q8N9N2
P22528 O75506
Q8IUQ0 Q16676
O00268 Q14678
P28702 P17516
O60783 P31269
Q6UB28 Q9Y5P8
P17676 Q96GX9
Q8N183 Q9Y5P8
P19878 Q12986
Q9BRJ2 Q6DRA6
Q13867 O43248
P52701 Q96JJ3
Q9Y4B6 Q9HB96
P09017 P50120
Q96AA8 O60902
Q71SY5 O75251
P06746 Q96P71
P50120 P10253
O60941 P04554
Q07973 P62308
O60551 Q13247
Q99581 P78371
P41134 Q9NQI0
P84243 P13995
P19447 P16949
Q9NPJ6 Q96AA8
Q9P0J6 O60762
P31327 O14503
Q9GZZ0 Q9BV79
O15305 Q16777
P04183 Q8N9N8
Q96I99 O95990
Q9NYK5 Q15327
O95990 P16050
P17482 Q02153
Q9Y5Q8 P38646
O43679 Q9Y216
P32322 Q12873
Q02962 P07741
P28358 Q96G61
Q86YN6 P07148
P46459 P60008
P84243 P41279
P83369 Q6UB35
P06899 Q7Z569
P10599 Q13123
Q6ZN30 Q8N427
Q8IWT3 P17676
O76094 P16401
Q9NPC8 Q8TE04
P53384 P07602
P52815 P52945
Q8IVW6 Q9NPB1
Q8N2W9 P51693
Q8IVW6 P20807
P49638 P53634
Q8NFZ5 Q12824
Q05209 P17275
O43364 P05787
O15305 P51946
P05413 P52926
A6NEQ0 P78540
P55210 P49184
Q14790 P38571
Q8N427 Q8NCU7
Q9P0J6 Q9H611
P31275 Q9BWD1
O60678 Q14781
Q96JB3 P28161
Q9NY74 P17483
P62318 Q9NP74
Q92665 P17861
Q7Z5Q5 P15056
Q16643 Q01543
P31350 P57081
P52701 Q92837
O15540 P10253
P09874 O60477
P52926 P08263
Q8WUN7 Q9H3D4
P35712 Q92598
O95400 Q16520
Q9BYD1 Q7L7L0
Q5TCY1 Q09666
Q9GZR1 Q12849
Q93096 P31150
Q92665 P61371
P35754 O94864
O75170 P48431
P14324 O43248
P23527 P10155
O96019 P06732
P15374 Q15306
Q92871 P56915
P54577 Q6ZYL4
P29083 P51398
Q9H257 Q16629
Q14204 P46063
Q6V1X1 Q00056
Q9P2Y5 Q9UQR1
O00170 P20671
P53667 P60008
Q15573 P54868
P18846 P49888
P51580 Q9NPC8
P03372 Q9UDX5
Q14562 P47874
Q7L3B6 Q15562
Q9HCU8 P26441
Q15054 O60551
P41970 P00568
P07451 Q8N6I1
Q09028 P49411
O75880 O60381
Q9NZM6 Q9Y3M2
O75828 Q96MH2
O95749 P09884
Q0VD86 Q14678
Q9BYD6 Q10587
P49675 P28698
P18847 Q92730
P62269 Q15424
Q9UHG3 Q9Y2T2
O14776 Q16891
P54845 Q9HCN2
Q14999 Q92565
P13631 Q9H0A6
O00754 P0CG30
Q64ET8 Q96RP9
P49759 P82909
Q5JY77 P18146
Q9UBC9 Q01538
Q9BV36 P63162
Q9NTZ6 Q9NY33
Q8N5U6 O75030
P51398 Q9NQX1
O75363 O15178
P31937 P62314
P32929 Q5VVJ2
Q9UD71 P14316
Q12962 P16949
Q9Y4A5 P33402
O94916 P12271
Q9HCP0 Q13952
Q9Y297 Q8NB91
Q15545 P78358
Q8N7A1 Q8WXA9
Q8N1V2 Q14527
P18440 Q8IUM7
Q9Y3E5 Q02386
Q9UKF7 O75607
Q9BYE7 P15104
Q9BV36 Q9GZR1
P55210 Q9NQX1
P14859 P22681
Q9BYC2 Q9NZI5
P49917 Q16540
Q96PU5 Q9Y3D8
P20226 P53667
Q96AJ1 Q9H6S3
P41970 P16152
Q9Y6J0 Q9NT62
Q16854 P62314
P54868 Q9UKN8
Q16828 P26368
Q96JJ3 Q9UBC3
Q9UHD2 Q9UKI9
Q9P2W6 Q9Y6P5
P49005 O60760
P39748 P49368
Q9BYN8 O75607
Q02252 Q13523
Q8IWT3 Q96KF2
Q13415 P15121
Q7L0Y3 O14924
Q8WYH8 P09001
P35270 Q15723
O60563 Q96RG2
Q9ULG1 Q16851
Q9HCY8 A0AVK6
Q14CX7 Q9ULX3
P0C7P0 Q8IU81
P30048 O43593
Q9Y234 Q9Y6J9
P55157 Q7L0Y3
Q9P0M9 P27540
Q8N9N5 P35754
Q9NP86 Q15916
O43541 P00338
Q9HC29 D3DTV9
Q9GZZ1 Q8IZL9
Q49A26 P00338
O94768 P49915
Q02386 P29144
Q9HD33 P49716
Q5XPI4 Q01538
Q9UGK3 P23511
P12081 P0CG12
P08729 Q05048
P24468 Q14CX7
Q7L3B6 Q12947
O94993 Q9BTM9
P20132 Q5QNW6
Q9Y675 O43504
P48729 P28698
Q96PU5 P09234
O43791 Q96HU1
Q9P278 O00287
P0CG30 P48431
Q9BXL8 P23921
P56282 Q7RTR2
P37275 Q96EK5
Q9BSE5 P29558
P0DMN0 Q96LA8
Q9HCE6 Q9UID6
P28358 P32929
P31277 O43504
P23409 P62495
Q09028 Q9H6S3
Q8IXQ5 P09001
Q16656 Q8IWZ3
Q9HAZ2 P23378
Q15542 Q9UBW5
Q9NYS0 Q13950
Q8NI60 P19419
P21246 Q9P2H0
P31271 Q5XPI4
Q9BYC9 P07992
Q13415 O75880
O75506 P00338
Q96G01 Q9H5F2
O95379 P28324
Q16670 Q6PRD7
Q96IV0 Q7Z591
Q9HCE6 Q02446
O14948 P82930
Q13950 Q9Y2T2
P35900 O14497
Q8NFH8 P10253
P06132 Q9UHL9
Q9H0U6 P82979
O75526 P15428
P24298 O60231
Q92552 Q13426
Q8N7A1 Q01538
Q96T66 Q01081
Q14106 Q9UJC5
Q9NYD6 Q13867
P03372 Q16698
O43316 Q6WQI6
Q9Y5Q9 P43355
P39748 P09960
P62269 Q9NVR2
O95405 P23511
Q9Y2J8 P41225
Q9Y3D3 O14646
Q6NXG1 Q9Y2D0
P16383 P12271
Q9Y3B7 Q6ZN30
P57723 Q9ULX3
P84103 Q08257
Q8TF40 P48431
Q13115 P35218
Q8N983 P36402
P07195 Q14863
Q9H7D7 Q9UBX1
Q05209 P57053
P55854 P12755
Q9UJA3 Q9Y4B6
P05089 O43593
Q92837 Q9H4Z2
Q7RTR2 Q9GZZ0
Q9NNW7 Q5H9F3
Q9UJW9 O15217
Q9Y239 Q9Y6P5
O75607 P31937
P18848 Q9H9D4
O75648 P82970
P49915 Q53T94
Q6DN03 Q9BRV8
Q9Y295 P61964
Q8NEL9 Q86XI2
Q8TE67 O75150
P14652 Q13126
Q9Y399 Q5M775
Q13569 O75363
O95931 P14868
Q96HU1 Q14119
P20592 Q9NZI6
Q08050 Q5JY77
Q99819 Q92698
Q9NR19 P10914
Q8IUQ0 Q8TAQ2
P22681 Q02446
P09430 P18085
Q13123 P49914
Q9Y603 P49888
P31350 P62805
Q96QG7 P20290
P15559 Q12986
P78368 Q15306
Q16828 P62879
P50135 Q9UK76
O75132 Q8N142
Q13243 P23378
P0C0S5 P29353
Q96T66 Q9NYD6
Q9BWX1 Q9Y2D0
Q9UBU7 Q5SW96
Q15424 Q9NRV9
Q9P0M9 O75461
P54577 Q16520
P16104 Q9Y399
Q96QG7 P01100
Q16676 Q93015
Q16676 Q99757
P37275 Q2VPK5
O43791 P08263
O60682 Q9NZJ9
Q96PU4 P12271
P28161 P01106
P49675 P10244
P20936 Q8IU81
P25205 P32322
Q9HC52 Q07960
Q96IV0 Q9C0F3
Q969K4 P0C0S8
Q9P2W6 Q02962
O94906 Q9NZD2
Q14032 Q14181
Q8WVN8 P15918
P37108 Q86XI2
Q9HD33 P35548
Q01658 P25325
P50749 Q93008
P31249 Q16854
O95071 P49368
Q14562 P49914
P19387 Q9ULW8
P41279 Q9H5F2
Q9H6S1 P05412
Q9UIV8 Q5TB30
P51116 P23760
P09012 Q9BU02
P28358 P61970
Q14CX7 P17947
Q9H213 Q12873
P07686 Q16773
P34896 P52756
P07148 P20719
P47897 Q9C002
P32780 Q5JY77
O60583 P39023
Q9P0K8 Q16537
Q92871 P01106
Q99880 P35237
P38646 P33778
P18054 Q2M1K9
Q9NP86 Q96MH2
Q9NVU0 Q9Y6R0
P00558 Q14527
P34059 O75879
P82663 P62314
Q16385 Q96HU1
Q96DI7 Q8TE04
Q9H7Z6 P16949
P50120 Q9NX01
Q92908 Q9Y3D9
P08579 O43182
P32929 O14901
Q15329 Q6PGN9
Q8N4E7 Q15542
P40227 P11474
Q12996 Q9BPZ3
P15173 Q9UHN1
Q8N9N2 Q13595
Q00169 Q86TM3
P43897 Q9UMQ3
P26583 P54136
Q9H4Z2 P35790
Q6NUP7 P27707
Q8NFG4 P38571
Q99956 Q6EKJ0
P18440 Q9P2Y4
Q49AN0 Q8NEZ5
Q9UGL1 Q16537
P0C7P0 Q14696
P48163 Q6NXG1
Q9NYK5 Q9BWE0
Q96HU1 P48431
Q9NYS0 Q12952
Q9P0R6 Q3YBR2
P54098 P49335
Q9NRN7 Q15291
P11473 Q9NX20
P00326 Q969J2
O60239 Q9Y3Z3
P15104 P43694
O75506 P98170
P55895 O75879
O95071 P13796
Q9H1E3 P08263
Q9H6S3 Q9H2W2
P46952 Q9H2W2
P18846 Q96GX9
Q9UBD5 P11802
Q07864 Q9NP97
P43355 Q12948
Q9UBP6 P32322
Q9UKU7 O75461
P36954 Q9HD40
Q6XUX3 Q01664
P00492 O00287
P23409 Q9HBG6
P32322 P31271
Q9UGP5 Q8N9N2
Q8IX03 Q9Y2Y9
Q14651 O60481
Q8N4E7 Q9Y6J9
Q96RG2 Q96BN2
Q12931 Q3YBR2
Q9NP31 Q9UBC3
Q15327 Q16854
Q08257 Q6UB99
P06454 Q5SW96
Q8NEL9 Q9HAZ2
P55157 O15169
Q9Y399 Q92826
Q8N4E7 P49184
P16402 Q8N7A1
P0CG30 Q14190
Q9BZL1 P50749
Q99714 Q9UJC5
Q5XPI4 P18146
O00142 P42785
P04053 P34897
Q92665 Q9Y2Y9
P63302 Q02556
P49411 Q9UBR2
O75343 Q6UXN9
Q76N89 Q14119
Q5XKR4 P35270
Q8N9W6 P42695
Q15173 Q9NXR8
P47874 Q9UIH9
Q7L0Y3 P17947
O43593 Q9NRJ4
P06899 Q92844
Q14106 Q9NP71
P48643 P18615
Q9Y6K8 Q9H2S9
P09936 Q13461
Q96EK5 Q15466
P48200 Q00688
Q92844 Q13761
Q9GZZ1 P01106
Q93015 Q01826
P49411 Q969S2
Q9NYK5 Q13156
Q02252 Q15853
Q96CS3 O95409
Q14790 Q12824
Q9UPY3 O43593
Q5T3J3 P21246
P49715 P33402
P62269 P31273
Q01664 P82930
P49368 Q92698
Q76N89 Q8IVL1
Q96IV0 Q15029
Q8TE02 P09884
O95786 Q64ET8
P49368 P06865
Q9Y2U9 Q96LI5
P28328 O00623
P29762 Q8N5A5
Q96TA2 Q9H9Q4
Q9BYC8 O43513
Q13887 Q9Y4H4
Q96LT9 P55084
Q8WVC0 O15217
Q71SY5 Q96TA2
O00712 Q9Y2T1
Q15560 Q99551
O00712 Q9BYD1
Q12948 Q8N427
Q5THR3 Q16643
P23527 P14061
Q5H9F3 P39023
Q8N4E7 Q15306
P32119 O43248
Q92522 Q9BRV8
P28161 O43929
Q9UBU8 O60477
Q8NFG4 P49736
P29558 Q3BBV0
Q9BZL1 P17535
Q96AA8 Q15697
Q92908 O60477
Q96QR8 Q9H2J4
P68104 P55318
Q2PPJ7 O60381
P31942 O15217
P52756 P54577
Q13126 Q8TAD8
Q96A58 P20265
Q7RTR2 Q7L775
O00170 P62487
Q07973 Q5T6S3
Q8WVN8 P53634
Q14914 Q6P1J9
O60583 Q14106
Q9UH92 P36915
Q16854 O43148
O14593 Q6PRD7
O00142 Q9UNP9
P78540 Q5QNW6
P17481 Q2PPJ7
Q99956 Q16633
O75506 P50135
Q9UNY5 Q96GX9
P32322 Q16778
Q92871 Q53H80
Q9BYC8 P35251
Q9UPP2 P15848
P51688 Q07617
O00411 Q86TM3
Q9ULC6 Q9NSY1
O00142 Q02386
P24298 P16455
P25205 P28838
Q8TF76 Q99707
P62917 P23511
P10599 O15151
Q96GX9 Q6UB98
P25963 P41240
P13639 Q9UBK2
P39748 P68104
Q969Y2 P10412
Q01201 P18054
P55212 Q01130
P13686 Q8N7A1
Q9H7Z6 O14561
Q5T6S3 Q93008
P46199 Q96PN7
P42574 P35475
Q7Z7A3 Q6P1J9
Q08495 P31274
Q13887 Q8N9N2
Q9P032 Q16385
O43316 Q99956
Q00688 Q9UDX5
Q15545 Q6XE24
Q9NRN7 Q9UNP9
O14981 P0CG30
P63272 P13797
O95848 D3DTV9
P24752 Q15697
O15091 P25208
Q8TAU0 Q9UH92
P41229 Q9BRA2
Q12815 P06899
P15848 Q9NR46
Q9NYK5 P07602
P10827 P45877
P31937 Q16621
Q16576 Q92665
P20807 O75030
Q8N9W6 Q14119
P51580 Q9Y5K3
Q8N4X5 P49335
Q02252 Q9ULX3
P49848 Q13287
Q7L3B6 Q9UJC5
Q16612 Q08999
P46439 P49184
Q9NYW8 P49589
P15036 O15217
Q9UHG3 P54577
Q15672 Q9UBR1
P26641 Q9P2H0
Q14442 P31269
Q9NTZ6 Q9BYC8
P35321 Q9NQ92
Q9Y3D3 Q8TCJ0
P23297 P26358
Q9NRN7 P41225
Q7RTR2 Q99583
Q53GS9 Q96LI5
Q8TAE8 Q9GZZ1
O00628 P28328
Q03989 P15428
Q99877 P35218
P55316 Q9BYD6
P20807 P52655
Q9BZL1 Q00403
P24298 O75593
P29374 Q9Y291
P49675 P52756
Q6UB28 P11831
Q13568 Q92598
O95154 P20933
Q92830 Q8IVS2
Q13886 O95361
P51116 Q96BP2
Q6W2J9 Q9NZJ9
Q8N257 Q9NR46
Q9P2Y5 O00257
P40227 Q9UEE5
Q07617 O00257
P14598 O14776
Q6PRD7 Q14696
Q9UIL8 P31937
Q9H213 Q16891
Q8WXI4 P49639
P13797 P17900
P53004 P16455
Q9BYN8 Q8IVL1
P15407 P50213
P56282 Q9NP92
P16220 P23378
P12104 P23025
P84103 P10155
Q9H257 P10253
Q9Y4X4 P00915
Q92522 Q16548
P26641 P21246
O14618 Q16587
P05413 Q9H1Z4
P05787 Q01094
Q9NRN7 Q5VUA4
P57053 O15540
P11586 O43143
Q14999 P12004
Q8NI60 O14862
P52566 Q8WX92
Q15583 Q9BRJ2
O95931 O00471
Q9BYC8 P58304
Q8TAP9 Q9Y234
Q9H4A3 Q92908
P62879 O75175
P47874 Q9Y4X4
Q06520 P57081
O15217 Q8WTS6
Q9BUQ8 Q96I99
Q96T37 P11766
Q16698 Q15906
P08263 O00311
P25774 P35326
P68104 O00311
Q9BRV8 Q15543
Q9BWX1 Q5VZM2
O14775 Q6Y2X3
O14561 Q01826
P05413 P28324
Q6FI13 Q99819
Q16698 Q96D98
Q9H0E9 Q9Y4H4
Q8N9W6 Q5VUA4
O00471 P04554
P23760 P49753
Q96FI4 O00743
Q9Y6G3 Q8IVL1
P25963 O75175
Q96G61 O60341
Q9BYC2 O60563
P41212 P53779
Q9BWT1 P00558
P52815 O43829
Q12931 Q9BUL9
Q12931 Q16254
O75132 Q14749
Q9UI32 Q9H2W2
Q92830 P51970
O14713 Q99081
P41134 O60551
Q9BRJ2 P86791
P23297 O95343
P20132 O94993
Q9Y4K3 Q8TDR0
P23527 P22528
Q7Z5Q5 Q9UGC7
A2A3N6 P28347
P48147 O60563
P49789 Q15475
P12277 O60902
Q9UHR5 O60239
P27540 P55084
P15289 Q16643
Q9HCE6 P31629
Q9NZD4 Q9NVP2
P84103 P00558
Q9NP31 Q9BSF8
Q86YN6 Q9HC29
Q6NXT2 O95400
O95749 P30876
Q6NUP7 P15036
P22528 P32780
Q96G01 Q5MJ70
P62879 Q9UH92
A6NDE4 P35237
P09936 P27540
Q6P2C8 Q8TE02
P17096 Q96P71
P13995 Q92522
Q9Y463 Q96AA8
O00338 P09874
Q9HCN2 Q7L7L0
P16949 P28370
Q9Y2X9 O75879
P63279 P49789
Q86U86 O60760
Q7Z2X4 Q15672
P49759 Q9H0C8
Q9UBD5 Q13416
Q5H9J7 Q15651
Q6B8I1 Q86Y25
O96020 Q16643
Q9UDY6 P27695
P17516 P42785
Q9Y4K4 P49842
Q9GZT8 Q16695
P29762 P35453
P82675 Q9UFW8
Q9H0E9 Q96QG7
P17481 Q14914
Q9NR55 Q96I99
Q14999 Q13247
Q8TAP9 P35790
Q13310 P31942
O14948 P26441
O43316 O60678
P53350 P48735
P00325 Q9H1Z4
Q05048 O00170
P33240 Q92871
Q13029 P21695
P14061 Q10586
P12081 O15370
Q9UIK4 Q9NPI8
Q16560 Q9NP97
P26583 Q03154
P29144 Q9UHB7
Q9BUT1 Q01538
Q9NX09 Q5H9F3
Q12946 P35754
Q02962 Q96RG2
Q9H6S3 Q9H9D4
Q9Y6R0 P09630
P36957 O60902
Q13637 P35227
P18085 P12755
Q9BQ83 Q8N3H0
Q9UI36 Q9H2W6
Q06520 Q96PN7
P53779 Q9NZI5
Q6P1X5 P07741
P16050 O60231
Q03111 Q9NZD4
Q96AZ6 P82675
P29762 Q9H2F5
P53779 Q15915
O43684 P82932
Q9NQ33 P22531
Q9Y399 O95551
P09960 O75643
P09067 Q9H0A6
Q5THR3 O15217
P29374 Q96G61
P35244 P30838
P51116 Q9NS39
Q9BS31 Q9NP92
P59044 P28370
P50452 Q9Y6P5
Q13405 Q14CB8
O94763 P52888
O60477 O14497
P12081 Q8N5F7
P32322 Q03828
Q9BWX1 Q9BSE5
Q92830 P51649
P49591 P53350
Q9ULW8 P58876
P18848 Q9UHX1
P26358 Q96IV0
P39748 Q9BU02
Q16143 Q14938
Q8N9W6 P17050
P27707 P16949
P30626 Q9HCS4
Q9UJM3 O43143
O94805 Q6PRD7
P00533 Q96B97
P53597 P14652
Q13287 Q96S53
P51649 Q96KF2
P28161 Q15910
P51693 Q9H213
P63167 Q99684
Q96EK5 Q02078
O43541 P22531
P40617 Q99757
P09234 P43355
Q16698 P0C0S8
P15559 Q15560
Q9BX63 P35325
O00472 Q5EBM0
P36957 Q15723
P53597 Q9BSM1
O00338 Q07869
Q9NNW7 P21675
P13798 P20823
O15169 Q92698
Q9UIL8 Q9NR19
Q9NWF9 P02545
P13489 O60356
O75891 O60682
P16949 Q96PN7
Q9UBT2 P10155
P29762 Q15572
O43819 P10253
Q9P2W1 Q08495
O75897 P23193
P49458 P09132
P48730 P57081
O60711 O60231
P31937 P82970
Q9Y3D3 Q8IVL1
O75446 O75251
P40425 Q9BQG0
P28324 Q93088
Q13162 Q13950
Q96JJ3 Q6P1X5
P09661 Q9GZT8
P13995 P09016
P14598 O60902
Q05923 Q9BSL1
Q04727 Q9ULW8
Q9H5J8 O75363
Q92837 P46063
P35900 Q92826
P17480 Q16548
Q13405 Q96LA8
Q96M11 Q9ULX9
O15151 Q9NR46
P09132 P16383
Q9BUQ8 Q9BXI3
Q9UBP6 P07864
P30838 Q8IZU0
Q96JJ3 Q9UHQ1
Q14807 Q96I99
P47902 Q96LI5
P07602 Q8TCS8
P54577 D3DTV9
Q9BSM1 O95405
Q9H5J8 Q16537
Q14790 P20671
Q99487 P11473
O60711 O43325
P09132 P35251
P19878 P53999
P62495 Q0VD86
Q14686 O75563
Q2PPJ7 Q8WX92
Q8N4X5 Q9UIH9
P28324 P35237
P62318 Q15046
Q06413 P15428
Q70SY1 Q9UHX1
Q9NX20 Q8N6I1
Q8IVS2 Q9UI36
Q93015 Q99081
Q92759 Q8IVS2
Q96M27 Q8TAE8
Q9Y4H4 Q9Y2U9
Q14209 Q92871
P40261 Q9UK76
P78549 P78358
Q9BTP7 O76031
P36402 P48200
Q9UHN1 O60284
Q8TF40 Q99594
Q3ZCT1 Q9BYD1
P49591 Q9NZI6
P24298 Q969L4
P28347 Q9NP74
Q9UBX1 Q969P6
Q96HA7 Q8IZT9
Q9NQR4 P31629
Q9H7D7 Q15916
O00411 Q92664
Q9NP31 Q13547
Q8N9N2 O75643
Q9Y6G3 P51784
P55210 P40617
P54687 P27540
Q99626 Q96LI5
Q9Y5N6 P53779
Q9NNW7 P14678
Q03013 P36402
P16220 Q969P6
Q9ULG1 O95848
Q9UBR1 Q93077
Q6WQI6 P12004
Q15542 P16949
Q14032 Q8IXF0
Q00403 P62942
O43684 Q14032
P07602 O75936
O96028 P17987
P61769 P32241
P62306 Q13794
P32929 Q8TAT5
P13010 Q2M3C7
P09960 P58304
Q6ZRS2 Q7L7X3
Q08495 P48431
Q9BYE7 Q8NFH8
Q92871 Q96AV8
Q2VPK5 Q8N5F7
Q96TA2 Q9NQX1
Q9UGL1 Q9BYD2
Q9NWF9 P26367
P06732 O43719
P26583 P07195
P41229 P00492
Q9P2W6 Q8WVY7
O15156 Q9Y3D9
P49759 O60711
Q969Y2 Q6DN03
Q9BYN8 Q13523
Q9H257 Q9UBK2
P41161 P20591
Q9NZE8 Q7L775
Q9NQX1 Q9BZE1
P03372 Q14106
P51580 P20265
P14678 P82932
O60814 Q96NW7
P14859 P43355
Q9UI17 Q01658
Q14CX7 Q8IYD8
P54687 P51826
P09210 Q12986
P78549 Q96PC2
P17706 Q9UNP9
Q8N983 Q15911
Q96HA7 Q16587
O43307 P35637
O60683 P56589
Q08257 P09884
Q9UHG3 P14324
Q96AA8 Q6IEG0
O95376 Q9BY32
P21675 Q02153
P32119 Q13487
Q99819 Q8N9N8
P46063 Q9BRV8
Q9UHL9 Q13085
Q13795 Q01851
Q6WQI6 P02545
Q9BPX1 Q8WYA1
O95749 Q9HB65
O95749 P38571
Q9NP31 Q96QR8
Q12962 Q8NFZ5
O60682 Q9BU02
O60551 Q9Y294
Q76N89 Q9Y261
P11766 Q02447
Q01581 Q92748
Q9H211 P29144
Q14204 P15336
Q8WUN7 P61218
Q6P2C8 O00743
Q01064 P60008
Q6P1L8 O14862
Q04837 Q96KK5
Q02535 P49589
P49005 Q9NP86
O15091 Q9C0J8
Q9P0M9 Q96KK5
Q12815 Q01459
Q03989 P50453
P35270 O60356
P19447 P09488
P62917 P32519
P62879 P31150
Q8NDX5 Q9BYD6
P15173 O60783
O95379 P09234
Q9H4A3 Q9Y4A5
Q16520 P23378
Q16548 Q5QJE6
Q96PU4 P17516
Q8WWV3 P35251
Q6ECI4 P17987
P07864 Q9Y463
P23297 Q8TAE8
Q05209 Q14119
P35453 O60941
Q13568 P30048
P43235 Q8WXI4
Q09472 P35325
Q9NZE8 Q86XK2
Q99583 P28161
O75526 Q8N7A1
Q9P2W1 P00558
Q9BYC9 Q13950
P11473 P15121
Q8WW12 Q07020
Q9Y4H4 Q8NFU5
Q99469 Q9NQ92
Q9UDW3 P59103
P15976 Q969K4
O60264 O60239
P53396 Q01826
P54868 Q9BSH3
P35754 P19532
P51114 Q92989
Q8TBZ0 P25398
Q9HBU6 O00311
P06454 P07864
Q7Z569 Q8WXA9
P33076 Q9UN86
O60671 Q9NPB1
Q8NEL9 P28715
O94993 Q99757
Q15233 P22532
Q16778 O60760
Q9UBU8 P06732
Q8WW12 Q08257
P09234 Q9Y3E5
Q9BTC8 Q15080
P10276 Q92786
P23381 O00472
P49914 Q15853
P0C1S8 Q969K4
Q14790 P26368
Q12933 P18858
P00338 Q13510
P18074 Q9H0U6
Q9H7Z6 Q5EBM0
Q99684 O75394
P0DMN0 P17482
Q16698 Q71DI3
P49842 P01040
Q9NZL3 P50213
P10412 P13489
Q5MJ70 P49406
Q96RE9 Q9ULC6
Q9H7D7 P06899
Q8IX03 Q00688
O15305 Q13526
Q9HBE1 Q9BWD1
Q15906 P35326
Q92871 Q9H611
Q8N6I1 P07148
Q93079 O95848
P16403 Q14032
O60231 P62937
Q14204 O75607
P26639 Q9H2W2
Q9UNP9 Q00169
O43541 Q9UPN9
P20591 Q92769
Q9BXL5 P20936
Q6UXN9 Q9NT62
P14324 P16402
Q92665 P50750
O14802 P07741
P46459 P29374
Q6P1L8 Q05925
Q9P2W1 Q9NQI0
P31249 Q5EBM0
Q8IWT3 Q99879
O15379 Q12849
P48163 Q9NPC8
P55318 Q96NW7
Q08495 Q02446
Q9H4K7 O00257
P59046 Q58WW2
P09234 Q9HCN2
Q9UGC7 Q8TAT5
Q8NFH8 O43148
