P54136 O00712
Q03154 P13378
Q6UXN9 Q93015
P0CG12 Q9H6S3
P28698 Q9Y3E5
O60783 P61371
Q92769 O43182
Q9Y4H4 A6NEQ0
Q8TCE9 Q15185
P14678 P53597
P42765 P16104
P68402 P18846
Q9UI32 Q9H0W9
Q9Y6P5 P50453
Q6P1L8 P28069
Q5SW96 Q9UGN5
P16383 P53677
Q49AN0 Q9H469
P26639 Q9H2W2
P12956 P49914
Q06945 Q02153
P35790 Q96DT0
Q8IWZ3 O95411
Q9Y216 P10412
Q9Y4A5 P48163
Q05195 P49368
Q13362 Q9UBR1
Q96G61 Q15393
P31327 P33240
Q9Y222 Q16854
O60941 Q9NVP2
Q8N2W9 Q9P2H0
P55854 P51693
P29762 Q15543
O43307 P17900
Q06265 Q01780
Q9H8M7 Q92598
P0C7P1 P16083
O75164 Q92552
O00471 P56282
P23297 P17275
Q7L3B6 Q99967
Q9UGL1 P82650
Q9BPZ3 Q8N1G1
P27708 P49759
Q7Z7A3 Q9NX70
Q92871 Q9Y261
Q9NX20 Q86WB0
Q15543 P62937
Q7L3B6 P62487
Q9ULC6 Q9ULG1
P20591 P0DJD3
P23409 P49591
P15559 P09067
Q9H4K7 Q9UFW8
O60671 Q9UHD2
Q8TF09 O60231
P05412 Q9Y3E5
Q16676 Q93015
P63302 Q14119
P24298 O15156
Q9BT17 P19793
P09132 P49458
Q6ECI4 Q9BUT1
Q9NVV4 P04908
Q9Y5X4 Q02108
Q07960 Q96AJ1
Q15911 Q9NPB1
Q8IXQ5 Q99707
P35218 Q8NFW8
P52565 Q16560
Q16772 Q02241
Q6UB28 P78364
P48643 Q9C0J8
O75343 P60008
Q99879 P13489
Q9UBU8 O43307
Q8WXA9 Q58A44
Q9H0W9 Q9BYD6
P50213 P01106
P59103 Q9NQ92
Q9H0A6 P38571
O60264 O60239
Q13309 Q16526
O15525 O76031
O14618 P17096
Q00688 P48200
Q99757 Q9H611
P16383 P09936
P31937 P35712
P20592 D3DTV9
P07195 Q03164
Q9NP74 Q99966
Q6DRA6 Q13637
O15217 Q9HCD5
P49675 P05164
O60711 A6NLJ0
P51580 Q6IEG0
Q7RTR2 Q8TCE9
P18847 Q9H2S9
P22061 Q96A08
Q969Y2 Q96QV6
P15407 P30711
P78358 Q7Z591
Q99590 P41279
Q9H257 Q8TAE8
Q99487 Q6NXT2
Q9BPZ3 P43694
Q3BBV0 Q9BSF8
Q9BY32 Q13888
O00142 Q13243
P42765 Q9NPJ6
P52926 P49888
Q9BY32 P07711
O60356 P35270
Q9P0K8 P10155
P07686 Q9NP97
Q9BYE7 Q68J44
P36957 Q15915
O14727 Q92966
P34896 P52756
Q9Y2V3 P49888
Q9NSY1 Q13287
Q9Y399 P68431
Q8TE67 Q13118
P37275 Q15046
Q16695 P41279
P35637 Q9ULC6
Q96QV6 Q9P2R7
P82921 Q9H6T0
Q13794 P62875
Q9UKU7 Q6STE5
Q96NW7 P55318
Q9Y4K4 P26367
Q12933 Q8IZU0
Q9NYD6 O43837
P53004 P12956
P18847 P31150
Q13573 O14618
P10828 P23921
O94864 Q93015
Q7Z569 Q15306
Q8TE04 Q9Y222
P36957 Q15561
Q9BV79 Q9NVU0
P11766 Q13356
Q16540 Q9Y657
P35548 Q9HBU6
Q9Y6M4 Q9UHR5
Q15393 P46459
Q9BZQ8 P20290
Q9Y6G3 Q8IUM7
P54868 Q9BSH3
O75363 O14948
Q16740 Q6PL18
P68402 Q8WYH8
Q96HA7 O43913
P37231 P51114
O60477 Q92664
P49917 Q5XPI4
P53677 Q03164
P05423 Q16822
P14598 P86791
O43829 P52815
P22681 O60356
Q7Z569 P51688
Q8TE02 P05549
P49902 Q9BTP7
Q9BWE0 P47897
P25774 P09960
P15121 P13631
Q15022 P05787
P09936 Q14181
Q9NYS0 Q8N807
Q9UJA3 Q9UBC9
Q14938 Q05209
Q04725 Q93015
Q06124 Q9H5F2
Q9BXI3 Q99684
P20591 Q9Y2X9
P04066 Q14CX7
Q9Y6K8 P06280
P62314 Q3BBV0
Q92698 Q16643
P52565 P60008
O00411 P50749
Q02548 P29144
Q14442 P17676
P45877 Q5T6S3
Q9UHN1 P51688
O14561 O95243
P82930 Q5U623
Q9NYK5 P17275
Q13287 Q92830
O94763 P16050
Q71SY5 P54868
Q7Z2X4 Q96T76
Q9H5Q4 Q02447
Q8N3H0 Q9BTC8
P10242 P49675
P22061 Q9BTC8
O14641 P15586
P04553 Q9NX18
Q16698 P78364
O95429 Q9H611
O15091 Q92949
P13796 Q8TE85
P15848 P46952
Q9H5F2 Q8TE67
P32119 Q13029
P17676 P20936
Q13887 Q12933
Q9Y294 P35558
Q14188 P43897
Q9H213 O75400
P00492 P15848
Q7L7L0 P47897
Q9UNP9 Q8N983
O75526 P59942
P54136 Q9BYE7
O14920 Q15319
P30876 Q16773
P55157 Q96EK5
Q92598 P17405
P54136 Q5QNW6
P35680 Q9BRJ2
P35325 Q92989
P11473 P23921
Q9HBG6 P35452
Q9BYC2 Q99697
Q14188 Q2M3C7
P0CG30 P22492
P62318 Q8N3C0
P54687 P20290
Q9UN86 P78364
P05413 Q96AJ1
Q9H6S3 Q8TBX8
O60477 O75446
Q6XUX3 Q00444
P49753 P12004
P20592 Q6EKJ0
Q13085 Q86UU0
Q16778 O43182
P27694 P33402
Q9HBG6 O60902
Q9Y618 Q09028
P54687 P27540
P53567 Q2M3C7
P30626 Q9Y6W3
Q9P0K8 P21673
Q9NZD4 P10244
P00568 Q96AZ6
P22492 Q8N6F7
Q9Y5B0 Q9BRA2
Q96JN0 Q9NZD4
P55084 P16104
P17661 O14862
P53004 P16455
Q96PC2 Q58WW2
Q9BYC2 Q9UBR2
P82664 O75607
Q9BYD2 Q9UBT2
Q00688 P62269
Q9NP31 P32519
P49902 P28698
O60675 Q9UI17
P06400 Q9Y6R0
Q96M27 P51513
Q9UNE7 Q8WTS6
P63162 P48735
Q9Y2Y9 Q8IX03
Q15583 Q08495
Q9UBR2 Q9NP86
P17661 Q9NPC8
Q9HB65 Q9UN86
Q92664 P51116
Q9P278 P23193
Q8TF09 O15525
Q96HA7 O60762
Q9Y297 P62875
Q12857 Q9Y3B7
P49753 P23193
Q15543 Q5H9J7
P48728 P07602
O00743 Q9NR56
P13995 Q6P2C8
O75363 O43148
Q07352 P61769
Q9Y216 Q7L7L0
P10619 O60711
Q9BRV8 O95248
Q9BRA2 P27540
P53396 Q12948
Q96JN0 Q9Y239
Q99594 Q9NX02
P50213 Q7L775
Q04837 Q04726
P98170 O75506
P30838 Q8IZL9
Q9BXL7 P16402
Q86XK2 Q9Y3E5
P51948 Q8WVN8
Q06124 Q9Y6W3
P05089 P35227
Q5H9F3 P43355
Q7L0Y3 Q8IU81
P05423 P11245
P09132 Q15572
O75880 P61964
Q9HCP0 Q99684
P22061 Q01459
Q15637 P57723
Q9H9S0 P07195
Q8TAQ2 Q96IV0
Q7Z569 Q14527
Q9Y216 P62487
P48643 Q92759
P13639 Q9Y3E1
P49902 O95551
P07741 P84243
P45877 P17544
Q9BPX1 P0C0S5
O75251 Q7Z591
O00743 Q03701
Q8N5F7 Q9H5Q4
Q06710 Q6XE24
Q92837 Q9H4Z2
P20936 P0C0S5
Q15173 O60315
Q5SW96 Q92560
Q9H8M7 Q9Y2T1
Q9UJM3 Q0VG06
P16383 P35754
P41970 Q8TDY4
Q68CP9 Q9Y3D9
Q96CS3 O60814
Q16719 P31276
Q9H257 Q99549
Q9UJM3 O43929
P49638 O95751
Q01581 P83369
P04066 Q9NY74
Q15306 P24752
P07864 P35475
P26639 O43781
Q14938 P33402
Q9NWF9 Q99549
O60356 Q9P032
P62917 P32519
Q16548 Q5H9F3
Q9UIV1 P09488
P0C7P1 Q9BYC8
P10828 Q99469
P35237 P09016
Q92769 O00743
P20265 P49406
P29762 Q04727
Q8TE67 Q86WB0
P35790 Q9H9Q4
Q96HU1 Q8TAP9
P63165 P63146
Q2M1K9 Q9BXL6
Q8WUN7 O94953
Q9NSY1 Q9HBU6
Q5EBM0 Q9Y3E1
P05089 P01106
P54687 Q15723
Q7Z569 P35251
A6H8Y1 Q9UPP2
Q9NX09 P31274
Q9NP97 Q969J2
P38571 P49591
Q9P2W6 Q9NZL3
Q02252 Q13523
P12271 Q12996
Q9H582 Q9Y6R0
Q04837 Q9UM82
Q15906 P22532
Q8TF76 P43304
Q49AM1 Q14119
Q92844 A6NLJ0
P49411 A6H8Y1
Q9BWT1 Q9P2W6
P04066 Q13637
P15408 Q9NQI0
Q02548 P22532
Q12952 P59046
Q10587 Q9HCN2
Q7L3B6 A0AVK6
O95361 P52701
Q9UHD2 P29083
P40692 Q9P0J6
P41161 O14618
P42574 P35475
P53396 Q9UKN8
Q9NT62 Q92949
Q06547 P00441
P52657 Q9Y2R5
P49638 Q15475
Q16676 P53384
P48729 Q7RTV3
P31267 Q9Y2J8
Q6DRA6 Q9UPP2
Q9ULX3 Q13405
P13693 A6NEQ0
Q9BXI3 O14497
O14641 Q9UL17
P57053 Q96M11
Q9BZE1 Q9H6T0
O60814 Q9UI17
P27708 O15156
P13693 Q13487
Q8TDY2 Q9UKU7
Q13867 P40617
O60760 P35452
P30260 Q01469
Q5VUA4 Q12931
Q96QG7 Q96EG1
P51114 Q15697
P20591 Q13547
P29762 Q9UK76
P15407 P54868
Q15072 Q9HC29
Q99956 Q99878
Q9NYS0 Q9UMQ3
Q9BV79 Q9Y5Q9
Q9Y5N6 Q6XUX3
Q92748 Q8TCS8
P82909 Q9P2Y4
Q969K4 Q15672
P05423 Q9NZE8
Q8TF09 Q8TBZ0
Q16778 Q14032
Q13362 Q12882
O00268 Q93008
O15235 Q9UHR5
P06132 Q86U86
P08621 Q14204
Q96JP5 Q86Y13
Q13085 P54278
Q9NVW2 Q99551
P05549 P08729
Q15329 Q9BR61
P47874 P13686
Q14442 Q99880
Q9BY32 Q9Y6J9
Q03923 P00915
Q13085 Q8TAD8
Q13888 P04183
P24278 P78540
Q5H9J7 P13378
O60239 O95409
O75891 Q9NZI7
Q92830 P31350
Q9H4K7 P17861
Q92731 O14727
P63244 P27815
Q16773 P23409
P46063 P49789
Q9BTM9 P17275
Q05195 O95429
Q13085 P15923
Q9NVP2 P82930
P28702 Q9HD33
P62937 Q99549
Q9BXL6 Q99879
Q8WUN7 P07686
Q9NP31 P12524
P18440 P31273
P36957 Q9H4I2
Q07973 Q9NPC8
Q7L0Y3 Q03828
P39023 Q9NZI6
Q9Y4A5 P83881
Q9Y4H4 P23771
Q9H211 Q9NP31
P00492 Q8N6I1
P82909 Q9ULG1
P53667 P17482
Q96M27 P28358
Q9Y297 Q92966
P24298 P34059
P29374 Q96G61
P68402 O94805
Q9HCN4 Q53T94
Q9NTZ6 Q2VPK5
Q9BW04 O60508
Q9HD40 Q9BTP7
Q9Y6X8 P49458
Q16540 P35227
Q9NY33 Q9Y3D8
P59046 Q8N9N8
P63244 Q08493
Q9UKY1 Q7L311
Q96S96 O75879
Q9HD34 Q13243
Q16719 Q15393
Q9BYN0 P61371
Q92769 Q9NZE8
Q15291 Q01581
P14653 Q99558
P48728 Q92565
P14324 Q0VD86
P53396 P11161
P09874 P53779
P00568 Q16629
P00918 P43699
Q9UKV3 Q9UHN1
P20132 Q14CB8
P41252 O75461
Q00577 Q9NX20
P11766 Q96S96
P30838 P51532
P18858 Q08752
Q9NY74 P22670
O00338 Q9UGP5
O43504 Q8WWL7
O95154 Q15014
Q02539 P52566
Q16612 Q12789
P59046 P53634
Q9NP97 P08651
Q6DRA6 Q58A44
Q9UDX5 Q8WW12
Q92665 O60814
Q02535 Q06520
P18054 P18846
Q9Y3D3 Q8N1G1
O75529 Q13162
Q7RTV3 P13639
Q01581 Q8NDX5
Q12933 P23760
P17482 Q96PC2
Q9Y294 P82663
Q8WXC3 P16402
Q9NZE8 Q8WX92
P09234 Q9NX20
P63302 Q9H4Z3
Q6UB35 P51532
Q9H2S9 P49914
Q9H0E9 Q15046
P19447 Q8IXM3
O00411 Q8TE85
Q15291 P46459
Q96A58 Q14807
Q9UBR1 Q15393
P30048 Q8IVL1
Q7Z7J5 Q8N427
Q96G61 Q96JB3
O95551 O14618
P53396 Q9ULV3
Q16719 Q05516
Q05209 O14802
Q9HCU8 Q9BRJ2
P06865 Q9NY33
P41002 Q8N183
Q9H257 Q9UBK2
Q6NXT2 P13797
P53999 Q9Y3D9
P12755 P23921
Q9UI32 P52655
P45877 Q96RE9
O15091 P20933
P31942 P00352
Q9BYC2 O14981
P47874 Q12873
Q9Y5P8 Q9Y295
P61970 Q9HCU8
O75936 Q15560
Q15029 P18085
P07864 P62306
O94916 Q2M3C7
Q93015 Q9NVR2
P00352 Q9UL17
P08048 P30711
P18846 P48147
Q92844 P04198
P54687 P22415
Q7RTV3 O75170
Q9BXL7 Q16385
Q16633 P35558
P83436 Q96JB2
Q8NFH8 Q13247
P28161 Q9HBE1
P31275 Q12815
O95243 P51857
Q8N5U6 Q9ULX3
P31249 Q9UI17
O75461 Q9P0M9
O43929 P82933
Q9UKU7 P30876
P51649 P15172
P34897 P15848
Q6UB98 O60239
P08047 Q9Y2T1
Q16670 P54687
Q8IVS2 Q9UI36
Q9H8M7 P49915
Q8TE04 Q14839
Q9H0E9 Q92665
O75363 Q13156
A2A3N6 Q92949
O00338 Q9H9Q4
Q96S53 Q6XE24
Q9NX20 Q9UBC0
O15540 Q9UM82
Q9HCN4 O75586
Q14032 P26367
Q04725 Q9BSL1
P32322 Q15910
O43680 O14920
O94782 Q9BYD6
P37275 P54868
Q9H9J2 O60902
O00170 P51784
Q9H3D4 P30419
P51948 P07195
Q6P2C8 Q13637
Q96BP2 Q99558
O14646 P04183
O00716 Q9HCP0
Q9UH92 O75175
P47897 P49184
P82909 Q9UPV9
O75363 P07686
Q9Y618 Q13795
Q9P2K5 Q07617
O60563 O60239
Q9P0R6 P23025
Q08495 Q9UL49
P54577 P53350
Q9HB65 Q8NI60
Q9NP31 Q6NXG1
P59046 Q9NPJ6
P07195 O75506
P62314 Q13085
Q00688 Q9UIV8
Q7Z7A3 Q02386
P28161 Q99583
Q15319 Q9H6S3
P20591 P21291
Q06278 P37231
Q9BYN8 P19419
Q9BZL1 P49005
Q9NY74 Q969F1
Q9Y2V3 O00764
P09488 Q12824
Q93015 P86791
Q9H2W6 P52435
P13693 P26367
Q9P032 Q9HAN9
P49888 Q8WW12
P35453 P43355
Q15915 P35325
Q9Y6R0 O60508
P07327 P78549
Q16698 P31277
P82979 O43819
P07741 Q13573
Q02446 P15428
Q9NS39 P06732
P02545 Q93088
O75363 P35453
P32780 Q9Y295
O75828 P51513
P43355 Q12948
P30626 O43325
Q9H4A3 Q02080
O00170 P09630
P41002 Q07973
Q16143 Q16533
Q9Y297 P31269
Q9NX09 Q99966
Q14186 Q02108
P17535 Q9UHD2
O60678 P49842
Q9BYD2 P18846
P20591 D3DTV9
Q5T6S3 Q9HCE6
P62316 Q8WXI4
Q9H211 P29353
O60477 Q6P1J9
Q9P0R6 P08579
O75897 P62314
P41252 P58012
P18858 Q96M11
Q9NVV4 P42785
P17661 Q9H9Q4
Q16698 P55317
Q6PRD7 Q8IXQ6
Q9NP74 Q9BS31
O95990 P37108
Q9H9S0 P15559
P43268 Q9BRJ2
P28161 Q96I25
P49675 Q0VG06
P24666 Q96T76
Q7L7X3 Q9H2W2
Q7Z5Q5 O43396
P50453 Q96T76
Q99966 Q68J44
O60716 Q9UBT7
Q16540 Q92908
P32322 O95071
P52565 Q99877
Q9Y234 Q8WYH8
O00471 O14776
P15407 P20936
O14618 Q9BXL8
P62314 O60477
Q96S96 P50135
P31629 P38646
Q76N89 Q99581
Q9BXI3 P06865
P43355 Q8N6I1
P48729 O75446
Q9UBW5 Q03923
P48730 Q14526
P82914 P04053
P0C7P1 P09960
P17612 P14373
Q8WXI4 Q14526
Q13426 Q99714
P55039 Q9UKI8
O75897 P08621
Q15561 Q05209
O75676 A2A3N6
P14678 Q15102
P46952 P34059
Q9NWU1 Q96AJ1
Q5VZM2 P62875
P15104 O00257
Q8N1V2 O60264
Q9Y603 Q9HD40
Q8TBX8 Q9UHR5
Q9Y3D3 Q96T23
Q8NEL9 Q03701
P25325 P07602
Q6ECI4 Q9BYD6
Q15329 O43504
P07451 Q9H4Z3
Q8TAP9 P40227
P29084 P46459
P28161 Q15910
Q05516 Q13637
Q06278 O14924
Q3BBV0 Q9UMQ3
Q96AA8 Q15054
Q9NX09 Q9BSH3
O75897 Q16587
Q9NSY1 P17706
Q969P6 Q9NR55
Q99714 Q96AJ1
Q9BS31 Q9NP92
Q9UH92 P62879
Q9HAW0 P07148
Q15475 Q7Z2X4
Q99956 Q5M775
Q9H6S1 P32314
P52435 Q99707
Q9NZD4 Q9UL17
Q9P278 P51532
Q9BZE1 P10243
Q8TCE9 Q9BWD1
Q16666 Q9Y238
Q99990 Q9NQI0
Q9GZT8 P55318
P0DMN0 P20719
Q9NSY1 P35218
Q16828 Q8TAU0
O95361 Q9UGU0
Q9NP97 Q07864
Q14999 Q9Y6P5
Q01064 Q3YBR2
P24666 P26599
O95931 Q8N427
Q8WXC3 Q93077
Q9Y6X8 P35236
Q9Y657 Q9UIV8
P14598 Q8N257
Q9UKI8 Q14999
Q12986 Q8N183
Q9HCN4 Q8NFW8
Q9HD33 Q9H1E3
P47902 P16050
P43699 O14641
Q03181 P23921
Q5THR3 Q9HBU6
Q9H257 Q01459
P07327 P31274
Q9C0J8 Q96GX9
Q15046 Q6ZYL4
P29084 Q9Y6R0
Q99956 Q01201
P16104 P31350
Q9NYK5 Q9Y2P7
Q16719 Q12873
Q15080 Q9BTP7
P10074 Q9NX20
Q9BYN8 Q9UNL4
Q8N3H0 Q9Y3D8
Q6UB35 Q9HAZ2
Q09028 P59046
Q9HAZ2 P07864
Q15102 P20933
Q07352 Q8WXI4
Q04837 O14497
O75381 O00623
P14678 Q9BYD1
O75343 Q99929
P31937 O60315
Q9Y4H4 Q8IUM7
P12104 P04053
P51553 Q01826
Q8N9N5 Q13310
O96020 Q12815
P05412 Q9HD34
P14324 Q9UMQ3
A2A3N6 Q01459
Q9UDV6 Q9UH92
O95361 Q96LT9
P12081 O60762
Q08495 P10243
Q9UL49 P17706
Q9H4K7 P49716
P23193 Q9Y4B6
P19419 P23921
Q99697 P50453
Q15560 Q96GX9
P50135 Q9UMQ3
Q7RTR2 Q99967
O00411 Q9UL03
P78417 P35712
Q9Y238 Q7Z5L9
Q8IXM3 P09661
Q13510 Q9HD34
Q9BXI3 Q9ULX9
Q15173 O14948
Q9BYN8 Q15393
P10276 Q9P2Y5
Q9NZJ9 P31275
P0DJD3 Q12931
P29466 Q16629
Q6DN03 Q96LI5
P28347 O75251
Q9BPZ3 Q7Z5Q5
O95243 P54868
Q8IYD8 P53677
Q15415 P54577
Q9UKI9 P23297
P83111 Q02241
Q969K4 P31277
Q969P6 Q9UKI9
Q7L3B6 Q12947
Q9BWT3 Q86Y13
Q9UJM3 O43513
P13797 Q9UBE0
Q5SW96 P35680
P35269 O60941
P49638 Q9NPC8
P28358 Q9NP97
Q14914 P17481
Q9BRA2 P49716
Q9P0R6 P07992
O14727 Q06416
Q9BYN0 Q6ZN30
P53567 Q13405
Q9H6S3 Q8N1G1
Q06945 P0CG30
P11831 Q8N5U6
Q96HA7 Q6PL18
P25963 P36915
Q8N6F7 O95125
P54577 Q9Y3E1
Q15915 P21399
Q9BTM9 Q9NVP2
Q96PC2 P12004
Q6DRA6 Q02252
Q96S96 P39023
P31150 Q68DY1
Q8WXC3 Q12986
P98170 P49639
Q9ULG1 Q93015
Q9UPP2 Q9UBR2
P06132 Q86UU0
Q9NRJ4 P35452
Q9HC29 Q96S53
Q9UEE5 Q9H0A6
Q04837 P02545
Q15583 O00338
P28838 Q5QJE6
O75164 Q04837
Q2M1K9 Q7RTR2
Q8NFG4 Q9Y5P8
Q9H9S0 P17174
Q96KK5 Q8N6F7
Q9H7D7 Q16676
Q92871 P15586
Q96IV0 P52756
Q16719 Q10587
Q9UD71 Q9UDW3
P29558 Q12882
P22061 P16455
Q9BRL6 Q9Y291
Q86XI2 P37108
Q9H2W6 Q9BQ83
P53677 O14981
Q9NZD2 Q05195
P40939 Q06945
Q14914 P04198
Q16854 D3DTV9
P42695 P51114
Q9H213 Q7L311
Q9Y2U9 P54098
Q96PC2 Q9UJC5
Q01538 P41279
Q08495 O15379
P20592 Q8NFW8
P49589 P15173
P49715 P49406
P49753 Q14807
P17900 P62942
Q04725 P59942
P10275 Q9BW04
P18440 Q13426
O43543 Q9NX18
P13984 P50452
Q9UNE7 Q15544
Q9H4K7 P27695
Q3BBV0 D3DTV9
Q9Y2T2 P49640
P23193 P34896
P41970 Q76N89
P82650 P54845
P83111 Q01658
Q9Y5Q9 Q2M3C7
Q64ET8 P0CG30
O00257 Q9NP86
O75446 O75251
P62995 P11245
Q07352 P24298
Q9BRL6 P59942
P29466 P17947
Q9UHN1 P15923
Q9ULW8 Q9NQX1
O94916 Q16643
O60760 Q5M775
Q16851 Q5VTD9
Q92665 P51513
Q8IXF0 P07148
P35237 Q14188
Q8N1V2 Q00688
Q01826 Q9GZT8
Q9Y297 O94953
P10412 Q969Y2
Q01581 O00311
P82914 Q3ZCT1
Q96GX9 Q14696
Q9BY32 Q9H9Q4
P09936 Q969S2
Q12931 Q99877
P09936 P35227
Q16643 Q07864
Q8IVS2 P04908
P62942 Q9NQ92
Q8N5U6 Q68CP9
Q9NVP2 Q9Y3D5
Q02548 O95749
Q96QG7 P17405
Q7RTV3 Q6PRD7
Q9P2W6 Q02548
Q9BYN0 P12004
Q16548 Q9H0W9
Q15415 Q96NW7
P59046 Q9UKF6
Q9Y463 Q9BYC9
Q9UHH9 Q9BXL6
Q05952 Q9UBC9
P18440 P31274
Q8TAE8 P29144
Q03701 Q08257
Q9Y239 P28324
Q86YN6 Q6UB28
Q9ULW8 Q96DT0
Q9UDX5 Q15306
Q9BXI3 Q9NPI8
P35326 O95411
Q03181 O95749
B2CW77 P49915
P49842 P11586
O75880 Q16676
P13796 Q5TB30
P51116 Q8N9N8
Q03923 P12081
Q8IXM3 P83876
Q9BY32 Q6UN15
P51946 O75534
Q8NI60 Q8N257
Q96M27 P41161
P68104 P32314
P19532 P12081
P13797 Q14696
O76094 Q13243
P50120 P06899
P23771 P19878
Q07960 Q8NCU7
P46199 O75132
Q8TE02 Q6P2C8
Q15545 Q02108
Q16772 P20719
O00257 Q13637
Q9HCS4 Q9H9J2
Q9UBU7 P21399
P41252 O15178
Q9NR19 A0AVK6
P00558 Q03701
P78337 P22528
Q969K4 Q12996
Q13115 P52565
P48730 O75526
P56277 Q12986
Q8WVY7 P15374
P51513 Q06520
P35548 Q9BPZ3
P10155 Q02447
P82650 P35475
O95243 Q9BYN0
Q9UKW4 P50570
Q08495 P18847
Q8IWT3 O60762
Q96D98 Q93008
P39023 P10071
Q9UHL9 P53677
P29762 Q68CP9
P13995 Q92826
P47902 Q9Y295
P58876 Q15102
P09210 P55895
P53396 Q9HB96
Q8WVN8 P19532
P27708 Q86XK2
Q15424 O43504
O00267 P50120
Q9NY33 Q6ZYL4
Q96TA2 P47902
P05423 P15428
Q969Y2 Q00056
Q6NYC1 P29466
P26639 O60315
Q15173 Q15697
Q5VZM2 Q12837
P31937 Q01664
Q9UBU8 O00411
Q02078 Q8N183
Q16698 Q9Y3E1
Q96DI7 Q9H765
Q9UHL9 Q08257
O95154 P20933
P24666 Q07864
P00918 O75971
P18054 P14652
P83111 P32519
Q86V15 Q9H2J4
Q15327 O15169
P11586 Q03181
Q08495 Q02363
Q9Y3D3 P52657
Q96A58 Q9Y3Z3
Q969K4 Q9UBC0
Q16254 P04183
Q16143 P27707
P26583 O43837
P51513 P59046
O95343 P48200
Q99612 P26441
Q9Y676 Q9H1E3
P16383 O60551
P43304 Q8N1G1
Q15723 P63167
P30419 P35712
P08621 P21266
Q16656 Q07020
Q9HB65 P47897
P50213 Q8N807
P63302 Q8N5A5
P20591 Q8WYA1
Q9H0A6 Q68CP9
O00338 P28358
Q9UKU7 P55771
O75936 Q9NPJ6
P50990 P78527
Q8WXI4 Q8WW12
P09017 P06732
P68104 P83876
P11245 P49640
Q96T66 Q9UHR5
Q0VD86 Q9NVV4
Q5SW96 Q9UBU7
O00170 O15514
O00471 Q99081
Q9UIK4 Q68CP9
P10243 P46459
Q6UB28 Q9UNI6
P40692 Q9NX18
P10914 Q76N89
Q13356 Q12882
Q13546 P15848
Q14032 Q96QV6
P14324 Q15349
Q99757 P84243
O75936 Q9UNY5
P53396 P33778
P48730 O15178
Q16719 P08236
Q99487 P49736
Q9BYC8 Q9Y6P5
Q9NZI6 P17174
Q9UDY6 O00267
P27708 P57081
O43913 Q93088
P53677 Q96QR8
Q9ULW8 O15514
Q9H2W6 P09884
Q9BRV8 Q92522
P09874 Q96HA7
Q9HCN4 Q05952
Q16695 P49789
P35321 O00716
Q5T3J3 Q9H213
P19793 P62917
O14920 Q9Y6P5
O95931 P49888
Q9BPZ2 O15540
O43325 Q9Y6R0
Q02962 Q9Y2R5
Q16143 Q00403
Q03923 Q99956
O43365 Q15046
P25208 Q6P1L8
O43913 Q16643
Q16740 Q8N9N8
Q9Y222 P35270
Q99590 Q9NVV4
P21695 P21291
Q9H9D4 Q9UH92
Q16385 P00326
Q9H6S3 P41240
O95343 Q93008
P55157 Q7L0Y3
P62942 P12524
Q9H8M7 P78540
P0DMN0 P16455
Q16828 P36915
Q9HD40 Q8IVL1
P0DP25 P18848
P15336 Q9HBU6
Q9BPX1 Q14CB8
Q9Y2J8 O15379
P32322 Q53T94
P35326 B2CW77
Q08495 Q13356
Q13461 Q58A44
O14920 Q03164
Q8WYA1 P54098
Q9UPY3 Q15014
Q92552 P86791
Q6ECI4 Q9P0J6
P22681 Q9H611
Q15080 Q9BS31
P31937 Q9NS39
P09012 Q12815
P54687 O14503
Q16719 O14776
O75674 Q7Z3T8
P06454 Q5SW96
P14651 O95154
P22061 Q01664
Q96T66 P14921
A6NEQ0 P00352
P08048 O43776
P61244 Q58A44
O75936 P61964
Q9HCE6 Q02080
P36957 Q7L775
Q9NWF9 Q9NX01
P25398 P18615
O95551 P78417
P14324 Q9UHG3
O00338 O43364
Q96M27 Q6PJT7
Q08752 P17010
Q9Y6K8 P13349
Q13867 O60762
Q15319 P82663
P08263 Q12873
Q15906 Q9Y3E5
P14316 P78417
P28358 P32929
P54136 O15370
P32929 Q9UGL1
Q9NV56 P43897
Q9NR19 Q15561
Q9UI17 Q12948
Q02108 O60814
Q16828 Q92730
Q9UKI8 Q9HBG6
Q99487 P20264
Q9NZD2 O00472
P45877 Q15853
P29218 P09067
O15305 Q99880
P48728 Q9BWW7
P46783 P41134
Q9Y618 Q9NY33
O95071 Q14790
Q5VZM2 Q16514
Q9Y5Q9 Q9HCE6
Q9Y535 Q6XUX3
P54687 Q9Y6J9
Q9BR61 P58876
Q12800 Q14106
Q9Y295 P61964
O43325 Q99551
Q15233 Q9BYG8
O14727 P35712
O94913 P05089
P27695 P49902
P23771 Q8N6F7
P49716 Q93088
P08319 O43365
O43837 Q969J2
Q07352 P13693
P13995 Q96AV8
O95639 Q96HA7
P14061 P35680
Q16854 P20671
O95400 Q8N6I1
Q02108 Q6ZYL4
P35548 P43304
Q8N9N5 Q9GZZ1
Q5SW96 Q14190
P39023 P54132
Q92522 Q9UPY3
P09012 P21673
Q07020 P26651
Q9H5Q4 O15514
Q01081 Q9NQI0
P22492 P15104
Q2M3C7 Q02080
P51553 Q8WYH8
O75891 P29084
Q8TDY4 Q16520
P35790 Q13889
P09234 P08319
O43819 Q9Y2P7
Q9Y6R0 O75132
Q8TF09 O75030
P09017 P59942
P40925 Q8IVL1
P07148 Q96LA8
Q9Y2V3 P49591
Q13126 Q13950
