P20226 Q9BW71
O00499 Q9UPY3
P07384 Q00587
O00501 O14920
P36896 P11171
P24941 Q9H2K2
P48740 Q8TAP6
P17706 P48039
P41212 Q9UNZ2
O75563 P09237
P20936 P24522
Q9Y2V2 Q96IP4
P62993 P51911
Q14781 Q9UNN5
P18206 P85298
P54253 P17612
O00268 Q13535
P23468 P14921
P61981 P51159
P17600 Q15544
P09619 Q99717
P83916 O94985
Q14974 P14780
Q04637 Q8NCB2
P12931 Q07001
O60716 P22792
P49848 P01344
Q9UBU9 Q9BQD3
Q9H4X1 P22083
O95071 P14635
Q12967 P30990
P19174 Q99081
P00533 Q04941
P62826 P04264
O75558 O14836
P36896 Q96J02
Q9Y618 Q9UHI5
P26368 Q13571
O76080 Q9Y6Y0
Q15700 Q9UK45
P17252 P09683
Q9Y618 O76064
O15198 O75689
P49848 Q13616
Q01892 Q13332
P27986 P43403
Q15024 Q9NPQ8
P06730 O75807
P68400 P21802
P26641 P13612
P11142 O43639
Q9H4M9 Q07954
Q9Y6K9 O14512
P68104 O60293
P29475 P58546
Q12972 Q00722
O60506 O15516
Q13185 O43318
O76064 P35372
Q9NR33 P04271
Q9Y2L1 Q03113
P0DP25 Q12879
O95409 Q15843
Q9UNY4 O00339
P62258 P23769
P15172 Q14643
P12931 P12814
Q13287 Q9Y2J2
P35568 O75791
P08138 P62942
O14641 Q6UN15
P09619 Q16280
O14936 P61764
Q66K74 Q00839
Q15796 O00213
Q9NRR5 P06401
Q15672 Q7LBR1
P09619 P13861
P04278 Q96S53
P12757 Q4V328
P06493 Q13573
Q15788 P32780
P04150 P57073
Q01844 Q9Y692
P62993 Q04759
Q99598 Q13352
P29274 P04406
P42574 P00533
Q9UL45 Q8NEA9
P18031 P05000
P61981 P08253
Q9UBU9 Q9NRI5
P12004 Q13535
Q06124 P46379
P35237 P61296
Q02535 P02775
O43561 Q9Y3C7
P22415 Q7L5N1
P17612 P30556
O14579 Q13813
O94907 P51116
P03372 O15399
P19419 Q93045
P60953 Q8IZ52
P04637 O15164
Q92793 Q6VN20
Q9UN19 Q99727
P62993 Q9ULH1
O60241 P46937
Q96CG3 Q7Z7C8
P06400 Q9UL45
P20700 Q15645
Q16539 P62316
P00747 Q96F07
Q15697 P33992
P04637 P22736
P12004 Q9UKP3
P10275 P49810
P21802 Q7Z465
Q9NV56 Q86SS6
P36897 P42680
Q01844 O15519
Q14994 P07949
P26718 Q9Y314
P49720 Q13114
P36956 Q9BVM2
P16949 Q9NRR5
P05556 P57073
P31946 Q14517
P12643 Q9BZ76
O60232 O00253
P42574 P18089
P21810 Q9UK32
P08100 Q7LFX5
P62308 Q16671
P50570 P48039
P31749 O75563
P02751 Q08380
P25025 Q8IYU2
Q04724 P17480
P17252 Q9UL18
Q14571 P15927
Q16254 Q9UGL9
Q99683 P02649
Q13867 Q13635
P00747 Q15154
P51114 P23975
Q9UKL3 Q8N3X1
O95229 Q08752
O75182 P09467
P60953 P37023
Q9UBU8 P36956
Q92698 Q96NA2
Q04917 Q9Y6D6
Q8TBC4 Q13442
Q8WXI2 P43351
Q9NXU5 P21731
P49715 P30154
P31785 Q96KC2
Q7L590 Q9Y3C5
P54259 O43312
P08754 P29371
P84022 Q9H427
O15519 Q92994
Q9Y6K9 Q8WU20
Q08881 O43488
Q9UM13 O95070
P28749 Q96P48
P38936 P06850
P62834 P63010
O14745 P25490
O15350 Q92777
Q06124 Q5JWF2
P09958 Q969T4
P05106 Q14289
Q14247 Q7Z6L0
Q9NQT4 Q14012
Q12967 Q6P1J9
P28482 O75886
O60674 P54257
Q15561 Q12805
P20338 P42768
Q99598 P11229
Q06265 Q05516
P27986 Q9UKV0
P17480 Q9BUW7
P62879 Q14686
O94972 P17028
P21810 P13984
Q15796 Q07157
P56270 P12318
Q96KQ7 Q07954
Q16667 Q12879
Q15047 P10747
P12004 Q92994
Q969H0 P26006
P54132 O15524
Q08554 P20916
P08047 Q7LBR1
Q14203 Q9HCE7
P11021 P04637
P15502 Q01362
Q07157 O75909
Q86SG3 Q96HA8
Q92835 P07237
P51693 O75822
P68431 Q9UI46
P31946 P14927
Q9Y6C5 O75995
Q99558 Q00610
O95166 P28358
P52630 Q86XS8
O60462 P20936
P17252 O60496
P12956 Q96S55
Q99689 O15355
Q13485 P16284
P53365 O95631
P60953 P35080
P27348 P60903
P17936 Q13588
Q96RL1 Q03431
Q9Y295 Q86UW9
P21860 Q13291
P31946 P54920
Q9H173 Q9NRI5
Q14192 P13807
P61289 P16591
Q9P021 P46527
O95989 Q9HBA0
Q8TAI7 O15211
P26641 P40189
Q12933 P35609
O95905 Q9UIQ6
P84022 Q05516
O43739 P38159
Q8NEC5 Q9NZQ7
O14733 Q9ULH0
Q08209 Q9UK53
P05155 P25205
Q13424 P35462
P10144 P62714
Q5RL73 P15813
Q9UKR5 Q16623
P20338 O14994
P63165 P84090
P12757 P38398
Q9NVD7 Q13114
P55196 Q8NG27
Q9NPI1 Q9UF11
Q07960 P48051
Q15796 P60201
Q9NVV9 P07996
P54132 Q15366
P12931 O43255
P14136 P52799
P20248 Q9UN19
P98164 O95819
P00533 O75916
Q12778 Q969H4
P29350 Q9Y2X7
P16144 Q14164
P00749 Q8TDR4
P40763 P05771
Q00169 Q16820
O60315 P41182
Q96SB3 P04437
Q99698 Q99459
O14543 O75934
Q01362 P05187
P16234 Q96D59
Q09028 Q14451
O15198 Q15834
P0DP25 P42336
P12956 Q96AE4
O15164 Q96ED9
Q8IW41 Q96LC7
P20936 P48443
Q05513 Q5JVS0
Q92793 Q9Y2D1
P19012 O75962
P60709 P10827
P08572 P60900
Q9Y4H2 P62070
Q12933 Q8IYI6
Q07869 P56706
Q14181 P32241
P43405 Q9UHI6
O14727 O75586
P01133 Q969D9
Q09472 Q92597
P07948 P56559
O15066 O60763
P18031 Q8WVM8
P42224 P48058
Q8WV28 Q9Y4K3
P50750 P60880
P54253 P49841
Q8WZ75 P08100
Q01094 P49792
P19235 Q9UDY2
P01100 O15085
Q9GZT9 Q9Y3C7
P50148 P22735
Q93062 Q02643
Q99583 P43364
P35222 Q14643
P02458 P02452
Q16623 Q8WU20
Q13485 Q92945
P00813 Q9UHF4
Q13547 P33176
P54105 Q9P253
P21580 Q9NRJ3
O43541 Q9Y5B9
P07333 Q86UP2
P01100 P23760
P17931 P28908
P25791 P31146
P08174 P13591
O60237 Q12906
O95870 P01160
P53779 Q05516
P04049 O00238
P04626 P61278
Q01844 Q13541
P00533 Q9Y679
P17535 Q9NX74
Q15648 P18669
Q9NRM7 P21854
P35813 Q8WZ42
P12814 P49356
P25098 Q9UJX6
Q9UKY1 Q14978
Q13144 Q9UBB6
P17028 P25024
Q15038 Q96QF0
P50548 O60232
P49720 P39880
P17302 Q14C86
P10275 P22459
P06127 P21589
O95445 P53805
Q16611 Q00610
Q9UHI6 Q99941
Q9UBU7 P23258
P26718 P41240
P06400 O75052
Q9Y297 P17302
P07949 P49662
P51116 Q02763
P23458 Q9ULK4
P01100 P15153
P17612 Q13029
P36897 Q13541
P30305 Q96ST3
Q9ULB1 P04629
P35637 P29084
P25391 P01222
Q13501 P62195
P56704 Q8N3F8
P05783 Q9NP79
Q16695 P17081
P28482 Q9H422
Q07021 A6NGB9
P06241 P43364
Q9UKY1 Q96J02
Q12933 Q9UBC3
P17096 Q13177
P13994 Q04917
Q16539 Q15361
Q6P1K2 Q13287
Q15645 Q56P03
Q13526 P23229
P19338 Q14140
Q9HAU4 O43293
P27695 P00749
Q7Z6B7 Q14011
P12956 Q16625
P06400 Q9Y5S9
P62877 Q9Y275
P46527 P01112
Q14103 Q7Z7C8
Q14686 Q9UKX7
Q92793 O43639
P14672 Q9NRI5
O14641 Q15543
P10398 P30305
O43463 Q96QK8
P62070 P45984
Q9NRR5 P00533
Q12824 Q9Y4E5
P21817 Q8N3X1
Q9Y5R2 P43489
P06241 P07948
O96006 Q9UN37
P67775 Q9H0E9
P54652 O75628
P24394 Q99569
Q13416 Q9UBL3
Q13177 Q07075
P63096 Q04759
Q96IF1 Q12959
P29279 Q01826
Q96CN9 P04080
Q9Y618 Q8WW01
P0CG47 P42858
P04439 Q9NRD0
Q9BQD3 P61224
P20936 P10124
P10636 Q06609
Q15797 Q96PU8
P12931 Q92793
P55197 P53675
P35222 P21980
Q05513 P48023
P17302 P40189
P62805 P98174
Q96SB4 O15105
Q96L73 P20023
P25098 Q15853
O95832 P13727
P10275 Q06330
P42680 O75674
Q92900 P51817
Q13432 P49137
O95071 P42345
P10828 P16220
P12956 Q9Y6C2
O15198 Q9NRG1
P68104 P12429
Q9UJY5 O75691
O00755 Q16539
P14416 O75381
Q92466 P68400
O76036 Q7RTS1
Q07960 O75818
Q96A23 P78562
P14784 P42858
O15198 Q8IYI6
P15036 Q16621
Q13200 Q96PN8
Q9Y3C7 Q8WV24
P12814 O75145
P52655 P37173
Q96PN7 O95718
P51617 P10809
P0CG47 P14618
Q9HA65 P11274
P27361 P98066
Q07890 Q96CN9
P19793 Q13464
Q9H4I2 Q9UNZ2
P21675 O14503
P62942 Q9NZ52
P46531 Q14451
Q15303 Q6IAA8
P11308 P63096
P00533 Q99612
P17252 P31749
Q13501 P49407
P05106 P19086
P04049 Q8N3R9
O76003 O43261
Q09472 Q6XZF7
P99999 Q92624
P29475 Q9NW38
Q9UMD9 Q9Y3C4
Q13287 P55001
Q00403 O95832
Q9Y2W2 P01112
P61981 O96024
P26651 P42229
P48995 Q9UNF0
P12757 O94972
P25942 P21796
Q9Y230 O14920
O43426 P0DML2
P15036 P21741
Q15543 P35249
P10114 Q13702
P27986 P07949
P04637 P04278
Q9NPC2 P07858
P38398 P05114
P48664 P02776
P23511 Q03135
Q15047 O60383
P29400 P42330
P02545 P35125
O15169 Q9HCU9
P61978 Q8NES3
Q13555 Q9NTX7
Q05513 O14795
Q06187 P31749
Q9H6Q3 O00300
P17612 Q9Y330
P63167 P05412
P21246 Q6EEV6
Q15596 Q9NV56
O95166 O60443
P35568 P41235
P31942 Q00994
Q05513 Q9NQC3
Q09472 O43318
Q9UER7 P17931
P57087 Q9BT81
Q96D59 Q92625
Q09472 P15880
O15105 Q16661
P19174 P28300
O43837 Q9NZI2
Q09472 Q9Y5B0
P78347 P35219
P27361 Q96A23
Q9Y6Q9 P08476
Q9BX70 O75146
P06400 P84103
P17612 O60895
Q13387 Q13555
P36507 Q14140
Q96FN4 P21462
P57735 P02775
Q9BQG0 P04439
O15198 O95819
P15502 P14625
P07766 Q9UBW7
Q9UK53 Q53ET0
Q9NYF8 O75969
P21246 P14416
P49841 Q13363
Q16890 O60674
Q96CW1 P25054
O75369 Q02223
P03372 Q9P2E2
P10415 Q10567
Q9BQ66 P17542
P49768 Q6ZV73
P11802 O14512
Q96PU5 P21918
Q13547 Q9H293
P08069 P19634
P04637 P05231
P50991 P13501
P04049 Q15648
Q00577 P21796
P57073 P98177
P52292 Q9UN19
P62993 Q9BQG1
P55010 Q969Z0
Q92731 O95999
Q13526 Q9Y383
O00287 Q00839
P48023 Q9Y483
Q9UKN8 P0DML2
Q13480 P08908
O60832 Q99767
Q9P2H0 P20337
P04637 Q14494
P31942 P49069
P62380 Q8NFH3
O75925 P36542
P12236 P25103
P51587 P57105
P61586 P28360
Q99819 P04629
P26641 Q9UHC6
O75955 P52292
Q9Y2J4 Q12788
P84022 Q99665
Q5RL73 P54920
P62258 O15516
P06239 P62258
P27986 O43318
Q16620 P37288
Q9BQ66 P15172
Q9NZJ5 Q96GM5
Q9H211 Q6IA69
Q15645 Q15797
P48059 P22748
P17676 Q6ZN04
P19784 P58546
P12757 P04049
P15153 Q92834
Q15544 Q8IUC6
P62328 P55211
P41134 P50454
Q99814 O14933
P78559 P01374
Q13424 P50453
P04637 Q9NRD5
Q06787 P01112
P30305 P17936
P06400 O43516
P24928 P12814
P15976 Q16637
P02751 P06241
P54253 P42574
P36406 O43927
Q66K74 Q9H6R7
P14780 P49716
O15198 P04899
Q9P2H0 Q15942
P61981 P21673
P30153 Q16526
P06239 P34947
O96004 P60842
Q8N715 Q9HAU4
P30533 O75487
Q14258 P15516
Q9HAV5 P0DN78
P06239 Q14919
P46108 P57073
P17252 P14866
Q96QZ7 Q8IUX7
P48736 Q16665
P63096 P35611
Q00613 Q8TD08
P21246 Q9BWG6
P35251 Q96QZ7
P27694 Q06330
Q9NQT4 P20290
O43493 Q6EEV6
P22087 P02776
P49798 P05154
P40337 Q13936
Q9UMX0 Q13546
P62310 Q9UBD5
Q9Y3A3 Q92974
Q9P2H0 P36897
P15498 Q07954
Q15642 Q13239
P40763 Q99418
O60674 O94941
P12931 Q6STE5
P62917 P09884
Q6IA86 Q15464
Q9UKT8 Q9Y6W6
P52333 P32418
P11387 P42081
Q00403 P01906
P78406 P52564
P49917 Q13616
P61981 Q9BUJ2
Q9H5Z6 O60266
P47897 Q9P104
P27986 Q6VMQ6
P08047 Q99972
Q99759 Q86Y82
P10275 P08240
P54259 Q9H422
P07949 Q9GZY0
P40692 O76003
O60675 Q96I34
Q10567 Q6NUQ1
O60232 P41743
O96004 Q99952
P54259 P36406
P12004 P21579
Q9Y6D9 Q14055
Q13137 P02786
Q9P287 P00374
Q71DI3 Q13547
Q9UPY3 Q9Y3C7
P18206 P08473
Q9BT78 Q93034
P04637 O00401
Q92529 P48058
P11142 P35869
Q15796 P20585
Q00610 Q9NPY3
Q13501 O15350
Q14155 O60610
Q15797 P78317
P06400 P08754
O43809 Q8NHY2
P61981 Q9UHD2
P68032 O60662
P41143 Q9UNN8
Q13464 O95251
Q8WVM7 P84103
Q7L5N1 P19320
P51116 P58340
P30153 P61968
P09237 Q49AR2
Q96PE3 Q9GZZ9
P08047 P19438
Q99733 P08631
Q6WKZ4 P21731
P42768 Q9GZY6
P28482 Q6ZVK8
P52333 P16298
Q15121 P55017
P15976 P23528
O43541 Q99683
O75818 P10745
P37023 P56539
O00499 O60610
P35548 Q6UY14
P50613 P62312
Q07817 O95150
P22459 Q9UBU3
P02741 O95071
P08069 P35900
P24928 P40197
P18031 Q7L190
Q02363 P28562
P29597 Q8TD19
P40425 P27701
P35609 Q93009
P55212 Q93009
P11021 Q03164
Q12933 Q9Y6K1
Q09472 P02751
Q8IYF3 Q12929
P12830 Q15361
Q04206 O00238
P35813 Q6PD62
Q13158 Q00975
P62714 P62837
P78396 P46091
P68402 O75528
P40818 P01042
O60763 Q9UQQ2
P25098 P04271
O95084 O75419
P30307 P20151
P08670 Q96BI3
P49759 Q13469
O14980 P54845
Q06187 Q9UBL6
Q14500 Q12929
P07359 P46777
Q09472 Q9BQY4
P62993 P36575
Q13315 Q8IX03
P68366 O15143
Q02535 Q14831
P13686 O00311
P04637 Q6ZVK8
P23025 P17028
Q9Y6Q9 Q9Y272
P35680 Q00526
P21980 O60925
Q8N9N5 Q96P70
P60709 Q01844
O14980 Q9Y6Q9
P32246 Q8WWW0
P26599 Q00994
P02545 P24593
Q9H190 Q9Y4Y9
P51159 Q14789
P28827 Q92608
Q13526 Q05655
P08571 Q9Y613
P36405 Q6NZY7
P20936 P61587
P30530 P46379
P14635 O43639
P49662 Q92841
Q92597 P55010
P18545 P46934
P06454 P15260
P18887 O75676
Q9NP97 Q92734
Q9UQM7 P43378
P61981 O60241
Q9GZT6 P55060
Q8N1L9 Q16630
Q12778 Q14721
P68366 Q99689
P28749 Q12879
Q12933 Q7LFX5
O75376 P62258
P40855 Q9NUX5
P53041 P50553
Q9NR12 P06756
P30530 Q15545
P14923 Q5T5P2
P29317 P01042
P08670 Q86UL8
Q15797 Q96FZ7
Q9Y620 Q16619
Q6W2J9 O14599
Q9BQ66 Q14344
P42566 Q9UJ70
P38398 P42704
P61956 P55103
P07585 P35858
Q13547 P43405
P43405 P27695
Q9UNE2 P24941
P02458 P35968
P07237 P06858
Q04206 P31277
Q6P2Q9 Q9NPY3
Q15596 P20226
P21728 P51610
P63167 P57727
P51116 Q15645
Q05655 P68104
P14635 Q9H2G2
O00291 O43427
Q15796 Q969H0
P06396 Q13571
P10275 Q8WYK2
P12931 Q9NRW1
P62314 P36894
P19793 O43323
P78364 Q9BT17
P56539 P61968
P61586 P29474
P28562 Q92574
P08047 P62306
P0DP25 Q99816
P29350 Q92900
P61966 Q8TDQ1
Q14469 Q8N3X1
P43246 O00238
P63244 P54284
P50750 Q9UHW9
P11274 Q8N488
P62834 O60229
P36575 Q9NXE8
P10275 Q8IUM7
O75419 P22059
P28482 P27824
Q99689 Q96H86
P68133 O00459
P02686 P12429
P29323 Q14257
P12956 P06454
Q99704 P02679
P04183 P49959
P26038 O60341
P06576 Q14831
O14980 O95747
Q15572 Q8IYF3
P27694 O95707
P28749 Q96A65
P08246 Q9H0M0
P08246 P62714
P24941 O95295
O00459 O75496
P21452 O14788
Q9HCU9 Q9NRL3
P12004 P68400
P04150 Q14451
Q9Y6Q5 O14495
P31947 P27658
P49759 P62277
Q9NYQ7 P55291
P24941 Q15102
P10451 P62316
Q9Y3F4 Q9BY67
Q14181 P13861
Q15797 Q9UKG1
P13639 Q8NHY2
P02768 Q8IVF5
Q9Y294 O00463
Q13526 P54646
O95084 P36873
Q13156 Q9BQE3
P63104 O43914
P17535 P20702
Q96ID5 Q92845
P27707 P53355
O15287 P09529
Q9BPX1 Q8TEW8
P42574 O95751
Q9NQ94 P50895
P55316 P56693
P63279 Q7Z7J5
P40763 Q12888
P63244 Q6VMQ6
P20226 P61604
P11473 Q12959
Q13838 Q96AJ9
P23142 P22455
P12931 P46531
Q86SE5 Q9Y2X8
P22681 Q15648
P63279 P08047
P08311 Q9UNL2
Q01130 O14893
P62987 O00562
Q9BVI4 Q99829
Q9NRD5 P23458
O75446 P07738
O75821 Q9Y3C7
P40200 P56705
P14784 Q9H269
P25100 P06493
P01563 O43776
P04637 Q13158
P28482 P01127
P38398 P50991
P17252 P63208
P62879 Q7L5N1
Q9ULK0 P62937
Q00653 P29992
P28482 P30304
P05120 Q9UM11
O00401 P51532
P10809 Q8TDF6
P36897 Q9Y4K3
Q92698 P15927
P04792 O60486
Q96B97 Q15181
P26718 P05107
P17252 Q13322
P24928 Q6EEV6
Q8IY57 P15090
P63104 O95837
O95295 Q9P1Z2
Q06187 Q8WUD1
Q9C0C4 P13671
O15397 P35070
Q9NVE4 P46087
Q09472 Q04724
P63244 Q9Y2R2
Q92597 P59998
P63279 P17482
P48023 P19875
P41212 O43639
P55072 Q9NPG2
P28482 O15111
Q13554 O75554
Q15596 P11831
P63104 Q9P2B2
P08311 Q9BRS2
Q02156 Q96HA8
P42224 P55212
P46109 Q9NR28
Q9UK41 Q14582
Q9UQN3 Q13569
P36873 Q9BWG6
P50281 Q5T681
P38398 P62750
P05067 Q8WUH2
Q15466 P18031
Q14192 Q07021
P55212 Q15642
P10828 P46100
Q12866 P62820
P21246 P05771
P54198 P43243
Q96A72 Q00535
P10301 P17706
Q15024 P11802
P35637 P09012
P40189 P0C1Z6
P10914 P50549
Q12778 Q04771
Q12789 Q99665
Q13432 P29597
P42702 P20336
P42261 Q93062
P30260 P08670
P42229 P52292
Q9UQ90 O00212
P15924 O75391
P53396 P27348
Q13616 P49716
Q9BQ66 Q8N2W9
Q9Y2A7 P49796
Q92793 Q96CW1
O15534 Q14896
P22607 Q9HD67
P78509 Q8IV36
P17612 P46527
P53350 O60244
O95182 P08173
Q9Y2X7 P51003
Q96GD4 P06744
Q9Y3C7 Q9NRR4
P35251 O75531
P46108 Q96QH2
P84022 P56693
P60484 Q9H7Z7
O95639 Q9UBB5
Q12933 P29992
P30281 Q03431
P63104 Q13393
P31749 Q9Y261
Q15628 Q9NPB9
Q99683 Q12959
P46777 O75531
P48643 Q05469
P11021 P03372
Q92556 P22894
P27361 P61604
P43246 Q13422
Q9HAU4 P04004
Q13444 P56192
P62304 P36542
P07711 Q8WU20
P12931 P49023
O60921 Q15797
Q15631 Q05586
Q9HAU4 P0DP25
P49736 O75145
P62258 Q9Y490
Q92793 Q9UK41
P62993 P49770
Q9NVA2 Q13572
Q92558 P62701
P30533 Q14247
Q15642 Q16270
P17482 Q02086
O60675 Q12959
Q96KP1 Q12923
Q9UIA9 Q15834
P84022 P21860
Q13432 Q96T60
P46060 P01127
P35968 A5PKW4
P05106 P14598
O95295 P33992
Q96B26 P13498
Q99750 P08235
P22736 P53539
P13807 Q9NZF1
O95983 P35269
Q9NPJ4 Q96AE4
Q12933 P11473
P63208 P12956
Q9UIV1 O43903
Q5JWF2 P12236
P78347 P02462
Q15047 Q9H0H5
Q05516 Q9Y3C5
Q9UGN5 Q96BI3
P19784 P05106
Q13547 Q15910
Q15393 P56693
Q15047 P51153
P04637 O95219
O14980 P14678
P27824 P54725
O15151 P28331
P48745 Q15528
Q12860 Q6ZV73
Q8N6Y0 P04004
P11831 P04406
O95835 Q13769
P56524 P28908
P61956 O60716
Q9NRR5 Q99689
Q9GZV1 Q70Z53
O75369 P16144
P08047 O15162
O95985 Q8TDH9
P36897 P17081
P62993 P53567
P35241 P37173
Q8WYK2 P09471
P03372 Q14980
P15336 P11233
Q9Y6Q9 P38484
Q9HAU4 P63244
P22607 Q92793
P15976 Q9NPH3
Q8WUM4 P00747
P54259 Q9UHI6
P15260 P39060
P36578 P12980
P54259 Q9ULV5
P36896 Q15019
P27694 P08253
P52198 O95777
P0DP25 O75818
O95163 Q9Y6Q6
P21333 Q9UHD2
Q9NRR5 Q00975
P25490 O15116
Q5T3J3 Q9Y6J0
P51812 P10645
P62993 Q6PJW8
Q9UQM7 P19838
P29374 Q96I34
P38398 Q14112
P52292 O75947
P31271 Q13596
P63279 P42261
P01023 P04439
Q15560 Q9NR33
O75604 Q9NYG5
O00291 Q99712
P06241 Q15834
Q12933 P63244
Q06124 Q6VMQ6
P56524 Q9Y2D8
P21580 P60763
P04626 O43561
P15502 Q9H211
Q9Y3C7 P51677
Q13105 P45973
P42574 Q13009
Q7Z6G3 P84022
P41279 P12755
P02751 P15923
P05412 P68400
Q99759 P62837
O60437 Q9HBG4
Q92793 P13501
P07237 O95219
P15173 P56945
Q00653 Q8N9N5
P61981 Q8NFZ5
P29460 Q70EL2
P14598 O60234
P84022 Q8WWW8
Q12959 P35221
Q9HCU8 O43592
O95376 P04179
Q10567 Q00839
Q15047 P62875
P22681 Q9UPT6
Q9Y243 O75379
P05154 Q9NRG0
Q9H422 O94887
P11802 P00734
P29475 P09769
P04637 P51692
Q5VZM2 O95214
P29323 O43281
P84077 Q15468
P04049 Q15788
P58304 P01732
O95405 Q08211
P20337 Q86US8
Q9GZT6 Q9NWZ3
Q05655 O15116
P51693 P23946
Q13191 Q8TD17
Q96IZ0 P01730
Q00535 Q15052
Q09472 P07339
P15336 O95232
P49796 Q9BSH5
Q9Y678 Q16527
Q15139 P27361
Q15047 Q16539
P14555 P08572
O75376 Q9UGY1
Q07954 O95398
P02671 O60885
P37198 O15360
Q9NY61 Q9NVV9
P31749 P04271
P26641 Q02763
P24941 Q9Y2U5
P17275 Q92698
P60709 Q9Y2I1
Q9BYD2 P06454
O00165 Q9UHI6
Q92793 Q9H5V8
Q9NSA2 Q9UBF6
P30679 Q8IYL3
Q13432 Q5TCY1
P35626 O15344
P63279 Q13137
P07384 O14662
P35222 Q13813
Q92934 O76061
Q99683 P54762
Q00013 P24387
P04150 P42858
P12757 P16333
Q05516 P02794
Q13323 P22891
P36897 P52735
P42263 Q92734
Q15797 Q9NR46
Q15038 O15162
P26367 Q6P597
Q969Q1 P25963
Q15038 P62993
P68104 P41220
P56945 Q15124
Q9ULB1 Q8TD16
P10721 P27348
Q04912 Q8NFT8
P68133 O60610
P52333 P08253
P06400 P08651
P14678 Q14318
Q9P2Y5 Q14520
P25116 P43694
P55211 Q7Z7C8
P19784 Q15788
Q13526 Q9P212
P47897 P30874
Q92793 Q06418
P63096 Q9UJT2
Q01970 P55789
P04637 O75182
P51159 O43464
Q9Y3F4 P46527
P52655 P40938
P21675 P63167
P31946 Q13485
P54257 P14679
O60232 Q14643
P52945 P11831
P06493 O00238
Q8WTS6 P11274
P78545 P63010
O95059 P43320
Q13432 P31749
Q9NZD8 Q9NVZ3
Q15797 Q9BYG3
P36897 Q9Y6Q5
Q9UBU9 Q15717
P37088 Q01831
Q15797 P17535
Q16665 P48051
Q92597 P36507
O14920 Q9Y4A5
Q14999 P16284
P48509 P16157
O95832 Q7L099
P10599 Q9HC77
P10275 P36957
P63261 P13796
P30307 Q16613
Q9UNE7 O95831
O14939 Q13418
Q09472 Q92569
Q6P1J9 Q86UP6
Q13322 P43351
P42768 P36871
P56945 P62826
P42262 Q8WVM8
Q99750 P06213
P27695 Q6P5Z2
O95295 Q13480
P41145 Q9NSA0
P40189 P11168
Q13873 P14136
Q9Y3R0 Q9UJY4
O94989 Q13536
Q9H0B6 Q05469
Q02156 O15105
P48039 O00445
Q12933 Q9Y6R4
Q13547 P37231
O15534 Q16619
P63104 Q14289
Q9HCE7 Q86SQ9
Q9Y3Q8 Q12770
Q9P2B2 O75293
Q5JY77 Q99650
P32456 P36888
Q03933 Q96GM5
Q96QF0 Q15459
P41238 P62324
P0DP25 Q96CD2
P35637 P30304
Q06455 O00587
Q969G3 Q99640
O75553 P15927
Q13485 P05787
Q04206 P08572
O14920 P35869
Q9NRR5 P35968
P11137 P08754
P55211 P22692
Q92796 Q9UPY8
P26599 Q10567
Q12967 Q9UNA1
P12931 Q96B26
Q92731 P01100
P30542 P31321
P51571 O14836
Q05586 Q92530
Q92830 P10589
Q9H5Z6 Q14511
P36896 Q9UGL1
P27361 Q00978
Q92831 O00267
P08476 Q15172
P04049 P49585
P10275 P36405
P07288 P09471
P54253 P35998
P51116 Q92963
P16070 Q9NWT6
Q8TEW0 O15169
P23511 O94776
Q5RKV6 Q5M9N0
Q09472 P10415
P20936 Q9Y3C7
P20333 Q92563
P07477 P20338
Q9Y243 P16278
Q13177 O75509
Q07866 O43734
P25054 P49795
O15162 P04183
Q06413 P61163
Q01844 Q86UP2
Q9UMX0 Q11130
P53365 Q96IP4
P17252 Q9HCM9
P17535 Q9NRI5
O15226 Q8TAI7
Q13416 Q9UDY2
O00422 Q14766
Q9UGK3 P27361
P13686 P63261
Q86XR7 P09486
P11309 Q99442
Q07889 P13501
P27986 Q99466
P63244 Q9UKI2
P21860 Q86YM7
P62310 O15198
Q9UHD2 O60336
P43358 P61326
P21333 P14598
Q9BYN8 O95081
P08069 Q13177
Q05655 Q9H4A3
P84022 Q9Y6X2
P02787 O75460
Q13094 Q5VTB9
P00533 Q9BUF7
P06400 O43502
Q5FBB7 O95490
P24941 P50591
Q13485 O75146
Q9UMN6 O43927
Q9Y3F4 P50914
P36507 P05161
P52945 Q8N6Y0
P25205 P15923
P04626 P13725
P12109 P78556
P06213 P21731
Q05193 O95218
Q99689 Q8WUH2
P53611 Q5EG05
P14598 O75410
P51692 Q9Y4K3
Q6EEV6 O43353
P52735 Q96Q15
O14641 Q7Z7C8
Q16695 P05546
Q14643 Q9UQ80
P56524 Q13705
Q16611 Q9HCE6
Q9UKX2 P34947
P08100 Q8N2H9
Q13309 P05161
Q13277 P98170
Q14008 Q5JQC9
Q8IWV7 Q9NSA2
Q9Y2I6 O95793
P55085 P10827
Q13191 O75841
P49137 P05452
Q6EEV6 P41240
Q12933 Q00535
Q9Y618 P34741
Q9GZU2 P05937
Q09472 P53621
Q9NY33 P84090
Q13535 Q96J02
Q9NPC2 Q9BXS5
Q16623 O15315
P31749 Q13459
P04150 P52292
Q99717 Q92879
Q9UMX1 Q9BZG1
P35568 P53779
P11021 Q9UP95
P41220 P01112
Q14192 P23945
Q13485 O43889
O14920 O14787
P50453 O95967
O95477 O95251
Q99704 P40227
O95405 Q9UPT6
P08069 P15502
P35609 P27169
P62714 P01127
Q9GZT8 Q14134
P21926 P04839
Q92481 Q16790
Q01201 Q96S59
P84022 O75293
