Q16665 Q96SN8
Q9NZN4 P0CG47
Q13885 Q96QZ7
Q92624 O14576
P16581 Q12796
Q9NRI5 Q05516
Q99750 P43364
P05067 Q13017
P17676 P07237
P43405 P20042
Q9UKR5 P41134
P30990 P08238
Q9UGJ1 P32942
P29279 Q53GG5
P28749 P05412
P62942 Q01844
P10275 Q93062
P25490 Q16623
O75995 P08123
Q5T0N5 Q59EK9
O95551 Q9P1U1
P08670 Q9HAU5
O95292 P61088
P08069 Q9UG01
P02751 P56537
Q14765 P07711
P08123 P41273
Q9P2H0 P51692
P17676 Q93062
Q9Y6K1 P04899
P38432 Q9Y623
Q92934 Q15155
P43351 Q07820
Q9Y5K6 P63010
Q9UKR5 P28482
P41594 P21918
P56945 Q9NZJ0
Q99990 P78314
Q6EEV6 P49768
Q00403 Q9HAP6
P05556 Q9NZC2
O14994 Q9ULK4
Q99750 Q99819
P28223 Q9UNE0
Q05655 P15391
Q07955 Q8N684
P20338 Q99460
Q99547 P16422
Q9Y5S9 P13725
Q6EEV6 Q15831
Q15797 P04278
P00742 P00750
O60674 P31749
P14923 Q06830
P20226 Q01955
P38432 P04899
P49910 P56537
P10275 P60709
P62306 P52294
P35900 P68104
Q9Y6W5 O75354
P13631 Q15700
P11142 Q14517
P29218 P45983
Q09472 Q04724
P29350 O75410
Q06124 Q13794
P05121 Q15643
P46109 P68366
Q9UHD8 Q07157
Q13523 Q04756
P27361 P08833
P27986 Q8WWW0
O94972 Q04726
Q9UQM7 O95716
Q92900 Q16667
P54253 P07585
Q01844 Q4J6C6
Q14232 P78543
Q96BR1 Q6P0Q8
P05120 Q969H8
Q6NUQ1 Q96BI3
P55072 P07315
P49023 P21817
Q92843 Q14028
Q04206 O95405
Q96PY6 P30041
P21246 O43734
Q00526 O60610
P01275 P19793
P42229 P83731
Q9BT92 Q9Y5P4
O60716 P04155
O95257 O15151
P43351 O14492
P28482 Q9C040
P08670 P42229
Q12962 O14641
P00167 Q13425
Q99459 P05106
Q9BVJ6 Q9P1Z2
Q14289 Q96KS0
Q9H4G0 O95999
O43526 P02786
Q00597 P22570
Q13952 O75427
Q9P2H0 O75943
Q8WV28 P21728
O00238 P13385
P10275 P29120
P12259 Q13671
Q5VWN6 Q96C24
P57729 Q16620
P25098 P45984
Q9NRL3 P06239
P08621 O14944
P56693 P31689
Q9Y2I6 P13010
P04637 Q3KQU3
P02679 Q13769
Q8WTS6 Q9BUH8
Q8IZH2 Q8TAP6
O75369 Q9NRA1
O00220 Q05513
P84095 Q01101
P40763 O00559
P06400 P04629
P21333 Q8TCX5
P03372 P05129
Q16543 P12319
Q6ZV73 O14641
O43255 Q9NRF2
O60504 Q9Y508
P26641 Q9Y2X7
O75586 P35900
P51572 Q13627
P20382 P14866
Q92973 O95059
Q09472 P41222
P07996 P20226
Q06124 Q15637
P32927 P52272
P27361 Q05516
P54253 P54257
P20700 Q9H0I3
Q06187 O43439
O95084 Q92851
P42224 Q06547
P45984 P16284
Q9HBA0 O14544
Q92597 P57105
Q06124 P25942
Q15560 Q969L2
P52566 P35232
O95751 P46778
P38398 P19174
Q00613 Q14247
P20963 P04233
P03372 Q96KQ7
P30086 Q9Y5W3
Q15038 Q96S44
Q16594 Q9UHQ9
P01133 Q8N163
P31946 P42858
P02768 Q15831
O95257 P38435
O95251 P48745
P01023 Q9BV47
P67870 Q86VX2
P47897 Q96FE5
Q6UB99 P24394
P40763 P61289
Q9NPI6 Q8TEK3
P33992 Q14315
Q99717 Q9UKV8
P25963 Q9BZL1
Q9H8V3 Q13322
P04637 P29350
Q13255 P57105
Q12959 Q01484
P20340 P00748
Q92597 P50570
Q9Y4K3 P30281
P52948 O00291
P61201 P42336
P14859 P38432
P30304 P09382
Q00975 P28072
P46379 Q5TD97
O94972 Q13617
Q9UBY0 P56134
Q15797 P30793
Q96NW7 P49913
P10275 P05091
Q04637 P62330
Q15834 Q9ULZ2
Q92597 P13693
Q05193 O60671
Q96CW1 Q9GZM7
Q9Y6Q6 Q05940
P02652 Q8TBE0
P12931 Q9NRR5
O14920 P10276
Q02156 O75886
P38398 Q14242
Q8IX03 Q13432
Q9Y3Q8 Q70IA6
P68400 Q99689
P23443 O14980
P14635 O15198
Q9NZ81 P06241
Q9Y6X2 Q99732
Q08211 Q9NWQ8
Q09472 P15976
P31946 Q86TC9
P61981 Q86UW9
P10636 P51587
P31749 O14512
Q01814 Q9Y2U5
Q12888 Q9NQB0
P07737 P41182
Q9BQ66 Q9UBP5
P05412 Q13023
Q04771 Q13797
Q92793 Q92608
P06493 P61019
P63261 P67809
O00255 P60953
Q12967 P60896
Q8WU39 Q08334
P05019 Q9H3Z4
O95295 P19338
P51617 Q92973
P49768 O75884
Q07869 Q9Y232
Q9UKC9 P25025
P22736 P07333
P78314 Q13255
Q9BT78 O14770
O00311 P32856
Q9BQD3 Q14050
O95751 P15498
P16333 P29350
Q9UKT4 Q9UHV9
Q16570 Q9Y6W5
P17252 P08727
P14416 P15336
Q09472 P07949
P50395 Q9Y2H1
Q15388 O15230
Q15910 Q16539
Q09472 Q92608
O94842 Q99814
P40222 Q9Y3E7
P06239 Q9Y4X5
Q96ID5 Q7L5D6
O60674 P78314
Q00534 Q9H422
Q86VP6 Q9UL54
Q15797 P20337
P14923 P48059
P82932 P49356
Q14807 Q92805
P03372 Q9UL54
Q05655 Q15011
P36894 Q92496
P78527 P63096
P02489 P06746
P68366 Q9Y230
Q92598 P51843
P25490 P52926
P11474 P53041
P50281 Q9Y597
Q9NR12 P14672
Q15788 Q9UIV1
O75145 P39905
P61769 Q9UBN7
P61218 Q96T83
O15392 Q13330
Q9UHM6 Q8N0Z2
P27361 Q04724
Q07954 P62760
Q8IV36 Q12959
O00499 Q14469
P24534 Q9UKG1
P19174 P21246
Q09472 P16220
P38398 Q9UQ90
P22303 P19438
Q9Y3A3 P17936
Q07889 Q92734
P29597 P46108
Q13416 P54845
Q13322 O15554
Q15797 Q9UP38
P83916 P54257
Q04206 Q9Y3M8
O95967 P25942
P29350 O95273
P63096 P61586
Q05193 P51149
Q05655 Q9H444
P41235 Q9NYJ8
Q9BVJ6 O75928
P0DP25 P28068
P14678 P04279
Q03113 P35243
P23142 P14780
P43405 P54257
P11831 Q13627
O14745 P55072
P51114 P04040
P19174 P00533
P25791 Q13642
Q9UJY5 Q7L0J3
Q15366 Q92817
P61158 Q59H18
P09467 P19320
O43395 Q04759
Q14566 P15941
P11274 Q8N8S7
O60934 Q92556
P63279 P30876
Q9NRD5 Q99759
Q9NZW5 Q9UHD1
P02730 Q92945
Q16665 P78344
O15162 Q92572
P11171 Q8TAS1
P16220 Q16520
P25205 P60903
O60674 Q15910
P14672 P27824
P23769 Q9UIM3
O75925 Q9Y6I3
Q16594 P17542
P09104 Q15796
P20700 Q9Y230
Q96KP1 Q14773
P60484 Q07021
P67870 P54829
Q04864 Q92572
Q96J02 Q86YM7
P12931 Q08752
P54257 Q00597
P13500 P31930
P17693 O43745
P53355 P17936
Q99717 Q9UBS0
O15524 P10275
P84103 P18564
P05549 Q92673
P05783 P22888
P04114 Q7Z434
P15498 Q9P2K8
P56524 Q13618
Q92558 O14965
P41235 O14594
O00287 O43255
P01023 P11388
P49023 Q14573
P61201 O60729
P62805 Q96KG7
P06241 Q02388
P21675 P00734
Q9UIF7 P28223
P37023 Q8IUW5
Q9HCK4 Q8NFM7
Q13555 Q9NSC5
P78406 Q9Y3L3
Q12789 Q13368
Q9UMX0 P41143
Q14151 Q99755
P09619 Q96QH2
O95619 O00161
P16333 Q13503
Q9Y3M8 Q9C035
P68400 Q8TB52
P05787 P07858
P61981 P17252
O75716 P14867
P38432 P52790
P19438 P30305
P00492 P19022
Q01955 Q08397
P62993 P06493
P35240 Q00839
P10244 P28482
P12956 Q9P0L2
Q01826 P50402
P04156 P62316
P06730 Q9UNS2
Q13191 Q86U06
Q9NZQ3 Q96PY6
P04637 Q9Y4Z0
P06213 Q13617
Q96C24 P35225
P25445 O60494
Q92597 Q9UNZ2
Q5UIP0 Q16620
P11142 Q9UKI8
O43734 P15498
P06400 P05556
Q5RL73 Q05516
O60551 Q92968
P63104 P27797
P63104 P13612
P04004 Q8NEM7
P12236 O60296
P63244 Q13322
Q92900 P35222
Q99816 Q9BQ31
Q13418 Q86VP1
Q92624 Q9H0E2
Q13137 Q9P1Z2
Q04864 Q92887
P02462 Q00597
P02652 P36406
O60260 Q9BVC4
P68400 P98170
Q16891 P06241
P0CG47 P19022
P02545 P10912
P29466 P06401
P0CG47 P05412
P04004 O75409
P08476 P21580
P53350 Q9HBG7
P68400 Q13330
P49841 P58546
O75390 P01584
Q96CW1 P05198
P11940 Q01955
Q92540 Q10472
P60953 Q14980
Q05655 Q9HD26
P84022 Q9BQD7
P03372 Q12906
P60484 P06396
Q13501 P14780
Q5TA45 Q9Y678
Q03135 Q9UEU0
P05452 P16662
P63244 Q7Z3T8
Q9NP87 P11801
P35222 P56134
P35222 P32245
P62993 Q9BTW9
P04626 P36406
P23381 Q5VV43
Q15796 P10398
Q9BQD3 Q15796
Q13562 Q9BZR8
O43684 P36508
Q15393 Q9BYM8
Q12800 Q13144
P48443 Q9BQE4
P17252 Q15834
P63104 O60941
P16333 P27797
P26651 Q16236
Q04771 Q15910
P07996 P51168
Q04206 O00308
Q9NQ87 P01732
P51398 Q12888
P30556 Q9Y2X7
Q12972 Q9NRN5
Q07011 Q9NZR2
Q15036 P56134
Q16543 Q9Y3C7
Q07157 Q9Y2W7
Q99683 Q06265
Q9BQ52 P18507
P54252 P20151
Q06481 Q9P2K9
Q9UN74 P06729
Q14520 Q12789
Q10567 Q9BPX3
P27986 Q9NXE4
Q92796 P53779
O95251 P07384
P62993 P17676
P04637 P19397
P68104 P43320
O43633 P02745
Q02763 Q99741
P04049 P49768
Q15599 P07949
P24278 P12270
Q92828 P16410
P49789 Q9Y4A5
O75828 P35222
O14980 Q9NY15
Q12988 Q96IS3
P12956 P41235
Q13885 Q9BSW2
O76064 Q86UU9
O95257 Q9UNZ2
P06213 Q9NRQ2
Q969H4 P51168
Q92793 O14662
Q05655 Q96G01
P11233 P09603
O14908 P08727
P27986 P01112
O00165 Q99942
P31946 P23193
P25963 Q8TE12
Q9BUB5 Q08345
Q96R06 P05026
Q15834 Q9Y4X5
P39687 P50502
Q9Y2Y9 Q9NRD5
P08069 P41182
P22681 P03372
P62993 O95163
Q9UL62 P51636
O14920 Q9Y490
P00533 Q9UPT5
P46379 O15530
P62993 P25054
P54253 P10827
P11171 P07948
P50549 Q96IM9
P30260 P02766
O60383 Q13547
Q15109 P35613
P35813 Q9UBU9
Q99942 Q96RJ6
P63279 P54259
P63279 Q99572
P22460 P21781
Q99708 O14776
Q92585 Q16828
Q9UKR5 Q53EZ4
P05089 O00418
P62873 O95985
O95429 Q13228
P07196 P04004
Q13469 O15372
O75293 P50461
P04637 P63104
Q15654 Q8TDN6
Q6WCQ1 Q8IYM9
P41236 P61020
Q99967 O75558
Q13485 Q13555
P10589 P56159
P07949 O14775
P04637 O15126
Q15052 P22314
O43294 O96017
P68366 O60241
P18846 P06400
Q13547 P13984
Q92851 Q04759
P01135 Q13330
Q01844 P62328
P46098 P14373
P22455 Q15642
P28223 P52434
Q15796 P41252
Q9Y3B2 P30305
P29350 Q15388
Q6UB99 Q9UBS5
Q02363 P54764
P29475 Q8TB05
P17252 P36405
O60869 O00232
Q6EEV6 P52565
P05783 P05019
Q6VMQ6 Q14680
P61966 Q99460
O95295 Q15650
P10747 Q03393
Q03181 Q9UQB8
Q02363 Q16566
Q96PM5 P21802
Q05655 P25963
P01042 P21926
P05783 Q9NY12
Q13485 P05067
P41235 Q8IXK2
Q9NY61 P51178
Q9UQB8 Q12888
Q96CW1 Q14683
P11274 O75154
P48436 O43707
P10276 P08697
P51610 O00571
P22681 P08670
Q15052 P42772
P43364 P13489
O43561 P05412
Q99759 Q13009
Q14643 Q14690
Q12933 Q99259
Q9UIF7 Q15645
O14908 O15514
P52292 O75909
P56537 P28070
P03372 Q14573
O75582 P63165
Q13765 P35240
Q12959 P30988
Q13526 O43464
O95071 Q14676
P27986 Q9H0R8
Q9HB96 P22307
O94875 P48745
P19784 P55199
P48552 O95424
P03372 Q9NXB0
Q9NS15 Q99466
Q00535 Q7Z7C8
P18433 P03372
P38398 Q969R5
P68400 P11831
P45984 Q9UL51
P36888 P42574
Q13077 P54259
Q07954 O96017
Q92796 Q99558
P35968 Q9H7Z6
P52655 P13807
O14733 Q99750
P17542 Q7Z478
Q9BVJ6 Q9HAJ7
Q99250 Q9H910
P06239 Q9Y620
Q01968 P49768
P60709 Q8IU80
Q8IYF3 O43815
Q15834 Q9C0D5
Q7L5N1 P09958
Q96ID5 Q13352
O15294 P01833
P29350 P49327
P68400 P04183
Q9NRL3 Q07889
Q9NRD5 P61981
Q15047 Q9NPJ4
Q6EEV6 Q05513
P41743 P49715
Q01094 P07333
Q13595 Q9P2E2
P08621 Q8NI08
P11940 Q6FIF0
P22681 O00255
P35869 Q9BX70
P49407 P49674
P12757 Q99613
Q92831 Q9UGL9
P15151 P85298
Q02156 P09429
P68133 O95718
P53355 P27037
Q9Y679 Q9NZJ5
Q14031 P02671
P15498 P14780
P08253 Q59EK9
P62826 Q08397
Q04206 P61968
P11912 O94818
P45984 P62318
P04626 Q05516
P04637 P49662
Q9Y6Q9 Q07666
P18850 P00734
P07585 O43908
Q99616 P41182
Q8N4C6 Q9UHI8
Q9NPC8 P23258
O95409 Q9NQC3
Q9BWH2 Q99418
Q9Y3E7 Q13190
P04626 P51151
Q93062 P16083
Q13485 P26045
P84022 P46108
O14678 P01127
Q12778 Q8N5S9
P46531 P21452
P49840 Q9NZR2
Q15047 Q9UHI6
Q13563 O15018
P37198 O94776
P28482 Q8TD26
P15311 P35442
Q6VMQ6 Q9Y5K3
P22681 P67809
Q5TD97 P16298
P04637 P35613
P32780 Q9UH77
Q99731 P62195
Q15834 Q13571
P12830 Q9UPY6
Q13555 Q8WWW0
P14635 Q9P298
P31947 Q5JWF2
P45983 P04279
Q02763 P28223
Q9UNP9 Q9H190
Q14181 P0DML2
P20226 P07711
O96017 P02675
P51587 P23510
Q13616 O14641
Q9BQG0 P06401
Q05516 Q15024
Q9UI36 P22692
O15169 Q8N2W9
P42336 Q9UHI6
O95251 P62487
O00592 Q96B26
P11473 P05546
P08588 P04628
O75528 P45984
P23582 P13647
P63104 O95571
Q14103 P25440
Q15102 P29317
Q8TEW0 Q96RT1
P23297 P14317
P04629 Q9NSC2
P78347 Q9UHY7
O60674 P50552
P04637 P56524
Q9HAU5 P68366
P17676 Q92793
O00463 P36894
P17600 Q96EP0
P51692 Q92630
O95405 Q9Y4K3
Q9UL45 Q14919
Q9Y4K3 P17509
Q9NRR5 Q96HA8
Q92793 P06756
Q01780 Q13077
Q99972 Q13137
P29475 Q01344
P60981 Q14160
Q92731 Q15080
P60709 Q9Y3A3
P56199 O14490
O60674 P35125
P40763 Q16623
O95628 Q9NYR9
Q13432 P55347
Q12933 Q13043
P47756 P08493
P54253 P14653
Q13177 P49757
O43739 Q86XR7
Q05193 Q92905
Q15365 Q8TCJ0
Q92973 P67870
Q14242 P37275
Q7L5N1 P51116
Q9NQT4 P49662
P35813 Q6X4U4
Q13867 Q05586
P49792 Q14773
Q9BXS5 Q14155
P19793 Q03692
Q92831 Q8NFZ5
P35222 Q9Y2K7
P21673 P51812
Q9P2Y5 Q9Y3Q8
Q00839 Q96FJ2
Q15796 Q8N6T3
P35222 P41235
O15514 P02511
Q16527 Q13087
P12956 Q9NVP2
P12319 Q99933
Q15047 P03372
P29350 Q06495
P35222 A8K8P3
Q9Y2X7 P01225
Q99750 P47900
P10599 Q6PD62
P40424 O43559
P84022 Q13323
Q04206 O75145
Q07021 P67870
Q92558 Q9NWF9
P14923 O43663
Q9BVJ6 Q9H204
Q9HCE7 Q07817
Q9UKY1 Q9Y561
P08670 P61289
O43639 P00750
P49841 P22736
Q9Y618 O43261
P14859 Q9BPZ7
P00533 Q9NRM6
P14784 Q13469
P08047 P13861
O14641 P43220
P19793 P55789
P08865 P37023
Q9NZN4 O43353
P17252 O75427
Q09472 Q9NW97
Q15788 O14980
Q8WX92 O43306
Q15746 O95831
P31946 P06213
Q9UKT9 P01282
P08572 Q969D9
P05107 O43521
P02452 O14798
P19021 Q9Y3Q8
Q08999 Q96G27
P12757 O15550
O15524 P48729
P00533 P09622
Q5RL73 Q14576
P19012 P78357
P49768 P35221
P06213 P61163
P25098 P28702
P61586 P10912
P20226 P42575
P24666 P01042
Q8WTS6 Q04917
P61812 Q6VY07
Q9Y2C9 O43924
O15169 P30153
Q12933 Q9BXP5
P40189 Q8N2X6
P29400 Q9NP71
P60891 Q53QZ3
P23443 Q99638
Q99459 Q9UL40
O14788 Q9Y2W2
P53420 Q99801
P11274 Q9UM13
Q15542 Q15464
O00148 Q9NXK8
P35712 P21796
P40222 P55198
Q13115 P68371
P68400 Q9NPD3
P07585 Q13585
Q9Y618 Q96N16
O00220 O60229
P68036 Q8N8Q3
Q12933 Q9UK41
P01023 Q9P2A4
O75528 O43493
Q5MIZ7 Q13322
O14745 Q9NPY3
Q99959 Q15628
P42574 Q92905
Q13444 Q07817
P54136 P57735
O15162 Q8NHQ1
P00533 P40222
P48730 P03950
P05129 Q9UQB8
Q15155 Q8WVM7
P98172 Q13627
P20226 P25208
Q9UJY5 O75056
P20226 Q9H7U1
P25788 P00533
P09104 Q16623
P68133 Q92731
Q9HCE7 P29376
P63244 P62330
Q15121 Q9NR34
P06213 Q12959
P31946 Q09472
O15392 Q14957
P02776 Q9C0D5
Q15788 P29350
O00463 Q96A83
P11831 P63104
O75925 Q9BXS5
Q13501 P15976
Q12931 Q15084
P06454 O75496
Q9NYB9 Q8TDM6
Q02763 Q15700
O14745 P68036
P17612 P84095
P61978 P50402
P0DP25 O75419
Q9NRH3 Q9Y3M2
Q01844 P24593
P31269 Q9UP38
O60925 P53602
P53779 Q6UWE0
Q99750 Q53EZ4
P09874 P09629
Q8TAD8 Q9BWH2
P19338 Q15262
P23229 P02511
Q96RR4 Q06730
Q86SG2 Q16539
Q9NRR5 Q15287
Q7L5D6 Q9Y2W2
O95295 Q08174
Q9UJA3 P52198
P02462 P42566
Q15797 P46736
P38398 P31321
Q13242 Q8NFP9
P43364 Q14201
P19793 P20336
Q13547 O75182
Q07352 P51948
Q9BUZ4 Q9UKV5
Q13094 P31431
O75586 P46779
Q9UHJ3 P23396
Q99750 Q9BTT4
O75340 Q9Y4Y9
P51843 P55209
P39880 P04279
P00533 Q96ID5
Q8NFZ5 P48039
Q9NRD5 Q14582
P68104 P12235
P42773 Q12802
P12814 O14686
P63261 Q92973
Q92793 O43521
Q05513 P55273
P05556 Q9NP94
Q04771 P67775
O43150 Q9NZU0
P19793 Q6NWY9
Q9H2S9 A6NC98
Q96KB5 Q9NY33
O75182 P36382
Q12968 Q92777
Q04724 P62324
O00401 Q05329
Q9UQ35 O14786
Q15797 Q96NA2
Q04206 P05412
P41597 P38432
P10275 Q15386
P02647 Q969R2
Q9Y2I6 P23458
Q03013 Q99666
Q9NRR5 Q12778
P29083 Q9NPQ8
Q9H422 Q9BXS5
P07585 Q5T2W1
P19634 Q07817
P38398 P25963
P61981 P42680
P49841 P42772
P06400 P06401
Q13094 P51451
P12814 Q9UGI8
Q04206 Q5EBL8
Q13616 Q6IAA8
Q8WWV3 P06239
P06400 Q9H211
Q99683 Q96QG7
P68133 Q9NQW6
P49815 Q9H5J8
Q8WUM4 P62873
P0DJD3 P16473
Q9Y6D9 P18146
P60709 P21246
O77932 Q9UHI6
O95376 P30154
P07858 Q12888
P06493 Q12802
P28482 O15111
Q99638 Q13387
P03372 P48051
O60260 P02745
P43405 P49715
P62993 P18428
Q15052 P07948
Q9Y2A7 Q9Y5P6
Q13547 O75582
Q9NR12 O75928
Q8WYH8 P78559
Q9NWA0 Q9H427
P53420 Q92804
Q9H4M9 Q02224
P41240 P11274
Q04917 Q13547
P11940 Q9P0J1
P12814 O60879
P19784 Q00722
P63104 Q9Y6K9
O14908 O75146
Q14643 Q5TGY3
P46940 Q8N129
P11532 P42566
P18850 Q9BTT4
Q5JY77 P35240
Q15797 P07949
O14936 P28482
Q92997 Q9UKA4
Q9UQF2 P21781
P04049 P21953
P14923 P22083
Q9UI32 Q9H161
O00206 P48544
P78543 Q6P0N0
P06493 P01100
Q01955 P21728
Q04771 Q9UBU8
P22607 Q9H788
Q92786 Q8WTR7
P20226 P10451
Q14232 O75369
Q9Y618 Q07869
O00712 O75420
Q00535 P02686
P54257 Q13283
Q9ULB1 P20963
P68431 Q9UNE7
Q92796 P01229
P19838 P47710
Q96L73 P19634
Q9P2H0 P06213
Q14186 Q8IW41
Q92994 Q86VK4
P26006 P10124
P08670 P62714
P19784 P08648
P09429 Q6FIF0
P27986 P29597
P49768 O15121
Q00994 P16860
Q12996 P08246
O14964 P07237
Q9UKS6 P07737
P0DP25 O75094
P05090 P48444
Q96G25 Q5VV43
O60333 Q16584
Q13485 Q13285
P31947 P06401
P17612 Q13443
P41235 Q9NPB9
P98160 P12109
P50452 O95747
P36897 P22459
Q13547 Q96SN7
Q9UGN5 P36544
P06400 P35080
P17252 Q92945
P02751 Q86SR1
Q8IYF1 P48742
O75943 P05198
Q5T124 Q16558
P08246 Q8N0Z2
P01112 P51825
P06213 Q9Y580
O60682 Q93062
P16333 P19793
P36507 P21781
P61981 P26641
Q9Y383 P01024
O14641 P62312
Q9UMD9 O15198
P61081 O14686
P26368 P29558
P54259 P05412
P68400 O43914
Q04917 O14733
P51843 Q9BQ04
P02452 Q9NQS3
P42574 Q92793
P06400 P10275
P31946 P29992
P61586 O14543
Q15835 O75691
Q00610 Q8NAP8
Q9NRR5 P16949
P08631 P35222
P35222 Q9BXF3
P12644 Q13409
Q9NWZ3 Q8NFH8
P01189 Q9Y287
Q9ULV8 Q9UBD5
P07098 Q8N5C8
Q04206 P54259
Q09472 Q7Z7M9
Q9NZW5 O75569
P02745 Q96B86
P12643 Q9Y446
Q9UBZ4 Q9H9T3
P62877 O14983
P78314 P50281
Q16790 Q16566
P37198 P13987
P04156 P06241
P40763 P49815
Q93009 O15534
Q9NR12 O00141
Q09472 Q6VY07
Q12948 P36544
Q9H7E9 Q9UBZ4
Q9NX18 P46527
Q09472 P50222
P63167 Q5TD97
P52292 Q13402
P61981 Q9UQ90
Q16625 P20023
P08581 Q9H8Y8
P10809 P07766
Q9UNE7 P23229
Q9NWT6 P16444
P54253 Q9Y2U8
Q05655 Q16625
P22681 Q9NPF5
Q04206 Q00887
Q04206 O75818
P05114 P54257
P05556 Q8IZE3
Q9UIS9 O60500
Q13432 P27797
P52564 P29320
Q14031 Q15700
Q9HC29 Q9UBN7
P11142 P13598
O75496 Q9Y4Y9
Q9UKV8 Q96G25
P17480 P12830
P00374 Q13393
P50613 P52435
Q99623 P10398
O14936 Q99750
Q9NSA0 Q5TB80
O94972 Q14773
Q13261 O95352
Q15853 Q9UIQ6
Q13363 Q99741
O15379 Q6WCQ1
Q9UH92 O75376
Q15572 P14373
Q92793 Q8NHJ6
Q9H201 P60468
P62333 Q12913
P35228 Q96F07
O00470 P22301
Q9BQ66 Q6VMQ6
Q96ST3 Q96PL1
Q9Y2X7 P46937
O75962 Q8WZ42
P09958 Q9NPI9
P08581 P45983
O60674 P10398
P25942 P14784
Q01968 Q92667
O43318 P41238
P26447 P01160
P68400 Q9BU76
Q5T2W1 P41594
P10415 P00533
P42224 P42345
P53667 P00734
Q16816 Q9UHD9
Q07817 O75410
Q14686 O14965
P68133 Q03405
P67775 Q9Y4C2
P84022 P49354
Q9Y243 P53816
P42574 P48552
P38398 Q9UFN0
Q92793 Q9P0L9
Q13616 Q8WYH8
P06239 Q13077
P0CG47 O15259
O75431 Q96RF0
P07948 Q8IZH2
Q5MJ70 P27701
P35232 Q96EP5
Q12923 Q07812
P52657 Q92994
P50148 Q15311
A5PKW4 P54762
P01133 P49757
P08603 Q96S82
Q8WX92 P29320
P08621 Q53T59
O15392 P11233
P28482 P22894
Q14191 Q9UK58
P15374 P35222
Q9UHD2 P26038
Q13480 Q96F07
P43405 P30304
Q9Y4E6 Q8WW01
P62879 Q07812
Q9HCE7 Q8TEL6
Q9UER7 Q8WXI9
P60709 P06241
P49736 P35712
P62736 Q8N4C8
P07996 Q9UBU9
Q9NRR5 O95502
P15172 O75822
Q9UKT9 Q9BQE4
Q9BUY5 P60520
O14936 P60709
Q13535 Q86UU9
P52945 Q12934
P24522 Q9BYD3
P16333 P46091
Q13884 P39060
O60260 Q4KMG0
O60674 O15145
O43542 P62166
O96019 O75716
P52434 P31431
P51610 P20226
P21796 Q14789
O95777 P11274
P68400 O75376
Q9NUQ8 Q12791
P02686 O60315
P12830 P19235
P05026 P35232
O43524 Q9NRR6
Q92963 Q9BVI4
Q14520 O15111
Q14524 P15529
P05412 P42229
P43403 P68104
P22681 Q96RK0
Q04759 P23610
P14672 P51397
P54253 P06401
Q05513 P62253
P31749 P60866
Q13884 O95271
Q92831 Q9UFF9
P07477 Q8NE31
P33151 Q16236
P54259 P17181
Q9NRR5 P05412
P51398 P35346
O60383 Q00403
O95793 Q9BTA9
Q12948 Q8N2W9
P13497 O75556
P02686 O14617
P04637 P63220
P60981 P42285
P35609 P00533
P27361 P55854
Q99708 P00533
Q9Y6W5 Q07666
Q96MU7 O43889
P12004 Q8TD31
Q9BUZ4 Q8IZP0
Q14974 Q13115
P19838 P20339
Q15797 Q9Y6D6
O60907 Q969H4
Q9Y5N6 Q13105
Q9NRR5 Q9UER7
Q05655 Q13601
O00212 Q6ZMJ4
Q16637 Q12860
P50453 O15344
P67775 Q9NQC3
Q04724 Q9UBK2
P52803 Q9BSW7
P05067 P05412
P17096 O96007
P25205 Q5JVS0
P99999 P31944
P17612 Q8TES7
Q15185 P08648
P10721 P84022
P84077 P68363
P17612 O43526
P60709 Q02297
Q03181 P67870
P63208 P36406
P14678 Q9HA65
P52948 O75334
P84022 O15018
P33151 Q9Y215
P27701 Q9Y561
O60341 Q14164
Q16539 Q13554
O14745 P15884
P24394 O60921
Q99759 Q9Y230
P21802 Q9NZP8
P06400 Q9UKV8
P11137 P48061
O75530 P08519
P26641 Q9BQQ3
Q00535 Q12967
P63151 Q07666
Q9NZQ7 Q15021
P19838 P16403
P27361 P09529
P68400 P58549
P42226 P09874
Q15788 O14744
O00141 O60603
P0CG47 Q16630
P19793 O00418
P35222 Q16539
Q13526 Q16778
P05154 Q07889
P36507 P55212
Q8IYF3 Q14164
P12004 Q13571
P20226 P61278
P50453 P78310
Q02539 Q7Z3B3
P08123 Q9Y6M9
O15162 Q15834
P61981 P12004
Q14974 Q01970
Q8NFZ5 P57060
Q15543 P60520
Q9Y2L1 Q9HCE9
P13984 Q9GZM7
P48634 P78356
P05386 P16471
Q13501 P08047
Q12933 P23769
P04049 P04003
P15529 Q9UQB8
P35222 P39086
Q99638 O94985
P01112 Q9ULM6
P00750 Q9NRW4
P09668 Q9UIS9
P49790 P15927
Q9UHI6 P35606
Q9UQB3 P57729
Q96FK6 O60241
Q8NDC0 P35579
P27361 Q6ZW49
Q15796 Q93034
Q13224 P32121
P00533 Q9NPC2
P19235 Q9BUL5
P06748 O14910
Q12962 P24385
P50552 P01583
P00533 P62306
Q08174 P04628
O15162 Q14764
Q99733 Q12888
P10275 P68104
P62316 Q13573
P25788 P06396
P63096 P43121
P43405 P10721
Q13485 Q14247
Q15628 Q9NR50
Q9UK53 P00734
P08670 O95359
Q03405 P55285
P19784 Q8NBJ7
P41235 Q01844
O77932 Q12834
P19784 Q9NRF2
P09884 P42224
P27540 Q9UJX6
Q04771 Q99653
Q99627 O15164
P68133 P11274
Q15155 Q18PE1
P27694 O60936
Q13547 P30305
