P12081 O60232
O14727 Q96RU2
Q9Y2H0 P32969
O43683 Q15573
Q96T60 Q86UW1
P03372 Q9NTM9
P13612 Q9BTV4
O43683 O60383
P06746 P68400
O43427 Q8TEB1
Q15154 Q92973
Q12906 Q13069
Q8NBJ4 Q15397
Q9Y657 Q9BTY7
P54852 P46736
Q9Y3A3 Q9P0P8
Q09472 Q5RKV6
Q9UQE7 Q9NZJ0
P02774 Q9C0A6
P61764 Q14134
Q9BQ66 Q15751
Q9BVC4 Q15185
P54253 O14920
Q9UKI8 O95747
Q13873 P31323
P05187 Q15025
Q15528 Q9GZS1
Q16891 P29371
Q15397 Q969D9
Q5RL73 O00422
Q9UMS0 Q9NY26
P49768 Q9BS86
Q9UFN0 Q9UHV9
P18206 Q9GZX9
Q8N2U0 Q9NQT5
P54253 O95990
Q5T3J3 Q9UJX6
P12004 Q7L590
Q96GG9 P12004
P02647 Q9P2M1
P10827 Q96FF9
Q5T3J3 P20823
Q14974 Q9Y2X7
Q9UFN0 Q96EV8
P51610 O43612
Q14186 Q16478
P11940 Q9UQ84
Q5RL73 Q8N612
Q9BYG5 P42226
Q9GZY0 Q9NP79
P32971 P62753
P29371 P35318
P48736 Q9NRM6
Q8TBR7 P61812
Q99598 P61803
Q99575 Q9P2M1
Q14191 Q8IVM0
Q13794 Q96RU7
Q9BYG5 P06400
P13010 Q9Y2X7
Q13873 Q96SZ6
Q13416 Q9BUB5
Q16514 Q01780
Q96FK6 Q9UJ14
Q5T3J3 O96006
Q96SB4 Q9UKT4
P98164 Q86XR7
P15918 P51809
P35222 Q8WY64
Q8IYF3 Q86UW6
P49842 P03897
Q99436 Q8TDM6
O15360 Q07817
P0DN86 Q96NE9
P58753 Q08257
Q9UKR5 Q7L590
P63220 Q8TDH9
Q6P2C8 Q8IZH2
P52434 P30990
P51587 Q00597
O15379 Q9Y5M8
P05112 P35249
O60925 Q99700
P21580 O14717
Q13790 Q92574
Q9NZ42 Q14183
P21246 Q13352
P54253 O14775
P35222 Q14146
P54253 P00797
O15169 P18206
Q5T3J3 P04553
P09884 Q15834
Q9BQ66 Q14690
Q15528 Q14061
Q5T3J3 P60022
Q9NQB0 Q8NBJ4
P17480 P57678
P68400 O95870
P19438 Q9NQL2
P99999 P09848
Q99572 Q8N715
Q14134 Q16531
Q9UHX1 P10827
Q9UBU3 Q9GZX9
Q99698 Q96AT9
Q6PJT7 O75925
Q9H0R4 Q8IYF3
P49454 Q9BXR0
P51003 P18621
P21854 Q14061
Q5RL73 Q09472
Q8IZH2 Q8WXE9
Q9UBW8 Q9BQ66
Q00403 O94776
P02766 Q8N668
P09874 Q9NSA3
O15379 P62917
Q10570 Q96RE7
P61201 Q96FV9
Q8IYF3 Q9HCC8
P13010 P63220
Q969H0 Q8WVM8
Q8NFF5 P02686
Q8N668 Q15751
P06400 Q15750
P06400 Q9Y3C0
P46379 Q13285
P35221 Q7Z434
Q9C0J8 Q9UHA4
Q9NZD4 Q01780
Q8IYF3 P78411
Q08722 P43351
P78527 P49354
P03372 P62258
Q13285 Q07889
Q86UK7 P35869
P12956 O00499
P54253 P17480
P68400 P35222
Q9C0J8 Q13352
Q04637 Q86US8
Q12772 P20963
P99999 Q03468
P51809 Q01780
P54253 Q7L590
Q9HBL7 P78552
Q9UI12 P52434
Q53HV7 Q6P1J9
Q15834 P13984
Q15542 P60468
Q5T3J3 Q8IZJ0
P61764 Q9Y263
Q9UMX1 Q02383
Q00403 O15304
Q9BUB5 P15313
P17509 O43747
O75150 P02751
Q9Y3C0 P51843
Q92973 Q9Y6B2
P20916 Q8WY64
Q07021 O15379
O15519 P02768
Q9Y2X7 Q13216
Q07817 Q9UMX1
Q7L5N1 P16070
P13010 Q8NFH4
Q06495 Q07820
O15287 Q8WY64
Q9NP62 Q00610
Q9UNI6 P21246
P05112 P36888
Q5RL73 Q8WY64
P20382 P24385
O14737 P20618
Q06495 P04183
Q9UMX1 P54105
P78536 O14777
P00558 P55058
Q9Y6R4 O95372
Q8WU20 P29371
P62380 Q13042
O94864 Q9NZD8
P27694 Q9NRX3
Q9P2H0 O14717
O94777 Q15493
P06753 P36542
P07686 P20674
O60925 P16989
Q15834 P10643
Q15650 O95070
Q5JY77 Q03468
Q99558 Q16891
Q7L5D6 P04406
Q6P1K2 O75528
Q07820 P48552
P27695 Q76FK4
Q16478 P46777
P41227 O14713
P51587 P13725
Q96ID5 Q7Z6G3
P26368 Q68EM7
P54253 P29083
Q99558 P43489
Q13190 P62917
Q9NVC6 P55060
Q96G25 P16473
O15514 P09874
Q07889 P35869
P51610 Q9GZT6
P06400 O14579
P19021 Q02543
Q9UBU7 P21673
O95251 Q6QNY1
P02768 Q8IY81
O60641 P07498
P18206 P42226
P12272 Q8WVM0
P02768 Q9BYH8
Q6PJT7 Q9H8U3
Q5RKV6 Q02223
P61289 Q9NPP4
P50502 Q9Y314
Q92597 P25101
P61764 P08697
Q5JTD0 O15273
Q15032 P00505
Q9Y3C7 P54253
Q86UW6 Q9BRX9
P24385 P56537
O75334 Q96EB6
Q6PIZ9 O43508
Q9UPT5 Q9HAW0
P10827 P63208
Q8IZH2 Q99836
P84090 Q99808
P15927 Q9BQA1
O00311 Q9H1I8
P55789 Q96BY9
Q13432 Q8IVM0
P46777 Q9UJX3
O14745 O95793
Q96LR2 O60907
P05556 Q15464
O15287 Q9BUB5
Q15834 Q86YF9
P19838 O75934
O95084 Q5VST9
P68400 P18074
P35222 P51617
Q13432 P40189
P62258 Q15011
Q5T3J3 Q15555
Q9BYM8 Q9H1H9
Q9NWQ8 O15014
O43541 P16473
Q8NC60 P51617
Q13573 Q9UJ70
Q9BQD3 Q9Y4Z0
Q9GZR7 Q6UWB1
P78527 Q92556
Q9BUE0 O60895
Q99689 Q08945
Q9NP79 Q9H0R4
Q9H0E9 Q15025
O43390 Q15464
O14727 P47901
Q9BQ66 Q15629
P62917 Q6ZVM7
Q9C0J8 O95425
Q9UNI6 P41252
P63208 P21246
P27824 P67870
P36542 P16070
Q9UJA5 Q14254
P68400 Q99436
P31323 P59998
Q9UBS8 Q9NQB0
O60356 Q9NY97
Q5RKV6 P20963
P02647 Q96RU2
Q9Y3A3 P20273
Q9GZT8 P08574
O60610 P49771
O00429 Q9C0A6
Q16635 P59998
P02652 P04437
P12956 P51617
Q5T3J3 Q14738
Q9GZT8 Q8NHQ1
P20290 Q8IZD4
P53618 Q9Y6R4
P28908 Q5T3J3
P02686 Q5JR98
Q9Y2Q5 P56134
P49959 P35222
Q9Y239 P14174
P01375 Q9NQX7
Q9UHD2 Q13416
Q8WZ42 Q12972
P20396 Q9NZN8
Q99726 Q9NX08
P62380 Q03393
Q12791 Q7L5A3
Q96HR9 Q13113
P01589 P12004
Q5IJ48 P29084
P32927 Q03468
O15287 Q9Y5A7
O60671 Q9NY25
Q9UMX1 P01275
Q9UKN8 Q15464
Q9Y5Z0 P21246
O95793 P35222
Q13042 Q13113
P27695 Q92643
Q02363 O15372
Q13190 Q9UEE9
P05067 O95219
P06753 O15085
Q01780 Q9H0Q3
P02686 P61587
Q15834 O15235
Q9Y285 Q9Y3B2
P05067 Q9NQC3
P14784 O75069
P0CAP2 P02751
Q9NV58 P37287
Q12770 Q9NRX4
Q99572 P35869
Q16514 P38435
Q8WTW3 P04437
Q16665 Q6QNY1
P40925 Q8TDR0
Q5RL73 P49815
Q6PGQ7 Q15274
P62917 O95747
Q9NVC6 P61201
P05231 Q5JSZ5
P03372 Q5RL73
Q9UJX2 Q9NP85
Q16594 Q99689
Q9UBS8 Q9NP85
O95359 A5YKK6
P05067 Q03933
Q14186 O14717
Q15834 P10997
P35221 P49755
Q13416 Q15185
P27694 Q9UKT7
Q02223 P16870
P17480 Q12981
Q16666 O43147
Q86UK7 O43747
Q15102 P15260
Q5JSZ5 Q9GZS1
P27695 P67870
Q92597 Q16665
Q13432 Q5T124
O60268 P57678
P03372 P16989
Q09472 Q6NUQ1
P09669 O43572
Q9BQ66 P35221
P03372 P26842
P17540 Q9BTW9
Q15596 O95373
Q9H5J8 P0DPI2
P06401 Q9Y6D9
Q14157 P50150
P04053 O14976
Q9UHX1 P33241
Q9HBL7 Q9UKI8
P51587 Q7Z628
O14777 Q96GX8
Q14442 Q02383
Q16891 O14775
Q8N2U0 Q9GZT8
Q9NP84 Q9BXJ9
P21246 P05060
Q92844 P00395
P32780 Q12929
P00374 Q9H6R7
P60228 Q9Y678
P19447 Q9UJC3
Q93033 Q8N0X2
O00499 P19823
O14920 Q00403
Q969H0 O94864
P15927 P52434
Q07817 P61812
Q02224 P04141
P98164 P31025
P40189 Q9UNS2
P13612 Q86YC2
P01375 P99999
Q15011 O60641
P02545 P39019
Q13573 P53674
P52657 Q92759
Q16891 Q92729
Q8IVM0 P02766
P20963 O95373
P06400 Q07021
Q7L5D6 Q9UFF9
P21246 P61604
Q08999 Q8IWU2
O75943 O94875
P35222 Q16635
O14980 P04406
P30260 O14746
P20290 Q15078
Q13285 O43261
P38432 Q96EY5
P21695 P98160
P40855 P35613
P08865 O14717
Q15834 Q9NYV6
Q96HR3 P36888
Q15834 P60174
P62258 Q8N715
Q9P2S2 Q9Y5M8
Q9BQD3 P03905
Q08211 P20674
P62258 Q5VWK5
O75530 Q14157
P12956 O43427
Q9UKF6 Q9Y4Z0
Q9Y3C7 P04180
Q9NXU5 Q15648
P05556 Q6R327
Q8WWV3 P29084
Q15102 O60925
Q9NV56 Q9UMS4
Q15543 Q9HAV4
P05067 Q9Y6M9
Q9H204 Q99547
O60443 Q9Y2H0
Q9UQB3 Q13042
P21246 Q9NQB0
Q12972 Q96ME1
P54253 Q9Y2L1
P06400 P57057
Q15834 O95453
Q86VX2 O95273
P36543 P61247
P05556 Q9Y5Q8
Q6P1K2 P04406
Q5JSZ5 P08476
P67870 Q9UD71
Q9HC16 O94986
Q02094 O75923
Q92729 Q96FV9
Q13190 Q14974
Q16514 P08697
P78559 Q9HAF1
P25054 Q86UU0
Q16635 P11940
Q6WBX8 Q00341
Q6P1K2 P08865
P21246 O43493
P06400 Q07864
P36542 Q02094
P54253 O43261
Q86YC2 P55895
O43261 Q9UGJ1
P35222 O76061
P37198 Q9NQS1
Q16594 Q9BWH2
O75925 P00491
Q13200 Q8IU60
Q14966 P51398
Q5JVF3 Q8WU20
Q7L5D6 O14980
P49675 P38432
P32780 Q12972
Q86YC2 Q8NEY8
Q07889 Q9BYD3
P60228 Q13563
P11940 P55011
O14980 Q86XR8
P30291 Q6ZMT1
Q96QZ7 O75884
Q15834 P00966
Q59EK9 Q96EU7
P24385 O43493
P46379 P83436
Q10570 O60293
P12956 P46779
Q9BQ66 Q9UBU8
P49959 Q5SXM2
Q8TDC3 Q9BTY7
P15927 P30876
P02751 P15822
Q13563 Q86VX2
Q5JY77 Q9Y2L1
Q9UKR5 Q6UX01
P06400 P04053
P09884 Q9P2H0
Q9Y3C0 P49755
Q8N668 O95870
Q13432 Q9Y6J0
P46527 Q14061
Q12959 Q8IYF3
Q5T3J3 O15446
Q13200 P19838
P05067 P42081
Q5T0L3 P02775
P05556 O15239
P12004 P09874
O15514 P46777
P15313 P04035
Q09472 Q9BRA2
P10827 Q15834
Q9UHX1 Q96R06
Q9Y3B2 P13686
Q13228 Q96M91
Q13190 P78559
Q12772 P22570
Q7L5D6 Q15648
Q15572 P08574
O75925 O95445
Q15631 P10071
Q5JY77 Q14134
P21673 Q13042
Q9P2H0 O60610
Q8WTV0 Q9NRH1
P16581 Q9Y5Q9
P21246 P82930
O14746 P04183
Q5T3J3 Q9H7U1
Q15573 P00491
P78549 P15509
O75506 P30990
O00161 Q86XR8
Q16576 O15371
P03905 Q00597
Q9HB96 P31785
Q99558 Q9GZY6
P09874 Q9UJX2
P49768 Q86XP6
Q16891 Q8NBJ4
O75528 P19838
O14777 O14958
Q96SB4 Q9NRH1
O60921 Q13867
P48552 P13725
P05067 Q99436
Q9Y2X7 Q8TBR7
Q9NSA3 O14544
P08887 Q9UBU8
Q02878 Q8N5H7
Q9BVC4 Q13416
P60033 P20674
Q8N668 P32969
P35658 Q86VN1
P21246 Q5T6C5
O75716 Q99567
Q9BQD7 Q09472
P62258 P56537
Q5T3J3 Q93074
P06400 P40189
Q6IA69 Q9BQ95
O15379 P12272
Q53HV7 P57678
O75390 Q8IZD4
P62487 P01242
P38432 P01042
Q15542 O14793
P40238 O75694
Q15834 P17480
P14866 Q9Y3U8
P03372 P06746
O75528 P63241
Q13573 Q6VY07
P17480 P35520
Q07889 P20273
Q7L5N1 P43034
Q92844 Q96RJ3
Q8N122 Q99547
O76031 Q9GZS1
P54253 Q13190
Q9GZY0 Q9Y2L1
Q9BVJ6 P18509
P52272 Q03135
O60925 P36542
P15941 Q07889
P27694 O95219
Q12846 Q08945
Q92973 P02768
P07737 Q13432
Q6UB99 O15294
P98164 Q9NYV6
P03372 Q7Z3B3
O60232 P13612
Q96CD2 Q8IYR0
Q13416 P20963
Q99081 P05060
Q10570 Q9UNS1
Q15102 Q9UI46
P32927 P15927
O60383 Q9Y3I1
P0DPB6 P24588
P00491 Q9UMX3
A0A5B6 O43379
P51587 A0A5B6
P98164 P24385
P04406 O76080
P03372 Q5T3J3
Q15042 P21580
P42701 Q16576
P07737 Q9BZZ2
P24385 Q9GZT6
P22234 Q92838
Q9Y3C7 Q16594
Q9Y4Z0 Q13371
P02647 Q9BRA2
Q9UHX1 Q99689
O43427 Q96EY7
P35222 P11717
P30968 O95070
Q16665 Q9NYG5
Q96B86 Q92979
P27694 Q9H2X0
P0CAP2 Q9UFF9
P03372 P04278
Q96RU7 P01160
O14745 Q15477
P38432 P37268
P49792 O60293
Q96FK6 P12270
Q14442 P28715
O00499 Q8WVK7
P29083 Q9NXU5
P29084 P04406
Q99665 O14976
P61764 Q12929
O95807 O95372
P19838 O75970
Q96SB4 O60671
Q15572 Q9P2R6
O60671 Q8N392
Q9HCU9 P40238
Q01970 P61421
P00491 Q9UJ70
P12004 Q9H6R7
P56537 Q9Y275
Q9H7E9 P60468
Q13033 Q9BQA1
P21246 O95602
Q9BQ66 Q14739
P67870 O15273
Q9P2S2 P40925
Q9UIF7 Q9NV56
Q9UNI6 P04553
Q9H0E9 O95544
P68400 Q6KC79
Q9UKN8 P51617
Q05586 Q86US8
P24666 Q13323
O60293 Q15257
P60228 Q9NRI5
P30876 Q9UBQ5
P98160 Q9ULC0
O60907 Q9NWQ8
Q9BQ66 P35222
P05067 Q00597
O95251 Q99547
Q9H3D4 P11717
P78527 P99999
O60232 P34741
Q15834 Q15078
P02686 Q9NWT6
Q9GZT8 O14617
P11597 O15372
P17480 Q969L2
Q5RL73 Q9UL62
Q12972 Q53GS7
P27695 P08519
Q13432 O60762
Q16514 O15144
Q9ULU8 Q63HQ0
P35222 Q13868
Q8WZ42 Q9Y6D9
P02775 P07602
P20366 Q96HE7
P35222 Q14789
Q8NCW5 P78345
P78527 P51946
O75381 Q15406
Q53TS8 Q99741
Q9NV56 Q9BUB5
P49675 O43541
P06401 Q5M9N0
Q5JTD0 P07602
Q5RL73 Q9GZM8
Q96RK0 Q9H490
P67870 Q14749
Q96F07 Q96KP1
P54253 Q9HB21
P61803 Q9H8G2
Q07817 Q13200
Q9GZT6 Q05586
Q6WBX8 Q01831
O60496 Q6NUQ1
O75665 Q12981
Q16594 P10809
P08887 O15143
Q96ID5 P18074
P98164 Q13243
O15169 P07101
Q9Y3C0 Q15572
Q9UPY3 Q9Y6M9
Q9UFG5 O95373
Q9H5Q4 P06401
O15294 Q9NY26
Q9UKA4 P31323
Q13573 P35658
Q8N122 O75478
Q13094 O60268
P19021 P40189
O95721 O96006
O60232 P12004
Q6UX01 Q8IUM7
Q8IYD8 O15527
P54253 Q8IWU2
O95149 O15155
Q7L5N1 P67870
O00267 P35221
Q06265 P04062
Q12959 P30533
P0CAP2 Q5TCY1
O94782 O15503
Q5T3J3 P26368
O95994 Q9NRA8
P07737 Q86X55
Q13190 Q6VY07
Q9NPI8 Q02223
Q9H079 P16410
P10809 O60942
P48736 Q9BTW9
Q9BXW9 P45974
P19447 Q14789
Q15834 Q07817
Q14191 Q15397
P49736 P78417
Q9UL45 P0DPI2
O76061 P00505
Q9BQD7 O43913
Q13765 Q9UIA9
Q15645 P21580
P62304 P20823
Q5T3J3 Q09428
P10827 O14777
Q09472 P02768
P35222 Q16478
O75150 P35225
Q15388 O43809
Q96JB5 Q15370
Q9UII4 Q9BWC9
Q92934 P33897
P62487 Q9H8U3
O75817 Q8NCR6
P06127 Q96T91
Q9NP79 Q00597
Q99575 P52630
P20618 P51808
O15514 Q99547
Q92966 P00505
Q13191 Q9NQX7
Q9UKF6 Q5T8A7
O15235 O15273
Q06330 Q16611
O95707 Q9BVP2
P61764 Q13432
P02647 Q13432
P21580 Q9UM13
O75971 P31785
Q14181 P48551
P27824 Q9Y5N6
Q96LR2 Q9H8T0
P51946 Q9BRJ6
Q6P1J9 O60664
Q5T3J3 Q15397
P60228 P54253
Q15185 Q8WVM8
Q9UHD2 Q14183
Q5T3J3 Q96ES6
Q8N612 O15116
Q9Y624 Q9NXE8
Q9UKR5 Q9UKT4
Q01831 Q5T124
Q09472 Q9UPW5
Q9H0E9 Q96SB4
P60228 Q5T3J3
Q14181 Q8TEQ6
O43292 P20396
Q9GZY0 P21854
Q15834 P31153
P13569 Q59EK9
Q16665 Q6IB77
P06400 Q9UJ70
Q9Y285 P98161
Q12791 P18428
Q9Y3C7 P84090
O96019 O60566
P03372 Q9BQD3
Q92759 Q06265
Q9BQ66 P62917
P68400 Q8N668
O60907 P61513
Q16594 Q06495
P02652 Q86X55
Q96T76 A1L0T0
Q92597 Q15834
Q02363 Q92994
Q6YP21 Q8WU20
Q9NP97 P48552
P35222 O95453
Q86X76 Q8IZJ0
O15169 Q9UL45
P10451 P27824
O95251 O15533
Q9UKA4 Q13216
Q12834 Q9HB09
O95059 Q96RU7
O60383 Q9NP98
Q16665 Q13347
P06753 P55010
Q9NP79 Q9NZ42
P31323 P21359
P21673 P53618
Q9BPZ3 P54253
O14893 Q5RL73
P49959 Q99689
P21673 Q02817
Q9BQ66 P29083
Q07820 P46977
P12004 Q99523
Q9H0R4 P49247
P35520 P35658
P42701 Q8N1V2
Q07864 Q9NPP4
Q86YW7 O15155
O95059 P15822
P49815 P08865
P40855 Q9BRG1
P49768 Q13077
Q6P1K2 Q05940
P37198 Q56P03
Q9UFG5 Q9NQ34
P12956 Q9NRF2
Q5T3J3 Q7Z3B3
O75916 O75309
P10451 Q9Y5K6
P35222 O95251
Q53TS8 P35221
P05067 P18428
Q13190 P00505
Q969H0 P49767
P51946 P04183
Q13873 Q8WU20
Q9P2R6 P49721
P05556 Q13620
Q9BQD7 Q13573
Q9BTY7 O95747
O75150 P35222
Q15291 Q92908
P54253 O43379
Q10570 P16150
P61201 Q6ZMJ4
P82933 Q99741
Q5T3J3 Q14140
P63208 P62304
O60566 P18428
P02768 Q9Y2J4
Q5RKV6 Q12888
Q16891 P35658
Q8NHQ1 P51587
Q9H7E9 Q02978
Q13077 Q16665
Q14204 P52630
P68400 P62304
P62304 Q8NEA9
P68400 Q9NZ52
Q12834 P08582
Q16891 P60033
P98164 P02766
Q14005 P05019
Q06330 O60664
Q969G3 P68400
Q5RL73 P29475
Q96ID5 Q15050
Q09428 O95208
Q9H1I8 Q14186
P46098 Q4KMG0
P18858 O14737
Q9Y3C7 Q99698
P61764 Q14005
P54253 Q99567
P19021 Q9Y263
P25208 Q96G25
P03372 P01185
Q9UHF0 Q8IXH7
P51809 Q03135
Q9BQ66 Q14974
Q14974 Q96A83
P04406 P37108
Q9UPT5 Q9UJX3
P03372 P46977
O15117 Q14738
P13611 O76061
Q99547 P06733
P06400 P10809
O15372 Q7Z6G3
O95180 O14544
Q9NNW5 P19838
Q9H840 P09466
P49768 O60925
O14980 P04437
P26368 Q9UJX2
P10451 Q9H0R4
O14920 P29083
Q9UGP4 Q9BSH4
P0CAP2 P02768
O60268 P06127
P36543 O14746
O60921 Q9NXU5
P15918 Q6QNY1
P54253 Q07817
Q09472 Q9Y2H0
P03372 Q9NRX3
P78552 Q01814
Q7L622 Q14140
Q9NP79 P62258
Q9NV56 Q13352
P41594 P0C0L5
Q9NZ42 Q86UP0
P02545 Q99523
O75925 Q12929
P02652 Q9GZT6
P21673 O60906
P02766 Q9UNZ2
Q9H7U1 P03897
Q9GZT8 P36578
O75446 Q13017
P08240 Q149N8
Q96F07 O43426
Q7L5N1 Q13042
P78527 Q9GZR7
O14920 A0A1B0GX56
Q5T3J3 P50454
O76003 Q9NQX5
O00161 Q96RK0
Q9H7U1 P04733
P12956 Q9P2M7
P13010 Q12802
O14737 O95707
Q9UKI8 P20273
Q9NY26 Q9UL62
P55789 O94777
Q99689 Q9H422
Q5T3J3 Q14919
P62888 P43034
Q9BRR6 P00505
P50542 Q8WUW1
P54253 Q13671
Q13867 P78345
P51116 Q9NRX1
Q9UNI6 P68400
Q9UHD2 Q9BYD3
P01127 P49458
P62875 O75354
P09884 P35222
O15372 O43592
Q14919 O75396
P10451 O15116
Q9Y5K6 Q9HB21
Q12959 P23258
P46379 P01589
Q6ZVM7 P98082
Q16665 Q96FV9
Q96IP4 P42701
Q7L5N1 Q9UMS0
P06400 Q9BQ66
Q12959 O95229
Q7L5N1 Q9UMX1
P68400 P12004
Q92844 P06400
P38432 O95453
Q9NRX1 Q14814
P21246 P04553
P16871 P09874
Q99689 P06753
Q03167 P00505
P49792 Q99698
Q9H1I8 Q9UNN4
P36543 P35222
Q15834 Q9Y5Y5
P02751 Q14990
P15509 Q9UJX2
P51116 P34741
O14745 Q12959
P62304 P04141
P62917 Q9BUB5
Q15645 Q9HAV4
O94777 Q9UQB8
Q06495 Q9Y5A7
P21673 P30154
P78527 P21359
P62753 Q9BTW9
P52630 Q8NB37
O75971 P0C1Z6
Q9NVU0 Q9BTY7
P22314 O60343
Q92624 P06727
P04406 Q9NPJ1
Q14181 O60241
P01127 O95273
P09917 Q6PIZ9
P32780 P11717
O60383 O75146
O75925 P48552
Q02094 Q8IYB3
Q9BVC4 Q9BQ66
O14788 Q8NHQ1
Q13432 P04180
O75381 P18206
P02545 Q49AR2
O14746 Q13620
Q9P2M1 Q9UEE9
Q9H840 Q16553
Q7L5N1 Q9BYM8
Q9H8T0 O95424
Q03701 Q93074
O60244 Q8IZU3
P16870 O76061
Q13432 Q8WVK7
Q7L5N1 P51843
P30291 Q14974
Q9UBN7 Q13596
P05067 O00220
P78527 P78346
O60573 Q15078
Q9UPY3 Q13596
Q8IZH2 Q15642
P15927 O94875
Q9P253 O95865
O14980 P54253
P03372 Q9HAW4
P61201 P46777
P04179 O14717
P16870 Q16762
P30793 Q13724
Q16665 P15509
P04406 Q16553
Q9NVC6 O15519
P98160 P04183
P54253 Q9NP99
P49903 P11940
P19838 O75716
O00161 Q9BTX1
P18074 Q99836
P38432 Q9GZT6
Q09472 Q05586
P35249 P28715
Q99665 P62258
Q12959 O60293
Q9UKN8 P19838
P20290 Q9BQA1
Q9Y234 P19838
P68400 Q92994
P14784 Q9P2R6
Q10570 Q8TEL6
Q00597 Q9NYB0
P28908 P78406
Q8IV36 P04035
Q9BQD3 Q9H0R3
Q06495 P35222
Q13432 Q9P2W9
Q9H8K7 Q9NP85
O43592 P55058
Q5T3J3 Q9UHY7
Q03181 P04406
O00165 P18509
Q9Y6R4 Q9UHQ1
O00628 Q9H8M9
Q9Y5K6 O94875
Q16891 Q12959
P21673 Q00597
Q09472 P02808
P46379 Q5FBB7
O14745 P49407
O14745 O94776
P07498 P05814
O75971 P30154
Q9GZR7 Q15283
Q8IZJ0 P49757
P02647 Q9P2H0
O60383 Q15011
P62258 Q07817
P05556 Q96E40
P16410 Q9NQX5
P19320 A5YM72
Q00403 Q15464
P99999 Q92572
Q99547 Q13191
Q99436 O95373
P54253 Q8NBJ4
P32927 Q9UHF0
Q9UIF7 Q9HCU9
P68400 Q9P2H0
Q03167 P61626
Q96SB4 Q9Y2H0
Q9NS69 Q13503
P21673 Q8IYF3
Q15834 Q09472
Q9NRI5 P00451
P12956 P15927
O00311 Q9Y296
O43561 Q96KB5
P35222 P21246
P62258 O75528
Q9UHR5 P04278
P19838 O15143
Q7L5N1 P00491
P20618 Q9BVC3
Q9GZT8 O00453
Q96HR9 Q59EK9
Q92597 O15519
Q9UKR5 P62258
O43913 Q96EY5
P02768 Q15293
O75354 P51617
O76061 P05000
Q13432 Q5RL73
Q9Y239 Q9UKV8
P19838 Q9P2W9
Q9C000 O75182
P35222 P32969
Q9Y535 P49773
Q13352 Q92729
Q8NDB2 P22735
Q5FBB7 Q9HBE4
P60568 Q16619
P32418 O60293
P51003 Q8N3K9
P29475 O75052
Q9H1I8 Q96RK0
P58753 Q9P2H0
P62424 Q8WUW1
P49736 O14727
Q9GZY6 P07101
O00628 Q9Y272
Q9H840 P02549
P48551 P62081
Q92966 P15927
Q13868 P20823
Q13561 P01042
Q9BQD3 Q12888
Q96F07 O14745
P54253 O96006
Q09472 P21673
Q9Y5K6 Q6UWB1
Q00403 O00165
Q9GZS1 Q15572
P02545 Q06265
Q13077 Q86YW7
Q7Z3B3 Q9NV56
P54253 Q9Y678
Q99547 Q15078
P19838 Q9H4M7
Q9P2H0 P62750
Q15645 Q9NPI8
Q92896 P02489
P01303 O43427
Q07021 Q07817
Q16891 Q5RKV6
Q12959 P27694
P62258 Q96QD9
Q07021 O15360
P49768 Q8NBJ4
O75665 O95084
Q96EK5 Q9UI46
P21246 Q15904
O14745 P38432
Q96F07 Q9H1Y0
P78324 Q05586
Q96EP0 O94875
Q6ZYL4 P11940
Q15834 Q9BVJ6
O43809 O75964
O14920 P37268
Q00403 Q969X2
Q9GZR7 P05556
Q92597 Q9GZR7
P54253 Q8NCR6
Q5T3J3 O95990
Q9GZZ8 P04406
O14777 Q8IZJ0
Q9GZT8 Q99665
O15379 Q92729
Q9UNS2 P51808
Q9Y3A3 Q8IZH2
Q9HB96 Q9GZR7
P20963 O60671
Q92597 P57678
Q9NVU0 P02545
Q9HAV4 Q96CQ1
Q14919 Q9NP79
O14788 P35249
Q9NXU5 O43561
P51587 Q9P253
P46777 Q9UBD5
P20916 P25054
O14745 Q9UKA4
Q99547 Q92945
Q8N715 P16070
P00558 Q9Y4E6
P12004 P17181
Q9UBU8 Q9H8K7
Q15834 P14866
O95707 Q9NRX2
P57740 Q13323
Q15834 P20273
P15927 P15260
P37198 Q12906
Q9UBD5 Q9H7H0
O43426 Q9H1H9
Q96HE7 Q9H1Y0
P12272 Q9UJC3
P62805 P20674
Q53H12 P00395
Q13224 Q8NBJ4
P12956 P21673
P60228 O95602
Q9H147 O00499
P41227 Q9Y6M9
O14920 Q5VST9
P12004 O60383
Q16533 Q99567
Q14669 Q52LW3
Q03933 P05060
Q16518 Q8NBJ4
Q9UNN5 Q15078
Q86YF9 Q9NRW7
Q9NY26 Q96KB5
Q16594 O60645
P04114 P15529
Q01970 Q86XR7
P12081 Q7L5N1
Q07817 Q15283
Q9UQB8 P17181
P04278 O75691
Q13200 Q9BRG1
P17509 P07602
Q8NHQ1 P16070
Q5RL73 Q7L590
Q9Y3A3 Q9H0R4
Q13571 P19447
P08887 P13725
Q15834 Q9H8M7
P04406 Q13323
Q96HR3 O60925
P06213 P27701
Q16891 O75533
Q99598 Q9H1A4
P10515 Q9UHA4
P49736 O00161
Q99700 Q14140
Q6P2C8 P00505
O94906 Q99836
P98164 P09874
O60610 O15239
Q9UM13 O95372
P04004 Q9NVC6
Q99689 Q96A72
O43292 Q9H269
O00453 Q9H1A4
Q9H1I8 P22314
O95251 Q9H5J8
O60921 O94782
P05067 Q96SZ6
Q96GG9 Q9Y2X7
P02654 O77932
Q9NRG1 O43541
Q9Y3C7 O60895
P49768 P17540
O15160 O43427
