Q76FK4 Q15041
Q92466 Q96MU8
Q14974 Q15650
Q92542 P67870
P02686 Q9UNS2
Q13029 Q9H939
Q9UM13 Q9NTM9
P49407 P41273
Q13563 P78559
P49755 P49247
Q9BWH2 Q16570
Q15761 O15130
Q9H1I8 Q03468
Q15078 P58753
Q92597 P02775
O14744 P49366
P47710 O75354
Q05586 P50454
P21246 Q5BKT4
Q96EK5 Q07864
P98161 O75352
Q7L590 P55084
P78536 P49903
Q07666 Q9BYM8
O43913 Q5JY77
Q15596 Q92945
Q99689 Q9HAV4
Q08211 P24385
P51610 O15287
O75478 Q96RU2
O76061 P25101
Q15751 O43379
Q96D46 Q9GZR7
P38432 P19438
Q9HAV4 Q13868
P53674 Q8NHZ8
Q01780 P52948
O95251 O95084
Q6NUQ4 O00203
O43294 Q86YW7
P56537 P60228
Q5M9N0 Q9UIA9
Q5T3J3 Q96JE9
Q14974 Q01081
P52630 P04004
Q9UBN7 Q8NHU6
P12956 O00161
Q969D9 O95059
Q5RL73 P03372
O75534 P01185
Q03135 O60383
Q00403 Q99741
Q92934 Q96DW6
P34981 Q99547
P04183 Q96QK8
O15131 Q9UIA9
O75970 Q8NF91
Q14596 Q9P2Z0
Q9Y272 P21583
Q9BXR0 Q13867
Q99665 P19838
P29084 O15379
Q07817 Q9BTX1
O96020 Q5JY77
Q16478 Q96FX7
Q99558 Q12929
P30154 Q9BUE0
P06401 Q9UN74
P38432 Q15041
P46379 Q96MU8
P27701 Q9NRH1
Q9H0R3 P46777
O60760 O15446
Q14191 P27169
P42345 P48552
P05026 P63208
P30260 P35658
P54136 P09496
P38432 P83436
Q9UPT5 Q9BQ66
Q96G25 P42702
Q9NQT5 Q8IXH7
P29083 Q7L590
P49768 Q13416
Q9Y296 P14138
Q14676 Q14814
Q5T3J3 O43395
P35222 P28715
Q8NHQ1 P14209
O95159 O95373
Q9BYG5 Q8WXI7
P04053 Q9BVV2
Q6IB77 O43257
P55010 P29371
P08582 P51003
Q14181 Q9Y5N6
Q9ULU8 Q13671
Q9Y624 Q06190
P51610 P53618
P52797 Q9NYH9
P05556 Q9BVC4
Q6NUQ1 P05019
Q92945 P60568
Q02878 P46100
Q00341 Q9UKN7
P62258 Q15011
Q9UBU8 Q9UBW7
Q7L5N1 Q9NV56
P98164 P18545
P49736 Q9NP85
P02545 O00161
Q8WYA6 Q49AN0
Q9NR82 Q9NRA8
P26368 A0A5B6
Q96G04 Q16385
P09874 P14778
Q9NPF7 Q9Y314
P49768 Q8TC92
Q9UBN7 P78406
P56134 P01189
Q9H0R4 Q8N392
Q9P2H0 P37198
Q15834 Q5RKV6
P21673 Q99575
P21246 Q07021
O60566 Q16401
Q09161 P54852
Q2M1K9 P49366
Q9Y3A3 Q9H7U1
Q07817 Q9UNI6
Q9Y2X7 P02751
P49815 P14866
Q9H1I8 Q9H0R4
Q13077 Q14134
P12004 P21359
Q9Y6K8 P61812
P03372 P61421
Q9BQ66 Q5JR12
Q96EK5 Q9NTK5
P12956 Q99741
Q9P2M7 P02686
P62258 Q9UBW8
O95219 Q9UKX7
Q9BTW9 Q9UBB6
Q6PJP8 Q1MX18
Q9P2H0 P30260
Q15834 Q9ULU8
P15927 Q02363
O95707 Q7LFX5
O14980 O15239
P04406 Q9Y3C7
Q13573 P08133
P35222 Q9HB96
Q12788 Q9NP84
Q13200 P60468
Q9BWC9 O00161
Q05586 P39905
Q92598 Q9NZD8
P35222 P63208
P25054 O43261
O00631 P49406
P04406 Q9Y2B0
Q01780 Q9Y4E5
Q9UJX3 Q8TCG2
P00797 Q9UIF7
O15455 P22314
P51610 P13807
Q13094 Q5T6C5
O75146 Q86UU9
Q05586 Q12888
P04183 P34741
P49768 P51843
Q14181 Q92934
Q16666 O75943
P03372 O60232
Q16533 Q9UGJ1
P50542 Q13596
O43683 Q99835
P02768 Q9NQB0
Q13190 Q9NQS3
O43929 P27694
P98164 P49720
O60760 Q969L2
P68400 P0CAP2
Q96G25 Q99835
O14920 P02647
Q5TCY1 Q13416
Q9UKG1 Q8N392
Q01780 O60610
Q08211 Q15572
P18074 Q13228
Q52LW3 Q9H1A4
P04075 Q14990
O60671 P19838
Q00610 Q9UJC3
Q96FZ7 O95149
Q9UKT4 Q10571
P06127 Q9BRK4
Q9BQ66 Q8WV28
O75309 Q9UJX3
Q8TCJ0 P61513
Q92597 Q9UNS2
Q99598 P61201
P68400 P37287
P15927 Q5RKV6
P02652 Q9UP83
Q9P2R6 O60573
P61626 Q9H0R4
Q08945 P20807
O15379 Q03167
Q9Y2L1 O15379
Q03181 Q14191
A5YKK6 P32780
Q86XR7 Q9P2H0
P19838 Q86X76
P35221 P53803
Q9Y3C7 Q13216
P15927 O43633
P35222 Q9NVC6
P26368 Q13432
Q07889 Q13200
Q09472 Q9BTW9
O14777 Q08334
Q5JY77 P08865
P03372 Q9NPF4
P17181 P01042
P18428 P32927
Q13503 Q9UMX1
P42345 Q99627
Q7Z412 Q9H8K7
P19320 Q16385
P68400 P09327
P05026 P04179
P16581 Q92896
Q9Y3C7 Q6ZS82
Q7L5N1 Q02363
Q8WXD5 P98161
P10827 O60566
O60671 P36578
Q06190 O75901
P05556 Q9NXU5
Q9Y6D9 Q96RU7
P68400 Q13144
P16455 Q09428
Q99705 Q8NHQ1
Q92542 P42701
Q9BPZ3 O75419
P56537 O75144
O95793 Q7Z412
Q5T3J3 P62487
Q92973 P21854
Q9NRI5 Q14789
Q13224 Q9NQS3
Q99558 P23396
P60228 Q13671
O43747 O00165
Q07817 Q8WXE9
Q9H1I8 Q8TF05
Q9HAF1 O00161
Q15185 P10124
O14976 Q9H633
Q9UJX2 Q12846
P04053 O95793
Q6WBX8 P49069
P10827 Q96G21
P46783 O75925
P17509 P33897
Q15834 P46527
Q6P1J9 P07737
Q00597 Q9UGJ1
P25054 P16870
O14744 Q9UII4
P09132 Q9Y4E5
Q86XP6 O60383
P18428 P46100
Q16891 P36543
P62258 Q9Y263
Q9Y2X7 P43489
P49736 Q13868
O60383 Q8IZH2
P62380 Q15633
P27824 Q13077
Q96JH7 P02768
P20366 Q9BQ66
P54368 Q7Z7C8
Q8NBJ4 O14832
O15455 O14737
Q16790 Q99558
Q5JY77 O15379
P17509 Q96G04
O95278 Q96HA8
Q03013 Q9BW71
Q9UBB6 Q96ES6
P10827 Q9BXR5
Q15645 Q8N8Q3
Q9BTP7 P11245
P21695 P30260
Q08211 P50748
P02686 P18428
Q14596 Q13243
Q8NBJ4 Q99700
P27701 Q9BPZ3
Q9Y3C7 P37287
P13010 Q86YV9
O95059 Q9P0P8
Q14134 P28908
P47756 Q13895
Q13901 O43592
P82933 Q92945
O60671 Q70Z53
Q13200 P48061
Q9Y3F4 Q9H6Z9
Q969H0 Q07820
P68400 Q96ME1
P06753 O43395
P10827 Q9H8M7
Q9UJX2 Q9NV56
Q9GZM8 Q13421
O43913 O95278
Q15020 Q09161
Q15834 P19438
P52948 Q9NQG7
P68400 Q8WTV0
Q5RL73 P42702
Q9UHI6 Q9HC16
P17480 Q12972
P46379 Q15406
Q99558 Q15078
Q9BVW5 Q9UQB3
O75971 O60566
P05556 Q05586
O60566 P98160
P35222 P19838
Q7L5N1 P15927
Q16891 Q9HCU8
Q08211 P54198
O75052 P62913
Q13868 Q8N3U4
P05556 P68400
P78527 Q15650
P03372 P07738
P15151 P61626
Q96G25 Q15293
P04553 Q9H8G2
Q13094 P02686
P98082 Q13563
P06401 P43034
O75534 P51116
Q12888 O60925
O14746 Q02878
Q96SB4 O15503
P21673 Q9NPJ1
O00311 Q2TAA8
P51116 Q15464
P21246 P03372
Q9UHI6 Q9UHA4
O14920 P61254
P49768 P55087
Q8NBJ4 Q96RJ3
P62304 P24522
P49768 Q9GZT8
O95793 P06727
P26368 P26599
O14777 O95359
Q7L5N1 P30291
P68400 P55042
P41159 Q8TEW0
P12956 P18206
Q96G25 Q9BQ66
Q12959 O60268
Q5RL73 P22674
P09693 Q15008
P06401 P54253
P06400 P09693
Q99665 Q9UHW9
P61604 P78559
Q8WV28 P49771
P00491 O60645
Q00597 O60241
O60763 Q9BVK8
P36542 O95424
P68400 Q9BYC9
O95084 O14788
P06213 P80188
Q969Y2 P11137
Q16891 P62750
P61289 Q9P2H0
P32780 P30793
P54253 Q9HBE5
Q9Y3C7 Q9Y2A7
Q9GZT8 O15503
P12956 Q15834
Q8WV28 P05019
P18074 P20916
O60232 Q8IU60
Q96LR2 Q13432
P32927 O14579
Q13077 P06127
Q5RL73 Q9UKJ5
P08476 P05019
Q96SB4 Q02383
Q9UNE0 Q12959
O95059 Q96RL1
Q9UGL9 P62854
Q969R5 P78406
Q96ID5 Q9NRI5
P21246 P35869
Q5RL73 Q9UL40
Q9UM13 Q8NEV9
O75478 Q9Y3T9
P20963 Q7Z412
P46777 Q14512
P54253 P61812
Q9UL45 Q13042
O00311 Q9UHX1
Q03188 Q5M9N0
Q9UNS1 Q99558
Q9NTK5 P16870
Q92597 Q13371
Q9UHX1 O00499
Q07817 Q96E40
Q16665 O95081
Q9BVJ6 Q08999
Q5T3J3 O75475
P30876 Q13077
Q13077 Q9H910
Q15834 Q92896
Q9H8M9 Q9Y3C7
P15927 O43683
P16870 O15117
Q16478 Q14789
Q9BXR0 O75901
Q6NUQ4 P49247
Q9UQE7 Q9BW71
P00395 Q7Z3B3
Q92973 P02652
Q09472 Q13200
Q5T3J3 Q9NRX3
Q12772 Q8WUH2
Q07817 P07738
P78527 Q9Y5K6
P00966 P42345
P03372 Q16576
P05067 O43808
Q13765 P29084
Q9HB09 O15145
Q9NQW7 Q9P253
Q2M1K9 O75083
Q15465 O96006
Q92597 P48552
A5YKK6 Q96JB2
P05556 O60760
Q53H80 Q13228
Q15185 Q7Z412
Q9UQE7 Q9UBU7
P05556 Q92902
O43633 Q8TEB1
P04406 P54253
P68400 P01185
O43261 O15371
Q15834 Q9NV56
Q07507 Q9NRX4
Q00610 Q9NVI1
Q96R06 Q86UU9
P13010 Q13416
Q9NRI5 Q9UN74
P10827 P49356
O43929 P56134
P37198 Q9UHF0
P21695 O95359
Q8TF05 P15018
Q9UPY3 P41159
Q08211 Q9HCU9
O75665 Q9H2M9
Q99547 P19021
P03372 P56537
P14209 Q86UW1
P03372 Q15102
P02686 O60241
Q03013 P06400
Q96ID5 O96008
Q5T3J3 Q14134
P32780 Q8IVS8
Q96G25 Q96HR9
O14920 P21580
Q96KB5 Q5T681
P19447 P12004
P13984 P49247
Q9UHX1 Q9NX74
P05060 Q8NBJ4
P29084 Q9GZY0
P51116 P62913
O60383 Q10570
Q15834 P02647
Q9Y4Z0 Q9Y6H8
P05060 Q14789
P78345 Q96HA8
Q13029 Q9BYT8
Q92989 Q9UHF0
P16871 Q5RKV6
Q13077 Q13224
P35221 Q9UEE9
Q8IWU2 P23258
Q11203 P09327
P34741 Q9NXB0
P28908 Q9BYE9
Q9Y2L1 Q96HR3
O95251 P61218
Q8NBJ4 O14662
P29084 Q6ZRQ5
Q13416 Q9BQD7
P21246 O94818
Q09428 Q09161
P46777 Q07820
P04114 O00203
Q02817 P13569
P10827 P25705
Q9Y3C7 Q96RK4
Q13868 Q13347
O95251 Q9GZY0
Q09472 O95807
P35221 Q03135
Q9NY61 Q9NP85
P10451 Q96KP1
Q9UPY3 Q13224
Q6ULP2 P18509
P20382 O43292
O60383 Q14689
Q9UKI8 P99999
Q12959 P06727
Q9UHF0 Q96GG9
Q16665 P51617
Q8WYA6 Q9BT78
Q10570 P11926
P06400 O60610
Q15185 Q13772
P42702 O95373
Q09472 Q9UHX1
P78346 O95273
P04053 Q9BVW5
Q13503 P01303
Q70Z53 Q96KG9
O60566 Q9UNZ2
P78346 P24666
Q9HAV4 Q03393
Q07817 O15379
P21246 Q9UHW9
Q16478 Q5M9N0
Q9UGL9 Q01970
Q9Y3C7 P02545
P16298 O15116
O60762 Q9H2M9
Q9Y2X7 Q9UKX7
P20366 Q14643
Q70Z53 P02774
P18858 Q15648
P62875 Q9UJA5
O15169 Q9NPF7
Q15596 Q13094
Q9BT78 Q13765
P15927 Q9GZQ3
Q8NHQ8 Q13029
P52657 P51843
Q86UK7 Q9C000
O95278 P55087
Q9UBT6 Q13243
Q13190 P21673
P05060 Q07864
P12004 Q8IUD2
Q9H1I8 Q16666
P14209 O15117
P68400 P27824
P16870 Q12906
P46379 P47901
Q8IYX3 P61201
P21246 P60228
P35222 Q9P1U0
Q92597 Q9GZT8
P02751 Q56P03
Q9H7H0 Q8N0X2
P36543 Q14019
Q9BZI7 Q99741
P27694 O75462
P68400 Q9BQ66
O60671 P61803
O14980 P19438
P15941 O15273
Q5RL73 Q8NBJ4
Q08211 O95741
Q14974 Q07820
P16581 Q86VP1
P35658 Q9UN74
P04406 Q99741
O60671 Q9H1I8
Q15751 Q9NQW6
Q15834 O75925
O75419 P63208
Q8TEB1 Q16181
Q15834 Q13200
O43561 O00116
Q9H1I8 Q14974
P30305 P07737
P13612 Q4V328
Q99558 Q13794
P42345 Q8TEL6
P37198 O14836
Q12834 Q8NHQ1
P37198 Q9UKN7
P13010 Q8WXF8
O94875 P30039
Q01831 Q16478
P49792 Q96QK1
P56537 Q9P253
Q9UGJ1 Q6V0I7
P68400 Q8TAP6
Q9UKB5 Q9NXU5
Q9HCU9 P40926
P68400 Q92598
Q96LR2 O94777
Q9UJX6 Q9NQC3
Q92973 Q8IYL3
Q92994 P02649
Q9HAV4 Q96RU7
P47874 P50454
P00395 Q92572
P30039 O00161
P39905 Q9UNN5
Q15834 Q9UKJ3
Q13077 Q92925
O14893 O15379
Q5T3J3 P19419
Q9UHD2 O75344
Q9HC73 Q9NP85
Q92994 O95359
P19447 P12272
Q9UBD5 O75818
Q5T3J3 P35520
P51587 P63220
Q9H5J8 P50748
P51116 Q9NZD8
Q12923 P53618
Q15582 Q9NRG1
P11940 Q9GZT6
Q6NUQ4 Q5M9N0
Q92845 Q9GZZ8
Q96G25 Q12770
Q99558 Q6NUQ1
P16870 O15514
O15239 P36543
P19438 Q12846
P43034 Q9UKI8
Q9UBU7 Q13421
P17480 Q9NPJ4
P59665 Q9UD71
P68400 O60383
Q15573 P03950
Q9HBZ2 P99999
O75787 P51587
P06400 P60228
P12956 Q9NYH9
Q02363 Q96QK1
P21246 Q92973
Q7L5N1 O00220
Q9H6J7 P15531
P38432 Q86XR7
Q9Y2X7 Q12791
Q6IB77 P50748
P01375 P78406
Q9P2J2 Q96EW2
P54253 Q7Z6G3
Q9NTM9 P28799
Q96QU8 P35520
P12004 P42701
P54253 Q6IA69
Q01081 Q6P1X5
Q15596 Q9H939
Q13077 Q9GZP4
Q06495 Q13069
Q96JH7 Q9ULW0
P02647 O60566
Q04637 Q96R06
Q9Y6R4 Q9BVC3
Q86YN6 P16284
Q13285 P09874
Q5FBB7 P21359
Q13190 P46777
Q99828 Q96GX8
P26842 Q9BVJ6
Q5VWK5 Q9Y678
P49736 Q9BQ66
P49959 P05112
P21246 Q9Y5K6
P05556 P27824
P02647 Q12955
Q9NS69 P05067
P21246 P40189
P49768 Q13224
Q9BQD3 P04278
Q99436 O60383
O15085 P07737
O14777 Q9UMN6
Q9NQS1 P30154
P05556 P04406
Q99828 Q9NRX3
O14617 Q9BZI7
P15927 P37287
Q99558 O60383
O76003 O43663
Q00610 P22314
Q12888 P51116
P78346 P29083
P04183 Q13432
P13611 O14727
P54253 P51617
Q92597 Q9UNN5
P51587 Q9BRR6
P03372 P40933
Q9P2H0 Q03181
P05019 O15014
Q13561 Q8WUX9
P68400 Q15477
Q9BWC9 Q9BXR5
Q02363 P21580
P35222 Q9UBS8
P68400 P21580
Q9NSA3 P08865
O15533 Q9GZT6
Q15834 P32927
P49356 Q15633
Q05048 P51398
P35222 Q96T58
Q8NHQ1 P50542
Q15834 P43308
Q9HB96 O95721
Q8IU60 P55042
P05067 P49247
Q00610 P61201
P02489 Q9NTJ3
P12004 P23396
Q15834 Q9Y2D8
P06400 P04141
Q13190 Q16514
Q03013 Q99698
O00257 Q9NWQ8
P06400 Q15011
P03372 P04075
P36542 P04278
Q8IYF3 P35869
O75460 P41159
P12004 P13010
P05556 Q14204
Q5T3J3 O95084
Q96IP4 P09919
O94818 O60613
Q5T3J3 Q07021
Q5THR3 Q01780
P54253 Q9BZW7
P0C1Z6 O14832
Q9UBZ9 Q96H20
Q03167 P52209
P27824 P43489
O60763 Q9NTM9
P15248 Q15181
P35222 Q16533
Q15834 Q00610
P54105 O15273
O14920 P19838
Q96G25 O00499
Q92542 Q9H5J8
Q9NX18 Q5VST9
Q13873 Q8IYF3
Q96T91 O95544
Q8NBJ4 Q8WZ42
Q969R5 Q14676
O15117 Q5SXM2
P38432 P05067
Q13190 P51809
Q9Y3C7 Q13432
P78527 P16070
Q96EB6 P61201
Q9UGL9 P30990
P21246 P14866
P62258 P02545
P29122 Q9NXB0
Q9BUB5 Q96QK8
O14980 P81172
P51116 Q9Y5K6
Q9BT78 P25100
Q9Y5N6 Q9NZJ5
Q9P2H0 O60895
O43752 Q13033
Q9UMS4 P32418
Q9HB96 Q92979
Q9HAF1 Q9BUB5
P62081 P12270
Q96T58 Q9P1U0
Q04637 Q96ES7
P54253 Q7L590
Q12834 P12004
P30260 P07738
P02652 P15313
P46379 O14746
Q15388 Q9Y4H2
P54253 P03372
P05556 Q15118
P51610 P12004
Q9BTP7 Q15102
Q5T3J3 P98161
Q16576 P19419
Q09472 P40855
Q9UGJ1 O75716
Q08999 Q15583
P03372 O00189
Q7L590 Q03431
Q15465 Q9UQB3
Q9UBU8 P18428
Q09472 Q969H0
Q99547 O15315
P04437 O95373
Q96FZ7 P19419
Q14676 Q9NRI5
Q99836 P16410
Q07889 O95999
P51946 P0C0L5
Q9UKV8 Q9NQW6
P54253 Q9BZZ2
Q6P1J9 Q9HAW4
P06400 Q96HW7
P35222 Q08334
Q99705 P46952
P19419 Q9UQB3
Q03135 P05019
Q99689 P40200
Q14005 P36542
P35244 Q9UFF9
P21246 P06307
O14777 P19838
P62753 Q05519
P55058 Q9Y3T9
P51946 P27635
P12004 Q7L5D6
P13612 Q99627
P68400 Q15645
O95870 Q92828
O43747 O96006
Q5RL73 Q9UJX3
Q9BVJ6 Q9UI26
P06400 Q9Y624
Q9H3H1 Q9NYG5
Q9BXR5 Q9Y6W8
P35222 Q9NXU5
Q99558 P40189
Q9NQS3 P08922
O94875 Q9BVW5
Q5T3J3 Q9BZI7
Q9H1I8 Q13432
P20382 Q92934
P21246 P35221
P06400 O15379
P06213 P26599
Q9BXR5 P41273
P27824 Q9Y2T3
Q14974 Q5JY77
Q03135 P29274
Q9UBW8 P20823
Q9NYB0 P01189
O60238 O00422
Q14643 P25208
O60763 P07766
Q9UPT5 P00374
P46977 Q66LE6
P54253 P01127
P19447 O75528
Q5RL73 Q9GZT8
Q86U86 Q9P2K6
P12956 Q9GZT6
Q9P0U1 Q9Y2L1
Q9H7U1 P62380
Q5RL73 O14836
Q99836 Q14181
P30519 Q9P2H0
P35222 P49917
Q9GZR7 P18509
P51116 P29475
P40855 P63208
Q9UMX1 Q8N3K9
P49407 Q8NBJ4
Q5JVF3 Q5VWN6
Q5RL73 P12318
P51116 P49450
Q5T3J3 P22234
P05060 Q96BI3
P49454 Q08211
P09132 O00220
P04183 P49903
P07101 P06213
P04114 Q6ULP2
O14958 Q9H8K7
P51398 Q8WVR3
P46379 Q5RKV6
Q99689 Q5T5C0
Q99558 P02768
Q13094 P52434
P18428 P01185
P18858 Q9UBW8
O43752 O60566
Q9BQ66 P16150
P12956 P08571
P62380 O14832
Q00403 Q9H2M9
P06400 P04179
Q9H1I8 Q9NRX3
O43929 P49768
P15529 O15145
Q13190 P40189
P04406 Q9H633
P27694 P52948
O43929 Q9H2X0
Q03701 P46100
O14746 Q9GZT8
Q9H7U1 P37198
Q96I23 Q9HBM1
P68400 P54253
P05067 Q9NQC3
Q5RL73 P53618
Q9Y6D9 Q14940
Q13077 Q9NZ52
O95831 Q92624
P26368 A6NE52
P30305 P62380
O43747 O75354
Q8N668 Q9UKI8
Q07817 P02489
Q5RKV6 P29274
O00267 P13984
Q8TDH9 O95084
Q12972 Q9UP83
P51843 Q9P2S2
Q8NEA9 P55789
P26368 Q9Y421
P07602 P16870
Q7L5N1 P03372
P55058 O15381
O14920 O60925
Q9H1I8 Q96SB4
P03372 Q03167
P23921 Q15388
P98164 P00480
P10451 O60566
Q15543 Q5FBB7
Q09472 Q9UGJ1
Q9Y4C2 P48552
P46379 Q86YV9
O15534 P08571
Q9NRG1 Q15642
Q03468 P20823
O00189 O43502
Q9NQT5 P99999
P31785 Q9GZX9
P19447 Q8WV28
O43395 Q96FZ7
Q93052 P49903
P06213 Q49AN0
P02647 O43633
P14866 Q6UB99
Q9H081 P12318
Q9BQD3 Q05707
P54253 Q13563
Q13569 P02766
Q9H8T0 Q9HC77
P25054 Q09161
Q8IZH2 Q8WW01
Q9P2H0 P62258
Q9Y2H0 Q99497
P78527 P06213
P61201 Q9NXB0
P15927 Q5RL73
O60907 Q01113
Q9Y6H5 P60228
Q9HAW0 Q86XR8
P02751 P60228
P21246 P22314
Q7L5N1 Q9ULC0
O15273 Q9Y4P8
P99999 O00154
P54253 Q9NSA3
Q9Y3C7 P0C1Z6
P06400 O15116
P05060 P52948
P49407 O60610
P09874 P32780
P09874 Q9GZP1
P29475 Q9P2M1
Q13190 P19447
P49815 P12004
P51809 Q9UKN7
Q9NS69 P35869
P01042 P40225
Q96ID5 P04278
Q8NBJ4 Q9Y4E6
P60468 Q6UWB1
P11532 P08519
O76061 P46777
P36543 Q969N2
Q13563 P09086
P04278 Q9Y3M2
P21246 P00813
P03372 P53618
Q9HCN4 Q86WX3
P05060 P01583
Q9UHF5 Q13596
P51946 Q15493
P15941 P08865
P06400 Q9UJX6
P17480 Q13867
Q9UK41 P29475
Q05586 P18428
Q15542 Q9HCB6
O96008 Q9UP83
Q15834 O60383
Q96ID5 Q96HR3
P68400 Q6ULP2
O60921 Q07021
Q5T3J3 Q5T6C5
P04278 Q15904
P35222 O95793
P49768 Q9H7U1
P35222 Q8IVF5
Q9UKR5 Q9NWQ8
O43929 Q5T3J3
Q9HB21 Q9UKJ5
P46527 Q86US8
O00161 Q96J94
P21673 O60925
Q13190 Q5T3J3
P20742 Q9BVW5
Q9NQS3 Q96EY5
Q15834 Q9Y624
P49736 Q15528
Q9Y2J4 P29475
P48357 Q92729
Q99689 P42702
Q9H5Q4 Q8WY41
P30533 P43351
Q13569 Q9UMX1
Q9UHI6 O75665
P46379 Q96G25
Q99689 Q9NZ52
P68400 Q8NBJ4
Q96SZ6 P04053
P54253 Q12846
Q5RKV6 O95793
Q96RU7 P56715
Q13077 P09327
Q9UJC3 Q86VN1
P49641 Q8TEQ8
O94875 Q02363
O43913 Q9NRX3
P62917 Q9Y2H0
Q9BVK8 P21359
P78345 P80188
Q9BWC9 Q8N612
O43747 P46777
P09693 O95747
P01042 P42345
O43913 Q14789
Q13563 Q6PIZ9
O60921 P51571
P32418 P08571
P12956 P37268
P47914 Q99627
P49354 Q96NE9
Q15393 P22004
Q9Y3C7 P27169
P51116 Q9NQT5
O60383 P50542
O95251 Q96SZ6
P54253 P28799
Q9HCU9 Q9GZT8
Q7L590 O76080
O95059 Q9Y6J0
P18858 Q15834
P18206 Q15834
P32320 Q9GZY0
P15260 P49792
P30039 O94776
P61970 Q12929
Q5UIP0 Q9NYH9
P20382 Q12834
P78345 P47901
P62258 P10997
P35222 O15372
P19447 Q9Y2J4
P11940 Q7Z7C8
P14778 O15287
P46527 Q9Y2D8
P35222 Q9Y6D9
O96019 Q9GZR7
P24666 Q9NRA8
Q13573 Q13077
Q16891 Q8TER5
O95149 Q14738
Q99547 P09884
P04406 P01583
Q9GZT8 O15126
Q14643 Q92828
Q8NC60 Q9UBW8
P53803 Q16570
Q9NQW7 P24588
Q9UN74 Q9NZD8
Q01780 Q9GZT8
P09874 O95359
Q13563 Q8WW38
Q9NXU5 Q9Y5Z4
O60573 Q9Y624
P17509 Q9UKI8
Q08211 P04183
Q8NEY8 P30041
P67870 Q96ID5
Q96PN7 P04141
P40189 Q9ULW0
Q6IB77 Q9Y2T3
P16455 O75665
O14788 Q9Y4P9
Q6IB77 Q9NXR7
P51398 Q96RK0
Q9H7U1 Q9UHF0
Q13432 Q14722
Q05586 Q9HCU9
P05556 Q13191
P49458 Q8NFZ5
P49959 P62277
P49842 Q9BQ52
Q16594 Q9H1D9
Q7L5D6 P60468
P62380 O75381
Q13416 P48552
Q14627 Q8IZH2
Q9UHD2 Q96EV8
Q15750 Q8IZU3
P68400 P58340
Q8IZH2 Q15464
P48552 O43823
Q9UBD5 Q15583
Q9BWH2 O14717
Q969N2 P33681
P52797 P61812
P06746 P60468
O14980 P49768
P06400 Q96G25
Q9UKT4 O75934
Q13573 Q969Y2
P21246 Q92759
Q96LR2 P02751
Q9GZY6 Q14524
Q03013 Q13393
P61218 Q9UBU7
Q9H6R7 P10827
A5YKK6 Q9BQ66
Q15648 P37198
P68400 O14980
Q96RK0 Q02383
Q8TE02 Q8NBJ4
Q99933 P23510
Q00597 Q9UNS2
P98164 P46527
P14778 P15822
Q14643 O75460
Q9H0E3 Q96HA8
P49815 O43914
P20366 P15822
P04141 Q8TEW0
P12956 Q9GZT8
Q9P2R6 O00267
P21246 P51003
Q9BVJ6 Q15029
P35222 Q8IXH7
P13611 Q9BTW9
P54253 Q5HYC2
P61024 Q9GZT6
P30533 Q8WXD5
Q6UX01 Q8WUM0
Q7L590 P51811
Q86WX3 Q8WW38
Q15528 Q99808
Q9UHD2 Q8TDH9
P03372 P46777
P49755 P51808
P68400 Q9UBU7
P68400 O15287
Q5T3J3 O95251
P68400 O00422
P51946 P99999
Q8WX92 O60241
Q9Y605 Q02363
P36543 P48357
Q92597 P22061
P20366 P21246
P10827 Q9NY97
Q13873 Q9GZZ9
Q6ZS82 P30050
Q8NHQ8 O60383
O75208 Q14974
P06400 Q01780
P29460 Q9UPW5
P62258 P30154
P54253 P26599
Q9HC77 P00374
Q92878 Q9HAP2
Q9Y6J0 Q9Y3I1
Q9NQB0 O43592
P15151 O14773
Q9Y4C2 O94776
Q96ID5 P61604
O95707 O43612
Q13765 Q9Y624
Q13416 P21583
Q15834 Q9H8T0
Q8TBR7 P01215
Q16665 Q9UMW8
Q9UPY3 Q9UIA9
Q8TAE8 Q9GZT6
P35222 P21246
Q16576 O43390
P98164 P78549
Q12834 Q99665
Q92597 Q6UB99
Q9UNN4 P14866
Q8IZH2 Q10570
Q01780 O75818
Q01831 Q9BVJ6
P56537 P50542
P15927 Q5JY77
O60671 Q6IA69
P25208 Q15464
P15509 Q8TDR0
Q9H2X0 P61247
P02751 Q8N668
Q05586 Q13144
P00540 P15018
Q9BRG1 P15018
Q99705 P08519
Q9H8T0 P02647
Q9Y3F4 Q96I23
Q9BS86 Q9BW71
O75925 O15503
Q9GZT6 P30050
Q9UNZ2 Q8WUH2
O15235 Q8IZU3
O76003 P08240
P51116 Q6PIZ9
Q8IYF3 P29084
Q5T3J3 P05067
Q9NRG1 P42701
Q9NRA8 O43379
P37287 Q12802
Q9P021 P54368
Q13077 Q9UEU0
P23258 Q8IZU3
Q53FD0 P22061
P21246 P15313
Q9BT78 Q9Y2J2
Q9Y244 Q9UHF0
Q13285 Q12874
Q70Z53 Q8N122
P13686 P42701
Q9NP79 Q13571
Q5RL73 P62380
Q8WWV3 P16410
Q07864 Q8NEC5
Q14181 P0DPI2
Q6VY07 O94777
O43747 Q9ULU8
P68400 P15151
Q92499 O15228
Q92989 Q2TAA8
P21246 Q14781
Q149N8 Q6IA17
Q5T124 P15531
O15287 Q13620
O60671 Q8IU60
O60500 Q13416
Q9UKX7 P04004
Q8TDC3 Q99627
Q9H0I2 P29460
O95084 Q00597
P18074 Q16619
