Q9BQ66 Q9BT49
P25024 P19876
O75531 P50402
P10451 Q8WYA6
Q8N4E4 P31946
P26641 O43927
Q9NYN1 Q15797
P36542 P30281
Q9NWT6 Q16665
Q96S94 Q01130
O95837 P41146
P07237 Q99689
P0DPI2 Q70Z53
Q02535 P15923
Q9H410 Q6P1K2
P62826 P06454
Q9UGJ0 O43741
Q9BQS6 P63172
P56537 Q9NWY4
Q8WX92 P18615
Q9ULZ3 P11831
Q9HCC8 Q70Z53
P61978 P63279
Q9HCU9 P25685
P51959 P04637
P21673 P61604
Q9Y3C7 P57735
P31942 Q99616
Q8NFQ8 O14656
Q07817 Q99638
Q6EEV6 O75312
O60573 Q9BQ66
P48551 P01574
Q96AB3 O95777
Q9UI14 P01112
P12004 P14635
Q13526 P14635
Q99750 Q9BT49
P62330 P20309
Q9NX47 Q9Y3D6
Q02556 P10914
Q15366 Q96PU8
P21796 Q07820
P04637 P36405
Q9UI14 P51116
Q9UNK0 P54920
P02753 P02766
P62258 Q92934
Q9NPD3 Q13868
P04637 P20042
Q99935 P02808
P17096 P10914
Q96SZ6 Q15078
Q13158 O15519
P20963 P06127
O14810 P63027
P26678 P16615
P36382 P17302
P50452 P07477
P32246 P10147
P0CG47 Q15038
P05111 P08476
Q13426 Q9H9Q4
P0CG47 P46527
Q86VE0 P35080
Q99689 O14530
P13693 Q07820
Q15843 P35869
Q16665 P40337
P62318 P62304
Q8WW43 P49768
P54710 P05023
Q15543 Q92804
Q9NPQ8 P08754
O96011 P40855
P10600 P61812
P20827 P02775
P35244 P15927
P56817 Q14242
P38159 Q5VWX1
P25024 P04899
P00492 Q9NRG1
P51681 P04899
O15514 P62487
P54619 O43741
Q9Y5S9 Q9BZG8
Q9BXY8 P47874
P07339 P01308
Q99750 Q8TAI1
Q02078 P15172
Q5RKV6 P20618
P52926 P84022
Q8TF74 P07737
Q16637 Q7L5N1
Q9NPQ8 P50148
Q9Y2S7 P12004
O00189 P08962
P50148 P35368
P38432 Q6BCY4
P04183 Q13432
P08246 P55085
P04234 P27824
P14209 P02794
Q99750 O95336
Q96CW1 Q9UHP6
Q99627 Q7L5N1
P36542 O43570
P11487 P15880
Q56P42 Q9ULZ3
P18827 P21246
Q96B26 O15116
Q9Y421 Q9UNZ2
Q13569 Q13485
Q16181 Q9UHD8
P14672 Q8IYX3
Q8TDU9 P01042
Q99717 P09012
P00374 P07306
P10301 P10415
P35348 P25024
Q5RKV6 Q96B26
P14635 Q06413
O60506 Q14103
Q8TAI7 P83876
P03951 P01042
P62834 Q13158
Q5RKV6 O95777
Q9Y333 P62304
Q9BW11 P61244
P00750 P00747
Q9H840 P62316
O94777 O60762
Q08257 P02489
P80075 P51677
P63167 Q16656
P22626 P08621
Q9BUE0 Q9H944
P08246 P08519
Q9UQF0 P43007
P21246 Q96NT1
Q9NRX3 Q9GZU0
P25208 Q14919
Q6UXL0 Q9NYY1
P01225 P01215
P25788 P02511
P09564 P09382
P61981 Q9BZE4
P03952 P14210
P51636 P21728
Q14344 P21918
P51608 Q12824
Q08170 O14893
Q13432 Q12988
P20151 P01008
Q07812 P12235
O60682 Q99081
P02776 P13501
Q13352 P20248
Q96CW1 P16410
P25025 P19875
P67870 P20042
P05091 Q13432
Q01844 Q68CL5
Q11203 P02766
P48039 P49286
O15467 P41597
Q99627 Q9BT78
Q9HCJ3 P26599
Q15637 Q93062
P31946 P30305
P63167 Q9NRX3
P22748 P02730
Q14919 Q9HBM6
P01112 O00212
Q9H444 Q7LBR1
P38159 Q9Y580
P55789 Q9H1I8
Q9Y294 Q9UK41
P43088 P41222
P60033 P21926
P61956 Q9H063
Q8NHY5 Q6WBX8
P28325 P25774
P05387 P05386
Q86X55 Q15717
O14744 P27348
Q15573 O15446
P27824 O95990
P35080 Q99719
O96004 Q99081
Q86X95 O75446
P48039 P29992
Q96KC8 P01011
O14948 P19484
O60825 P27348
Q86X95 Q13573
P00742 P00750
Q15544 Q15543
P51681 P08754
O00327 P35869
P02775 P08311
P05154 P04070
P29992 P08172
Q07820 Q07817
P01040 P07711
O95870 P09651
P01562 Q00978
P60896 Q5JVF3
P84022 Q9Y5J3
P07093 P00734
P30305 Q04917
O15244 Q16633
Q9UNK0 Q9UEU0
Q9UHD8 Q14141
Q99616 P51681
Q15102 Q5RL73
Q96CD2 Q96BT3
O75528 O00422
P25789 O14818
Q12981 Q07817
P0CG47 P54252
Q7L5N1 Q8IYL3
P01112 P30556
P55089 P41159
Q6ZVK8 Q96CG3
P46527 P20248
Q16637 P62304
Q9Y2U8 Q15796
P25774 P03973
P62312 O15116
Q9NVP2 P68431
Q15366 P26599
P07738 P04406
Q16695 P55317
P49286 P08754
Q92904 Q96EP5
Q14654 Q15842
P00167 O00767
P84022 P19532
Q99895 P01011
P21246 P47756
P13686 O14737
O95777 Q16342
P21673 O60512
Q14442 P37287
O75344 Q9Y5B8
Q13253 P12643
P49366 P32969
Q05519 P26368
P57082 Q96IP4
Q7LBR1 O95630
P26599 Q96PU8
P51681 P09471
P38936 Q9NPI5
P04179 Q9H0R4
P21731 P62491
P34913 Q9UFN0
P67809 P35637
P25789 P06681
Q14344 P25116
Q96EC8 Q9BWQ6
P01127 P07910
Q7L5N1 Q92905
Q12983 Q07817
P05090 P0CAP2
Q08722 P41231
Q9NQ87 P84022
Q99750 Q96LJ7
P38159 P51116
P01215 P0DN86
P08754 P50052
O75818 P78346
Q14344 Q99500
P50454 Q8N357
Q9HB90 Q76FK4
P07237 P04156
P01112 P10415
P50914 Q8WV24
Q16637 P08579
P51677 P51671
O00401 P50552
O75363 P63167
P10145 P25024
P63162 P49703
Q01844 Q9HC44
P01033 Q13011
O00401 O43516
Q9H446 Q9Y295
O75192 P40855
P61981 O43524
P13727 Q5RL73
P17538 P01011
Q99717 P22004
Q00577 P67809
O60936 P42575
Q13795 Q13485
P04406 O00231
P51159 Q7L5N1
Q92904 Q15038
Q9Y4Y9 P62304
P35269 P29084
P62306 P62316
O94777 P28068
P68431 Q9Y294
Q12824 P04637
Q6EEV6 P35232
P28072 Q9Y244
P07737 Q9UKR5
P24530 Q03135
P62487 Q92804
Q6PIZ9 P04437
O00161 P51809
Q8TAI7 Q15797
O75593 Q15796
P84022 Q9H7M9
Q13485 P98177
Q86X95 Q01130
P84022 O00231
O43427 P67870
Q8TF01 Q9H307
Q12947 Q00403
P26368 Q7Z7J5
Q7LFX5 Q9NQL2
P29992 P25101
Q9BRA2 P01308
Q8N668 Q7Z4G1
Q96BW1 Q8WU10
Q13485 Q14956
Q6P1K2 Q7L5N1
P52565 P15153
P51946 P32780
Q15796 O00231
P26641 O95257
P38936 Q02978
Q92930 P11233
P19429 P45379
O14817 O75508
O95751 Q9BXS5
P12004 P30307
Q9H1J1 Q01629
Q9Y294 P84243
P07858 O43291
Q03135 P17302
P62318 Q16637
P04637 P49888
O96020 P46527
P19338 P21741
P26718 Q29980
P47928 P15884
O60551 P42574
A9YTQ3 P27540
Q9Y3C7 Q9GZM7
P50148 P20309
Q9NRG1 Q96G04
P28223 P15104
Q99547 Q9UKR5
P31946 Q15287
P30101 P04439
P49662 P01584
P61604 Q13432
P35372 P41143
P15927 Q5RL73
P67809 P31645
Q14103 P67809
Q03135 P21453
P18825 Q14232
P61457 Q96HA8
P01579 P15260
Q8N668 Q86VX2
P58340 P63104
P21246 Q92963
P21741 O60635
Q92599 O43236
Q9NVP2 P84243
P04406 P04183
Q13253 P22003
P55212 O15519
Q9BZG1 Q15796
P50406 P50148
Q92597 P62753
P42574 P05198
P62070 P02765
P84022 Q99814
P21673 Q9H8M9
P55001 P15502
Q9NWA0 O43513
P01042 P02792
P60033 Q9C086
Q14106 Q9UIV1
Q969J3 Q9UHX1
Q9H8T0 Q14181
P09012 Q9BQ61
Q15185 P27540
Q16594 P04637
Q99750 P13349
P62306 P62308
Q8TC92 P49888
P02008 P68871
P49662 P50453
P28907 P21926
O15105 O43541
Q9UNN5 Q9H1I8
P51681 O60831
Q01844 P43005
P00750 P27797
Q9HCU9 O75190
P00742 O14880
P35670 Q9UJW0
Q03113 P16473
P78396 Q9BWF3
P55773 P32246
P00749 P05121
P10144 P42574
O60828 Q9UKR5
Q14135 Q06413
P00742 P00747
Q13526 P67870
Q03113 P21918
Q9P287 P38936
Q99814 Q9GZT9
P52434 P36954
P20674 Q7L5N1
Q9UKR5 Q96M11
P08246 P03973
Q92963 Q15796
Q9BW71 Q16695
P12872 O43193
Q14919 Q01658
P01009 Q9UNI1
Q71DI3 P06454
Q14469 Q02363
O95257 P62826
Q15119 P08559
Q15637 P10415
Q99814 P61244
P20042 P55010
P04080 P09668
P62258 P46527
O14948 O75030
P18827 P08311
P20618 P49720
P63211 P17050
P55774 Q13432
P22674 P15927
P07339 P29622
Q15796 Q07666
P49703 Q14232
P09455 Q9HCU9
P28223 O96000
Q01844 P62899
P21673 P49903
P35575 Q12778
Q16665 Q9H6Z9
Q9P0J1 P08559
Q8IU60 Q9UJ70
O43813 P27105
O95837 P08172
P27540 O15198
Q9H840 Q16637
Q13158 P51398
Q9Y287 P10415
Q01844 Q96FJ2
P63167 P15104
O15126 O00161
Q13158 O60936
P49755 Q9NZ42
Q9GZU7 P02686
P14868 Q13155
Q9P287 Q06609
P04637 P35232
P27701 P27824
Q53HV7 Q93062
P28074 Q9Y244
Q04917 O60565
Q9NQL2 Q5VZM2
Q14344 Q13304
Q15545 P35869
P08311 P01011
Q9Y3C7 Q9H1I8
O14657 O14656
P11831 P15173
Q5RKV6 Q96LL9
Q00403 P20226
Q99627 Q92905
Q07001 P02708
Q9NPB9 O43927
P57739 Q9BQ66
P51858 Q13485
Q9UNN5 P67870
P30518 P32121
O60383 Q16637
P61978 Q96IZ5
Q96IP4 Q96KS0
P63279 P49789
O43524 P63104
Q9H444 Q06265
Q9UIV8 P07858
Q9UHV9 P61758
Q9UPY5 Q14032
P55039 Q9H446
Q9BTM9 Q9H1I8
P07315 P02511
Q9HCU9 O75446
Q9NP99 O43914
P49703 Q15796
P00742 P08709
Q9NX63 Q9BQ66
O15304 P0CAP2
P01579 P38484
Q99717 Q13485
O14717 Q5RL73
P26599 P35637
P05452 P00750
Q15038 Q93062
Q93062 Q9NQ87
P49005 P12004
O75344 P04406
O00161 P54920
P48165 P30301
O43542 O43502
Q08722 P63096
P84022 Q13485
P35269 P21246
Q96BH3 P17542
P11831 P55211
P61981 O00273
P12272 P05231
Q9H237 Q9Y6F9
Q9BXS5 P51116
Q15796 Q13485
Q07812 O60936
O60383 P21673
Q9H9T3 Q15797
P35813 Q15796
P21728 P30542
Q9UMX1 P09651
P98073 P00995
O75494 Q13595
Q92990 P62942
P05155 P08246
P15153 Q15797
O60921 O60671
P48544 P48549
Q9H772 P12643
Q9H334 O15409
Q16873 P10620
Q99717 P26368
O95807 Q8WVR3
Q93062 Q9BTL3
P07492 P30550
P24864 P30304
P25787 P25789
P51681 P51671
Q14512 P05230
Q86X55 P84243
P26718 Q9BZM4
Q9UL45 Q96LR2
Q9Y2N7 Q9GZT9
Q13485 P46779
Q6EEV6 O43175
P30533 Q14181
P62633 Q15366
Q9Y2N7 Q16665
O00590 O15444
P00395 P13073
P21673 Q9UKR5
Q92597 P27824
O60383 Q9Y3C0
P30305 P67870
Q5RKV6 O15116
P02766 Q99689
Q96EB6 P16401
O43524 Q13485
Q9Y3E7 P62491
Q8WVJ9 Q06413
P63167 P61925
Q15363 P49755
P55316 Q14469
P21673 Q96F10
Q13227 P04637
O43427 P05230
Q9Y3C7 Q96G25
Q92934 P31946
P38159 Q9BTL3
P61247 O00422
Q8WXD5 P62318
O95630 Q9BXJ7
Q6PIZ9 P20963
P07315 P02489
P14672 P51665
P03951 P14210
O60895 P10997
P08311 P48061
P05091 Q6NSW5
P21246 P05386
Q8TDV0 P22466
O60894 P01258
Q8N1C3 O95166
P09471 P18825
P05305 Q7L5N1
O75821 P55010
O15105 Q15750
P55211 P42574
P49286 P27348
P21728 P00813
P49427 P0CG47
Q9HAT0 Q15506
Q8N807 Q96HE7
P81277 P49683
P02794 P51116
P22234 P51116
Q9Y294 P68431
Q8N357 Q969U7
Q6WBX8 O60921
Q13432 Q9NXU5
Q07812 Q07817
O95721 P09564
Q08426 P22307
P01042 P07711
P0DML2 O15198
P28070 Q15797
Q96FJ2 Q96LC9
O60894 P10997
P02792 P21246
P16619 P32246
P61981 Q14978
P53611 P20336
O60507 P32246
Q9H773 Q8NC60
P84022 P15172
P47900 P30542
P49286 P04899
O95721 O43752
P39748 P27695
P47901 P01185
P59780 Q92572
Q86XR7 P58753
P05090 P02652
Q15233 Q13526
P31946 O43521
Q9GZQ8 Q9BQD3
Q9Y3A3 Q9Y3C7
Q92481 O95619
P49354 P01112
P48039 O00264
P04637 O15126
Q96KC2 Q13485
Q9NPQ8 P09471
Q13573 Q15796
P63279 Q8IVD9
P55212 P61289
P07858 P00797
P43320 P02511
Q9NZD4 P0CAP2
Q9NZP8 P00738
P07910 Q96IZ5
Q96PU8 Q9NTK1
Q8N2M8 P84022
P10415 P16615
Q13526 Q15390
Q96PU8 Q93062
P23945 P62987
P62310 P62318
Q08170 P35637
P63104 P62258
P26717 P13747
Q9UJ70 O95777
O95751 P51116
Q01844 Q5VWX1
O75528 Q96ES7
Q13485 P19532
Q9Y282 Q969X5
Q9UMX3 Q16548
P09341 P25025
P04437 P04439
Q9H211 P0CG47
P46527 P27348
Q9H840 Q8WXD5
O95721 Q96LR2
Q92876 P01008
Q01844 Q15365
P29466 P01584
Q99616 P51677
P58062 O15235
Q86SE5 Q9NVV9
Q6X4U4 P18075
Q9HD36 Q07817
Q99750 Q9NQX5
Q9UL19 P01112
Q99750 Q8WXS3
O00161 P63027
P30419 Q9Y689
P30307 P20248
P24530 P14138
Q6RSH7 Q16665
Q9Y5P6 Q96IJ6
P08246 P09919
P07498 P05814
O43680 P15923
P48039 O60762
P38936 P30279
Q99814 O00327
P01040 P07858
Q9H4E5 P42768
P10523 P08172
Q9UK22 P02765
Q13432 P49903
Q99750 Q9UKJ5
Q9NVP2 Q9Y294
Q9Y4X3 P46092
P24522 P38936
Q9UI14 P20340
P49770 P05198
P03886 Q16762
P38432 P61289
P24158 P55085
P61981 P31943
P62312 P62316
P07992 Q96S82
Q9Y258 P51677
P48039 P27824
O95969 Q13296
P19429 Q9UKA8
Q9UHY8 Q99689
P78381 Q99750
P04439 A0A5B6
O00231 Q5RL73
P07858 P03973
P55316 Q15796
P43320 P02489
P61981 P11940
P51809 Q9H3Z4
P04637 Q9BWC9
P56134 Q9NVJ2
P61981 Q14739
O15519 P42574
Q9HBM6 P04637
Q9NR28 O15392
P62491 P49810
Q13485 O00231
Q06323 P56537
P36542 Q9HCC8
P19532 O75030
P42574 O75822
Q5RKV6 Q9NQT4
Q99081 P41134
Q14653 P05120
P20366 P25103
Q96AY2 Q96NY9
P04439 P35659
O60256 Q8N8Q3
P50454 P21926
P30874 P63096
P29466 Q14116
P50148 P28223
Q9UK45 O15116
P55899 P61769
Q99717 P23246
Q9Y535 O75575
O15392 P42574
P34741 P14210
O60832 P26641
Q5H8A3 Q9HB89
Q92572 Q14108
P23946 P07737
Q03013 P04637
O14925 Q99595
Q96B26 O00409
P12980 P15923
Q9UBY5 P04899
Q9UBU3 P41159
Q13253 P18075
O75586 Q15796
P13984 P29084
P21796 Q15388
P51677 P02778
P00167 P99999
Q01658 P20226
Q8IVH2 O15409
Q969P5 P63208
Q14232 P05198
Q9BW83 Q9Y547
P55899 P23280
P30304 P31946
O95777 P62310
Q13568 Q14653
P51114 Q06787
P68871 P69905
Q07812 P27348
P0C1Z6 P15923
Q15287 P62995
P61981 P23921
Q8TC92 P26641
P15927 Q15011
Q9UIV1 P78543
P58753 P20963
P31942 P62701
P22626 P40337
Q99547 Q5RL73
P31947 P05198
Q9BV40 P63027
Q99819 Q15669
Q15771 Q15797
P54105 P14678
Q96NY7 P21917
Q8N668 Q9H0A8
P13686 P15927
O00189 P13473
P13984 P27540
P29972 Q9BQ66
P46527 P30281
P05089 P78540
O00590 P80075
O14893 P62316
Q14181 Q9H1I8
Q96FJ2 Q9P2Z0
P01579 P01375
P12004 P13051
P04439 P61769
P55103 P09529
P33240 P26641
Q9H228 Q03113
Q6EEV6 P52565
Q12988 Q96G25
Q96DW6 Q9UGY1
Q8N668 Q86X83
O75628 P62258
P46098 P27824
P05154 Q7L5N1
P01112 P30307
P24385 P38936
Q13485 Q99805
Q7Z7C8 Q15544
Q6ZVK8 Q9BPX1
Q9UNI1 P05814
Q92905 P61296
Q9UJW9 P15927
Q96A73 Q9UGY1
Q8IYX3 Q9BQ66
Q9NYX4 P21728
Q9Y2P4 Q0P6H9
Q02094 P06028
Q8TA86 Q01081
P61981 Q15750
Q9Y696 P63104
Q01844 Q8N4F4
P25025 P49407
P30519 Q9Y3C7
P63104 P21731
O95944 O43914
Q05519 Q07955
Q5RL73 Q16594
P30101 P55017
P06858 Q9H1I8
P00492 Q96HA8
O00212 Q15796
P01033 P24534
P22888 P01215
P27707 A0JLT2
P08246 P01011
O95190 P11926
Q96S94 Q16629
Q9UKR5 P56282
P10523 P08100
P35348 P35368
Q15274 Q9BQ66
O00254 P08311
Q01844 O60682
Q96LC9 P10415
O60573 Q13541
P32239 P06307
P08247 P63027
Q96J77 Q16890
P67812 Q8N357
P78358 Q30154
Q01844 Q9H467
O96004 P15923
O95870 Q96KC8
Q02363 P13349
O43914 Q9NY25
P62834 Q9UNN5
Q9H410 Q9H081
P68871 P62341
Q6EEV6 P05549
Q9P2R7 P22557
P19338 P05455
P52565 P60953
P51665 P62820
P49901 Q9BQ66
Q86UU9 P29371
P60174 Q9Y234
Q9GZM7 O15198
O60506 Q16637
Q9UBK2 P19338
Q6PIZ9 P07766
Q12972 Q5RL73
P02775 P25025
P25788 P25789
Q99967 P05549
P10321 P27797
P21246 Q86U06
O95994 Q9Y3C7
P48307 P03952
O75056 P21741
P05154 P06870
P01222 P16473
P61981 P02768
Q9NZC7 P0CG47
P16473 P27797
Q9UHF4 Q9NYY1
P61956 Q03188
P06858 Q02543
P07766 P19338
P13686 P10451
P36575 P0DN78
P19440 P19397
P49703 Q13432
P42574 P49768
P84022 Q9UEE9
Q9Y328 Q8N357
P21246 O00303
P22570 P10109
P61981 P15880
Q06787 P19338
Q9UI14 P20339
P62310 Q9Y333
P09693 A0A1B0GX56
Q02539 P24522
Q5JR12 P63279
P12525 P61244
P16473 P29992
P49662 Q14116
P01229 P04899
Q01844 P81877
P62308 Q9UKR5
P01732 P04234
P09529 P08476
Q9BUE0 Q9NWA0
P08311 P55085
P41227 P11245
P13236 P51677
P40925 P21695
P12643 P50553
Q14469 P47928
O95870 P48201
Q15185 P25685
Q8IUC6 Q15629
P69892 P68871
P16473 P27824
Q7L5N1 P04637
Q15388 Q99689
Q99436 P49720
O60232 P51946
P29972 Q99750
Q01844 O95336
Q9NZD4 P69905
Q96CD0 P63208
P55916 P61981
Q8N5F7 Q9NVV9
P55851 P61981
P04637 P04792
O43633 Q9Y3E7
O95837 P32246
P63104 P30305
P51681 P50148
P50552 P42768
Q9H211 P12004
Q9BQD3 Q9H8S9
Q99578 P01112
P63162 P22087
Q7Z7J5 Q96BY2
Q9UL45 P02730
O95218 P08621
P61981 Q9Y6A4
P05060 Q6IBS0
P21246 Q9BTY7
Q9UBK2 Q16656
P84103 O14893
Q9NYN1 Q15796
P20042 Q13432
P07858 P01308
P04637 P0CG47
P0DI81 O15247
P23409 P41134
O60678 Q86U42
O76075 O00273
P17693 P61769
P49755 Q96BI3
P06858 P27797
O14744 Q9NTK5
Q01844 Q16630
P50616 Q9UIV1
Q9H0T7 Q9UI14
O00631 P26678
P60900 P25787
Q13485 P57738
Q96Q80 P01009
Q8N357 Q9GZW8
P30793 Q9ULW5
Q9NRJ3 P46092
O60563 Q00577
P08700 P01112
Q8IUX4 Q9HC16
P24158 P15502
P51398 P35869
P00747 P01008
P23946 P14138
P21453 P08754
Q13585 P48039
Q92905 P55789
Q9UHD8 Q16665
P50453 Q13432
P18428 P49913
P20036 P04440
P61457 Q6ZVK8
Q9NQ87 O15198
P32239 P32238
P48039 O95292
Q6EEV6 Q13162
P12004 P30281
P15813 A0A5B6
P01375 P24158
P78556 P51684
P13501 P18827
P22888 P0DN86
P84022 P98177
Q9UHF0 P29371
O95257 P14635
P60568 P01562
O60507 Q14242
P05230 P67870
Q96PU8 Q9UKA9
Q8TAA9 P27701
P38432 Q9NR22
P01225 P0DN86
P04637 P32745
P04637 P05549
P16473 Q5JWF2
P24530 Q14344
Q96B26 Q9NQT4
P61254 O43390
P15884 Q02535
P09211 P21246
Q01844 Q14576
P00167 P05093
O43752 O75379
Q07325 P51677
P35414 Q9ULZ1
O15205 Q13257
O43597 Q9BQ66
P30793 O95433
Q06830 Q14653
P62826 Q15797
Q14654 Q96CW1
Q16665 P27540
Q13526 P30307
P63208 Q9NRD1
Q92851 P55212
Q92934 P10415
P19484 O75030
O75419 P38936
Q96RJ3 Q9Y275
Q15427 P49842
A0A5B6 P04234
P21673 Q96BY9
Q9UK22 P63208
P62820 Q16658
P55851 P31946
P42574 P05549
Q96QR8 Q00577
Q9Y2D1 P49427
Q96EY1 P38484
P14678 Q9UKR5
Q92806 P21917
P01009 P08311
O95721 P51809
O15116 P28074
Q9NWA0 Q9Y3C7
O95169 Q9NR50
P00742 P16403
O95059 P78346
Q9BVK8 O95870
Q13485 Q9BQ65
P10082 P49146
P49247 Q9NP79
P20618 P28074
Q9NWA0 O75586
P67870 P38432
P07288 P00747
Q13158 P48023
Q9H633 P78345
Q99819 P60953
Q13156 P35244
O95751 Q9NY61
P33240 Q99689
Q01844 O60238
P29622 P06870
P62820 O95907
O95832 O15551
P31946 P30307
Q96E40 P49903
P12524 P61244
Q99733 Q16695
P32969 P23396
P21246 O00231
O95990 Q9BQ66
P21673 Q13432
P57735 Q13485
P63279 Q06609
Q16514 P49848
Q5RKV6 Q9UK45
P05154 P00742
P28161 P09488
P00966 Q9H1I8
P62330 P27449
O60232 Q9BVV2
Q96CW1 Q7Z7J5
P17081 P07737
P15172 P15923
P31930 P99999
P78396 P46527
Q99623 P06454
Q6EEV6 Q9GZP4
Q14232 P20042
Q9Y6M7 Q9Y6R1
O00401 P07737
Q13021 P51636
P61981 Q96A72
Q9Y272 P04899
P51681 P13236
Q9UKT5 P63208
Q15843 P09936
Q8IUM7 O00327
P61018 Q9UI14
Q14088 Q9UI14
O00175 P51677
Q99627 P04637
Q9BTE0 Q15797
Q99689 Q7L2K0
P00740 P08709
Q9UBU3 P01303
O60383 O00231
Q96G25 O75586
Q15365 Q9UHX1
P61981 P07237
Q00587 Q93062
P56539 Q5JWF2
P07477 P08697
P62324 Q9UIV1
Q9BTY7 O95445
P23945 P62979
O43809 P08621
P10599 P31689
P38432 Q96HA8
P04406 P50453
P56537 P08559
P67870 P04156
Q96G25 O43513
P06454 P12004
P30307 P27348
Q9UBD3 P46094
Q14181 Q9BTY7
P00750 P05121
Q13232 P15531
O15552 P50148
P21462 P0DJI8
Q92597 P60866
P01215 P21246
Q9NZH6 P84022
Q14232 Q9BYD3
P41145 P30679
P26651 Q04917
Q86SG3 Q96PU8
P27701 P28067
Q92934 P61981
P02489 P02768
Q15038 Q9BSL1
P55064 Q99750
P61626 P15502
Q13242 Q15424
Q5VV67 Q16656
O75947 Q7L5D6
P41143 P32121
P08962 P01903
P18827 P14210
P08579 O43719
P30419 P04637
O75818 O75817
P68402 Q96BK5
Q96I23 P37287
Q9Y3C7 O95257
Q7RTS1 P15172
P30101 P01579
Q6P1K2 Q9Y3C7
P18505 P24588
P00734 P25116
O14966 Q9UK45
P63104 P04637
P22557 P53611
P05154 P00749
P67809 Q13242
P29508 P07711
P01229 Q5JWF2
O60921 P12004
O14625 P51677
Q9GZP9 P08582
P63279 P55854
Q16585 Q16586
O60383 O75569
P09467 Q9H1I8
Q15717 Q9BPZ3
P63279 Q92754
P11597 Q01844
Q04323 Q15797
Q96PU8 Q92530
Q12983 O60238
O76003 Q9BQ66
P36405 Q13432
P19388 P62875
Q969J5 Q9GZX6
Q07817 P10415
O43542 O75771
Q01844 Q9BPW5
Q9UKI2 P17081
P48029 P13987
P47756 Q9BYC9
Q16637 P62314
Q8IU57 Q8IZJ0
O95670 P36543
P51681 P13500
P01009 P17538
O00165 P01583
P11831 P35269
Q01130 P08621
P61978 O75525
P78396 P38936
P61981 P31947
P84022 P24158
O43927 Q99731
P04183 Q7L5N1
P51685 Q92583
O00254 P00734
Q96LM6 Q93062
Q13227 P78396
P36575 P25105
P26599 P57721
P38432 P14678
Q969D9 Q9HC73
Q13432 Q53FA7
Q8NHY5 O60671
P61978 Q9BTD8
Q9UK45 Q9Y4Y9
Q15035 P13984
P04792 P43320
P19099 P10109
O43908 Q9BZM6
Q13573 Q9H1I8
Q15365 P26599
P30872 O14744
Q99750 Q8TBE0
P63167 Q9UKR5
Q16594 Q12962
Q8WUD1 Q13485
Q96H20 Q86VN1
Q96I24 Q96PU8
P81877 Q9UBH0
P26718 Q8TD07
Q9H3Q1 P17081
P16671 P21926
P20337 Q13485
P62805 P49450
Q9UBS3 P63167
P48039 P62834
Q13571 P62987
P33240 Q13011
Q8N9N5 P04637
Q9NZJ7 P49768
P46777 P63241
Q8WXD5 P62316
Q8WU39 P55211
O14818 Q16665
P15153 P60953
Q86V81 P61326
P09497 O60828
P09668 P02818
Q15035 P20226
P62424 P0CAP2
P05091 P56537
Q9UI14 P51149
Q9BW71 Q16778
P62995 P38159
P09471 P18545
P63279 P27695
Q9GZQ8 Q9Y4P1
Q14103 Q9Y6M1
Q15185 P35869
P02760 P02768
P21453 P28221
Q15631 O75807
P49459 P04637
Q16514 Q15545
P49286 Q9NQX7
P00742 Q05329
O60563 P35869
P55316 O60383
A0A5B6 P04437
O75771 O15315
Q01844 Q92934
Q99877 Q9P287
P46527 P24385
O14519 O75956
P49721 P49720
P49913 P25090
Q16181 Q9NVA2
Q8WTS1 O60240
P51681 P13501
P22234 Q9Y3A3
O43236 Q99719
Q6EEV6 P08865
Q15119 Q96AB3
Q8IZJ6 O75600
Q99717 Q8WUA2
Q9H237 P04628
P20339 P30556
P19388 P53803
P33032 P42127
P21246 Q96CQ1
P51681 P41597
P49703 P18669
Q14582 P61244
P62070 Q13485
O14931 P13987
Q9NQ87 O15105
O75494 P08621
P10145 Q16570
P51679 Q92583
P52655 P29084
Q9Y2S7 P49005
P11166 P27105
Q16637 P62318
P51946 P04637
P78417 Q5RL73
Q9H410 Q96IY1
Q92905 Q16665
P60900 P25788
Q8IUW5 Q8NC24
P46976 O15488
P04637 P32780
O60507 P46091
P08246 P10646
O60269 Q9BQ66
Q99750 Q9P2T0
Q9Y3C7 Q86U06
O75888 P34741
P19397 P05112
P63167 Q9Y2B9
Q9H8S9 P26927
P01116 P49356
O95777 Q9UK45
Q96HR3 Q96G25
Q7Z7C8 Q16594
P50616 Q13485
O95997 P04637
Q9BQ66 Q08E93
P23528 P61981
P51686 O15444
Q6X4U4 P22004
Q16890 Q9NRH1
A0JLT2 Q9Y3C7
O95777 P37837
Q15365 Q5SZQ8
O94811 P04406
P20151 P05121
P25788 O14818
P04899 P25025
P62316 Q16637
P07737 Q13432
P49005 Q15054
P84022 P61244
P51679 P13501
Q9UBK5 P26718
P26368 Q9UKJ5
P46527 P16949
P15884 Q13562
P55899 P02768
Q6IB77 Q5RL73
Q01844 Q13485
Q92851 P42574
P63208 P20248
Q7L5N1 Q9BXR0
P49642 P04637
Q15365 Q15366
O75915 P43005
P57721 Q9UKA9
P52298 P52597
Q15388 Q8NEY8
Q16630 Q9BSL1
Q14344 P48039
P01111 Q13485
Q9BUN8 Q9BQE4
P30518 P01185
P08962 P01033
P00747 P25116
Q06787 P67809
P09012 P26599
