Q7Z444 Q9P2M4
Q8NFP0 O14745
P32243 Q15582
Q99501 O60671
P61923 P0CG29
Q96DR7 A6NCQ9
O14910 Q96PT4
Q8IZP6 P0C7W6
Q8N9S9 P05976
Q8N8K9 P59817
Q6NTF7 P0CB47
Q4G148 Q7LGA3
Q969S9 O15392
Q9NPB0 Q8NHG8
Q96BY2 Q96C11
P17535 Q9HBJ7
Q92841 P08133
O75844 Q9Y3E1
Q5VYM1 B4DX44
Q8N3F8 A4D1Z8
Q93045 Q96TA2
P06703 O94905
Q9BUY5 Q15599
O95391 O15111
Q504U0 Q2M2D7
Q9NSC5 P42680
P56377 Q2TBC4
Q96M94 Q99457
Q7Z4S9 O15524
Q9UKN5 Q93073
P06899 P48426
Q76MJ5 C4AMC7
Q8N328 P37173
Q9H9K5 O14656
Q9NWA0 Q6NW34
Q96PV7 A6NFQ7
Q9NSB8 Q15526
Q9Y620 O00321
Q96D03 P98077
P35998 P41970
Q8N4W9 O00716
Q9Y6N9 Q9NQI0
O43559 Q0D2H9
Q8N859 Q96B97
P40939 Q96KC2
Q8NFU1 Q5R3I4
P52306 Q5T1B0
P09493 Q9UN37
Q969P5 Q9UQB8
P40937 Q9BZM3
P20264 O60299
Q9P035 Q9H9E1
Q9NVD3 P33316
P27694 P56705
Q96N20 P28702
Q12840 P08754
Q63HK3 Q9UJY4
Q6ZW31 P35590
P50583 P15173
O95049 Q15835
O95716 Q9UBV4
Q86VQ1 O95696
Q99697 Q8TAU0
P30520 Q9NP90
Q9Y6J9 Q9NQP4
Q01534 O00237
Q16611 Q9HDB9
Q6ZMR3 Q8TB05
Q9H930 Q9UPR6
Q92834 Q9UKW4
P0C7X3 Q8IYN2
Q9UIG4 Q07021
Q9ULP9 O15254
Q14849 P50583
Q5CZ79 Q13422
P08134 O15259
Q8N8X9 P0DMV9
Q99633 P12081
Q00013 P50150
Q8NEZ2 Q9BQC6
O75437 Q9H3Y6
Q9P1W9 Q86YH2
Q9Y2B2 Q15306
Q9BWU0 P06493
P15882 O14972
Q7L2R6 Q8WYN0
Q8NA82 Q9NUP7
Q6ZRF8 P51648
Q7Z4T9 Q9H8T0
P61204 O75955
Q7RTV3 Q86TP1
Q9NP08 Q9UDV7
P61106 Q15327
Q709F0 Q5H8A3
O95475 O00141
Q6VVB1 Q969X0
Q8TBC4 Q86VE3
Q6AW86 Q92988
Q9NVU7 Q8ND82
Q92625 Q68J44
Q96NG8 P05015
Q86XR2 Q9H6I2
Q9UM63 P62304
P20265 Q8IZC4
Q9Y2G5 Q8NB90
Q9Y4E5 Q8N0U2
P0C5Z0 Q6P597
Q7RTT6 P51449
Q969W8 Q86VK4
Q8N328 Q8IYD1
Q96N95 Q96RN1
Q07912 P28330
Q7Z3H0 P36896
P46695 Q15935
Q9NQZ6 Q2TAL5
Q13156 P59666
Q96N96 Q6P1L6
Q9H8M7 Q86Y82
Q9UBL9 Q5JU69
Q9UM22 Q9UPM8
O95639 Q8IXR9
Q49AM1 Q8WVC6
Q99759 Q6UWJ8
P35790 A6NNZ2
Q9H853 Q86UT8
P26447 Q8N371
P0C7V6 Q9NRW4
Q70EL2 Q9NRD5
Q9Y2L8 Q6ZUS6
Q86YD7 Q969R2
Q8TDR2 O15527
Q13625 Q13884
Q5BJE1 Q6ZMG9
Q8NFJ8 Q76M96
Q9HAP6 Q9Y2U5
P32019 A0A1B0GTS1
Q8NCL8 Q9GZX7
Q96S59 P36888
Q01851 Q9BT49
Q8IYN2 Q9Y2H1
Q5VV17 Q9NT22
P25490 Q96BN6
Q6PL24 P18146
P27448 Q6ICB0
A0A1B0GWH4 Q14289
Q96DT7 Q8IZJ6
Q8N9P0 P04049
P17612 Q5T447
P16403 Q9HBF5
Q9Y689 O95398
Q9NPG3 Q9H0K6
Q8IZ16 Q9BQ48
Q9BPZ2 P67809
Q9NPB1 Q96C11
Q96CX3 Q13569
Q32M84 Q8WU79
P42331 Q9UH03
Q3V5L5 P08631
Q9Y6K1 Q9BSJ1
P78415 P01116
O95777 Q96DC7
O14813 Q8WTR2
Q9BTE3 Q9BQE4
O43318 Q7Z2W4
Q3MIN7 Q9H8W2
O43581 Q8IYT4
P02144 Q7Z713
O00231 Q86V97
Q5EE01 Q6PJW8
A6NGY3 O43474
P09960 Q9UPV9
Q9UQF2 Q9NZW5
Q8NAP8 P60468
Q96QS3 P0CB48
Q7Z353 Q9UJX4
Q9H963 Q8TDN4
Q9P2J3 O15315
P45954 Q6NXR4
Q9NTK1 O00161
O75506 Q9H8U3
Q15438 Q9UQR0
Q9BYE7 Q7Z6I6
P07988 Q86VP1
P22059 Q9UPM6
Q16594 Q5T9C9
Q6P435 Q9UD57
Q9H714 P62256
Q08999 A8MUK1
Q86XL3 Q7Z4V5
Q02556 Q96PU5
Q8NHP1 Q68DD2
P81877 Q96SE7
Q9BVL4 Q96EW2
Q92785 A4D2B8
Q9H1A3 P55273
O60294 Q96LZ2
O75449 Q00653
Q96RR1 P11310
Q8NCU4 Q96MF2
O14901 Q2NKQ1
Q9NYL4 P21397
Q99819 Q9NR83
A6NNJ1 P17023
P19099 Q96MH2
Q155Q3 Q96PN8
Q13617 Q969E4
Q15319 Q86WH2
A8MTZ7 Q86Y37
Q9NQ75 Q03112
O60284 Q9NRX2
Q13572 P15927
Q9H008 Q8N3X6
Q17RC7 Q15038
Q9NSK7 Q14781
P15407 P0CW21
Q96M32 Q96DU7
Q92598 Q71DI3
P35908 Q9H293
O14965 P20810
Q9H116 P24557
O75908 Q9H0V9
P07355 O00461
Q9NYF3 Q9BX10
Q8TBP0 Q9P2W6
Q86UD0 P43362
Q13098 P07948
Q9Y4L5 Q8WW59
Q8N972 Q9Y6X2
A4FU28 Q8WXI9
P50238 O43174
O95199 O60384
Q9H0N5 Q96FC9
Q9BZF1 A6NJG6
Q03112 Q6ZW61
Q96CP6 Q99567
P08758 Q96P16
Q03923 Q02539
Q9UHH9 P51817
Q9NR12 Q9GZT5
Q2VYF4 P55039
Q8N5S9 P04899
Q9H6Q4 Q8N8H1
Q5VWJ9 Q147U7
P50553 P57768
P31249 P10073
Q6NVH7 Q9BWG6
Q9C098 Q96HE9
P35243 Q9BWW8
Q99551 Q9NQB0
Q9NZ32 Q7Z3Y9
P17040 Q6EBC2
Q9C0I1 O76041
Q05195 Q9BYV8
O43298 Q9BRU2
Q96AW1 Q5JTD0
Q8WWF8 P0CW19
P62826 P31941
Q8TF61 O75496
A0PJX2 Q9BUZ4
Q96HZ4 Q8NBV4
Q01094 P28340
P15311 Q8N660
Q00653 Q6ZS02
Q9H609 Q9UM63
P0C0S8 Q8TF47
Q9BV35 Q92502
Q96EP1 Q9UNI6
Q96KR1 Q16665
Q01974 O14639
A0A1B0GUA7 Q13618
Q8NCN4 Q5TC82
O95249 O00458
Q8N2E6 Q9NRX6
Q8TE49 P0C7V0
Q16650 Q6ZN66
Q8TAC2 Q8TB05
Q5SZL2 A8MZ26
Q00536 Q569K4
Q99459 Q86WR7
P14174 Q86W56
Q68EM7 Q9Y2D0
Q9H0V9 Q8TDN6
Q5VZ18 P0C869
Q14142 O43824
Q6ZMT1 Q8N3X6
Q86Y38 Q07912
Q9NZK7 A8MT65
P42680 Q13158
Q5VVQ6 Q9GZN2
Q96F83 Q8NCV1
Q96LP6 P0DJJ0
Q6UWI2 P31269
Q9Y4L1 Q8IU85
O95278 Q53G59
Q14684 P01571
Q9HAW9 P49589
Q8NCE0 P49427
Q8WZ26 Q13873
P13378 Q8TE67
Q8N573 O60658
Q5T7P8 O95600
Q9BZY9 Q13323
Q8NG66 Q9Y3D0
A8K554 P01210
Q71DI3 A0A183
Q9NVV4 P52741
A6NIR3 Q5JPI9
P42336 Q9NU02
Q9ULG6 Q92851
P40429 Q5TYW2
Q96DZ1 P63267
P51654 Q9P2H5
Q9UJW0 Q5VUJ5
Q9NY93 Q6MZZ7
Q8NA72 Q9Y6Q2
Q5VYY1 Q6ZTY9
Q8WW36 Q9Y3Q8
Q8WU10 Q9UH99
Q9BPX1 Q92993
P53539 Q14164
Q8N806 Q9UKW6
Q96Q07 Q9BYI3
B0FP48 Q8TF42
P0CJ90 Q96JF6
Q86UD0 P0CAP1
Q8NG68 O15146
Q9NQG7 P31273
Q13064 Q96C57
Q7Z2F6 Q9BRX5
Q9NQZ2 Q92502
Q02548 Q6ZS72
Q9NPF5 P15428
Q96CM4 Q96LJ7
P37023 A0A1B0GVS7
O00212 Q9BUY5
A8K8V0 O15392
Q9NVS9 P36404
O00308 Q92870
Q969F2 O43711
Q8N4J0 Q8IYY4
O95067 P62699
P55160 Q00534
Q8IUQ0 Q12912
P21579 Q9Y6E2
P0CB47 Q70YC5
Q9UFE4 Q96G25
P25205 A6NFA1
O75436 P42127
A6NKF2 Q8N485
Q99426 Q9UIF7
Q6ZN92 Q9NXR7
Q96EQ8 Q9Y3C5
Q86UE8 P0CJ89
P28482 Q9BRB3
Q8WTU0 Q494X3
Q9Y4W2 P09923
Q52LJ0 Q8WVZ9
Q8WWN9 Q63HQ0
Q16836 Q6P3X8
Q9Y4G2 Q8IW40
Q8TDF6 Q9NRE2
Q9H496 Q8N142
P63128 Q9H5Z1
O15273 Q13438
A6NLU0 A6NKF1
Q9BV47 Q5T2N8
Q96NJ1 Q13227
Q8TF05 Q99807
A6NDY2 Q17R98
Q7Z3I7 A8K554
Q01892 P05388
Q9H1X1 Q16836
O75170 Q92783
Q9Y3I1 Q9P0K7
Q9Y3B9 P20594
Q96QC0 Q5JS54
Q9NS85 O60493
Q8WU17 Q9BY32
Q93084 O60264
Q14244 Q9UJS0
Q6PK57 Q8TDX7
Q92888 A8MYZ0
Q96P47 O60645
O95249 Q8N5J2
Q16665 P35869
Q9Y2E6 P98194
Q00597 Q86UP8
Q9HCS2 P51451
Q6VN20 Q15582
O95831 P35626
Q9NRC8 Q86V97
Q96D71 Q96S44
Q99952 Q9H0I3
Q9UGI9 Q5JR98
P08842 Q5T1V6
Q13526 Q495Z4
Q6PII3 Q9NU63
Q6ICG8 Q7L311
Q96FN5 Q6ZUJ4
O95741 Q9NZH4
Q4G0W2 Q9UBC5
Q8WZ33 Q9H8T0
Q16539 O60662
A6NKX1 P14598
D6RF30 Q9UQN3
Q96LX7 P60953
Q96SZ4 Q96EB6
Q08AE8 O00214
O43236 P54257
Q71SY5 Q5T6V5
O14733 P78414
Q96LW9 P53365
Q9UBQ5 Q6IQ49
Q7Z3E1 Q0VG99
Q9UJT2 Q4AE62
Q96A49 Q96NS5
Q8TCC3 Q96NJ6
P67870 P56704
O14829 P11172
Q6NT55 Q7Z398
Q5TCZ1 O75081
Q8N3Z6 Q86XJ1
Q9Y6R6 Q9HB71
Q96F15 Q7L1Q6
Q9HD34 Q06730
Q9NWX5 Q9Y6Q2
Q8TAM1 Q03933
Q9H8Y8 Q7Z2T5
Q9ULC3 Q9NRM2
O95263 Q8IY42
Q96J94 Q96MH2
P09382 Q8IWW6
Q6ZN03 Q86YJ5
Q8N129 Q9H5V7
Q8N2U0 Q8WVZ9
Q8N9N5 Q8NHW3
P21283 P80404
P02008 Q8WXF7
Q8N7G0 Q14139
Q9UBB6 Q96NI8
Q96E17 Q7Z5P4
Q96S94 Q5FWE3
Q8IWU9 Q8NA19
P49736 Q969J2
Q9UJL9 Q8WUU5
P18074 P14316
P62136 O75689
A0A1B0GVG4 Q9NRP4
Q8NFF5 Q96MG7
P33778 P23511
Q8NA69 Q9NR50
Q6ZRI8 O43781
Q6ZUS6 P35716
Q5SW96 Q70EL3
Q9NWM8 Q5JS13
Q9BQE3 Q16795
Q969P6 Q9NPC3
Q00577 A6NC57
Q2NKQ1 Q96KQ4
P20936 O60291
Q9Y4R7 Q96Q05
P31946 Q8IY51
Q9Y283 Q96NS5
Q9H6Z9 Q8TEE9
Q14142 Q9H7L9
O96006 Q9H0P0
Q13886 Q9NR55
P12236 Q9P2F9
A0A1B0GVM6 P12271
Q7Z3Z3 P31273
Q8WU90 P26885
P42330 Q96JP5
Q8N7A1 P55072
Q7L804 Q9ULC3
A6NEN9 Q13523
Q6UWJ1 Q8N5J4
Q8NFP7 A6NKH3
Q8IY81 P08842
Q8IXS8 Q8TF76
Q6UXP9 Q9BVR0
O60231 O95045
Q9P2I0 P06493
Q8IX03 P11171
Q8TDF6 Q96N11
Q7Z3V4 Q86U10
Q96RQ9 Q99811
P23769 Q4G148
P53990 Q96LP2
Q99501 Q6NUM6
Q6PF06 Q92530
P16219 Q5SW24
A0A1B0GTZ2 Q71F78
Q969P6 Q9NYT6
Q8NCN2 P53672
P54274 P69891
P35249 O94900
Q9NRC8 Q9Y2M5
Q99608 Q5VT79
Q9Y4P9 O75175
Q9BYZ2 Q9BR09
Q08AF8 Q6PII3
Q04771 Q8NBB2
O94810 Q8IZC4
Q9BXB4 Q96BU1
Q53EZ4 Q9H0H5
Q5SZJ8 P20936
Q9HA92 P05388
Q9NXT0 Q86WX3
Q6DKK2 O43633
Q8NBT2 Q12874
Q6ZWJ1 P18074
P25815 Q99952
A6NKP2 P05165
O95395 Q71F78
O75052 Q86WA9
Q9NP81 Q9H3H1
A0A183 Q14449
Q9UIJ7 Q9H1J5
Q6UX07 Q16610
P0CG30 Q9BXK5
P54793 Q6PI98
P20396 Q96EK4
Q504Y3 O43747
Q9UPT5 Q5VV41
O95948 Q9NY57
O94973 O95561
Q8IZD0 Q32M88
Q14512 Q96F15
Q32NC0 Q9BVC6
Q8NEG2 B4DJY2
Q13705 Q9Y3F1
Q6PIF2 P10276
Q8N129 P43357
Q6UXY1 P13232
P30085 O94874
Q9H8K7 Q9HD90
Q5XLA6 P86481
Q9NVV4 P48200
Q9Y6D9 Q9H1X1
P54277 Q9BRZ2
Q49AM1 O95631
Q9NP74 Q7Z3E5
Q9Y6I3 Q96N64
Q6ZNR0 Q9NV56
Q6STE5 P05937
Q16143 P36508
Q9Y6K9 Q9UKK9
Q8IZP6 Q8IYE0
P08842 Q9H930
Q2T9L4 Q5JVG8
B5MCN3 A0A1B0GVH7
Q75MW2 Q969Q5
P68871 Q9BPW9
Q9UQ88 Q8NB15
Q0P6D6 Q8N8H1
Q9HD90 P06899
Q96GC6 Q92619
Q8WXH2 Q9BXY5
Q969V5 Q9H5Z6
Q9H4T2 Q6UWJ8
P59074 Q96A19
Q10567 Q04741
Q8TF30 Q5SQS7
Q6PII3 Q96EF0
Q14582 O94906
Q9Y394 Q15776
Q9ULW6 Q330K2
Q9Y5Z0 Q2M3D2
Q9HCS7 Q6KCM7
Q96BN8 Q5H9L4
Q9GZZ0 Q8N0W5
Q7L591 P05013
P10911 P43080
A6NNE9 Q9HAP2
Q9Y243 P53778
O95600 P35240
O60716 Q9H0A9
O14709 Q9NX63
P35716 Q9BWT7
Q9P2Z0 P51523
P40425 O60806
P49721 P31274
O75541 P58340
Q12982 Q9NRY7
Q96EQ8 O14730
Q8WVV4 O75881
Q15771 P61160
Q96S94 Q9BQ48
Q9NX52 Q9Y5W3
P17858 Q9HAQ2
Q6ZUT1 Q13596
Q13608 O95861
A0A0J9YWL9 Q8NFJ8
O94832 Q6UX06
P62913 Q99612
Q86UA1 Q8TDD1
P43694 Q01831
P42566 O60296
P98170 Q96GC6
Q8IWF7 Q9UJX6
Q96N76 O00182
Q86YJ5 Q9ULV3
A6NNL5 Q96HB5
O14829 Q9UMX5
Q9H8W4 Q5JNZ5
P63279 O76027
Q8N2K1 Q9P2Q2
Q5SZJ8 Q5QJ38
Q9BRQ0 Q567U6
Q8NHG7 Q9H963
Q8N7S6 Q96PM5
P21399 O60942
Q9Y5W7 P51956
P26441 P08729
P07305 O43570
Q9NZV6 O95990
Q969K4 Q9Y3C8
Q96MK3 P16989
Q69YN2 Q9H0X6
Q6ZVZ8 Q8NDB2
Q9UL42 Q9UJX6
Q8TEJ3 Q5T749
Q9HCC9 P46459
Q9UKU7 Q96QG7
Q2VWA4 P78317
Q92551 Q8NDW4
Q99504 Q5TGP6
Q4AC99 E7ERA6
Q8N4L8 O14832
P07332 Q5TCZ1
Q8N7H5 Q8WVV4
P17024 A0A0J9YWL9
Q96F15 Q96HQ0
P20815 Q8TAV4
Q16772 O43581
P15502 Q99575
Q9NQC7 Q9Y312
Q3MUY2 Q6PCE3
Q8WWQ2 Q96J94
O60675 Q14847
Q5T681 Q4VC05
Q8NCU1 Q9Y2H8
Q494R0 Q4G0N0
Q8N5C8 Q9P2N7
A2RUB1 Q8WVK2
Q8NBB4 Q6GPH6
Q9Y2D1 Q02818
Q2M2I8 Q96NR7
A6QL63 Q6NXP0
P19622 Q9ULX9
O15178 P28330
P07902 Q96QU6
Q8WYJ6 Q92734
P61225 Q9UNF0
Q8N612 Q8ND76
A4D2H0 Q6ZMS4
Q06190 P62993
A8MQ11 Q9NZV6
Q8TE69 P50876
Q14168 P50222
Q8TCD6 Q4G0S4
O75069 P12980
Q969T7 A8MUV8
A6NNY8 Q8WZ33
P14091 P52740
Q9Y458 Q8WUS8
A0A1B0GTQ4 Q5XKP0
P41236 P0CG29
Q9BY42 Q6MZZ7
Q5T9A4 Q9Y673
P47929 Q13043
P62333 Q8N7U7
Q6P9G4 Q5T1J5
Q9HCK0 O15535
Q8IZ26 Q92730
O94889 P62952
Q92750 Q8IWL3
Q9Y5K8 O95447
A0A1B0GVG4 Q8IYW4
Q8TC94 O60225
Q9UFE4 Q8N556
Q9Y603 Q13613
Q9Y3B7 P0CB33
Q9BZM3 Q6ZV89
Q8N8J6 O43741
Q96KR7 Q92556
P17509 Q9NPB1
O95998 Q8NE28
Q96AX2 A0AVT1
P46695 Q6NXS1
Q8N535 Q6ZNG2
Q96Q11 Q9NP90
Q8TBF2 Q9H4T2
Q9BQP7 P43353
B4DJY2 Q3KNW1
P54760 Q8N5G2
P55851 Q8TCD1
O75069 C9JR72
Q14135 Q9HBY8
Q496A3 Q6ZN30
Q2M3V2 Q9NRH2
A6NCL7 O60765
Q8IYN0 A6NEM1
Q9NX18 Q6ZUL3
Q6IN85 Q8IWQ3
Q93077 Q6ZUS6
Q9Y2D1 P23526
Q15406 Q16778
Q9NV72 Q8WTU0
Q6P9A3 O75208
Q969R5 O43464
Q9H0M4 Q16695
Q8TD23 P40425
P28329 Q502X0
Q96LW2 Q9Y2P7
Q8N7U7 P22612
P31274 Q9NSB2
P23610 Q9NS61
P20671 Q9UJT2
Q07912 P54619
Q93079 Q7L3V2
P78412 O00470
P17516 O15127
Q9GZV8 A8MW92
Q9Y235 P55916
Q99807 Q96FA7
Q96F83 O43805
Q96PV7 Q5JZY3
P14735 O43474
O75886 O75449
O95759 P31271
Q8N9P0 Q6DN03
P42226 O15231
A8MTQ0 O95049
Q9UHG3 Q9Y2X7
Q5T0L3 Q9NWT8
Q4V328 O76021
Q7RTZ2 P53396
Q96JY6 O43301
Q9Y217 Q9NP66
Q8N392 P43304
Q9NZH5 Q8IWR1
Q71U36 Q96MK2
Q8NCJ5 Q92506
Q8N8E1 Q8TAP4
P78386 Q6V9R5
Q86T03 P60604
Q32MQ0 Q16670
Q9HA90 A8MT70
P08754 Q16696
P53041 Q9P2Y5
Q16539 P15421
P83859 Q15691
Q9HCE1 P14649
Q96NK8 Q15276
Q9BQ69 P02792
Q8WTV1 O15240
Q99417 Q86W92
P04264 Q9NVF9
Q96AJ1 O14948
Q96S90 Q7Z7H3
P59665 Q69YH5
Q8TB37 O95229
D6R901 Q9Y673
Q4G0S7 P21283
O75896 Q8IU60
Q9HC21 Q8IWW6
Q8TAB5 Q8WZB0
Q92541 Q17RP2
O43739 Q6ZU67
Q3KP66 Q52M58
Q9H3H1 P80404
P51668 A6NFT4
P51784 Q5VWT5
Q9HBH7 O43147
Q6EBC2 Q2TAK8
Q8TDG2 Q96H79
Q13368 Q7Z5M5
Q96IT1 Q6ZRI8
Q13286 Q14602
P0DPB6 Q9UP52
Q7Z3B4 Q96AH0
Q86YB8 Q9H489
O43242 P01215
O14920 A8MX19
Q13526 P04628
Q6P9F5 Q8IWW6
Q96IK5 Q5VV17
Q5FWF6 P26447
P0C221 Q9BWE0
Q9UL17 Q8TCB0
O00488 Q9HBT8
P32243 Q9HCX4
Q9NX09 Q92558
Q13126 Q9NZR4
P54577 Q92670
Q9BYV1 O60384
Q5T292 O00267
Q8ND04 Q9HDC5
P56915 O95685
Q8TAF7 Q9P2W6
A6NHG4 P48788
Q9BRP1 A0FGR9
Q9NZK7 O43741
Q8IYN6 P35557
Q49AM1 B1AK76
Q8WV74 Q8TDM0
Q5T0J3 Q9H0J9
Q9UHK6 Q8IZI9
Q06609 Q9NW38
Q9NS61 P08631
O43829 Q9UBX0
P51843 Q9HBE1
Q9UJU2 O95402
Q9BQP7 Q86UW9
Q7L0X2 Q9UHL3
Q6ZV80 Q147X3
Q9P2R7 A6NNB3
Q9NUU6 Q5VTB9
Q00536 Q8N6D2
Q9ULJ8 Q4G0G2
Q8WV93 Q16514
P42898 Q5JVL4
Q9HCP0 P55084
Q9C0J9 Q92759
P0C7I0 Q96S99
Q9NUW8 Q14587
Q9UQB8 Q14533
Q86TM3 P04899
P51589 P17020
Q9UJQ1 Q7Z4H7
Q8NDH6 Q3KNS1
A6NK53 P50993
Q9UHY1 P61077
Q8IZW8 Q9BU20
A1L4Q6 P52735
Q6PKC3 Q6P9A1
Q8N328 O75716
Q5JXB2 Q9NZ43
Q8N988 Q9HAW8
Q96GW9 Q5HY92
Q9BTA9 Q9BSJ1
P14652 P55347
A6NEF3 Q8NDL9
Q9UM22 P16383
Q9H293 Q9NP80
G3V211 P09429
P78317 O43615
Q6UXV4 Q2M5E4
Q9H074 P36507
P43378 A8MW99
Q15057 Q9NVX0
Q9HCN4 P55060
Q9BRV8 Q9H5L6
A6NJG6 Q9UNW1
Q9P1G2 Q9NTW7
O43435 Q86XI6
Q86VS8 Q8WXK1
Q08AF8 Q9H3E2
Q8TCD5 Q5T2N8
Q8N9B4 Q5CZA5
O95755 Q5I0X4
P00491 P06702
Q93050 O95847
Q96S53 Q9NPJ6
Q9BSQ5 Q9P2Z0
P17252 Q9UID3
P08949 Q5SZL2
B1AMM8 Q07343
Q6PKH6 Q5SQ80
Q13505 P08727
P49959 Q9BWF2
Q9BRX2 P04150
P53778 Q8N6V4
P62312 Q9H0N5
Q9NZL4 Q8NBI6
P23511 Q8NBB4
Q13542 O76015
Q9H853 O43772
Q86YD7 P28330
O15496 Q5T0B9
C9JRZ8 Q9UHD2
O43529 Q9H478
Q15669 Q5U5Q3
P82979 P78356
Q68D10 P60842
G3V211 Q7Z7C7
P11309 O15492
Q8N3J9 P78344
P49711 P43355
Q8TCI5 Q9BTM1
P27815 O75449
P56377 P41279
Q9UDV6 Q9Y330
Q9BQE4 A4D1Z8
P46108 Q9Y6K8
Q9NUL5 Q13470
Q96LW2 P01111
Q8IYN0 P57679
Q9ULZ2 P51178
Q86T03 Q16559
Q9H7X3 P0C0S5
Q6ZN18 O60248
P0CG29 Q8IY37
Q9NP61 Q6PF04
Q15286 Q9NV35
O95057 Q9HCK0
P31749 Q96JZ2
B5ME19 Q9NPF2
Q6PHR2 P31269
P46695 O43511
Q13105 Q96M61
P09211 P05013
Q5W0B1 A8MWA6
P08842 Q66PJ3
A7E2S9 Q02153
P60900 Q86UW9
P61968 C9J202
Q8IX94 Q8N7E2
Q9H4L7 P05013
Q7Z5R6 Q9BUI4
Q969T9 Q8IUR6
Q9H9H4 Q49AG3
Q9HA90 Q17RC7
P05026 Q8TCG5
P17022 O15428
P02533 Q96B54
P49841 P12235
P0C264 P43304
Q9UKD1 O14562
Q86W11 Q15599
O75347 Q9NP31
Q0WX57 Q86W92
P10914 P0C870
Q12934 P50151
Q8IWL3 Q7Z695
P49721 P43694
Q6ZN19 Q9H1J7
Q7LBR1 Q9NY47
Q96M63 Q9Y468
Q8N335 O00458
Q8N4T4 P62633
Q8N8Z3 Q9Y262
Q2VWA4 Q2T9L4
Q9BYX7 P82921
Q0P140 Q9BYD3
Q9H5Z1 Q9NS23
A8MZ59 Q8N6N6
Q5VZM2 Q96MT3
P58872 Q99878
P26441 Q13573
Q9Y586 A8MT19
P56179 Q5MCW4
A1A4S6 Q5SXM1
Q9Y577 O43567
O15034 P78411
P34949 Q8NDC4
Q9NWK9 Q6PIY7
Q6XPS3 A6NCM1
P49759 Q02447
Q8N8H1 P50443
O00570 Q5FWF4
Q9BSD7 Q9P1G2
A6NMY6 Q8TB72
P31947 P18206
O60243 Q92785
Q8IYM0 P10301
Q96HR3 Q9GZX7
P42773 Q96IX9
Q9UGR2 Q96PU4
Q9P1U1 P61601
P11310 A8MW99
Q499Y3 Q9NRY7
O75444 Q4G0G2
Q8IU60 Q96CF2
Q5TKA1 Q70EL3
P40424 Q9BQC6
P67870 Q5SZL2
O95678 P0CW27
Q9UHW5 Q13586
Q3ZCX4 Q9HCZ1
Q9H4A4 Q99623
Q68DI1 Q8TDX5
Q969J2 Q5EG05
Q96LJ7 Q9HB07
Q8WYA0 P19525
P54886 O75496
Q5T5F5 Q9H9T3
Q13098 Q13952
Q05215 P09919
A6NI47 Q8N9K5
Q14587 Q2TB18
Q86X02 Q9HBF5
P34932 A8MW92
Q9UH03 Q5VV41
P49589 Q9NQZ5
Q9H0N5 P06576
P16260 Q5VWG9
Q6NT76 Q86TP1
Q8WUK0 Q8WV07
P23193 Q9NQ75
Q06945 Q9Y259
Q7Z713 O00429
Q9GZZ7 Q96K62
Q96A08 A2AJT9
O96013 Q9BSM1
Q93077 Q6PI77
P28749 Q9BXB4
Q9H871 Q00536
Q9UJQ1 Q6NY19
A8K0S8 Q9Y383
P30046 P16949
P45973 Q99583
Q8N511 P51690
A6NDN3 Q53R41
A6NCQ9 Q96GD4
Q6ZMS4 O95677
O43812 Q9Y3D0
Q8IWE4 Q96L46
Q96F44 P62191
O75151 O75346
Q5SY13 Q5VT79
P62699 P49760
Q15545 P41161
Q5JS54 Q86YS3
O43482 E9PRG8
Q9NXR8 Q14849
E9PI22 Q03933
Q9P2J3 Q8IWY8
P68431 O75843
Q5JVG2 Q9UHF3
Q9UKK9 O60861
P50991 Q5W0B1
P00797 Q6ZWJ1
Q9HAU8 Q96G25
O95168 A0PG75
Q9UHJ3 Q02252
O94868 P36896
Q86YQ8 P25490
Q9HBY0 Q14994
Q93073 Q96TA1
Q5VTD9 Q96GS4
P98187 Q96N22
Q99653 P59817
Q9UBB6 Q8IZ16
Q96I34 P33176
Q8IZP0 P54819
A1YPR0 Q16352
Q9H9S4 Q9BWE0
Q9C0I1 Q8ND30
Q5W0Q7 Q7Z572
Q86UD4 Q9UPQ3
Q96NB2 Q7L523
Q8IV63 Q02410
Q96HE9 O00754
Q70J99 Q8N0T1
P36402 P20042
Q9UKS7 Q86T82
Q9Y473 Q96C12
Q7RTU0 O00238
Q9H8W5 Q01813
Q9H2A2 Q8IUQ0
Q92519 Q96KN1
P51159 Q8N9N2
P0C221 P40855
P63125 Q9HBH9
Q70J99 Q9BWU1
Q5EG05 Q01534
Q02833 P05388
Q86YB8 P45973
Q96D46 P54619
Q9NYR9 Q8N123
Q92882 Q9BV20
Q9NR30 O75290
Q8N5R6 Q9NR83
Q8IUZ5 Q9BTP6
Q9BY27 Q5HYJ3
Q9HAS0 Q8IYM2
Q5T2N8 P0CG33
Q8WUZ0 Q7Z5P4
Q8N4X5 Q13435
Q5T447 Q8NEL9
O15527 P49619
Q9BQG2 P19419
Q8N976 P14651
Q15431 Q9Y600
P62745 Q8IWL3
Q6ZMI0 Q8NCK3
Q7L590 Q16850
Q6ZS27 Q9UBF2
Q9NR30 A8K979
O00178 Q5TG30
Q8N680 Q6UWZ7
P35251 Q86TL2
Q9H7S9 Q96SB4
P62068 Q49AN0
Q9NYY1 O95376
Q494U1 Q68DV7
Q4G0S4 Q8IV03
Q14149 Q9NUD5
