Q96EB6 P27695
Q7Z3S9 P10809
Q5D0E6 P61978
P09603 Q13643
Q8IWV1 Q14451
P49407 Q00987
Q13547 P08047
Q9UER7 Q92769
Q8IYA8 P29972
P17931 Q13740
P09234 Q3LHN2
P15170 P11940
O96017 P18887
Q8TAD8 P60371
P16333 P10912
Q9NV56 P60409
Q96LA8 Q9Y2M5
Q9UHH9 P07900
P43364 Q99757
Q96EZ8 Q9Y2W2
Q96KN8 Q9BVM4
Q04759 O76003
P78352 O14490
Q6A162 Q86UU5
Q96BZ8 Q08379
Q9UIM3 Q13137
Q9UKT9 P29972
Q9NPD3 P56282
Q01844 Q13077
O00560 Q53H96
Q8NFJ9 P68104
Q92973 P35637
Q9BXB1 Q9ULT6
Q08117 A6NEM1
P58004 Q96S15
Q8IUQ4 Q92692
Q5W150 P25788
Q8NA54 A8MQ03
Q9NYP9 P40222
P36383 P50222
Q92918 Q13291
P46527 Q13616
Q6NT76 Q13895
Q8IZU0 Q99757
Q8N5L8 Q53G59
Q7Z7H3 Q8WYA6
P10275 P78543
A6NJB7 Q15323
Q9Y6K9 P63165
P55884 P23443
P78508 Q8IUQ4
P56279 P15884
Q15323 P07510
Q9Y3D7 Q15041
O95273 P60321
Q96B01 Q06609
Q92529 P05067
Q96EP0 Q9Y5U2
Q9P209 Q86YD7
Q96JN2 Q96BZ8
O75821 Q96AP0
P49639 Q3LI66
P61289 Q96HA8
Q6PIV2 Q8N9N5
O15160 Q8WXE1
Q8NEB9 Q96F24
Q8NA61 Q9UJX2
P49768 Q16543
P14373 Q86U06
P13693 Q15645
Q15561 P31321
P14778 P09619
Q9P0Z9 Q9NUX5
P58753 Q9NWZ3
P22830 O00264
P62913 P60409
Q9GZM5 Q9BYR7
Q8WUI4 P63104
Q15642 Q5T230
Q9ULK2 Q15323
Q9BUL9 P21673
Q8NE86 Q96AQ8
Q96PV4 Q9NX01
Q9Y3C0 Q9UL45
Q9NZN9 Q9Y5A7
P35590 Q15238
O43597 O43639
Q6ZNE5 Q8NEB9
Q8N6Y0 Q9BVI4
P08579 Q08379
P52630 P17181
Q8N5L8 Q8ND90
Q8N684 P49760
P54253 Q8N196
P50552 P22736
Q96EL1 Q9P286
Q9UH92 Q08117
O14939 P23528
P63165 P23497
Q99856 Q7Z3S9
P61289 Q8TBK6
Q9UJV3 Q9UBU9
Q7Z4N8 Q5D1E8
Q9BVV2 Q99750
Q9UKJ5 Q8ND90
A1L4K1 P29972
Q9Y247 Q08379
Q96T60 O43524
Q96LA8 Q9UBX0
P15509 Q969F0
Q58DX5 O00155
Q13643 Q9UHR5
Q9UJX2 Q8IUQ4
O43463 Q9NWQ4
Q969F0 P50402
Q969F0 P30825
P48775 O00560
Q9NYB0 Q13155
Q15742 P60410
Q92520 Q96BA8
P27449 P25788
Q6UY14 Q9Y6H1
O76003 Q04759
P20265 P20226
Q8ND90 Q9C0C4
Q9BXM7 O60260
Q6P1L5 P63167
O75477 Q96IW7
Q8IW00 Q16623
Q13875 P60411
Q96F86 P26196
P00519 O75751
Q9GZQ8 Q8TD19
P35225 P78552
Q9Y5N6 Q9UBD5
Q9BQ70 Q8N6L0
Q0VD86 P33240
Q6RW13 Q9UMS0
Q96BA8 A2RU14
Q9NP66 Q96A72
Q92917 Q9HAT0
Q08050 Q00534
P16284 Q06124
Q9H9Q4 P49917
Q8IZU0 Q9ULW3
P10415 Q9BXH1
P01019 P00797
Q9Y2J4 Q9BYR5
Q8N668 Q04864
P09874 P18887
O00631 Q8N205
P09467 Q99814
Q9NR12 Q9NRR5
Q08117 Q9BVG8
O75821 Q08379
O15226 O75569
Q15906 Q6NT76
O43889 Q9BXR6
Q16513 Q15118
Q15024 Q9NPD3
Q8IYX7 O75716
P56545 P09067
Q9Y2V7 P55081
P60410 Q15973
P60411 Q8N8X9
Q13829 Q9Y6W3
P78337 Q9NP55
O43765 O95816
Q86YD7 Q9P209
Q99750 Q5W150
O43251 Q13554
O15169 Q9UKB1
Q08117 Q2TAC2
Q0D2H9 Q13287
Q15796 Q9H6Z4
Q96T49 Q15427
Q06418 Q9BYR5
Q92934 Q92843
Q8N7H5 P51116
Q3LI72 Q03989
Q9H9E3 Q8WTW3
Q14CZ0 Q8IZU0
Q7Z6J4 Q8WW34
Q9H115 Q16623
Q8IW45 P60410
A1L162 O75367
Q9H2F3 O43597
Q68D86 Q9GZT3
Q5TZK3 Q9C0F1
Q9BYE3 Q15323
P57060 Q8IXK0
O15205 Q9H832
Q15233 Q13526
P61081 Q15843
Q13363 O43474
Q9P209 O15265
P25800 Q86Y26
P18887 O96017
Q9Y5B8 Q15025
O95273 O95926
P37173 Q8IX30
Q8N7U7 P54253
O14503 Q08117
O95870 Q86UW9
Q9UL33 P15884
Q15796 P05060
P19012 Q9H2F5
O43765 Q9H2B2
Q15051 Q8NFJ9
Q8TBZ3 Q9UN19
Q9P0K1 P63104
Q9NRI5 Q9H0R8
P07919 Q96BM9
P49005 P12004
P09913 Q86WV6
P61978 O60504
O43186 P63241
Q9BYQ6 Q96MT4
Q8N205 Q08722
Q14164 P08238
Q8WVV5 Q969F0
Q9H079 Q9BW62
Q8N9N5 P04637
O95947 Q6P1W5
Q9BTM9 Q9Y4E8
Q9NS73 Q8IYI6
P60370 Q9H257
P19012 Q9NZD8
Q96F15 Q8N112
P02489 P07315
O60861 Q96HA8
P09038 P21802
Q9UBB9 Q9Y3A4
Q8NEM7 Q7Z3C6
Q96EZ8 Q9UER7
Q9BZS1 P86479
Q13616 Q9UKB1
P78362 Q9BRL6
Q8IYD9 P43364
Q9UNY5 P50402
P39656 Q86WV6
P62987 Q86VP1
P54619 P35520
P62136 P12830
Q12788 Q92624
P81274 P63096
Q12933 Q86Y33
O14796 Q96DU3
P49366 Q96HA8
Q99836 Q6SZW1
Q6PF18 Q96FJ2
Q9Y5A6 P60411
Q9H0I2 O95257
O75909 P54253
P14136 Q08117
P54646 Q719H9
Q9NY59 O75530
P35609 P03950
Q8NEP9 O95273
O76081 P49286
Q9UBQ0 O75436
Q93034 O95273
Q6RW13 Q96CM8
P07948 P20273
Q8WVZ9 Q9H0R8
P60409 Q9NUL5
Q7Z3S9 Q9NZL4
P40424 Q12948
Q15637 Q12872
O14787 P15531
Q6A162 Q9UKJ5
Q9H115 O43752
Q9BYQ4 Q6RVD6
O43561 P18031
Q13526 Q9H3D4
P04637 Q9UHH9
Q9NZN8 Q96LI5
Q9BRU9 P14373
Q07627 Q2WGJ6
Q8N6L0 Q9Y247
Q96LM6 Q3LI66
Q9BXW4 Q9NS23
Q12846 P23763
Q9BXJ5 P61601
Q7L9L4 Q9NRM7
P49810 Q53EL6
P05067 O00213
Q6UY14 Q96SQ9
O43889 Q9BVK2
Q12805 P50222
P63165 P29590
P60410 Q96KP6
O95197 P54274
O75379 Q8N6L0
Q9UK73 P49593
Q8TDY4 Q12800
Q15427 Q9BUJ2
Q14498 O00560
Q8TAU3 P26371
Q68E01 Q9NRY2
P38936 Q9UKT9
P31321 Q86UD4
Q13137 Q9UMS0
P08238 P51817
P55081 Q8IXK0
Q8N2X6 P36406
Q9Y2D8 Q9BVV2
Q9UER7 Q13547
Q04864 Q9UMX2
Q15006 Q9UKT9
P63165 Q9BUZ4
Q8TBE0 Q9BRK4
Q96E40 P60370
O95273 P36507
Q13363 Q63HK5
Q15637 O76071
P41235 P23246
P49917 Q13426
Q92900 Q9H1J1
Q9BYR6 Q7Z417
Q13616 Q9Y297
Q5T7P8 Q7L273
Q8NBI2 Q96GF1
Q8IYX7 P45984
P48643 O60232
Q7L2H7 O15372
Q15323 Q8WXF1
Q8N668 Q04206
Q96HA8 P31947
P61978 Q86XF7
P50222 Q9BQ66
P50402 Q9P127
Q9UKT9 Q15006
Q9NWS6 Q8TBB1
Q00987 O15350
Q03181 P60409
P56524 Q9H9E1
Q8TBB1 Q9NWS6
O14662 O95183
O60232 P48643
Q92993 P54253
Q15323 Q13895
P09769 P08238
Q8WXD5 O94842
Q9BWJ2 O76015
Q92934 P31947
P20963 P43403
Q13363 Q14526
Q6UY14 Q17RB8
P08238 P11802
O14879 Q05D60
Q8NHL6 P29350
Q8N5F7 O75400
O75558 P61764
O95751 Q86YD7
P35250 P10644
Q13049 P54253
Q15544 Q92624
P36955 Q7L775
P46977 Q86WV6
Q8NEK8 Q6P1W5
O43823 O15379
P19438 Q13546
Q9NRD5 P38432
Q15528 Q9P086
P35269 P11831
Q96S15 Q92624
O76003 O76081
Q13111 P12004
Q2WGJ6 Q7Z3S9
P53805 P04049
Q9H1K1 P37198
P55085 Q92905
Q9UHD9 Q00839
Q7Z3S9 Q96MM6
Q32M78 P60411
P63172 P12814
Q13415 Q13309
P60409 A2RRD8
P60409 Q9NVV9
P09234 Q9BRX9
Q8NHV4 Q7Z4H7
Q96MG7 Q9NXX6
Q01850 Q96BZ8
P63208 Q6PJ61
P53367 Q71RC9
P0C870 Q08AM6
Q3SY00 P14373
Q9UMW8 P48551
Q14657 O76083
Q12962 O15265
P41223 P60409
Q08E93 Q99750
Q13490 Q9NQT4
Q7Z3S9 O14910
O76064 Q9BSE2
P20700 Q8WWB5
Q99757 P61289
Q08117 P35711
P49901 Q08379
Q13563 Q6A162
P55081 Q9NTW7
P05060 Q15796
Q9NXC2 P60410
P20333 Q12933
P61968 Q93062
Q13131 Q9HAT0
Q6A162 Q70IA8
Q8TD19 Q9GZQ8
P55072 Q92575
Q9H0R8 Q14677
Q15797 Q9Y2U8
P04843 O43765
Q08379 Q14D33
P42768 P60953
P63261 Q96HA8
Q0D2K3 Q04864
Q13643 Q96NZ1
Q9BS26 P49257
Q96SD1 P49917
P05556 P49023
Q96GY3 Q15323
Q6BCY4 P62333
Q8TBK6 P61289
Q13137 Q9BXW4
Q969H6 Q04864
O15409 O00560
P61244 Q9UBS5
Q96CG3 Q12933
Q969S0 Q96BA8
Q05513 P08238
Q6UX06 O43557
P49190 Q9NP66
Q8N2W9 P04637
Q13526 P60411
Q8N8K9 P29972
Q07812 Q9ULZ3
Q8N131 P43364
P15884 O43699
Q13084 Q8IZU0
P21462 P25098
Q9NZN9 Q9BSI4
Q08379 P49901
A6NEM1 P55081
P50222 Q52LD8
P24385 P46527
O60260 Q9Y3I1
Q9Y676 P06400
Q01524 Q9UHD9
Q8IUC6 Q9UHD2
P49407 P45984
P48723 Q9UHD9
Q15973 P26371
Q96RS6 Q9Y678
Q86Y33 Q2TAC2
Q03933 P61964
Q96GJ1 P07992
P00441 Q8TCX1
Q53G59 Q9BXJ5
Q9P0U4 Q15291
Q9Y2J4 P63167
Q5TAB7 Q8N6L0
Q96GA3 Q13895
P09496 Q9NYX4
Q6NT76 Q13084
Q9UBS5 P16333
Q8NBZ0 Q86V42
Q8N8B7 Q08AM6
Q9BUE0 Q13554
Q9H0W9 Q15645
P31350 P23921
P43378 O95197
Q08117 O43167
Q5TZK3 Q6NT76
Q9BVG8 Q96GY3
Q07820 O43521
Q9Y6K5 Q8IY81
Q13616 P46527
Q13323 Q8N661
Q14739 Q13185
O95751 Q6NX45
Q9BQ70 P21673
Q9Y266 O60884
O43251 Q8NDC0
Q8TBC4 O14732
O00560 Q9GZV4
P60409 Q8IZC7
Q9Y3Q8 Q13257
Q8TD06 O75477
Q9BZL3 Q8ND90
Q96HM7 Q7Z3S9
Q9BU64 Q6IPU0
Q9UI36 Q9BU76
P50402 Q9NTW7
Q15323 P55064
P78417 P04792
P15531 Q86TP1
Q96HH9 P09466
Q96D09 Q99757
Q8N9N5 P30405
Q9H5J8 P06746
Q9UBE8 P26371
Q9NX70 Q9BUE0
P26441 P40189
Q96B36 Q04917
Q96F86 Q9NPI6
Q13895 Q13155
P32121 P35221
Q9NQG5 Q8IXW5
Q9UI95 Q13422
Q9BYR7 Q12891
Q9UKS6 Q13444
O43159 O43463
Q9UJX2 Q9Y3Q8
Q15038 Q93062
Q8N7M0 P50222
P13693 P13010
Q5TA82 P49639
P49639 Q9BYQ2
Q9H446 Q9Y295
Q96FW1 P04637
Q96G23 O15245
Q13547 Q99684
Q13127 Q9UKB1
Q8N6L0 Q6PKG0
Q96HA8 Q96BR9
Q9BW62 Q9H079
Q9P286 Q96HA8
P60411 Q8N6T3
Q8N3L3 Q13287
P38919 O15234
P10914 P63165
Q93062 Q9P0T4
Q9H4A6 P13010
Q9NQ94 O95810
Q9P086 Q15528
P32242 O43609
Q5BKY6 Q7Z3S9
P50053 Q9NQ69
Q9BXR6 Q96BA8
O95835 Q9H8S9
O14503 Q9BVI4
P08579 Q06547
P43378 Q96DZ9
P0CG48 Q9Y5X1
Q8N6Y0 Q15435
Q9UMX0 Q9P2K6
P21145 Q06187
B2RUY7 Q13643
Q9UJX5 P51955
Q96B67 Q96LR5
Q9BTK6 P03372
Q9NUL5 P60409
Q5I0X4 P61978
P43364 P46926
Q6IB77 Q7Z3S9
P16333 P42167
Q96GX9 P25786
Q7Z3S9 O75506
Q6UY14 Q8TAU3
Q14318 O75344
Q9H2F3 P60410
P39687 P67775
Q9H5Z6 Q93062
O95273 Q93034
O95644 P15336
P29274 Q99418
P11362 P08908
Q9BQ89 Q08379
P09917 P07947
P27658 Q04864
Q9H2X0 P50222
Q7Z3S9 Q9P0T4
O43889 P26678
Q96DZ9 O60664
Q9NVC3 Q99942
P12004 Q15054
Q9H204 Q96LA8
Q12929 P07910
Q5T7W7 O95159
Q7L775 P36955
P53990 P54253
Q9H0R8 Q9GZZ9
Q99598 O95257
Q8IZJ1 O95631
Q9HB65 Q96JC9
Q12800 Q5VVH5
P55081 Q6A162
P60370 Q9NUL5
Q8N6Y0 Q6IPU0
Q8WVV9 Q99750
Q13127 Q9Y297
O75506 A8MQ03
O43889 Q9BZD2
P55854 O43290
Q8TAU3 P60411
P04637 Q8N2W9
Q9H0R8 O95352
Q9Y4K3 P14778
Q07666 P12931
P86479 P59797
Q9UJV3 Q9H3U1
P04637 Q9Y3T9
P38432 Q9Y295
P06493 P0CG48
Q9GZZ9 O95166
Q8TBB1 Q15415
O43829 P55081
P38936 P24941
P48039 O76081
Q13021 Q8N6L0
Q7Z3S9 P25786
Q9C0F1 Q9UKJ5
Q15041 Q9ULP0
Q07820 Q03135
P78346 Q9NP66
P07910 O00560
Q13287 P23434
P62829 P50222
Q9BYP8 Q8IZC7
Q96H86 P60411
Q13617 Q8N668
Q66K74 O14599
Q13111 Q71DI3
Q8IZU0 Q9H1K1
P60411 Q8NA54
O43734 Q13084
Q9Y297 Q9C026
P51608 P61244
O60568 Q9BQY4
Q9UN79 P56545
Q96EZ8 Q6ZUT1
Q9P2K5 Q8IYF3
Q92769 Q9UER7
O75419 Q53EZ4
Q99750 Q14554
Q96NL1 Q969F0
Q96HA8 Q53EZ4
P15884 Q9Y5B8
P10912 P17706
P60409 Q8TF45
P54274 O15355
Q6RW13 Q9BSJ6
O60826 Q9H0A8
P09105 Q8TAC1
Q9Y3D8 P62263
Q04864 O95257
P60370 Q7Z3I7
O75478 P61326
P26992 P26441
P04629 P01138
Q9H0R8 Q8WYN0
Q8TBC4 P54727
P04637 Q9UBF1
Q8WVF5 Q5JVL4
Q9UBK9 Q03112
Q13573 O00409
O75478 Q8N5M4
Q5I0X4 O95273
O60504 Q8TF74
P60411 Q8IVW4
Q8N205 Q9Y287
P60409 P51814
P17181 P42224
Q96GN5 Q99750
Q96A56 Q9BXW4
Q8WUF5 P04637
Q15323 Q9BUD6
O15160 P52435
Q99496 Q8N488
P14373 Q08117
Q9Y5X1 O00401
Q9NVV9 Q8N6R0
P55884 O00571
Q9GZV4 Q9GZT8
O43187 P46977
Q9GZU7 P27987
Q15323 Q96HA8
Q969F0 Q7Z7N9
Q9Y6K9 P01375
Q08379 O15145
Q01844 O95486
Q8NI22 Q15077
P40763 Q99062
O95433 P30793
Q15006 O43402
Q13084 Q8N9N5
P08238 P04049
O43809 P14373
Q92993 P11926
Q15365 Q96NB3
Q9UBS5 P46459
P32242 Q9BYR5
O00463 P54725
Q8IZU0 Q13426
Q6ZTQ4 Q8TB03
Q8IWZ5 Q7L273
P0C7H8 Q8NE01
Q13643 Q8IYX7
P22459 P78352
Q8N6L0 O95210
Q2TAC2 Q9NV29
P60410 Q8IYI8
O43447 Q99633
Q9BYN0 Q06830
P05187 Q9BQ66
Q9H0E2 Q93062
O43186 O94888
Q01628 P43490
Q9HAU0 Q9NWB1
P04899 P60410
Q06418 Q9Y5K2
Q86V42 Q08117
P49247 Q9H8Y8
Q7Z7H8 Q8ND90
Q96G97 Q96HH6
Q9NWQ4 Q9BRK4
O43597 P32242
P40337 P08151
Q96HC4 P60409
Q9NSC5 Q96JC9
Q05516 O95751
Q10567 Q3SY00
Q9BYV2 P54725
Q969H0 Q16204
P60520 Q14257
O43561 P62993
O95544 O00560
Q5VTD9 Q99435
Q9Y2K7 Q04206
Q99757 Q96M63
Q9Y3C0 O60341
Q86W54 Q9P209
Q13895 Q8NHQ1
Q96DZ9 Q6RVD6
P0CG48 Q92783
Q8TAI1 P60370
Q9BX10 Q96LA8
Q9BQ66 Q9P0T4
Q9NSA3 Q04864
Q2WGJ6 P60409
Q8IZS5 Q99873
P60409 Q6RVD6
A8MQ03 Q9P0T4
P17482 Q3LI66
Q9UHB4 Q6FI81
Q07817 P99999
Q9Y5U2 Q13077
Q08AF8 Q8N4P3
Q9UI14 Q9ULP0
Q99942 O95870
Q7Z2X7 P50222
Q04864 Q9UBH0
Q96BD6 Q99873
Q7L273 Q6NYC8
O43251 P03372
Q8NE01 P60410
Q05048 Q9H0E2
Q8NA82 Q9H3U1
P27824 Q92597
Q9Y5K5 Q8NBZ0
Q86VP1 P62987
Q9H503 Q9UHV2
Q9UMX0 P33993
P60520 Q13137
P43361 Q9BS40
Q9H5Z6 Q7L273
Q8N205 Q9ULW3
O94829 P63279
Q9NRY6 Q8NEC5
Q9NPJ4 Q92900
P51116 P07947
Q9UL45 Q9Y3C0
Q13137 Q9NQT4
Q9NTW7 P50402
O00560 Q8NC69
P62310 P54105
Q96EZ8 O94972
O43741 Q9BYR5
P43360 Q96EZ8
P35609 P26842
Q8TBK6 Q9UHJ3
Q6UY14 P23769
O43741 P11217
Q08379 O43809
Q96BZ8 Q9UKT9
P55081 Q8TD17
Q8NFR7 Q8N6Y0
Q9HCU8 Q96S55
Q9H469 Q9HAU4
Q9BRK4 Q5TZK3
Q9P2K5 Q13077
Q9UMX0 P04843
Q8TC20 Q96RD9
P25445 Q13158
P49458 P35609
Q9Y3Z3 P58753
Q8NDP4 P60410
Q04864 Q5T7W7
O75886 Q99732
Q9H9E3 Q8WVM8
P11142 Q9UNE7
P02760 Q13643
Q8WW34 Q9UNA4
Q15041 Q00059
W5XKT8 Q8N9N5
P23443 P55884
Q9UMX0 P10124
Q8N668 O15524
Q8WXE1 O15160
Q96AQ6 Q9Y3C0
O15379 Q969R5
Q86XM0 Q8TBB1
P12757 Q08117
P60411 Q8IW45
Q8WWY3 Q9Y2D8
Q9NX47 O43583
O14980 P61925
O43524 P84022
O00155 Q8N6L0
P04637 O14920
O75031 Q8WUT4
Q8NA61 Q9UKJ5
O95831 O75821
Q15910 O75530
Q9UI26 Q6P1W5
P26045 Q9NPJ8
P60409 P52736
P51572 Q15629
Q9UIV1 Q9UKV8
Q15041 Q9NRS6
P60411 O96014
Q8IUB9 P86480
Q99750 Q5TA78
P61764 Q8N4C7
Q8WXB1 Q8IZ13
Q99942 Q9BWQ6
O95363 Q13137
Q3B820 P26371
P13196 Q9Y2S7
P48023 Q6A162
O75506 Q9Y3C0
Q16637 Q13427
Q15436 P53992
Q30201 P02786
Q9Y6K9 P08238
P60228 P55884
Q9BV90 Q8N684
Q8IVW4 P60411
P48047 P49902
Q08117 P25800
O75899 P46459
Q14242 Q7Z614
P05549 Q0VD86
P48443 Q15777
P46937 O14669
P00738 P02649
Q9NYB9 Q5HYW2
Q13188 Q7L9L4
Q14781 P60409
Q8IZU0 Q9UJX2
Q05329 Q969L2
O94818 P56545
Q6UY14 Q13526
Q13200 Q8WVY7
Q7L273 P25786
Q9UHX1 Q96I34
Q7Z3S9 Q9NRQ2
Q8NBZ0 O00560
Q15831 P08238
Q13643 P02760
P17024 P60370
Q53EZ4 O75419
Q13077 Q96GV9
P60411 Q9HAZ1
P60410 P78385
Q96PU8 P09012
P32121 P11142
P60409 Q9ULM2
P09874 P0CG48
Q8N7H5 Q8WVC0
O15194 Q15797
Q86V97 Q9H0R8
Q6NUQ1 P56524
Q9NWS0 O95905
O43261 Q92993
P60411 Q8TAU3
Q08117 Q9UGI0
Q9BSG1 P60409
Q96FZ7 Q9BRG1
Q9Y3P9 Q9H0R8
Q92843 Q96LC9
Q13547 Q96N64
Q14657 Q6A162
Q8TBB1 P49247
P04637 O14980
O75558 Q5TZK3
O95273 P51164
Q96CS3 P55072
Q9NX04 Q08117
Q9BYR6 O95363
Q92504 P68400
Q9NW38 P28799
P56279 P05412
Q13363 Q9BXL5
Q96GY3 Q8ND90
P50542 O00623
P60409 Q3KQV3
Q7Z3I7 P60411
O14908 Q03167
O15111 P07900
P06748 P63104
O94763 P13984
Q6RVD6 Q7Z3S9
P78537 P25705
Q9NZ42 P02792
Q9Y3C0 Q08379
P54727 Q96PV4
O95715 P36406
Q93062 O14503
P61964 Q9H9L4
Q9NS73 Q8WYH8
Q15013 Q13287
Q13155 Q13895
Q7Z7N9 Q969F0
O95447 Q13287
Q9UL42 Q8WWY3
Q9Y287 Q58DX5
Q96DU3 O14796
O94763 Q9H6T3
O00560 Q8WW34
Q719H9 P25786
P60409 Q6IV72
Q96AX2 Q969L2
P10809 Q9Y4C4
P04637 O95863
Q969G3 P60411
Q6UY14 Q9NUL5
Q7Z3S9 P12236
O95644 P05412
Q96HA8 P14373
O43597 Q9Y2K6
P09619 P14778
P41235 O14602
Q9BRK4 Q8TCT9
P52655 P52657
P05067 P02647
P02489 O00560
Q6IPU0 Q8IYF3
Q96JM3 Q9UI95
O76003 Q13422
P25208 P04637
P30838 Q9NUX5
Q13216 Q9HCS7
P60409 Q08ER8
P08238 Q01974
P51817 P10644
Q96IW7 Q969F0
Q8N7W2 Q96CJ1
P48023 O43639
P60409 Q3B820
P0CG48 Q15038
O14936 P34741
Q99836 Q8IUQ4
P60411 Q7L2K0
Q9H190 P35268
P36405 Q13432
Q86V42 Q8IYX7
P37235 Q9BYR5
Q96A72 Q04864
Q96T68 Q8N8R7
Q9GZQ8 Q13501
O95273 Q9HCZ1
P50222 Q495W5
Q14D33 P60900
Q9UJV3 Q9NQL9
P50222 P01137
P62826 P61970
Q13153 Q15365
O00560 P13489
Q9Y3A3 Q9P2B4
Q13501 P54725
Q5T013 Q8IYF3
P57058 P23528
O00541 Q14137
Q9UN86 Q15672
Q8IXK0 Q13895
P63165 P10914
Q6P1W5 O14770
P50222 Q9NWT1
Q12800 Q6P1J9
P45973 Q14739
Q7L4P6 Q9BRG1
O43805 Q99757
Q8WWY3 Q13064
O95166 Q9NS23
Q99523 P01138
Q9NTN9 Q9HD26
O00401 Q9Y5X1
P41091 P05198
Q9NVV9 Q9BRJ6
Q96HA8 Q52MB2
Q8TAU3 O43597
P47897 Q99081
P02795 Q15139
O43765 O75631
Q99757 Q15555
P49407 Q15208
Q9NUL5 P26371
Q8TBB1 Q15056
P35221 P32121
Q9Y467 P08138
O75385 Q9H0R8
P50222 Q7Z2X7
P62306 P38432
Q969F0 Q96QK8
Q96LI6 P52597
Q6RW13 Q96PE7
P78560 Q9HB75
Q16576 P62805
O43679 Q99598
P52799 O43639
P20807 Q96HA8
P15884 Q9H4F8
Q9Y5A6 P60410
P03372 Q9BTK6
Q9GZT8 O95848
Q9ULD0 P40763
P0CG48 Q9NX47
O95208 Q9NX94
Q6A162 Q8WWY3
Q9BRK4 P47897
Q14240 Q8WWB5
Q9P215 P08238
Q5T749 Q7Z417
Q6A162 P55081
P10275 P06396
Q13155 P04637
O43586 Q14D33
P26371 P10809
Q96RS0 Q9Y2X3
Q9BYQ4 Q96PM5
Q9Y294 P62805
Q8WW01 Q96NC0
Q08379 Q96I25
Q05329 Q96B96
P14316 Q01167
Q09028 Q8IX07
P61978 Q00987
Q9Y315 Q8IZ83
O75069 Q06250
Q8TD31 Q6P1W5
O75348 Q96A05
Q9UBY9 Q8N0S2
Q9NRL3 P05412
Q9NWX6 O00560
Q6UW56 Q9Y5X1
Q7L273 O75558
Q9NQL9 P21673
P60409 Q86UD4
Q13444 Q99962
Q8WWR8 P15884
Q15041 Q9Y5P4
Q9Y3C5 P47897
Q86Y79 Q8IZU0
Q3LI66 Q5T749
Q93062 Q8IVS8
P0CG48 P01106
P60409 O75716
Q5W0Q7 P61956
Q96KQ4 Q96EZ8
Q08AM6 Q8IZ26
P56545 Q9BZE0
P60410 Q8NDP4
P63279 Q9Y3V2
Q8IZU0 Q86Y79
O43482 Q6P1W5
O43597 Q96B97
Q9H0R8 Q92609
Q6IPU0 Q15834
O75031 Q8IX06
Q8N5G2 Q5TA76
O15503 Q9UKV5
Q9GZV8 Q5I0X7
Q9UHD2 Q92844
Q08117 Q8TAB5
Q15906 Q99750
Q8N4P3 O00471
Q9BQ89 Q6NUQ1
P53350 P04637
Q9H1K1 Q8IZU0
Q12846 Q9H115
Q969F0 Q12983
Q8TBK6 Q8IYF1
O14503 Q86UY5
P15260 P42224
Q9H0I2 Q5T9C2
P10912 P18031
P54849 Q8N205
P14373 Q96BZ8
Q9NV39 P86480
P14921 Q06481
O95400 P36873
Q969F0 Q8IZ57
P79522 P38159
P60520 Q9P1Z2
P43628 P29350
Q9NQ79 Q8NDC4
O43298 P36575
Q9NUX5 O60496
Q16617 Q6RW13
P46527 P20248
Q9NWZ3 Q99836
P01225 P01215
Q6ZN57 Q7Z5W3
Q13829 Q9H257
O60504 Q14151
P07306 Q96G23
P78352 Q09470
Q8WWZ3 O00560
Q15004 P12004
O43765 P04843
Q86XF7 Q9BYQ3
Q99750 Q15906
Q8WTP8 Q96BR9
Q9HC29 Q6UX06
Q9NZ81 Q8TBB1
Q16718 O75489
Q9Y5B8 Q8N0S2
P35590 Q93062
P21673 Q9BQ70
Q8N8R7 Q12965
P38936 Q13077
P50222 O95967
Q15654 O75638
Q96PN8 Q08117
O43679 Q8TBB1
Q99966 P03372
Q13547 Q15466
Q01844 Q92734
P40692 Q16658
Q99750 Q8TBE0
Q59EK9 Q9P015
Q7Z3S9 Q9H1Q7
Q9BZW8 P29350
Q9H0R8 Q13043
Q9BX46 Q16633
Q12846 P54920
Q9NZD8 Q12933
Q8N6Y0 Q96BZ8
P43034 Q8WVJ2
Q9NW38 Q12800
Q86Y26 O75800
P27986 O15455
Q9Y680 O43765
O94907 Q99750
Q08117 Q15742
Q93062 Q9H496
Q9BRG1 Q04864
Q2WGJ6 P26371
Q12972 Q92624
P60411 Q13526
P0CG48 P06493
Q9HD43 P10912
P22736 P04637
P54274 P30041
P38936 P24385
O00330 Q6RW13
P60709 P23528
P78344 P04792
P50895 O95198
P09012 P14373
Q9BYR8 Q7Z3S9
Q9H2V7 Q07817
Q03989 Q3LI72
P46379 Q7Z434
Q9NYB0 Q8TE68
Q7Z4G1 O60826
Q15323 Q08117
Q9BSI4 P50542
Q9BWG6 Q08117
Q9Y230 Q9BVM2
P48023 P27986
P78362 Q86U06
Q9Y297 Q16621
P51116 Q8IVW4
Q14D33 Q6NUQ1
O15350 Q00987
O43765 Q9Y680
Q03135 P22307
Q8WWW0 Q9Y297
O75553 Q3SYF9
Q13526 P60410
Q12846 O95183
P07910 Q12929
Q14D33 O00303
O15409 P24863
Q03014 P60370
Q04864 Q9NQL9
P08621 P49760
P20273 P07948
Q9UNA1 O14613
Q92624 Q9NS86
O95817 Q15427
P07992 Q96S82
P54252 P54727
Q13422 P57060
P07910 P63104
P49760 Q15287
Q96LA8 P52926
