O95476 Q8N9A8
Q9BSB4 Q9BXW4
Q92844 Q05519
Q5VWX1 Q8WTP8
Q9NZD8 Q15041
Q9BQ66 Q9NWQ4
Q9BYQ0 P60370
O43609 P60370
O14734 P50542
P30989 P30990
P35372 Q9Y679
P13987 Q15363
Q8WTP8 Q86SE5
Q6UXX9 P60409
Q6L8G9 Q5TA76
P27658 P60410
Q08117 P47897
Q8TAX7 P15515
P09012 Q96PV6
P61073 O60603
O43603 P22466
O75056 P31431
Q3SY46 Q7Z3S9
P62857 P0C7H8
Q969H8 Q9NPJ3
P60410 Q9NZ81
Q96EC8 Q9BWQ6
O95166 Q969E8
P60891 O60256
Q9BYQ2 Q969U6
P63208 Q8N5M4
Q9NRR5 P54253
P27824 P61619
A8MQ03 Q9UGL9
Q7Z3S9 Q9GZM5
P51884 P50281
Q93062 Q3SYF9
P54253 Q96N03
A8MQ03 Q9Y5W5
Q9BYQ6 P26371
P60409 Q86UN2
Q6L8G9 Q7Z417
A8MQ03 Q6EMK4
P59991 Q6PEX3
Q9UHX1 P26368
P31431 P34741
Q6P087 P60409
Q12834 Q9UJX5
Q8IWE2 Q96DZ9
O15533 Q03519
Q9H3F6 Q8WZ19
Q9Y223 Q7Z3S9
Q96MU7 Q15415
P02749 P01130
P07900 Q15185
P17693 Q8N423
P21145 Q8N539
Q9Y4P8 Q9UI14
Q9BRX9 Q9Y3C6
O43765 O60844
Q9HCU8 P49005
Q9NWS0 Q8IXW5
P60411 Q9NQX5
O75323 O95166
Q96HA8 Q9BYR5
P60411 Q9UHI7
P60370 Q9BYQ4
Q8NHX9 O00165
Q8NEC5 P60412
Q9UFF9 Q96LI5
Q9Y3B2 Q9NPD3
Q6UY14 P09681
Q9GZM5 P60411
P57739 Q7Z3S9
P04731 Q13585
P55774 Q9BZ71
P08238 Q9UKT8
Q9Y2Z0 P08238
P60409 P15151
P04637 P49407
O76003 Q86YD3
Q14318 P07900
Q6L8G9 Q9BYR5
Q8WXU2 O95166
Q6NT52 Q8IUC1
Q93062 Q9NQL9
P00395 Q9BVV7
Q96Q83 O76003
P60412 P49901
Q9HCB6 A8MQ03
O75190 Q13326
Q6L8G9 Q07627
O43765 P40259
Q8TD06 O43765
Q5TA78 P49901
Q08AM6 Q96HA8
A8MQ03 P84090
Q7Z3S9 P20155
Q96CW9 Q9HBW1
Q9BYQ4 Q9H2X0
Q8N5M4 P63208
O43609 P57678
Q52LG2 P59991
Q9NWS6 Q9BPY3
Q99062 P0CG48
Q5TA81 Q5TA77
Q9NYB0 P47224
Q9H2R5 P63172
P08648 P17813
Q92754 Q99967
P26371 P49901
Q9UM11 P40337
Q9UMX1 Q7Z412
Q7Z3S9 Q9NQL9
Q9NVQ4 O43597
O95453 P33240
P50281 P16035
Q5T5B0 Q9BQ66
Q08117 Q8IUC1
Q5T5A8 Q7Z3S9
A8MQ03 O14817
O14633 P60410
Q9GZQ8 Q676U5
P10082 P25929
Q8N488 P0CG48
O43765 P10451
P02489 P02511
Q9ULM6 Q9UIV1
O15350 Q13950
Q96HR9 Q99757
Q12796 Q9H1D9
Q86TG7 Q17RB0
Q96BZ8 O95751
Q2TAL6 Q6EMK4
Q9BTM9 Q7Z7A3
P07998 P13489
Q16643 P61073
Q86XK2 P63208
Q9BTE1 Q93062
Q14739 P60033
Q8TCT9 Q9BUN8
Q9UMX0 Q6ISS4
Q9BZL3 P11686
Q9Y3B2 Q9NQT4
Q5T686 P59991
P13861 P24588
Q9NUQ2 Q9UMX0
Q9UKB1 P63208
Q3LI66 P48146
Q96S82 P61758
Q9BYQ0 P49901
Q7L9L4 P49902
P08243 A2RRH5
Q9BPY3 P63165
Q9NQL9 P60409
P11686 Q9BZL3
Q96EQ0 P36955
O43617 Q9UL33
O95881 Q9UMX0
Q8IUR0 O95273
Q70IA8 P48775
Q96EB1 Q8TE02
P05549 P06748
Q15365 P98179
Q6UY14 P16930
P22303 Q9Y215
P26371 Q7Z417
Q9UKJ5 P60411
P60370 Q9NQX5
P16410 P33681
P02760 P07858
P07900 Q9UNE7
P49901 Q9BYQ2
Q9UHP7 Q9NS64
Q9UMX0 Q9NQG1
Q96EY1 Q86X55
Q9UI14 Q9NZD8
Q96CD2 Q6PIV2
Q8N6P7 Q08334
P07550 Q96B67
P55081 Q9H079
Q06250 P60411
Q9P121 P32239
Q9NZD8 Q96DZ9
O76003 P60370
Q9UKJ5 P26371
Q5TA77 Q9BYQ3
P62995 Q15415
O43765 Q9BXJ1
O43597 Q9BQ66
O14633 Q9BYQ0
O14530 Q6P1W5
P21757 Q13021
Q6L8G9 P60410
Q9NYB0 Q9NWV8
P11940 Q14106
Q9UGQ2 Q96B96
Q7Z3B1 Q13449
Q03518 O15533
Q96PJ5 P04155
Q7Z7C8 Q12962
Q9H0R8 O75143
Q6UW56 Q92832
P48146 Q7Z3S9
Q15102 P68402
P11908 Q14558
P10599 Q99836
P26715 P54852
O15143 O15145
O14531 Q93062
Q9H4D5 Q9UKK6
Q5TZK3 P60410
P09012 P23246
Q92769 Q9HD15
Q15415 Q8WTP8
Q9H4G1 Q7Z3S9
Q15365 Q13427
P04156 Q9BSJ6
P60370 Q5T5B0
P61978 Q8WWY3
Q9UMX0 O00154
P09914 O14879
Q9UHD9 P78358
Q676U5 Q9BXS4
Q5T5B0 P60409
Q8WWV3 P78358
O60238 Q15848
Q08117 Q9Y3E5
Q96LI5 Q9UIV1
Q08117 O15409
Q9BW61 Q96DZ9
Q8IXL6 P02671
Q13547 P04637
P63208 Q13503
Q99726 Q9BRI3
Q96DZ9 Q9NZD8
P10599 Q9NZD8
P48775 Q8IYS1
Q5TA81 O14633
P11908 P60891
P60411 P07510
P60520 O75143
Q14498 Q05519
P60411 Q5XG85
P09917 Q14019
Q93062 Q9NWB1
Q9BYQ6 P60411
Q701N4 Q5TA81
P48775 Q70IA8
Q96A72 Q08117
Q86YT5 P60410
Q9H6U6 Q9UJX2
Q86WQ0 O15427
P26368 P52756
Q6L8G9 Q9UGL9
P01583 O00165
Q9H1Y0 O95166
P50402 Q8NEC5
Q9BYQ6 Q9BYQ4
P13861 O75969
Q8WWZ3 Q96HA8
O75348 O95751
Q9BUL9 Q9NYB0
Q9UHX1 Q7Z7F0
Q16617 P21757
O95967 O43765
Q99873 P61978
Q9HC62 Q8IVP5
Q8NEC5 Q5VWX1
Q719H9 Q9Y3B2
P07900 P61247
P04637 Q9Y297
P01730 P51681
P30101 Q13162
Q96NY8 Q495A1
Q17RB0 Q86TG7
Q8WW22 O60884
P61326 Q9BRP8
Q7Z3S9 Q9UBD3
Q8N0U6 Q08AM6
Q9BYR2 Q701N4
O75529 O43524
Q14116 Q13478
P60409 Q9BYQ4
P31994 P01857
P12643 Q13253
Q15233 Q8WXF1
P31321 Q9UBU9
P17152 O60238
Q9BQ66 Q9Y223
Q9UMX0 Q9NPQ8
Q9NXC5 Q96S15
Q9HBW1 Q96CW9
P60410 O76003
P43115 P60409
P29972 Q7Z3S9
A8MQ03 P04070
Q6UY14 P60411
Q9NTN9 Q93062
Q9BYR5 Q6PEX3
P43115 O43597
Q3SYG4 Q8NFJ9
P60409 Q13895
P84103 Q15366
O95166 Q9NT62
Q7Z6I8 O95967
P46379 Q12800
Q04725 Q16531
Q6UY14 Q9BYQ4
Q08E93 P60410
P34897 Q15041
O43597 P60412
P21145 Q8N8F7
Q86VR2 O95870
Q15369 Q5VZV1
P51116 O95751
Q9BYR0 P60410
Q9UNE7 Q9NRJ3
Q9NUX5 O43704
P49902 Q86TA1
A8MQ03 O43609
P43490 P03886
Q9Y223 P60409
Q969P0 P60372
Q00266 P31153
P07510 P60409
Q92681 P54727
P60411 Q8WWY3
Q9UHP7 Q12918
Q9ULQ1 O00165
Q3LI72 Q3LI66
Q13069 Q9NYB0
Q7Z3S9 O95363
Q9BQS6 P63172
Q9NP55 Q96N21
O75525 P38159
Q3LI66 Q3LI72
Q86YT5 Q9BYQ0
Q08117 P98175
Q7Z3S9 Q9BRU9
P07858 P02760
Q70Z44 P46098
P04637 Q15424
Q9NTM9 Q6IA69
P02511 Q9UJY1
Q7Z417 Q9BQ66
Q5TA82 O95967
P32239 P06307
Q16555 Q14194
Q9NP91 P60411
Q9HC62 Q15041
Q8TD06 Q9UHD9
P63208 P57775
Q96S52 Q7Z3S9
Q96GX9 P63208
Q9BSJ6 O95273
Q08117 Q96JC9
Q9UGL9 A8MQ03
Q9NQT5 Q13868
Q7Z3S9 Q86TG1
Q9BSE2 Q96IW7
P04637 P06748
Q7Z3C6 Q9BYR5
Q6NXG1 P54253
O95985 Q7Z698
Q5TA81 P60410
O43765 Q9Y624
O95166 P27797
P56524 O95967
Q8WWY3 O75525
O00401 O43516
Q8NBW4 Q9UHA4
O14925 Q9BVV7
O15042 P52756
Q8N1A6 Q08AM6
Q6P1W5 O14530
Q96HA8 O95259
O75618 Q06481
Q96F46 Q8NFR9
Q5TA79 P60410
O15409 Q08117
P05106 P78423
Q93062 Q9BZS1
P54253 Q9NRR5
Q9BYQ4 Q5T5B0
Q12800 Q13427
Q96I25 P54253
P05067 P04156
P48775 Q9H8S9
Q7L273 Q93062
P60409 Q8WTP8
P05067 Q13867
Q8NEC5 Q7Z3S9
Q96PE7 Q96DZ9
Q9BYJ1 O75342
Q8IVP5 Q9GZQ8
Q96EQ0 Q9Y5P3
Q5T5A8 Q9BQ66
Q9UBU9 Q8IX06
O14879 P09913
Q9UMX0 P12318
Q9UMX2 O14977
P59990 P60410
Q8NEC5 P26371
Q7Z417 P60370
Q16568 P13688
P48023 P25445
Q86VR2 O00767
Q9NT62 O95166
P61978 Q8WVV9
P49755 Q92542
Q92838 P54852
Q15223 Q96NY8
Q13547 Q92769
Q13409 Q9NP97
Q5TA82 P60411
O60844 Q9UMX0
Q9BXN2 Q8N5M9
P60410 Q14162
Q99757 Q96CD2
Q86XR7 O00206
P14780 Q16820
P05112 P78552
Q9UHD1 P07900
O95707 Q969H6
P27487 P02778
P59990 Q9BYQ4
P60411 Q7Z3S9
P26371 Q5TA81
O95967 Q5TZK3
Q6UY14 Q5TA82
Q9UKF7 Q96DZ9
Q15370 Q15369
Q9UBD3 P60411
P32121 Q15750
P0CG48 Q9UDY8
Q8IWE2 Q9NZD8
O43716 Q9H0R6
O43524 P04637
Q9BYQ2 Q7Z3S9
Q9BYQ4 Q5TA76
Q7Z3S9 O00519
P57087 Q9BX67
P43005 Q5T700
Q8IXL6 P05060
O95273 Q9BSJ6
Q7Z3S9 Q96S52
O43524 Q08050
O15234 P61326
Q93062 Q6PEX3
P09603 Q7Z3S9
P11926 Q9UMX2
A8MQ03 Q6P5X5
Q7Z3C6 Q8IUC1
Q9UBU9 P84103
Q8TE02 Q96EB1
Q07627 O43609
Q9NRJ3 Q9UNE7
P12830 P30260
Q9UMX0 P05121
P16930 P26371
Q701N4 Q7Z417
P06748 P63165
Q9NQL9 P60411
Q8NC69 Q13427
P61769 Q9BZW8
Q9BYR5 P60370
P51172 Q8N668
Q9UBK9 Q9H6T3
P11908 Q96HA8
Q9BSE2 Q9NRS4
Q8N5M9 Q9BXN2
Q6VB84 Q6ZRY4
Q6NUJ2 P60410
Q7Z3S9 Q6PEX3
P14780 Q8IX30
P08238 Q13451
P60409 Q9NP91
O94772 P26371
Q9NQL9 P26371
P60410 Q9BYQ0
Q9Y3C0 Q96EZ8
Q92911 Q7Z3S9
P60410 Q7Z417
P08238 O00170
Q7Z3S9 Q8TC90
P60409 Q99895
P14866 P22626
P48146 P60409
P48039 P49286
P35372 P42857
Q13112 Q9Y294
P54253 Q8TE02
Q9NWS6 Q9H8S9
Q9UJ14 Q8TAF8
Q12800 Q9BSJ6
Q99954 Q8IUC2
Q8WTP8 P60370
O95967 P28300
Q7Z3S9 Q9BYR0
P60410 Q08117
P26715 Q16617
P35372 P35212
Q6UY14 O95985
Q99757 Q96HR9
P12643 Q6ZVN8
Q8NC69 Q9UJX2
Q9UBU9 Q96CG3
P15382 P51787
O75603 Q93062
Q7Z3S9 O14764
Q14498 Q8TBK6
Q8TCY5 Q01726
Q92838 Q6P499
P07498 Q93062
P57678 O43609
Q9UNE7 P07900
P49407 Q14749
Q08E93 Q9BYR9
P28799 P42830
Q8N9Q2 Q96CD2
P63244 O75530
Q96C74 Q86UC2
P38432 Q96EX3
Q9UHI7 Q9BYR5
Q9BY76 P18084
Q9NUX5 Q99795
Q12800 O95363
P26371 Q9BYQ6
Q9ULQ1 Q8NHX9
Q8IXL6 P08833
P43115 O95967
Q9Y342 Q9NXJ0
Q96HA8 P11217
Q8NEC5 Q9BQ66
Q96MU7 P62995
P0C7H8 P60370
Q9UBU9 O95751
Q9UBX5 P28300
P61326 Q9Y5S9
Q9NZD8 P60891
P26371 Q5TA78
P09917 Q6UWX4
P60410 O14633
P78358 O43765
Q9H1D9 Q9BT43
Q5T686 P60409
O00170 P08238
P40337 Q99873
P60370 Q13895
P19438 P01375
Q93062 Q3LI72
Q9NUX5 Q9NPH2
Q9BXJ1 Q8WWY3
Q5TA81 Q9BYQ6
Q8IYS1 P48775
Q6PEX3 Q9BYR5
Q969X6 Q15061
Q96A26 P08238
Q5TA76 P26371
Q9UKG4 Q9BVK8
Q9NZD8 Q9UI14
P32245 Q8TCY5
P49901 P60412
Q9UHA4 Q9Y2Q5
O75143 O95166
Q15185 P07900
Q92542 Q96BI3
Q8WX92 O75525
Q6L8G9 P49901
P60410 Q9BYE3
Q9HAT0 Q96BZ8
Q5T5B0 P26371
Q9UHD9 Q6UWE3
Q96A04 O15409
P49901 P60409
Q8WW34 Q96BZ8
Q5TCM9 P60329
P29016 P61769
Q14558 O60256
Q6UXU4 Q9BS40
P09603 O43765
Q9GZQ8 Q14151
Q6L8G9 Q9BYQ2
Q9UK97 P63208
Q9H0R8 Q92636
Q9BYQ2 P26371
O14863 Q9BRI3
Q9BSD3 P60411
Q9BSE2 P11686
Q8IXX5 O14879
Q15041 Q86VR2
Q9UBU3 Q9UMX0
P04155 Q6UXZ3
Q05519 Q9UHX1
P29972 P60409
Q9BRP8 P61326
Q9BYR5 Q6L8G9
Q93062 Q8NCR6
P49755 P49768
O15354 Q01959
Q719H9 O15160
Q92636 O95166
P12643 Q12841
Q9BQ04 Q3SY00
O00631 Q9BSE2
Q9BQ66 Q6PEX3
P60409 Q96GN5
Q9NR22 O60506
O75143 P60520
Q9H3F6 Q96HA8
Q8N2M8 Q9Y6A4
P04792 P13693
Q6XR72 Q9BRI3
P14780 P01033
O43447 O43172
Q15113 P05067
Q96IZ5 P07910
P15531 Q13232
Q9BYR5 Q9UHI7
Q8N6I1 Q96D98
Q01780 Q13901
P25445 P48023
Q8IWF2 Q9UBV2
Q9GZQ8 Q8NC44
P21926 P08473
Q9UBU9 P31321
Q8WWY3 P60411
P60370 Q8WTP8
P09012 P98179
Q9NUX5 Q96GU1
Q96D98 Q8N6I1
Q6UX41 P04155
Q9UHD9 Q96SL4
A5X5Y0 P46098
P50542 O14734
O14793 Q96NZ8
P26371 Q9BYQ3
P56545 O15409
Q96HA8 P60370
Q9UMX0 P23284
O43597 P26371
Q7Z3S9 Q7Z3C6
Q9BU76 P51116
Q7Z3S9 P60370
Q9Y223 P26371
Q9BYR5 Q5TA79
P28288 P33897
P02489 Q9NZD8
Q8N3I7 Q3SYG4
P52597 O43251
O95218 P49407
P22303 P06733
Q8IVP5 Q9H492
P60412 Q9BYR5
Q9BVX2 Q96EC8
Q6L8G9 P60370
P07858 Q6UY14
Q9BZL3 P21145
Q9NYB0 P18510
P60411 Q8TAB7
Q7Z3S9 Q96HV5
O14925 O60830
P09012 P61978
Q16617 P26715
P13667 P23284
Q9UNE7 Q99757
Q8N944 Q5JTC6
P11441 O43765
Q5TA81 Q9BYQ3
Q969X6 Q9H8H0
Q96HA8 Q08AM6
Q86VR2 Q9H0R8
Q9H222 Q9H221
Q9NWS6 O76003
P58062 P13640
Q9UD71 Q12800
Q9UHX1 O60844
P60411 Q6UXX9
Q8TDS5 Q5TA45
P35637 Q92804
P31942 P09651
Q15041 Q9NZD8
Q92934 O43521
P60329 Q7Z3S9
Q96IW7 Q92838
Q9HC29 Q04724
Q9UGL9 Q9BYQ6
P60411 Q9H2X0
P31323 Q86UN6
P07910 P63165
Q08AM6 Q16609
P15531 Q9Y3F4
P05121 P02763
O43251 P54253
Q9P121 Q8N9M1
O00206 Q99836
P60370 Q9NZ81
Q5TA76 Q9BQ66
Q15041 Q9H115
P59991 Q7Z3S9
Q99732 Q9UMX0
P0DO92 P10644
P60411 O43597
P04792 P02511
Q14749 P49407
Q15544 Q15543
P60409 Q5T5B0
O60844 Q9UHX1
O14931 Q68D85
P60410 Q9UGL9
Q12788 Q16576
Q5T7P2 A8MQ03
P63172 Q8WW35
Q8N4P2 Q9BPU9
O43765 P05121
P60410 Q9Y5W5
Q14978 P49407
P63313 Q9BYQ4
Q8WUI4 Q0D2K3
P63208 Q9NRD1
P83876 O95400
Q9HC62 P63165
Q03519 O15533
P05107 Q7Z3S9
Q7Z3S9 Q969U6
P59991 Q5T686
Q9UHR5 Q9UHX1
P49407 P25101
Q99757 P49247
Q8N112 P21854
Q08AM6 Q9BSG0
A8MQ03 Q5T5A8
P60410 Q92537
P21452 P20366
P25116 Q9UNN8
P60410 Q5TA81
P34897 Q96DZ9
Q12800 Q9UF47
P30518 Q8NCT1
Q8N5F7 Q9Y388
Q9H2X0 O43597
Q16206 Q8TC92
Q5T9L3 P35372
Q9NRR5 Q9UMX0
Q16082 Q9UJY1
Q8IUC2 Q93062
Q92838 Q96IW7
Q9BQ66 P60370
Q8NI29 P63208
Q7Z3S9 Q6L8G9
P19338 Q9UQ80
P26368 P54253
Q9UMX0 P13521
P55884 Q7L2H7
P07237 Q03518
Q93062 Q6P5X5
Q7L273 P29972
Q9UM11 P30260
Q6P5X5 Q93062
Q9BXN2 Q9BZL3
P80297 Q9NYB0
P38432 P61328
Q8TDW0 Q8IWT6
O43609 P60409
P60410 Q9BYQ2
Q8TCY5 P32245
Q12841 P12643
Q13427 Q12800
P49768 Q9BQ95
Q96LT7 Q8TEV9
Q5T5B0 P60411
P60409 Q9GZP9
Q96EU7 Q9NS00
P63244 Q9Y561
Q9BYQ3 Q8NEC5
Q9UGL9 Q9BYQ3
P29972 Q7L273
Q5T5B0 Q9BYQ4
P20963 P49407
Q5T5A8 Q701N4
P04637 Q8N488
P60370 Q9H2X0
P28799 Q16643
P03950 P19883
Q96PJ5 Q03403
P61978 Q9H3D4
Q96FQ7 Q08117
Q13427 Q14498
P08588 P21917
P60409 Q6P087
P16070 P10451
Q9NQT5 Q9NPD3
Q14019 P09917
Q7Z3S9 Q9H4G1
Q9ULZ3 Q7RTR2
Q5T4B2 Q3LI76
Q96EQ0 P05121
Q9BYQ4 Q9BYR0
Q701N4 Q9BYR2
P60370 O43597
P49005 Q9HCU8
Q9NT62 Q9H0R8
Q14498 Q7Z7F0
P53611 P57081
P18084 Q9BY76
O75426 P08238
P26371 P20155
P58062 P02795
Q3LI66 Q06250
Q9UMX0 Q9BVW6
Q9NP97 Q13409
P30556 P01019
Q9NYB0 P25713
P27449 P21757
P50402 O75531
O94967 P56279
P08709 P13726
Q7L1W4 Q8IWT6
Q08117 Q8TBE0
P36952 Q9Y6M0
Q5TCM9 Q5T7P2
P61978 Q9NYB0
P20366 P21452
P58062 P80294
Q9UNE7 Q9BZS1
P35070 O43765
Q9H2S6 Q9BSE2
Q9BYQ4 Q5TA81
P26371 Q9NQL9
P80098 Q9UMX0
P21453 Q07108
Q96HA8 P11908
Q9BYQ3 Q5T7P2
Q9NRS4 Q9BXN2
P60410 Q9BYQ6
Q8IVP5 Q9HC62
Q6ISS4 O43765
Q9NP84 Q9BRI3
P48551 P63244
Q8N668 Q9UBI1
Q9UKT8 P63208
Q8N326 Q96IW7
Q9UMX0 P02814
Q93062 P54253
Q96LI5 Q9UFF9
P60410 Q5T5B0
Q99547 Q01780
P11686 Q07325
Q7Z3S9 Q9H6L2
P60410 Q5TA78
Q9UMX0 Q9NQG6
Q9NQT4 Q01780
P98066 Q99731
Q9BRU9 P60370
Q9BYQ4 O76003
O43597 P60411
P57081 Q9NWS6
P04733 P46087
O95407 O43557
P60409 P49901
P43628 P10321
P16860 P60411
Q9BYQ3 P26371
Q13162 Q8NBS9
O43597 Q9BYQ4
Q9BR01 Q9NUX5
P49901 Q7Z3S9
P01019 P50052
Q08AM6 Q53HV7
Q9UJX2 Q8NC69
O43617 Q8IUR0
Q9UL33 O43617
Q8NBW4 Q9Y2Q5
Q96CG3 Q9UBU9
Q9Y679 P35372
P49901 P26371
Q2HXU8 Q9UBY5
P63208 Q96GX9
Q93062 Q6NUJ2
O43765 P23284
P50225 O00204
Q04941 Q9BSE2
Q8WVV9 Q8N9W6
Q5VZV1 Q15369
O43251 Q6P1W5
Q9BZS1 Q8WUI4
P50616 Q9UIV1
P63172 Q9BQS6
P24522 Q8TAE8
P26371 A1A5C7
O00220 P50591
Q969H8 O43765
Q9BYQ6 Q5TA81
O60256 P60891
P11217 Q96HA8
Q12800 P46379
Q05519 O43716
Q495A1 Q96NY8
Q9BZX4 O75969
Q9BWQ6 Q96EC8
Q9H079 P55081
Q9H4F8 Q7Z3S9
P07900 O95433
Q9Y5U9 Q09470
P15151 Q9BRI3
Q96GN5 Q8WWY3
P51116 Q9NS73
Q7Z3S9 Q6NUJ2
Q96GN5 P55081
O43765 P31431
P04637 P38936
Q9BYR0 P49901
P63244 Q92615
Q701N4 Q9UGL9
Q8WWY3 Q96GN5
P60410 Q5TZK3
Q9H492 O75143
P55795 O43347
P30101 Q03518
Q5TZK3 Q9BYR5
P60409 Q08117
P04792 P27797
Q9UMX0 Q9UHQ9
O43765 P09603
Q8NDH3 Q12800
Q9NPA0 Q701N4
Q9BYQ4 Q9BYQ6
Q15061 Q969X6
Q9Y5P3 Q96EQ0
P60409 P28799
Q9UHD9 Q96DA0
Q6L8G4 Q5TA81
O75607 Q86SE8
O43765 P46379
Q96JK4 O95967
Q8IUN9 O60831
P01033 P14780
P16035 P50281
P0C7T5 Q06330
P60410 Q9BYQ3
P29972 Q8IX06
P09012 P38159
P01308 Q07627
Q9UGL9 P60410
Q9BU61 P09012
Q9H4L4 Q9BV38
Q9HD15 Q92769
O76003 Q9BQ66
P32121 O95218
Q9Y5S9 Q9H1J1
P61978 Q99873
Q9UMX0 Q5JXX7
Q13547 P06748
P54253 P23528
P54253 Q06330
Q9BRX9 Q9BZL1
Q9NUB1 Q08AM6
Q5TA81 P49901
P49901 Q701N4
Q9BYR5 Q7Z3S9
Q96HA8 Q8WWZ3
P10082 P49146
Q6UY14 Q9NP91
Q6UY14 A8MQ03
P23284 P13667
Q93062 Q9BVV2
P58549 O43765
O95881 Q96EQ0
P62995 Q08170
Q9UBU9 Q9UKK6
Q9ULM6 Q9UFF9
Q9NUX5 Q9BR01
P60370 O76003
Q969P0 P60409
P05121 O43765
P52756 P26368
O75593 Q9Y6H3
P0CG48 P04637
O00746 P15531
O60831 Q8IUN9
Q9Y6H3 O75593
P49407 O95218
O15294 Q15750
Q9UMX0 P45877
O43765 P08294
Q9BSG0 Q08AM6
Q9BPY3 Q9NWS6
P38432 Q9UJX2
P51681 P61073
Q8TAM2 Q3SYG4
Q8N9W6 O43251
Q9BYQ6 O43597
P60328 P59990
Q9Y3C6 Q16630
Q01344 P32927
Q9BVW6 Q9UMX0
O95751 O75348
P60410 P49901
Q9NUX5 O94808
A8MQ03 Q9C0C4
Q14213 Q8NEV9
Q9Y6Y9 O00206
Q9H8S9 P48775
Q9UJ14 Q5TGU0
Q9GZQ8 Q15424
O00241 O43914
Q9H2X0 P60410
Q02487 P17302
Q6ZMM2 Q7Z3S9
P49901 Q9BQ66
Q8NEC5 Q9UKJ5
P0DJD3 Q8WWY3
Q8TAB7 P60409
Q8N4P3 Q13287
Q9HC29 Q9Y3D6
P60370 P0C7H8
Q9NNX6 Q08AM6
Q96DN0 Q9UMX0
Q9H0R8 Q9NT62
O14633 Q5TA81
Q15427 Q8TBK6
P28799 O43765
Q9UHD9 O95994
Q93062 Q9Y4M8
O43815 Q13033
Q5TA77 Q6L8G9
P14784 P60568
P59991 Q93062
O75427 Q9Y2Z0
O43597 Q5T5B0
Q9H2X0 P60411
P18510 Q9NYB0
P26599 Q15365
Q96NY9 Q96AY2
Q8IYS8 P31321
Q9BYQ4 Q7Z417
Q9UMX0 O95967
P13497 P07585
Q9BYQ4 Q9BYQ3
Q13901 Q5VWK5
Q9H2X0 Q9BYQ4
Q7Z3S9 O14817
Q96GT9 Q9NYB0
P61978 Q01081
Q9H4G1 P60411
P05067 P30101
P63208 Q9Y297
Q96HA8 Q9BXD5
Q9UMX0 P22352
O00241 Q9NP55
P61978 P55064
Q9P1A6 Q9BYR5
Q9Y2I2 Q9HBW1
Q9UKJ5 Q5TA81
P48740 P11226
O60238 P60520
P57081 P53611
P13688 Q8TDQ0
P02741 Q96IJ6
Q9P126 Q86YL7
O43765 P58549
Q9ULV1 Q00604
P54198 Q9Y294
P60410 Q9GZM5
Q6L8G9 Q6PEX3
Q9P287 P62829
O43609 Q5T7P2
Q5TA79 Q9BYR5
O60232 O75971
Q7Z3S9 Q06250
P02511 P04792
P45844 Q9H172
Q9BYR5 O43609
Q9UHD9 P54725
P43034 P07900
Q9UJX2 Q9Y5R4
Q9BSE2 O00631
P60568 P01589
P04637 P04792
P60520 Q9NT62
Q9HBX9 P24588
P18564 P06756
Q9Y223 Q9UHF1
Q9HAB3 Q9UJX2
Q9H115 Q15041
Q9BYQ0 Q7Z3S9
P14621 O00204
Q9NPD3 Q9NQT5
O43609 Q7Z3S9
Q9UHI7 P60370
P28799 Q6PEX3
O43809 Q86X55
Q99873 Q01844
O15160 Q8IYX7
Q9GZU1 Q96IW7
P04156 P29372
Q99932 O75420
Q17RB0 Q9UMX0
Q96QV1 O43323
Q13547 Q96D98
Q8TCT9 P07237
P0CG48 O43583
Q9BWD3 Q9UMX0
P63165 P46060
Q9H7E9 P60409
Q96DA0 Q9UHD9
P54852 P26715
P14618 P32121
O75084 Q9UMX0
P63165 Q92844
P63208 Q8NI29
Q5D1E8 Q9NZD4
Q9H0L4 Q9UMX0
P60410 Q9BYR5
Q8N5F7 Q01081
Q96JB6 Q96LA8
Q9BRU9 Q7Z3S9
O60547 Q96HA8
O43914 O95944
Q6IA69 Q9NTM9
Q9NS64 Q9BSE2
Q02790 Q92990
B2RXH8 O60812
Q9BQ89 O95273
Q6PEX3 P60370
P16452 P58062
Q9NQL9 A8MQ03
Q9UBY9 Q9UJY1
Q6L8G4 Q5TA76
Q9H171 Q13601
P20226 P04637
O95166 Q92636
P26639 Q9BPX7
P40337 P14866
Q8WW35 P13984
Q6UXX9 P60411
O00206 Q9Y6Y9
O95273 P62857
Q8TBK6 Q15427
P33032 Q8TCY5
Q13895 Q86SE5
O95751 Q9BQ89
Q5TA78 Q9BYQ2
O95166 Q8WXU2
Q9BZS1 Q9UNE7
Q96HR9 Q15041
Q07627 P60370
O00422 Q9H307
O75821 Q13347
P10599 P32119
P78423 P05556
Q93062 Q9NWQ4
Q6P1W5 P52597
Q9Y3C0 Q7L9L4
Q96DH6 P55795
Q9BZW8 P61769
O14633 Q5TA78
Q92838 P26678
P60410 Q9NQL9
Q9BYR3 Q5TCM9
P28223 Q14416
P25713 P02766
Q7Z698 O95985
P60370 Q9BYQ0
O43809 P54253
P26371 Q9BYQ2
P08238 O95433
Q13363 O15409
P59991 Q08E93
P27658 Q6IA69
Q9UHD9 Q96NZ9
Q9BYQ6 O76003
Q96S52 Q9BYQ4
Q08117 O95751
Q9UMX0 O95994
Q96EC8 Q9Y548
P61073 P51681
Q9NS00 Q96EU7
Q9H307 O00422
P62995 Q13242
Q92838 Q9NRP0
P47897 Q08117
