Q14511 P12830
P34947 P08172
Q9Y4H2 P19235
Q9NRD5 Q14832
O43186 Q8TC57
Q07075 P06307
P04183 Q5RL73
Q5FBB7 P46779
P04899 P25101
Q99972 Q16775
P49662 P01584
O95477 Q15700
Q07817 Q96LC9
P67809 P35637
Q96KG7 Q13322
P31749 P54253
P63151 P30154
Q9BVM2 Q9Y230
Q13291 Q06124
P14866 Q8NG27
Q12846 O75379
O95751 P18848
Q13255 Q14643
P17676 P10147
P53779 P32121
P04181 Q8N357
Q8TEQ6 Q9UHI6
P54257 Q15388
Q12860 P46531
P78345 O75817
P43403 Q8IWV1
Q12852 P21980
O43294 Q9NRR5
Q9ULD2 P50052
Q13547 P19838
O43464 P05067
Q16143 P05067
Q9UQ80 Q96ST3
Q92831 P33076
P07384 P53634
P04839 P13498
Q00526 P43629
Q5H8A3 Q9HB89
O15066 Q92845
Q06141 P12429
Q15078 Q00536
P10912 P40763
Q9UP95 Q6VMQ6
P36542 P25705
P29375 P20226
P04637 P25208
P34947 P25103
O15379 P13056
P27986 P48023
P16870 P27694
O43572 P13861
P19784 P04156
Q02078 P50553
P35268 Q9UNZ2
Q96A72 Q9Y2J4
P34947 P08100
P36894 P12643
P13984 P53567
O94829 P26367
Q9NQX5 Q14186
P17252 Q9BR76
O94967 Q96EP1
P40925 Q13368
O15514 P62875
Q02790 P62942
O43809 Q9GZT8
Q05586 Q13115
O60925 Q9Y3C7
P05386 Q9NPI1
P12931 P16284
O60869 P21675
P20941 O43186
Q9UP38 P56703
Q15910 Q9NYS7
P49662 P49768
Q9H875 P19525
O95084 Q9BUL5
Q9GZR2 P03372
O15162 O95336
Q86SE5 Q9H9D4
Q9P0L0 P63027
P07498 P19784
Q9BV79 Q07869
P22455 P21781
P49368 Q13151
Q9Y2T3 Q12959
Q9NPC2 Q04917
O43889 Q13021
Q13111 Q9UBU7
P13498 P19878
Q9GZM7 O15198
P08138 P27361
Q13442 P09619
P47897 O75131
P17252 P08034
Q9BUJ2 Q9GZY0
P42338 P08473
P09467 Q9H1I8
O95400 Q92530
Q92793 Q13547
Q6UWE0 Q99816
Q16280 P0DP25
P27448 O75439
P27348 Q9NRR5
P02768 Q92736
P84022 P0DML3
Q9Y297 O15169
P17612 Q14978
Q9UQF2 Q07954
P25445 P0DP25
O15550 O15198
Q99720 Q14573
Q99728 Q05048
Q9NWQ8 Q13094
P32246 P40763
P62879 P04049
Q9HAU4 P27824
P07948 P16410
O95751 P48552
P54259 Q9H2X0
P25025 P30679
P08670 Q92956
P06239 P16070
Q9Y3C7 Q96K62
O60941 Q9NRG1
O95832 O60885
Q6P9H4 O00548
O75197 O15198
P68400 Q12972
Q9Y5K3 P62736
P22736 P54253
P06493 Q06413
Q08170 Q9HCE7
Q13133 Q9NX61
Q13136 Q13332
O15523 P04278
Q99615 Q9HCE7
Q13432 Q14061
Q02388 Q8IWR0
P34998 P63096
P12429 Q96ID5
P32456 P61604
Q9C0J8 P26641
Q12933 P54725
P04406 Q14012
Q07352 P68402
P04632 Q7L5D6
Q15645 Q93062
P51948 P04637
Q01844 Q9BPW5
P52292 Q5RL73
P14672 P61204
Q9NSA0 Q5T2W1
P52333 P24394
Q05655 P35611
P09455 Q9HCU9
Q96T58 O75376
Q99717 P08621
P53621 Q02978
O75487 P39060
Q8TEL6 P19438
Q8IYF3 Q02080
P13631 Q12796
Q6PD62 P51451
P54762 P98172
P26038 P32942
Q9Y2I6 Q6UWE0
Q15363 Q8N6T3
P61981 P04637
P68400 P52655
Q13526 P04637
P32780 P35998
Q9BXS5 P16410
P63252 O14936
P61956 O60229
Q9H8S9 Q15834
P27348 P16144
P23025 P29084
Q96CW1 Q7Z7J5
O00161 P13569
Q9GZZ7 O60542
P61764 Q02410
Q99627 P61201
P53611 P62820
Q04724 P56282
Q03135 P29474
P50995 P09104
P16671 P07948
P05129 P48058
Q9Y243 P56279
P05091 Q9UKR5
P49841 O15294
P49427 P0CG47
O00213 Q06481
P08238 Q07960
Q16695 Q9BY41
Q9H269 Q9H270
P17612 P33076
Q86TM6 P04637
O00548 Q9H488
O94985 Q9H0B6
Q02040 Q07955
Q14005 P78508
P04637 O95376
Q86YW5 P29350
Q13185 Q5T6C5
O95751 Q96GM5
P23434 Q13287
Q13459 Q9Y3A3
P10451 Q9NR12
Q13363 P41970
P28715 Q01844
O60331 P98164
P33151 P35222
Q8TAE8 P67870
Q9BRP4 P62191
P78396 P63244
P22681 Q9GZY6
Q6ZVK8 Q9H446
Q9NPD3 Q15477
Q9NRR5 Q96AQ6
Q5RKV6 Q07021
P05162 P01374
P21333 P40337
O14744 Q9BQA1
O43609 P62993
Q15833 Q16623
P46527 P24385
Q5JY77 P29371
Q13797 P21673
O95837 P08172
P63104 P32927
P37268 Q9Y230
P34972 P30679
Q96RT1 O00192
Q15233 P00918
O14795 Q96GM8
Q06124 P13688
O15294 P08047
P52179 P35579
P25100 Q14315
P07492 P30550
P21675 P52655
Q9UNK0 P53621
P35462 P62993
Q9HAU5 P46777
P78504 P55196
Q13428 P12004
Q9BY67 O14936
P10276 P30041
O60296 P63252
Q92597 P49327
P05783 Q9UMD9
P50150 P16520
P29218 P05937
Q99836 O43791
P17152 Q96GD3
Q8IZH2 Q9HAU5
P63244 Q15139
P63244 Q02156
O75369 P49768
P21796 Q15388
P63104 P98177
Q9H2S1 P0DP25
P17252 P27635
Q99547 Q8N392
P05129 P04004
Q13185 Q14739
P05231 Q99962
O15524 P14784
Q15542 P21675
O00303 P04278
P19525 P06748
P21333 P09958
O75445 P05783
P51790 O14745
Q96MU7 P12931
P98161 P14923
P56945 P98161
P14672 Q8IYX3
Q96D09 P25021
Q96G75 P04278
P54253 Q6ZVL6
Q15427 P49842
Q96P71 P05067
P62508 Q9NPJ4
Q9H3U1 O15198
Q96RK4 Q15154
Q06187 Q9Y2C9
Q5SQ64 Q14451
P62937 O00267
Q9UNE7 Q86WG3
Q9NWS0 Q9Y3Q8
O95866 Q06124
P13688 P06213
P46527 O15131
Q9BSK4 P49593
Q09472 O15350
P54253 A7E2V4
Q14526 Q13363
P12270 P49790
P18621 O95149
Q96SB4 P08621
P30408 Q08345
P16150 P05362
P16157 Q02094
P52803 Q15375
P38936 P62820
Q16539 O00418
Q712K3 Q9Y297
O14836 O75888
O60674 P38484
O14649 P31946
P51159 Q5T3J3
Q96RE7 O15379
P42684 P07203
Q99496 Q12800
Q13224 Q96CW1
P04637 P09429
O95218 P25490
P36542 Q9UQN3
P50453 Q9NPI1
P12830 P00533
P48634 P62993
P43405 P11912
P01178 Q92731
O00159 Q9NYV6
P07384 P25116
P63165 Q9H422
P23297 P36871
P17480 Q03188
Q8WU39 P55211
O43639 Q16630
Q08380 P17931
O96020 P46527
O43541 Q15750
Q13547 P38398
Q9P1Z2 Q8WYA6
P07814 Q8IXH7
Q15375 P52797
Q15124 P46939
Q12988 O43149
Q15149 P23229
Q6EEV6 P04075
Q13485 Q14956
P08887 P26441
O75618 Q92851
P18850 P11831
P0CG47 P42566
P39748 P26641
P06734 P06241
Q03135 Q14254
O14578 O15399
Q9Y6M9 Q99689
Q9BUJ2 Q9UBU9
Q92692 P55196
O76003 Q70Z53
P40305 P11802
Q92482 O14939
P20226 P29083
Q99986 P04637
P04626 P16144
O95136 P50148
Q13705 P55103
P20248 P54198
Q6EEV6 P11310
O60238 Q9P104
O00192 P19022
P04637 P42680
Q9UKY1 Q99547
Q13347 Q14152
O00560 P34741
O14777 Q13257
P05771 P47870
Q05086 Q9UHD9
O75448 P19793
P48551 P52630
P34897 P67870
P52630 Q13547
O75446 Q16695
O95721 P51809
Q9Y698 Q15700
P30556 P04049
Q14994 Q9UBK2
O14788 P25963
Q07666 P52333
P52597 Q09161
Q15796 Q02078
Q9NRR5 Q96JN2
Q9NRA1 P16234
P43355 Q13547
P07948 Q12972
Q99719 O60260
P10586 P06213
P08311 P09874
P38432 P61289
Q13227 P04637
P53779 P04637
Q9UN86 P19838
Q9UK58 Q01130
Q99959 Q08554
Q9H1J1 Q92900
O14678 Q96BY9
A5PKW4 O14775
P28799 Q96AQ9
O60568 Q96KQ7
Q9H6U8 P16104
P16284 P14923
Q9UMD9 P15924
P31994 P29350
Q495Z4 P04278
P54727 Q01831
Q16665 P40337
Q99590 P84103
P01135 O00560
O95972 O00238
Q9BYE9 Q6P0Q8
Q16778 P00709
P33240 P26641
P23142 P15502
P36542 Q14181
O15460 P48634
Q9Y3F4 O43541
P30154 Q13547
Q02410 P05067
O00161 P51116
Q9Y3A3 Q9ULH0
P16870 Q12789
P43250 P20309
P48643 Q13371
P10827 P35637
Q9UBK2 Q15853
Q8N488 Q13158
P28482 P51170
Q9P202 Q9HCJ2
O43924 P54725
P06239 P43628
P62330 P20309
P62917 Q9H8M7
Q9UQ80 P10275
P40238 Q06124
O60232 Q99832
P07947 P15529
Q15185 P27540
P26038 P15529
O43157 P08581
P10586 P35222
P63167 Q9HD67
P54253 Q9H7H0
Q13459 Q15345
P0CG47 O14920
Q12866 Q14393
P56279 P31749
O75052 Q92777
Q14289 P05107
Q8IWV1 P62993
P38432 Q9NRD5
Q9Y4K3 P51787
P40933 P14784
P42336 Q13224
Q6EEV6 Q9BQE3
O75381 Q9UKY1
Q13547 P12004
Q5T3J3 Q9H4M7
Q9Y272 P62873
O00192 P55291
Q01780 Q9Y230
P22004 P27037
Q14654 P00338
Q8TA86 Q01081
P55884 Q14152
P06746 P27695
Q12933 P25942
Q5PSV4 Q13547
Q9NP94 Q14722
P01589 P40763
P54259 Q92824
P0DPI2 Q70Z53
Q92597 P11940
Q07157 P48165
P61296 P06748
P62487 P49842
P68104 Q15102
Q13291 P09769
Q6P1K2 Q9Y3C7
O94953 Q9BTT4
Q9H853 Q05586
Q6EEV6 P00558
Q9UK41 P62987
P10828 P04637
O60262 O14775
Q92793 Q13363
P40198 P12931
Q15796 Q13219
P43405 Q13261
Q9H840 Q16637
P68104 P04278
Q92696 Q13873
P56537 P08559
P17252 P51674
Q96HF1 P04628
Q9Y3A3 Q15834
Q70IA6 Q15208
Q13111 P68431
O00214 P13612
Q9H427 P31947
P12830 P35222
Q9P2R6 P48634
P07384 P55822
O95870 O75391
Q92973 Q86U42
Q15544 Q6P1X5
P04234 Q96CW1
P17301 P68133
P17612 P13569
P02775 Q9UBW8
O14599 Q05086
O60383 P04183
Q13885 O60260
Q16623 O60706
P60880 P63027
P52434 P62875
P42338 P50052
P45984 O00418
Q13158 O00220
P22748 P02730
Q01844 Q9H5I1
Q14517 Q9NSC5
P17600 P20936
P42574 Q02078
O95257 P62826
Q96K83 Q9UH73
P30793 O95433
Q07666 P08631
Q9HCU9 P56524
O60353 P56705
O15111 P08238
P23416 A5PKW4
Q9BQG0 Q9UBK2
Q8IX03 Q8IW50
P26992 O15162
P68036 O60260
O75208 Q9HCE9
P48039 P29992
Q9NZD4 P0CAP2
P21246 Q8TF65
P07384 Q15078
O95985 Q07021
Q86UR5 Q13936
Q9Y6K1 Q13547
P55854 P05412
O95477 Q53GG5
Q9NQL2 Q76FK4
P11831 P19793
Q99062 P04054
O75385 O95166
Q05586 Q02156
P55058 P02649
Q14500 Q15700
O60296 P47870
P49418 P17600
P18825 Q14232
Q96MU7 P42681
Q16531 Q7Z569
Q9UHA4 Q02750
Q9ULX3 Q9HAU5
Q5JY77 P30559
Q15047 Q9BQ95
P60484 P04637
P42768 P62993
Q99608 P08138
P10912 P27986
O00499 P23229
Q13136 P10586
O15169 P39687
Q96D31 Q9Y210
Q13432 O60341
P49810 Q07817
Q02878 O95793
Q13069 Q8NEA9
P30556 P25098
Q13319 P12814
Q00403 P20226
Q9P2A4 Q9BVK8
P50552 O00308
Q15797 P02462
Q5RKV6 Q9HAU5
P00451 P00734
P36896 P08476
P68402 P49368
P54762 P52799
P17600 P35080
Q14524 Q96PU5
Q9UFF9 O95628
P10644 P62993
P42574 P43146
Q9Y3C5 P62987
P49247 Q9GZT8
P05783 Q9Y5B8
P24928 Q15233
P35080 O43765
Q9Y239 P55211
P30533 Q9NQC3
P78560 Q5T3J3
P42330 Q9UKV3
P35372 P63096
Q15750 Q9NYJ8
P04637 Q15796
P20226 Q969F0
Q13287 P42229
Q13131 Q13002
P11940 O95793
Q9Y3B4 O75533
P68104 Q00887
O95870 Q92900
Q9NQX3 P63167
P31942 Q9P1W9
Q9UQM7 P20941
Q99972 P60033
P05771 P41180
O95257 Q9Y6R4
Q00653 P62888
Q9Y6Q6 O00463
P14209 Q15645
Q9BPX7 Q70Z53
Q13315 P50542
P19634 Q99750
Q14088 Q9NQC3
P32927 P10721
Q5T2W1 Q14916
P98155 P30533
P53667 P23528
P54259 P23142
P06493 P38936
Q9H9D4 O95985
Q8NHJ6 Q92835
Q03135 P27361
Q96MP8 Q9BQD3
P53355 P19438
O14980 Q9H4D5
Q8NI35 Q12879
P20674 Q7L5N1
P54253 Q9NR31
P27105 P78348
P21802 P21781
Q9Y5X4 Q16576
P57060 Q9UMR2
O00214 P26006
P11474 Q9UBK2
P20916 P46821
Q13277 Q15833
Q13315 Q99638
P40937 Q5RL73
O75607 Q9P2H0
O60603 Q9UPT6
Q15813 P68366
Q13177 P23588
Q9HBE5 P23458
P11161 Q9Y3C7
Q99848 P11487
P20226 P42858
Q15047 P50616
O43561 P19174
O00222 O75928
Q13061 P21817
P07384 P04637
O15116 Q9UBQ7
Q05586 Q05193
P20151 Q02383
P20338 P04179
Q9NRP7 Q9UMX1
P49286 O60716
O60506 Q16637
O60500 P06241
Q13426 P49917
P04183 Q5T3J3
O60383 Q96RU7
Q9UL40 Q9HAV4
Q15645 Q96HA8
P51679 P35626
Q13432 Q9NXU5
Q9UI14 P31150
Q8IYP9 P29475
Q12962 Q6P1X5
Q92844 Q13114
Q9Y3F4 Q16637
Q9ULV8 O43597
Q14517 Q86YM7
P10276 Q9UKP3
P07948 Q9H400
P16989 Q15366
Q8N8S7 Q9UQB8
Q99728 P21246
Q86YF9 Q86SG3
O75970 Q6UVK1
P04040 Q9BXR5
Q14289 Q12879
Q9NRR5 Q9HAT8
Q13547 Q16890
O60749 P48357
Q8TAI7 P83876
P10600 P36897
Q6EEV6 P04040
P50148 P20309
O95477 Q9NZN5
P31942 P26641
Q13258 Q5JWF2
Q15645 Q9NTN9
Q96ST3 Q9UKV0
P38484 P04150
P04629 Q96EY1
Q9UNN5 Q13158
P50150 P62873
Q6ZYL4 P50613
Q9UIA9 P49790
P63104 P05114
Q13835 Q02413
P09958 P46531
P35754 P08651
P53621 Q9NTJ5
Q9NR34 O15198
P20226 P54257
Q15582 P02458
Q08050 P40763
Q07666 P20936
O00161 Q15833
Q13444 P62993
Q9NPD3 Q92900
P61981 Q9UHX1
Q8N6I1 Q15796
O00186 P17252
P30874 P27986
Q9NRR5 Q9P2K6
P28074 Q9Y244
P61956 P35712
P19784 P07910
P78527 P04637
P33032 P42127
Q5T5P2 Q9NQT4
Q13177 P17600
P49005 P62312
Q13635 Q15465
Q9BX69 Q9Y239
Q15654 O60603
Q99689 O14530
O60603 P09429
Q8TBZ2 P13861
O60260 O14936
Q15042 Q9H2M9
O43257 P04637
Q9BQ66 P15622
P55060 P12830
P62993 P20963
Q16270 P01344
Q9Y239 O43353
P51693 Q9UGL9
P84022 Q14213
P57103 P31946
P20962 P04150
Q8N1V2 P50991
P16333 P42768
Q13148 Q9UNZ2
P25063 P09769
Q01780 Q15477
P54253 Q9UGR2
P18031 P19022
P43405 P05107
Q15154 Q9P209
Q9HBE4 P23743
P21673 Q5T3J3
Q06455 Q13547
Q05516 Q9UBN7
Q92563 Q9UGI8
P51572 Q6Y1H2
P16473 P08754
P63167 P04075
Q07666 Q13509
P56278 P31749
Q14896 Q8WZ42
Q9UH92 P60520
P61764 Q96C24
P36542 P30281
O00192 P12830
P43405 P12314
Q14974 P49792
Q5U623 Q9UIS9
P40337 P17980
P10144 P42574
Q9UM47 Q06330
O43561 P15498
Q01844 Q8NDC0
Q9HBM6 P04637
Q14155 Q9BZW8
P03372 Q9UNE7
Q13257 Q9Y3Q8
O15287 P11511
Q92624 Q96S15
P07910 P63279
P61981 P56524
O00189 P13473
P17813 Q04771
P53805 Q99759
Q9UKW6 Q9NRR5
P05000 P17181
P62258 Q92934
P19438 P29350
O43353 P19438
Q9P0K1 P31946
P06239 P15941
P07492 P27487
Q9Y6H5 Q7L5D6
O43561 Q15464
O43707 Q96NW7
Q96SB4 Q08170
P22607 O60258
P14923 P32926
P43405 P12318
O15130 P01303
P58753 P19525
O75886 Q9NRR5
P42773 Q5T3J3
P10912 Q06124
P05387 P05386
O14733 O75293
P61764 P12036
Q9NUT2 Q8NC60
O95602 Q14978
Q7Z6J2 Q14416
Q92973 Q99666
P51159 P10144
Q9UIF9 Q13547
Q12974 P53611
Q13901 Q9Y618
O15121 P00533
Q16620 P20783
P51948 Q86YV9
P41273 Q12933
P68400 P11831
P09874 P38936
P01569 P48551
Q9UI14 P20338
P54826 Q15465
Q71SY5 Q96RN5
O43261 Q9P2H0
P33151 P41240
P55854 Q03933
P78337 Q93062
Q05209 P42768
P84022 P21980
P07737 Q04724
P62834 Q9UNN5
Q99750 Q9NRN7
Q16352 O15399
P28482 Q93038
Q96RT1 O15105
P68400 O60936
O15399 P21359
Q13158 P25445
P50281 Q07021
Q969Y2 Q5TAQ9
Q15797 P62987
Q9Y2W1 P61981
Q9UNE7 P36897
Q9BXY8 Q9BQ66
P54253 Q9Y6X8
P35244 P27694
Q15020 P10275
P32241 Q5JWF2
P54764 P52799
P57087 Q07157
Q15700 Q13224
P61764 Q16623
Q13705 Q8N6C5
P28482 P31994
Q8IY57 P25490
P13631 Q9UKP3
P34947 P30411
Q00534 P38936
Q9UJM3 P04626
Q03135 P06213
P78536 Q14192
P57073 Q5T230
Q13526 Q9NRR5
O60262 P62873
P20226 P03372
P05230 P68400
Q16787 P00747
Q03135 P04626
P04792 Q9UER7
Q07812 O60936
O75581 O15169
P34947 P47901
Q99689 Q8N8D1
P31269 Q93062
Q9UFN0 Q8NBJ4
O60563 Q13309
P46100 P21246
P32780 Q13888
Q9H6Q3 P20963
Q13112 P24941
Q9UBL3 Q13432
Q03135 P16234
P50453 Q8IWV7
Q14524 P49796
O00238 P62979
Q01959 Q16623
P14209 P62256
O43294 Q01959
Q05586 Q00610
Q13114 P25942
P35968 P39060
P52298 P55010
P14859 P42702
Q9Y6X1 P60468
Q13547 Q08999
Q96T60 P18887
P54253 Q96K80
Q9UNY4 P43243
O14508 P16471
Q5QJE6 P03372
P50616 Q15796
Q9NPH3 P51617
P50750 P50454
Q5HYJ3 Q9BQ66
P06239 O43561
Q8IV45 Q04206
Q9HCK4 O95897
O15520 P01189
P40425 P36578
Q14103 P63279
O15226 Q00653
Q9H074 P11940
P63279 P63165
P05129 P41594
Q9UQM7 Q12879
P13631 Q96JE9
Q92844 O14920
Q9Y4K3 P08138
Q8TBR7 P08195
Q99570 Q8NEB9
P56817 P05067
Q9UI14 P62070
P12931 P09327
Q96ME1 O15162
Q9HD26 P51790
Q9GZQ6 O15130
P06729 P09382
P12236 O95084
Q13418 P05106
Q8N474 P09544
Q9H410 Q96IY1
Q15583 Q5T3J3
P04637 Q16666
P42224 P48551
Q05586 P51812
P11021 Q0P6H9
P54257 Q99595
P12643 Q04771
Q9H1H9 P32780
Q05519 P11387
Q14103 P00338
Q07021 P48634
Q6UVK1 P60953
P05106 P09619
Q9P2U7 Q99962
Q92973 P49792
P62324 P17482
Q03135 P01112
P25025 P67775
Q13303 P01730
Q96SD1 O60934
P61764 Q00535
Q92793 P98177
O75293 Q9Y6R4
P17252 P16455
P46109 P05556
P49418 P04004
P16860 P16066
Q14500 O14910
Q9Y5A7 Q9NZN9
Q12959 Q13002
Q6VMQ6 P29084
Q4KMG0 P35222
Q92870 Q06481
Q92989 Q9UKF6
P22459 Q8NI35
P62491 P49810
P68104 Q99519
P56199 P25391
Q92633 O15085
O60869 P37231
O75618 Q13158
Q9UHD2 P08238
P55318 P09429
P55084 P05067
P13051 P15927
P46783 P54257
Q8N5D0 Q9ULK4
O75381 Q96G25
Q14686 P10912
P14625 P55157
Q13503 P20290
P17600 P46108
Q9UM13 Q12834
P52803 P54764
P53350 Q7L5D6
Q9ULX6 Q14739
Q02410 P49768
O60896 P30988
Q9BUF7 Q9NPB6
Q07866 P05067
P46531 Q06413
P13984 P15336
O15111 Q92844
Q92481 Q93077
Q13326 Q14315
P05067 Q9Y6R0
O43521 P10415
P14625 P19784
P06241 P08174
P62328 P62736
Q15427 Q9Y4C2
P28482 P02686
Q6ZVK8 Q8WZ19
Q9UJY5 Q96MP8
Q9Y3F4 P62318
P06748 P84077
Q9NYF8 P10415
O95886 Q14289
P98164 P02649
P62380 P52657
Q9UEW8 P02686
P29536 P60709
P16870 Q14181
P50616 Q99717
Q9GZY6 P16885
Q13363 P29475
O95257 P19793
P11277 P35611
O00186 O14893
P33240 Q16891
O00220 Q13546
Q5THR3 Q99497
Q12959 P42261
O75928 P63165
Q00535 P05067
P49366 P63241
Q15831 P04637
P43405 Q8IWV1
P21333 P26010
P60520 O75385
Q24JP5 P49841
Q03701 O15350
Q96F07 Q06787
P49356 P10114
P16471 P15498
P16234 P04085
Q9UM13 Q13042
O15379 Q8NB12
Q01113 P23458
Q15645 Q5TA45
Q9NPD3 Q96PY6
Q9BZ71 Q14289
Q8TEQ6 P62316
Q9UJY5 P11717
O00238 P43026
P19784 P18887
Q13077 P28908
Q8N165 P01375
P61247 Q8IVM0
Q9Y6Q5 P01130
Q9Y5U4 Q12772
Q02952 P13861
Q02094 P06028
Q15717 P52294
O75528 P04637
P78357 P12931
P13861 P84022
Q9HCU9 O75446
O15379 O43463
P52565 P46527
Q00994 P08138
O95084 Q9H0H5
P33992 Q9Y5N6
P51681 Q14289
Q8WYH8 P04637
Q9HCN6 P07947
P31431 P49023
Q9Y446 Q14574
P62979 Q9HCE7
Q99933 P03372
P17612 Q14749
Q9UBF2 P21728
P10586 P14923
O43684 P09874
Q92597 P31943
O15287 Q06547
Q9UER7 P04637
Q92990 Q9UNZ2
Q93009 Q96EY1
P21246 Q6P1K2
P24928 Q05048
Q07817 P04637
P12931 P20138
Q9BQE4 P0DJI8
P04275 P11021
Q9UH73 Q02548
P32121 Q96G25
P63104 Q16613
O76080 P54727
Q13547 P46100
O15379 O75376
Q00887 Q15796
Q96B97 P06729
O00287 P51532
Q9Y6Q6 Q9UQC2
Q9H0M0 P08887
P17252 Q06481
Q9NYG5 Q13042
P55316 Q13485
P49763 P17948
P23975 P30153
O75928 Q99497
P29274 P35609
O43603 P50148
Q6EEV6 P35998
P62805 O60907
O75791 Q07666
P28476 P17252
P61978 Q96PU8
P22455 P10767
P05771 Q9UQ80
P62917 Q9BVJ7
Q9Y4K3 Q6Q0C0
P11831 P23511
Q14192 P11831
Q96PQ1 Q8NFW8
Q9NV58 P00441
Q16637 P22087
Q9BTE0 Q9Y383
Q9UMX1 Q96D15
P22460 P35609
Q9NWN3 Q13485
Q13363 P06400
P18847 Q5T3J3
P63165 O15164
P68400 P27695
O14641 Q7Z7J5
Q15109 P04271
P14923 Q02413
P54253 O15397
P81877 Q9UBH0
Q13547 P10275
Q14203 P27695
Q15291 P06400
O00213 P50552
Q96FX7 Q9UJA5
Q13547 P08047
Q13432 P06239
Q05469 Q9UNZ2
P25391 P0DJI8
Q07955 P11387
P10747 O00459
O15269 O95477
P11362 P11487
Q96S21 Q96GM8
O95477 Q8TDM6
P49841 O14576
Q86SQ9 P28300
Q8WTV0 P02649
Q9UMR7 P29350
Q13485 P13987
P21964 P12821
P22459 Q13424
P50552 Q8IZP0
O76095 P49916
Q96G27 O00308
P0C1Z6 P55199
Q8NC44 Q9P2H0
Q06187 P15391
Q96ST3 P06454
P32004 P15311
Q14687 Q93062
O60573 Q9BQ66
Q96KQ4 O15350
Q16539 Q14934
Q96B01 Q06609
Q13643 Q96RN5
P01229 P01215
O95793 P62753
Q92529 P05067
Q14831 Q71U36
P84022 Q12778
Q01780 Q9Y5T5
P17252 P17302
P21246 O95376
Q96F07 P51116
P17252 P43119
O43572 P31323
Q01844 Q8NEH6
Q9Y3C0 Q9UL45
O15162 Q9NQX5
Q8IUW5 O95747
P35626 P30411
P52630 P17181
Q9Y2U8 Q15796
P54253 Q8N196
P09104 O95149
P62306 Q8WXD5
Q9UHA4 P36507
P43026 P27037
P63165 P23497
P35080 Q13332
Q6EEV6 P02545
Q9UQF2 P05067
P35568 Q03135
Q14524 Q12959
Q9GZV3 Q96IZ0
P06744 P17936
P23528 Q99417
P07737 Q13432
P08754 P09326
Q15102 Q7L5N1
Q9NVP2 P21675
Q12834 P17987
Q13610 Q9HCE7
Q6NSW5 Q8N2U0
O75688 P26038
P54259 Q8N2S1
Q9Y294 Q9UKI8
P12272 Q03431
Q9BTT6 Q9P2H0
P20265 P20226
O76003 Q04759
Q99990 Q15561
Q15582 P02751
P36542 Q8N5V2
P51677 P08631
Q15678 P12830
P52798 P29322
P16144 P08581
P55212 P05067
P12757 P23142
P04637 Q06187
Q9Y5N6 Q9UBD5
Q9UGP4 O95059
O15379 O75928
Q9HC73 O60674
P17600 P19174
P17612 P08034
O60706 P26641
Q9H9Q4 P49917
P27986 P19235
P98161 P12814
Q16363 Q5T3J3
P00797 Q96SI1
O75446 P25490
Q16891 Q9BQD7
Q15569 P23528
Q9NR12 Q9NRR5
P0DP25 P34998
P61981 Q7Z417
P11277 P13591
P54920 Q16623
O43707 P05121
Q15024 Q9NPD3
P04626 P04439
O00560 P39086
P17252 P42261
O43791 O95197
P78543 Q15797
O15350 P01112
Q9H9S3 P04114
Q92934 Q92843
O60315 Q13363
Q5JSH3 P62491
Q5TCQ9 P08588
P43034 P30622
Q9Y4K3 P02686
O95477 Q9NUP9
Q15233 Q13526
O75340 P48023
P61081 Q15843
Q13352 P18084
Q15047 O43261
P23246 Q14192
Q06455 Q9NRR5
P20337 P01833
P33151 P35968
Q96S95 Q13554
Q9NQT4 Q96NG5
P15924 Q08554
P68366 Q86U06
P21817 Q13698
P13501 P62993
Q969H0 P24864
Q12962 P24928
Q9NZC3 P41220
Q02539 P24522
Q9Y264 Q02763
Q9P0K1 P63104
P49005 P12004
P61978 O60504
Q15477 Q8IZH2
P55899 P23280
Q12879 P06241
P07858 P41220
O95848 P04049
Q09472 P16455
O00505 P21980
Q8N122 Q13541
Q14164 P08238
Q15835 P08100
P21453 P63096
O95490 Q9Y566
Q8N9N5 P04637
Q9GZS1 P17480
P50406 Q5JWF2
O75629 P06400
P10147 P10124
Q9P2W3 P62879
O15350 P09429
Q6KF10 Q15797
P13984 P05412
O14980 P63241
Q9Y490 P26010
Q12891 Q04912
Q03013 Q5T3J3
P98170 Q96FJ2
Q12959 P48050
Q12933 Q15398
P53667 Q02297
Q99805 P51151
P84022 Q9H7M9
P51587 P04637
P07948 P20273
O75962 P10586
P56817 Q92542
P55345 P48634
P15509 P10721
O75334 Q13332
P16473 P11021
Q9ULB1 O00445
Q9UBK2 Q15648
Q9ULB4 P35222
Q96T58 P48436
P55001 P15502
Q9BZF9 Q9NYQ7
Q92834 Q92845
P15502 P07585
P02647 P22061
Q9Y286 P62993
P40305 P24385
P41567 O95897
P62917 Q9H6J7
P63165 P29590
Q86XR8 Q96KG7
Q96AE4 P51946
Q05516 Q9Y2Z9
P68104 P19387
P33991 Q9Y5N6
Q9Y3M8 O60241
P46821 Q01081
Q96A73 Q9UGY1
P35070 P00533
Q9UER7 Q13547
Q06124 P78324
P41231 P12931
Q6UWB1 P42224
P16144 P17252
Q9H2V7 P10415
P01730 P27986
O60512 Q9NXU5
P42858 P63165
Q13485 Q99805
P54253 P36956
Q9P2E8 P01730
Q15544 P28702
Q99816 P04637
P40937 Q5T3J3
P48643 O60232
O15530 O95084
P32927 P07332
