Q8TBF5 B3EWG3
Q19T08 P0DMC3
P60412 Q9Y4R7
P60411 Q5JT82
P60411 Q96CG8
P60410 Q6SZW1
Q9UPN7 Q9HD34
Q9UPN7 Q9NPI8
Q9UPN7 Q9Y3E0
Q8N4C7 Q53QV2
Q8N4C7 Q92185
Q8N4C7 Q9H425
P53634 A8MU46
P53634 P35504
Q5W0N0 O14772
Q16820 O75323
O95084 O43422
Q9Y3Y4 Q30KR1
Q9HAA7 P11473
Q9HAA7 O60810
Q8NGL6 Q9H9P5
Q8NGL6 O14511
Q14103 P35548
Q14103 Q6P995
Q14103 Q9BR76
Q5TEC3 Q9Y285
Q5TEC3 Q4KMZ1
O43424 B1ANY3
O43424 Q86V81
Q4LDG9 Q8WV19
O43422 Q14656
O43422 Q53TN4
P16152 I1YAP6
P16152 Q8IYU4
P16150 Q9Y6I4
P16150 Q8WV28
P16150 Q14296
P16150 O60749
P56270 Q14390
P56270 Q9P2W3
P28908 P03886
P28908 O43613
P28908 Q96RD3
P28908 Q8NGH5
Q16851 P53350
Q16850 Q5T5X7
P99999 Q8TAG9
P99999 Q9NR81
Q16854 Q9H7R5
P04628 P62136
P04629 P0CG21
O75366 Q8N6Q3
O75366 A0A0A0MRZ9
O75366 P01705
O75362 Q9Y2Q0
P56817 Q8NA54
Q8NFY4 Q96FN9
Q6UWB1 A6NGA9
Q6UWB1 P35663
Q9UC06 Q9NPB0
Q9BQY4 Q96LL9
Q9BQY4 Q9BTL4
Q8TCT7 Q9NVM4
Q8TCT7 Q9UGR2
Q9HAS3 P30542
Q9HAS3 Q96SQ9
Q9HAS3 Q92754
Q9HAS3 Q8NC60
Q9UC07 Q8WXF8
Q8TCT0 Q8WXI9
Q6P2I3 O94804
Q6P2I7 P13056
Q6P2I7 Q9Y2P0
Q6P2I7 Q5SVQ8
Q6P2I7 P49754
Q8TCT9 Q6ZNE9
Q8TCT9 Q96H15
Q8N5U1 A6NEL2
Q8N5U1 Q5VV43
A6NNL5 Q96HB5
A6NNL5 D6RBM5
P20853 Q8IZ20
P20853 P33151
A6NNL0 Q9NWF4
A6NNL0 Q9P2U7
A6NNL0 Q8IXB3
O14788 O00151
Q86WT6 Q6NVV1
Q86WT6 Q6ZP68
Q96F15 Q96HQ0
Q96F15 Q8NI36
Q15465 Q6P9H4
Q53GA4 Q5TAG4
P19634 O14894
P19634 E5RHQ5
P67870 Q6ICG8
P67870 Q5SZL2
Q8IXQ6 Q99627
Q13342 Q9Y3I0
Q13342 Q5T8I9
P23582 Q6P4F7
Q8IXQ9 A6NGN9
Q8IXQ9 P15498
Q8IXQ9 A6NE82
Q8IXQ8 O95452
Q8IXQ8 Q8TDS7
Q86YQ8 P06280
Q9BSW2 Q66K79
Q5TC79 O00327
P63145 A0A0C4DH39
P63145 Q5JXX7
P63146 Q9NP84
P63146 O75437
Q86YQ2 Q96RU7
Q86YQ2 O95229
Q8N441 Q96B96
Q8N336 P31150
Q8N336 Q6P995
Q6ICL3 Q13477
O95150 Q9H5V7
A6NKN8 P16422
Q8N7G0 Q6ZNC8
Q9ULJ1 O43653
Q9ULJ1 Q9HD36
Q9ULJ1 Q9GZP4
Q9ULJ3 Q9NZ43
Q96FZ5 Q8TEQ0
Q9P2F5 Q9UKL2
Q9P2F5 A6NDP7
Q9ULJ8 Q4G0G2
P49771 Q9ULJ1
P49771 Q9BTV5
P49770 A6NIV6
P49770 Q9BSM1
O15527 P49619
O95639 Q92485
O95639 Q9H4Q3
O15522 Q9BTF0
O15522 P25024
O95630 Q9BYV7
O95630 Q9P104
O95631 Q5JX69
O95631 P20783
O15528 Q9H078
O15528 Q9P0B6
O15529 Q9UIA9
P05937 P0DP01
P05937 P09544
A0MZ66 Q9BUE0
A0MZ66 O75879
Q9BZ23 P05549
Q92698 Q9NV12
Q92698 O95237
Q92698 Q10588
O14558 O96019
O14558 A6NJG2
Q8N8K9 P23409
Q8N8K9 Q8NH79
A6NHJ4 Q5GH72
Q0VFZ6 Q86TZ1
Q13733 Q9Y620
Q13733 Q99592
Q13733 Q9Y3X0
Q13733 Q9NVP1
Q96EN8 O76038
Q96NZ9 P41220
Q96NZ9 Q7L1V2
P06703 O60869
P06702 Q9H845
Q9UN42 Q9H9S0
P49643 P47883
P49643 Q5T653
P49643 P20338
Q6ZR37 P13987
P37235 P53672
Q9NW64 Q96RE7
Q3V5L5 Q96QI5
Q3V5L5 Q9Y316
Q96GX8 P63267
Q96GX8 O15524
O95249 Q3C1V8
O95243 P20340
O95243 P24557
O95243 Q9NPB8
Q96GX2 Q4VC12
Q9BSG5 Q6UXV3
Q9BSG5 Q5VWP2
Q9BSG5 Q8TCT6
Q9HB15 Q9UI43
Q9NP73 P48051
Q08623 Q9UHX3
Q08623 Q9UHP9
Q08623 Q9UBL3
Q13064 Q96C57
Q13064 Q8IYL9
Q13064 Q3SY17
Q13064 Q15828
Q08629 Q8IZ81
Q08629 Q8WVJ2
Q08999 O00154
Q53F39 Q9BVQ7
Q9HB19 Q9NR00
Q9NP71 Q9NSI2
Q9NP71 Q8IVA1
Q9NP71 Q9Y697
Q9NP71 Q16650
P48426 Q8IWU4
Q9Y2Z9 Q9UGF6
Q9Y2Z9 Q8NCQ7
Q9Y2Z9 Q9BSE4
P29275 Q9Y3F4
Q9Y2Z4 Q9Y5A7
Q9Y2Z4 A0PJZ0
Q93009 P09430
Q93009 Q8WWY7
Q9H6R7 Q96SQ7
A6NGC4 Q9H1B7
Q9NP74 Q14435
Q9NP74 Q7RTM1
Q01740 Q9Y473
Q01740 Q9Y692
Q08ER8 Q8N808
Q08ER8 Q9BQE4
Q08ER8 P22087
Q08ER8 P02753
Q9NPH3 Q92482
Q9NPH3 P33947
Q96FM1 O95076
Q96FM1 Q9HCG7
Q9BVM4 Q5H9K5
Q9BVM4 P14780
Q9BVM4 P18848
P10265 Q08499
P10265 Q52LR7
Q5T2R2 Q08431
Q9NVC3 Q8TE85
Q9BT43 Q9NSA2
Q5T5F5 Q13347
Q5JX69 O14579
Q86TM6 Q9H936
Q86TM6 A4D1S5
Q96A54 P31268
Q9BV35 Q92502
Q9BV35 Q68CJ6
Q9BV35 Q9NRI5
P01138 Q5EBM4
P0DMR3 Q96GE5
P0DMR2 Q8NCA9
Q9UGM1 P20794
Q96T52 Q9BQS7
Q9UGM6 Q9UNZ2
Q9NWD8 A6NCL7
P00846 Q8IX07
Q9NY30 O94992
Q9NY30 P52888
Q9NY30 Q9ULQ1
Q9NY30 Q6NSJ5
Q5JR98 P62937
Q8TCI5 Q9BTM1
Q8IVV7 Q14934
Q9Y4P9 O75175
Q9Y4P8 Q96DT0
Q9BXP2 Q92527
Q8IYX0 Q9BYT5
Q9Y4P3 Q8NGI0
Q86UX6 Q99471
Q86UX6 O95299
Q6ULP2 P07954
P43155 Q8NGF8
Q96JM7 Q4QY38
Q92600 Q9BR46
A0A0C4DH41 Q9UN67
A0A0C4DH41 Q5VUE5
Q6ZWE6 B6SEH9
Q6ZWE6 O15234
Q92609 O60258
Q5VT28 Q96CN5
O60774 P30613
O60774 P0CJ87
Q9BZJ0 O43521
O75888 Q8WXA3
O75888 Q8TF65
O75553 Q6UX39
O75553 P09467
O75553 P54252
Q99983 Q8NHR7
Q9BSJ8 Q6P1N9
Q9BSJ8 Q9UNK0
Q99985 Q6ICL3
Q99985 P16403
Q99988 Q96S86
Q8TAS1 Q6ZSN1
Q9BSJ5 P61966
Q15195 O00571
Q9NQA3 Q6ZSZ6
P17858 Q9NP79
Q15198 Q969X1
Q15198 P0DJD7
Q6NTE8 Q9H2S5
Q9H425 Q9ULH7
Q9H425 Q9NPE3
O75081 P23560
O75081 Q8IYX4
Q32M78 O60575
Q32M78 P32302
Q06141 P83105
Q06141 Q9BS31
Q9NRG7 O94768
Q9BYU5 P02675
Q5TA45 Q8NGE8
Q9NRG0 Q71F23
Q9BRL7 Q9NVV2
Q9BRL7 P0C1S8
O75771 O95983
O75771 Q9UJD0
O75771 P35221
Q5T1J6 P28069
Q5T1J6 P63244
Q13131 Q9BYR5
Q9H9K5 O14656
Q9H9K5 P43652
Q9H9K5 O43324
Q13133 O95944
Q13133 Q9NS18
P52739 Q9H061
Q7RTZ1 Q9NQR7
Q96PQ0 Q8NFV5
P52732 P60321
P52732 Q99578
A6NFD8 Q04864
Q6B0B8 P63162
O43653 Q86XZ4
O94806 P14672
O95400 Q5VTD9
O95400 O15553
O95400 Q17RG1
O94804 P56181
O94804 Q15120
P27469 Q9C0D4
Q17RR3 Q8WUM9
Q17RR3 Q06330
Q8WXQ3 Q5XKE5
Q8WXQ3 Q8WWX0
Q14641 Q5TEA6
Q14641 Q8TEL6
H3BPM6 Q5PSV4
H3BPM6 Q9NVR0
O94808 P13284
O94808 P98194
Q9HAE3 Q7LBR1
Q99456 O96015
Q8TD10 Q9NY56
Q9H4G1 Q8N2H3
Q9H4G0 Q9NQR9
Q99459 Q7Z2D5
Q99459 Q86WR7
A2RU67 A6NHN0
A2RU67 Q9Y230
Q9Y4Z0 Q8N339
Q6ZS82 Q8WZA2
Q6ZS82 Q96C19
Q6ZS82 O43299
Q6ZS82 P32519
A6NL99 Q14832
A6NL99 Q6ZSB9
Q9UF11 Q99437
Q9UF11 P0CJ68
Q9UF11 Q9NV29
Q9BZF2 P01782
Q9BZF2 Q8IV50
A6NI47 Q8WUR7
P40938 Q06141
P40938 Q9P296
P40939 Q96KC2
P40939 Q9Y5U4
P40939 O95571
P36915 Q9BSJ1
P36915 Q7Z6B7
B2RXF0 H0YM25
B2RXF0 Q9NPC2
Q6ZNG2 Q8WU10
P40933 P59022
P49842 Q96BJ8
Q6ZNG1 Q6UXV1
P40937 Q7Z4H8
Q9NY72 Q07960
P0C623 Q6UXN9
P0C623 Q8N3R3
Q9BWF2 Q56P03
Q5BN46 Q9P209
P43354 A8MZG2
Q14954 Q8WUE5
Q9UHK6 Q5VSL9
Q9UHK6 O75351
P31941 Q9BTV5
A6ND91 Q8TAU0
P31947 Q8NDW4
P31947 P18206
P31947 Q8IZY5
P31946 Q8IY51
P31946 O60662
P31946 Q9UN70
Q8N1F8 P01583
P31949 O00762
P31948 P60606
P60606 Q96I51
P60604 Q9UM11
P60604 Q5VWQ0
P60602 Q96KE9
Q96MF4 Q9BXU9
Q96MF4 P68366
Q96MF6 Q9UBS0
P60608 Q96QS3
Q8NG84 Q96PE3
Q6JEL2 Q00688
Q8NG83 P20702
Q14919 Q8N309
Q14919 Q9NPG1
O75954 Q1MX18
O75954 P47902
P60953 Q9BXI9
Q9BQ49 P78410
Q9BQ48 Q9NRZ9
Q9BQ48 Q14566
P22570 P62714
P22570 Q9UN37
P0CB47 Q86TG1
P0CB47 P41236
P0CB47 P01040
Q9NYZ2 Q13610
Q9NYZ2 P25800
Q9NYZ2 Q3MJ16
P20472 P30273
P20472 O60573
Q12778 P49758
Q12778 Q9UBC2
Q16644 Q8N4L4
Q16644 Q9NRW1
Q5FWF7 Q7RTX1
Q5FWF6 A0PK11
P78337 A6NNL5
Q8N6Y0 A6NC51
Q8N6Y0 Q3LI73
Q8N6Y0 A4D1Z8
Q01726 Q6ZMV8
Q9UPQ0 Q01469
Q96HT8 Q86Z20
Q9UPQ3 Q96I45
Q96M19 Q08397
Q96M19 O00300
Q9UPQ7 P30533
Q12841 Q8IWF7
Q12841 O94788
Q12841 O75368
Q969V4 Q9H300
Q969V4 Q96EK6
Q96M11 Q8IUQ0
Q96M11 Q92989
Q8N6Q3 Q9BTM1
P47224 Q9Y6D9
Q9BX51 Q8N475
Q9BX51 Q5JVG2
Q8NA66 P61204
Q9NS91 P0CG04
Q9BPX3 Q86UA6
Q9BPX3 Q13247
Q9H0C2 Q9BSI4
Q9H0C2 O00255
Q9H0C2 Q53HC5
Q9H0C5 Q6IEY1
Q9NS98 A6NN90
Q9NXB9 Q96BS2
P80192 Q8NH69
Q15427 Q8N7K0
Q15427 Q70CQ3
Q15427 Q9NYB9
O14964 Q8IY49
Q9NXB0 Q14244
Q9NXB0 Q13705
Q9NXB0 P60002
P08253 Q7RTV2
P08253 P56278
P08253 O60888
Q68DU8 Q3LIE5
Q9NQZ3 Q9Y2V3
Q9NQZ3 Q70CQ3
Q9NQZ2 Q9NTK5
Q9NQZ2 P36639
Q9NQZ2 Q7Z3Z2
A8MTQ0 Q9Y5B8
A8MTQ0 P08217
A8MTQ0 Q9HAA7
Q6UXY1 Q8N8Z3
Q6UXY1 P49189
Q3MIW9 Q5MAI5
Q96HP4 P35318
Q96HP4 P20382
Q6YBV0 O95467
Q7Z3D6 P80192
Q7Z3D6 Q5T447
P08842 Q6X4T0
P13584 Q9Y262
P13584 Q14533
P13584 Q6PCB5
Q96D03 P08648
Q96D03 Q3BBV2
A4D126 Q9Y676
P0C7P2 O60239
P0C7P2 Q9Y230
Q7L513 O15245
Q7L513 P49441
Q9Y6U3 Q86WB7
Q9Y6U3 Q96LI9
Q9Y6U3 P86791
Q9BZW2 Q6ISB3
Q9BZW2 P37802
Q9HCC0 P48960
P38159 Q7Z429
Q9BZW8 Q9BYQ0
Q9BRJ9 Q9UBV2
Q9BRJ9 Q3ZCT1
A6NNW6 Q96GN5
A6NNW6 Q9BRT9
Q8N5J2 Q8IU89
Q8N5J2 P09758
Q8N5J4 Q9GZP9
Q2Y0W8 Q2VPB7
P04216 Q9C0I1
Q9BWW9 Q5FYB1
Q9BWW9 Q494V2
Q9BWW9 Q96NN9
Q9BWW9 P10909
Q08AE8 O00214
Q96IZ7 Q92496
Q96IZ7 Q92888
Q96IZ2 Q5VIR6
Q96IZ2 Q8NEL0
Q8NEQ5 Q9NQZ8
P60842 P11686
Q6ZTY9 Q9ULB4
Q6ZTY9 A8MX19
P78369 Q7Z3E2
Q99689 O60675
Q99689 Q13216
Q53EZ4 P0DMS9
Q53EZ4 Q9H9S3
Q9H7T0 Q96HJ5
Q9H7T0 Q8N8R5
P78364 O15409
P78364 Q9GZL8
Q9NRX2 Q6ZQY3
Q9NRX2 P32321
Q5JTY5 A0A0J9YX94
P05129 P0DMB1
A8MUU9 Q4UJ75
P05120 Q6BAA4
P05120 Q504Y2
O00469 P11836
O00469 P12034
Q9UL52 Q9Y5J1
P35243 Q8NGC6
P35243 Q9BWW8
O00461 P31937
P55916 Q86SJ6
P55916 Q86UP0
Q76B58 Q9NQ34
Q76B58 Q8IUW3
Q76B58 Q9H1V8
Q9BRR6 Q9BYN7
Q9BRR6 Q66K89
Q9BRR6 Q9NZN3
Q6ZTU2 P04070
Q9BRR3 Q56NI9
Q9BRR3 Q9ULQ1
P59020 Q92974
P59020 Q02833
P63096 Q9UN67
P63096 Q96BP3
Q2M3X9 Q6ZRT6
Q2M3X9 Q9H2U6
Q96SL1 Q8IYB7
A6NDA9 P11766
Q8N205 Q32NB8
O75920 A8MYU2
Q96SL8 Q9NUB4
Q6GTS8 Q8N9Z0
Q6GTS8 Q14532
Q6GTS8 Q6ZMI0
P60763 P98077
Q9UKJ8 Q9BV23
O95989 Q8IVH8
O95989 Q8N8J0
O95989 Q71RC2
A0A0U1RRE5 Q6UWD8
A0A0U1RRE5 Q86XE5
P55081 P10721
P01583 Q5T5X7
Q9UKJ5 Q9NVU0
Q9UKJ5 Q9C0D7
P55083 P35237
Q9H1C0 P19827
Q9H1C0 A5D8V6
Q9HBA9 Q96AM1
Q9HBA9 Q9H840
Q9Y6I3 Q9UJC5
P0C221 P40855
P0C221 Q4KMZ8
Q8N9N2 Q2NL67
Q8N9N5 A8MX76
Q8N9N5 Q8NHW3
Q8N9N8 Q6UWL2
Q99661 O95013
Q99661 Q6NVV1
Q8TBF8 Q9H321
Q99665 Q03393
P62736 P61565
P62736 Q9NV96
P62736 Q9BXC1
Q9UH62 P01764
Q9UH62 P02763
P15531 Q8NEF3
Q6NT76 Q86TP1
Q96P71 P49810
Q96P70 Q96CN7
Q96P70 Q9UKZ1
P15538 P84550
Q86VI4 P0CJ92
Q86VI4 O76038
Q14344 P04278
Q6VVB1 Q8N4T8
Q6VVB1 Q969X0
Q9BTD8 A6NKC0
P21549 Q9H7T0
P21549 P16562
P21549 Q15583
O75969 P30874
O75964 Q9H2X3
Q9H161 P00846
Q9H161 Q9UBR5
Q6KF10 Q92636
Q6KF10 Q8TBB5
P68400 P40855
P00450 Q9UQ49
P00450 Q8NA97
Q8TDS5 P81274
P22083 Q05209
Q15835 Q06136
P22087 A6NLJ0
P22087 Q8N137
Q99593 Q9H7R0
Q96RE9 Q6NYC1
Q8N3A8 Q8TCJ2
Q8N3A8 Q9BRX2
Q8N3A8 P01705
P02686 Q504Y2
P53611 P04839
Q9UET6 Q12899
P53618 P40305
Q14123 P14091
Q14123 O75821
Q14123 Q8IXQ4
P04746 Q01151
Q96AD5 Q9H511
Q96AD5 Q96JK4
Q9Y5X0 Q8N5C8
Q9NQV7 Q14554
A1L443 Q92521
A1L443 Q86WN2
Q8TEX9 P08034
P23769 P61006
P23769 Q4G148
Q6IE81 Q5W0N0
Q8N4M7 A8MTL3
Q8N4M7 A6NI28
P0CW01 O94832
E9PKD4 Q6ZN19
E9PKD4 Q9H9R9
Q9Y3S2 O95319
Q9Y3S2 Q5JNZ5
Q9Y3S2 Q9H4A6
O43708 Q7Z5L7
O43353 A8MTA8
O43353 Q96B67
Q16877 Q6PJW8
Q16877 Q6UX71
Q16875 P68104
Q16875 Q8WYR1
O75340 A6NHG9
Q5VTB9 Q8NG35
Q5VTB9 P98179
O75343 Q9UBX1
O75343 Q1A5X7
O75344 Q14592
Q5VZ18 Q96GI7
O75348 P0CG38
P23760 Q9BX79
Q05655 P53816
Q9UQG0 Q96IK5
Q9UQG0 P56693
P42166 Q9UBC0
Q86X95 O75310
Q86X95 Q96FF7
Q8N7W2 A6NLC5
P30953 A6NK06
Q9HBY8 Q9NWH2
A6NNJ1 Q86T20
Q8N5W8 O43823
Q9UDR5 Q14507
Q9UDR5 P06881
Q0VAA5 Q7M4L6
Q0VAA5 A6NNH2
Q6UXU4 Q9BUY5
Q6UXU4 Q9NPC3
Q9NYK5 Q96CS2
Q9NYK5 Q96IL0
Q9NYK5 Q8NA92
Q96DB2 Q9H3Z7
Q96DB2 P50453
Q96DB2 Q9BWF3
A0A1B0GTQ4 Q5XKP0
Q96DB9 Q15036
Q13363 Q14749
Q13363 Q8WZ94
Q86YS7 Q92804
Q86YS7 A8MTJ6
Q9Y5Q0 Q8WUQ7
Q9Y5Q0 Q92802
Q9Y5Q0 P45985
Q9Y5Q3 P63165
Q9Y5Q3 Q504Y3
Q13367 Q15907
Q9NYK1 Q96HV5
Q9Y5Q9 Q9P032
Q9Y5Q9 Q92546
Q8IXS2 Q8N4H5
Q8IXS2 Q8N371
Q8IXS2 P27707
P63128 P78358
Q9UFB7 Q92686
Q9UFB7 Q6UXL0
P63123 P78410
P63123 Q9P215
P63121 P12830
P63126 Q8WVM0
P63126 P11233
P63127 Q9UKF6
Q9BSQ5 Q9H165
Q9BSQ5 Q9BYF1
Q96KK4 Q9H808
Q6PEY2 Q9Y266
Q9BQE4 Q9Y4D2
Q9BQE4 Q8WXE9
Q9BQE4 Q8TC94
Q16254 Q96BY9
Q16254 Q9BVG9
Q16254 P49763
Q96FX2 P35626
Q96FX2 Q16401
Q96FX2 P13796
Q969W9 O15405
Q969W9 Q9P2E7
Q96FX8 P43632
Q96B42 Q13557
Q9ULH1 P59540
Q9ULH7 Q8IZS5
O95619 Q9BTT6
O95619 Q7L5A3
Q86U17 Q9H8L6
O15503 D6RJB6
O15503 Q9UM19
O15503 Q9BX67
Q9H6B9 Q9Y3Y4
Q9H6B9 Q96KR7
P48052 Q6YBV0
P48052 P06132
P48052 O14734
Q9H6B4 O95476
P46721 Q9H306
P46721 Q9NR34
P46721 Q9NS69
O94892 O15533
O94892 O95859
O94892 Q9NZM5
O94892 Q8NHP7
O94892 P32969
P48058 O95476
P48058 P56277
P03372 P58513
P03372 Q14249
P03372 P0C025
O60232 Q86SQ7
O60232 P52951
P48539 Q9Y5P3
Q9UN66 P56704
Q9UN66 Q16568
Q969W1 Q9NZG7
P55769 Q96SF2
Q8WXJ9 Q6UWY0
Q96MN9 O14756
Q96MN9 Q9H6D3
Q86SI9 P10915
Q86SI9 Q9NV06
Q86SI9 Q14831
Q15583 Q9BY43
Q15583 Q9H082
Q5T4B2 B3EWF7
P51449 O60894
P51449 P43004
Q9HA82 Q14508
Q9BUK6 O95297
Q9NW08 Q8NGY0
Q9Y676 P38646
Q9Y676 Q5T160
Q96Q11 Q9BVI0
Q96Q11 O15231
Q96Q11 P05107
Q09FC8 Q01362
Q09FC8 O14625
Q09FC8 Q5JQC4
A0A0B4J2F0 Q9NRU3
A0A0B4J2F0 P48552
P31150 P0C7H8
P31151 O00560
P31152 Q5TYM5
P31153 A0FGR9
P48443 Q9UHE5
Q86V42 Q9ULH7
Q8NHC6 Q969N2
Q8NHC6 A7E2S9
Q8NHC6 Q05086
Q8NHC7 Q10586
Q8NHC7 Q8N3G9
Q8NHC5 O95503
P48448 P14598
P48448 P15036
P48448 Q9H9R9
P48449 Q9UHE5
P48449 O14604
P48449 Q5W0N0
Q8WWP7 P17481
Q8WWP7 Q969S8
Q96H40 Q9UHV8
Q9Y2D5 Q8NBC4
Q9Y2D5 Q14242
Q9Y2D4 Q8N148
Q9Y2D1 Q02818
Q9H6P5 Q92636
Q9H6P5 O60239
Q9Y2D2 Q6IPX1
Q9Y2D2 Q8IX30
Q11201 Q8WV37
Q66K80 Q8IV63
Q66K80 P0CI26
Q66K80 Q8WUA7
Q6XD76 Q9HB20
Q9Y2D8 Q07326
Q5JVL4 P23280
Q5JVL4 Q49MI3
Q5UCC4 Q8WYN3
Q8N8I6 P12271
Q7Z2R9 Q8NBJ9
O43361 Q3KQZ1
O43361 Q9NR90
Q53GT1 Q8NGP6
Q53GT1 O95455
C9J302 Q96EK7
C9J302 Q9NY93
C9J302 P13639
Q01831 Q6ZQN7
Q01831 P04196
Q9BUA6 Q8N3F9
Q15937 Q5GAN4
Q15937 Q9H7C9
Q6PHR2 A6NHQ4
A0AVK6 O60884
A0AVK6 P08621
A0AVK6 P48735
A0AVK6 O95772
A0AVK6 Q13433
Q9H3D4 P09544
Q92994 Q8NGE7
P51911 O75554
P51911 Q9NV92
Q70EL3 P47710
Q8NBX0 Q53GG5
Q569K6 O60635
Q70EL4 Q13868
Q5SVS4 Q6IQ19
Q5SVS4 Q96M32
P57723 Q96S44
P57723 Q6Q8B3
P57721 P56378
Q9BVH7 Q9H706
Q9BVH7 O60880
Q9BVH7 Q9BZ19
Q2WGN9 P05093
Q2WGN9 O14842
Q2WGN9 Q6ZRY4
Q2WGN9 P06340
Q15050 Q9Y496
P04196 Q15080
Q9NRD5 P55107
Q9NRD5 Q9P2K2
Q9NRD5 O60256
P0DMP2 Q96S79
P0DMP2 Q8N2A0
P0DMP2 Q8IUR0
Q8IYT3 Q6DKJ4
Q9BXR0 Q96BM1
Q9BXR0 Q15042
Q8IYT4 Q3ZCQ2
Q9H8Y8 P05305
Q9H8Y8 P28039
Q9H8Y8 O94850
Q86UT6 Q96HJ3
Q86UT6 Q9BWD3
Q5JWF2 Q14626
Q8IVT2 Q8NGT0
Q8IVT2 P0C7N1
Q5JWF8 Q9HDD0
Q5JWF8 Q71RS6
Q9P1F3 P51843
Q9P1F3 Q6PJP8
Q9P1F3 Q8WYA0
Q9P1F3 Q8TBN0
Q6UXB2 O43914
Q6UXB2 P08100
Q6UXB0 P15313
Q6UXB1 P00439
Q6UXB1 P25942
Q4U2R8 Q5SY80
Q68DK7 Q96A44
Q68DK7 O43852
A6NGD5 Q99417
A6NGD5 P46098
Q5SW96 Q63HM9
Q8IX06 P62910
Q5VT40 Q96S59
Q8IX05 Q6PHR2
Q8IX05 Q5TCX8
Q9P2Y5 Q9Y2Y0
Q8IX03 Q8NH61
Q8IX03 P06454
O60711 Q5J5C9
O60711 Q9BR01
O60711 P51668
O60711 P13051
Q9Y6H1 Q9GZX7
Q9Y6H1 P0CW23
Q00013 P50150
Q00013 Q13901
Q9Y6H3 Q8N7G0
O60716 A6NCS6
O60716 Q15287
O60716 Q9H0A9
O60716 Q7L5A8
P0CB33 Q9Y585
Q9BQ08 Q8IYV9
Q8WV99 Q9NZ08
Q14DG7 Q8NGC7
Q14DG7 Q13310
Q9Y2Y9 Q5T442
Q9Y2Y9 P62952
Q969Z0 Q9P0N5
Q969Z0 P0DPB6
Q969Z0 Q8NGR2
O75311 Q92485
O75311 Q8WUB8
P01116 Q9BUJ2
P01116 Q8NEM2
Q9NS62 P02689
Q9NS62 Q9NZP0
Q9NS62 Q13630
Q13117 Q96JF6
O75752 P35900
Q13115 Q7RTU5
Q15691 Q32P51
Q13112 P56880
Q13112 P37837
Q13112 Q6NXP0
Q96FE5 Q9Y4C5
C9JLJ4 Q969M2
P08476 Q9ULB5
P08476 Q7Z7D3
Q8WV93 Q2M296
Q9NRE1 Q5NE16
Q9NRE1 Q9Y5N6
Q93075 A6NKN8
Q7RTX0 Q96AE4
P61970 Q14257
P61970 P0DJJ0
Q7RTX9 P30520
Q7RTX9 P68133
Q7RTX9 Q6MZZ7
Q7RTX9 P15336
P61978 Q9NQV5
P52756 A6NDZ8
P52756 P02671
P52756 Q9Y5E9
Q8IZ57 Q9BXF6
Q96LJ7 Q32M84
Q96LJ7 Q9NYH9
A8MZH6 Q92750
Q93079 Q5U651
Q6AW86 Q9UQ80
Q96QU8 O15269
Q96QU8 Q06520
Q96QU8 Q96AZ6
Q2MV58 Q8TAP9
Q2MV58 Q9H8P0
Q9UD57 P48169
P54753 Q7Z4G4
P54753 P11229
P54753 Q8IVJ1
Q9H4E7 Q96DG6
Q9H4E7 Q8N104
P54756 Q8ND71
Q9H4E5 Q5VIR6
Q9H4E5 Q9NR81
Q8IVL5 Q9Y3I1
Q8TD30 Q9UHI8
Q8TD33 Q14194
P48201 Q15276
Q9C0H6 Q9BT67
Q9C0H6 Q9H0Z9
Q8IW52 P83876
Q8IW52 A0A1B0GUA6
A2RU49 A0A1B0GVS7
Q8IW50 Q9H4L4
Q6NX45 Q9NUS5
Q6NX45 B7U540
P12829 Q9GZM7
P12829 P13667
Q9UF33 Q6ZQY3
Q1EHB4 P17509
Q6VEQ5 Q68D51
Q6VEQ5 Q02750
Q6VEQ5 Q6P179
Q6ZUU3 O00321
Q5T0D9 Q8N743
Q5T0D9 P02786
Q5HYL7 Q96Q07
Q5HYL7 O75840
Q5HYL7 P43631
Q5DX21 Q8N4V2
Q5DX21 P56730
Q9BWX1 Q9UBZ4
Q9BWX1 Q9BXS4
Q9H875 D6RBQ6
Q9H875 Q7Z4N8
Q9NWB1 Q32M45
Q9NWB1 Q9C0D0
Q9NWB1 Q9P2E2
Q9H6L5 Q96LD4
Q9NWB7 P11836
Q9NWB7 A0A0C4DH72
Q9NWB6 A4FU49
Q9NWB6 P81274
Q9NWB6 Q9NYF5
P04049 Q8N1I8
P16050 P31321
Q96MD2 Q9NS23
Q9UHI6 P63165
Q9UHI6 Q9H819
O76002 Q03518
O76002 O43683
Q96PL5 P40394
Q96PL5 Q9BYC9
O76000 Q9UGK3
O76000 Q8N8U3
A8MUZ8 P51608
P61626 Q8WZB0
O75792 Q92747
Q8NG66 P48594
Q8NG66 Q9Y3D0
Q8NG66 Q9Y5M8
O43903 Q9NW13
P00751 Q01432
P00751 O43281
Q8NH10 P50222
Q9BT17 Q99418
Q9UFN0 Q9Y2E8
O94779 Q9BU76
O94779 Q9Y2D2
Q9Y484 Q9BX74
Q8N3Z3 Q9NRJ7
Q8N3Z3 Q96CN4
Q12798 Q8IUA0
Q12798 Q8WV15
Q12796 Q96N95
Q12796 P41180
Q12797 P20061
Q9NYX4 P51813
Q9NYX4 Q9NQZ2
O94777 Q01954
P09913 Q04760
