Q5J8M3 Q96IK1
Q8N6M0 P08246
Q5JQC9 Q9BU61
Q6UW60 O15204
Q8WUG5 Q0VAK6
P06731 Q9NP95
B9A064 P46736
Q6EEV6 Q2Y0W8
Q13433 Q9UNL2
Q8N6N2 Q8TCT9
Q68CR1 Q9Y584
Q9NSA3 P07919
Q99447 P55899
O43827 Q9Y5F0
B0YJ81 A0A075B6S2
Q96EY8 Q96DN2
Q8IXP5 O15444
Q5VT98 Q5T5C0
Q7Z6J8 Q9NWH9
Q8NH00 Q7RTT9
Q8N4C9 Q8TBM7
Q99835 P16109
O95825 P49683
Q5JXX7 P01036
Q8TAL5 Q8NE35
Q96SN7 Q9UHL4
Q9NVV5 Q9NVH1
Q08050 A6NGC4
Q12836 O75056
Q14210 P67812
H3BV60 O43914
Q86V81 Q8TCV5
O15355 P11229
O00322 Q2I0M4
Q9NTZ6 P38936
P21854 Q8IZK6
O95210 Q9UM44
Q96GM8 Q6AZY7
P02788 Q99062
Q9BXI9 Q9Y285
Q86XE5 Q8NGP2
Q9NWW5 P05496
Q9NQ60 Q5UAW9
Q05586 A8MZG2
Q9NZH8 O75381
O43320 O43818
P36544 P0C7U0
Q5T1J6 P63244
P31321 P35212
Q8WVI0 Q9Y2T3
Q3SY05 Q8TAX7
A6NIE9 Q5T9Z0
A0A0C4DH31 Q8WVV9
P02771 Q6NUT2
Q8NCF0 Q8IWU4
Q5T013 Q8N3Y3
O00339 Q5VTH9
P81605 P24347
Q5JRC9 O95925
Q9Y256 O15529
Q96DP5 Q9BX93
Q9NW81 P0C7T7
Q8TAM6 O15287
O95750 P47871
P07148 P01877
P02750 O00591
Q13363 Q14749
O60676 P41145
P01611 Q13093
Q12809 Q7Z6K3
Q8NGI4 Q13241
Q8IXP5 Q9GZS1
P82664 Q8NGE3
Q92959 Q63ZE4
Q9Y2T4 Q96IC2
O75396 Q99638
Q9NW64 P48066
Q6ZPA2 P55089
Q8WXF1 Q9UHT4
P80370 Q6NXT6
Q9UP79 P09683
Q9UFF9 Q03167
Q9P0S9 Q96FL9
Q15020 Q08AH1
Q6E213 Q14157
A0A087WTH5 Q16629
Q8NCL4 Q9Y2T5
O15393 P0C626
Q16572 P05154
A0A096LNP1 Q96FE7
O75973 Q86Y34
Q9P1W8 Q3SYG4
Q9NX76 O14843
O95751 Q8NGN1
Q96PD2 O00144
Q9UHR5 Q86WI0
Q15828 P03999
Q4G176 O75494
Q5TGI0 Q5TAB7
Q96MH6 A0A0A0MRZ9
Q6YFQ2 Q96P70
Q8IY57 Q99788
P0C7Q5 P36969
P78369 P01876
Q14699 P84103
Q08554 Q6ZVS7
Q8N323 P05121
Q7Z7N9 O75200
Q5EBM0 Q9BQM9
Q9H9Q4 Q9Y2G1
Q8IUK8 O75459
Q9H6R3 Q9Y548
Q92537 Q86TA4
Q9H205 P18089
O43614 O75419
Q9NRN9 Q9ULD0
P32942 Q9Y6M0
Q9BY71 Q8NBI3
Q8IXP5 Q8N690
Q7Z2R9 Q8NBJ9
Q9UHW9 Q6ZV65
P01714 Q8WXS4
Q8N7P3 A4D1F6
Q15750 Q9H790
O75607 Q96PD5
Q5QJE6 Q6MZQ0
P49683 Q6AI14
Q86UC2 Q08050
P03971 Q07666
P09668 Q86SH4
Q6NXT4 P47972
Q13002 P0CJ70
Q96DL1 Q9NZY2
Q99678 Q9BV44
Q8IWV2 P49771
Q96K49 P09131
Q8TDF5 Q8N5M4
P13236 Q92466
O94991 O95813
Q13145 P61353
Q9UPI3 Q16799
P55854 Q9NSC7
Q9H354 Q9BVK2
Q8NEP3 P22528
Q15049 Q9Y3B4
Q96MH6 Q9GZZ6
Q07627 Q53R12
Q8IUC2 Q9NRZ7
Q9BY76 P10253
Q9NZS2 O43347
P62502 Q9HBK9
Q9UPM9 Q8TAM2
A6NH11 P51793
Q9NY91 Q9Y5G2
Q96EZ4 O95479
Q13316 P13667
Q6UXD7 P14672
Q92804 Q5HY64
P46721 Q9NS69
Q9H503 P13866
P09012 Q5VZR2
P31641 Q08554
A6NDH6 Q9BWT1
Q9NRM0 Q8WZ59
Q6ZVS7 Q6ZQT0
Q5JTV8 Q8IUN9
Q9BZB8 Q8IXU6
Q9Y305 Q9NX76
O60930 P31415
Q96J87 Q9Y5Y0
P30559 Q08708
Q8NG76 Q6UN15
Q6PUV4 Q5XKK7
Q9NP58 P22792
Q9BZ23 P05549
P22695 P31483
Q5JXA9 P50440
P29508 Q96KN9
P82930 Q9NQ94
Q9BYR4 Q9Y3V2
Q9H6B4 O95476
P80294 P35354
Q14118 P18577
Q6ZSC3 Q15084
Q9UJW2 Q8WZ84
Q9UI30 O43240
Q14681 Q8N684
Q12968 Q5GJ75
Q8N0Z6 Q96N53
Q9NUB1 Q86UQ8
P51636 P36969
Q59GN2 Q7Z624
Q6IMI4 O00469
Q96CP7 O60383
Q9Y5J7 Q6QAJ8
P20933 Q8NH69
P34741 Q9NR19
Q6B9Z1 O43462
Q8NGF9 Q96DN6
A6XGL0 Q6PI47
Q8WWI5 Q6ZRU5
Q8NFK1 Q8N8F7
Q5VXM1 Q9H227
Q96HA9 O14579
O75077 P0DP73
Q07507 Q7RTZ1
Q9BV40 P60329
P11678 A8MVZ5
Q8N4F0 Q5GH77
Q53H80 O95521
Q5RI15 O00358
P04118 Q7L2J0
H3BPM6 Q8IX05
Q8NFZ0 Q86X40
A5X5Y0 O14569
P52569 Q9UEW3
Q86XQ3 Q5VV16
Q5VXH4 Q10713
O00602 Q5T280
Q99679 Q9NS68
Q9P1D8 Q6TCH4
Q8N8Y2 Q92949
O15354 H3BQB6
Q9NP91 P46093
P26378 P0DML3
A2VDF0 Q5T6X5
O95214 P20827
P49279 Q9H4B0
Q96FE7 O60279
A8MWL6 Q99489
O14495 P58512
Q96LR4 P23246
Q8NH51 P48051
P12268 Q6ZSV7
Q9Y5I4 Q8N5I2
Q9BZW8 Q9BYQ0
P35523 Q6UXK5
Q96G27 P0DI83
Q0VAQ4 Q96PL5
Q8NGG7 P49223
Q9P2V4 P58658
Q96LC9 Q8NCL9
Q8NI99 Q9Y2H0
P25024 A0A087WTH5
Q9Y6G3 P07900
Q9H4B0 Q8IWT6
Q9NW15 Q6ZSJ9
Q96SN7 Q8NDZ4
Q13287 Q14656
Q8NGE1 Q9NSA0
Q9BYR0 O75387
Q9NZQ7 Q9P2E5
O60637 Q9Y278
P39905 Q8IV32
Q9BYR2 O15432
P20774 Q9GZU3
P00749 Q6PRD7
Q9H7P6 Q07001
Q96AN5 Q8NA77
Q3YBR2 Q86VR7
P32970 P17693
P60372 P00846
Q9H228 Q70JA7
Q96M60 O95197
P16389 Q9BX74
P59282 S4R3P1
P40238 P62987
Q9Y5E5 P56975
Q8N699 Q0VAA2
P60412 Q9H4I8
Q96R45 P26678
Q9BRJ6 Q96DN2
Q717R9 Q8NBX0
Q0ZLH3 Q9Y672
P42263 Q8NH09
Q15011 Q9NP78
P07476 P0DJ07
Q9BQE6 O75486
Q96IR3 A6NHX0
Q8NGA5 Q9UFV3
Q6ZRP5 Q96LB2
P26718 Q5BKX5
Q8IYP9 O75323
P47985 Q05932
P0CG47 Q02790
Q8NGG7 Q9Y2Y8
Q9NPQ8 Q96RP8
O75897 O75618
Q9NX14 Q3ZCQ8
Q5ZPR3 A0A087WSY6
Q8WWI5 Q9Y2T3
P01705 Q13563
P07360 O15243
Q9UGQ3 Q16518
Q5T871 O60930
Q96RI9 Q9H816
Q7Z5L7 Q7Z7J5
P07919 Q9BQ66
Q5VXM1 Q8NB37
Q9NYW4 P48775
Q86SG4 Q96M60
P62955 Q96CH1
Q14626 Q9UK99
P47883 Q8N2C9
P59536 Q96QZ0
B1AKI9 Q8IWX7
Q93075 Q96H15
P00740 Q9Y5K2
O43603 Q53GD3
P78540 Q9UGM1
Q96B70 O15120
Q9NQ79 P35244
Q6ZST4 Q5UCC4
P61566 Q96R84
Q86VR7 Q9BSH3
Q9UKF5 O96005
Q96DI7 Q6UWV7
Q9HCE5 Q9Y3T6
Q9BRL6 Q8NGV6
Q15758 Q8TDD5
Q8TC76 O75191
Q96JF0 Q8NH57
Q96GM8 A1A4F0
Q902F9 Q96B70
Q9Y2H0 Q9HB14
Q8NGI8 O15442
E9PJI5 Q9UQ49
P01706 Q6UXN9
Q9P1F3 Q6PJP8
Q8IV77 F5H4B4
Q8TBC3 O75529
Q14137 Q9BQF6
Q8N755 O95336
P06396 Q9H0R6
A5D8T8 Q9Y5I4
Q9Y2Q5 Q01780
Q12841 O75368
Q5TA79 P62987
Q13606 O43869
Q8TDF5 O00155
A6NKN8 O60427
Q9ULH4 Q9HD87
Q96GJ1 Q9ULI2
Q8NGI6 Q8WXX5
P31939 P15814
O15342 Q9UHL4
Q9P1P4 O15503
P56278 Q08AI6
Q86XR5 Q9Y4P8
P57773 A4D161
Q92536 Q02643
Q9Y315 Q8TDD5
P79483 A0A0B4J1Y9
A1L429 P55103
Q9Y2T3 Q6UW68
Q86W33 P51571
Q9BZW5 P57052
O94933 Q96LT6
Q8N4H5 Q9NRX1
Q9UPI3 Q8NFU3
Q9HBX9 A8MWK0
Q8TDU6 Q8NFH4
Q5TAB7 Q96HF1
Q9Y291 Q9NZN1
Q8NFZ0 Q96AB3
Q9H2C8 P19875
O95498 Q96C90
Q05586 Q8NGS3
P0DP42 Q03403
Q9H1Z8 Q5VZR4
Q9BW30 Q6Q0C0
P41439 Q9HAU6
Q8TE99 Q9Y2G1
Q8IXE1 Q8N434
O43175 Q7Z7G2
Q5TYX0 Q8WWX8
Q9UQL6 P22003
Q6L9T8 Q86VQ3
Q99928 Q6IE38
Q9NZC2 P32248
O00574 P20783
Q9BXP2 Q15391
P01615 A6NGY5
Q8IXP5 Q5VWZ2
Q92186 Q15031
K7EJ46 P04156
P19256 Q15078
Q8N814 Q5QFB9
Q8NGZ3 P49961
Q76EJ3 P58180
Q8NG76 Q8TCJ2
Q0VAK6 Q9H244
P0CG13 Q9BXJ1
Q9NRM1 P60983
P58062 A6ND91
P0C851 Q9BWV1
Q8TBP5 P80108
P85299 Q8IZF5
P02788 Q2PZI1
Q08334 Q8NFZ4
Q6ZQW0 Q9NUM3
Q8WW62 Q53R12
Q8NET1 P43630
Q9P2X8 Q9H825
O95185 Q9GZT4
A6NG13 Q9ULW3
Q9P0I2 A8MTI9
Q8NGH6 Q902F8
P48544 Q9BV40
Q8N616 P0C604
A6NHQ2 Q9BPV8
Q6ZS46 P53701
Q14832 Q9BW71
Q7Z3B1 P35414
A2RUU4 P06454
Q9UFF9 Q9UBR1
Q63ZY6 Q14032
Q12849 A4D1P6
Q9Y6K0 Q8NFT2
Q96A72 P15086
Q96JT2 Q9BYQ6
Q6P2C0 O95502
Q9NYG2 B9EJG8
Q9UHM6 Q17RG1
Q96TA0 Q8TD46
P01703 Q8NGA8
Q969P0 P54851
P31948 Q6P4A8
Q8IW75 Q8TE99
Q02297 Q96HJ9
O43508 P16473
P0DM35 Q9NPH6
Q8NG92 P21781
Q96AM1 Q96DB9
P32247 Q96B67
Q6ZMD2 P50895
Q9BWP8 Q96ST2
Q96LJ8 P51161
P01780 Q6ZQT0
Q6UWL6 P56381
Q9UM01 Q8WX92
Q9Y5H3 Q9NVP2
Q9BZX4 Q6ZMM2
P01270 Q6PL45
Q75WM6 Q96EL3
P0C7M7 Q96C74
Q9ULQ1 P15260
Q9UHF1 A8MXK1
Q15884 Q9Y548
Q9BZI7 A0M8Q6
P01286 P23229
P0C2L3 O75969
Q9Y231 P21730
Q9H114 Q8NGN0
P35070 Q5T5A4
Q8IXQ4 Q9Y2G2
Q9NZE8 P20839
Q5TC04 Q5T5C0
Q9Y570 P01275
Q9H4L4 O75459
Q14728 A8MUA0
Q9H8S9 P26373
O76076 Q6P9A2
P56589 P61580
Q6PIV2 Q9H9P2
Q96RD0 Q6ZS52
Q9BZ11 Q9Y388
Q96J87 Q969W9
Q13361 P52434
Q9Y6M1 Q9Y2X0
O75526 Q6GMV3
Q7L9L4 P61565
Q676U5 P82970
O15120 Q6SJ96
Q9Y5X9 Q8IV77
P13521 O94967
Q15109 Q5VTA0
Q9H172 P29016
P56730 Q86VE9
P35326 O95970
P27797 P09172
Q52LG2 Q8IYS8
Q8NGR2 Q9Y6Z4
Q9UBM7 P31645
Q9BWP8 P43088
P54107 Q67FW5
Q9BYQ8 Q6NVV7
Q6IBS0 P15559
P13051 Q96BP2
Q5SY85 O14977
Q7Z769 P31997
Q9H6F2 Q9P2T0
Q53HV7 P26678
P08637 Q9BVK6
Q8NGH7 P20674
P04430 O75683
Q15696 Q5VXJ0
Q5TEJ8 Q9HCJ3
Q96RS6 P15391
Q9UBN6 Q9ULV1
Q6GMV3 A0A0C4DH24
Q9NRJ5 Q9P0B6
O15533 Q9Y5H1
Q96R09 Q8NHC6
Q9UI54 P20848
Q96DI7 P57678
Q7Z7G2 Q86VF5
Q13326 Q9H2H9
P53803 O94952
A0A0C4DH68 P84103
Q6P1N9 Q6UB35
Q9UI38 P60369
A8MX34 Q9UKL4
A1L3X0 Q96PL2
Q6ICI0 Q9BYG0
Q8WUM9 P02768
P23921 P60606
O95825 Q9BYT1
P60371 Q63HM9
O14931 Q96NY8
Q9BYG3 O60548
P18825 P11229
Q00872 Q9UGF6
Q8N8Q8 P13987
Q7RTS6 Q9BZ11
O15389 Q5F1R6
A0A087WSZ0 Q5VSD8
Q7RTY5 Q5VUJ6
Q8NG11 Q92819
Q16082 O95445
Q96L42 Q9NY28
Q9BYQ8 Q7RTY5
P32418 Q8WU49
P42702 Q8IV32
P98177 O75900
Q9HBL6 A1L429
Q9Y5E9 Q96DA0
P78536 Q8NGB6
Q9NWN3 P10997
P55083 P35237
Q8N6R0 Q8TEA8
Q5TF39 Q16581
Q8N695 Q5U4P2
O75718 Q96IW7
Q7L3T8 O95626
Q3KRA9 Q8NCQ3
P78537 Q9NPI0
P63252 A0A0C4DH72
P25105 Q8ND94
Q16553 Q93062
P57775 Q9BTD3
Q96T59 P05106
O43653 P08571
Q9NRD1 P08908
P60022 P62244
Q96RP8 Q9C004
Q99943 Q9Y3Q7
Q8NEJ9 P01825
B3SHH9 Q5VVC0
Q14623 Q92520
Q6P9G0 Q96CD0
Q8TB33 Q9UFG5
Q15415 Q8WX92
P0DJG4 Q8N7R1
Q6N069 P35321
P58012 Q9UKT8
Q6P4D5 O96024
Q9H4M3 Q96DE0
P55081 A6NHX0
Q99470 P62899
Q8NEM0 Q6IF82
Q01196 Q86TA4
Q9GZV4 P23588
Q6PIU1 Q3C1V0
P54315 Q7Z7L8
P17050 Q8N104
O95259 A6NFN3
Q9Y5H9 O43638
Q9BYE3 Q6UWD8
Q969P0 Q8NFZ6
Q8NG77 Q9BUU2
P09661 Q13571
Q02878 Q9UQ80
P10109 Q9HBR0
Q9BVW6 Q6UX15
O95807 Q7RTT9
A6NHM9 Q9P1J3
Q16082 P82664
Q0D2K3 Q9UEW3
Q9HDB5 Q9Y6B2
O60907 A4D0T7
Q9GZQ6 Q9BYQ2
Q5MJ07 P01375
Q8N0U6 Q15031
O00292 P59535
Q9NSA2 Q9H693
P49767 Q8WY98
Q13103 Q86SM8
O95758 Q9NTU7
Q75WM6 Q8NGN2
Q8IUC0 P16860
Q8NGN1 P07438
Q96A26 Q9BZ98
P24593 Q6NUJ2
Q8N7P3 Q9NYW5
Q9UBI1 P62273
Q8IZP2 Q9UHI7
Q8N5C7 Q8N4V2
A6NKU9 Q658P3
Q15223 Q02487
Q9Y580 P06756
Q8NFT8 Q8N5G0
A6NNW6 Q96GN5
Q8N131 P19022
O94967 Q8TAC1
P30874 Q86TI4
Q6L8G4 Q8N3A8
A4D1F6 Q8WY22
A0A0B4J2F0 Q96BT7
A1L0T0 Q14003
P09131 Q14DG7
Q6UXQ8 P0DMT0
Q6NUN0 P30939
O14618 Q8NEC7
Q6UW56 Q9ULQ0
P04746 Q4ZJI4
A6NCJ1 Q9UMX9
Q8N1D5 A8MV72
Q6ZWK6 Q14320
P0DN78 Q5BJF2
O00142 O43543
P09012 P01833
Q6ZP29 F8WFD2
Q9UJM3 Q5T215
Q96PJ5 Q9H2Y9
Q6UWE0 Q99726
Q92481 Q96R05
Q8NCQ5 Q9H114
Q6IA69 P23327
P48052 O14734
Q8WUG5 Q96B70
Q6ZSC3 Q99735
Q8NH64 Q9UN86
Q9Y2U2 Q8TEA1
Q8NGZ6 Q92903
P0C671 P61579
P14209 Q9BQ89
P48060 Q7Z418
Q2VPA4 Q9NP58
Q9Y3A4 Q96N03
Q8N3S3 Q6IFG1
Q9NRD1 Q9NPJ8
Q9NQR4 Q6XR72
Q9BRP4 P43116
O95156 Q15761
P24310 Q13217
Q9C0D9 O00337
Q9NPG1 P0CG43
Q8N0U4 Q9BSY4
Q6ZTI6 Q9UKU0
A0A075B6S2 P41181
Q06481 Q96GX9
Q9P0S3 A0A075B6Q5
Q9H6F5 Q15054
Q99497 D3W0D1
Q6IEG0 Q9H4I9
Q6L8Q7 Q6IMI6
Q9UGM5 P05107
Q6U949 P37837
P39905 P07357
P59542 Q9NX24
Q9BSA9 A0AV96
Q9NRE1 Q5NE16
P55064 P0DJI8
Q8N6M5 A5D6W6
Q6UXD7 Q96E52
Q14CW9 Q9BUM1
Q9BU61 B9A014
Q7KYR7 Q9NRA1
Q9Y6C2 Q8NA75
P34810 P58417
A6NCV1 Q8NGQ1
Q8TBE9 Q14C87
Q15048 Q8WV19
A0A0C4DH34 P29508
Q7Z739 Q5J5C9
P01298 A6NL88
Q7Z6K3 O14618
Q9ULV4 O60704
O94817 P41586
Q6NUT3 O75325
P51582 O14681
P36551 P56589
Q6ZRS4 Q4KMX7
Q96GX8 Q9P2T1
Q13547 Q8N8G2
Q96EY7 Q13822
Q6P5X7 A6NET4
Q8N1G4 Q9NS75
Q9GZP1 Q9BY76
Q5JXM2 Q3LI64
Q6UXX9 B7U540
Q7L1W4 P61962
Q13547 Q86VU5
Q7L1I2 Q9Y6Q6
Q9H1Y3 A6NER3
Q3B7T3 Q9H3M7
P55316 P04003
P23284 P33032
P58182 Q9NR61
Q96I45 Q8NG98
Q8WVH0 Q9Y3A6
Q9Y2Q3 P18054
Q8N608 P16473
P09466 P22234
Q9H159 O95164
P0CG43 Q8IZN3
Q0P641 Q9NP58
Q9UEF7 Q86VV4
Q8NH51 Q6UW10
P48066 P31997
Q9UKP5 P49356
Q15849 P78334
Q96PI1 P11169
Q96B77 Q9Y5T4
Q9Y5F0 O43548
Q9NP60 Q07001
Q96AZ6 Q8N135
Q9P0S9 Q9NZD8
Q9UBH0 Q11203
Q9NY64 P0C7P1
O60888 Q96PQ0
P04406 Q8NGS7
Q9UHU1 Q8TDX6
Q70YC4 P48050
Q9NPH3 P55895
Q6PEZ8 P52823
Q16663 Q8NAV1
P11465 Q6UVM3
Q96QV1 Q9H741
Q96QI5 P23490
P17540 P09327
Q76B58 E9PKD4
H0YL09 Q9UNE0
P35244 P01040
Q9NWL6 Q14CZ0
O60245 O60234
Q02078 Q9P0V8
Q16531 Q96CX2
O60259 P11166
Q8N5S3 P04439
Q92804 Q969X1
Q96BF3 Q9BX51
Q96RB7 Q96SA4
O95297 Q8NGS8
O75352 Q9UHF4
P05204 P0C2W7
Q9NYS7 P04921
P57054 P28222
Q9NT62 P59551
Q16853 Q9HCL2
Q8IVH2 Q9BT30
A0A0B4J2D9 Q8NFQ8
Q86U28 Q5T750
Q96LA6 P43489
Q99618 Q75QN2
Q86XS5 Q5TAB7
Q9UQ80 Q8NFH3
P81277 Q86U28
Q9NW81 Q96GZ6
Q5J8M3 P50452
P07311 Q9BXJ7
P17643 Q6SJ93
Q9BXN2 Q5TA78
Q8N814 P08473
O60813 Q17RY6
P01860 P15085
Q9NS84 Q5JRC9
O43548 Q9NRN7
Q96M93 Q13454
Q0VAA5 Q96LT7
Q96MT0 P12694
O43278 Q13449
Q96Q83 Q9GZW8
Q9UI09 P23921
Q86W33 Q9Y5N5
Q96A72 P83111
Q15415 Q8N4L1
Q15223 Q16739
Q8NGZ5 Q49A17
O95221 A6NDL7
Q00266 P0CG13
O75192 O43505
Q9Y5P1 Q86V21
Q1W6H9 P24387
Q8TDL5 Q8WW62
P59922 Q5JUK9
Q2M296 Q14973
P12532 Q3YBM2
Q01959 Q9C0H2
Q96M27 Q8NGY5
Q6P589 O75629
A0A0B4J1U7 Q8N4M7
Q9UM07 P41597
Q9GZP4 Q96QD9
Q9HC29 Q8N3T1
Q6TDU7 O95971
Q9UK05 A8MWK0
Q8NG94 Q0P651
Q5XXA6 Q3B7S5
Q6ZRR5 O75608
A6NHX0 Q9UI14
Q9NPY3 Q8NGK0
Q99836 Q93075
Q9ULQ0 Q6ZRY4
P55899 Q5SSG8
O60256 C9JVW0
Q11206 Q5NE16
P86790 P17643
Q86T20 P05155
Q6ZU45 Q5T230
Q9Y3C6 Q7RTY1
Q8IYS1 O14683
Q8NGF0 Q9H7C9
F8WCM5 Q8NGM1
Q8NGQ5 Q9NWT1
Q9UNL2 P49810
Q5SY80 O60687
Q9H3W5 Q9Y679
Q8WVS4 Q96IY4
P47883 Q99766
Q9BZ98 P28223
Q8N2M8 Q8NHC5
P25929 Q6P1M0
Q96M60 P17405
Q8WWC4 A6NH00
Q9ULK2 Q6IS24
Q53HC9 O43300
P01583 Q9Y5R5
Q9Y5Q9 Q92546
Q9BYR2 Q5T1C6
Q92688 Q8N9Y4
Q14103 Q9GZZ6
Q8N5W9 Q8NGD5
P01236 Q8NG99
Q9Y5Y4 O95182
Q5VZB9 O95406
P20849 Q9H2C8
Q6U841 Q13356
Q8IV08 P10153
Q8TE02 P19022
P35410 Q9Y6N3
Q9NXE8 Q7Z7F7
Q9P2H3 P04818
Q30154 Q9NPE3
O00425 Q15334
Q6P1X6 Q8NBZ0
Q9Y2C5 Q13495
Q96CD2 P49901
Q96IQ7 P30556
A0A0B4J1Y9 Q9H114
P29218 Q8N2K0
P03951 Q9H6R3
P32245 O75952
P49763 Q6PJG9
Q6ZMJ2 Q14392
P0DMS8 Q6IBS0
P06881 P08217
Q92466 Q969U7
Q6ZRS4 P49747
P49683 A0A1B0GUQ0
P48745 Q9NWN3
O75419 O43676
Q9NQW8 Q8NGW1
Q9H6R7 Q8NFQ5
Q6ZSK4 Q9H8V8
Q96CX6 P50552
Q8NBX0 P23582
Q9UI42 Q14627
Q13278 Q9UMX0
P20160 Q9Y2G1
Q32ZL2 O75638
P05538 Q86Y29
Q9HCJ3 P59540
O75593 P01008
P0C7H8 O43657
H3BPM6 Q5MJ08
Q86YW7 F5H284
Q9NZQ7 P49406
Q9UJW2 Q2QD12
P35606 O60356
P24387 Q15053
Q14520 Q9BSE2
P63302 Q9NQR4
Q8NH04 P13804
Q9Y296 Q16653
Q12968 P32119
Q99788 Q9BY15
Q9Y294 O60613
P0C7T7 P0DOX7
Q8TCJ2 Q8N427
P62424 Q9BVV8
Q1HG43 P23416
P09486 Q86UQ5
Q9ULF5 P55001
P23515 Q9HCU0
P06312 O00591
Q13607 Q16478
Q8IVS2 P03901
P11166 Q8N616
P08908 Q6ZN44
O75915 Q8N114
O60391 Q96CM3
Q9HBW9 P43026
Q86XD8 Q969D9
P42785 A6NIM6
P27930 Q99616
Q12805 H3BQJ8
Q6UWU4 Q5T7M4
P29372 Q9BYR2
P24347 Q9UBR5
Q9HB29 Q8WWF1
Q5VY80 Q13797
P01733 Q8NGP3
Q8WY07 Q29980
A6NL46 Q9ULV4
Q96DU9 Q9BV44
A8MWK0 Q9H7F4
Q9H8H3 P40313
Q9UBY0 P47870
P62987 Q9NPF0
Q7RTX9 Q6UXZ3
Q8N3R3 O60269
Q8N699 O00180
Q13503 P63136
Q8NGA2 A6NGU5
Q6UWU4 Q86XK7
A0A0G2JMI3 O94772
Q6UWF5 Q96LZ7
Q8N8U9 Q9BRV3
Q9Y6I9 Q96IZ5
Q8N268 P12034
Q9NRX5 Q9UHT4
P0DJD4 Q8NH16
A6NLC5 Q13072
Q9Y2X0 Q10588
Q8TDW4 Q86XM0
P05981 O75635
Q9BZM6 Q86UC2
Q9UKL4 A1L453
Q96B33 P20718
Q9UGF6 Q49A17
O15551 O95274
Q8NGI4 A0A075B6S5
Q9NWR8 P23490
Q8NBS3 Q86W28
Q9UBS3 Q30154
Q5VVY1 Q8NHK3
P30049 Q96CX2
P78381 Q9H974
O15123 Q8N7H1
P08908 Q9UHW9
P84103 Q8NGF3
O75061 Q5TA45
Q8IVQ6 Q96EY4
Q9H9H5 Q14563
Q6IF36 Q15777
P49918 Q9GZY0
Q9BS18 Q8NG83
Q9GZS1 Q13347
Q8N5U1 Q8WWG9
Q8N357 Q9UJ70
Q99935 Q8WW62
Q8N3J5 Q8NHS1
O15511 P26373
Q96NY8 A6NDU8
Q8TB40 O96008
Q8IYX4 P53708
Q5T6F0 Q8NC38
Q8WW18 Q8NGV0
Q14103 Q01726
Q76B58 Q9H1V8
Q8ND94 O75752
O43761 P20941
P13640 Q674R7
P34741 P41567
Q8N8S7 Q9UQ74
O43516 A0A0A0MT76
H3BU77 Q53FV1
Q9UJ14 Q5T230
O43603 Q8NH02
Q9H156 Q6PCB8
Q8N0Z9 Q6IF36
Q9Y247 Q96S07
Q6P5X5 P23435
Q8NGN7 Q8N490
Q16576 P01742
Q9UBX1 Q96P53
Q96E16 Q86W26
A0A1B0GUQ0 Q96GR2
Q9NZS2 P29692
Q32M92 P56748
Q9NP59 Q8TCT6
Q9H255 Q9P2C4
Q96GW7 Q9NZ45
Q12891 Q2TAA2
Q9ULC6 P30511
Q96RS6 Q6UWS5
Q3I5F7 Q96LB9
Q9NZP0 Q01196
Q9ULD8 Q8WTP8
Q9Y3C7 Q12893
Q96S97 Q9Y663
P60329 P49756
A8MV81 Q5VZV1
P78369 Q9GZN6
Q7Z3C6 Q6P587
Q03721 P15514
Q5SWL7 Q6XE38
Q9UK39 Q86WS3
Q96P20 Q9Y5R4
Q9Y6M5 Q8TDP1
Q9H1Y0 Q96AY2
Q9ULT0 Q8N3T6
P30041 O75531
P59773 O15353
Q86TU6 Q86VR7
O43927 P32745
P08246 Q5VWM4
P46092 Q9NR22
P31391 Q96R54
P04433 P10092
Q8NGR3 Q9BW04
P16035 Q92504
B2RUY7 Q9UNN4
Q8NGV6 Q8NHP7
Q14320 P49767
Q6UXS0 Q9H875
Q99470 Q9BYZ8
Q8NAA5 P21810
P01857 Q6P6B1
Q8N6F1 P0DP57
Q96B77 P83105
Q8NGP4 Q9H4W6
Q969H6 Q99943
Q9BV86 Q8N9F0
Q9Y5N6 P05121
Q9UJW2 Q8NH10
Q9H106 O00462
Q9H2U9 Q5TEA6
Q6ZTR6 Q6ZVS7
P10155 Q9HAD4
Q96B86 Q92953
O75083 Q9BQW3
Q9BXQ6 Q86TH1
P47893 Q8NDX9
Q5T7N8 Q9BQ89
P59991 Q9BQT9
A5YM72 Q8WWG9
Q00169 Q5VST6
Q96A73 P48165
Q8N9Y4 P07307
Q8N8G2 P52788
P46721 Q9NR34
Q0P6D2 O14949
Q16585 P10767
Q9NRN9 Q7Z410
Q5VZY2 Q7Z304
Q5GFL6 A0PJW6
Q9ULC5 Q5VWM6
Q96KC9 Q6P5X7
A7XYQ1 P80748
Q14151 Q9Y5U9
P22695 Q8N128
Q16572 P16278
Q6ZSM3 O14604
Q4G0T1 Q9Y5F1
A8MV23 P55259
Q6PIY5 P02686
Q92949 Q92913
Q64LD2 A6NEQ0
Q15750 Q9H7E9
Q9UNW9 Q969Y0
Q8WWC4 Q92478
Q5JRK9 Q6P050
A1L443 P52209
P04433 O14949
Q96IZ5 Q9BSK0
P51970 Q8IY50
P27635 P36952
Q9Y2Q9 Q16609
Q92681 P32926
Q9H0E3 Q9BT73
P01889 Q9H7E9
Q5VSD8 Q8IUC8
