Q9NQ79 Q15555
O15111 P19838
O15111 P25963
O15111 Q04206
O15111 Q86VP1
O15117 P06241
O15117 Q13094
O15117 P16333
O15117 O43639
O15117 Q86WV1
O60341 A5D8V7
O60341 Q8NHQ1
O60341 Q9BX10
O60341 O15379
O60341 Q9UBX0
O60341 Q16891
O60341 Q8TBB5
O60341 Q14525
O60341 Q6A163
O60341 Q96JB6
O60341 O95983
O60341 Q13133
O60341 Q8IZL8
O60341 Q5T6S3
O60341 Q03181
O60341 P62191
O60341 Q9NS23
O60341 Q06330
O60341 Q9UKL0
O60341 Q8N6K7
O60341 Q9UGK8
O60341 Q13435
O60341 O95863
O60341 Q8N0Z3
O60341 Q96BD6
O60341 Q8N4C7
O60341 Q8N6V9
O60341 Q9BUZ4
O60341 O96006
P29728 P49761
Q9Y2K7 Q04206
Q01780 P17844
Q01780 Q9Y2L1
Q9H7B4 Q9Y2U5
Q9H2X0 P13497
Q9H2X0 Q8NEC5
Q9H2X0 P49639
Q9H2X0 P50222
Q9H2X0 Q7Z3S9
Q9H2X0 P32242
Q9H2X0 O15162
Q1MX18 P81274
Q1MX18 P0CG20
P07437 P05412
P07437 Q9BSI4
Q9Y496 Q9NRI5
Q9Y496 Q92845
Q9Y496 Q9BXF6
Q01433 P23109
Q01433 P54274
Q01432 P08238
Q9UGI0 Q9Y4K3
Q9UGI0 Q3SY00
Q9UGI0 Q96H86
P28676 P43361
P09769 P10275
P09769 P08238
P09769 P10721
Q8N0Z6 Q13554
Q8N0Z6 Q13557
Q8IYR0 Q08117
Q8IYR0 Q8N5M1
Q8IYR0 P14136
Q8IYR0 Q49A26
Q8IYR0 Q96D09
Q8IYR0 Q15323
Q8IYR0 Q6A162
Q8IYR0 Q9BRK4
Q8IYR0 Q8N6K7
Q8IYR0 O94993
Q8IYR0 Q969V4
Q8IYR0 Q9UBB9
Q8IYR0 Q5T124
Q8IYR0 Q8N6Y0
Q7Z6B7 Q14155
Q86XR8 Q96MT8
Q86XR8 Q96CN9
Q86XR8 P19012
Q86XR8 Q15323
Q86XR8 Q6A162
Q86XR8 P43356
Q86XR8 Q15311
Q86XR8 Q9UBB9
Q9Y4L5 O15151
Q86VK4 Q9H2G9
Q86VK4 Q8NHQ1
Q86VK4 A1L4K1
Q86VK4 Q08379
Q86VK4 Q8NA54
Q86VK4 Q96T49
Q86VK4 Q96QF0
Q86VK4 Q12933
Q86VK4 Q9BZW7
Q86VK4 Q8NF99
Q9Y2W2 P06241
Q9Y2W2 P62993
Q9Y2W2 P62136
Q9Y2W2 Q96BS2
Q9Y2W2 Q9BUZ4
P25098 Q9Y2X7
P25098 Q00987
P25098 P25963
P49137 Q00613
P49137 Q16539
Q03181 O60341
Q8TAG9 O00471
Q9Y2J0 O14936
Q9H9G7 O15397
Q9H9G7 P53041
Q8IZP0 P00519
Q8IZP0 P22681
Q8IZP0 P13612
Q8IZP0 P14598
Q8IZP0 Q9Y2A7
Q8IZP0 P27986
Q8IZP0 Q92569
Q8IZP0 P20936
Q8IZP0 O14512
Q8IZP0 P15498
Q8IZP0 P52735
O75044 O95466
Q05209 P56945
Q05209 P09619
Q05209 O43586
Q05209 P29353
Q05209 Q02763
Q8NFZ0 P12931
Q9H078 Q8NHQ1
Q5JT82 Q96Q77
O43615 P10398
P61916 Q7Z3B1
Q8WXU2 Q96EA4
Q96S53 P08238
Q16881 P03372
Q16881 Q92731
Q13467 Q6P3W7
O95447 Q13287
O95447 Q9UBB9
O95447 P06753
Q99418 Q9Y487
Q99418 Q96HB5
Q99418 Q8WWN9
Q5JST6 Q9H6L4
Q5JST6 Q9NPB3
Q5JST6 O00305
Q5JST6 O14579
Q5JST6 Q5JVL4
Q5JST6 Q96AA8
Q5JST6 Q17RB8
Q5JST6 P45984
Q5JST6 Q9UBB6
Q5JST6 O43639
Q5JST6 Q9UHB4
Q5JST6 Q8NI38
Q5JST6 O60568
Q5JST6 Q13882
Q5JST6 Q9BV90
Q5JST6 O75716
Q5JST6 Q8IWZ5
Q5JST6 Q96PN8
Q06732 P43365
Q0P5P2 Q9HD26
P50747 Q9NUX5
Q6SA08 P16220
P36956 Q96RN5
P19793 Q71SY5
P19793 P27986
P19793 P10276
P19793 P42224
P19793 P11473
Q9NY33 Q14145
Q9NT22 Q9NVF7
Q9NT22 O00560
Q96PV6 Q8NHQ1
Q96PV7 Q08379
Q96PV7 P36406
Q96PV7 P14373
Q5I0X7 Q99856
Q5I0X7 Q9Y5V3
Q5I0X7 Q9GZV8
Q5I0X7 Q9HCM9
Q5I0X7 P17022
Q5I0X7 Q9P2Y4
Q96EG3 P49760
Q96EG3 A1L4K1
Q96EG3 Q5T6S3
Q96EG3 P49910
Q96EG3 P17021
Q96EG3 Q9Y3S2
Q96EG3 Q8TAU3
Q96EG3 Q96SQ5
Q96EG3 Q3KQV3
Q16600 Q8NHQ1
P09972 Q8TBB1
Q9HC52 P35226
Q9HC52 Q13137
Q9HC52 O00257
Q9HC52 Q2TAC2
Q9HC52 A1L4K1
Q9HC52 Q08379
Q9HC52 Q96D09
Q9HC52 Q6NT76
Q9HC52 Q13422
Q9HC52 Q92993
Q9HC52 Q7L273
Q9HC52 Q9BVG8
Q9HC52 Q6A162
Q9HC52 Q9BRK4
Q9HC52 Q9HCE1
Q9HC52 Q9BSM1
Q9HC52 P35227
Q9HC52 Q3KNV8
Q9HC52 Q86SE9
Q9HC52 Q9BYE7
Q9HC52 Q8IXK0
Q9HC52 Q06587
Q9HC52 Q99496
Q9HC52 P35711
Q9HC52 Q12800
Q9HC52 Q9UBB9
Q9HC52 Q12933
Q9HC52 Q9BZW7
Q9HC52 P51784
Q9HC52 Q93009
Q9HC52 O43829
Q6P1L6 Q9UMX0
P13232 P31785
P13232 P16871
Q9NXN4 Q8TAP6
Q13188 P04049
Q13188 Q8WWW0
Q13188 Q9H4B6
Q13188 Q14BN4
Q13188 Q13043
Q13188 Q13077
Q6UX98 Q04864
P12956 Q6NT76
P12956 Q08752
P12956 Q9NQB0
P12956 P13010
Q9UJC3 Q99459
Q9UJC3 P11802
Q9UJC3 P25791
Q9UJC3 Q8N0S2
Q9UJC3 Q9P0N9
Q9UJC3 Q9UBB9
Q9UJC3 O75604
Q9UJC3 A8K8V0
Q96IV0 P54725
Q96IV0 P54727
Q96IV0 O14545
Q96IV0 Q9BYV2
Q96IV0 Q9UMX0
Q8IZ52 O60260
P52294 Q92688
P52294 Q9HAZ1
P52294 Q5TAQ9
P52294 Q14974
P52294 P20700
P14222 Q15323
O43559 Q08117
O43559 P15976
O43559 Q14525
O43559 Q7Z3S9
O43559 Q92569
O43559 O15162
O43559 Q8HWS3
O43559 Q8WXH5
O43559 Q8NA61
O43559 Q15654
Q9NZJ5 P11021
Q15386 Q08379
O00429 P03372
O00429 Q96C03
O00429 Q9Y512
Q15389 Q13387
Q96T49 Q53EZ4
Q96T49 Q8NHQ1
Q96T49 O43186
Q96T49 Q08379
Q96T49 Q9UKT9
Q96T49 Q7L273
Q96T49 Q8IXK0
Q96T49 P62140
Q96T49 O75478
Q9P2M4 O75385
Q08334 Q8N6P7
O75925 Q9UIS9
O75925 O75626
Q08345 O43639
Q08345 Q06124
Q8TC07 Q9P1Z2
Q8TC07 Q96MT8
Q8TC07 Q96CV9
Q8N715 Q6A162
Q8N715 P43356
Q8N715 Q9BZL4
Q8TB24 P46108
Q8TB24 P16333
P28288 P33897
P43694 Q9Y2Y9
P10588 P83916
Q96RI1 P03372
Q96RI1 Q8WTS6
Q9NYA3 Q9UL15
Q9NYA3 O00311
Q9NYA3 O75604
O43261 Q92993
Q7L3B6 P07900
Q7L3B6 P08238
Q7L3B6 P31948
A8MQ03 Q9BWT7
A8MQ03 P27658
A8MQ03 P84090
A8MQ03 Q9ULW2
A8MQ03 P49639
A8MQ03 Q8NA54
A8MQ03 O00180
A8MQ03 Q5T749
A8MQ03 Q14525
A8MQ03 Q96MT4
A8MQ03 P32242
A8MQ03 Q9C0C4
A8MQ03 Q9HCB6
A8MQ03 Q15025
A8MQ03 Q6EMK4
A8MQ03 Q9Y5W5
A8MQ03 O75800
A8MQ03 Q9P2F9
A8MQ03 Q9P0T4
Q14168 O14910
Q14168 Q9HAP6
Q14166 Q05639
Q14164 Q92624
Q14164 Q16543
Q14164 O00571
Q14164 P08238
Q14164 Q9BYX4
Q14164 Q9UHD2
Q14164 A7MCY6
Q14161 Q15052
Q14161 Q9Y6K9
Q14161 P49023
Q14161 Q15025
Q14161 Q13077
Q2KHN1 O43395
Q16832 P08238
Q0D2H9 P18848
Q0D2H9 Q9Y2T1
Q0D2H9 Q99459
Q0D2H9 Q53EZ4
Q0D2H9 Q12929
Q0D2H9 Q8NC69
Q0D2H9 P50222
Q0D2H9 Q13287
Q0D2H9 Q08499
Q0D2H9 O75558
Q0D2H9 Q8N6Y0
Q6UWL6 Q13643
P49368 Q8TD10
P49368 P04049
P43405 P22681
P43405 P20273
P43405 P36888
P43405 Q13480
P43405 P06239
P43405 Q9NP31
P43405 P40763
P43405 P54274
P43405 Q8TF42
P43405 Q9UHP3
Q86Y46 P19012
Q9NQS3 Q15223
Q9NQS3 Q92692
Q9NQS3 Q7Z3S9
Q9NQS3 O76081
Q9NQS3 Q495A1
P49757 P35222
P49757 Q00987
P49757 Q05513
P49757 Q96D71
P49759 P49760
P49759 Q8TBB1
P49759 O76083
P49758 P08238
Q9H2K8 O75460
Q9H2K8 Q12933
Q15418 O43823
Q15418 P08238
P36873 Q96S65
P36873 Q9H175
P36873 O15294
P36873 Q15435
P36873 Q96S59
P36873 Q13625
Q9HCB6 A8MQ03
P06727 P20393
P06729 Q9Y5K6
P06729 Q96B97
Q96KB5 P10398
O00635 Q9H8Y8
O00635 P54652
O00635 P11142
O00635 P40937
O00635 O00560
O00635 P61764
O00506 Q8IYA8
O00506 Q8NHQ1
O00506 Q08379
O00506 O43815
O00506 P14373
P13688 P40199
P13688 Q8TDQ0
P98170 P61024
P98170 P19447
P98170 O43464
P98170 Q17RB8
P98170 Q9HC98
P98170 O43447
P98170 P40937
P98170 O43353
P98170 P57078
P98170 Q8IUQ4
P98170 Q9Y2D8
P98170 Q9Y4K3
P98170 A5D8V6
Q9NR12 Q7L5A3
Q9NR12 Q63ZY3
Q9NR12 O43189
Q9NR12 Q99816
Q9NR12 Q9NRR5
Q9NR12 O00308
Q9UPT9 Q13469
Q5MCW4 Q15323
Q5MCW4 Q6A162
O95260 O43463
Q9HCE5 Q86U44
Q9HCJ2 Q9Y2I2
Q9HCJ2 Q96CW9
Q9BW92 A2RTX5
Q9Y2X0 O75448
Q9Y2X0 Q71SY5
Q15560 Q9C0F1
Q15560 O75553
Q15560 Q08379
Q15560 O00291
Q15560 Q8N8K9
Q15560 Q6A162
Q15560 Q9BRK4
Q15560 P43364
Q15560 P27448
Q15560 P50222
Q15560 Q13064
Q15560 Q8NCY6
Q15560 Q9NRD5
Q15560 Q86VP1
Q15560 Q12800
Q15560 Q15025
Q15560 Q12933
Q15560 P14373
Q15560 Q9BYV2
Q15560 Q9BZW7
Q05D60 P49418
Q05D60 Q5PSV4
Q05D60 P62508
Q05D60 O00471
Q05D60 Q08379
Q05D60 O14879
Q05D60 Q8WYH8
Q05D60 Q9BVG8
Q05D60 P19012
Q05D60 Q9NU19
Q05D60 Q9BYV2
Q05D60 P40222
Q05D60 Q8N3L3
Q05D60 Q9UQR1
Q05D60 Q14592
Q05D60 Q7Z3I7
Q15561 Q53EZ4
Q15561 P31321
Q15561 Q9GZV5
Q15561 P46937
Q96T76 O76071
Q96T76 P18074
P10244 Q5TKA1
Q2WGJ6 Q9H2G9
Q2WGJ6 P08238
Q2WGJ6 Q15323
Q2WGJ6 O76015
Q2WGJ6 Q6A162
Q2WGJ6 P43360
Q2WGJ6 P50222
Q2WGJ6 Q7Z3S9
Q2WGJ6 O76081
Q2WGJ6 Q9Y6A5
Q2WGJ6 O75478
Q2WGJ6 Q96M29
Q2WGJ6 Q13077
Q2WGJ6 Q8IWZ5
Q2WGJ6 Q9BYV2
Q2WGJ6 Q8N6Y0
Q2WGJ6 Q9BYN7
O95886 P16333
Q8N4T4 Q13137
P60228 P55884
P60228 Q99613
P60228 Q9Y262
P60228 Q59EK9
P60228 P14373
P60228 Q8IUH5
Q86UP8 Q9BYV2
Q14397 P35557
O60907 Q9BSI4
Q9UIQ6 Q04864
Q05048 Q99728
Q6P9H4 O15049
Q6P9H4 Q13287
Q05516 Q8NHQ1
Q05516 Q9Y2V7
Q05516 P68104
Q05516 Q08379
Q05516 O95872
Q05516 Q6A162
Q05516 P29590
Q05516 Q9NYJ8
Q05516 Q13077
Q05516 Q12933
Q05516 P14373
Q05516 Q9BYV2
O60759 Q15438
Q14596 Q13501
Q14596 Q9H2B2
Q14596 P40818
Q96FA3 Q8N137
Q96FA3 Q68CJ9
Q96FA3 P51617
Q96FA3 Q9NWZ3
Q96FA3 Q15645
Q96FA3 Q08AM6
P07602 P55072
P07602 O96006
O60285 O95835
B2RNN3 P0C862
O60282 P68400
O60282 P19784
O75717 Q92830
O75716 Q6UY14
O75716 Q08117
O75716 Q96Q35
O75716 Q13137
O75716 O43186
O75716 O95967
O75716 Q5JST6
O75716 Q9UKT9
O75716 Q9BQ13
O75716 Q8N5Z5
O75716 P50222
O75716 Q9GZT8
O75716 Q7Z3S9
O75716 O15162
O75716 Q9NRY6
O75716 Q04864
O75716 Q8HWS3
O75716 P12757
O75716 Q13829
O75716 O43734
O75716 P14373
O75716 Q8IWZ5
O75716 Q15654
P11309 Q9UNQ0
P11309 P51813
P11309 Q96MH2
P11309 Q9Y2K1
P11308 P10275
P11308 P09874
Q15973 A1L4K1
Q15973 Q08379
Q15973 Q15323
Q15973 Q6A162
Q15973 P50222
Q15973 Q7Z3S9
Q15973 Q9Y2D8
Q15973 Q8N0S2
Q15973 Q13077
Q15973 Q9BZW7
O95461 O43505
Q9Y608 Q8N5M1
Q9Y608 Q92997
O95466 Q9NP66
O95466 O75044
Q9UNY4 Q99459
Q13480 P51451
Q13480 P46108
Q13480 P46109
Q13480 P07332
Q13480 P62993
Q13480 P06239
Q13480 P07948
Q13480 P16333
Q13480 O43639
Q13480 P27986
Q13480 O00459
Q13480 Q92569
Q13480 Q13882
Q13480 Q06124
Q13480 P49023
Q13480 P20936
Q13480 O14796
Q13480 Q9NP31
Q13480 P29353
Q13480 Q9H6Q3
Q13480 O14543
Q13480 O14544
Q13480 P12931
Q13480 Q9ULZ2
Q13480 P43405
Q13480 P42680
Q13480 P15498
Q13480 P52735
Q13480 Q9UKW4
Q13480 P07947
Q9UIA0 Q8WWN9
O15211 Q7Z3S9
Q3KNV8 O95503
Q3KNV8 O95931
Q3KNV8 Q9HC52
Q3KNV8 Q8IXK0
Q3KNV8 Q06587
Q3KNV8 Q99496
Q96MH2 Q8IYA8
Q96MH2 P15976
Q96MH2 O00505
Q96MH2 P50222
Q96MH2 Q9NRD5
Q96MH2 P11309
Q96MH2 Q9GZV8
Q96MH2 P54274
P33981 O14777
P33981 Q9BZD4
Q14974 P52294
Q14974 P52292
Q14974 O00505
Q14974 O00629
Q14974 O60684
Q14974 A9QM74
Q16666 P10275
Q16667 P24941
Q7Z398 Q04864
Q8WYQ9 Q13643
Q86Y07 Q8IVT5
Q86Y07 Q02750
Q86Y07 Q13469
Q9BZQ8 P31749
Q9BZQ8 Q14192
Q96S15 Q92624
Q96S15 Q9NXC5
Q96S15 P58004
Q96S15 P58005
Q9NZZ3 Q5VW32
Q9NZZ3 O75351
Q08AG5 Q6A162
Q08AG5 Q9GZM8
Q53ET0 P18850
P78348 Q9NRD5
P78347 Q06187
Q9NRZ9 O00716
P62760 Q86UW9
Q96T60 Q13422
Q96T60 P50222
Q96T60 Q15025
Q96T60 O94972
Q96T60 P18887
Q96T60 O43829
Q96T60 Q9UID6
Q96CA5 Q08117
Q96CA5 Q13490
Q96CA5 P26196
Q96CA5 O43464
Q96CA5 O43189
Q9BZE9 Q15323
Q9BZE9 Q7Z3S9
Q9BZE9 Q9Y6A5
Q9BZE9 P55072
Q969U6 Q16531
Q969U6 Q12929
Q969U6 Q15323
Q969U6 Q6A162
Q969U6 Q7Z3S9
Q969U6 P14373
P02745 P02746
P02745 Q9UHD9
Q719H9 Q7L775
Q719H9 Q96SI1
Q719H9 Q8TAP4
Q719H9 Q8TBB1
Q719H9 P54646
Q719H9 O00560
Q719H9 P24278
Q9UKL0 Q13547
Q9UKL0 O60341
P15498 Q8IZP0
P15498 P00519
P15498 Q13480
P15498 P62993
P15498 Q13094
P15498 P78314
P15498 Q8N720
Q8NEM0 Q01094
Q8NEM0 Q15554
Q8NEM2 P05771
Q8NEM7 Q7Z3C6
Q8NEM7 Q16539
Q13469 P16220
Q13469 P05412
Q13469 Q9UPT9
P15514 P26447
Q8N3C7 Q96AA8
Q8N3C7 Q9BVG8
Q8N3C7 Q9BRK4
Q8N3C7 P43365
Q8N3C7 Q13049
Q8N3C7 Q8NC26
Q9UPN7 O15084
Q9UPN7 Q8N8A2
Q9UPN7 Q8NB46
Q9UPN7 O00221
Q9UPN7 O00743
Q8N4C7 O60341
Q8N4C7 P61764
Q8N4C7 O43463
Q8N4C7 Q8N0S2
Q16820 P14780
O43422 O75410
P04629 P22681
P04629 P18031
P04629 Q99523
P04629 Q13501
P04629 O75385
O75367 A1L162
Q8TE76 P40763
O75360 Q08117
O75360 P35070
O75360 O95967
O75360 Q7L775
O75360 P52790
O75360 P49639
O75360 Q969R5
O75360 Q96CV9
O75360 P43351
O75360 P78317
O75360 Q96M29
O75360 A5D8V6
O75360 Q6P2D0
Q9BQY4 Q08117
Q9BQY4 O75553
Q9BQY4 O95967
Q9BQY4 Q14847
Q9BQY4 Q9Y5V3
Q9BQY4 O60568
Q9BQY4 Q15645
Q9BQY4 Q08AM6
Q9UC07 Q9BW62
Q9UC07 Q15323
Q86WT6 O14964
Q86WT6 Q659C4
Q86WT6 Q86SG6
Q86WT6 Q12874
Q86WT6 Q96DX7
Q13347 Q6UXB4
Q13347 P55884
O00499 Q9UBW5
O00499 Q9Y2H0
O00499 Q13496
O00499 O95219
A4D1B5 P05067
P20585 P40692
P20585 P43246
Q9H981 Q9H9F9
Q9H981 Q9Y5K5
Q9ULJ8 P41220
O15524 Q04206
Q8NHU6 P42771
Q8NHU6 Q06547
Q8NHU6 O75410
P05937 Q9Y6K9
P05937 Q9NQA5
Q96CK0 Q8TAP6
Q96T55 P32242
P22736 Q9P2G1
P22736 P55273
P22736 Q17RB8
P22736 P43243
P22736 Q96JS3
P22736 Q04206
P22736 P40763
P22736 P04350
A0MZ66 P62508
A0MZ66 Q12800
Q8N8K9 Q96LK0
Q8N8K9 P61968
Q8N8K9 O14543
Q8N8K9 Q99469
Q8N8K9 Q15560
P06703 Q02790
P06703 P52292
P06703 Q00987
P06703 P50542
P06703 P04271
P06702 P05109
P37235 Q9BXJ5
P37235 Q86UW9
P37235 Q9NP66
P37235 Q7Z3S9
O43264 Q6NUQ1
O43264 O95229
Q9BX67 P57087
Q9BX67 P50222
O95243 P40692
Q9NP73 P49639
Q9NP73 Q01974
Q13064 O15151
Q13064 P0CG20
Q13064 O75478
Q13064 Q15560
Q13064 Q9BT92
Q13064 Q96NG3
Q08999 Q16254
Q08999 P67775
Q9HB19 Q8TF65
Q9Y2Z0 P08238
Q9Y2Z0 O75427
Q9Y2Z0 Q9Y239
Q93009 P35226
Q93009 Q9HC52
Q93009 Q9UER7
Q93009 Q00987
Q93009 O15151
Q93009 Q5U5Q3
Q93009 Q99836
Q93009 P35227
Q93009 P06400
Q93009 Q06587
Q93009 Q99496
P09493 Q8TC20
P09493 Q08379
P09493 O14879
P09493 Q9Y6D9
P09493 Q8N0S2
Q9NVC6 Q15528
Q86TM6 O75460
Q9P202 O60711
P07476 Q96AP0
P01135 Q969F2
P01135 O43765
Q9Y4P8 Q9NUX5
P32856 Q12846
Q96JM7 Q9NWX5
Q96JM7 Q9BXJ3
Q96JM7 O00716
Q96JM7 P45984
Q96JM7 Q9UBU8
Q96JM7 Q15014
Q96JM7 Q8IXK0
Q96JM7 Q96BD5
Q96JM7 Q96S99
Q96JM7 Q9H8W4
Q96JM7 Q13131
Q96JM7 P54646
Q96JM7 Q5VUG0
Q96JM7 P23497
Q96JM7 P10827
Q96JM7 Q6DKK2
Q92609 P54253
Q92609 Q9BZP6
Q92609 Q96QK1
O75553 Q6NT76
O75553 O43820
O75553 Q8TBB1
O75553 Q9Y5V3
O75553 Q9NR56
O75553 Q9NUK0
O75553 Q13427
O75553 Q9BQY4
O75553 Q8WU79
O75553 Q96SI9
O75553 Q15560
O75553 Q6ZXV5
O75553 O95231
O75553 Q96K80
O75553 Q96MN9
Q9BSJ8 A0FGR8
Q9BSJ8 A0FGR9
Q99986 P15336
Q99986 P16104
Q99986 P05412
Q99986 O60934
Q99986 Q9H4B4
Q99986 O76064
Q99986 P48431
P17858 P08237
Q6ZU52 Q9P2A4
Q6ZU52 P04150
Q6ZU52 O60504
O75081 Q9Y2D9
Q5TA45 P32242
Q13137 Q08117
Q13137 Q8N4T4
Q13137 Q9HC52
Q13137 Q8IYX8
Q13137 Q2TBE0
Q13137 O43602
Q13137 P26196
Q13137 Q9UNI6
Q13137 Q9BV47
Q13137 Q86YD7
Q13137 Q9UIM3
Q13137 Q8WXI9
Q13137 P17482
Q13137 Q7Z3B3
Q13137 Q9P2K6
Q13137 P25791
Q13137 P61968
Q13137 Q17RB8
Q13137 Q9H7H0
Q13137 P00540
Q13137 Q9NVV4
Q13137 Q6PIY7
Q13137 Q9UBV8
Q13137 Q86TG7
Q13137 O43189
Q13137 Q13671
Q13137 O00560
Q13137 P30626
Q13137 O75716
Q13137 Q9NU19
Q13137 Q9UHD2
Q13137 Q969Z0
Q13137 Q9BXF9
Q13137 Q96S44
Q13137 Q9Y3M9
Q13137 Q9H9D4
Q13137 Q8TBZ8
Q13137 Q9P0T4
Q13131 Q9NYB9
Q13131 Q08117
Q13131 O14627
Q13131 Q08379
Q13131 Q6NT76
Q13131 P08238
Q13131 Q9UKT9
Q13131 Q6A162
Q13131 Q96JM7
Q13131 Q8IXK0
Q13131 Q8HWS3
Q13131 Q9Y2D8
Q13131 P14373
Q13131 Q15654
Q13131 Q9Y3Q8
Q13131 Q5T124
Q13131 Q9H9H4
Q13131 Q8N1B4
Q13131 P46937
Q13131 O96006
Q13133 O60341
Q13133 P28702
Q13133 P48443
Q13133 O43463
P52739 Q14192
P52737 Q8NHQ1
Q8NHL6 P29350
Q9UIS9 P45973
Q9UIS9 Q13111
Q9UIS9 Q13547
Q9UIS9 Q92769
Q9UIS9 O15379
Q9UIS9 O75925
Q9UIS9 Q9Y6X2
Q9UIS9 O43463
O94808 Q9NUX5
Q8TD16 Q15560
Q8TD10 P49368
Q8TD10 Q07002
Q8TD10 P61024
Q8TD10 Q68CQ4
Q8TD10 P43360
Q8TD10 P33993
Q8TD10 Q8WY64
Q8TD10 O76041
Q8TD10 Q96KQ4
Q8TD10 Q9P2K3
Q8TD10 Q969G3
Q8TD10 Q99909
Q8TD10 Q9P0N9
Q8TD10 Q9BT92
Q8TD10 Q9Y6N9
Q9H4G0 P54274
Q99459 Q08379
Q99459 Q0D2H9
Q99459 Q08AF8
Q99459 Q9UJC3
Q99459 Q13416
Q99459 O43660
Q99459 P62136
Q99459 Q96KQ4
Q99459 Q9UMS4
Q99459 Q15428
Q99459 Q9UNY4
Q8N883 Q14938
Q9UF11 P52306
Q9UF11 Q9NP31
Q9UF11 Q8IUH5
P40938 Q6AI12
P40938 P35249
P40937 Q15742
P40937 P35249
P40937 O00635
P40937 P98170
Q02040 Q13137
Q02040 Q8NHQ1
Q02040 Q6A162
Q02040 Q13077
Q9BWF2 Q15555
Q9BWF2 P16333
P31949 P04271
P31948 Q96AP0
P31948 Q7L3B6
P31948 P08238
P31948 P53041
Q96MF7 Q96SB8
Q96MF7 P40222
Q96MF2 P68400
Q96MF2 Q86YD7
Q96MF2 Q969R5
Q9NYZ3 P53350
Q16644 Q16539
O75928 Q96HD9
O75928 P14136
O75928 Q08379
O75928 P20592
O75928 P41219
O75928 P63244
O75928 Q96T51
O75928 P36406
O75928 O96006
O75928 Q96BR9
P78337 Q92997
P78337 Q08379
P78337 P35548
Q8N6Y0 Q96IX9
Q8N6Y0 P53365
Q8N6Y0 Q13515
Q8N6Y0 Q8NFR7
Q8N6Y0 O60826
Q8N6Y0 Q8N4L8
Q8N6Y0 Q9NVE4
Q8N6Y0 Q76N32
Q8N6Y0 Q8IYR0
Q8N6Y0 Q9P2B4
Q8N6Y0 O60941
Q8N6Y0 Q8IYI6
Q8N6Y0 Q8WXI9
Q8N6Y0 Q8NEA9
Q8N6Y0 Q0D2H9
Q8N6Y0 Q08AF8
Q8N6Y0 Q9Y4H4
Q8N6Y0 Q96HW7
Q8N6Y0 Q2KHM9
Q8N6Y0 Q9NSK0
Q8N6Y0 Q2WGJ6
Q8N6Y0 P52292
Q8N6Y0 P35900
Q8N6Y0 Q15323
Q8N6Y0 O76015
Q8N6Y0 Q6A162
Q8N6Y0 Q3SY84
Q8N6Y0 Q5XKE5
Q8N6Y0 O15481
Q8N6Y0 P33993
Q8N6Y0 Q9NPJ6
Q8N6Y0 P00540
Q8N6Y0 O14777
Q8N6Y0 Q7Z6G3
Q8N6Y0 Q9BVI4
Q8N6Y0 Q9HBI0
Q8N6Y0 Q15435
Q8N6Y0 Q14738
Q8N6Y0 P54646
Q8N6Y0 Q9UJF2
Q8N6Y0 Q5VTR2
Q8N6Y0 Q9UDX3
Q8N6Y0 Q969G3
Q8N6Y0 O75558
Q8N6Y0 P57105
Q8N6Y0 Q9BYV2
Q8N6Y0 Q99816
Q8N6Y0 P40222
Q8N6Y0 Q8N3L3
Q8N6Y0 Q5T124
Q8N6Y0 Q7L2R6
Q16649 Q9Y2J4
Q16649 P18846
Q16649 P16220
Q16649 Q68CJ9
Q16649 Q12933
P23297 Q00987
P23297 Q9H8W4
P23297 P29034
P23297 P26447
P23297 P04271
P23297 P25815
Q12841 Q92624
Q12841 P08571
Q969V4 Q8IYR0
Q969V4 O00560
Q969V4 P18206
Q9NS91 Q14527
Q9NS91 Q13416
Q9NS91 Q86VP1
P80192 P08238
Q5TEJ8 Q7Z3S9
O14964 Q9NYB9
O14964 P53365
O14964 Q8IW40
O14964 Q96M63
O14964 Q96HB5
O14964 Q53EZ4
O14964 Q9P2B4
O14964 Q9UPT5
O14964 Q5HY92
O14964 A6NEM1
O14964 Q8WYH8
O14964 Q96HW7
O14964 Q96AA8
O14964 P19012
O14964 P05783
O14964 P08727
O14964 P12035
O14964 Q15323
O14964 O76015
O14964 Q6A162
O14964 P02538
O14964 Q01546
O14964 O15481
O14964 O14777
O14964 Q13287
O14964 Q7Z3B4
O14964 Q7Z4N8
O14964 Q9UBV8
O14964 Q9UNH6
O14964 Q92783
O14964 O75478
O14964 Q99816
O14964 Q9UHD9
O14964 A5D8V6
P08253 Q8NBP7
P08253 Q8IX30
Q9NQZ2 Q92997
Q2M1V0 P78424
Q96D09 Q9HC52
Q96D09 Q8IYR0
Q96D09 O43395
Q96D09 Q9BQ70
Q9HBT8 Q6A162
Q9BZW8 P09326
Q9BZW8 Q06124
Q9BZW8 P29350
Q9BZW8 O60880
Q9BZW8 O14796
P51617 Q99836
P51617 Q96FA3
P51617 Q9HAT8
P51617 Q9Y4K3
O75534 Q8IV36
Q96IZ0 P11021
Q96IZ0 Q96BD6
Q96IZ0 P08670
Q06124 P10275
Q06124 Q9BZW8
Q06124 P20138
Q06124 Q08345
Q06124 Q13480
Q06124 Q9UQC2
Q06124 P62993
Q06124 P43628
Q06124 P10721
Q06124 P09619
Q06124 P16284
Q06124 P49023
Q06124 Q13049
P60842 P78344
P60842 Q53EL6
