proteinA,proteinB,interaction
P25385,P11076,1
P22804,P53622,1
P41810,P22804,1
P41811,P22804,1
P32074,P22804,1
P43621,P22804,1
P22804,P53600,1
P53622,P22214,1
P41810,P22214,1
P41811,P22214,1
P22214,P32074,1
P22214,P53600,1
P25385,P53622,1
P41810,P25385,1
P0C0W9,Q08746,1
P38810,Q01590,1
P52286,P47104,1
P52286,P32324,1
P52286,P39531,1
P53116,P52286,1
P38352,P52286,1
Q03956,P52286,1
P47104,Q03956,1
P17255,P47104,1
Q03956,P17255,1
P16140,Q03956,1
P22203,Q03956,1
Q03956,P32610,1
P32610,P47104,1
P22203,P47104,1
P32610,P52286,1
P52286,P22203,1
P16140,P52286,1
P17255,P52286,1
Q12365,Q12365,1
P32504,P32504,1
P53971,P53971,1
P41921,P41921,1
P15992,P15992,1
P19262,P19262,1
Q12514,Q12514,1
P40316,P40316,1
P38748,P38748,1
P40473,P40473,1
Q04461,Q04461,1
Q12440,Q08683,1
Q04601,Q12440,1
P14724,Q12440,1
Q08683,Q12107,1
Q08683,P53068,1
Q08683,Q04601,1
Q08683,Q12157,1
P14724,Q08683,1
P53068,Q04601,1
Q12157,Q04601,1
Q04601,P14724,1
P14724,Q12157,1
Q12157,P53068,1
Q12107,Q12157,1
P48510,P32628,1
P40563,P15891,1
P38198,P38198,1
P02557,P38198,1
Q12263,Q12263,1
P25342,Q12263,1
Q12263,P32458,1
P53890,Q12263,1
P32458,Q07657,1
P53079,P40094,1
P40094,P36015,1
P40094,P22214,1
P53271,Q01590,1
P53079,Q01590,1
P53959,Q01590,1
Q06096,Q01590,1
P40094,P32074,1
P53271,P32074,1
P14922,Q08923,1
Q03330,Q08923,1
Q02336,Q08923,1
Q08923,P32494,1
Q08923,P06844,1
P52286,P02829,1
Q08465,P34218,1
P35189,P34218,1
P32558,P34218,1
P21538,Q03898,1
Q03898,P40020,1
P38838,Q03898,1
Q00618,P32864,1
P22141,Q06103,1
Q04062,P22141,1
P43588,P22141,1
P22141,P40327,1
P33297,P22141,1
P22141,P38304,1
P33299,P50086,1
P33299,O13563,1
P38439,P33299,1
P33299,P89105,1
P38351,P33299,1
P43593,P33299,1
P43605,P40541,1
Q04264,P43605,1
Q08214,P38920,1
P38920,P39875,1
P26448,P38987,1
P47113,P26448,1
P09798,P50082,1
P53197,P16522,1
P53197,P32562,1
P40316,P26309,1
P32504,P47134,1
P52286,P47134,1
P38634,Q12018,1
P52286,P38634,1
P24814,P20437,1
P25385,P22213,1
P22213,P22214,1
P22214,P32602,1
P53093,P32939,1
P53093,P36018,1
P07560,P53093,1
P38555,P53093,1
P53093,Q99260,1
P53845,P07560,1
P53845,P38555,1
P53845,P38146,1
P38555,P53108,1
P53108,P07560,1
P32939,P53108,1
P53108,P36018,1
P38146,P53108,1
P53108,P48559,1
P48559,P53845,1
P53845,Q99260,1
P38889,P10961,1
Q12365,P33419,1
P53159,Q12365,1
Q12365,P11927,1
P53064,P27692,1
P27692,P38351,1
P38439,P27692,1
P27692,P89105,1
Q01590,P15303,1
P34253,P42935,1
P11075,P40482,1
P38637,Q02821,1
P38637,P43588,1
Q12159,Q12159,1
P36036,Q12159,1
P36036,P36036,1
Q99257,P36036,1
Q12159,Q99257,1
P32337,P36036,1
P19880,P32337,1
P40069,P19880,1
P40069,P04456,1
P04456,P32337,1
P21957,P22579,1
P26798,P21957,1
P22137,Q06677,1
P17883,P32527,1
P28519,P04050,1
Q12329,Q12329,1
P38764,P22141,1
P53277,P32523,1
P37296,P48836,1
P32607,P13902,1
P34730,P48566,1
P40959,P11972,1
P25385,P41811,1
P52286,Q04847,1
Q12107,Q04601,1
P53079,P53271,1
P02829,P35203,1
P48559,P53093,1
P15303,P11075,1
P18494,P06782,1
Q02884,Q02908,1
P38165,P13902,1
P25385,P32074,1
P35191,P35191,1
P53845,P32939,1
P36124,P50111,1
P22203,P37296,1
Q02908,P38874,1
Q04195,P50623,1
P33122,P13902,1
P89102,P33332,1
P89105,P04050,1
Q00684,P26448,1
P40509,P25385,1
P21524,P21524,1
P36049,Q08746,1
P53163,P53163,1
Q07657,Q12263,1
P53959,P40094,1
O13563,P22141,1
P25385,Q01590,1
Q01590,P40482,1
P32527,P39935,1
P28519,P06839,1
P02829,P02829,1
P22141,P32565,1
P53093,P53845,1
P22214,P43621,1
P40509,P22214,1
P23595,P54786,1
P21242,P54786,1
Q08920,P32641,1
P89114,P32641,1
P28519,P06779,1
P08518,Q06697,1
P22804,P40509,1
P07270,P07270,1
P21304,P21304,1
P21651,P21651,1
P11075,P11075,1
P40574,P40574,1
Q05580,Q05580,1
Q04411,Q04411,1
P40016,P22141,1
Q12377,P22141,1
P22141,P33299,1
P38886,O13563,1
P43605,P43605,1
P43605,Q12158,1
P38146,P53093,1
P38874,P34253,1
Q02908,P34253,1
P32337,P13393,1
P35729,P53011,1
P11075,P32074,1
P12887,P15873,1
P13393,P07270,1
P07270,Q02939,1
P06700,Q08119,1
P32457,P53890,1
P32585,P04386,1
Q08109,P12683,1
P20053,P43321,1
P40070,P40018,1
P35180,P18239,1
P09938,P09938,1
P81449,P81449,1
P38766,P15873,1
P15873,P25336,1
Q03834,P15873,1
P36116,Q12071,1
P36116,P47061,1
P36116,Q03322,1
P36116,Q99260,1
Q06551,P41912,1
P35203,P40969,1
P32504,P35203,1
P57744,P53299,1
P53299,P32897,1
P32897,P57744,1
P35187,Q12083,1
P38764,P48510,1
P32628,P33299,1
P32558,P32628,1
P32628,P38304,1
P13393,P32628,1
P32628,Q02939,1
P13393,Q02939,1
P53549,P07270,1
P33299,P07270,1
P33338,P39940,1
P32833,Q12309,1
P48559,P19524,1
P00175,Q02776,1
Q02776,P32897,1
P16522,P24869,1
Q07732,P32336,1
Q07732,P53865,1
P25655,Q12297,1
P25655,P53040,1
Q12030,P25655,1
Q04226,P25655,1
P46677,Q12030,1
P06102,P46677,1
Q12514,P46677,1
P40515,P47025,1
P47025,P47025,1
P32790,P25369,1
Q06340,P06700,1
P19659,Q08119,1
P53259,P00431,1
P40341,P00431,1
P48510,P33297,1
Q04062,P48510,1
P32628,P33297,1
P48510,P32565,1
P32565,P32628,1
P04386,P39073,1
Q02555,P28007,1
P00729,P32915,1
P32915,P00724,1
P25385,P00724,1
P38353,P00724,1
P10823,Q12361,1
P10823,P39717,1
P10823,P53130,1
Q08886,P53130,1
P39717,P53130,1
P23293,P43568,1
P32566,P33306,1
P80667,P50091,1
P50091,P27796,1
P34162,P32585,1
P36094,Q07732,1
P34162,P32569,1
P38072,P38072,1
P15646,P27476,1
P15646,P28007,1
Q6Q547,P15646,1
Q6Q547,P33322,1
P53919,P28007,1
P53919,Q6Q547,1
P53261,Q02256,1
Q12328,Q08749,1
Q07478,Q12159,1
P32479,P32479,1
P32479,P32480,1
P00854,P05626,1
Q06405,P05626,1
P47103,P31539,1
P33313,P31539,1
P15705,P31539,1
Q02630,P40477,1
P35181,Q00776,1
P35181,P38700,1
Q00381,Q99186,1
Q00381,P27351,1
Q12241,Q08951,1
P46682,Q12241,1
P38959,Q08951,1
P53267,P38283,1
P53168,P38283,1
P38991,P53267,1
P53168,P38991,1
P40963,P40963,1
Q04003,Q04003,1
P40963,Q12495,1
Q04003,Q12495,1
O74700,P32897,1
P32897,P87108,1
P39935,Q08920,1
P12683,Q05787,1
P32899,P47083,1
P32908,P40460,1
P38989,P40460,1
P38072,P00410,1
Q99186,P27351,1
P32939,P38273,1
P43321,P39990,1
Q06217,P43321,1
P43321,P38203,1
P43321,P40089,1
P43321,Q12330,1
P32639,P43321,1
P19735,P43321,1
Q12420,P43321,1
P49704,P43321,1
P43321,Q03338,1
P43321,Q00723,1
Q12368,P43321,1
P43321,P40070,1
P43321,Q06819,1
P37303,P37303,1
P38262,P11978,1
P10355,P10834,1
P07390,P10834,1
P20967,P20967,1
P32259,P19263,1
P25359,P38792,1
Q12277,P38792,1
P39926,P40357,1
P39952,P00410,1
P00420,P39952,1
P41697,Q04005,1
Q02574,P38827,1
P53045,P53199,1
Q12452,P53045,1
P19882,P38910,1
P39727,Q04651,1
P47017,P47017,1
P47017,P47093,1
P57743,P57743,1
P40089,P40089,1
Q03308,P12868,1
P12868,P20795,1
Q12390,Q12390,1
P53378,P52553,1
P48363,P53378,1
P53900,P53378,1
P40005,P52553,1
P09232,P25580,1
Q05787,Q08109,1
Q03761,P50105,1
P49956,P40348,1
Q12033,P33400,1
Q12033,Q12033,1
P15705,P06101,1
P06101,P47103,1
P38760,Q99257,1
P53378,Q04493,1
Q06208,P29539,1
P11978,Q03661,1
Q08387,P25615,1
P41817,P19812,1
P50105,P25655,1
P39073,P03069,1
P38855,P80667,1
Q12009,Q03774,1
P22137,P36000,1
Q08920,P07260,1
P43321,P36048,1
P41697,P41697,1
P16664,P40395,1
P34162,P04386,1
P32628,P04050,1
P43602,P39940,1
Q02805,P39940,1
Q08204,Q07913,1
Q08204,P87108,1
P25655,P46677,1
P25385,P00729,1
P04386,P32570,1
P39076,P12612,1
Q12495,Q99314,1
Q12415,P33339,1
P41546,P41546,1
Q04493,P40005,1
P18239,P87108,1
Q07913,Q12749,1
Q05021,P46677,1
P10823,Q08886,1
P53890,P32458,1
P25342,P53890,1
P32468,P53890,1
P53112,P53112,1
P38013,P38013,1
P25043,P32628,1
P32628,P22141,1
Q06406,P43321,1
P27796,P38855,1
Q06440,P32381,1
P53731,Q06440,1
P32364,P40450,1
P41697,P40450,1
Q06675,Q02732,1
Q02732,P32504,1
Q02732,P36012,1
P53298,Q02732,1
Q06675,Q06675,1
P53298,Q06675,1
Q06675,P35201,1
Q06675,P52286,1
P53298,P32504,1
P40969,P53298,1
Q02732,P40969,1
P22216,P22216,1
Q07418,Q04370,1
Q04338,P27801,1
P20795,Q03308,1
Q03308,Q07468,1
P38273,P53129,1
P27801,P53129,1
P12868,P53129,1
Q07468,P53129,1
P53129,P53129,1
P32387,P39952,1
P38111,P22138,1
P53847,P53622,1
P38273,Q03308,1
Q12495,P21691,1
Q08162,Q08491,1
P38792,P38801,1
P38801,Q12149,1
P24869,P25558,1
P53378,P39723,1
P46675,P38863,1
P39723,P39723,1
Q08245,P36027,1
Q12050,P38629,1
P33323,Q02721,1
P23179,Q02721,1
P43132,P04050,1
P06104,P43132,1
P38798,Q08491,1
Q07418,P32800,1
P28795,P28795,1
P28795,P80667,1
P28795,Q08215,1
P29340,P29340,1
P35056,P35056,1
P35056,Q07418,1
Q05568,P29340,1
P80667,Q05568,1
Q08215,Q05568,1
Q05568,Q07418,1
Q12462,Q12462,1
Q12462,Q07418,1
Q05568,Q04370,1
P80667,Q04370,1
Q04370,Q08215,1
P80667,P80667,1
Q08215,P80667,1
Q07528,P80667,1
P80667,P49334,1
P53112,Q08215,1
P53112,Q07418,1
Q08215,P40155,1
P40155,Q07418,1
P29340,P39718,1
Q05568,P39718,1
P39718,Q08215,1
P39718,Q07418,1
P38431,P32911,1
P38431,P39935,1
P14682,P14682,1
P04050,Q12102,1
P04050,Q06632,1
P39081,P04050,1
Q12102,Q12102,1
Q12102,P53538,1
Q12102,Q07509,1
P39081,Q06632,1
Q08685,Q06632,1
Q06224,Q08685,1
Q01329,P39081,1
P52917,Q04272,1
P38111,P22216,1
Q05568,Q05568,1
P32911,P39935,1
P53551,P22216,1
P39718,Q04370,1
P52917,Q06263,1
Q08491,P30771,1
P32944,P32562,1
P53197,Q00684,1
P09798,P53197,1
P32600,P41318,1
P32600,Q08236,1
Q04749,P32600,1
P32600,P40061,1
P38873,Q08921,1
P41318,P38873,1
Q08236,P41318,1
P41318,Q04749,1
P40061,P41318,1
Q08921,P41318,1
P53202,Q08273,1
P14682,Q08273,1
P14682,P52286,1
P20437,P52286,1
P07834,P38634,1
P32504,P17106,1
P17106,P40969,1
P35203,P17106,1
P17106,P17106,1
Q03071,Q03071,1
Q03071,P53861,1
P29469,P09119,1
Q12018,Q08446,1
P17106,P35201,1
Q03834,P32445,1
P32445,P31244,1
P38316,P03871,1
P32445,Q04740,1
Q02979,P15790,1
Q08387,Q02979,1
P32334,P47074,1
Q02774,Q12372,1
P53130,P26188,1
P22134,P03875,1
P38013,P26188,1
P26188,P11076,1
P02293,P26188,1
P26188,P36016,1
P38523,P26188,1
P26188,P08067,1
P26188,P41811,1
P26188,P33750,1
P26188,P19812,1
Q12449,P26188,1
P26188,P39009,1
P03871,P34221,1
P08458,P03871,1
Q02979,P38110,1
Q02979,P25646,1
P43564,Q02979,1
P53335,Q02979,1
Q02979,P53924,1
P53958,P34730,1
P06243,P05150,1
Q03761,Q06011,1
P06633,P06633,1
Q12175,P38274,1
P52918,Q03973,1
P40550,Q03973,1
P38890,Q03407,1
Q04659,P32337,1
P14736,P05759,1
P28000,P38744,1
P47023,P12904,1
P47129,P12904,1
P28496,P38987,1
P36057,P38353,1
Q99190,P38286,1
Q02774,P06775,1
P38819,P32803,1
P38346,Q05027,1
P47057,Q07528,1
P40515,Q06168,1
Q99219,P53215,1
P40565,P13393,1
Q04674,P40565,1
Q05930,Q06834,1
Q6B0Y7,P25351,1
Q08817,P53915,1
P53906,P38555,1
P32793,Q06543,1
Q99190,P35206,1
P25358,Q99190,1
P35206,P40970,1
P38875,P49018,1
P04817,P14906,1
P39012,P38875,1
P46965,P15367,1
P41800,Q92328,1
P25358,P46961,1
P31381,P38286,1
P31381,P38842,1
P31381,P47154,1
Q12289,P38182,1
Q02979,P53215,1
Q12344,P39743,1
P52286,Q06440,1
P40574,P22149,1
P38819,P39704,1
P05986,P05986,1
P39992,Q12023,1
Q02774,P04817,1
P18239,P22214,1
P03962,P03962,1
P39012,P49018,1
P35691,P26188,1
P53897,P47036,1
Q12424,P16661,1
P38356,Q03655,1
P53049,P25580,1
P25613,P25639,1
P25639,P39928,1
Q07376,P37267,1
P32266,P87284,1
P49018,P43682,1
P25358,P16151,1
P16151,P41544,1
P53744,Q04121,1
P16661,P49018,1
P38988,P16151,1
P38356,P16661,1
P47154,P29465,1
P29465,Q06541,1
P39704,P35206,1
P31379,P35206,1
P38264,P35206,1
P35206,P38286,1
P25580,P35206,1
P35206,P25358,1
P08456,P35206,1
P53337,P35206,1
P23968,P35206,1
P35206,P38819,1
P35206,P38842,1
P40548,P35206,1
P47154,P35206,1
P35206,P35723,1
P36057,P35206,1
P35206,P32386,1
Q12445,P35206,1
P35206,Q04697,1
P35206,P53633,1
P35206,P46961,1
P35206,P40350,1
P05374,P38227,1
P38286,P38079,1
P38079,P25568,1
P38079,P39007,1
P38079,P38604,1
P46965,P38079,1
P38079,P53954,1
P14906,P38079,1
P40169,P38250,1
P16661,P38264,1
P16661,P35723,1
P33754,P40035,1
P33754,P32915,1
P33754,P46961,1
P33754,P40350,1
P38264,P07286,1
P12683,P07286,1
P38353,P38286,1
P38353,P25358,1
P53337,P38353,1
P38842,P38353,1
P40548,P38353,1
P38353,P46956,1
P47154,P38353,1
P38353,P28496,1
P38353,P35723,1
P38353,Q04697,1
Q03655,P38353,1
P38353,P38428,1
P38353,P14906,1
P46961,P38353,1
P38353,P32842,1
P38353,Q12402,1
P38355,P38264,1
P31379,P38356,1
P38356,P38264,1
P38356,P25580,1
P25371,P38356,1
P38356,P25358,1
Q99190,P38356,1
P38356,Q02774,1
P38992,P38356,1
P38356,P32629,1
P25340,P38356,1
P38356,P53337,1
P38837,P38356,1
P40548,P38356,1
P46956,P38356,1
P47154,P38356,1
P28496,P38356,1
P35723,P38356,1
Q07904,P38356,1
P38356,Q12445,1
P46961,P38356,1
Q02896,P38356,1
P19516,P38356,1
P38356,P40350,1
P38356,Q12402,1
P38356,Q06451,1
P38264,P38358,1
P38358,P47154,1
P11710,P41821,1
P38264,P25568,1
P25580,P47144,1
P25354,Q04562,1
P25613,P43548,1
P25613,P37020,1
P25371,P38286,1
P25619,P23900,1
Q08929,P25619,1
P25621,P38264,1
P25621,P14906,1
P25360,P38264,1
P25639,P38221,1
P39106,P25639,1
P25639,P50276,1
P38814,P25639,1
P40464,P25639,1
P47154,P25639,1
P36107,P25639,1
P32386,P25639,1
Q99271,P25639,1
P25639,P20107,1
P25639,P42833,1
P25639,P38969,1
P32331,P25639,1
P53983,P25346,1
P25346,P53388,1
P38254,Q99190,1
Q99190,P38264,1
P16661,Q99190,1
Q99190,Q04399,1
P53337,Q99190,1
P41543,Q99190,1
P46956,Q99190,1
P47154,Q99190,1
Q99190,P28496,1
P35723,Q99190,1
P36057,Q99190,1
Q99190,Q06135,1
Q99190,Q06686,1
Q99190,Q04697,1
P35723,P32837,1
Q02896,Q99190,1
Q99190,Q12402,1
P39704,Q07376,1
Q07376,P39551,1
P38286,Q07376,1
P25358,Q07376,1
Q02774,Q07376,1
Q06644,Q07376,1
P23968,Q07376,1
P20048,Q07376,1
P38264,Q99385,1
P49573,Q99385,1
P11710,Q12407,1
P41544,Q12407,1
P20107,Q12407,1
P38909,Q12407,1
P38286,Q12424,1
P32837,P38286,1
P38138,P32837,1
Q02774,P32837,1
P32837,Q04697,1
P32837,P53835,1
P35179,Q08929,1
Q04602,P53226,1
Q04602,P38799,1
Q04602,P32331,1
P25358,P87284,1
P38992,P38286,1
P25358,P38992,1
P38992,P53273,1
P40548,P38992,1
P38992,P35723,1
P36057,P38992,1
P38992,Q04697,1
Q12006,P38992,1
Q06644,P35206,1
Q06644,P38264,1
P16661,Q06644,1
P38286,Q06644,1
Q99190,Q06644,1
P08456,Q06644,1
Q06644,P38842,1
P47026,Q06644,1
Q06644,P47154,1
P35723,Q06644,1
Q06644,P36057,1
Q04697,Q06644,1
P31379,P49018,1
P18414,P49018,1
P49018,P38264,1
P38286,P49018,1
P25358,P49018,1
P49018,P25641,1
Q99190,P49018,1
P49018,P87284,1
P49018,P38992,1
P49018,Q04121,1
P08456,P49018,1
P37267,P49018,1
P53337,P49018,1
P53048,P49018,1
P10614,P49018,1
P49018,P23968,1
P38837,P49018,1
P38842,P49018,1
P40548,P49018,1
P47026,P49018,1
P46956,P49018,1
P47154,P49018,1
P28496,P49018,1
P35723,P49018,1
P49018,Q12445,1
P49018,Q04697,1
P38993,P49018,1
P49018,Q03655,1
P49018,P25045,1
P49018,P53633,1
P49018,Q12006,1
P49018,P22215,1
P40350,P49018,1
Q12402,P49018,1
Q12359,P38131,1
Q12359,P53746,1
Q12359,Q06451,1
P18414,P16151,1
P38166,P16151,1
P16151,P38264,1
P16151,P38286,1
P16151,P50108,1
P16151,Q04396,1
P40073,P16151,1
P53337,P16151,1
P16151,P10566,1
P39542,P16151,1
P16151,P32332,1
Q12164,P16151,1
P16151,Q12177,1
P16151,Q01590,1
Q06686,P16151,1
P16151,Q03697,1
P16151,Q03795,1
Q03554,P16151,1
P53633,P16151,1
P42836,P16151,1
P11655,P16151,1
P16151,P14906,1
P38264,Q04121,1
P25358,Q04121,1
Q04121,P17261,1
P40088,Q04121,1
P53306,Q04121,1
P40318,Q04121,1
Q04121,P15367,1
Q04121,P41735,1
Q04121,P41930,1
P53306,Q03289,1
Q03322,P38286,1
P23900,Q03322,1
P39704,P33767,1
P33767,P38264,1
P16661,P33767,1
P38286,P33767,1
P25358,P33767,1
Q02774,P33767,1
P33767,Q04629,1
P87284,P33767,1
P38992,P33767,1
P53337,P33767,1
P40548,P33767,1
P46956,P33767,1
Q02774,P35206,1
P38286,P38358,1
P25639,P38264,1
P36057,P49018,1
P48813,P38264,1
Q06815,Q04121,1
P38079,P32897,1
P16661,P38286,1
P38264,P38353,1
P38286,P38356,1
P38264,P25346,1
P38264,Q07376,1
Q99190,Q12424,1
Q06644,P25358,1
P25625,P49018,1
Q08234,P16151,1
P16661,P25358,1
Q04697,P38356,1
P25639,P25354,1
Q02774,P87284,1
P43562,P16151,1
Q02774,Q06644,1
P25639,Q12361,1
P38264,P38992,1
P38992,P08456,1
P87284,Q06644,1
P46961,P49018,1
P16151,Q06541,1
P33767,P08456,1
P87284,P35206,1
P16661,P41806,1
P38358,P37267,1
P38301,P25639,1
P32368,P49018,1
P38286,P48813,1
P32334,P04817,1
P40073,P40367,1
P32803,Q99190,1
P32803,P47154,1
P53045,Q06135,1
P38069,P53322,1
P38286,P53322,1
P53322,P38358,1
Q12402,P53048,1
Q04697,P33767,1
Q99385,P40009,1
P53322,Q02725,1
P35723,P38819,1
P33767,P47154,1
P33767,P28496,1
P33767,P35723,1
P12683,P33767,1
P33767,P38428,1
P33767,P46961,1
P33767,P40350,1
P33767,P32842,1
Q12251,P33767,1
P16151,P40004,1
P04817,P39704,1
P04817,P18414,1
P04817,P35206,1
P38264,P04817,1
P16661,P04817,1
P38286,P04817,1
P04817,P25580,1
P04817,P25613,1
P04817,P25358,1
P25639,P04817,1
P04817,P53337,1
P38729,P04817,1
P38837,P04817,1
P04817,P38842,1
P04817,P38843,1
P04817,P40548,1
P04817,P38928,1
P04817,P41543,1
P04817,P47026,1
P04817,P46965,1
P47154,P04817,1
P35723,P04817,1
P36057,P04817,1
P04817,Q06135,1
Q04697,P04817,1
P38428,P04817,1
P04817,Q03554,1
Q08271,P04817,1
Q12412,P04817,1
P04817,P46961,1
P40350,P04817,1
P32842,P04817,1
P32912,P40009,1
P53337,P40009,1
P41544,P40009,1
P32791,P40009,1
P53633,P40009,1
P38264,P17064,1
P39719,P33296,1
P40073,P39709,1
P40073,P40071,1
P14906,P40073,1
Q12382,P40073,1
P17064,P40075,1
P38264,P43571,1
P43571,P25358,1
P38286,P43555,1
P25358,P43555,1
P43555,P32912,1
P35723,P43555,1
P43555,P36057,1
P43555,P53394,1
P14772,P43633,1
P53181,P32912,1
Q05787,P53181,1
P53181,Q06815,1
P38286,P21147,1
P53173,P38264,1
P38264,P21147,1
P25358,P21147,1
P31755,P21147,1
P21147,P40548,1
P47154,P53159,1
P38264,P13586,1
P32803,P38264,1
P32803,P16661,1
P32803,P38286,1
P32803,Q02774,1
Q04562,P32803,1
P32803,P38992,1
P53045,P32803,1
P32803,P53337,1
P32803,P40548,1
P32803,P46956,1
P32803,P35723,1
P32803,P36057,1
P32803,P32915,1
P32803,Q04697,1
P32803,Q03655,1
P32803,P40350,1
P32803,Q06598,1
P33303,P53053,1
P53214,P32341,1
P32522,P28737,1
P39704,P53045,1
P53045,P18414,1
P53045,P38264,1
P53045,P16661,1
P53045,P38286,1
P25358,P53045,1
P53045,P08456,1
P32476,P53045,1
P53337,P53045,1
P35723,P53045,1
P53045,P38842,1
P53045,P40548,1
P46956,P53045,1
P47154,P53045,1
P53045,P28496,1
P53045,P36057,1
P53045,P36164,1
Q07798,P53045,1
P53045,Q04697,1
P12683,P53045,1
Q03655,P53045,1
P53045,P38428,1
Q12006,P53045,1
P53045,P46961,1
P53045,Q12402,1
P35180,Q04949,1
P35180,P38921,1
P38286,P53039,1
P30606,P53039,1
P35179,P32476,1
P06775,P38286,1
P06775,P25358,1
P06775,P47154,1
P50080,P38264,1
P50080,P35210,1
P53322,P39709,1
P38264,P53322,1
P25358,P53322,1
P33775,P38695,1
P38814,P53735,1
P38819,P39551,1
P38286,P38819,1
P25358,P38819,1
P25346,P38819,1
P38819,Q04697,1
P18239,P38837,1
P38264,P38837,1
P38286,P38837,1
P38837,P38361,1
P38837,P25358,1
Q99190,P38837,1
P38724,P38837,1
P38837,P38842,1
P38837,P40548,1
P38837,P46956,1
Q04697,P38837,1
P12683,P38837,1
P38837,P49334,1
P53835,P38837,1
P38837,P40350,1
Q12402,P38837,1
P38264,P38842,1
P38842,P16661,1
P38286,P38842,1
P25580,P38842,1
P46956,P04817,1
Q99190,P53045,1
Q02774,P53322,1
P53322,P38992,1
P53337,P53322,1
P23968,P53322,1
P38776,P53322,1
P53322,P38819,1
P38843,P53322,1
P53322,P40548,1
P53322,P40528,1
P53322,P46956,1
P47154,P53322,1
P35723,P53322,1
P36057,P53322,1
P53322,Q04697,1
P12683,P53322,1
P28627,P53322,1
P53322,Q04949,1
P53633,P53322,1
P46961,P53322,1
Q12402,P53322,1
P53048,P38264,1
P11710,P53048,1
P25358,P53048,1
P53048,P32476,1
P53337,P53048,1
P53048,P36057,1
Q12006,P53048,1
Q05521,P38745,1
P38745,P38875,1
P38745,P41544,1
P38729,P38072,1
P38729,P38264,1
P38729,P38286,1
P33754,P38729,1
P38729,P25358,1
P38729,P25360,1
P38729,P25607,1
Q02774,P38729,1
P38729,P16151,1
Q04121,P38729,1
P38729,P08456,1
P38729,P43562,1
P38729,P53181,1
P38729,P06775,1
P38729,P38767,1
P38729,P40556,1
P40548,P38729,1
P46956,P38729,1
P46965,P38729,1
P47154,P38729,1
P35723,P38729,1
P38729,Q12445,1
P38428,P38729,1
P38921,P38729,1
P33760,P38729,1
P38729,P14906,1
P46961,P38729,1
P53388,P38729,1
P38729,Q12402,1
P25358,P10614,1
P47154,P10614,1
P10614,P28496,1
P10614,P36044,1
P41800,P10614,1
P32386,P10614,1
P10614,Q06541,1
P10614,P53507,1
P23968,P39704,1
P23968,P31379,1
P23968,P38264,1
P16661,P23968,1
P23968,P38286,1
P23968,P25580,1
P23968,Q99190,1
Q02774,P23968,1
P23968,P53337,1
P40501,P23968,1
P35723,P23968,1
P23968,P36032,1
P23968,Q06451,1
P16603,P39709,1
P16603,P38228,1
P38090,P16603,1
P38125,P16603,1
P41930,P16603,1
P38799,P28627,1
P38695,P38152,1
P40009,P16151,1
P38842,P32803,1
P16661,P38837,1
P53918,P04817,1
P18409,P43555,1
P25371,P53146,1
P53045,P41806,1
P40350,P53045,1
P28496,P53322,1
P38819,P53337,1
Q12006,P33767,1
P53320,P40073,1
P32803,P25358,1
P38729,Q04697,1
P14906,P33767,1
P36032,P40073,1
P43562,Q03516,1
P32803,P32837,1
P53045,P12685,1
P25607,P53306,1
P25580,P53322,1
P53048,P40548,1
P38842,P39704,1
P53045,Q02774,1
P08468,P53322,1
P38695,Q04697,1
P38837,Q06135,1
P40073,Q04746,1
P38843,P38286,1
P38843,P25358,1
Q03322,P38928,1
P28496,P46956,1
P47159,P38264,1
P32368,P38286,1
P32368,P35723,1
Q12402,Q12164,1
Q03655,Q07824,1
P25358,Q12372,1
P37296,P32791,1
P25087,P39742,1
P22215,P25297,1
P38993,P32842,1
Q02795,Q02774,1
P38842,Q04697,1
P42946,P38264,1
P53337,Q12164,1
Q12445,Q04697,1
Q03723,P42833,1
P38993,Q04697,1
P38842,P25358,1
P38842,Q99190,1
Q02774,P38842,1
P38842,P38992,1
P08456,P38842,1
P40073,P38842,1
P40260,P38842,1
P38842,P53337,1
P38842,P16603,1
P40544,P38842,1
P46956,P38842,1
P38842,P47154,1
P38842,P43682,1
P35723,P38842,1
P38842,P36057,1
P38842,Q12445,1
Q06135,P38842,1
P53633,P38842,1
P38842,Q12006,1
P38842,P14906,1
P38842,P40350,1
P38843,P38264,1
P38843,Q02774,1
P38843,P38992,1
P38843,P53337,1
P38843,P40548,1
P46956,P38843,1
P38843,P47154,1
P38843,Q04697,1
P38881,Q03195,1
P38881,P00045,1
P40527,P38881,1
P38881,P42946,1
P38881,P32332,1
P38881,P07143,1
P38286,P40557,1
P40557,P40445,1
P38264,P40527,1
P40501,P38875,1
P27825,P40475,1
P40475,P38264,1
P38286,P40475,1
P40071,P40475,1
Q12164,P40475,1
P12685,P38928,1
P15367,P38286,1
P25358,P15367,1
P41544,P25621,1
P41544,P53633,1
P47075,P38264,1
P47075,Q03289,1
P47075,P06775,1
P46971,P47075,1
P47075,Q04697,1
P47040,P38264,1
P46956,Q02774,1
P25580,P42946,1
P42946,P46961,1
P46956,P39704,1
P38264,P46956,1
P25358,P46956,1
P46956,P87284,1
P46956,P38992,1
P46956,P32584,1
P46965,P46956,1
P46965,P18414,1
P46965,P38264,1
P46965,P16661,1
P38286,P46965,1
P46965,P25580,1
P25358,P46965,1
Q02774,P46965,1
P46965,P87284,1
P38992,P46965,1
Q04399,P46965,1
P46965,P08456,1
