P21246 Q6IB77
Q92845 P25054
Q96JH7 Q13190
Q96SB4 P02686
Q9Y6B2 Q09472
Q9UL40 Q12906
Q16478 O43292
Q5VWN6 Q15834
Q07864 P09884
P08949 O14773
Q96MU8 O94907
Q13503 P10827
Q99547 Q9NY61
Q5FBB7 P62906
O15294 P51610
O75446 Q16576
P21246 Q9H5J8
Q8IYF3 Q9UNH6
P08865 P63220
Q9GZR7 Q14181
Q5T3J3 Q9Y2X7
O60732 P49406
P15927 Q8NBJ4
O75665 Q9H7U1
Q99967 Q16665
Q16891 Q9Y6M9
Q15834 Q9UPT5
O95219 P06213
Q8IWU2 Q15078
P21246 Q9UHF0
P78527 P12956
Q15185 P03372
Q6P3W7 Q00610
Q96SB4 P04553
Q9P021 Q12959
Q16790 P35221
P37198 Q9Y3C0
P98164 Q5JY77
O43292 Q9H490
P20674 Q7L5N1
Q9HCU8 P12004
Q8WVB6 P12004
P53621 P48444
Q96SB4 Q8IYB3
Q09472 P24385
P00558 P04406
P40933 P14784
Q9NV56 Q9UBU8
P11684 P02751
P52630 P17181
O95994 Q9GZT6
Q9UQB8 Q12929
Q9UNS2 P58340
Q9Y2X7 Q5UIP0
Q9UHI5 Q07837
Q96G25 O43513
Q9BYG5 Q8N3R9
A5YKK6 Q9UFF9
Q6WBX8 O60921
Q9UKR5 Q9BTE0
O15519 O14920
O60383 Q99547
Q9BQ66 Q9BYD3
Q8IYF3 Q9Y6D9
O60610 Q13563
Q13790 P02652
Q16891 Q8NCD3
Q6WBX8 O60671
Q9UL40 Q9HAV4
Q6X4U4 Q12834
P37198 P52948
P62258 Q92934
Q99689 Q7L2K0
Q16891 Q9H1I8
P27169 P02768
P30260 Q9UM13
P12956 P06401
P08571 O15455
Q9BUE0 Q9H944
P25054 P35222
O96006 Q9GZT8
Q12834 O60566
Q92624 Q6PEW1
O60925 Q5T3J3
O75530 P13612
Q15025 P21580
Q9BXY8 Q9BQ66
O43913 Q99741
P10451 P05556
Q96HA8 Q7Z6G3
P49789 P22570
P56537 Q9NWY4
P27701 Q99567
P20742 P61812
Q09472 P12004
P06400 P24385
Q9UL45 Q96LR2
Q9Y6H5 Q7L5D6
P49247 O75716
P49641 Q9Y2X7
P04183 Q14919
O60383 Q12906
Q99081 Q02363
Q10570 P49736
Q13042 O60566
Q99836 P51617
Q9P298 P0CAP2
Q9GZS1 O15446
Q9GZY0 P27695
O00311 O60610
O75146 Q00610
P48147 P01042
O95425 O43294
Q9GZX6 Q08334
Q14191 P49005
P28331 P40926
P98164 P08519
P04004 P15151
P12956 P27695
Q14524 Q12959
O15304 Q07817
Q9Y535 O75575
O15287 P11511
Q08211 P12004
Q5RKV6 O15116
Q12824 O95359
Q9BPX7 Q70Z53
Q9NQX5 P24385
O43752 O14662
Q14974 P12272
Q9HBM1 O14777
Q9NWQ8 Q13094
Q9Y572 P19438
Q8WUH2 P09917
Q7L590 O00311
O43809 Q9P2H0
P12956 Q96RP7
Q8N5C8 Q15750
Q99689 P21246
Q13569 Q01831
Q92979 Q07666
Q9HCB6 P05067
Q9UPT5 Q8WWV3
Q9NZ52 Q00610
Q7L5D6 Q8N2U0
P55259 P04746
Q15078 P61764
P21246 O43147
Q01780 Q7L2H7
P06213 Q9Y4H2
Q7L5D6 Q9P2H0
P27701 Q9P2B2
Q07021 P38432
Q9BTM9 Q9H1I8
P15822 P54253
O75309 P35222
P03372 P35222
P98164 P80188
P54253 Q14671
Q9H8Y5 Q9GZP1
Q9BQA1 P62304
Q13503 P20290
P23510 P43489
P78527 P09874
P30154 P13569
Q9UHF0 Q99689
O14544 Q9Y4H2
O15371 P55010
Q14689 P98082
Q8TAP6 Q96EK5
Q969N2 O43292
Q9HAW0 Q08999
O15020 P02549
Q96QU8 O60610
Q9Y3A3 P15531
Q8IZJ0 Q08334
P47756 Q9BYC9
P21246 Q9Y6H5
O15360 O14920
P01275 P16870
Q92896 P16581
Q9Y262 Q9UBQ5
Q8IWU2 P41236
Q99828 O14746
Q9BVJ6 Q9BWC9
Q16594 Q15542
O94986 Q9Y2J2
P32780 P19447
Q15573 O15446
O14744 P54105
Q9Y272 P29475
Q99627 Q9BT78
O60383 Q96RU7
Q9UJ70 Q5M9N0
Q13895 P38432
O60268 Q96HW7
O14777 Q9Y3C0
Q13416 O75419
O14832 O00628
P58753 P20963
Q8WUM0 P49454
O60343 Q96L91
P02647 P55058
P98161 P18206
P54253 Q86UW1
Q9GZT8 Q9H773
Q969H0 Q149N8
Q9UP83 P83436
P00966 Q9H8T0
O15287 Q9HB96
P49768 P31150
Q92878 Q6NUQ1
Q9H0I2 Q8NHQ1
Q9Y3I1 P63208
Q9UMS4 P04053
O14920 P35222
Q9P2M1 Q13573
Q9NRD9 P07202
Q9NUP1 Q8TDH9
Q03468 P09874
P15907 P20273
Q9Y6B7 O43683
Q8TC92 Q9GZT8
P55789 Q9H1I8
Q12981 Q09161
P01042 P05067
Q9Y6D9 P17480
P54253 Q9NRA8
P21246 Q6P1K2
O75970 Q6UVK1
O60216 Q8N3U4
Q9NPF7 P42701
P68400 Q9UD71
Q8TEQ6 P62304
Q9NRG1 Q96G04
Q8N807 Q96HE7
O95251 Q9H079
Q8N6C5 P05019
P22735 Q02383
O96006 Q9Y221
P12004 P09874
Q9BUN8 P13569
P03372 Q07889
Q7Z7C8 Q16594
Q8N668 Q9H0A8
P55895 P15918
P21673 Q5RL73
Q9Y2Q5 Q9UHA4
P68400 O14529
Q9UQB8 O60610
Q10713 Q13873
Q9Y5K6 Q07889
Q9BZW7 Q14134
Q9BQ66 Q9P2Z0
Q99607 Q9Y3I1
Q16533 Q5SXM2
P34913 Q9UFN0
Q9UKX7 O14980
Q07820 Q07817
P10827 P24385
P56537 O75665
P42701 P29460
Q15388 P00374
Q02509 Q13873
Q9BTY7 O95445
Q9P2S2 Q9GZR7
P49721 P49720
O00220 O95999
O60664 P11717
O75381 P50542
Q13480 Q9GZY6
Q9Y5K6 O60500
Q15645 Q8IVS8
Q13224 O00189
Q5JVS0 Q07021
P04179 Q7L5D6
P84090 Q5RL73
Q96CG3 P51617
O14713 P98164
P48552 P35869
P54253 Q9P2G9
P35222 P35221
P98164 P30533
P13984 P29084
Q15596 Q16665
Q99547 Q8N392
Q9HB21 O75970
P30533 Q9NQC3
O60921 P12004
Q15834 Q8NHQ1
Q8TAE8 P24522
Q9NRX2 Q99698
Q13432 P20963
Q8NE01 Q9BQ66
P12956 Q9BXJ9
P61024 P46527
Q15042 Q9H2M9
P17540 Q5T3J3
Q9UKY0 P08865
Q6ULP2 O43747
O43747 P78559
P16989 P25208
Q6P2C8 Q15528
P35222 Q9NSC2
P12004 P35249
P08887 P05231
Q16665 Q09472
P12004 P18858
Q13347 P03372
P84090 Q96ID5
Q9H2C0 P22314
P21246 Q15388
P35520 P51116
O14745 Q9UL62
Q9UMX1 Q7Z412
P80108 P05187
Q9Y2J2 Q96ID5
P62495 Q8IYD1
Q6P1K2 Q7L5N1
P60228 Q59EK9
Q9UPW5 P99999
O60763 O15498
Q96RK0 Q9HC77
Q9NP84 O43508
O75901 P19021
Q9Y4G2 Q9Y3A3
P42226 P19838
O95372 Q9Y3C7
Q07817 Q9HB09
Q9NRX3 Q9GZU0
Q9NQT5 Q92945
Q9NZD8 Q9NTM9
Q14181 Q8N2I9
Q7Z7C8 Q6P1X5
Q9NRW7 O14662
Q9UKN8 Q8WUA4
P05556 P13611
P20292 P09917
P06400 Q09472
Q13352 P03372
P21589 P02751
Q9BRG1 Q86VN1
P46527 P24385
Q13323 Q07817
P49366 P32969
Q99700 P46379
Q96RU2 Q9HAW4
Q9Y221 Q76FK4
Q9UBS8 P03372
Q9NRA8 P60228
P56159 P39905
P62917 Q9H6J7
Q9HAF1 Q15834
Q8NBJ4 Q9BQ52
Q9H228 Q03113
Q5D1E8 Q9NZD4
Q8NF91 Q9NRI5
Q13571 Q6ZVM7
O60383 Q15102
O96011 P40855
Q9NV56 Q9HAF1
P15927 Q13432
P16410 P33681
Q9UBU7 Q13416
Q9Y5Z4 P42704
Q13200 Q16401
P78527 Q99828
P78406 P52948
Q92574 P62258
Q52LW3 Q12923
Q15650 Q09472
P20382 P01303
P49366 Q9GZT8
Q86YN6 P51610
P27694 P49736
Q07889 Q9GZY6
Q8NDB2 Q14643
Q99698 Q93074
Q12959 Q01814
Q12770 Q12772
Q8WUW1 Q9Y2A7
P35869 P13984
P62081 Q92973
Q5JTD0 Q12959
Q13216 Q13888
P51116 Q14134
O60383 Q9H0Q3
Q16576 P06400
P21673 O95251
Q02878 Q99558
Q9NYH9 Q15834
O75478 O95990
Q9BVW5 Q9UNS1
P22234 Q8TAP6
Q96HR3 Q15528
P02753 P02766
P09919 Q99062
P10643 P01031
Q7Z3Y8 P06213
Q5T3J3 O43379
O43683 P78406
Q9UNS2 P61201
P05111 P08476
P61513 Q5T3J3
P26368 Q01081
Q99933 P06400
Q15834 Q8NE31
Q96SB4 Q14739
O75884 P06400
Q9ULU8 P11532
O60568 Q15834
P51946 P32780
O95721 Q96LR2
Q7L4P6 Q9NSA3
Q14896 Q8WZ42
P30039 Q9Y3F4
O00220 P51398
Q9NPJ4 P03372
Q9NXU5 Q9GZT6
O96008 Q9P0U1
Q9UMX1 Q9UHA4
O60232 P51946
Q8N668 Q86X83
Q14183 P61764
Q6RSH7 Q16665
Q13480 Q07889
P24666 P06213
P84090 Q7L5N1
Q9UN86 P19838
Q9UGJ1 P23258
Q9UBD5 Q99741
P13798 P04278
O00631 P26678
Q96CJ1 P0C1Z6
P42677 Q9UHY7
O15169 P35222
Q9HCC8 Q70Z53
Q16891 Q9H9J2
P40200 P15151
P49959 P18858
Q9GZS1 P17480
Q9Y6M9 Q99689
O95251 Q9H8G2
Q16611 Q07817
Q9H467 P03372
Q9BVC4 Q8N122
Q8N1V2 P51587
Q9GZT8 Q9NTM9
P08519 P27824
O14920 Q9UHD2
Q8N6Q3 P04278
Q6PML9 Q15596
P20807 O75923
Q92990 Q9UNZ2
P98164 P02649
O15085 P78559
Q9UHR5 O75446
P46952 Q99259
Q92597 P36578
P51003 Q9UKF6
O75925 Q6PJP8
Q96T58 O94776
O43147 Q9HCC8
P49441 P18858
P20807 Q7Z6G3
P10827 Q15493
Q9BVC4 P42345
P78536 P01375
P78345 Q99575
P48736 Q13480
P35869 P06400
P51116 Q9Y2J4
Q8WXE9 Q9UBC2
Q9NXU5 P62917
P51808 P15151
P29083 P19447
Q16891 Q9H0I3
Q12802 P03372
P09086 P12956
Q9Y6J0 Q14814
Q8TEW0 Q01970
P30154 P10809
P68400 P30519
Q5T124 P61587
Q13042 Q9UJX2
Q9UKR5 Q9NRX3
Q8WVM8 Q13190
O14713 P05556
Q9UHI6 P62304
P11150 P04114
Q13873 P33241
Q06265 Q13868
Q8WX92 P03372
P48552 Q8NHQ1
Q15834 O43663
Q13416 P15927
Q9NXU5 Q9BWH2
Q12929 Q15834
P57678 Q9UHI6
Q13873 P00540
O00198 Q07021
O95793 P05388
Q9NQX5 Q14186
Q96A65 Q13224
Q96EB6 Q09472
P01583 P14778
Q9P2J2 Q9H1I8
Q9UHX1 Q05519
Q9Y624 O75970
Q9UMX1 O00422
Q08E93 Q15834
Q15464 P31785
Q15642 P35222
Q9GZN7 Q7L5N1
Q9Y294 Q9UKI8
P37198 Q9GZY0
Q9NTM9 Q9H1I8
O60383 Q9Y3A3
P62857 Q9BQ66
Q9BYT8 P30990
Q9BRJ6 Q15834
Q9BQ52 Q9H1I8
Q9BVJ6 Q8NHQ1
Q9C000 Q9Y239
Q12923 P25054
P46379 Q15388
P21246 Q9UNI6
Q9UJX3 Q13042
P07737 Q8TDM6
Q6PJT7 Q9UPT5
O00203 Q00610
O75381 P40855
O15235 Q9UKR5
Q9NX18 Q9GZT6
P08133 Q6P1J9
O00214 P13612
P20366 P02751
Q9HCU9 O75446
O75665 Q9P2H0
P34897 P67870
Q09472 Q12888
Q9NZD4 P0CAP2
P56537 Q14181
Q12929 Q9UKN7
P00491 Q5RL73
Q9NXB0 Q9GZR7
Q92597 Q12906
P34741 P04141
P49005 P12004
P55060 P35268
Q13620 P03372
Q03113 Q15283
Q15650 P19838
P15927 P49736
O96006 Q9Y4P9
P54368 P54253
P67870 P17509
Q9BXW9 Q00597
Q9Y5Q8 Q92994
Q9BRT9 Q9Y248
Q8IZH2 P46379
Q9UBU8 P06400
Q9Y5M8 Q96JB5
Q99436 Q9Y244
P46379 Q9H095
Q96NW7 Q9UQB3
P04278 P57057
O14788 P78536
Q9NPI5 P05556
Q92597 P62241
P68400 O14958
Q9NV58 P23258
O95741 Q9Y6K8
Q9Y3A3 Q5T3J3
O60268 O00165
O00566 Q96G21
Q13635 Q15465
Q9Y5X5 O43612
Q13889 P19447
Q07820 Q92934
O43561 Q15464
Q9UPW5 Q9Y3M2
Q9UIF7 P27694
P54253 O43809
O75943 Q07864
Q99836 Q9BXR5
Q99567 P35658
Q969H0 P49768
Q9BQ66 Q5T681
Q92643 O43292
Q00403 P29083
O60238 P17152
P37198 O14980
Q96SB4 Q13243
Q96RU7 Q7L5N1
Q99689 Q5UIP0
Q9Y6I8 P40855
P50542 Q8WTV0
Q96MT8 Q9BQD3
P02774 Q5T3J3
Q6IAA8 Q9GZT6
Q9H5Z6 Q15834
P49902 P51116
O75925 Q13285
P21673 Q8IY81
P61289 P51116
Q5TCY1 P47710
Q12929 Q9BYC9
Q9BYM8 Q96EP0
Q9Y294 Q9UK41
Q9NYG5 Q9UM13
P49755 Q92542
Q13243 Q93033
Q9H6Z9 Q9BRX9
P16870 Q9BVJ6
P98161 P02751
Q9UN74 Q5RL73
P21246 P21673
P60174 Q9Y234
Q9Y3C7 O43261
P04183 Q5RL73
Q86X55 P11940
Q96T58 Q06330
Q8IZD4 Q8IZH2
Q9NPF4 P15941
Q9H0E9 P30291
P52961 P01127
P12956 Q96FF9
Q14739 P04553
Q13191 O15117
P51617 P02686
P18428 P49913
Q03135 Q10588
Q9H211 Q99741
P16150 Q9BZZ2
Q9UKT4 O60447
P98164 P02774
Q99575 O95707
Q00403 P49736
Q9NQC3 P22695
P21246 O94864
P13010 P09884
Q92908 Q09472
O75052 P29475
P32320 Q86UK7
Q96T58 Q03181
P62917 Q11203
Q13901 Q99598
Q13765 Q9BWH2
Q49AR2 P60002
Q12888 Q5IJ48
P52434 P62487
Q7L590 Q9UBD5
P36578 Q99558
Q15596 P35222
Q9BX74 P05067
P37198 P29084
Q96RJ3 Q9Y275
P62258 P21580
O43427 Q14512
O95373 P46777
Q9P299 Q9Y678
O75925 Q9UPW6
P62913 Q13867
Q15582 P02751
Q92945 O95453
Q15464 P14784
Q13094 Q8WV28
P67870 P38432
Q9H6J7 Q5RL73
O14920 P21580
Q6VY07 Q9NZ52
O95219 P48357
Q96KB5 Q9P2H0
P15927 Q15011
P06400 Q86Y97
Q6PIZ9 A0A5B6
P55058 P02649
P41273 Q13077
O75818 P78346
Q14181 Q9BTY7
Q9UHF0 O95163
P51946 P19447
Q9GZM8 P62258
P57740 Q8WUM0
Q16665 P51398
Q15645 O95865
Q01344 P05113
P03372 O14686
Q9UPT5 Q9H8T0
Q8NB91 P13726
P49815 P46527
Q09472 Q15596
P54253 Q9Y4E1
P40933 P31785
O00203 Q99726
Q7L5N1 P61201
Q8IUM7 Q9HBZ2
Q9Y3M2 P35222
O43865 Q14643
Q99933 Q07817
P12004 P13051
Q9HB96 Q9BXW9
Q15642 P18545
O95084 Q8NB37
Q6ZS82 O75916
Q09472 P52701
Q96F07 Q9Y2A7
O14836 Q9Y275
O75534 P11940
Q16891 Q9UFN0
Q9HC77 P23258
Q92597 P60866
P21673 P61604
O95990 Q9BQ66
Q8IW19 P78411
O00257 P06400
Q12923 P98172
P03372 Q99623
Q7Z3B3 Q7Z6G3
O43752 O00161
Q03135 P05067
Q7Z589 P51587
Q15011 P49768
Q06495 Q6P0Q8
P09874 P49450
P05556 P10809
P10827 Q15646
P31785 P16871
Q5RKV6 P20618
O43592 P49792
P21246 Q9Y3C0
P35052 P05067
Q9UBU7 P49736
Q6P1K2 Q9Y3C7
Q13228 Q9Y3C7
Q9Y5Q9 Q8WXF8
Q5JY77 P55085
Q4KMG0 P35222
P51843 P61201
Q9H633 P78345
O15304 P26842
Q9UBU7 O00311
Q7L5N1 Q8IYL3
Q07820 Q9UMX3
P61626 P31025
Q9Y2H0 Q9UD71
P16444 Q96EK5
P13010 Q9BXJ9
P04406 P15927
P61247 P04179
P99999 P10109
Q9GZZ8 P02751
O43261 Q9P2H0
Q00403 P10827
Q8TEW0 Q8IVF5
O15379 Q8TF05
Q99698 P52272
Q96G25 Q9NVC6
P04733 P04278
P05060 Q16635
O76080 Q15008
Q9Y6D9 Q14134
Q13216 Q16531
Q08211 Q07666
O43929 P49736
Q96FZ7 Q96H20
P21583 P04141
Q9Y3C7 Q9BTY7
P27701 P28067
P54253 O00154
P36542 Q14181
O75150 Q9Y4E5
P22314 P16455
Q9UMX1 Q9NPA3
Q2M1K9 P09874
O43929 O43913
P14222 Q9GZR7
Q15542 P13984
O43747 Q00610
O95149 Q14974
P30519 Q7L5N1
Q15102 Q5RL73
P49247 P51116
Q9UJX3 Q12834
Q03013 Q13432
Q13352 Q9GZR7
P02768 P50502
Q9UN74 Q9GZT6
Q99689 Q6PGQ7
Q9Y3C7 Q9GZM7
O76061 Q8TER5
Q9UJX6 Q8NHZ8
Q8N668 Q9GZQ3
O75688 O14920
Q9UKV8 Q9UPY3
Q92667 P31323
Q92611 P27824
P49069 P08F94
Q7L5N1 Q9BT78
P49755 Q9NZ42
Q86X55 Q09472
Q9UKR5 Q9BWC9
Q9BWG6 Q15834
P43034 P11137
Q92598 P43034
P35268 Q9UNZ2
P23378 Q9BXR5
Q8TEQ6 Q9UHI6
P13798 Q9GZZ9
P67870 P35222
O75528 O00422
P62875 Q15834
O15085 Q03113
Q14814 Q09472
Q12972 Q9UKR5
P06213 O14544
Q4G0F5 Q96QK1
Q9Y262 Q9NYV6
O43633 Q13144
P61812 P05067
O75934 P03372
Q5T8A7 O75691
Q9UHQ9 P99999
Q14722 Q12959
P30876 O15514
Q02878 O95793
Q99835 Q13635
Q09472 Q8WW38
Q9HBM1 P60468
Q12955 Q07699
P07814 Q8IXH7
Q9BWC9 Q5RL73
P78345 O95707
Q9Y2H0 O94875
Q96QU8 P07737
Q9BYG5 Q8TEW0
Q9H5Q4 O00411
O14579 P53618
Q07820 P12004
P48357 P41159
Q8WTV0 P02647
Q9UKR5 Q96M11
Q9H1H9 P32780
P46379 Q9BQD7
Q13432 Q9UN74
A5YM72 Q14669
P12270 P52948
Q96FZ7 Q9BRG1
O00198 Q07817
O00716 P19532
Q00403 P29084
Q86UU9 P29371
Q49AN0 O15534
Q9UII4 P24385
O94777 P37287
P22087 Q99558
Q9H269 Q9P253
Q9NZ42 P49768
P78345 P78346
P61604 Q9UKR5
Q9NRM6 Q9UHF5
Q9BT78 Q15834
O95059 P78345
Q5FBB7 P30154
P38435 P02818
P26368 Q9UHX1
O75344 P04406
Q14749 Q9GZT8
Q9Y3U8 Q02543
P62280 Q99558
Q9NYV6 Q15572
P30533 Q14181
Q8TAE8 P67870
P38432 P51116
Q9UGL9 Q5T3J3
P07737 Q5T3J3
P68400 P06127
Q5VST9 Q8WZ42
Q9Y2X7 O75334
Q9H814 O14980
P38432 Q9P2G9
P68400 P30305
O75419 O43913
P06127 P21854
Q99081 O95084
Q15645 Q53HV7
P07738 P04406
Q15543 Q10570
P40238 Q9Y4H2
P78346 Q99575
Q09472 P03372
Q9HCS7 Q13216
O75448 P03372
Q03135 P06213
P28328 Q9UKR5
Q14146 P02545
O43683 Q12834
Q9Y6C7 P03372
P29084 P29083
O14745 P36543
Q6UB99 Q15596
Q96QD9 P04278
P05556 Q9UKP3
P16455 P68400
O94875 O43426
Q13596 P48357
Q99547 Q5T3J3
Q09472 O95359
P0DN86 P01215
P02647 Q15388
Q9P2H0 O95251
Q9NQC3 Q9NZD8
Q99700 Q96EK5
Q16558 P00395
Q9UHF0 Q9GZT6
Q92574 P49815
P13612 P05556
Q9Y2X7 Q96RU7
Q14442 P37287
P19838 Q14690
P09466 Q96ID5
Q05586 Q00610
Q969H0 Q6ZRQ5
O00165 Q13563
O00203 O43683
Q9HCU9 Q5T3J3
Q9HBE4 Q9HBE5
P06400 P30260
Q03181 P48552
P54253 P61421
Q9UIF7 P27695
P14209 Q14974
Q92542 P49768
O95084 Q9H0R3
Q13480 Q07021
P24385 P35222
Q92759 P29083
P35869 Q15596
Q9BS86 Q05996
P40429 Q8NBJ4
O75460 P49768
P15529 P0C0L5
Q00577 P06400
O43633 O94818
P21673 Q9HBL7
Q5RL73 Q16594
Q8NHQ8 Q96NE9
Q8NE71 P56537
Q9UMX1 P10071
Q9UN74 Q96ID5
Q9Y678 O15533
O77932 Q8IZH2
Q07507 P46379
Q9Y3A3 Q15834
O95163 Q9NX18
O15155 Q13190
P52657 P29083
Q16665 P00558
O94811 P04406
O00198 Q92934
P55058 P02652
P24385 P03372
Q93052 Q149N8
Q99689 Q99828
P19429 Q13563
Q92624 Q15050
Q99558 O14920
P62380 Q96EY7
Q00403 P13984
Q9UJX3 Q9UJX6
Q15042 Q9Y4E6
P81172 Q9NP59
Q04637 Q09161
Q9UJX6 P30260
Q01780 Q99547
Q8WWV3 Q9NQC3
P09874 P19838
Q9NP59 Q8NBJ4
P46379 O15145
Q16891 Q9H8K7
Q12959 P82930
Q9UGU0 P03372
P16870 Q9Y3C7
P04183 Q13432
Q92844 Q5D1E8
Q9UBU3 P01303
P61247 Q8IVM0
O60383 Q13873
Q7Z6G3 Q9BU64
P46098 P27824
O95721 P51809
Q16611 O75460
Q99558 P46777
Q15102 P43034
Q15645 Q9NZF1
P63208 Q9UK99
Q15583 Q9Y3C7
Q01780 Q15477
Q9UNN5 Q9H1I8
Q8WZ42 P20929
Q9UJX6 Q12834
P20963 P06127
Q02363 Q5T3J3
P62750 O95373
O14777 P06400
Q9Y3C7 Q9H1I8
P49450 O60610
P06746 P12004
O00623 P50542
Q6UX01 P31025
Q99627 Q13572
Q92597 P04844
Q8IWK6 Q12959
Q8NEV9 Q6UWB1
Q9NY26 Q14722
Q07820 Q13323
P47224 Q6YP21
Q9NQL2 Q76FK4
P38484 P15260
Q6IA17 P14778
Q13432 Q14061
P25101 P14138
Q9UIA9 O43592
O75925 Q9UMX1
Q8WXD5 P62304
Q92994 P68400
P04406 Q9NXU5
O14519 P09884
Q9GZT8 Q9NRG1
Q9NRF2 P06213
P48552 Q13285
Q9Y3F4 O43541
P01579 P15260
O60641 O15294
Q7Z7C8 Q15542
P52630 P42226
P62258 P46527
O60241 Q9H0R4
Q7L5N1 Q53FE4
O15143 P59998
Q13432 Q8TDN6
P56537 Q8TC92
P35222 P49768
Q96QK8 Q9Y4Z0
P20742 Q96IY4
Q96A83 P50454
P33402 Q12959
Q92597 P11940
P05026 Q5T3J3
P54253 Q9H4I2
Q9UHV9 O60925
P61254 O43390
Q09472 P42226
Q9UKI8 P02686
P04180 P02647
Q16514 Q6P1X5
P49959 P12956
O96006 O15287
Q969N2 Q92643
O43657 Q5T3J3
Q8WU20 Q07889
Q9NQC3 Q07817
P62805 O60907
Q9BRA2 Q16881
P68400 Q9Y624
O95347 Q9NTJ3
O14788 P19838
Q9UKB5 P35222
Q01780 Q08945
P22314 O75069
P20963 Q9BZW8
Q8N3K9 Q96EV8
Q07817 P49768
P21673 Q9BWH2
P24522 Q9Y6R4
Q5VWK5 Q9NPF7
Q9HCY8 Q96FQ6
O14727 Q9C000
Q01780 Q9H7Z7
Q92597 P60228
Q13416 P49736
Q9UKJ5 Q9BQ66
Q9P2R6 Q5JSZ5
O75940 Q14974
Q99741 P12004
O15294 P68400
Q96QZ7 P08887
O95793 P62753
Q9UPT5 Q96KP1
P61604 Q13432
O60566 P30260
Q13867 P47914
Q9Y678 P53618
Q13794 P02775
P25208 Q14919
Q13867 P05067
O95070 Q969M3
Q7L590 O75419
P98164 P04114
P38432 Q96KG9
P03372 Q6PML9
P49247 Q9NP79
P51116 Q5T681
Q16576 Q9UKG1
O96006 Q9HCN4
P04843 Q9NYS7
P04437 P27824
Q9NRA8 Q96R06
P0CAP2 Q96FK6
O60895 P10997
P21549 Q9Y6H5
Q12923 Q9HB21
O95251 P06746
Q9BQD3 Q9UPT5
O95273 P24385
Q96G25 Q15648
O00623 P40855
Q9UNN4 P52657
Q9Y263 Q9UBN7
Q9GZT8 Q9BQD3
Q96KP1 O60645
Q9P2H0 P82932
P68400 Q08945
P54253 Q6ZMJ4
P78346 O95707
Q12888 P19838
P68400 Q9UNN5
Q07666 Q13702
Q9BWH2 Q9H1I8
Q14643 Q9BS26
P50502 Q93033
P23921 Q5T3J3
P48551 P52630
P60896 P51587
O95182 Q9BQ52
O60925 Q9Y2X7
Q13432 Q96GX8
Q05519 P26368
P20366 Q8TER5
P19838 P01589
Q9UHF0 Q5JY77
P32780 P18074
Q9NQX3 P07737
O76061 O95831
P20916 P02751
Q9HAF1 Q969R5
Q12981 Q07817
O14976 O60763
Q96CS2 Q7L590
O60566 Q02224
P49454 Q02224
O43493 O00189
Q99523 P30533
P16870 P27694
P32780 Q9H7U1
Q9Y6K8 Q96N11
Q9UKI8 O00161
P43351 P15927
O43561 Q13094
Q5JTV8 P02545
Q07820 P61803
Q14676 Q12888
Q16611 P10809
Q14134 Q8NHQ1
O43776 P54253
Q9BPX3 Q03933
Q5JY77 Q6IB77
Q16553 P20963
P35869 P03372
O95084 Q9Y296
Q9UBQ5 O15372
P27635 P62380
Q86XR7 P58753
Q8TBR7 Q9UJ14
O75787 P00797
Q14134 Q9BRK4
Q12972 Q5RL73
Q16718 Q15834
Q8NHU6 O75410
Q9NQS3 P15151
P37198 Q03933
Q9UKT4 Q12834
P35222 Q09472
Q9BUE0 Q9Y3C7
Q15124 P11532
O14544 Q9BYM8
Q96IP4 Q00341
Q09472 Q92878
P24588 P31323
P61247 Q9H6J7
Q8NHZ8 P30260
Q14974 P55060
P62258 Q16635
Q9Y3F4 P62304
Q9UGJ1 Q9H668
P02775 Q8WVM8
Q15102 Q5T3J3
O15533 P53618
P41227 Q16665
Q969H6 O95707
Q16514 Q15542
Q99933 P03372
P56537 Q9Y2X7
Q15388 Q8NEY8
P15509 P08865
P01127 P98160
P15509 P32927
O43395 Q9C005
Q56P03 Q9Y312
O75943 O60671
Q13765 Q9GZT6
P13612 P02751
Q14061 Q5RL73
P62917 Q9H8M7
Q7L590 O43929
Q9UDY8 O95999
Q9Y262 P60228
Q9H8T0 Q9P2H0
Q6KF10 Q13873
P54253 Q96EP0
Q09472 P27695
Q14919 Q16594
O14920 P19838
Q9BYD3 Q9GZR7
Q99547 Q9UKR5
Q15185 O14746
P10827 Q15648
Q99627 P61201
Q03468 P28715
Q9GZT8 P61201
Q12906 Q9BQ66
P43489 Q13077
Q96MU7 Q07666
P04183 Q9UKR5
P02775 Q9UBW8
P07814 P54136
Q9Y605 Q9UBU8
O15235 Q5T3J3
Q07065 Q9H1I8
P10124 P16070
Q13573 Q06330
Q8IYF3 Q96GY3
P02647 P22061
Q9Y296 P34741
P15927 Q9Y3C7
P06746 P27695
P49736 Q9Y3A3
P46777 Q92973
P02649 P02768
Q13651 Q08334
P49903 Q96ID5
Q9H5Q4 P00491
Q5TCY1 P11137
P63208 Q02224
Q14181 Q9H1I8
Q96M91 Q15834
O95084 P42695
P78417 Q5RL73
Q9UN74 Q5T3J3
Q9BUB5 P02686
Q01629 Q96EY7
P54253 Q9UKJ3
Q8TDV0 P22466
P19419 Q9Y3A3
P05067 P49768
Q9UMX1 Q06330
P78527 P49917
Q99689 Q16891
Q9Y294 Q13112
Q9Y5Q8 Q9UKN8
