Q13610 Q6V1X1
Q96T60 Q9NT62
Q6P1J9 P48200
O75503 Q9Y399
Q2M1K9 P83111
O00257 Q01581
P13686 Q9P2W6
Q13029 P49753
Q9ULX3 Q02252
Q2M1K9 O75534
P78549 Q9HCY8
Q9UIF7 O60783
O75132 Q14749
P06280 Q9NY74
Q9HAN9 Q16612
O60508 P07741
Q86V15 P62917
Q05952 Q16719
Q9H4I2 Q14204
Q9UBU7 Q9BZQ8
P04553 Q9H0U6
Q99967 Q7RTR2
P20290 P47874
P86791 Q16540
Q9Y675 P06132
P62805 P07195
Q9UNS1 O00764
Q09666 Q16698
Q6P2C8 Q9HBU6
P36954 P46952
P27694 Q6XE24
O95926 Q9BXI3
Q13889 Q9BYD6
P32780 P06132
Q64ET8 P15559
P29084 P49675
P09012 P21673
P23759 Q14749
Q15291 Q6UB35
O60671 P82909
P10071 Q9BYC9
Q53GS9 Q99558
Q13569 P61970
Q9Y6J0 Q9UDX5
P22304 P51857
P49184 Q9BYC8
Q9ULX3 Q13405
Q58WW2 Q96M11
P62805 P54136
Q9H4I2 Q6V1X1
Q15393 Q16719
O95990 Q9BYD6
P05423 P48200
Q05048 O14920
O95926 P0C7P0
Q9H8M7 Q2VPK5
Q9UPV9 Q8NEL9
Q9Y5N6 Q9BZL1
P05423 Q8N3C0
P04066 O95361
Q2M1K9 Q9P0M9
P23759 P26639
Q12996 Q8N983
Q5U623 O75879
Q99967 Q8IUQ0
Q9P0K8 P49753
Q9UIF7 Q9NX20
Q9HAW0 Q9BZL1
O95248 Q9HD33
P26368 Q9BYC2
Q6P1J9 Q15102
O96019 Q6V1X1
Q8TEQ6 Q9H840
O95990 Q8TF40
Q86WQ0 Q9NYK5
O96020 P49736
O95926 Q9BYD2
P10412 Q9Y2R5
Q9UBU8 Q9BYC2
Q14186 P83111
Q96BN2 Q9NT62
P19532 P49458
Q86XI2 Q9BY32
P52701 O75891
Q9Y535 Q9P2R7
O60583 Q15102
Q9H582 P54577
O43929 Q9NZD4
P30291 P40261
Q0VD86 Q8N4X5
Q9ULX3 Q8WWV3
Q9H5J8 Q7L3B6
O43513 P34897
Q15542 P48200
Q8N9N8 P83881
Q03181 Q6PRD7
O60315 Q9Y3D3
Q9H4I2 Q9NX20
Q9UPV9 P82909
Q07864 O15235
O15514 Q9Y3D9
Q01459 P49902
P09012 Q9NZD4
Q9HAN9 P48200
Q9UNS1 Q96IV0
Q96JN0 Q9H5Q4
O43325 P47874
P10071 P46952
Q9Y618 O14727
O00462 P59103
Q9UBR2 O76031
P07686 P83881
P63272 O15169
P54803 P62495
Q16594 Q96IV0
P41002 Q15102
Q9UK76 O75170
Q9H611 Q16854
O96019 Q03013
O75150 P51970
P38571 Q01581
Q92759 Q02252
P04198 Q8IVS2
P38571 P82912
Q99967 Q8TDY4
Q969F1 P32929
P51946 P82663
P32780 Q04837
Q9BSH3 Q8N6F7
Q96JN0 Q13867
P04198 Q9GZT8
Q01459 Q6UB35
Q16533 Q9Y3D3
Q9Y5N6 Q9Y234
Q7Z5Q5 P41252
P04198 Q04837
Q96BP2 P49902
Q9NV56 Q9UPY3
P04198 P59103
P03372 O95361
Q8NB91 Q16854
O75528 Q9BYG8
P17480 P83881
Q9NVR2 O14727
Q16533 Q9UHD2
Q01459 A2A3N6
Q58WW2 O60477
P35244 Q9H0U6
Q9HAW0 O75170
Q969F1 O60239
O43541 Q96RP9
Q9UDW3 Q9Y238
Q12986 Q8N183
Q9BSF8 P10155
Q58WW2 Q16719
Q969G3 Q9BUE6
P15586 Q6PRD7
Q13573 Q13405
P62875 Q14914
Q92989 O14561
O75503 Q8N183
B2CW77 Q9UDX5
Q03181 Q9NZJ9
P09884 Q9P2R7
Q13569 Q6P1L8
Q2M1K9 Q06278
Q9UBR2 Q7Z2X4
O43325 Q9Y239
O43365 P12081
Q9UGU0 P54136
Q9NR56 Q7L3B6
Q9UBR2 Q9NYK5
P05423 O75879
Q92966 P51857
P04066 Q8NEL9
Q13569 P82921
Q8WYA6 Q8NFG4
Q15562 Q5JY77
O96019 Q9GZZ1
P78527 P82930
O15379 Q13867
P27695 P82650
Q0VG06 P49675
Q8TCE9 Q9BYD1
Q9H5F2 Q9Y2T2
Q9UBR2 P46952
Q96JN0 Q9Y239
Q5H9F3 O15235
Q8N807 Q2VPK5
Q9NVR2 Q9UJM3
Q9UI36 Q8IVS2
Q9BQ83 P63302
Q8NFW8 O43182
O95926 Q9H0U6
D3DTV9 O95848
P51513 Q6NUP7
P12956 P82663
O43913 Q9UD71
O60583 Q9BYD1
Q9UDW3 Q93088
P51826 Q9NY33
P10412 Q9NYK5
P09012 Q9NP74
Q9Y618 Q16698
Q02363 Q9HCN4
O60671 P30838
Q13285 Q14894
P29084 Q9BRJ2
Q6P1J9 Q9P0R6
P42695 Q9H0U6
P05423 Q5EBM0
Q9H6T0 P54687
Q8TE85 O14618
Q86U86 P49915
P15918 Q96M11
B2CW77 Q96M11
Q8TAE8 Q6V1X1
P15848 Q8N183
Q15583 Q99558
Q9Y657 Q99558
O43543 O00471
P09012 Q2M3C7
Q13610 Q9Y239
P41002 P48147
O75506 Q6NUP7
O00311 P82909
P41002 Q8N4X5
O75506 Q92598
Q9BWT1 Q8N427
P49005 Q9H6S1
Q9BXL8 P14324
Q9BXL8 Q9BYC9
P15918 P51970
Q8N807 Q9NY74
O75132 P08319
P26368 Q9NZD4
P12004 P10155
Q9BTP7 P49902
O00257 Q14442
Q9BX63 P40261
Q01459 Q8IVS2
O60315 P49675
Q9BX63 P52815
Q13569 P82914
P51946 O60551
Q02363 Q8N142
Q01081 P48200
P63272 O75897
O95926 Q2VPK5
Q9HAN9 Q9BYN0
P49917 P51398
O75506 Q9UI17
P42695 Q03013
O95926 O43182
Q86U86 Q7L0Y3
Q969F1 O75880
Q9UBU8 Q9P0R6
O95990 Q7RTR2
Q9HAN9 Q16698
Q9Y6J0 O15235
Q92560 Q9H0U6
Q12986 P33402
P38571 O60783
Q6PL18 P14324
P04553 Q9P0M9
Q8WUA4 Q92598
Q0VD86 P49902
Q9UL03 P53396
Q15562 O95379
Q05048 P06132
P10412 P51580
Q16656 P82914
P62875 Q04837
P62304 O60239
Q05048 Q9Y238
Q6UXN9 P26639
P54803 Q7RTR2
Q09666 Q14204
Q6UXN9 P0C7P0
Q9NVR2 P82909
P52657 O00471
Q9H0W9 P78417
O43395 Q8WWY3
Q9BWT1 P21695
Q9BV90 P82932
Q7Z5Q5 Q99819
Q05048 P09132
Q70SY1 Q9UHX1
Q9UPV9 Q14894
Q9H2F5 Q8NEL9
Q96BN2 Q9NY33
O75971 P28838
P61218 Q13867
Q86V15 O14920
Q5XKR4 Q04837
Q9NV56 P53384
Q96PN7 P35270
O75132 Q8N983
O43929 Q8WWV3
Q16514 Q9UD71
Q13416 P07195
O00287 Q07617
Q13243 Q9Y234
P78549 Q96M11
Q07352 O75897
O43929 Q8N4X5
Q92966 P49406
Q12857 P35754
P17480 Q8WWV3
Q9H1Z4 O15091
Q13889 Q9P0J6
Q15596 Q7L3B6
P10071 Q9BTM9
P04553 P47874
B2CW77 Q9NP97
P51946 Q96HU1
O43513 P82933
Q09666 O00764
P41002 Q16851
P09012 O60239
Q7L775 P46952
D3DTV9 Q8N1V2
Q96KF2 Q9NZJ9
P49005 Q7L3B6
Q7Z591 Q6WQI6
P15918 Q6PRD7
P06746 P17987
Q8TF76 Q14204
P15918 Q9HCY8
P61218 P59103
O75381 P28328
P18858 O75570
P18858 Q8NEL9
Q9Y657 P13693
P13984 P55084
Q92560 P31937
Q5MJ70 Q5TCY1
O96019 P82650
Q13568 Q9P0M9
P18074 P62269
Q9H147 O00471
O95248 P17987
P54278 Q9Y234
Q8IYD8 P46783
Q16656 O95786
Q86V15 Q9UHD2
Q6ZYL4 Q9P0J6
Q96D98 Q9Y3E5
Q9H0W9 P49915
P06400 Q9UHD2
Q5XKR4 P15104
O95551 P62269
Q6PJT7 P07741
P09012 Q9H5Q4
P13686 P21673
P30291 O95379
Q15393 Q9UHN1
P35475 P82650
Q01081 Q9UD71
P52701 Q8NFG4
P50897 O14618
O00115 Q14749
O43365 Q8NFG4
Q96JN0 Q9HD33
Q12857 Q16698
Q86V15 Q7RTR2
Q9Y675 O75879
Q9BTP7 Q9NT62
P36954 P82914
Q15573 Q9UN86
Q02363 Q9P0M9
Q9HAW4 Q9BYC2
O94906 P55084
Q9HB96 P21695
P62304 Q9Y2Q9
Q96T60 Q9H6S1
Q9ULX3 Q15185
Q13416 P82933
O75419 P49736
P04066 Q9UJM3
Q9NVU0 Q96EK5
Q12986 O75534
O94782 Q8TF40
O00716 P62269
Q8WX92 Q9H5Q4
Q9H147 P78417
Q9Y535 O75936
Q9UJC5 Q6PRD7
P20290 O15235
Q9UDW3 Q9Y2T2
Q16514 Q9BXL7
Q13243 Q8N183
Q9H0W9 Q9HCN2
Q96BP2 Q2VPK5
Q9NQ92 O76031
P83436 Q14746
Q9ULX3 P33402
Q92989 O75648
Q9UBU7 Q9HD40
Q14181 Q8N3C0
O43913 Q96M11
Q05048 Q9P2W6
Q05048 O75891
Q9UK76 P15559
Q53H80 Q9GZZ1
Q9H2F5 Q9BYD1
Q15393 Q9Y3D3
Q9H5F2 Q9UPY3
Q92560 P35270
Q7Z5Q5 Q14894
Q53GS9 P30838
P04066 Q9BYD6
Q9UFW8 P08319
Q13285 P82663
O15514 O76031
O60671 Q9Y3D3
Q96PN7 P48735
O60762 P82930
O00716 P17987
Q8WUA4 Q92844
Q9UKF6 P06132
Q16656 Q8WXI4
P10071 P61970
Q15542 Q99558
Q6PJT7 Q9NPB1
P27695 O75891
P30876 O60551
P07686 P09132
P18858 Q16854
Q96AV8 P20807
Q9Y2U9 Q16851
P03372 O75534
P15586 Q8WWV3
Q86WQ0 P49406
P62487 Q9Y234
Q64ET8 Q6WQI6
Q9BSF8 A2A3N6
Q96PN7 Q6NUP7
Q15596 P52815
Q9HAW4 Q8WXI4
Q6UXN9 Q8N142
Q9H582 Q9Y3D3
Q8TCE9 P21695
P06746 Q9NVV4
P18074 Q6NUP7
P03372 Q16698
Q9UBX1 O75936
P52701 Q9H7D7
Q9NR56 P55084
Q9UK76 Q8N3C0
O75132 Q8TCS8
Q5MJ70 P54098
Q15562 Q99558
Q86XI2 O75880
Q8N807 P40939
Q99967 Q9NY33
Q86UU0 Q9UBR1
P52701 Q9BYC2
O00716 Q9P0R6
Q13889 P14324
Q9C002 P52815
Q5XKR4 Q15185
P09884 P09132
P13984 Q6V1X1
Q9NVU0 P51580
Q9C002 O60239
P61218 O60239
Q16576 P13995
Q9H1Z4 P52815
Q9H611 Q9NRN7
Q9Y6W3 Q02252
Q53H80 Q9Y239
Q8NB91 P53396
O75528 Q9H2W6
Q9HB96 Q9UD71
O00267 Q9Y2R5
Q8TAE8 O43776
P62805 P31350
Q13888 O14920
P49917 P63302
Q9UNS1 P54687
Q9UDW3 P27708
P35475 Q9NX20
Q01081 P17987
P25208 Q9Y2J8
O15379 Q9Y2Q9
Q96JN0 P49914
P09012 Q9BU02
Q09472 O75879
P30291 Q9H6S1
P29083 Q9UHD2
O75132 P14061
O94864 Q9BUE6
Q9BWT1 O60783
P19532 Q06278
Q96T60 P12081
Q9Y2U9 O00411
Q16533 Q8TDY4
Q7L775 Q7RTR2
Q92560 Q9Y291
Q8IXF0 Q9NZJ9
Q9Y6J0 P78540
O95926 O14920
Q01459 Q92837
Q9H611 Q02252
P50897 Q9Y3B7
Q9GZP8 O15169
Q14186 Q9BY32
P15586 O75534
Q9H9Q4 O60239
Q9Y6W3 O43182
P78549 Q14204
Q9NWT8 Q9H9J2
Q86WQ0 Q96IV0
O60762 Q96RP9
Q96PN7 P46783
Q9P2W1 P33402
O95248 Q9BPZ3
Q14781 Q13867
Q86WQ0 Q9BYC8
Q9NQ92 Q9NYK5
O00287 Q9GZT8
Q9Y6W3 Q8TDY4
Q9UIF7 P40925
P78549 Q16719
Q96JN0 Q8IXM3
O95411 Q9BRJ2
Q5THR3 P23378
Q9UBU8 P30838
Q15573 P49753
O75503 O14618
P52657 Q96NW7
P04553 Q13867
Q09666 P31350
Q9UGU0 Q9UPY3
Q64ET8 P49753
Q9BX63 Q9NP92
P15586 Q9HD33
Q9H9Q4 Q9UJM3
P03372 O75879
Q01081 Q9UBR1
O75971 P21673
P06746 P48147
O43913 P63302
Q15291 Q6NUP7
Q13243 P07741
Q9NPI8 O14713
Q96BP2 Q9GZZ1
Q05952 Q16854
O00115 O60760
Q09472 Q6PRD7
Q15542 O75879
Q15543 Q9BYC2
B2CW77 P78540
P78364 P82921
Q9UIF7 Q8NEL9
Q58WW2 Q07617
Q8TAE8 O00764
Q9H0E9 Q14894
Q16533 Q5JY77
Q9Y675 Q7Z2X4
Q9ULX3 Q14CX7
Q9Y2U9 O75648
Q01459 P31937
Q9Y6J0 P40925
Q14186 Q9UHD2
P19532 Q9BRA2
P62304 P48200
P51826 Q9NX20
Q00577 P56277
Q14781 O95379
Q13416 Q9HD40
Q9UNI6 Q9BUE6
P49184 Q9P2R7
Q64ET8 Q96IV0
Q9UBU7 P07741
Q9H5J8 Q9H7D7
Q5TB30 O14920
Q6PL18 Q9BYD1
Q8N9N5 P61970
Q14781 Q16822
O00115 Q9NYK5
P06400 O14713
P22304 Q9BRJ2
Q9GZP8 P55084
Q15596 P07741
P54803 P07741
Q9UHR5 Q9HD40
Q15583 Q14CX7
P04066 Q9NY74
Q9ULX3 P0C7P0
Q9UBU7 P51553
Q9Y5N6 P59103
P83369 Q9NT62
Q96PN7 Q8N4E7
Q15543 Q9BYC8
Q9GZP8 Q9HCN2
Q13569 P54136
Q9Y675 P54577
P36954 Q9NZD2
Q7Z591 Q8IXM3
P38571 P39023
Q9H0W9 P47874
Q9H147 Q9H7D7
O43148 Q16854
O95551 P49458
Q86U86 O75936
Q7Z5Q5 P40261
Q14186 Q9P032
Q6PL18 P17987
O14497 Q9UI17
Q9C0J8 Q04837
P12956 P49914
P16383 Q9BXI3
Q9UL03 Q9P2W6
Q8TDY2 Q9NZE8
P51513 P46783
O43929 P12081
Q9Y618 Q9HCN4
O43148 P07741
P36954 Q14CX7
O95248 P47874
Q9NV56 Q9BZL1
P27694 Q9BYC9
Q5THR3 Q9HBU6
P25208 O15091
P03372 Q9UDX5
Q9Y675 Q9BYC2
P27694 Q03013
Q6ZYL4 Q9BTM9
Q92844 Q9BYM8
Q9UK76 P50135
Q9BWT1 Q9HCN2
Q13573 P82921
P06400 Q8N6F7
Q58WW2 P46952
O00716 Q9NT62
Q9UKF6 O75534
Q9UJC5 O60477
Q15583 Q96HU1
Q00577 Q8TCS8
O75971 Q9HD40
Q6PL18 Q8N4X5
Q16656 Q9Y234
Q8IYD8 P32929
Q9UNS1 Q8IXM3
Q96AV8 Q2M3C7
P29083 Q6WQI6
O75971 Q9NP97
Q58WW2 P15559
Q9H9Q4 Q9BZQ8
O43913 O75570
Q9BQ83 Q9H2W6
P04198 Q14914
O60671 Q9NPB1
Q9H1Z4 P82921
P49005 Q8NFG4
Q8N9N5 Q8TE02
Q6UXN9 Q9UPY3
Q92966 O15169
Q6UXN9 P40939
Q9Y535 O75534
P10827 P14324
Q13868 Q9Y3B2
O95551 P49902
Q9Y294 Q06278
Q8TCE9 P28838
Q9UNI6 Q07617
Q8NFW8 P49675
Q969G3 O43182
O95990 P40925
Q86V15 P55084
O95248 P78417
Q12986 Q9BYC9
Q58WW2 O60783
P17509 Q8IXM3
Q15543 P61970
Q9Y675 O14618
Q5MJ70 P63302
O00267 Q9BU02
P62487 Q7L3B6
Q96KF2 P09132
P31150 Q70SY1
O94906 Q8N1V2
Q9UBU7 Q9HBG6
Q01081 Q9NZD4
P61218 Q7RTR2
Q8IYD8 O75570
Q9NX01 P49789
Q13243 Q9H2W6
P49005 O60760
O00311 Q9BRA2
Q9UJC5 Q9Y6K8
Q8TCJ0 Q9NZE8
Q9UHR5 Q9NVV4
Q9H582 P62917
Q8WWL7 P49753
Q7Z5Q5 Q9BPZ3
Q03181 O60760
Q53GS9 Q6WQI6
P41002 Q8N183
Q6PJT7 Q9NZD2
Q13285 P50135
P63272 Q8N4X5
Q9HAW0 P56277
O00267 P40925
Q9H611 O75897
Q15542 Q96NW7
P42695 P15559
P62805 O43776
Q8TAE8 P29144
O43148 Q9H6S1
P61218 Q9Y399
P52657 O14561
Q9UBR2 Q92837
Q8TDY2 P27708
Q9BXL8 Q13405
P35475 P40925
Q96AV8 Q9UPY3
Q8N807 Q8WWV3
P10071 Q04837
O75971 Q9HBU6
P36954 Q9HCN4
Q9HAN9 Q9NP97
Q53HV7 O60239
P25208 Q9BXL7
O00716 O14713
P61218 Q8TCS8
Q5MJ70 Q8N4E7
P18858 P49914
Q9UBX1 P59103
Q9BSH3 Q9Y399
Q9HAW4 Q96M11
Q9BTP7 Q9Y2J8
Q16656 Q9NP74
Q9BSF8 P40925
O95926 P26639
Q9HAN9 Q9Y2J8
O75150 Q9Y2Q9
Q12996 Q9P0J6
Q9Y6W3 Q07617
P12956 Q9BYD1
Q9H611 Q8WUN7
P32780 P49406
P78527 Q15185
Q9BSF8 O43776
Q53HV7 P14061
P29083 Q96NW7
P38571 Q9BZL1
P62487 Q92598
P42695 Q9P0M9
Q9Y6J0 Q06278
Q49AN0 Q8NEZ5
Q12824 O15169
P16383 P62495
O43395 Q6P2Q9
Q9H9Q4 Q13867
Q8N807 P61970
P62875 Q12882
P61218 Q9NP74
O60508 Q99819
P30876 Q9NY74
P30876 Q9Y2J8
B2CW77 Q9NP74
O60315 P26639
P07686 Q9Y234
Q09472 P29144
O43929 P55084
Q9Y535 Q8N142
O43541 Q8IVS2
Q9H8M7 P40261
Q03181 O60239
Q14181 P13798
Q7L775 Q9HD33
O75528 P82909
D3DTV9 Q9NY33
Q9UNS1 Q06278
O95990 P15374
Q9BX63 P82932
Q9Y6W3 P50135
Q16656 O60239
Q5XKR4 Q9H7D7
P78364 Q93088
Q9UDW3 Q16740
Q13416 Q7L3B6
P49005 P31937
P49184 Q9BY32
Q58WW2 Q99558
Q07352 P27708
Q16656 Q9BYC9
P17480 Q96NW7
P41002 Q16719
P17480 Q9NZD4
P15848 Q6UB35
O96019 O95786
Q05048 O14561
Q9UBR2 P21673
Q14186 Q06278
Q9P0K8 Q9BYG8
Q8IYD8 Q6V1X1
Q15543 Q06278
Q6P1J9 Q14914
Q13243 Q16854
Q9UKF6 P54098
P13010 Q2M3C7
Q13243 Q9HD33
O95411 Q8WWV3
O75381 O96011
Q8TCJ0 P49753
Q13416 P10155
P52657 Q9Y2R5
Q09666 P39023
Q86WB0 Q9P2R7
Q13573 P82914
P36954 P35754
Q92759 P15104
Q9UI36 Q9Y234
Q9ULX3 P23378
P63272 P55084
Q15562 O14920
Q8TDY2 Q9UI17
O43929 P82933
O00115 Q6UB35
Q9NWT8 P82909
Q9ULX3 Q9BYN0
O43541 Q6UB35
Q9UJW9 P47874
Q09472 Q16698
Q64ET8 P55084
Q07864 Q07020
P13686 Q03013
P35475 Q15185
Q96KF2 Q9NZD4
Q13573 P54687
Q07352 Q14914
Q9NV56 O00411
Q9H147 O75648
Q70SY1 Q8TAU0
Q9NR56 P50135
Q9BQ83 P34897
O00115 Q9GZT8
P49917 P49675
O60762 P54098
O75446 P20807
Q96D98 Q9P0R6
Q9NVU0 Q01581
Q6UXN9 Q9P0J6
P62258 Q01814
Q5TB30 O00764
Q9BSH3 Q6P1L8
Q9NPI8 Q01581
O43541 P82909
P19532 Q9P0M9
Q12996 A2A3N6
O60762 P49458
Q6P2C8 P82930
P06400 Q12849
Q9UK76 Q6XE24
Q9HAW4 Q9GZZ1
P16383 Q9BY32
O75506 Q9BPZ3
Q9NWT8 Q9NZD2
Q01459 Q9NP92
Q96PN7 Q9BU02
O43541 Q9BZL1
Q969G3 Q6WQI6
Q16656 Q9NRN7
O00115 P82912
Q8TCJ0 Q8IXM3
P20290 Q6V1X1
P04198 Q16612
O00287 Q14442
Q16514 O14618
Q96BN2 Q9Y676
Q8N9N5 O75880
Q8WUA4 P15104
Q8N9N8 Q92844
Q9UKF6 P49902
Q16514 Q92837
Q9H4Z2 O75879
P83369 Q9HBU6
Q969F1 Q13867
O00716 Q7L3B6
P15848 Q92844
P15918 Q9BYN0
O43395 O94906
Q9H8M7 P49915
P10071 P39023
P13010 Q92837
P51826 O15091
O60315 Q9NX20
Q9Y657 O14920
O43325 Q13867
Q16533 Q13162
Q16514 Q8N183
Q15393 Q9Y2Q9
Q13569 Q96IV0
Q13888 P49753
Q13285 Q9Y3E5
Q5THR3 Q7Z2X4
Q86UU0 Q13405
Q8TAE8 O75170
Q8NB91 P15104
Q9P0K8 O60783
O43365 P62495
Q86U86 O60760
Q14696 P0C7P0
Q15542 Q9NZJ9
Q8TCE9 P47874
Q9HAW0 Q9P2R7
P30291 P49675
P18858 Q9BZL1
Q03828 Q8WUN7
P52701 Q9BYD1
P26368 P82664
P29084 Q14204
Q5XKR4 P82930
P83369 P0C7P0
O95411 P82921
Q01780 Q13868
Q13610 Q9P2R7
O75971 Q15102
Q9Y675 P15104
P03372 P82650
Q9Y2U9 O75570
Q01538 P49789
P04553 Q9UI17
P07686 P63302
P18074 Q12849
Q9UL03 P34897
Q15543 Q9GZT8
P09012 Q9UN86
O15379 Q9HCN2
Q8WWL7 Q9Y2J8
Q8TAE8 P48735
P41002 O75534
O95551 P78417
O00628 O96011
P13984 Q7L3B6
Q16594 P78540
D3DTV9 Q9H0U6
Q9UJC5 Q9Y291
Q8NFW8 Q9HCN4
Q9BWT1 O95361
P09012 Q14894
P86791 Q9UN86
Q14746 Q8WTW3
Q9H1Z4 Q9HBG6
P15848 P46952
P27694 Q9NP92
Q15562 Q9BYG8
Q09666 Q9P2W6
P10412 O95786
P20290 P54687
Q9H2F5 P15374
Q15291 P78540
O94782 P09132
Q13610 Q14CX7
Q8TCE9 Q9UHN1
Q9UJC5 O75897
P27694 P33402
Q9Y675 P41252
Q5TB30 Q8TF40
Q86WQ0 Q15185
P27694 Q13405
P20290 Q9Y2R5
Q8TAE8 P49914
P50897 Q9H7D7
Q8WTW3 Q9Y2V7
P19447 O95361
Q14696 Q9NX20
P61218 P54098
O94906 P54098
P12956 Q8IXM3
O75503 P78540
P16383 Q96NW7
O60762 P82663
P07686 Q9Y2J8
P16455 Q9NP97
P62304 P63302
P30291 Q9BY32
P35244 O60760
O43541 O75891
Q13416 P51970
Q09666 P49406
A6H8Y1 Q9BPZ3
P17480 Q9Y291
O00311 Q9NYK5
Q8WYA6 O75648
Q9UIF7 Q9HCN4
O94782 Q13162
P04066 Q9BYC2
Q9NVU0 Q9UI17
O00462 P49406
Q9UL03 Q9BZL1
Q15393 Q9BYD1
Q12857 Q8N183
Q9C002 P82914
Q09472 O43776
Q8N9N8 Q16540
Q13573 O14618
P10827 Q9HBU6
Q13243 P61970
Q9Y5Q9 P63302
Q13610 Q14894
Q9P0K8 Q9H7D7
Q9UKF6 Q14442
Q86V15 Q9BPZ3
Q86XI2 Q8N427
Q9H611 Q9NX18
P10827 O60477
B2CW77 P17987
P16383 P35754
Q53GS9 P27708
P06400 Q7L0Y3
Q9UPV9 Q16740
P03372 Q6PRD7
Q9H8M7 P49753
P50897 P54098
B2CW77 Q9P0M9
Q07352 Q8TDY4
Q12986 Q9BXI3
Q9H0W9 Q9BYD6
P35244 Q07617
P13686 O00471
P62487 O43776
Q9Y6J0 Q9BYG8
P29084 P12081
P78364 Q16540
Q9NWT8 P49675
Q5MJ70 P49406
Q9P0K8 Q9NVV4
O00257 P15104
Q16576 O75880
Q9C002 P07741
Q96PN7 Q9Y3D9
Q53GS9 Q6P2Q9
Q86UU0 Q13794
Q96D98 P48200
Q03181 Q07020
Q9H611 Q9NZD2
Q96BP2 Q9BYN0
O95551 Q9UHD2
Q9NR56 Q07617
Q99967 Q7L3B6
O60315 P46783
Q9UFW8 P49789
O43365 Q6V1X1
P04198 O14561
Q9H8M7 Q92598
Q9H0W9 P82914
O95248 Q7L0Y3
O43543 Q9H7D7
Q9H4I2 P21695
Q96JN0 Q9H6S1
Q9P2W1 P62495
P86791 Q9BRJ2
Q15583 Q03013
Q8TCJ0 Q16851
O94782 Q9BTM9
Q9HAW0 Q9P2W6
O00716 P15374
Q14186 Q9NZD4
Q8TAE8 Q9GZZ1
P86791 P51857
Q9H582 O75879
Q9NX01 O95848
Q9NWT8 P49406
P78364 Q9UN86
Q9NV56 Q9UJM3
Q9Y675 P13798
Q05952 P15559
Q9NX01 Q7Z2X4
Q96BP2 P15374
P62805 P24666
Q9H4I2 Q9NY74
Q9NR56 P62495
Q9UIF7 Q9BXI3
O75503 Q9HCN4
Q9H611 O00411
O75446 Q9Y2J8
P62875 Q13794
O75150 Q5EBM0
Q9H582 P41252
Q8TF76 Q9HD33
Q9HAW4 O60477
O94864 P49902
O60508 Q9H9J2
P49736 P40925
Q15542 P13995
Q13888 Q9UBR1
Q15291 P51398
P06746 O95848
P41002 Q9NZJ9
Q7L775 P26639
Q9BSF8 Q9Y676
Q8WX92 P24666
Q9P0K8 P46952
Q86WB0 Q9H7D7
P22304 Q8IVS2
Q16514 Q92598
Q8N9N8 Q12882
P16383 P09132
Q92560 P30711
Q86UU0 Q01581
P05423 Q9NZE8
O76039 Q9UHN1
Q16533 Q6PRD7
Q92759 P51970
P36954 Q9P0R6
Q9Y294 P82663
P38571 Q96RP9
P35475 Q6PRD7
Q13416 Q8N1V2
Q96PN7 Q07617
O00462 Q15102
Q15562 Q8NFG4
Q9Y5Q9 Q8TF40
Q9BSH3 Q9BYC2
Q9BQ83 P09132
Q8IXF0 Q8IUQ0
Q07864 Q16851
Q14186 Q9UJM3
O95926 P54136
Q13568 Q9Y2J8
O75150 P49902
Q16656 P51970
Q9UDW3 P55084
Q16576 P82932
Q9H2F5 P51970
Q9HB96 P54136
Q8TE85 Q6PRD7
O94782 Q92598
Q9HAW4 P35754
Q9H147 Q16851
P12956 P49753
P35475 Q9NY33
Q99967 P49914
Q5TB30 P21673
Q9UGU0 Q9Y238
Q9UGU0 Q92844
Q9P2W1 Q9NP97
P86791 P46952
Q15542 Q16698
P22304 O15091
P27695 Q01581
P62805 Q9UI17
Q9H147 Q9NYK5
P06280 Q92598
Q969F1 Q13795
Q8NFW8 O14920
P49917 Q9NPB1
P25208 Q9BYD2
Q9UDW3 P59103
Q96T60 Q2M3C7
Q00403 P82912
O95990 Q9Y291
Q86UU0 P54687
Q9HAW4 Q8N4X5
Q9NVU0 Q8N1V2
P54803 Q93088
Q03181 Q9NP74
Q16514 P14061
Q53HV7 P78540
Q9UIF7 P13693
Q15542 O75897
Q9Y5N6 Q14894
P10827 P14061
Q0VD86 O00764
P19532 P62269
P04554 O00471
Q9UGU0 P14061
Q15573 P62917
Q15583 P23921
Q9H611 P54577
Q8TAE8 Q9BUE6
Q16576 P30711
P17480 Q8N6F7
Q14781 Q9H2W6
Q9GZP8 Q9Y3E5
O43365 Q9BYD1
Q01538 Q07020
Q00403 Q9BZL1
Q9UBX1 Q9NZJ9
Q9HAW0 Q9H5Q4
Q6P2C8 Q8IXM3
P30291 P46783
P13569 P35523
Q86WB0 Q9NX20
O96020 P78540
Q9H4Z3 P82912
Q00403 Q9BY32
P17900 P82914
Q92966 Q9BUE6
Q5XKR4 P35270
Q9H8M7 P40939
Q9BV90 Q6XE24
Q5XKR4 P83881
P54803 P20807
P35244 Q7L3B6
Q09666 Q16851
O00115 Q6PRD7
Q13029 P54098
Q96BN2 Q8N142
Q13029 Q6WQI6
O00311 P21695
Q07352 P13995
Q9BXL8 P23921
O96019 Q9BXL7
P10071 P82675
Q96PN7 Q8WWV3
P52701 Q92837
Q7Z591 P10155
Q16533 O76031
Q15291 Q08257
O00462 Q9BYN0
