O15344 Q8WWB3
Q12962 O00268
P07766 O15446
P27540 Q09472
P43403 Q8IWV1
Q9H8V3 P84095
O15259 Q14289
P08476 Q04771
P06493 O15392
Q9H3N8 P09471
Q13156 P35244
P61981 Q14204
P45984 O00418
Q14145 Q13402
P54259 Q01844
P14373 Q96QH2
Q6VN20 Q9C0A0
P56817 Q92945
Q9Y664 P68032
P06401 P26583
Q01780 Q99547
P41235 P63279
P29466 P47712
Q9BUZ4 Q9HAU4
Q96G97 Q9NZ43
Q08345 Q7L4P6
P50616 Q13485
Q9Y584 O75340
P12956 P27695
P06702 P05109
Q9GZR1 P27540
P84077 P26641
Q8WZA2 P62070
P11308 P15036
Q9NVA2 Q9UHD8
P26447 P48745
P23443 P31749
P61981 P05783
Q9HAU5 P62841
Q03135 P04156
Q9NRA1 P16234
P16615 Q9Y4H2
O60674 P78324
P45974 O14641
P54727 Q96IV0
Q9NZ94 Q92796
Q06187 P16885
O15389 Q15645
Q9NZP8 P00738
P31942 P02766
P11532 P08727
P08069 Q99683
O94875 Q9H2E6
P23945 P60903
Q9NPD3 Q9UHL9
Q8NG08 P09884
P41235 P01160
Q13363 P38398
P46108 P06213
Q12982 O43889
Q05655 O15162
O15514 P62487
P49427 P0CG47
Q9H8T0 Q14181
P10599 P19838
Q8NF91 O15146
O95670 P36543
P41594 O14924
Q9NVV9 Q96IZ0
P27361 P55211
P23443 P28482
Q14157 O75051
Q9UBE0 Q9UBT2
P15336 P19784
Q8IX03 Q6P1J9
Q2M1Z3 Q9HCE7
Q12926 Q14576
Q15596 Q07687
P00738 P20273
P06213 Q07666
Q9BXH1 Q92843
P68104 P15927
Q92766 Q13562
P31327 P04049
O95613 P0DP25
O75586 P10276
Q15746 P17252
Q9Y5X4 Q96ST3
P29466 P46934
O00303 P04278
Q96RI1 P03372
Q01844 O60682
P49005 P12004
Q3L8U1 P04150
O75528 Q09472
P02545 P01133
Q16816 P0DP25
P49918 P11802
Q7Z6A9 Q06124
Q99593 P52952
P36956 Q92731
P84022 P04150
P12814 Q16595
P12931 O60716
O43639 P09619
O75563 P08631
P00451 P11021
Q09472 Q15788
P19012 Q7L590
P67775 Q99259
P16035 P08253
P19338 P21741
O15533 P10321
Q01780 Q86UX7
P12931 P08581
Q8IU60 P20618
P05771 P49840
P14784 P04049
P50336 P54257
P08670 O14639
P08195 P05556
O43924 P54725
P21810 P08572
Q14151 Q15424
Q9UFF9 O95628
Q9Y5A7 Q15843
Q9UBL6 Q13137
O75376 P35609
Q33E94 P48378
Q92905 Q16665
Q9UNI6 Q9UI14
P51451 P11912
Q99250 Q86XS8
P49841 P16220
P69892 P68871
P02751 P02743
O00151 P35609
Q13323 Q07817
P49662 Q14116
P43629 O43914
P10275 P50613
Q12959 O14936
Q7Z7K2 P42224
Q9C000 Q07817
Q9Y4Z0 Q13137
O00257 Q06587
O43521 P10415
P62258 O43896
Q7L2E3 Q96ST3
Q92997 O43395
Q9Y2X7 O75145
Q92834 Q96KN7
Q03014 P25788
Q14155 Q13191
P0DPH8 P63167
Q96ED9 Q7L590
P61604 P10809
P51812 P05114
Q8WVY7 Q9Y3Q8
Q9Y692 Q6VMQ6
O60749 P09619
P42226 Q92793
Q9Y2X7 O75334
Q9UM47 Q8IZL2
O00238 Q96B97
Q9NZN8 O75175
Q96GW7 P98095
Q96L73 P19793
Q15306 P42226
Q96A23 O75340
O14746 P12956
Q05516 Q8N5W9
O14512 P62993
O95718 Q9Y6Q9
P26038 P32942
Q04771 Q6ZV73
Q9BWV1 P55291
P08514 P62993
P56537 Q9BZI7
P08473 P05305
Q13469 Q92793
Q13705 P18075
Q00994 Q13114
Q9NZV8 Q14315
P01031 P01024
O14617 P59780
Q9UKE5 P10114
Q14974 P04637
Q9UBW8 Q9BT78
P49910 Q9NWS9
P40189 P29597
Q92630 Q16778
Q16666 P41134
P18084 P21333
Q9Y5C1 P05106
O43147 Q9HCC8
Q9NRI5 O15372
O75943 P33993
Q12933 O94993
Q13547 P25963
O95967 O76003
P08311 P05546
P45984 Q9NQW7
P42680 P16471
Q13191 Q9H8Y8
O00161 P63027
P25116 P30679
Q92805 P20340
Q99558 P08238
Q6EEV6 P82650
Q9P2R6 P48634
P62993 Q7L0Q8
Q13608 P84022
Q14511 Q06124
Q9UQM7 P00533
Q9Y3P8 P62993
P31946 P05556
P78560 Q13546
Q99972 Q16775
P42285 Q15024
Q13547 P38398
P61371 Q9NVW2
Q9UHD8 Q15019
Q9UHI6 P62314
P50750 O43719
Q08211 O60502
Q9UHV2 P11802
Q9H211 Q13416
P62714 Q6VY07
P12956 P00533
P23246 P35637
Q6RW13 P63244
Q86UU9 P21452
Q92973 P62826
P48729 P27348
P01112 P09382
Q9GZP4 Q6P1J9
Q00597 Q13813
P42224 P14784
P51532 Q15831
O75689 P39687
Q96NW7 P35609
Q8N357 Q9NRX3
P14598 P19878
Q96C24 Q16623
Q9NRG0 O60264
P14317 P11912
P21673 Q8IY81
P60468 Q15629
P78357 P23467
P46939 Q05209
Q15643 P27540
Q8IUC6 Q15629
P24941 Q02535
P43121 P06241
P00533 P46108
Q9C0D5 Q16352
Q15438 P84077
O15457 P27694
Q05586 Q8TCU5
P00167 P99999
O95477 Q13425
P03950 P68032
Q05193 P04156
Q99700 Q13772
P84022 Q01082
Q9Y2W2 P08670
Q9H4B6 Q13043
Q16537 O15198
Q96QZ7 P05549
O15164 P24468
P49796 P08754
O15360 Q00597
P06454 P11802
Q9ULX9 Q16236
Q13546 O00463
P28715 Q01844
P62993 P20963
Q9Y3C5 P62837
Q12860 P51168
P15927 P40763
P07510 P02708
P11226 O00187
P09619 P10398
Q9NP62 O15379
Q7L590 Q7Z7J5
P52298 Q09161
O15198 P78543
P63104 P20941
Q9GZT8 Q9NTM9
Q16665 P27695
Q8TDC0 O75112
Q96K83 Q13485
P43405 P05107
P15927 P27694
P29590 O14965
Q09472 Q03181
O43734 O43318
Q9Y222 Q6VMQ6
Q96QF0 P61006
Q96J02 P24928
P21246 Q9NPJ1
Q96FJ2 Q96LC9
P17252 P10276
Q15024 Q96B26
Q96JH8 A8K8P3
P36956 P02545
Q14192 Q9Y6Q6
P84095 P36897
P54253 Q9H4I2
P61224 Q9HAU4
P60033 P21926
Q06124 O15111
Q08722 Q02094
P11362 P46108
P30153 P32119
Q9UER7 P04637
O14829 P0DP25
P49023 Q06124
Q15834 Q9Y247
P28482 Q8N5H7
O00311 P33991
P42574 P23588
Q03167 P27037
P47712 P08670
Q13371 P17987
Q9P2A4 Q86YM7
Q7Z417 Q06787
Q13568 Q14164
O60271 Q07866
P55774 Q13432
Q03468 P28715
Q9UFG5 Q0VDD7
Q5JVS0 O75807
Q8IYF1 Q15369
Q13546 Q8IUC6
P09466 P51965
P02647 Q3KQU3
P02675 P14543
P49703 P14314
Q8WUM4 P12931
P05067 O75955
O00560 P39086
P51159 Q5T3J3
O15553 O43586
P15509 P10721
O00222 O75925
Q02535 P15172
P05129 Q9BYG5
Q13185 Q14739
Q96A23 Q96G01
P63104 P15056
P28482 Q05469
P21673 Q7L5N1
O43353 P08138
P98170 P0CG47
O43707 Q9UMD9
Q06455 Q9P2A4
Q13163 Q05513
Q9UGJ1 Q15834
Q9UHQ4 P51572
P00734 P05546
Q6STE5 Q92922
Q13523 Q07955
Q14061 Q5T3J3
Q9H2G2 P42574
P48723 Q9UMX0
P12270 P49790
Q13424 P46939
Q12931 Q93063
P28749 Q9BUH8
Q13177 P23588
Q09472 Q9UK53
Q6EEV6 P27797
Q12974 P17544
P27986 P19235
O75582 P62805
Q08345 P12107
P28482 P37231
P31947 P27448
Q04724 P55774
P56524 P13056
Q9UL54 P52564
Q13542 P06730
Q9H410 Q6P1K2
O95400 Q92530
Q96H86 Q15834
O15056 P16333
Q9NPC6 Q08209
Q15831 Q7RTN6
O43187 Q9HCE7
Q13330 Q8IXH7
O00206 P14625
O15151 Q01094
Q96CS7 Q6VMQ6
P40123 P63261
P34896 P67870
P36897 Q9GZS3
P05060 P48443
Q6EEV6 P30041
Q14103 P67809
P35240 O14980
P03372 Q13105
Q99719 O60260
Q8IZD9 P49768
O00585 P32248
Q92783 O60674
O43193 Q02643
Q09472 Q6PCB8
Q04771 O00212
P02649 P10636
O15530 O95084
Q01974 P41221
Q9BZ29 P60953
Q6XZF7 Q05193
O15315 O43502
Q92597 P17980
O43929 P49736
P04234 P20963
Q9NR28 O15392
O00257 Q13363
P55316 Q15796
P27361 P23443
P03951 P01042
Q8WWW0 Q9NYB0
P26641 P20827
P68400 P06401
Q9BUZ4 Q15633
Q86U42 O95793
Q7L5D6 Q8N2U0
P06239 Q9UQQ2
Q9GZY6 P16885
O15105 P36897
P50570 Q9Y5X1
Q08116 O14908
Q00535 P41236
Q96SB4 Q99590
Q9BUB5 O43432
P14316 P42224
P80108 P17900
Q9NX45 Q8IYF1
Q9Y3L3 P08631
Q14242 P43405
Q15599 P17612
Q01130 Q15696
P13631 Q12796
P56817 P05067
Q12959 P68133
P04439 P35659
P49286 O60716
P30988 P0DP25
P38432 Q9P2G9
P19012 Q7LC44
P38159 Q9BTL3
Q13017 P08648
Q6IA86 P51692
Q96ST3 P29590
P01135 P04626
O95630 Q92783
P98175 Q86V42
Q16621 O15525
O43561 P43405
Q13137 Q8TES7
Q99583 Q9UH92
P22607 Q86XS8
Q08881 P62993
O00116 O15228
P17612 P10644
P10415 P49768
O43747 P78559
Q9Y572 Q13546
Q08380 P17931
O00622 P06756
P41235 Q9UBK2
Q9P2H0 Q8WYH8
Q9UBS5 Q96EP1
Q9Y4K3 O00232
O60906 P48736
O60506 P06213
P20382 P16870
P17252 P28329
Q8WXF3 Q9HBX9
O75628 Q02641
Q8ND30 O60941
P57059 Q53ET0
Q16531 Q8TEB1
Q13868 Q9NQT4
P12830 P18206
P09619 P19174
Q9H444 Q96FZ7
P48551 P29597
P22670 Q15797
Q12888 Q16666
O43439 Q13951
P06493 P27816
O14980 P62826
P63279 Q92754
Q9Y6V0 Q9Y2X7
Q16665 O00327
P27986 P20936
P62993 Q12796
P22681 P29376
P04216 P05106
P49716 Q92793
Q13043 P42574
Q13315 Q06609
P48730 P17302
Q15149 P63261
P49639 O60711
Q5JY77 Q3KQU3
Q9H0F7 O75915
Q13643 O95600
Q00535 P10636
Q14994 P28069
P03372 O15514
Q9NZU7 Q14573
Q16520 P17535
Q8N3X1 Q07666
P63151 O15399
Q16890 P63104
Q92692 Q99750
P05771 P20700
O00505 Q9Y247
P42773 Q13432
P27361 Q9BUB5
P63252 Q8NI35
P78346 O95707
Q9UHF0 P21452
Q9NRP7 P10070
P24941 Q08050
O43913 P25205
P49848 Q15545
O95751 Q96GM5
Q9H2S9 Q13422
Q9UHF0 P25103
Q15047 Q9NRN5
P35606 Q02156
P14780 P10145
Q14203 P43034
Q4KMG0 P19022
Q13332 P26641
Q9H161 Q9UJU2
Q9UBF6 Q13616
Q15746 Q14247
P17706 P56199
Q15582 P01023
P40938 P35251
P35916 P08648
P23025 P15927
Q8IV45 Q04206
P12757 P23142
O43927 P32302
P48552 P05412
Q96L34 P05129
Q6P3W7 Q00610
Q8WUM4 Q14289
P10586 P06213
Q13464 P30304
Q12933 Q13261
Q9NSC5 Q14643
Q8WU20 P22681
Q9Y3C5 Q9NZ52
Q09472 P15172
P05412 P11388
Q7Z6E9 O95405
P51398 P10275
Q05513 P49757
Q9NPD3 Q9BZI7
P31946 Q99759
P17612 O60825
Q9Y6J0 Q14814
Q92945 O95453
Q9Y3P8 P43405
P54845 O43186
P17301 P02452
P08473 P18509
P27986 P08473
Q04771 Q15797
O75832 P43358
O43464 Q13489
O15169 Q6ZNA4
O43187 P51617
P29590 O43463
Q9BXS5 P11279
O15460 P48634
P20248 P06401
Q13813 Q9Y5U2
Q9HAT8 P51617
O60828 Q9UKR5
P11473 Q13569
Q8TDY4 P62330
P56715 P25054
Q71F56 Q9UHV7
P41161 P10275
Q03135 P25098
Q86UN2 P23515
P48048 Q08378
P23945 P11387
Q96A47 P61371
P09874 Q04206
Q13057 Q9UBS0
Q9UPR3 O14746
P61981 Q92538
P63279 P27695
P21673 O95251
O00141 P15056
P54727 Q13569
P49023 P28482
P53708 P02751
Q13319 P12814
P63167 Q504Q3
P43364 Q9H788
Q9Y6Q9 P20226
P50281 Q15726
Q99816 P08631
Q13547 Q9Y6D9
Q9Y4H2 Q92569
Q9Y2H0 O94875
Q96Q80 P01009
P00734 O43488
O60271 Q16539
P21246 Q92963
Q14919 P42773
Q9UHI5 Q07837
O14817 P15529
Q9BXP8 Q6VMQ6
P16471 P15498
P29375 P04150
O95571 Q96ID5
Q8NHV4 Q09472
P60510 P78318
P45983 P41970
Q96GW7 P03956
Q96RI1 Q15788
Q14686 Q01094
P08697 P00488
P68400 P25963
Q13326 Q16585
P01732 P10321
P13500 Q16570
Q5SW96 Q00610
Q6PIZ9 P27986
P63244 Q8NBJ4
P68104 Q9NX18
P31314 P62140
Q13177 O15259
O43815 Q03135
Q9H074 P60842
Q9GZY6 P62993
O95819 O43318
Q969H4 Q12967
Q16539 P56192
P50750 P10244
Q13427 P24928
P10114 P04049
P63279 Q06787
Q06187 P23458
Q8IXK2 Q02817
Q14847 P68032
P30039 Q9Y3F4
Q9Y6W6 P45983
P10827 P14859
O75419 P25205
P27701 P28067
O15162 Q16526
P42224 Q09472
Q9UBN7 Q13885
Q15047 Q4VC44
P81277 P49683
P62330 P49407
P62308 Q8WXD5
Q6KF10 Q99717
Q15035 Q00403
Q15596 P35222
O15123 Q15389
Q96TC7 P61981
Q5FBB7 Q16537
P08069 Q15139
Q9Y2T3 Q12959
Q01968 P61106
O75508 O60637
Q99704 P29350
P19784 Q16543
Q99956 Q16539
P38936 P67870
P35670 O00244
P02766 P08670
P07949 P40763
Q12860 Q04721
O00590 Q9Y4X3
P52597 Q09161
Q8N556 P68133
Q13387 O14733
P43119 O43924
P24928 Q16587
P17948 P62993
P43405 P19174
P49711 P09429
Q13526 Q93062
P51665 P62820
Q9UKW6 Q9NRR5
Q92743 Q9Y232
O14490 P22459
P61160 P68032
O95838 P01275
Q9UPT5 Q8WWV3
P68366 Q86U06
P11142 P05062
P43631 O43914
Q13111 Q9UBU7
P46527 Q12933
Q92963 Q9HCE7
P49841 Q04721
Q99967 Q16665
P53611 P26374
Q9BVJ6 O14737
P62312 Q9Y333
Q96SL4 Q9NRR5
P23511 P14859
P10276 P29590
O15399 P10114
O43426 P62993
P78344 P60842
Q09472 Q14653
O60716 P22223
P17643 P14679
P10828 Q14669
O43639 P61978
Q53EV4 P10747
P04629 P19174
Q99814 Q9GZT9
Q9NQX5 Q01094
P49703 P31689
Q99829 Q9C0C9
Q93009 Q9NRD5
Q9GZY0 P46821
Q13285 P10275
Q8NEZ2 Q9UK41
Q9C0D5 Q9UQM7
P05771 P17677
Q5T3J3 Q9Y2X7
Q15080 P31146
O14775 P63211
O95967 Q9Y4C2
P24522 P02792
Q9NWA0 O00257
O95477 Q15700
Q53HV7 Q93062
P23297 P17302
Q14155 P37173
Q05655 Q92793
P11387 P68400
P48023 P25445
Q9NRA8 P84022
P00742 Q05329
Q9NPG2 P63096
Q99750 Q8TAP4
P49841 Q13144
Q9UJU2 P61956
Q8TD19 Q9HC98
O00422 Q9UGY1
Q99418 P32121
Q96M95 Q9Y3Q8
Q15149 P11137
Q16534 Q92793
P05783 Q9UMD9
Q9H6U8 P16104
P41597 P51671
P31749 O43524
P78381 O15162
P50453 Q5RL73
P98082 O15169
P0C0L5 P04003
P28065 Q15596
P29466 P49768
Q92793 Q14140
P36897 Q99614
P50281 P45452
P28482 Q07820
Q9H5V8 Q05655
Q8IX12 Q92851
P23434 Q13287
P09237 P00747
O95156 Q9ULB1
O94806 P63027
O75334 Q8ND30
Q03113 O95977
Q9BWQ8 P25445
P06493 P38936
Q13541 P53602
Q01844 Q96FJ2
P05198 Q9NR50
P02462 P0DJI8
P17252 P30086
Q14802 Q8NC51
P19174 Q05586
Q86VF7 Q08043
P42166 P06400
Q14012 P18846
Q9Y4J8 Q13425
Q05586 P51812
O14641 Q9NVV9
Q05516 P50052
P62993 P20273
O15264 O00418
Q92997 P67775
Q96CG3 Q9Y4K3
P20701 P32942
P12931 Q14247
P18847 Q5T3J3
P68871 P00738
Q9NYL2 O14733
P20248 Q00526
P50616 Q99717
O43491 P68133
P45983 P01112
Q8N3K9 Q96EV8
Q7Z7L7 Q13617
O00231 Q5T3J3
P17706 P40763
Q9Y4K4 Q12933
P08047 P24385
O00459 O14512
Q5MIZ7 P60510
Q12959 P56704
P56945 Q9HD43
P09234 P08621
P35555 P35556
Q5T3J3 Q9BWV1
O00206 Q8N129
Q13618 P24385
Q9UBU9 P78559
Q04771 Q9UF11
Q15543 Q92804
Q9NRI5 Q15811
Q8WZ42 P35579
Q16531 Q15836
Q16589 Q15257
Q9NPC3 P68036
P60520 O75385
P49841 P05771
P08754 P08908
O75928 P10275
Q03701 P04637
P30291 P06493
O96017 P43246
O60232 Q9BVI4
P30876 P19387
Q13952 P84022
Q96NW7 Q9UQB3
O75083 Q15477
O43261 Q9NUQ8
O60907 Q9BZK7
Q9NWA0 O75586
Q92806 P21917
Q8TBR7 P08195
Q86V81 Q13838
P54257 O15258
O43586 P42768
P51825 O15198
Q7L5N1 Q8IYB7
O94762 P26641
Q9UNI6 Q96DN6
O60383 P04183
O43464 Q16539
P29475 P35348
P25685 P00441
P04637 P55774
P17612 P41240
Q16695 P21675
P63252 Q15700
Q13885 O75056
Q9NV56 O96019
P17612 P17752
O43521 Q92843
P23471 P21246
Q9UPT5 Q92747
P10828 P10588
Q92793 P15976
P38432 Q8TAP6
Q13368 Q8NC60
P53350 P51587
Q9H9Y6 Q15653
P37198 Q9GZY0
O00212 Q9HAU4
Q03591 P08603
P04437 P04234
O14966 Q9UK45
O60674 Q9UGK3
Q9UJY4 O75074
Q07960 P12931
Q03135 P16234
Q9Y4K3 Q16539
P31946 P26651
O75553 P51693
Q15910 O43189
Q13177 P04049
P68104 Q16363
Q9BW71 Q16695
P03956 Q99616
P43119 Q5JWF2
Q15172 P29474
O95831 Q8IX03
Q9UKC9 P63208
Q9H228 Q03113
Q86VW2 P61586
P16949 P40763
Q9NZN4 Q9BXS5
P05060 P19388
O15061 Q9Y4J8
Q99972 Q04721
O95166 Q9NQX3
Q16630 Q9NXP7
P08631 Q53H12
P09016 Q92793
P30301 P02489
Q9BQ66 P15622
Q9NSA3 P35222
O00161 Q15811
P04629 P20936
P48730 P04637
P56537 P08559
Q00994 Q12933
Q6EEV6 P35232
Q99750 Q14781
Q9UJY5 O75074
Q9UNK0 Q16623
P01127 P16234
Q08170 Q9HCE7
Q00013 Q9UNE7
P61981 P31946
P62380 Q96EY7
Q13555 Q13485
P12956 O15105
O15303 P09471
Q01130 P35637
P12319 P19823
Q92698 Q06609
P05305 P25101
Q92731 P42229
O14641 Q15287
Q8TF64 Q9NPG1
Q05513 Q05655
Q16594 Q03164
Q16531 Q8N5D0
Q12929 Q96ED9
O75530 P38570
Q969D9 P42229
P49662 P50453
Q16891 Q9Y6M9
Q92824 P00797
Q07666 P16885
Q08E93 Q15834
P43628 P10321
P06729 P09382
Q9UQ90 Q13263
Q15796 Q9UJU2
Q13813 P11171
Q7Z6J0 Q16584
Q16270 P13501
Q99708 Q8IV36
Q86XR8 Q96RL1
P11802 Q9NP79
P18847 P35638
Q13588 O43561
O15467 P32246
Q92542 P49768
O14737 Q5T3J3
Q9H0Q3 Q9GZT6
P46934 Q96B97
Q9ULK0 Q9HD26
Q92186 P13591
P42772 Q9GZT6
Q9BQD3 Q9H8S9
O95391 Q15834
Q16539 Q13541
O43150 P49023
Q13438 Q16665
Q9NV58 Q9Y6H5
Q8IWZ3 P0CAP2
O95972 O00238
Q9H094 Q8WW01
Q04771 Q58WW2
Q00577 Q01094
O15111 O43524
P13612 Q13477
P43320 P02511
Q9P0N8 O43752
Q96HU1 P35240
Q02297 Q9H2S9
Q13136 Q8IUD2
O15111 Q9UGK3
P18848 Q96EY7
Q9Y4X3 P46092
P08133 P55327
Q9Y3M8 Q86VP1
P27448 Q8WXK3
P50402 P60709
P54253 P36956
Q9P021 Q9NRR5
Q12800 P38432
P54105 P08514
Q9P2W1 P10828
P61081 Q8TBC4
P08727 O95990
Q9NQC3 P10415
P10244 P49427
P47897 Q99683
P21589 P02751
P35568 P06748
Q99590 P84103
Q9ULK0 O00423
P23409 P41134
P56693 P61956
P01009 Q9UNI1
P12319 P30273
P02008 P68871
P04004 P05121
Q07960 P60953
P12931 Q9Y6Q6
P01100 P02545
O15525 Q14494
Q14643 P35219
Q9NRW4 O14733
P29350 P22681
P10721 P06239
O14757 P67870
P31785 P13232
P20226 P28360
Q07955 P08621
Q8TAA5 P34932
Q5JWF2 Q08462
P26038 P15311
P49247 P51116
Q12834 O60566
Q05586 P21728
Q13642 Q00872
O15111 P35222
Q9NQX5 Q9BQ66
P26038 P05362
Q96F07 P51114
P10747 O00459
Q96CF2 Q6P1N0
Q9UHH9 O15162
Q14005 Q96MA1
Q9UJY5 P84077
Q9HBA0 Q9UNF0
P35858 P05019
Q96EF0 Q96QG7
Q00839 P04150
Q8IXK0 P18124
Q14469 P41134
Q9UQ35 P61981
Q07960 P27986
Q9BV79 Q07869
P49023 Q13418
P07910 Q9BXS5
Q15139 P16885
O00327 O15516
Q03164 O00255
O95084 Q9BUL5
Q9BV40 P63027
Q9NRR5 Q9H6E4
O60500 O14936
Q9Y5X4 Q13547
Q15545 Q6P1X5
P46821 Q9Y3F4
Q92597 P36578
Q7Z6B7 P61586
Q8WYH8 P08670
Q6EEV6 P21796
Q15645 Q53HV7
Q14146 P20700
P0C1Z6 Q59EK9
P51965 P46934
Q96L34 Q13885
Q9UK73 P25445
Q8IZH2 P09651
Q12931 P06400
Q14789 Q9UEU0
Q99933 P08581
Q99972 P35555
Q15027 P02786
Q14289 Q05655
P20151 P08697
Q9UER7 P29590
P19784 P17931
Q9GZP9 P01009
Q92831 P15923
Q52LW3 P10114
O15066 Q92845
Q5VST9 P16157
Q96C74 O75969
P08670 Q9BT92
Q7KZF4 P10242
P46109 P08069
P12931 O15111
Q14919 Q9HBM6
P63279 P10275
Q9ULV8 Q96J02
O95429 P19438
P62736 Q92793
P36575 Q14749
P27694 P12004
Q9NZW5 O14910
O43593 P09429
Q99683 P63104
P27361 Q15583
P48382 O00287
P15882 Q15078
O94985 O00213
Q14191 P78527
P45984 Q9C0F1
P67870 Q9UBF6
O95084 Q13387
P78413 P10276
Q92989 Q9UKF6
Q14694 Q13283
O14802 Q99959
Q7Z3B3 Q7Z6G3
O00186 Q8TEQ6
Q12824 P04150
Q15365 Q5SZQ8
P45984 P04637
Q99942 P36897
Q8WWW0 P61224
Q7Z6J0 P31751
Q14146 P02545
Q13023 Q92736
P62324 Q9UFF9
Q9P2E2 O14980
Q03135 P05067
Q14919 P20226
Q92597 Q15436
O00311 P25205
Q13797 P21673
Q03164 P61964
Q8WXH0 P68032
Q9UNE0 Q12933
O95870 P03905
O00144 P04628
P46531 P48745
P42574 Q16236
P49247 Q9GZT8
P17980 P54253
Q13547 Q9P0U3
P06753 P0C1Z6
P03372 P10827
O00308 P31785
Q8TDD1 Q92731
P08631 P16885
Q9UHF0 O95163
P05060 O15527
O43707 Q13554
P04004 P61812
Q15911 Q9Y6X2
O15534 P49674
P24928 Q99728
O95251 P06746
Q99836 P14778
Q6ZNA4 O15105
O75056 P21246
O43663 Q9H0H5
Q96S59 P08581
Q9BXY8 Q15834
P21673 Q9UKR5
Q15797 Q92831
P10276 P14859
Q8N3Y1 P63208
Q99814 P40337
Q14289 Q9Y6R4
Q15388 P00374
Q9NRI5 P78559
P12429 Q92979
Q9ULJ8 Q96SB3
Q8WUM4 P00533
O75593 P84022
Q13555 P21817
P22607 O60258
Q9GZZ8 P04004
Q8WU17 P40337
O95257 P03372
Q9Y698 P48058
Q9UIV8 P08246
O95071 P52294
P14672 Q9BXJ0
Q14571 P48995
Q9BUF7 Q8N3R9
Q16520 O75971
Q9NYJ8 P51617
P09619 P29597
Q6STE5 P19793
P17301 P08123
Q8IVH4 P22033
O95754 O60462
P03372 P10828
P28482 P05787
P42224 Q00597
P09874 P07199
P22736 Q9HCE6
P09238 P14780
P12004 P13051
P00533 P0DP25
P11940 Q14103
P49841 P46531
Q13467 P41221
Q96MP8 P20338
Q15811 Q9Y5X3
Q9BUH8 O60941
P42224 Q92793
O00308 P08887
P02776 P34741
Q9BQY4 Q9BRG1
Q9NYN1 P84022
P12644 O95405
O43422 P19525
O14994 P17600
Q9Y3C7 Q96G25
O43707 Q96QZ7
Q96EY1 O15209
Q99584 P01583
Q9BV40 Q12846
Q93063 Q16394
P49802 P31946
P17612 O00418
Q9Y330 P47736
P15502 P07585
Q15796 P45984
P42336 Q8IUC6
Q9Y3B2 Q8IZH2
Q7Z7A1 Q15628
P55345 P48634
Q13352 P19838
O14810 Q16623
Q7Z4P5 P18075
Q12933 Q9NVF7
Q12983 Q09161
P23142 P13611
P10828 P04637
P35222 P98177
Q9UBX5 P08519
P43364 Q6ZU52
O00470 P09016
Q13315 O43324
Q12988 Q15047
P0DPB3 P35240
Q13873 P18075
Q14203 P54257
Q7Z7M9 Q93063
O43734 Q13114
O95967 O95990
P23025 P29084
O75925 Q8TAD8
P61247 Q9BV94
Q06124 Q01362
P08519 P27824
P61981 P06576
Q6WCQ1 O14974
O94875 P31749
Q13287 P04198
Q03135 P36897
O94875 P42684
P42224 P48551
Q99732 Q96JH8
Q9NPD3 O77932
Q14061 Q9BW62
Q9NWA0 O95402
Q15788 P13631
O15143 P59998
Q14114 P02749
O43924 P61225
Q9NYV4 P24928
Q9Y4H2 P29597
Q13485 P17275
O75461 Q14186
P61247 Q96GM8
Q15796 P19793
Q9NPB6 P17081
P30101 P27824
O75363 P63167
Q92854 O43157
Q12972 Q15047
Q8N4C8 Q8IZP0
Q12933 P54725
P04049 P32121
P11142 P27348
Q53QZ3 Q9NPY3
Q92542 P49810
P0DP25 P35611
Q9Y3C5 Q9HAU4
O14672 P20827
Q06124 P06241
Q12933 O95990
Q15796 P17098
Q9BY77 P49005
Q99081 P41134
Q13033 P63151
Q15006 Q9Y3B6
P33991 Q9Y5B9
Q15759 O00418
P35613 Q03135
P46100 P29074
P68400 P61244
O15399 P05129
Q6VMQ6 P08047
P57678 Q15833
O60674 Q04912
P30679 P08172
P05412 P35638
P10828 Q15642
P32780 P28715
Q99614 P50148
O60674 P00533
P61296 P06748
P24928 Q15233
Q8NDP4 Q9BQ66
P17612 P61224
Q9Y2S7 P49005
Q9Y5B0 Q15208
P47736 P15056
P24928 P23193
Q9GZX7 P27694
Q86SG3 P63167
Q9NP31 P42681
O15083 O75334
P11802 Q15796
Q9UI14 P20339
Q13596 P06213
P02794 Q9HB65
P16422 O95471
Q9Y3C5 O00560
Q5SQ64 P62993
Q96ST3 P04637
Q02156 Q96A00
Q9ULZ3 Q96P20
P40189 P05231
Q96IK5 P42166
P56704 P34925
P63165 P56524
Q9NQ38 P07477
Q8WX93 P12814
P09467 P56134
P54259 A7E2V4
Q9UJY4 P61204
Q9BQY4 Q8N2M8
O43422 P05198
Q53G59 Q9H204
Q9NWA0 Q96HR3
P21246 Q9NRR5
P19012 Q6PKC3
Q13363 Q13547
P10145 Q16570
P05771 P17302
P52630 Q92793
Q92973 P52948
P16389 P61586
P68400 P38398
O15259 P56945
P06239 P15941
P02686 Q15759
Q13637 P13861
P63165 P10275
Q9Y605 Q9UBU8
O15444 P46092
O00499 P23229
P03971 Q16671
P35372 P63096
Q9H211 P20248
Q96SD1 Q92878
Q12933 P08138
Q15223 P04156
P00491 Q9UKY1
P08603 P02741
P17544 Q16514
Q9UN36 Q70IA6
Q15276 P20339
P10644 P11802
