O95747 P55011
P09496 Q00610
O75716 P19419
Q9UQ84 P54278
O76080 Q15008
P54253 P61421
P30519 Q9P2H0
P21673 Q6PI98
Q9H633 O75818
Q09472 P03372
Q14627 P05112
Q9NRM6 Q9UHF5
Q9Y6B7 O43683
Q12802 Q03113
P04437 P20963
Q9Y221 Q76FK4
P12004 P13051
Q03013 Q13432
Q09161 O75150
P21580 O76080
Q16891 Q9Y6M9
Q12888 Q5IJ48
Q16891 Q9UFN0
Q8IZD9 P49768
Q8IZH2 P46379
Q9P2M1 P98164
O75925 Q9UMX1
P21673 Q13432
O14717 Q9BVJ6
Q15393 O75533
P49069 P08F94
P21246 Q96EW2
Q9BWC9 Q5RL73
Q15102 Q9Y4G2
O43808 P40855
P80108 P06727
P17509 P21673
Q9Y3A3 Q5T3J3
Q14524 Q12959
P06213 Q07666
P78552 P35225
Q99689 Q9NRI5
Q15020 O43395
Q96R06 Q14990
P21359 P62380
Q99558 Q9UNE0
P13667 P04114
P15509 P32927
P05556 P27824
P35869 Q13620
O43927 Q99731
O95163 O14920
Q9Y2D8 Q16385
Q9BTX1 Q8N1F7
P32780 P19447
P12956 Q86X76
Q14739 P04553
P54253 O15014
Q15528 Q8NBJ4
Q96T76 P03372
Q15397 Q86YV9
P00491 Q9GZT6
Q13077 P19438
P50542 Q8WTV0
Q9Y3C7 Q9BTY7
Q9BVJ6 Q8NHQ1
P15018 P40189
O43592 P49792
Q9NZJ5 O14920
P23352 P34741
O60383 Q9UN74
Q96F07 Q9Y2A7
O14773 O14746
P78527 P12956
Q14140 Q14186
Q9H6J7 Q5RL73
Q8NEV9 Q6UWB1
Q6KF10 Q13873
Q13867 P05067
Q99689 Q7L2K0
Q9GZT8 Q9H773
Q9HCU9 O75446
P60896 P51587
Q14966 Q15834
P13693 Q07820
Q7L5N1 Q9UNS2
P37198 P52948
Q13480 Q07021
Q9Y3A3 Q9BTT4
Q9NPF7 P42701
Q99665 P29460
P02647 P22061
O43294 Q09472
O00161 Q12846
P27635 P62380
P46977 Q8NCD3
O76003 Q6FI81
O75688 O14920
Q9Y678 O15533
Q13873 P00540
Q96NW7 O14656
Q8NE71 P56537
P54253 Q9NRX4
P19320 P35225
Q7L5N1 P61201
Q8WUM0 P49454
O60238 P17152
Q96E40 P49903
Q15645 Q9NZF1
Q9BZW8 O43561
Q92597 Q92499
Q9Y2H0 Q05586
P99999 P10109
Q99081 Q02363
P37268 Q149N8
Q9NYG5 Q13042
Q5JY77 Q6IB77
Q03135 P03372
Q9HB89 P48645
O15294 P51610
P27701 Q9P2B2
P46777 P68400
P36543 P04075
Q9UJ70 Q5M9N0
Q13794 P02775
P06400 P24385
Q5T3J3 Q9H4M7
Q16665 P27695
O60869 Q13285
Q7L5N1 P14174
P49736 P62701
P32780 P28715
P42345 Q6R327
Q5JTD0 Q12959
Q01780 Q8IZH2
Q8IZH2 P04075
Q13421 Q8WXI7
Q8IWK6 Q12959
Q9H0Q3 Q9NVX0
P08571 O15455
P49736 O14775
Q7Z392 Q9H0R4
Q96JB5 Q15078
P42226 P19838
Q96RK0 Q96C36
P68400 O14958
P13010 P09884
Q92574 P62258
Q09472 Q9H3D4
P61313 Q7L5N1
P20292 P09917
Q9Y2X7 Q9H0I3
O96008 Q9P0U1
P32320 Q86UK7
Q9NWQ8 Q13094
P28328 Q9UKR5
P01215 P21246
P68400 Q05940
P46977 O75534
O43809 Q9GZT8
P98164 P02649
P36542 Q9NRX1
Q9UGJ1 Q96GA7
P42345 Q8N122
P49768 P31150
P49755 Q92542
Q86XR7 P58753
Q15645 P30039
P05067 P49768
P13010 Q07864
Q8WXF8 O15519
Q9NQS3 P15151
Q9UGJ1 P23258
Q9UL40 Q9HAV4
Q8N2H9 P51617
O43913 Q13416
P35916 P05556
Q9GZS1 O15446
P21359 P34741
Q14966 Q96EK5
P32780 P49736
P0CAP2 Q96FK6
Q9BUB5 P02686
Q13371 P17987
Q9H814 O14980
Q8WVB6 P35249
Q9Y3C0 Q9UL45
O95870 Q9H0R3
P43351 P15927
Q05519 P26368
O15273 O14793
P13798 Q9GZZ9
P03372 Q6PML9
P15822 P54253
P40429 Q8NBJ4
Q99081 O95084
P43489 Q13077
O15360 O14920
Q9BTP7 Q8IYD8
P30154 P35613
P01042 P04004
O95373 P46777
Q9UHD2 Q9H6S1
P04183 Q5T3J3
P80075 P13611
Q9NP84 Q13077
Q9GZY0 P27695
P07602 O96006
Q93052 Q149N8
P51116 Q15041
Q92878 P49959
Q6RSH7 Q16665
O43261 Q9GZT6
Q5T5C0 Q12846
P27930 P01584
P62280 Q99558
Q9NPI8 O15287
P16870 Q14181
Q9BQ66 Q9P2Z0
P12956 Q96RP7
P78346 Q99575
P46952 Q99259
P00966 Q9H1I8
O43809 Q9P2H0
Q6X4U4 P22004
Q9UJX6 Q12834
Q9NT62 O95352
P19838 P01589
Q9H6Z9 Q9BRX9
P11597 O15145
Q92966 P06400
Q99567 P52948
Q9NS69 Q15388
P25101 P14138
P27694 P12004
Q8N3L3 Q12846
Q00610 Q9H8K7
Q06265 Q13868
Q7L4P6 Q9NSA3
O77932 Q01780
Q86UP0 P35222
Q9UDY2 P35221
Q99835 Q13635
P0DN86 P01215
Q96JB2 Q14746
Q15464 P31785
Q9NZJ7 P49768
P01127 P98160
Q16611 Q07817
P30291 P68400
Q5T8A7 O75691
O75716 P02686
P02649 P02768
Q8WX92 P03372
O43561 P12318
Q13200 Q5T3J3
O43395 Q969Y2
Q49AR2 P60002
Q7L590 O43929
Q7L5D6 Q8N2U0
O94985 Q14669
P98161 P18206
Q92973 P49792
Q07889 P15941
Q16576 P06400
O95793 P05388
Q8NBJ4 Q9GZP1
Q9H840 Q8WXD5
Q8NE01 Q9BQ66
Q8N807 Q96HE7
Q9NTK5 Q9H1I8
P36542 Q9HCC8
P08865 P63220
Q9UHF0 P29371
Q86UU9 P29371
Q9BPZ3 P11940
Q9NVU0 P05423
P67870 P38432
Q9UBS8 Q13772
Q02509 Q13873
Q01780 Q9Y2L1
Q08999 Q02363
P25054 P35222
P04278 Q5D1E8
P49754 O14617
P16870 P06307
Q9NQB0 Q09472
Q92973 P35658
O95994 Q9GZT6
O15379 P48552
P0C1Z6 Q59EK9
Q96RK4 Q15154
Q92624 Q8N140
P62917 Q9H8M7
P02647 P11597
O60232 Q53TS8
Q00403 P49736
O43427 P68400
Q15650 Q09472
P49247 O75716
Q9Y2J2 Q96ID5
P11940 O95793
Q9UBB6 Q99698
P62380 Q96EY7
Q13042 O60566
O14746 P42345
Q8WVM0 O00411
O14727 Q9C000
P35613 Q03135
Q9H939 P04278
P46527 P24385
Q9BVJ6 Q15834
Q9UKY0 P08865
Q8NBJ4 Q3MHD2
Q8WXD5 P62304
P67870 P03372
Q15650 P03372
Q08211 O95793
Q9Y6W8 O75144
Q16594 P51610
Q9Y2X7 O75334
Q9Y5Q8 Q9Y5Q9
Q9Y2X7 Q9H7E9
Q92908 Q09472
O43148 O60942
P30793 P05026
O14717 Q7L5N1
Q8N715 Q15834
P04406 P15927
Q8IYF3 Q96GY3
Q9H1H9 P32780
O75419 P09884
O00264 Q12770
P53674 Q09428
Q15834 Q53FD0
O43913 Q99741
Q9UHV9 O60925
Q14789 Q9HCU9
P12956 P16284
P27824 P15260
Q09472 P16455
P22087 Q99558
Q9BXW9 Q00597
Q9NR82 Q9NRI5
Q9Y3U8 Q02543
P21246 Q9H8G2
P27701 P05556
P51003 P62258
O15117 Q13094
O60566 P51587
O95347 Q9NTJ3
P80108 P02647
Q7Z7C8 Q15542
Q99967 Q09472
Q16518 P02753
P46777 Q14974
O95251 Q9C0J8
Q9H228 Q03113
Q92624 Q15050
O95059 P78345
P31785 P13232
P78549 P28715
Q9BRA2 Q16881
Q8WVB6 P12004
Q6IB77 Q5RL73
Q9Y6B2 Q09472
P67870 P35222
Q9Y678 P53618
O95219 P06213
P12956 A1L0T0
P12270 Q16666
P56537 Q5T3J3
P38432 Q9Y4C2
P35520 P51116
P59665 O60925
O14893 P26368
P03950 Q15904
Q9BVC4 P42345
Q16891 Q9H8T0
Q16553 P20963
Q86YW7 Q96T91
P21246 P47756
Q9H5Q4 O00411
Q05048 Q12996
P02774 Q6P1J9
O60238 Q07817
Q12802 P03372
O00628 P50542
Q9Y5N6 Q9UBD5
P78345 O75817
Q15102 Q96ID5
Q08722 Q02094
Q6PJP8 Q12888
P04406 P05067
Q7L5N1 Q9BWC9
P21246 Q9BTY7
Q9BYG5 Q8TEW0
Q86XR8 Q96RL1
P68400 Q16666
O43913 Q9UBD5
Q96RU7 Q7L5N1
Q9UPT5 Q96KP1
Q92597 P51659
P61289 Q9BXC9
P00558 P04406
P24666 P06213
P08519 P02751
O15379 Q8TF05
P06400 Q86Y97
P62258 Q9Y4H2
Q06265 Q9Y2L1
P54253 Q9H4I2
Q9BQ66 Q14781
P62258 P49815
Q12788 Q9BTM9
Q13571 Q6ZVM7
O15315 O43502
Q99689 Q14919
Q9UNS2 P58340
O00203 Q99726
Q12981 Q07817
P23510 P43489
Q15185 O14746
P17342 P01160
Q9Y6D9 P17480
O60232 Q9NP79
P78417 Q9P2H0
Q96HE7 Q9BS26
Q7L5N1 Q9BT78
O14976 O60763
P35249 O75943
Q9BQ66 Q9BYD3
O95059 O95707
P46379 Q9H095
Q7Z6G3 Q9BU64
P55209 Q09472
Q969H0 Q6ZRQ5
P60568 P14784
P68400 P18858
O95373 Q14974
O15342 P36543
Q99547 Q5RL73
P36542 Q14181
P37198 P29084
Q6QNY1 Q9NUP1
P21673 Q9BSH4
Q9UKT4 O60447
Q15583 Q9Y3C7
Q99698 Q14974
Q9UPV9 O15294
O60241 Q9H0R4
Q9UMX1 O00422
Q9UM13 Q9UJX3
P55060 P14866
Q92597 Q12906
Q96SB4 P26368
P04278 Q00796
Q04637 Q9BUB5
P02647 P04114
Q92945 Q13868
Q9UMX1 Q9P2Y4
Q9HAW0 Q5SXM2
P98082 P98164
O60925 Q9Y3C7
P38432 Q96KG9
Q9NSA3 P35222
P12956 P09466
Q9BTY7 Q9H3H1
O14777 Q9BZD4
P62277 Q99558
P46379 Q969H8
Q8NEC5 Q9UKJ5
Q16576 Q9UKG1
Q92466 Q01831
P36542 O43676
Q9UMS0 P54198
O14920 P19838
Q92989 Q9UKF6
P10827 Q15493
Q96CD2 Q96BT3
P54253 P38432
O00165 O95342
P21246 O76061
P43489 O15304
Q15464 Q12929
Q9UBU3 P01303
Q9Y294 P50502
P55058 P02649
Q9BQD3 Q96LK0
P30154 P10809
Q8NBJ4 Q9H8U3
Q8NFZ5 P21580
Q9UBU7 O00311
P35052 P05067
A0A5B6 A0A1B0GX56
Q00610 P49407
Q9GZT8 Q9NRG1
Q92624 Q96ES6
P06748 P24522
Q9HCC8 Q70Z53
O75344 P04406
Q9UJX3 Q9UJX6
Q01780 Q9H7Z7
Q9NXU5 Q9BWH2
Q14134 Q8NHQ1
P30533 Q14181
Q9HCU9 Q969G3
Q9NQX5 Q9BQ66
Q9UQB3 P49768
Q9H422 Q9UGP4
Q9BT78 P61201
P12956 Q9H910
O75052 P29475
P05556 P15529
Q00403 P29083
Q9Y3M2 P35222
O15160 Q14191
Q96RU7 Q5RL73
P21673 Q9BVJ6
P62380 Q00403
P09919 Q99062
O75460 P19438
Q14974 P21246
P61970 P37198
O43865 Q14643
Q9UKI8 P02686
O14744 O00267
Q15761 P01303
P37198 Q96QU8
Q5RKV6 Q13347
Q9NUP1 Q8TDH9
Q99700 P11940
P06746 P12004
Q9NWQ8 O14745
P11684 Q6UX01
P12956 Q00610
Q96BI3 P49768
Q03431 P49407
Q07820 Q07817
Q05586 Q00610
O14732 Q15011
Q9NVC6 Q15528
P20382 P01303
P62857 Q9BQ66
Q9BYM8 Q96EP0
Q8N668 Q86X83
Q9BYE9 Q6P0Q8
O94910 P08922
Q96H20 Q86VN1
P15927 Q5RL73
P05000 P17181
O60895 P01258
P50616 O43541
Q8TAP6 Q96EK5
O43395 Q9C005
P35244 P15927
P32780 P03372
P40926 P07954
P78536 Q12959
Q9Y294 P54198
Q16891 Q9H8K7
O00198 Q92934
Q9H211 P12004
P21673 Q9BQ70
P13010 Q13416
O75146 P09496
P49356 P49354
P02489 O75390
Q2TAA8 Q99598
Q9BXW9 O94782
P24588 Q12959
Q15388 Q99689
O75528 O75478
Q96QU8 P07737
P56537 Q9BWH2
P49959 P12956
Q9Y5M8 Q96JB5
Q00577 P06400
P29084 Q03468
O60921 P12004
Q13571 P21580
P78527 P15927
Q99558 Q13077
Q05586 P11137
O94875 O43426
Q5RKV6 Q9H2M9
Q9GZT8 Q15555
Q9UIA9 O43592
Q9Y3F4 Q8WXD5
Q09472 P24385
Q9H633 P78346
Q03013 Q5T3J3
O14745 P35222
Q6WBX8 O60671
P17540 Q5T3J3
Q96SB4 P04553
Q15042 Q9Y4E6
O75052 Q9Y272
Q92643 P05187
P04183 Q9UKR5
Q9UJX3 Q12834
Q9BVJ6 Q9BWC9
Q5FBB7 P62906
Q8N668 Q9H0A8
Q9UM13 Q13042
O75530 O15379
P30305 P67870
P02766 Q99689
Q9Y5X5 O43612
O15297 P46777
P98161 P35222
P20916 P02686
Q9H840 P62304
P14778 P01584
P51116 Q14134
Q9UNL2 P51571
P28715 P18074
O14920 Q9UHD2
O75925 O15169
Q9UBW8 Q9UNS2
P16298 P32418
Q16891 Q9NX18
Q8TDR0 Q9NRI5
O00311 Q9Y5N6
P43034 P68400
Q7L5A3 Q15834
Q9Y4G2 Q9Y3A3
O43493 P05556
Q9GZY0 P35658
Q8WW01 Q9BSV6
Q09472 Q12772
Q9HCU9 Q5T3J3
O75665 Q9H7U1
Q08999 P24385
Q9BYD3 Q9GZR7
O60383 Q13873
Q09472 Q10571
O95084 Q9H0R3
P01275 P16870
Q8IU57 Q8IZJ0
Q8IYF3 Q9Y6D9
Q969Y2 Q9NP50
P49767 P35916
Q8TD16 Q13561
Q99627 Q9BT78
P02647 P02766
P30519 Q9Y3C7
Q07817 Q96LC9
O15514 P53803
O43292 Q9H490
P68400 O15379
O43592 Q00341
Q07820 Q9UMX3
Q9Y2B0 Q9HAP2
P49959 P18858
Q15596 Q969G3
Q9HBZ2 Q16665
Q92979 Q96DW6
Q8IYF3 P48552
P23921 P31350
P09848 P27824
Q9UHI6 Q08211
O43929 P24385
Q16594 Q15393
Q86UN6 P31323
P30519 Q5T3J3
Q96BD8 Q9UL45
Q16891 Q8NCD3
Q12906 Q08211
P29084 P19447
Q8IUM7 Q9HBZ2
Q8NDB2 Q14643
Q13113 Q9BVJ6
Q9UIF7 P27694
Q14019 P09917
Q9BUE0 Q9H944
Q9Y262 P60228
Q03135 Q07889
P0DPI2 Q70Z53
Q96A83 P50454
Q9UL45 Q6QNY1
Q92597 P62753
Q08211 P57678
P52630 P42226
Q3L8U1 P03372
Q14134 Q9BRK4
Q8IU60 Q9UKV8
P24385 P35222
P15822 Q92979
Q16891 Q9H1I8
Q9Y3A3 Q9Y3C7
O95425 Q99572
O95721 Q96LR2
Q13596 P48357
P35520 Q8IV36
P13686 P15927
Q5VWK5 Q9NPF7
Q96J94 Q9UPY3
Q96G25 O43513
Q9GZS1 O95602
Q5VWN6 Q15834
Q9NWT6 Q16665
Q8NEC5 Q9BQ66
Q9C0J8 Q5RL73
Q9NXE8 Q15834
P04406 Q9UN74
Q9UNE0 Q92838
Q13873 P33241
Q9NXR7 Q9NWV8
Q16514 Q10570
P10124 P16070
Q7Z434 O95786
P13010 Q14191
Q9BV38 Q8NC60
P46100 Q9H7U1
Q9Y223 Q5UIP0
Q9Y678 O14579
Q92597 P21397
Q8TEQ6 Q9UHI6
P49815 P19021
Q14896 Q8WZ42
O60232 P51946
P04278 P57057
Q5JY77 Q9BTY7
P10827 P61201
Q13480 Q07889
P30154 Q99497
Q01831 P19447
P20742 P61812
P62487 P49842
Q13216 Q13888
P03372 Q00403
Q02878 P47914
Q8WV28 Q13191
O00623 P50542
Q9NRX2 Q99698
Q15714 Q9GZT6
Q9BQD3 Q9UPT5
P62424 P0CAP2
Q15185 P31948
P62258 Q92934
Q14596 Q9NP79
P59998 Q9BPX5
O76061 O95831
O95391 Q15834
Q99689 P21246
P60981 P04278
Q12888 Q16666
Q8IU60 Q14181
O14745 Q03431
Q9NYV6 O95602
Q13077 Q02223
O43390 Q13873
Q15102 Q9GZR7
Q12972 Q5RL73
O95831 Q8NC60
P37198 Q14974
Q15477 Q8IZH2
O43561 Q13094
Q14191 P12956
P06213 Q13480
Q99700 O00499
Q16611 O75460
P35869 Q15596
Q13635 Q15465
P40225 P40238
Q96MU8 O94907
P15927 Q9P2H0
Q13571 O95208
Q16594 P22314
Q15834 O43663
P40189 P13725
O00267 Q9UHR5
Q8N715 Q96LR2
P38432 Q8TAP6
Q9BTW9 O95424
Q15633 Q9UKV8
Q09472 P05114
P61247 Q8IVM0
Q07820 Q16611
Q15596 Q16665
Q9Y5K6 Q07889
Q96T60 Q9BQ66
O15503 Q12772
O60256 Q8N8Q3
P35520 Q9NP79
P10912 P01242
O95163 Q9UFN0
P04843 Q6IA17
Q92597 P23396
P55157 P04114
Q9HAF1 Q15834
O95251 P49736
P20290 P30876
O15379 P06400
Q15573 O15446
Q9NZ42 Q92542
Q92845 P25054
Q8IZH2 Q9Y4Z0
Q9BPX3 Q03933
P21673 O95251
P12004 P12956
Q6VY07 P11717
Q99627 Q7L5N1
P10643 P01031
P68400 P30519
O15235 Q13432
Q9GZT8 Q15834
Q13432 Q99547
Q08E93 Q15834
Q9Y262 Q9UBQ5
P27701 P28067
Q9Y3B2 Q06265
Q9UHF0 Q99689
Q8IW19 P78411
P32927 P04141
Q13155 P07814
P51003 P09012
O43752 Q9P253
O60907 P35222
Q5JTV8 P02545
Q92597 P62241
P62258 O94875
Q03701 P25208
Q9Y285 O43390
Q14005 Q13224
P22735 Q02383
O75934 P06401
O60383 P04183
Q8WY64 Q9Y2B0
Q13200 Q16401
P41159 P52790
P01375 P19438
O15287 Q00597
Q13077 P28908
Q07666 Q13702
Q14940 P49407
Q16570 P80075
O15533 P53618
Q9H0Y0 Q9H1Y0
Q06190 Q5T6C5
Q14191 P12004
Q9Y5N6 Q13416
Q03135 Q9Y6H8
P20396 P16870
Q9GZZ8 P02751
Q96G25 Q15648
Q15102 Q9GZT6
O00214 P05556
Q13432 O14717
Q9UKR5 Q14061
Q5RKV6 Q13868
O75460 P49768
Q09472 Q14676
Q9HAV4 P35658
P40200 P15151
Q5D1E8 Q9NZD4
P21673 Q96BY9
Q03181 P48552
Q96I23 P37287
O75146 Q00610
P19419 Q9Y3A3
O95084 Q6KC79
Q14676 Q12888
Q14181 P09884
Q8NHZ8 P30260
P12272 P05231
P68400 O14529
P09693 P07766
Q7Z3B3 Q15834
P16444 Q96EK5
Q9UKA4 P31323
Q8TDC0 O15273
O14717 Q5T3J3
Q5FBB7 P12956
Q6PML9 Q15596
Q9Y3C7 O43261
O60343 Q9ULJ6
O96006 Q9HCN4
P19419 Q02363
Q99698 P52272
Q86X55 Q15596
O75970 Q6UVK1
P23921 Q5T3J3
O60925 Q9Y2X7
P40189 Q16619
O15379 O60907
Q16594 Q15542
Q9UN74 Q9GZT6
P00491 Q5T3J3
O14713 P98164
O95251 P06746
Q05586 Q13224
Q12929 Q9UL45
P22314 P16455
Q96FX7 Q9UJA5
O43929 Q9UBD5
Q2M1K9 P09874
Q04637 P55010
O95273 P24385
P04406 Q9NXU5
Q12968 Q15361
P63208 Q9UK99
P56537 O75665
P68400 P55010
O75925 P03372
O95084 Q9Y296
P09466 Q96ID5
Q9HC73 P16871
Q9Y3F4 O43541
P04040 Q9BXR5
Q02363 Q13432
Q09472 Q13573
Q16533 Q5SXM2
Q9UKN8 Q92994
Q9UBD5 O96020
Q9P0U1 Q9NS69
P07737 Q13432
Q9UPT5 Q96A65
P21589 P02751
Q6PIZ9 P04437
Q9GZS1 O15160
Q14738 P30154
Q9NYH9 Q9BQD3
O95870 P03905
Q13352 Q9GZR7
O00267 Q66LE6
Q12923 P35222
Q9NYV6 Q15572
Q7Z3B3 Q8NHQ1
P54253 Q96EP0
Q09472 P20823
Q9Y2H0 Q96A65
Q96RL1 Q9C086
P98164 P02774
O60925 Q9P2H0
P21695 P21246
Q15102 Q7L5N1
P37198 Q9Y3C0
Q5JY77 Q96KB5
Q9NQC3 P22695
Q9NZD8 Q53H80
Q15800 P54253
Q99698 Q96DF8
Q13224 O00189
P68400 Q9UD71
P62258 P30305
P07101 P68400
O14777 Q9Y6D9
P20618 Q9Y244
Q12906 Q9BQ66
O14980 P46527
P68400 P30305
P01042 P05067
P56537 Q14181
P05026 Q5T3J3
O00716 P06400
Q03181 P30041
Q9Y294 Q13112
Q86YV9 Q9UPZ3
O43913 P49736
Q9HBM1 O14777
Q09161 O95793
Q6NSW5 Q8N2U0
Q5T3J3 P82932
P48552 Q13285
Q8WTV0 P02647
Q5VWK5 P42701
P49247 Q9GZT8
Q16612 Q96ID5
Q00403 Q13285
P42081 P16410
Q5BKT4 O95259
Q9UBW8 Q9BT78
P13010 O00267
O95084 P42695
O15379 P78347
O15018 Q9UQB3
O60315 Q7L5N1
P20930 P68400
Q15596 P03372
P17181 P48551
Q9UJW3 Q9UHA3
P21549 Q9Y6H5
Q96MU7 Q07666
O15287 P51587
Q9Y5Q8 Q9UKN8
P16581 P16070
P15927 Q5T3J3
Q9Y3T9 Q5T3J3
Q5T3J3 Q9Y2X7
Q8WUW1 Q96F07
O94818 O75971
P12004 P24385
O95059 P78346
Q9P2H0 Q99689
P48551 P52630
Q5RKV6 O43809
Q13442 P01127
O94777 Q92535
Q12824 O95359
P12004 P27695
P21673 Q8IY81
P04004 P61812
Q13228 Q15645
Q9NZD4 P0CAP2
Q9H773 Q8NC60
Q16619 P42702
P04437 P27824
O75381 Q96G25
Q9UQB8 Q9UKR5
Q8N612 Q96HR9
Q96CD0 P63208
Q969H6 O95707
O43929 P49736
P51843 Q13285
Q8N668 Q86VX2
P46777 P12081
Q15291 P06400
P40855 P33897
O43747 Q00610
P35222 Q09472
P48147 P01042
O76003 Q9BQ66
Q92859 O00634
P09884 P06400
P51843 Q13573
P27694 Q9H8T0
P21246 Q9Y3C0
O00220 O95999
O14777 Q9UL45
Q9HB96 Q9BXW9
Q96HR3 Q15528
P36542 P60002
P21246 Q9NQZ2
P28300 Q07507
P04053 P12004
Q9P299 P48444
Q5JR12 P47710
Q9UNZ2 Q13190
P68400 Q14005
O95251 Q9H8G2
Q92902 Q9NQG7
Q13432 O43252
Q13790 P02652
P50454 P17480
P46783 O95251
Q9BQ52 Q9H1I8
P21673 Q5RL73
Q15645 Q96HA8
O96006 Q9GZT8
Q9NTK1 Q15834
O43683 P78406
O76061 Q8TER5
Q9UBQ5 O15372
O14920 P21580
P13612 O43294
P09327 Q8IYF3
P53621 P48444
O75448 P03372
P78527 Q99828
O43683 Q12834
P67870 P68400
P13010 P12956
Q9UN74 Q5RL73
Q9NV58 Q9Y6H5
Q9BRA2 P01185
P43351 P27694
Q9UNN5 Q9H1I8
Q9NQB0 P49768
Q01780 Q96AT9
Q07507 P46379
P20807 Q7Z6G3
Q12889 P02808
Q92597 P60866
O15116 O43776
Q9Y262 O15371
O75818 O75817
Q14974 Q12772
P58753 Q15629
Q9UKR5 Q9BTE0
Q92597 P49327
Q96FZ7 P60002
Q9Y4H2 P17480
O43809 Q5RL73
Q07820 P61803
Q9Y6J0 P16298
Q9HCU9 Q9UBN7
Q9UQB8 Q12929
Q9GZM8 P43034
O75884 P06400
Q8NEY8 O60437
P48357 P41159
Q8TDM6 Q9BSF8
Q07820 Q92934
Q99436 Q9Y244
P52434 P36954
O60383 P21673
Q9NX01 O94906
P56537 Q92665
Q13901 P78527
P07814 Q8IXH7
O43261 Q7L5N1
O60925 Q5T3J3
O14920 P35222
P12956 Q9HBL7
P0C870 P04278
P43308 P08240
Q03135 P06213
Q12981 Q9P2W9
P61604 Q9UKR5
Q13077 P21580
Q9BUN8 P08582
P06127 P21854
P02774 Q5T3J3
P06400 P02545
Q9GZM8 Q9NRI5
P80108 P17900
O00267 Q9NRX1
Q16790 P35222
P14902 Q9GZR7
Q14974 P52948
Q6PIZ9 A0A5B6
O75419 O43913
O14949 P0CAP2
Q12959 P78559
Q5VVH5 P51617
O60760 P52790
Q9UJX6 P30260
P16870 Q9Y3C7
Q92556 P98174
P62888 Q99558
Q969H0 P63208
Q13765 Q96ID5
Q9UNE0 Q13077
Q9NXU5 Q4V328
P15927 P27694
P30519 Q7L5N1
Q99607 Q9Y3I1
Q13347 P03372
O95229 Q9H081
Q86X55 Q09472
Q08211 Q07666
P52630 O60244
P51809 Q12846
O15379 Q03181
Q13765 Q5T3J3
P03372 O14686
P62380 P52657
P17480 O15446
Q9H1D9 Q9UKN8
Q7L5N1 Q53FE4
Q8N2H9 Q99558
P17480 Q03188
Q99828 Q14596
O15235 Q5T3J3
Q9NQB0 P35222
Q13895 P38432
Q9BXY8 Q15834
Q96EY5 Q9Y5K6
P10515 Q15118
O14788 P78536
O60925 Q5JY77
Q9UHD2 Q92844
P21673 Q5T3J3
Q9NQL2 Q76FK4
P15941 P35222
Q8NHU6 O75410
Q86YC2 P51587
P18206 P16581
Q8NB12 Q13765
O75528 O00422
P04179 Q7L5D6
Q9NX08 Q9NRX3
Q12834 P17987
Q8TDC0 P16298
P54253 Q6ZMJ4
Q9NQX5 P24385
P15509 O14920
P38432 Q9Y6D9
Q13243 Q93033
P51116 Q5VSY0
P03886 Q16762
P16473 P02751
Q99547 Q8N392
Q8N1V2 P51587
Q13200 P19438
O14777 P06400
P59998 Q8IXH7
Q9UMX1 Q7Z412
P12004 P35249
Q9Y263 Q9UBN7
Q8NFZ5 P19838
Q12834 O60566
Q03701 P18627
P40238 Q9Y4H2
P02649 P05067
O75528 Q96ES7
O43747 Q63HQ0
Q14191 P09874
Q9Y3A3 P15531
Q9UGJ1 Q15834
P48552 Q8NHQ1
P48551 Q9UMW8
Q9Y3B2 Q8IZH2
Q8IU60 Q8IZD4
Q9Y605 Q9UBU8
Q9BVJ6 O14737
P20823 P02768
Q8TAM2 Q15154
Q14191 P49005
Q96BI3 Q9NZ42
P54253 Q9NRA8
Q15834 Q6ZU52
P34981 P49407
Q8TEW0 Q8IVF5
Q9UHF0 O95163
Q9Y2X7 Q6P1K2
P37198 Q03933
Q03135 Q13393
O60443 P21246
Q8TDH9 Q96EV8
O43592 P35658
O60566 Q02224
O14745 O43572
Q6PJT7 Q9UPT5
Q07817 P49768
O14579 P53621
Q9H900 P50748
Q5JVS0 Q70Z53
Q96SB4 Q01081
P49441 P18858
Q9NQS1 Q07817
P12956 Q9BTW9
Q99627 Q9UBW8
Q15029 Q8NBJ4
Q13029 P06400
Q9NRD9 P07202
Q14181 Q8N2I9
Q14974 P55060
P49755 Q9NZ42
Q9Y5N6 P49736
O95149 O14980
Q8TAE8 P24522
Q01780 Q99828
P01589 P60568
P51116 Q9Y4E5
Q14627 P35225
Q9GZT8 Q9BQD3
P78345 P78346
Q9H944 Q96G25
P02766 O95163
Q9Y3D6 O00429
Q8N1S5 Q96D05
P21673 Q9NPI5
P10827 P24385
P13569 P27824
P11137 P02649
P46379 Q09472
Q96T58 O94776
P22674 P12004
P26368 Q01081
Q8NFF5 Q9NRG1
Q9NZ52 P11717
P60228 Q9HC44
P60174 Q9Y234
P54253 Q86VZ5
O94777 O60762
Q15645 Q9GZT8
Q11203 P02766
Q969H0 P49768
O15379 Q8NB12
Q99726 O14617
Q8TDM6 P35222
Q03468 P28715
P14209 Q15645
P04155 Q86XP6
P46098 P27824
P19438 O14920
Q9C000 Q9Y239
Q99547 O95453
Q9UPT5 Q8WWV3
P12956 Q15102
Q99698 Q93074
O60763 P61764
P54253 Q86UW1
