Q9NQX3 P42345
P30533 Q9NQC3
Q9UBU7 Q13416
P53674 Q09428
Q8TAP6 Q96EK5
P49675 Q99689
Q16514 Q10570
P38432 Q9GZT8
Q01780 Q15477
Q03135 P03372
P21246 Q15388
O75787 P00797
Q04837 P54098
Q15388 Q99689
Q07820 P12004
P55157 P04114
Q9Y2X7 O75334
P29084 P19447
Q99741 P12004
P16410 P33681
Q9Y294 P50502
Q9HB21 O75970
P54852 Q99572
P41252 P07814
Q99741 P49736
P54253 Q6V0I7
Q14919 Q16594
Q14974 P21246
Q12791 P30519
O75943 O60921
Q92597 P62854
Q96BD8 Q9UL45
Q9H081 Q96IY1
O00716 P06400
P18206 P35221
Q9UHV9 Q9NQP4
Q9Y5M8 Q96JB5
P49755 Q9NZ42
O00566 Q96G21
Q8IYX3 Q9BQ66
O15304 P26842
Q8WUH2 P09917
P36542 P21246
P04183 Q5RL73
Q8NI08 P03372
Q14896 Q8WZ42
P51843 Q13285
Q15583 Q5T3J3
Q9UBU7 Q9UBD5
Q8NF91 Q9NRI5
Q99081 Q09472
P27694 Q9H8T0
O15160 Q14191
Q15650 Q09472
Q9P298 P0CAP2
Q9Y2J2 Q96ID5
Q99836 P14778
O96006 Q9HCN4
P30154 Q13033
Q8IYF3 Q9UNH6
Q52LW3 Q12923
P12956 Q96RP7
Q9NV56 O96019
Q93052 Q149N8
Q8NBJ4 Q9H8U3
Q9BVJ6 Q9H8T0
P51946 P32780
P63208 Q02224
P68400 P55087
Q9UHW9 O95747
Q7Z3Y8 P06213
Q9BVW5 Q9UNS1
Q13895 P38432
Q06190 Q5T6C5
Q8NHU6 O75410
P49903 Q9UKR5
Q8NBJ4 Q9BQ52
P25705 P04278
O43747 P08247
P52434 P62487
P25054 P35222
O43683 P25054
P49771 P21583
O14980 P46527
Q9GZM8 P62258
O15169 Q9BVJ6
Q15800 P54253
P06748 O14980
Q7L590 P49736
O75943 O60671
Q07021 P38432
P32970 P26842
P01127 P98160
Q9UJX4 P11940
P98160 P05067
Q99835 Q13635
Q92597 P36578
P03372 Q99623
Q9UN74 Q96ID5
O95059 O95707
P07101 P68400
O14920 P21580
Q16891 Q9H0I3
P99999 P10109
Q8NCW5 P02652
P54253 P61421
Q9UKX7 P46527
Q96RL1 Q9C086
Q13571 Q6ZVM7
P84090 Q5RL73
P11137 P02649
O00567 Q13873
P52434 P53803
P12956 Q86X76
P08603 P35318
Q01780 Q7L2H7
O75475 P51610
Q92597 P41091
Q14005 O60232
Q9UNM6 O00232
Q16611 Q07817
Q92597 Q13200
P09874 P49450
Q9UHF0 P29371
P51843 P61201
Q12981 Q09161
P63272 P13010
O43683 Q12834
P54253 Q14671
Q96CW5 P23258
P19419 Q02363
Q9P299 P48444
P10451 P05556
P20396 P16870
Q09472 P27695
P22234 Q9Y3A3
P09693 P07766
O43657 Q5T3J3
Q6ZYL4 P19447
Q9BW71 P54198
P01579 P15260
Q9UPV9 O15294
P67870 P55010
P58753 Q15629
P16150 Q9BZZ2
Q00403 P10827
P27701 P28067
Q9Y296 P34741
Q12834 Q13042
O95870 P03897
Q13243 Q93033
Q16821 P26678
Q92597 P34897
Q13416 P49736
P01042 P04004
Q5VST9 Q8WZ42
O60383 Q9Y3A3
Q969N2 O43292
Q7L4P6 Q9NSA3
O15379 Q03181
Q7Z7C8 Q6P1X5
Q9NZ52 P11717
Q8TEL6 P19438
P04406 Q9NXU5
Q16658 P35222
O75884 P06400
Q8TDM6 Q9BSF8
Q4G0F5 Q96QK1
Q8NHV4 Q09472
Q7LFX5 Q9NQL2
O75818 O75817
Q9Y3D6 O00429
Q96A83 P50454
Q02878 P47914
Q06265 Q13868
Q08E93 Q15834
P61201 P55789
Q14789 O15239
Q12824 O95359
P61254 O43390
Q9UQ84 P54278
P78345 O95707
O77932 Q8IZH2
Q9GZS1 O95602
Q96T58 O94776
P13686 P50591
Q9NP84 Q13077
Q6WBX8 O60671
P57740 Q8WUM0
Q9NSA3 Q9NQB0
P27694 Q9H1I8
Q9H0Y0 Q9H1Y0
O60763 Q13190
P60228 Q9HC44
O95793 P62424
Q9NYH9 Q15834
Q86UN6 P31323
Q07817 Q96LC9
P35520 Q9NP79
Q14183 P61764
P18206 Q00610
Q9UJ70 Q5M9N0
P54253 Q96T58
P36543 P12956
Q8WXD5 P62304
P54253 Q5HYC2
P68400 Q03135
Q9BTM9 Q9H1I8
Q86X55 Q09472
O95425 Q99572
O43292 Q9H490
Q16718 Q15834
Q8TEQ8 Q07326
Q09472 Q13573
P46736 O75971
Q9BYH8 P19838
Q9BT78 Q15834
Q15257 P68400
Q15572 Q15573
O75925 Q9UMX1
Q96RJ3 Q9Y275
Q03135 Q14254
P98164 P11684
Q8IYX3 Q15834
Q9Y262 P60228
P46379 Q9H095
P40429 Q8NBJ4
O43426 O00499
O60869 Q13285
Q16594 Q15393
P13010 P09874
Q99081 Q02363
Q15078 P61764
Q5JR12 P47710
Q13224 O00189
P40855 P33897
O96020 P46527
Q13432 O14569
Q9BUN8 P08582
Q86UU9 P29371
O00203 Q99726
P19447 P18074
P02766 Q99689
Q92934 Q07817
Q16531 Q92466
P12956 Q15102
Q9GZX9 Q9H2X0
Q05519 P26368
Q12906 Q9BQ66
P52630 O60244
Q9Y3F4 O43541
O60238 P17152
P80075 P13611
O75528 O75478
A0A5B6 A0A1B0GX56
Q96F07 Q9Y2A7
Q9HB96 Q9BXW9
P04004 P15151
Q9UL40 Q9HAV4
Q9UQB3 P35222
Q9NR82 Q9NRI5
O43913 P49736
P04180 P02647
O60383 Q9UN74
O60343 Q9ULJ6
Q16891 Q8NCD3
Q8NB12 Q13765
P12956 P16284
O14777 Q9Y3C0
Q9Y678 O14579
P51003 P62258
Q03393 Q86U86
O43913 Q9UBD5
Q01629 Q96EY7
P20916 P02751
P17181 P48551
Q9NQW7 Q14181
P40926 P07954
Q15102 Q5RL73
P16870 P06307
P19438 Q06643
Q9UBW8 P61201
Q9Y678 O15533
Q9P086 Q15528
P49069 P08F94
Q07817 Q9HB09
Q96FX7 Q9UJA5
P56589 P40855
P61024 P46527
P05556 P13611
O94910 P08922
O00214 P05556
Q96QK8 Q9Y4Z0
Q13352 P03372
Q9BPX7 Q70Z53
Q9P2M1 Q13573
Q9GZT8 P61201
O15144 P59998
Q9H6J7 Q5RL73
Q9BRK4 Q15834
Q08211 Q6P2Q9
Q6ZYL4 Q13888
Q9UHD2 Q7Z434
P21580 O76080
P52179 Q8WZ42
O75208 Q9HCE9
O15235 Q9UKR5
Q13561 Q8NBJ4
O94875 O43426
P05060 Q13724
P51116 Q9Y4E5
O15381 P46777
O95180 Q12791
O96006 Q9GZT8
O60383 P04183
Q14512 P98160
Q13432 O14717
O75330 P16070
P29084 Q03468
P20742 P61812
Q14749 Q9GZT8
O95251 Q9H079
P46779 O95793
Q9GZM8 P43034
Q4KMG0 P35222
P10827 Q13569
Q8NCW5 P02647
P55259 P04746
P21673 Q9Y3C7
Q9Y5Q9 Q8WXF8
P46527 P24385
Q7Z3B3 Q7Z6G3
Q9H2C0 P22314
P30291 P68400
O00267 Q9NZ63
Q9Y275 Q02223
O60925 Q5JY77
P12004 P13051
Q13596 P06213
Q14134 Q9BRK4
O00716 P19532
Q9UHQ9 P99999
O14893 P26368
O43257 P67870
O75925 Q9UPW6
P78527 P12004
P24588 P31323
P68400 Q16666
P68400 P10451
Q99665 P42701
Q9Y2X7 Q9H0I3
Q9Y240 P21583
Q12923 Q9HB21
Q5JTV8 P02545
O00257 P06400
P62750 O95373
O15534 Q5JY77
P03372 Q07889
Q9NQC3 Q07817
Q9UBW8 P60228
P56159 P39905
P00558 P04406
Q00403 Q09472
Q99558 Q9UNE0
Q13323 Q07817
P01579 P01375
Q9Y2T2 P55087
O60232 Q53TS8
P03372 O14686
P67870 P68400
Q8NHZ8 P30260
O14980 P63241
Q9H5Q4 P00491
Q8NFZ5 P21580
O15273 O14793
O60566 Q02224
P56537 Q14181
Q9HCS7 Q03468
P49721 P49720
P06400 Q86Y97
Q9Y6D9 Q9UGJ1
P06400 Q16533
O95251 P06746
Q86YV9 Q9UPZ3
Q13685 Q8IXH7
P54253 Q6ZMJ4
P51116 Q15834
P34913 Q9UFN0
Q9NYV6 Q15572
Q96RK0 Q96C36
O95721 P51809
P22087 Q99558
P30519 Q9Y2X7
Q7Z7C8 Q15542
P13667 P04114
P11684 Q6UX01
P14324 P54253
Q92908 Q09472
Q5JY77 P29371
Q9P2J2 Q9H1I8
Q9BXW9 O94782
P29083 P19447
O76003 Q70Z53
Q92597 P60866
O14745 O43572
P17480 O15446
P68400 P06127
Q9HCU9 O75446
Q92979 Q96DW6
O43913 Q13416
P55789 Q9H1I8
P33402 Q12959
Q15543 Q10570
P62380 Q96EY7
Q9Y5Y5 P40855
O14713 P05556
P21246 Q9HC16
P67870 O60763
O75940 Q14974
P03372 P51843
Q9NP59 Q8NBJ4
P16444 Q96EK5
P37198 O14980
Q9Y2X7 Q5UIP0
P56537 O75665
Q9NNW5 Q9H3Q1
Q9C000 Q9Y239
O43752 Q9P253
Q13042 P30260
P20618 Q99436
P46098 P27824
Q9UHR5 Q9UHX1
Q92729 P35222
Q6VY07 Q9NZ52
Q00341 Q08211
O60566 Q9Y6R4
O75884 Q08999
P61587 Q13017
P68400 Q9UNN5
P03372 P49815
Q16891 Q9BQD7
Q92973 P49792
O94777 P37287
Q9BWC9 Q5RL73
Q8N668 Q9H0A8
Q9H773 Q8NC60
Q07820 P61803
P60228 O43292
O15342 P36543
Q9UBW7 P17480
Q9HCS7 Q13216
Q13432 Q01344
Q07889 P15941
Q14191 P12956
Q03167 P08476
Q9Y3C7 Q9BTY7
P21246 O76061
Q16665 P00558
P17342 P01160
P98161 P18206
O75818 Q99575
P51946 P19447
O14737 Q9P2H0
Q13480 Q07889
P12270 P52948
Q96CG3 P51617
P30519 Q9P2H0
Q86US8 O14746
Q9NX74 P07814
P21673 Q9H8M9
Q15642 Q68EM7
Q07889 Q12929
Q8WY64 Q9Y2B0
Q9BWH2 Q9H1I8
P55060 P14866
Q5TCY1 P11137
Q9BWC9 Q5T3J3
Q01780 Q99547
Q92759 P29083
P13010 P78527
P09884 P09874
Q16611 O75460
Q8TAA9 P27701
O43823 P24385
Q99689 Q86Y56
Q5RKV6 Q13347
P54253 Q9H4I2
P35520 Q8IV36
O95182 Q9BQ52
O60238 Q07817
P02647 P04114
Q9NX08 Q9NRX3
O00214 P13612
Q9NPI8 Q00597
P12956 Q9H910
Q6P3W7 Q00610
O75818 P78346
Q13432 O43252
P62851 O43147
O75934 P06401
Q13190 Q7L5N1
Q9UNN5 Q9H1I8
Q8WZ42 P20807
Q9H5J8 P06746
Q96RU2 Q9HAW4
Q9NYV6 O95602
P11940 Q8IYD1
Q9HCB6 P05067
Q14061 Q7L5N1
Q96BI3 P49768
O43261 Q7L5N1
Q9HB96 Q00597
P40925 P21695
O14777 Q9Y6D9
P63208 O60907
Q15583 Q9Y3C7
Q9GZT8 Q15555
P36542 Q9NY33
Q96EB6 Q09472
Q9HAV4 P35658
O00165 O95342
P51116 Q9HAF1
Q9H0Q3 Q5RL73
Q13432 Q8TDN6
Q8IW19 P49917
P46379 O95163
Q8WWV3 Q9NQC3
Q9HAF1 Q969R5
P62875 Q15834
O75419 O43913
O43427 P68400
Q9Y6H5 Q7L5D6
P78406 Q9GZR7
P05556 P02751
P50542 O95149
P50150 O14775
Q9NTM9 Q9H1I8
Q99627 Q13572
P38432 Q96HA8
Q8IWK6 Q12959
Q9BVJ6 Q9C0J8
O14777 O95229
Q96JH7 Q13190
P01042 P05067
Q8NHQ8 Q96NE9
O75448 P03372
P05060 Q99700
Q9ULU8 P11532
P51808 P15151
P36578 Q99558
P06746 P27695
Q9BTY7 O95445
Q9NRW7 O14662
Q16478 Q8NBJ4
Q9GZS1 O15446
P21673 P61604
P03372 P51946
Q13888 P19447
P27169 P02768
P01589 P60568
P00966 Q9H1I8
P05556 P10809
Q12906 Q08211
Q12834 Q9H1A4
Q9P2H0 Q9Y2X7
Q16514 Q15542
P37268 Q9BTV4
P32320 Q86UK7
Q9UGJ1 Q9H668
O75553 P05067
P06400 P24385
O75460 P49768
Q16790 P35221
Q9UMX1 Q7Z412
O75446 Q16576
Q13191 P36888
P55084 P05067
P21246 Q9H8M9
P54198 P23759
P38432 Q9NRM2
P46379 Q6T4P5
P02649 P02768
Q12955 Q9UJC3
P27824 P04114
Q8N668 Q86X83
P13798 Q9GZZ9
Q7L5N1 Q9BT78
P68400 P06401
Q96JB2 Q8WTW3
Q8IYF3 Q96M91
Q09472 P03372
Q9H211 Q13416
P17480 Q08999
P54253 Q9NRA8
Q9NV56 Q9NPF5
O60566 P51587
Q9UM13 Q9UJX2
Q7Z628 Q96QZ7
Q92574 P62258
Q6P1K2 Q7L5N1
Q9NRX1 O43147
Q9Y6I8 P40855
P26368 Q9UKJ5
O15287 Q9HB96
O75665 Q9P2H0
Q9UMS4 P04053
Q13867 P47914
P63208 Q9UKT4
P98164 P02649
Q12929 Q9UKN7
P28328 Q9UKR5
Q12929 Q13155
Q9Y3C7 Q96G25
Q92466 Q01831
Q9H633 P78345
P04406 P05067
O00198 Q07817
Q9Y2Q5 Q9UHA4
Q7L5A3 Q15834
Q00403 Q13285
Q96A65 Q13224
Q15041 Q969H0
P35268 Q9UNZ2
Q15642 P18545
Q8WV28 Q96MX0
Q8IUM7 Q9HBZ2
P02753 P02766
Q04637 Q09161
P34981 P49407
Q9Y678 P48444
O14717 Q9BVJ6
Q13371 P17987
Q13901 Q99598
Q92597 Q12906
Q01780 Q96AT9
Q8WXE9 Q9UBC2
P16150 P35222
P32971 P28908
Q13190 Q16891
O00623 P40855
Q09472 Q92878
Q9NQX5 P24385
P62280 Q99558
P18206 P16581
P38432 Q9P2K6
Q9UDY2 P35221
Q9UBQ5 O15372
Q9UNL2 P51571
Q03135 Q13393
Q5M9N0 Q96ES7
Q92621 Q8N1F7
P61812 P05067
Q12874 Q01081
Q7Z7C8 Q16514
Q15648 O60244
P10451 Q8WYA6
Q969G3 P03372
P09874 P06748
P53618 P48444
Q07864 P12004
O60216 Q8N3U4
P15927 Q9BVJ6
Q8IYF3 Q6ZU52
P46527 O15131
Q969H0 Q6ZRQ5
Q99567 P52948
Q96F07 P51116
Q9Y678 P53618
P60228 Q59EK9
Q8TEQ6 Q9UHI6
Q99689 Q7L2K0
Q9UBN7 Q09472
O14832 P00451
Q12972 Q5RL73
Q16518 P02753
Q99436 Q92979
Q9Y2X7 Q9C0J8
P21673 Q13432
Q5JSS6 Q8N0X2
P22314 P16455
P54253 Q9P2G9
O60496 Q96EK5
Q9Y3B2 Q8IZH2
Q9UHR5 O75446
Q9BQ66 Q5T681
P60033 Q9P2B2
O00198 Q92934
O75818 P78345
P78527 P15927
P49755 Q96BI3
O15533 P53618
Q5FBB7 P46779
Q9BVP2 Q9H1I8
O95994 Q9Y3C7
P04406 P04183
P14902 Q9GZR7
O60573 Q9NRA8
Q14061 Q5RL73
Q9UQB8 Q9UKR5
Q08211 P57678
Q96H20 Q9BRG1
Q12972 O76061
O15519 Q07817
Q6PJT7 Q9UPT5
Q9UKX7 O14980
O75354 P54253
O43592 Q00341
P12956 P27695
P08700 P32927
P19838 P01589
Q96H20 Q86VN1
P48147 P01042
P46977 Q9NQX7
P06401 P03372
P48147 P20366
Q9UKR5 Q9H1D9
Q16891 Q9H9J2
P54253 Q86UW1
P21549 P50542
Q92597 P23396
P02649 P05067
P21246 Q9NQZ2
P21246 Q9NPJ1
P42081 P16410
Q92597 P62753
Q9UHF0 O95163
Q9Y6M9 O95163
Q9BTY7 Q8N2U0
Q9BVJ6 O14737
Q9NQ34 Q9GZR7
Q96FZ7 P60002
P54253 O00154
Q9NPP4 O95999
Q8N715 Q9BQD3
P18428 P63220
Q5RKV6 P20618
Q9NQS3 P15151
Q9Y6B7 O43683
Q92597 P21397
P30990 Q99523
O75419 P09884
Q96SB4 Q14739
P27930 P01583
P42081 P33681
Q15185 P31948
P43489 Q13077
P98164 P80188
P68400 P04004
Q7L5N1 Q8N2I9
Q05048 Q12996
Q9BPX3 Q03933
Q15834 Q8NE31
O14744 P54105
P62380 Q00403
P15509 P32927
Q99689 Q9UQE7
P62913 Q13867
O15379 Q8NB12
Q9Y3F4 Q9P0P8
Q14627 P05112
Q96RD7 Q99572
Q9H0Q3 Q9NVX0
P68400 P04198
Q1MX18 Q8TEW0
O60383 Q9Y3C0
P15509 O14920
Q99689 Q9H2M9
P20963 P06127
P12004 P18858
Q15102 Q9GZT6
Q99558 Q13077
Q92994 P06400
P78536 Q12959
O00631 P26678
P51116 Q9NQC3
Q9Y535 O75575
O77932 Q14254
P49005 P12004
Q9Y285 O43390
Q15124 P11532
Q6P2C8 Q15528
Q15645 Q53HV7
O60763 Q14789
Q9NRG1 Q96G04
Q9UL45 Q96LR2
O60671 P06746
Q13094 Q8WV28
P78527 P09874
P30260 Q9UM13
Q9P2M1 Q9UNS2
Q8NFH4 Q8NFH3
O76080 Q15008
Q5JY77 Q6IB77
Q7L5N1 Q9UNS2
Q9NSC5 P21817
Q9Y2T3 Q12959
Q96HA8 Q9UL45
P52434 P62875
O60610 Q13563
Q9H840 P62304
O15514 P53803
P06401 Q9H467
Q9NZJ7 P49768
Q9BUI4 Q9UKN8
Q86YC2 P51587
Q9H8T0 Q9P2H0
Q9UL40 Q12906
O14727 P99999
O60232 Q9NP79
Q7Z392 Q9H0R4
Q5VWK5 P42701
Q02509 Q13873
Q09472 P12004
Q02363 Q13432
O95424 Q8NBJ4
O95870 P03905
Q9P2R6 Q5JSZ5
P78552 Q8TDR0
Q5JY77 P41594
Q13216 Q13888
Q8NB91 P13726
O94986 Q9Y2J2
O95149 O14980
Q12834 P17987
Q9NVI1 Q9BXW9
Q49AN0 O15534
Q9H1I8 Q15650
P46977 Q8NCD3
Q9HB71 P63208
Q99933 P03372
Q99698 Q93074
Q9UIF7 P12004
O15371 P55010
P38432 Q9P2G9
Q9BUE0 Q9Y3C7
Q16612 Q96ID5
Q13029 P06400
Q9NPF7 P42701
Q9UKB5 P35222
O43747 Q00610
Q86UW6 Q09472
O76003 Q9BQ66
Q9Y2D8 Q16385
P23510 P43489
Q16594 P51610
P54253 O15014
Q03113 P16473
Q12968 Q15361
O14717 Q5T3J3
Q96HA8 Q9H773
Q03013 Q9Y3C7
Q96T60 Q9BQ66
P43351 P18074
P32780 Q13888
Q96HE7 Q9BS26
P09466 Q7L5N1
Q99700 Q13772
Q6PML9 Q15596
Q9UBW8 Q6P1K2
O75934 P03372
P41227 P11245
P21673 Q9HBL7
Q96CD0 P63208
P62258 Q9Y4H2
Q13442 P01127
Q8WX92 P03372
Q9HCU9 Q969G3
Q13794 Q07820
Q9NP85 Q9Y5K6
P56537 Q8TC92
Q9UL45 Q6QNY1
Q9BT78 P61201
P54253 Q9H7H0
P04183 Q7L5N1
Q8WUW1 Q96F07
P67870 P17509
P51116 Q7Z6G3
Q9UBU7 O00311
P30876 O15514
Q9UHX1 Q05519
P49641 O95163
Q92597 Q92499
P06753 P0C1Z6
P23921 P31350
P58753 P20963
P22314 O75069
Q86XR7 P58753
P06733 Q9UPW5
O15514 P62875
O75052 P29475
Q9H5Z6 Q15834
Q7L775 O95278
O95251 Q9H8G2
Q9BQ66 Q9BYD3
P00491 Q5RL73
P61289 Q9BXC9
P27694 Q9BTY7
Q15011 P49768
Q92611 P27824
P00491 Q9GZT6
P78527 Q99828
Q9BZZ2 P15941
P19838 O15519
P43034 P11137
Q16558 P00395
Q9BYG5 Q8TEW0
P36542 O43676
Q9HBZ2 Q16665
Q9P2H0 P0CAP2
Q96PN7 Q09472
P28300 Q07507
P40189 P42702
Q9UHI6 Q08211
P36542 Q14181
Q86YW7 Q96T91
P04155 Q86XP6
P16298 P32418
Q12923 P98172
Q9UHF0 Q9GZT6
P68400 O14958
P24666 P35222
Q9HCU8 P12004
Q9BXW9 Q00597
O00220 P51398
Q09472 Q12772
P60033 Q8TDM6
P08133 Q6P1J9
Q07817 P99999
Q99627 Q7L5N1
P20674 P00395
Q15078 P35222
Q99700 P11940
Q9UP83 P83436
Q96FV9 P06400
O14788 P19838
Q6P1J9 P35222
P09874 P19838
Q6UX01 P31025
Q13571 P21580
P60022 Q5UIP0
P27701 Q99567
Q9UI12 P36543
Q7L5N1 Q8IYL3
P46379 Q13190
Q96MU8 O94907
Q9NWW0 P51610
Q15464 Q12929
Q13228 Q9Y3C7
P00751 P0C0L5
P30519 Q7L5N1
O96011 P40855
Q02878 Q99558
O94811 P04406
Q9Y6B7 Q9UPM8
Q8N3K9 Q96EV8
Q8TCG2 P20963
P41159 P52790
P04183 Q14919
Q8IZU3 P11940
Q9Y5K6 Q13563
P08887 P05231
P68400 Q9NQB0
Q96RK0 Q969Y2
Q9UN86 P19838
Q15393 O75533
P54368 P54253
Q14061 Q5T3J3
Q92624 Q8N140
P12956 Q00610
Q92597 P60228
Q9NZ42 P49768
Q5FBB7 P13010
Q13765 Q96ID5
Q13077 P19438
Q6IAA8 Q9GZT6
Q96EC8 Q9BWQ6
P62424 P0CAP2
Q92845 P25054
P37108 P49458
Q16589 Q15257
Q12959 P82930
O14745 Q03431
Q14181 Q8IW50
P46379 Q16891
Q99836 P51617
Q96QU8 P07737
P0C870 P04278
P13693 Q07820
P40933 P31785
Q96KJ9 P99999
O14920 P19838
Q92624 Q4U2R8
Q6QNY1 Q9NUP1
Q13620 P03372
Q13794 Q07817
P68400 Q6VY07
Q14643 Q9BS26
P51587 Q9BXW9
Q99700 Q96EK5
Q5FBB7 P62906
Q99547 Q9UKR5
O75182 Q9Y6D9
Q5JVS0 Q07021
Q96E40 P49903
P04843 Q6IA17
Q9UII4 P24385
Q13873 P00540
O15315 O43502
O95551 P28908
Q8IUW5 O95747
O00161 Q12846
Q00403 P13984
P00505 Q9H6R6
Q13889 P19447
Q9Y624 O75970
Q8NBJ4 Q9GZP1
P31785 P16871
P20674 Q7L5N1
Q13503 P10827
Q9P2H0 O95251
O77932 Q01780
P48552 P03372
Q15714 Q9GZT6
Q07820 Q9UMX3
Q00403 Q13772
Q9UBW8 Q9UNS2
P67870 P03372
Q9Y294 P54198
Q92966 P06400
Q9NWT6 O15379
Q92597 P39023
P51003 P09012
Q96CD2 Q96BT3
Q09472 Q10571
Q9NXU5 Q9BWH2
Q07507 P46379
Q9Y3C7 Q9GZM7
Q9NWF9 O15455
P20618 Q9Y244
P49366 P32969
P21359 P62380
Q9BZW7 Q16665
P21359 P05067
Q9UPT5 Q96A65
Q92572 O14617
P24666 P06213
O14980 P35869
Q99665 P29460
Q15274 Q9BQ66
P17540 Q5T3J3
P62805 O60907
P54253 Q70EL1
Q5JY77 P20309
O95793 P05388
P13010 P12956
P54253 Q9NRX4
Q9UKG1 O94776
P68400 P84090
Q13347 P03372
P32780 P49736
Q969H0 P63208
Q13155 P07814
Q16576 P06400
P35222 Q09472
P21673 Q9UKR5
Q13901 P78527
P03372 O15514
P26368 Q9UHX1
O43929 Q13416
Q99828 Q14596
Q9GZT8 Q96H20
Q8N3L3 Q12846
O14980 P49792
Q96CS2 Q7L590
Q15650 P19838
P35869 P06400
Q9Y6B2 Q09472
Q99967 Q09472
Q96PN7 Q13285
Q92556 P98174
O43929 P24385
Q9Y6J0 P16298
P51116 Q5T681
P61289 Q64LD2
P30519 Q5JY77
P37268 Q15041
P61289 Q7Z3B3
Q9BQD3 Q9UPT5
Q8NDV3 Q9UQE7
P10827 P24385
Q9Y6D9 Q9Y2J4
Q9BX74 P05067
P53621 P48444
Q07820 Q13323
O43427 P67870
P03886 Q16762
P26639 P12081
Q14442 P37287
O43809 Q5RL73
Q13432 P07766
Q9BZW7 Q14134
P15927 Q9P2H0
Q9UN74 Q9GZT6
P09919 Q99062
Q9Y221 Q76FK4
Q96G25 Q15648
O60383 Q13873
Q92597 P51659
P53602 O14775
Q12929 P05556
P06127 P21854
Q9HCC8 Q70Z53
Q5T5C0 O00161
Q5VWN6 Q15834
P62258 Q16635
Q9NYG5 Q13042
P49792 P0DN78
Q969Y2 Q9NP50
Q15388 Q9P2H0
P27930 P01584
Q9UBD5 Q99741
Q92878 Q6NUQ1
P54253 Q96IP4
O75146 Q00610
P07766 A0A5B6
Q9UNS2 P58340
Q96RL1 Q15406
P51811 P68400
P57739 Q9BQ66
P46952 Q99259
Q05586 P21359
Q13200 Q8WVY7
Q8WVM0 O00411
Q8IW19 P78411
P80108 P05187
P10124 P02768
P14778 P01584
O75716 P02686
Q5BKT4 O95259
Q9H5J8 P17480
Q9UMX1 O00422
P06213 Q9Y4H2
Q99700 Q9P1U0
Q9UP83 O15553
P49754 O14617
Q9UKR5 Q9NRX3
Q16553 P20963
Q9Y5N6 Q99741
O14980 Q12824
P61247 O00422
P21673 Q96BY9
P60228 Q9GZR7
Q9NX18 Q9GZT6
Q9GZT8 Q9BQD3
P21246 P47756
Q15291 P06400
Q14181 Q9H1I8
P16870 P27694
P21673 P49903
Q6UB99 O15379
P30519 P05067
O95219 P48357
P80108 P17900
P01275 P16870
Q9UFN0 Q8NBJ4
P12956 P09466
O60241 Q9H0R4
Q5THR3 Q99497
Q96RR1 Q9H8T0
O95251 Q9C0J8
Q9Y3C7 Q9H6R7
Q08999 Q6NUQ1
Q9H981 Q13873
P20366 Q8TER5
Q9Y3I1 P63208
P49815 P46527
O94906 P03372
Q92994 P68400
O14727 Q07817
Q9H467 P03372
P02774 Q6P1J9
Q15650 P03372
O00161 P51809
P27694 Q13228
Q15834 O43663
P50454 P17480
Q15573 O15446
Q8NF91 P02545
Q9NQX5 Q9BQ66
O00267 P63272
P15822 Q92979
Q13573 Q06330
Q9UQ80 P06400
Q96A72 Q9Y2J4
P34897 P67870
P13612 P13611
Q14524 Q12959
O75150 Q9Y4E5
O75716 P19419
O00161 P13569
Q04637 P55010
Q13432 Q9H0Q3
Q96SB4 P04553
P30154 P13569
P43351 Q14191
Q8N807 Q96HE7
Q7L622 O00453
P16870 Q14181
Q96G25 Q9NVC6
P24522 Q13561
Q9P086 Q96G25
Q5JTD0 Q12959
O14777 Q9Y2J4
Q12802 Q03113
P11150 P04114
O60732 O75964
P78417 Q9P2H0
O60925 Q9Y3C7
P57678 Q9UHI6
Q9Y3A3 Q5T3J3
P49959 Q9BXW9
Q14191 P78527
Q8WXF8 O15519
O00499 Q9Y2H0
Q9NXU5 Q4V328
Q9Y6H3 P12956
P35869 Q09472
Q9UKI8 P02686
O95721 O43752
Q9NX01 O94906
P54253 Q8TE02
P15018 P40189
P03372 P35222
P47901 P01185
Q9BTX1 Q8N1F7
Q9BVC4 Q8N122
P12004 P24385
P07737 Q8TDM6
Q9NZL9 P31153
O15503 P04035
Q7L590 P24385
Q12923 P25054
O94777 Q92535
P21246 Q9UNI6
O43633 Q13144
Q6NSW5 Q8N2U0
Q9BRA2 P01185
P21246 Q9BTY7
P05060 P17480
P04406 P15927
O95163 Q9NX18
Q9Y4H2 P17480
Q9GZN7 Q9P2H0
Q99575 O95707
Q9UJX6 Q8NHZ8
Q13228 Q5T3J3
Q01831 P19447
Q99698 Q96DF8
O95721 Q96LR2
O43927 Q99731
Q14134 Q8NHQ1
P20807 Q7Z6G3
P00367 P00505
Q8WV28 Q13191
P12956 Q96FF9
P52272 P06731
Q5TCY1 P47710
Q08211 O95793
P84090 Q7L5N1
Q8WTV0 P02649
O60760 P52790
Q9NRX3 Q9GZU0
Q11203 P02766
P68400 Q9UD71
P00966 Q9H8T0
O43147 Q9HCC8
Q16891 Q9H1I8
Q99689 Q16891
P48736 P40189
P62917 Q9H6J7
Q96T58 Q03181
Q9BS86 Q05996
P45974 O75528
Q9Y5N6 P49736
Q06495 O14745
O15379 Q92828
Q9UIA9 O43592
Q16594 P22314
