Q9UKA4 P10644
Q9P2A4 Q6ZU52
P54259 Q12805
O15111 P21580
P04406 Q13554
P07384 Q9NUQ7
P54764 P11362
P25025 O95837
P54253 O15014
Q71SY5 Q15648
Q15797 P08621
P12956 Q15102
O95407 P48023
Q6NZY7 P60953
Q99856 P15924
P13598 P11215
P54253 Q8N1N0
P24864 P28749
O00499 Q13426
P05109 Q5T3J3
Q05586 Q13813
O00470 P20719
Q6W2J9 Q13547
Q969W9 P46934
P23511 Q9H4I2
Q9UK53 Q13547
Q13561 Q8NBJ4
P63279 Q9H444
O00303 P04278
Q9NYB0 Q92878
O75563 P07948
O14678 Q96BY9
Q8NET5 P43405
Q96CG3 Q9Y4K3
P42336 P01111
P61006 P46379
Q93045 Q9UL62
Q04771 P10828
P28482 P15391
Q96G25 P24863
P78337 P18146
P08670 Q9BW27
P19388 P62487
Q96RL1 Q9C086
P43489 Q9BUZ4
P51843 P61201
Q9Y6J8 P36897
P63261 O95084
Q12972 O76061
P62328 P62736
Q13087 P04406
Q5TA45 Q9NV88
P49810 P21333
Q9ULJ8 P63261
P11532 P68133
O14757 Q9UKI8
Q96G25 O75586
O15105 Q15750
P30279 P06400
P00533 P31151
Q9HCM9 Q9Y2X8
P52333 P35568
P06858 Q02543
Q9NS28 P04899
Q969H0 P46531
Q08116 O14908
Q12933 P43489
O75446 P25490
P20226 P04637
P49286 P63096
P02686 Q15759
Q9UNK0 O43889
Q15047 O14530
Q9Y2X7 O75334
P03372 Q02447
P17948 P16333
Q16630 Q9BSL1
P01732 P13747
P30260 Q9UM13
P16234 P46108
Q9BUZ4 O43294
Q13469 P63098
Q15139 P27348
P14598 Q9C026
O00470 P31268
P12757 O00257
Q93052 P56134
Q12929 P05556
Q8WYP3 O00499
Q9H0H5 P52198
P98171 P01111
Q9BQY4 Q96JH8
Q13627 Q12778
O00305 P21246
Q09666 P04271
P78381 Q99750
Q9UMX1 Q06330
Q9Y221 Q76FK4
Q96NA2 Q9BZG1
Q99717 P23246
Q15369 P40337
P05129 O00471
Q9UI14 Q8N612
O75530 Q92800
P50395 P51151
P41227 Q96KQ7
P68104 Q05516
P49703 Q8IWV7
P54252 P29466
Q5T0L3 Q15834
Q15560 O14907
Q13526 P23443
Q9UKT9 P01112
Q9Y239 O43353
Q8WYK2 P17275
Q06187 P51813
Q14683 Q14980
Q9H5Z6 Q15834
Q8TES7 Q8IY31
Q9Y294 P21675
Q8TDB6 Q8IXQ6
Q09028 P04843
Q9UNZ2 Q13190
Q9BXH1 Q16548
Q9UQC2 P19235
Q15910 P28072
Q05655 Q5JVS0
O14579 P84077
P50454 P17480
Q9P1Z2 Q9HA65
P41134 P55036
Q15012 Q13509
Q86XR7 P58753
Q9Y3C7 O95257
O75553 Q07954
P52630 Q13547
Q9UHY8 Q96PY6
P63104 Q00536
Q13651 P22301
Q99704 P16333
P84022 Q13445
P09429 P14316
P62979 Q15796
P04183 Q14919
P24928 P61218
Q9UER7 P29590
Q13671 P62258
Q02078 P50553
Q96IK5 P50402
P22670 P31629
P06241 P12318
Q15464 P46108
Q9UQ84 P43246
O43683 P78406
Q9UHI6 Q15833
O75376 O60907
Q13136 P23468
Q13371 P17987
P40337 O14709
P09769 Q99704
Q13501 P36897
P61981 Q14161
O00206 O60602
Q9UL45 Q96LR2
Q06265 Q13838
Q9Y265 P35222
P20936 P29317
O95400 Q92530
P53350 Q01538
Q13352 P19793
Q86VF7 Q9Y490
P06400 P15336
P21333 P35462
Q15834 Q9UJ04
P62714 P10636
P24386 Q9NP72
Q8NFH4 P36897
Q9NNX6 P11215
Q92793 Q10567
Q9Y2D1 Q9UBS5
P49137 P11831
P35579 P24844
Q9P286 P60953
O15162 Q96RN5
Q8N5J2 O95777
Q14164 P08238
P98095 P08572
Q13485 P41235
P61981 O43524
P17096 P08047
Q7Z6J0 P31751
O60934 Q8WXE1
Q15363 P49755
O15255 Q9UMX0
P28300 Q07507
Q03135 P20333
Q92786 O00482
Q15833 P62318
P26718 Q8TD07
Q92990 P62942
P07093 P00734
P63104 P16471
Q9UJY4 Q14677
P14625 Q15399
Q6STE5 Q13285
Q96CN9 Q9Y2J4
Q969L2 O43399
P35638 P53567
Q15047 Q96RU7
Q96CN9 Q9Y2I6
Q99741 P25205
Q04917 Q9BYG5
O43464 Q15121
P53355 Q8IZJ1
P54253 Q93062
P52799 P16284
P11274 P12931
Q9UNI6 Q9UI14
Q5U651 P10301
Q96DN0 P30101
Q9NSB8 Q14643
Q15836 Q12846
P04792 P99999
P29965 P25942
Q12815 Q13895
Q9BXH1 P10415
P54920 Q9NQC3
P33076 Q2QGD7
Q6VMQ6 Q16557
O60264 O75444
P06732 P12277
Q96T23 O60264
Q13443 P23229
P11912 P06127
P14625 P07306
P43121 P06241
P26368 Q9UKJ5
P22681 P15498
P15813 P04233
Q14511 Q02363
O75899 Q9Y2D1
O15169 P35222
Q8TC59 Q9UPY3
P16298 P32418
P51677 P10147
O60318 Q9UKK9
P60953 P45983
P61981 Q9UHB6
Q9NPI9 Q99712
O00268 Q6P1X5
P49790 Q9GZY0
P10828 Q13901
Q96JC9 O00472
P05783 O95751
Q9UKR5 Q9BUJ2
Q9Y383 O95257
Q16594 Q00613
P00533 Q15303
P28482 P26651
P84022 P51587
Q14686 P06400
Q15583 P09429
Q9H204 P06241
P63279 P09936
Q13813 Q9Y5U2
O14745 Q92887
Q9UQN3 Q9C005
O60268 Q8IX03
O43557 P36941
Q15306 Q99836
P80192 Q7Z6J0
O60262 P62873
Q7L590 O00311
P60896 P51587
O75150 O14933
O43426 Q96B97
Q99684 Q06455
O94985 Q9H0B6
P49137 P31749
Q8WWV3 Q9BZR6
Q96H20 Q9BRG1
P21246 Q15388
O96013 Q86YP4
Q9C0K7 P98170
O14924 P08754
O95471 Q07157
Q9NPB6 P36897
O95967 Q8NEC5
P02458 P21941
P11912 P55107
P48039 P26641
P48051 P14416
Q32NB8 O95166
O15460 P07237
P49913 P25090
Q9UBF2 P53618
Q04724 P84090
P68400 P17096
P61956 Q9UBE0
P53350 P49736
P35968 P29992
P30154 P67775
Q13501 Q16620
P49023 P23229
P50336 Q16891
P54252 P51665
P08700 P32927
P68400 P49810
Q13291 P09769
P14555 P07585
O76061 Q9NR50
P07359 P08311
Q15637 O15162
P09429 Q9UKR5
P98161 P12814
P16581 P35609
P17612 P48058
P04629 P62834
P63167 Q99707
Q04759 P31749
P48775 O95671
Q6IB77 Q5RL73
P07237 P15813
Q9BX74 P05067
Q13426 P49917
Q96A00 P05129
P98082 Q96CW1
P68400 P08047
Q92597 P27824
Q13111 Q9UIS9
O75410 P62308
Q9UPR5 P62258
O60269 Q9BQ66
O14543 P40189
Q8NCF5 Q13469
O00165 P08183
Q9H939 P04278
P02751 P02458
O75478 O95990
Q13263 P04150
P08253 Q02388
P01040 P07711
P52798 P29322
O75712 Q07157
O43541 Q15797
P16473 Q5JWF2
Q9BT78 Q93034
Q9H0D6 Q9H0E2
P16671 P05556
Q96CJ1 P55199
Q12959 Q13224
Q03013 Q04724
P08238 P03372
P27658 Q9NRR5
O14641 Q9BXS5
Q7L590 P33991
Q9UPN9 O15164
P09529 P27037
Q7Z6J0 Q16584
P00918 P02730
P60896 Q5JVF3
Q99748 P07949
O94829 P47813
Q92834 Q9UQE7
Q8NAM6 Q15797
P35226 P21246
P04156 P00747
P67870 P17509
P30154 P13569
P01023 O00193
O43186 Q8TC57
P55884 Q13347
P33991 P33993
O60507 P41597
O95372 Q9Y3C7
Q8WXG6 O14763
Q08881 P51813
Q15149 P11137
Q13557 P35609
Q13114 Q02750
Q14289 P22681
P01185 P30559
Q06124 P08069
O95084 Q9H0H5
Q05513 P60953
Q13177 P06241
Q16594 Q13469
Q6EEV6 P30041
Q15024 Q9Y2L1
P09471 Q08116
Q9Y3B2 Q8IZH2
Q92793 Q9UI36
P29466 P00533
Q13191 O43639
Q5RKV6 P20618
Q16526 O15534
Q14005 Q13224
Q8IZH2 P09651
O14777 Q9BZD4
P26045 P55072
P42566 Q15811
Q6XZF7 Q9Y2A7
P24071 P67775
Q16520 P80217
P40222 Q12846
P27361 Q13177
P46531 Q9Y6R0
Q16665 P27361
P16109 P22083
Q13422 P63279
O43557 O95407
O60383 Q99547
P60709 P68032
Q14974 P52948
P21246 Q9H8M9
Q13619 Q16531
O43889 Q16649
O75822 O75528
P20151 P35237
P43686 P17980
O75553 P98164
O14558 P61981
Q9UBB6 Q99698
Q96QT4 P19174
P49715 Q92793
O60869 P18846
P10275 Q9NYW8
P60484 Q6P0Q8
P18428 P08571
Q96GD3 P0CAP2
Q15118 P23443
P32248 P46092
P62314 P14678
P16671 P21926
P02686 P01903
Q9NVV9 Q9H9D4
Q13526 P10415
P22607 Q96JH8
Q15139 P16885
P51955 O14777
P78314 P15498
Q53FA7 Q9BWH2
Q15139 P05412
Q9UPQ3 Q02153
Q9BW71 Q9NUQ8
P63010 Q96C10
Q06124 Q9UQC2
O43908 Q9BZM6
P43088 P41222
P15498 P19235
P27448 Q96ER3
Q06124 P29350
Q02818 P19086
P11487 P21802
P06239 Q9H4E7
Q13351 P19784
P26367 Q9NSC5
P04070 P35237
Q9Y2I1 P08648
P38398 Q15796
Q13077 P21580
P09917 P62993
P62834 Q9UNN5
P38159 Q92530
O95373 P07305
O75970 O00501
O60921 Q13547
Q9NRR5 Q9H6J7
P09326 O95256
Q02447 Q01094
Q92558 Q9Y2A7
Q13469 P18146
Q05655 O15162
P61981 P31946
Q9Y3E1 Q9HCE7
P22681 P31946
P10275 Q16666
P11802 P38398
P46531 P22681
Q07002 Q15834
P29590 O15379
O60239 Q06187
P49767 P35968
Q9H427 P63104
Q9BT78 Q8N6Y0
Q6GYQ0 P15923
Q8WY41 Q8TB72
P07951 P05412
P31749 O15360
P54257 O95295
P17096 P10914
P36897 P62987
Q9BX69 Q9Y239
Q9NS68 Q12933
P35968 P07947
P26006 O14817
Q92831 P33076
O15126 O00161
P10747 O00459
Q03113 P17252
O15524 Q9P1W9
P28482 Q13285
P36957 Q9H6F5
P14784 P07948
Q16594 Q15542
P54253 Q7Z570
P35638 P18848
Q15797 Q9Y3M8
P27361 P54829
Q9H2S1 P0DP25
Q92597 P08473
Q96NY7 P14416
Q30201 P02786
P21673 Q5RL73
Q86V81 Q9UJU2
Q9UQB3 P06239
Q96S55 P49005
P09237 P07585
O43464 Q16539
O43603 P22466
Q13535 Q9HAW4
P05771 O14641
P61923 Q9UBF2
P04150 P16220
O14920 P30086
P02675 P14543
P48436 O75444
P43378 O95197
P05771 P26010
P20337 Q15797
P62380 Q15286
Q5JWF2 P13945
Q92783 P23458
P98160 P23142
P45984 Q9P2H0
Q96KC2 Q13485
Q01844 Q96MA1
Q03135 P21453
O60238 Q07817
Q9BU76 Q9H190
P0DPH8 P63167
Q8NG27 Q8IYI8
O60934 P78527
P27487 P16619
P57105 Q13705
Q6X4U4 P12644
P17612 Q12809
P06241 P20916
A3KMH1 Q96KG7
Q16539 Q9Y6Q9
Q08211 P20226
P51617 Q06187
Q12816 P01100
Q6XZF7 P68133
Q96RJ3 Q9Y275
P53667 Q13873
P16473 P50148
P41222 P54253
P50570 P23284
Q96C74 O75969
P61978 Q96PU8
O75460 Q99683
P14921 P04150
Q96QZ7 P98164
P10636 P06241
Q9H444 Q96FZ7
Q5FBB7 Q15172
Q96QF0 Q16385
O15085 O43157
P30622 Q15555
Q9H204 Q96HR3
P00491 Q9UKY1
P11215 P01024
P15509 P10721
Q13155 Q8TAP4
P62837 Q99942
Q15560 Q8TES7
Q9Y4J8 Q13424
P26012 P04004
P20337 P36897
P21246 O43765
O95777 Q9Y333
Q9UH92 Q9Y6D9
Q07960 P12931
Q6WN34 P43026
P45973 Q14739
Q9UK53 P04637
Q9BWF2 Q13045
Q9P2S2 O14936
P49841 Q96G01
Q8N490 O14950
P39880 Q9BQ52
P11142 O95817
O43663 Q9H0H5
Q96IF1 P35221
Q9HBH7 P08138
P27449 P27448
O15379 P13056
Q14190 O60260
Q96K80 Q93062
Q70CQ1 Q9NVC6
Q92793 Q9HC77
Q9NS68 Q9Y4K3
Q96T83 O15126
Q13114 Q02223
P06401 P12931
P18887 P38398
P10275 P30305
Q9Y376 Q15831
Q9NSN8 P36897
P24941 Q99626
P68400 O75379
P21246 Q13200
Q8N2H9 O43318
P17301 P03956
O14920 Q04759
Q86SG6 P36897
Q92793 P40763
O95218 P25490
Q86UQ8 Q12800
P08138 Q15628
Q00535 P12814
P10827 Q14686
Q9P2R6 Q16610
Q9NZR2 P00750
Q6EEV6 P52597
Q15014 P06400
P17252 O75689
P12931 P10827
P54253 P61421
P49641 Q9Y383
P11362 P62993
P31269 P40425
Q13444 O15259
Q13571 O95208
P19387 P19388
P26368 Q01081
P24928 P19388
P12931 Q12778
Q9UQF0 Q15758
Q99828 O14746
Q13115 Q16539
Q86UW9 Q9UM19
P56524 Q9Y230
Q9NUP9 Q9UQB8
Q03113 P30153
P68104 P15927
Q15544 Q15542
Q9UQ80 P10275
P26641 Q96KR7
P0CAP2 Q96FK6
P29590 P68400
P62310 P62318
O75791 Q07890
P21964 Q15645
Q6P1X5 P21675
Q14643 P07948
Q07666 P16885
Q15649 P19793
P36957 O96013
P49910 O14641
P19387 P15173
Q13705 O14793
Q9H9D4 Q9HAU5
Q01955 P0DJI8
P19793 P24522
O75145 Q13332
P04437 P04234
P78527 P12004
Q16816 P15735
P84077 Q9Y2W2
P00533 P42566
P04156 P62993
P55212 O95155
Q9NQ66 O14924
P30519 Q9Y2X7
Q13797 P49023
Q06124 P35568
O75925 Q6PJP8
Q8N0X7 O95405
Q86YT6 Q9Y5X3
Q13535 O75943
Q92599 O43236
P0DP25 Q14833
Q00577 Q01094
P22681 Q9GZY6
Q7Z2Y5 P23528
O60674 Q5TA89
Q9Y618 P27540
O14757 Q13616
Q9BV36 Q9Y4I1
Q9UBU3 Q92847
P62508 O94989
Q13393 P84095
P22455 P54764
P47872 P17252
Q86WC4 O76081
P54762 P52799
P25942 P22681
Q9NRA8 P84022
Q9NQP4 Q13885
P0CG47 Q16620
Q86YN6 P03372
O00161 P54920
Q99418 P84077
P38936 Q6EMB2
Q9HAU4 Q6SA08
Q9UER7 P46100
P06681 P01024
P30154 Q16537
P05106 P02679
P54253 Q6ZMT1
P51948 Q5T3J3
P50148 P35368
P02649 P26441
P47871 P01275
P36896 Q8N6C5
Q15788 Q13285
P06213 P35568
O75376 P35609
Q15034 P62987
Q9UBF2 P21728
P98082 P98164
Q96A23 Q99829
O00291 P46783
P23945 P62979
Q8TDC0 O15273
Q86YP4 Q92831
P08235 P63261
P10828 P19793
P25788 P14678
Q99689 Q14919
Q96BI3 Q92542
P20963 P06127
P26641 P12081
P15941 P62993
Q9NZN5 P08069
Q8TDC3 P30307
P57740 P35658
Q13255 P25098
Q9HAU4 P36897
O00560 P20339
Q96RT1 O95405
Q92793 Q14676
Q13415 P33993
P25789 O14818
P24394 O60674
Q5FBB7 P62714
P04150 P24468
Q16594 P21675
O15055 O15534
Q7LG56 P23921
Q6W2J9 Q99829
Q14974 P48729
Q86U90 O75884
P51159 P10144
O14776 P26368
Q13224 O00189
P36873 P06400
P06702 P05109
Q9H4G0 P27348
P30408 Q08345
Q8NEZ2 Q99816
O14980 P42224
Q8N668 O15524
Q9Y6D5 P13861
Q12962 Q6P1X5
Q9Y3R0 P04150
O43823 P17844
P11498 P00505
P06241 Q13291
Q12933 Q13261
Q05516 P08047
Q13568 Q14653
P16860 P17342
P00533 P18031
P62875 Q15653
P46527 Q92905
Q7Z7C8 P49848
P50542 O95149
Q9NPD3 Q9HAU5
Q96CW5 Q9NRH3
P54296 P35579
P19784 Q9UNN4
Q02413 Q02487
Q8WYH8 P08670
P14373 Q96SI1
P63279 P27695
P50750 O75909
P20248 Q00526
Q13409 Q9H307
O00238 Q9NYS0
Q00534 P55273
P12004 P24522
P35555 P35556
P50750 O94992
P29350 P42702
Q92994 Q08999
P05771 Q99418
Q9UDY2 P61981
P68400 Q13351
O95819 P05556
Q969U6 Q9BQ66
P63172 Q13873
Q92851 Q13077
Q16559 P15923
Q92793 Q04917
O43809 Q9P2H0
P48729 P60709
Q96RI1 P04406
P09958 P04085
Q92730 Q5T124
P53350 Q13526
P04179 Q9UGY1
O43815 Q6VMQ6
O43613 O43612
P11473 Q9H0R8
O96013 P18084
Q96BD8 Q9UL45
Q9ULV3 P38936
Q01101 Q13509
Q9Y5A7 Q15843
P51681 P51671
P56537 O75665
O00220 Q15628
P62312 P62316
Q04912 P63104
P61981 Q13136
Q9H5Q4 P00491
Q14289 P07948
Q9UBX1 P04233
Q9HCU9 P21675
P54132 P27694
Q13322 P11274
O43765 Q96SL4
Q9Y4Y9 P62304
Q15800 P54253
P25963 Q9Y2U5
Q13094 P16333
O15360 Q13813
O43924 P61006
Q15436 Q00536
P21926 P13987
O75445 Q01955
Q9NWF9 O15455
Q9UMX1 Q15047
Q15796 Q9UJX6
O15235 Q9UKR5
O60331 P62330
Q96FN4 P60709
P17028 Q9P2H0
P04626 P62993
P53041 P30260
Q16352 O15399
P12931 P00533
P19838 P01589
Q02156 Q96A00
Q01130 Q01081
P11277 P02549
O95999 P55211
P20042 Q9Y4G2
Q13261 P40933
P48357 Q06124
Q08495 Q86YD1
P16284 P06241
P35968 P62993
O00238 P67775
Q9NYQ7 O43147
P04233 P16070
O43524 P63104
P42336 Q9Y4H2
P27986 P08069
Q9UPR3 Q92540
Q9UM13 Q13042
P63010 Q9NVV9
P36406 Q0VDD7
P61981 Q96B36
Q09472 Q15788
P54253 Q969X2
Q13621 O95747
Q96B26 Q9Y613
Q9UBK2 Q15788
O76027 Q9HCE6
P23142 P05556
Q9Y6M9 Q99689
P07947 P20936
P02654 P02652
O75791 Q92918
Q6EEV6 Q15102
P01562 P20023
O75312 P68104
Q9Y6D5 Q9Y6D6
P61019 Q9H8Y8
Q04724 P55316
Q9Y337 Q02413
O00170 P27540
Q99743 P19793
Q14191 P27694
P28482 Q15788
P55060 P12830
P61981 Q9H0B6
O60674 P32927
Q9Y620 Q9UK33
Q53EL6 P46777
O76064 P51965
Q06124 P16410
Q14994 Q9UBK2
Q92754 Q99966
Q9NWT6 Q8WXK3
P48552 Q04917
Q6ZW49 Q02962
P63010 Q9NVZ3
Q16820 P07492
O95257 P62826
P54652 P06493
Q96I24 Q96PU8
P35372 O60437
P31997 P40199
O75081 P13861
P20701 P05362
Q8IW41 Q16659
O95985 P28799
P28222 P08908
P54132 P39748
P15502 P07585
Q99735 Q9H0R4
P12931 P08069
Q13838 Q13509
Q13571 P42566
P53611 P20336
P11142 Q99966
Q13485 P13987
Q9Y6X1 P60468
Q15154 Q9P209
P42229 Q9NRG1
Q16181 O14613
P62879 Q9H1X3
Q9NS23 Q13043
Q7Z6A9 Q06124
Q9NS91 P63146
P49841 Q9Y2T1
O95994 Q9NRR5
Q9H0T7 Q9UI14
P63279 P19438
Q9H6Q3 P43403
Q13242 Q07021
Q15648 O60244
Q13489 Q13077
Q9UIF9 Q13547
Q16674 P02751
Q5SW96 P05067
P30307 P27348
P49639 O95967
Q96N67 P61981
P43364 Q8NEG5
Q14807 Q16891
P54259 Q96EP0
P28702 O43791
Q13285 P35222
Q8WUH2 P36897
Q14451 P06213
Q9UKR5 P19387
Q9BXS5 P01833
Q08881 Q06187
Q86Y22 P09958
P11142 O75528
P54108 P04217
O00186 P14678
O00308 Q9NR12
P04626 P16144
P40429 Q8NBJ4
P61586 P36897
P14222 P10144
Q16143 P05067
Q9Y6Q5 Q9BXS5
P02647 P54750
Q92597 O95573
P05305 P46379
Q04206 Q08211
P23258 P38398
P17538 O95274
Q8WXI2 Q8NI35
Q99985 O60462
P51665 P62820
Q96A23 P35241
O75410 O95619
P12931 Q14721
P43358 Q8WW24
P12956 O15105
Q8N668 Q9UBI1
O14512 P16333
Q9UI36 Q96ST3
O43633 Q9UN37
O43572 Q5T2W1
O14641 Q8N4T4
Q9GZV1 O15273
P51532 P60709
Q13459 Q9Y3A3
Q86YW5 Q06124
Q8WU20 P04629
P52292 Q04206
O60341 Q16695
P24928 P19387
Q04724 P49703
P22681 P16234
P42574 P51813
P78396 Q9BWF3
P32246 P23458
P34932 P52292
O00311 P33993
O95477 Q8TDM6
Q9Y2K7 O15105
Q13642 Q06587
O14757 P30305
Q99250 Q86XS8
Q99814 Q09472
P01236 P23284
Q9BYE9 Q6P0Q8
Q92973 Q16695
Q96F46 Q16552
Q9UL54 P68366
P17482 Q93062
P27694 Q15560
Q13330 P63167
O43298 Q8TAP4
Q9HBZ2 Q16665
O60684 Q14974
Q15047 Q15714
Q16695 P52294
P52565 P14923
Q9UHY8 Q99689
P15976 Q8IX07
O75448 Q07869
P24941 P49005
Q9GZM8 P62258
P51965 Q5JTY5
P28482 P14921
Q96AE4 P51946
Q9NQC7 Q9Y6K9
P63172 O14576
P06493 P23443
Q96S94 P24928
Q99708 Q8IV36
Q9UKK6 O14980
Q9Y3C7 Q96G25
Q9H211 Q13416
O15273 O14793
Q8WZ42 O15273
Q8ND90 P0CW24
Q99704 O60880
O14713 P98164
Q09472 Q92793
P22681 O43561
P07858 P00797
P06241 P16070
Q13485 P19532
P12004 Q00535
P17931 P12318
P54253 O14901
O95967 Q14966
P26038 P51572
Q06323 P08670
Q6PIZ9 P04437
P15311 P35222
Q15848 P55290
P35813 Q14832
Q9HBE5 P23458
Q9NQT4 Q01780
P19784 Q13144
P37198 Q9GZY0
P05305 Q7L5N1
Q96FJ2 O96015
P14209 Q15645
Q9Y6U3 P63261
P13861 Q92558
Q8N0X7 Q71U36
Q16206 P43364
Q9H6R7 P08631
P11171 P05067
P55036 Q9UMX0
O75558 Q9BQD3
Q9UHA4 P36507
Q8IVW6 P06400
Q8N668 Q86X83
P27361 Q02750
O15379 P48643
Q9Y6W5 P06241
Q13043 P47710
Q9BWT7 O95999
P55345 Q96MA1
Q8N4C8 Q8IZP0
P49841 P53805
O15164 P29083
Q92997 P98082
P51693 Q15714
Q8TDB6 P62837
P42574 P06400
P41143 P32121
P51790 O14745
P55036 Q8NHQ8
P43088 P43116
P52566 P15498
P57796 O60840
Q13685 Q8IXH7
P24928 P62875
O75771 O15315
Q9NPB9 Q99616
P05107 P08571
P19484 O75030
Q96KB5 P10398
O15392 O14980
Q9BZK7 P62805
Q14500 Q13424
Q9NRI5 Q15811
Q9BQA1 P62318
Q02410 Q00975
Q6P0Q8 Q9Y4K3
Q9NR12 P05771
P17948 O60462
P16471 P62937
O14964 O75886
Q7L5N1 P60228
Q5T0N5 O43147
P68104 P63167
P45985 Q02779
P17482 P21673
Q96CF2 Q8TEL6
O43684 O43683
P19012 Q7L590
P02792 Q12852
P07711 P01034
P09619 P29597
Q9NPI9 P63252
Q9UBW8 P61201
P42285 Q9NQT4
P07949 P27361
Q12959 P06239
O14939 P35372
O75925 Q15744
O75888 P25445
P04637 Q9UN74
P19338 P19784
P07384 P25116
Q9UI32 Q92796
Q9UII4 P24864
Q03468 Q13216
Q12959 Q9UM54
P15529 P01024
P11597 Q01844
P49841 O15169
O43426 Q00535
P26641 P24534
Q969J3 Q9UHX1
P62487 P49842
Q15466 P55055
Q9P0J1 P08559
Q15059 Q9NPI1
Q13432 Q9NRR5
Q13309 P61024
O75419 P33993
P54252 Q9BSU1
P31749 P18031
P07949 Q6PKX4
P22415 P15407
Q9GZP0 P09619
O15399 P11137
Q01844 Q8WWF6
P09210 P08263
Q03393 Q86U86
O75460 P11021
P54253 Q9Y6X8
Q9NZW5 Q9NPD3
Q9UHD2 Q12933
P68400 Q712K3
P12956 Q14687
P78364 Q96GD3
P52434 P62875
P49356 P49354
Q7Z7K2 P42224
P14780 Q15726
P07478 P01009
Q9UBW8 P04637
Q14994 Q15648
P05106 P14543
P20338 P04179
Q9Y5B9 P25205
O75446 P42858
P04637 P05549
Q12906 Q9BQ66
Q15768 P54764
O95721 Q16623
P08246 P19320
Q99698 Q14974
Q6UWZ7 Q96RL1
P50336 P54257
Q9BT88 O60506
O95841 Q02763
P05549 P25054
P07996 P24593
P30408 P68366
P00533 P42224
P24158 P30740
Q14722 Q12959
P15391 Q07889
Q96L34 Q9NPB6
P18206 P68133
P59665 P59666
P01127 P16234
O95197 Q9NQC3
Q96RK0 Q96C36
P12277 Q96DX5
P60880 P63027
P28476 P17252
P68400 Q13541
P60953 Q13432
Q5RL73 P08670
Q7LBR1 P62491
Q9NRA0 P06241
P13611 P16070
Q8WX92 P05412
Q8WYH8 Q99728
Q8IUD2 P20340
Q96AE4 Q16891
Q9UBU7 P49736
Q9H9T3 Q15797
P11274 P20936
P00533 O15492
Q12972 Q9UKR5
Q15038 Q9P0T4
Q9UGI0 Q9Y4K3
P02787 P27797
P18031 P12931
P62805 O60907
P23443 P62753
P21246 Q9NRR5
P10071 P12755
P51946 P29084
P12757 Q9H5J0
Q9BUB5 P78344
O15259 Q7Z494
Q9NZW5 O75821
P07766 P43403
Q96RN5 P84022
P42224 P42229
Q53FA7 P26641
Q9BTT6 Q96RT1
P08697 P00488
Q9UKX5 P05556
Q9UBV8 O75340
O94829 P61326
Q02156 P04264
Q13351 Q92922
Q15834 O43663
Q96GW7 P03956
Q05655 Q16236
P46977 O75534
Q16288 P05412
O15467 P51681
O00203 O60566
P08047 P38398
O00141 P16220
P19438 Q06124
P03372 Q9Y6C9
Q12772 P28482
Q96IZ0 O43293
Q8TDW5 P51159
O43150 Q9UKS6
Q07817 P99999
P17482 Q09472
Q96KJ9 P99999
P00734 Q04756
Q9Y692 P63279
O14717 Q9BVJ6
O60941 Q9NRG1
Q9P2J2 Q9H1I8
P26718 Q9BZM4
P19784 O43896
Q96GM5 Q13137
P16104 P49959
O60383 Q9BX70
Q9H270 Q9NRW7
Q9ULZ3 P11831
P06241 P24666
Q9UBU7 O95777
Q16594 Q16514
Q9UQC2 O43561
P84090 Q96ID5
Q9UI36 P63279
P26641 Q96D98
Q13571 Q7Z6Z7
P05556 P98160
P54253 P26368
P22459 Q13424
O95837 P41146
P61981 Q96II8
Q12933 Q13137
Q8IUM7 O00327
P26885 P11171
P01138 P08138
P61978 Q15424
Q04637 P06730
P20265 P56693
Q9Y6Q9 P13631
O14654 P46108
Q96L34 Q8ND90
P50995 P30626
Q15047 Q14181
O95630 Q92783
P49354 P62745
Q12959 P68133
P62508 Q92786
P11362 Q13239
P84103 O14893
P07949 P39905
Q16543 P11802
Q12962 Q15542
P35968 P29350
P45984 O43521
P24941 P10244
O60925 Q9P2H0
Q13224 P35609
Q9Y3F4 O15105
P49768 Q9UM47
P51116 Q7Z7J5
P17612 Q14978
P49841 Q13418
P10451 P16070
P12931 P31749
Q8TAS1 P16949
Q8WX92 P03372
Q8NDI1 Q9H4M9
Q14566 Q13416
P17542 P23771
P15498 P61586
P49841 P49715
Q8IU60 P20618
Q15392 P04637
O43184 P35609
Q08999 Q02363
P63167 Q01813
O95997 P46783
Q9UBI1 Q9Y3M9
Q96MP8 O43747
P32927 P10721
P11597 O15145
O43464 P47710
O43768 O95376
O00562 P53350
Q9Y597 O95777
Q5SXM2 P14859
Q5MNZ9 P03372
P41134 P15172
O60494 P98164
Q9NPD3 P14550
Q86VQ1 Q9UK41
Q13061 P23327
O43395 Q9C005
P78552 Q8TDR0
P68400 P24534
O15105 Q9UII5
P18848 Q9BWC9
P52803 P29320
P38398 P78396
P02671 P00488
P20248 P62324
Q12879 O14490
Q9BTE0 Q9P2H0
P07910 P51116
Q13123 O00267
Q15366 P67809
P27824 P22888
P18847 P35638
P14778 P01584
Q9GZU2 Q12933
P19235 P16885
Q9Y2I6 Q9BUY5
Q15910 P15498
Q00169 P43146
Q92908 Q09472
Q13009 P29317
Q9UK53 P12004
O95267 P01112
Q8N6T3 Q99418
Q8N4C8 P68363
P06239 P20963
