P15938 Q12354
Q06411 P38346
P25639 P42833
P35203 P04385
Q06142 P39979
P31376 P40054
P04840 P50942
Q12343 P38633
P43612 P19882
P12612 P26309
P32600 P41318
P32366 P53894
Q00916 Q03532
P00830 P32453
P36130 P38755
P39678 P38889
Q12377 P38886
P31384 P34909
P38555 P36125
P09624 P20967
P22215 P25297
P16151 P10566
Q06819 P49704
P38191 P15992
P47135 P27654
P15992 P25342
P53048 P40548
P38805 P53136
P38886 P23639
Q06142 P05373
P40069 P39705
Q06822 P06774
Q04062 P53745
P53145 P38344
P47184 Q02574
P09232 P53622
Q06321 P38064
P05694 P32911
P39998 P30822
P25625 P38822
P47154 P49018
P04173 P29295
P38886 P22141
Q12377 P38316
P40036 P38229
P53231 P06787
P53905 P57743
P32916 P06787
P32375 P36528
P04397 P38328
Q04602 P34230
P29295 P25567
P47135 P53300
P25297 Q06451
P09624 P53323
P38249 P06103
Q12021 P42943
P35729 P49686
P38822 P32790
P06838 P00447
P47122 P39015
P32797 P02829
P53861 P36160
P32529 P32602
P39009 P32526
P32368 P36057
P07991 P32911
Q04748 P13186
P39730 P38431
P14742 P32502
P53337 P33767
Q06142 P41940
P16658 P50277
P32523 P32523
Q03124 P43609
P23561 P08018
P29055 P32494
Q03973 P38151
Q08920 P07260
P32583 P53335
P13434 P38751
P38782 P25046
P13186 P39008
Q07657 Q03834
P17214 P32797
P04786 P21538
P00924 P87263
P00812 P14742
P32588 P40561
Q00916 P09547
Q12250 Q12377
P40917 P53303
P40070 P32604
P46961 P10614
Q06152 Q04437
P32863 P19882
P06786 P10080
Q05016 Q02821
Q99383 P32493
P38784 P32366
P26309 P40958
Q08496 Q01454
Q12035 Q99176
Q07657 Q12329
Q12159 Q04149
P12709 P38197
P46677 P13393
P47093 P53905
P34221 P00830
P02557 P31378
P30657 P23595
P20435 P16370
P09119 P33299
Q04233 P52919
P33334 Q12309
Q07824 P53584
P36160 P35178
Q12377 P43593
P00924 P07347
P40460 P32776
P40970 P40069
P53254 Q08162
P36149 Q99394
P49957 P38080
P07278 P05986
P42843 P22137
P32944 P32562
Q08204 Q12306
P16140 Q00776
P38149 P38987
P30665 P24279
P40069 Q04149
Q04338 P32854
P09064 P38249
Q06704 Q06704
P38173 Q02630
P39520 P32605
P23641 P39928
P16661 Q99190
Q06668 Q06490
P25342 P25389
P09119 Q03941
P32902 Q03246
P35177 P38811
P47129 P47129
P07272 P47031
P40465 Q12318
P04050 Q06632
P53885 P38910
Q07458 P22579
P09201 P09201
P53215 Q02821
P22214 Q00772
P31539 P40339
P10614 P36044
P39977 Q06675
P06843 P40055
P16140 Q12510
P40509 Q12349
P08593 P40054
Q03048 P17555
P25644 P47093
Q06632 P39927
Q08471 P30283
Q02608 Q02630
P40582 Q04697
P40970 P23641
Q06604 Q08118
P40956 Q06892
P23337 P40050
Q02794 Q08754
P14540 P53196
P39108 P53112
Q08448 P38822
Q04304 P36013
P38115 Q12121
P40063 P50942
P02557 Q12152
P38792 P10507
P38987 P38820
Q02931 P40055
P38713 P17123
Q02895 Q02895
P21304 P39078
P22147 Q05580
P10080 Q07623
P35193 P25368
Q00362 P00924
Q04272 Q12483
P38996 P34160
P38798 P48412
P53632 P25567
P89105 P19524
Q04149 P25491
P47079 P26309
P29478 P38199
Q12417 P04173
Q07657 P25342
Q07811 P38996
P40413 P36130
P08431 P43601
P39515 P23644
Q02794 P40164
Q07622 P51862
P53196 P38348
P09624 P40856
P17967 P39743
P87108 P36046
Q07350 P53622
Q04372 P39079
P38987 P16387
Q12306 P24279
P32381 Q12446
P19262 P19262
Q06208 P26793
P40055 P39077
P02309 P05317
Q12223 P10869
P54837 Q04491
P40034 P40054
P28273 P31539
P35817 P32911
P22213 P36015
Q12499 Q07623
Q03973 P36068
P15180 P25694
Q06819 P32639
P02309 Q12341
P47093 P39998
P54791 P50874
Q06411 P40955
P09201 Q06142
P17255 P32350
P06843 P12385
P52286 P47822
P42843 P07251
P53861 P50094
Q12446 P25297
Q12107 Q04601
P18851 P39076
P17709 P25575
P53914 Q00776
P36123 P40956
P32432 P38123
P32496 P38737
P07255 P00427
Q04175 Q12531
P38333 Q08496
P32793 P47129
P22696 P19882
Q99181 P02557
P32349 P04051
P22147 P32828
P40482 P25385
P25451 P25043
P41800 P39722
P35718 P32349
P02994 Q03373
P47135 Q12408
Q03323 Q03012
P40007 P06774
P39928 P39743
P38708 P33322
P40452 Q12349
Q06163 Q03096
Q00816 Q00764
Q05933 P47117
Q08683 P53886
Q06142 P48837
P26309 P02557
P14291 Q12144
P38616 Q08273
P25586 P53914
P39685 P52593
P39014 Q12324
P11938 P29539
P07251 Q06287
P40357 P22214
P25342 P39954
Q07457 Q07457
P32366 P53967
P16151 Q03697
P16861 P25336
P04173 P06839
P38129 P23255
P38286 P40557
P36104 P00924
P40362 P36144
P32353 Q07824
Q12018 P02829
P38205 P09440
P40070 Q04149
Q12347 P52286
P41903 P14741
P38355 P38264
P32266 P87284
P28320 Q06091
Q12024 P40991
Q08649 P53201
P32342 P20424
P38439 P27692
P38011 P06105
P25644 P53130
P53538 Q06102
P26309 P47074
P21268 P20437
P38297 P39108
P36527 P31334
Q12016 P47128
P38993 P32569
Q12013 P39944
Q03735 Q08920
P38953 P15703
P52286 P24814
P46961 P38729
P13382 P32797
Q03824 P38112
Q05583 P04173
P46971 P47075
P35727 P40368
P38764 P22141
P19812 P32565
P30656 Q12250
P28320 Q08963
P31334 P25642
Q08965 P40991
Q02574 P36167
P32803 P46956
Q02864 P39956
Q04067 P41811
P12753 P06738
P38351 P17629
P40018 P33334
Q06665 P32628
P07248 Q12030
Q02336 P07248
P53256 P53843
P53256 Q05636
Q01919 P19882
P10964 Q01080
P53894 P50101
P49018 Q04697
P52553 P40045
P43563 Q08206
P38903 P31383
P28000 Q00582
P25623 P32790
P47135 P30283
P53254 Q04217
P40515 P36130
P40574 P22149
Q05933 P33204
P39011 P39955
P38319 P25491
Q02554 P14922
P38842 Q04697
P38779 P38112
P32387 P53875
P38816 Q05930
P33334 Q06406
P11433 P53175
P48562 P32873
P29496 P29469
P28000 P12695
P25635 P40362
P08431 Q03897
P22137 P22336
P32499 P48837
Q12415 P32367
P54860 Q12003
P32502 P46671
P19880 Q12349
P53254 P45818
Q06053 Q02630
Q12443 Q08227
P38264 P07286
P38247 P53290
P04051 P43609
P07270 P20052
Q12159 Q12159
P25046 P20134
P38883 P53877
P47038 P39515
P50273 Q99383
P27801 P02829
P39706 Q03920
P22133 P39692
Q02260 P32524
P14907 P33418
P38304 P41896
P22204 P36130
P32324 P14741
P53083 Q92328
P35845 P80667
P33399 P07260
P40094 Q12349
P04819 P19262
Q03656 P53091
P27692 P38351
P06775 P25358
P47093 P32496
P37838 P15646
P21375 P09624
P38741 P22353
P46944 Q03630
P16661 P35723
P26783 P47135
Q12433 P53550
P53916 P25694
Q08496 P34241
P22133 P17967
P38129 P11747
P25357 P40480
Q08968 P53044
P53136 P38789
Q03048 P53933
P43639 P53857
P40054 P39108
P30665 P32354
P38886 Q04062
P33332 P50101
P22224 Q06245
P38885 P53932
P14693 P53934
P10080 P53323
Q00916 P40513
Q07904 Q04651
P47117 P29055
Q12164 P14772
P33311 Q12039
Q08438 P53126
P32591 P18480
Q12287 P47135
Q12060 Q12060
P24482 P27344
P37838 Q02892
P22138 P23595
P38319 P05150
P50080 P38264
P53271 P53726
Q03697 P17214
P57743 P33334
P07991 P18888
P40362 P38705
P06787 P40965
P39743 P32767
P29055 Q12374
Q02630 P34078
P34252 P15790
P40070 P38960
P40070 Q07350
P07342 P25343
P54964 P52490
Q12468 Q12250
P40548 P38842
P53316 P39729
P04046 P31373
P41930 P16603
Q05778 P36040
P34227 P40960
P06787 P22515
Q03690 P04786
Q03957 P02309
Q04149 P39676
P37263 P38987
P40988 P47113
P14306 Q02199
P38011 P07342
P40971 P80667
Q99314 P32447
P32471 P38987
P38874 P38874
P31379 P49018
P36113 P04385
P53584 P27654
P53983 P47135
P32861 P07703
P07260 P38199
P47135 P07274
Q04437 P19882
P38132 P24279
P13517 P38307
P53050 P32902
P32502 Q04048
P17709 P38615
P35182 P38427
P32468 Q04477
P22216 P47037
P32601 P47093
P36525 P29055
P47045 P53105
P46956 P04817
P14736 P43601
P53323 P23641
P07703 P14540
P40534 Q04675
Q02866 P33419
P02829 Q12449
P09232 P06782
P43593 Q04062
P25302 P09959
P50875 Q02336
Q12415 P33339
P19735 P05694
P36048 P32357
Q02983 Q12349
P46655 Q04660
P25635 Q02354
P32468 P35691
P43565 P39954
P34730 P20437
P38903 P38325
Q12206 P20676
P46954 P39073
Q00776 P14742
P57743 Q03338
P43598 P40897
P38165 P43601
P35209 P38921
P41811 P18239
P25299 P53897
P32599 P15891
P38930 Q04067
P17119 Q12045
P06839 P07251
P33767 P41543
P02557 P32863
P29055 Q12415
P53045 P39532
P53261 Q07623
P38316 P02557
P40010 P40991
P06243 Q12329
P20435 P27999
P38799 P28627
P47093 P40089
P00830 P40856
P32606 P38203
P32569 P19659
P06738 P31374
Q12349 P36076
P32911 P09436
P38249 P12385
Q04217 P46948
P34730 Q00776
P06168 Q00772
O13577 Q06224
P32783 P08518
P19659 P36145
Q06629 P53973
Q02825 P12385
Q12250 P38633
P38772 P40161
P53195 P48837
P53856 P32569
P23292 P28239
P15703 P32381
P40548 P32368
P38282 Q00723
Q04748 Q04437
P40078 P40693
Q08601 P32569
P19882 P06839
Q12390 Q12390
P43535 P33892
P42945 P53254
P42943 Q12510
Q08273 P04173
P04050 P36100
Q04177 P32324
P39533 Q08273
Q01389 Q00772
P05694 P17157
P15992 P38885
P22138 P40422
P36149 P46944
P50946 P25366
P02994 P40469
Q04437 P25379
Q06091 P32523
P20053 P53905
P36068 P47049
P14680 P38013
P29468 P35728
P40077 P40070
P14120 P38822
P05694 Q00246
P32562 Q12158
P46965 P14906
Q12402 Q12445
P53125 P11633
P40364 P40348
P39078 P18851
P36130 P39077
P29055 P47032
Q12018 Q08273
Q99247 P36016
P23595 P25451
Q06164 P15992
P32354 P29469
Q03465 P23724
P10849 Q12473
P47017 P39943
P39952 Q08521
Q06644 Q12136
P47113 P26448
P32641 P39078
P17255 P40354
P41811 Q12443
P38111 Q03834
P53178 P53178
P40352 P06839
P32583 P36103
P34077 P53271
P38431 Q05775
P38842 Q12006
P09880 P15790
P32324 Q12004
P53927 Q08387
P29055 P87282
P32457 Q07657
P32562 P19882
P34215 Q02630
Q08204 Q04477
P23900 P53173
P35181 P36000
Q03201 P28817
P09032 Q02866
P40971 P40030
P39706 Q03012
P53090 Q12380
P15424 P40054
P39935 P12687
P25293 P53197
P41544 Q03697
Q04177 Q12329
P53859 Q05636
P49018 Q03655
Q08273 Q06211
Q02724 P22803
P43572 Q08649
P50094 P53632
Q12379 P25367
P07703 P17255
P31244 Q05016
P25644 P39517
P39707 Q02825
P47122 P22204
P10662 P33759
Q12291 Q07418
P37297 P41913
Q02892 P40078
P12385 P30771
P28000 P02994
P32602 Q08931
P06168 P41811
P32502 Q08904
P53633 P53633
P43535 P25454
P19262 Q03690
P19262 P33202
P16140 P41695
P32836 P11745
P25584 P38909
P38196 P40016
Q04048 P33334
P00358 P43612
P25491 P52490
P35177 P50875
Q04599 P15790
P19882 P26755
Q02821 P41940
P38804 Q00245
Q06686 P41812
P38523 P35191
Q12522 Q12389
Q03944 P47079
P38203 P41940
P38987 Q08931
P40050 P17214
P32458 P32457
P40364 P41811
Q07350 P19882
Q06813 P05318
P38842 P50944
Q08601 P25694
P37303 P37303
P16522 P08638
P38219 P40160
P47135 P36163
P42073 Q01329
Q03012 P38337
P07560 P39958
P07260 P04397
P42944 P53973
P21190 P21190
P18562 P32353
P19882 P25646
P40073 Q12446
P04173 P40316
P46669 P32529
Q03834 P35187
P33322 P15992
P29469 P06243
P46655 P07703
Q06675 P38729
P25333 P17157
P40971 Q04083
Q12306 Q03652
P32501 P09064
Q04399 P46965
P33122 Q02630
P22082 P38064
Q03776 Q07418
P22137 P32911
Q12449 P38316
P57743 P47170
P50091 P53050
P38203 P40364
Q06410 P38316
P07251 P39706
Q06410 Q03654
P43601 Q05946
P10080 P53632
P18562 Q12154
P38262 P11978
P38782 Q12124
P39743 P32855
P25694 P48363
P29295 P34163
P36107 P38228
P38127 P38288
P53313 P53742
P33448 P38247
P21243 P23638
P13393 P53067
P38931 P25655
P20676 P32864
P53885 Q04408
P38629 P40339
P47113 Q06010
P06243 P00830
P53134 Q06497
P32911 P19882
P20053 P54999
P38439 Q04121
P39078 Q12510
P25586 Q02354
P21268 Q03690
P39981 Q08646
P46948 Q08285
P53048 P38264
P38316 P38993
P42839 P38264
P11075 P33307
P16658 P39707
P47054 P38080
Q04660 P36160
P38590 P15019
Q12018 Q06682
P15646 P33750
P21374 P47135
P53080 P38822
P43588 P23639
P51534 P06787
P32570 Q99278
P32263 P41811
P40018 P32639
P26793 P32366
P22768 P39743
P40460 P38236
Q05871 Q02821
P38781 P43537
Q92316 P48439
P24719 Q06891
P43573 P20434
P34216 Q12161
P19358 Q12004
P32569 P41896
P15790 Q04373
Q04437 P40050
P39704 P17898
P21242 P40302
P27515 P35729
P17629 Q02821
P40550 Q03973
P19735 P12709
P46949 P53933
P25635 P36144
P53133 P47093
Q07623 P40010
P13434 P25491
P15992 P11978
Q92331 P34110
P25491 P25846
P43563 P32861
Q12045 P32915
Q07350 P50101
P28496 P49018
Q06164 P17709
P38316 P08518
P47135 P32828
P04386 P19659
P36224 Q02199
Q04002 P40090
P32529 Q02574
P36516 P38064
P25491 Q03899
Q12306 P32828
P09624 P32468
P04821 P38272
P28320 Q02642
P53918 P04817
P38132 Q12306
P32771 P40054
P14741 P36139
P38256 P13517
Q07800 P12611
P14907 P33331
Q12159 P40856
P26754 P32787
P06843 Q04373
P08458 P16387
P13134 P46961
P39705 P21827
P33203 Q00539
Q07350 P36056
P07703 P16861
P38068 P38153
Q99344 Q12059
P38843 P38992
P02557 Q03944
P38750 P40089
P16140 P38316
P14291 P38798
P38634 P20486
Q12233 P36068
P07251 P40856
P53934 P53050
P35723 Q06451
Q04660 P41835
P38068 Q12154
P32521 P39013
P05150 Q02574
P52891 P25694
P16140 P25342
Q07684 P40956
Q06199 P53742
P33334 Q12186
P53632 P25293
P31688 Q00764
P14164 P31244
Q02774 P38842
Q12026 Q06406
P46956 P38356
P38792 Q08162
P34077 P39685
P52286 P39531
P32490 P05150
P38788 Q08496
P32366 Q04603
Q06208 Q12044
Q12136 P32578
P53633 Q02821
P52286 Q12018
P46956 Q04437
P38153 P02994
Q03774 P04173
P38228 P33421
P35691 P17709
P22216 P16474
P21705 P21657
Q03899 P19882
P07342 P12754
P16387 P13902
Q02794 P37297
P07271 Q12306
P38729 P43562
P25384 P38876
Q03687 Q04432
P36090 Q03029
P47027 Q04377
P47079 P05317
P07991 Q06178
Q06208 P53979
P28626 P11745
Q12468 Q04368
P14540 P04051
P53550 Q12517
P38333 Q02354
P20048 Q07376
P32842 P04817
P13186 Q00772
P53933 P47068
P53040 P11747
P38883 P53927
P11633 P09938
Q12379 Q03640
P47083 P53254
P34252 P53622
Q05471 P06777
Q07418 P19263
P38354 P40526
Q02821 P38122
P43321 Q02046
P26448 P38785
Q12349 P40471
P53337 Q06451
P29468 P39081
P40481 P40050
P47017 P47093
P38629 P16140
Q12347 P46943
P40956 P40188
P47084 Q08193
P38729 P25360
P47120 P39076
P32913 Q92331
P40563 P28495
Q07967 P12612
P12904 P25575
Q04660 Q07623
P37296 P41807
P50875 Q12060
P08153 P07269
P16661 P25297
P36118 P32788
P40971 Q03899
P39517 P39016
Q03714 Q12019
P12686 P40054
Q02821 P53335
P40048 P40988
Q07829 P47135
P53271 P40094
P38282 Q12368
P47093 P39992
P38328 Q06208
P36160 P53742
Q08208 Q07623
P40089 P42942
P47130 P54999
P53112 Q12215
P25441 P35718
P38705 P40517
P06787 P23301
P28006 P32325
P34160 P33203
P07260 P33308
P04173 P07260
P38132 P32381
P23595 P38902
P32602 Q12309
P30665 Q08032
P36224 Q07887
P53979 P25299
Q03973 Q08004
P41318 P42943
P38882 P25635
P32381 P40364
Q12306 P25694
P40969 P22216
P40895 P14741
P38910 P34221
Q03899 P38883
P32582 P15873
P22133 P04173
P25298 P42841
Q03790 Q03790
P20484 P40991
P19735 Q03690
Q12321 P19659
P22696 P07278
Q12124 Q08278
P33759 P53254
P40483 Q12398
P52918 P25694
P53720 Q08729
P25635 P38333
P41800 P10614
P41834 P22213
P38930 P40070
P42943 P38191
P38871 P38987
P25299 P33751
P40045 Q04100
Q12267 Q07930
P32585 P04386
P14741 P32582
Q06668 P40069
P54860 Q04311
P28496 P53322
P43588 P40327
Q08269 P53190
P35195 Q12306
P15790 P06843
Q02821 Q02629
P23561 P39958
P41811 P19882
P25451 P21243
P15790 P38911
Q06410 P47057
Q03559 Q02574
P32502 P38122
P21243 P23595
P42838 P12612
Q06208 P40335
P38915 P35177
P46965 P15367
P53236 Q99181
P21825 P25635
P39940 P08518
P38074 P53292
Q02630 P41698
P04817 P53337
P32570 P33308
Q02724 P25354
P07260 P16474
P39730 P32497
P32628 P40016
Q07807 P38828
P35206 P40350
P38319 P16140
P41808 P35191
P32565 P26188
P06104 P43132
P47135 P38429
P32911 P16120
Q06406 P26725
P39077 P26309
P40956 P54070
P07244 P38316
P06777 Q12098
P32504 P47134
P53274 Q12291
P12709 P33301
Q08649 Q12432
Q08387 P38691
P17065 P07560
P20486 P36167
P41811 Q12329
P32366 Q12059
P25344 P54999
P32831 P32770
P17255 P16140
P35206 P46961
Q12527 P35193
P33338 P15891
Q99288 P39009
Q05471 Q06707
P25491 P38262
P35194 Q05636
Q02866 Q12134
P32367 P29056
Q12018 P16140
O13553 P53910
Q12506 Q06208
Q08685 Q06632
P32263 Q02866
P32564 P53333
P00830 P52491
P25358 P53322
P41913 Q12489
P54791 P29469
P36003 P38260
P32767 P20676
Q06407 Q05785
Q06624 Q12306
P38801 Q08162
P43639 P22579
Q00684 P12709
Q02979 P53215
P48232 P53271
P22137 P14904
P19524 P08964
Q06142 P33419
P38862 P38862
P43574 P53847
Q06672 P41812
Q06208 P25619
P22517 Q04969
Q08144 P11972
P53914 P53235
P35177 P32570
P40464 P25639
Q06344 P36160
P53834 P48510
P38764 P39729
P38789 P38112
P40348 P40069
P53633 P16151
P38129 P31334
P32829 P32829
P32572 P01120
Q12329 P53323
Q02732 P32504
P43623 P40054
P16120 P19735
P53861 Q12024
P07259 P22204
P07259 P40565
P40038 P47029
P03069 P13393
P28004 P49955
P35734 Q02574
P33767 Q02795
P04147 P53883
Q08491 P47093
Q03899 Q06834
P19735 Q12230
P40582 P06775
P53039 P35197
P02829 P19735
Q02931 P17709
Q02630 P36076
P41811 Q06103
P08518 Q06697
Q12055 Q05946
P26188 P33202
P28007 Q6Q547
P26786 Q04779
P53739 P12688
Q00776 Q12028
P38333 Q06512
Q04048 Q03654
P21242 Q12245
P23642 P33767
P07703 P39954
P51862 P54867
Q05930 Q06813
P01097 P00830
Q99190 Q06135
P47064 Q08951
P34110 Q12024
P42947 P10356
P06787 P00830
P32829 P46946
P06777 P25847
P53930 P28496
P40302 P30656
P14907 P36525
P07270 P07269
P38828 Q01159
P40302 P38886
P18851 P19882
P12709 P53043
P15992 P53196
P11938 Q12030
Q06648 P25651
P36144 P53254
Q04675 P35691
P16523 P32569
P00830 Q06405
Q02555 Q02821
P46961 P38264
P38286 P38819
P18239 P53323
P32468 P00830
P25303 P20053
Q12749 P34760
P38729 P38767
P32803 Q05359
P25808 P40991
P39703 P54786
P38346 Q02794
Q12246 P40045
Q04437 P35732
O13563 P38634
P53378 Q04493
P07260 P21951
P25491 P36009
P11972 P52919
Q12324 Q02574
P38993 P28496
P06738 P22204
P38987 P33202
Q08931 P38555
P33122 P36528
P19659 Q12124
Q08207 Q12507
P06777 P05150
P36116 P39904
P27929 P28817
Q00402 Q03954
Q02821 P40066
P38249 Q12522
P47025 P47025
Q08683 P53068
P07251 P15873
Q05080 Q06410
P39935 P15790
P53323 P28274
P38861 P05317
P40069 P42838
P30822 P30822
Q04338 Q12241
P52918 P27705
P07251 P29295
P32628 P04050
P47015 P38843
P32432 P53687
P25491 P06774
P22138 P36010
P47154 P29465
P25299 Q07629
P30902 P07251
Q08649 P53930
Q12349 P53222
Q04399 P38325
Q02554 P38439
P05150 P47116
P38987 O13329
Q08723 P06839
P57743 P49704
P38264 P53838
P22137 Q07350
Q01329 Q00453
P36084 Q12186
P14741 P38708
P32626 P38633
P20459 P32501
P53846 P04840
Q02205 P41811
Q04869 P31244
P40010 P53156
Q04477 P53159
P53927 P40010
P25294 Q00772
P24279 Q08496
P07703 Q12449
P38217 P00924
Q00684 P06700
Q06648 P32468
P32776 P37302
Q12440 Q08683
Q08649 P38811
Q12021 P19882
Q07986 P36147
Q00776 P25586
P38274 P34244
Q04179 P25637
Q04779 P22579
P02994 P06787
Q03497 P12709
P22147 P42843
Q03660 P32893
P40480 P36124
P38767 Q12489
P53039 P53093
Q12159 P06102
P39718 Q08215
P09232 P38217
P40956 Q08789
Q04602 P32331
Q05934 P48581
P53894 P25303
Q99314 Q08961
P19735 P08524
P38740 P47135
P39742 P32341
P40956 P25382
P28320 P47079
P06242 P37366
P43564 Q02979
P46985 P32629
Q03375 P19882
P23641 P05066
Q12389 P38789
Q05809 P32473
P24869 P20486
P38729 P14906
P22276 P32657
Q04226 P47135
P32353 P39742
Q12389 P15790
P40091 P39523
Q07623 P32892
Q06001 P05150
Q03656 P40507
P40302 P43588
P31384 P00830
Q07458 Q03010
P53550 P38065
P38843 Q06675
P12904 P43637
P06779 P00830
P43595 P38199
P38822 P46956
P22204 P12709
P40561 Q01560
Q06096 Q12125
P38130 P38217
P19358 Q12152
P22082 P32480
Q12517 P38254
Q99395 P53935
Q00362 P02994
P39083 P38276
P53303 P20437
P47135 P50106
P47005 P52286
P32368 P49018
Q06142 P32499
Q07878 P38815
Q07528 P80667
P19735 Q06819
P38811 P53930
P50623 P25454
P33322 Q07623
P40339 P00830
P25298 Q06632
P02829 P32259
Q04867 P40034
Q12223 P47079
P20053 Q12329
P19262 Q07732
P53090 P19735
P54790 P54784
P25358 Q12372
P38172 Q06208
Q12046 P28004
P40395 Q99260
P17106 P40969
P38431 P09064
P54837 P15303
P38859 P26793
Q00772 P04173
P34162 P13393
P46680 P38260
P16861 P50102
P38691 P12611
Q99260 P53258
P53437 P38204
P33330 Q12349
P38764 P36003
P17157 P07170
P39523 P27895
P53093 P53845
P09547 P38153
Q08387 P40991
Q03759 P47096
P23293 Q05949
Q99257 P04147
Q05637 Q06150
P32529 Q00684
P16474 P40960
Q00684 P19882
P28274 Q04477
P38238 P08525
P49686 P47119
Q06598 O13562
P06738 P38882
Q12255 P38182
P41318 P19882
P53300 P38238
P13902 P25491
Q00772 P35191
P23641 P38316
P16664 P40395
Q00764 Q06686
P47079 Q08496
P40057 P36108
P47017 Q06406
P38959 P20795
P32481 P39954
P33331 P32836
P07257 P07256
P36029 P28496
P06168 P19735
P15705 P02829
P25298 P38262
P16639 P40856
P12709 Q04437
P52917 P39929
P00830 P38347
P53599 P28274
P26449 P34730
P47124 P50108
P53197 P34730
Q12050 P38251
P24583 Q02795
Q03790 P34077
Q05521 P38745
Q02821 Q99312
P06168 P39076
P53917 P31383
Q99383 Q07381
P32494 P03069
Q02821 P53050
Q05471 P53930
P49686 P32499
P25588 P53840
P57743 P22147
Q04062 P38348
P48837 Q12262
P04821 P02829
P22579 Q08923
P22203 P07703
P38286 P53954
P40010 P37838
Q07549 P30656
P12753 P39013
P32914 P22138
P53079 Q06096
P05694 P22204
P12683 P53045
Q12330 P09959
P53599 P34730
P38203 P32074
P28817 P47150
P38286 P48813
Q99247 P07259
Q08601 P02994
P28007 Q12754
O94084 P28004
P32829 P53971
Q06675 Q06675
P04385 P38987
P47135 P53970
Q12380 P38316
P52891 P41921
P32527 P27614
P38265 P38313
P50086 P22141
P40362 P17255
Q04437 P25451
Q12230 P40328
P30656 P38886
P40335 P32913
P07251 Q05946
Q07395 P26321
P40055 Q06078
P12688 P32859
P38886 P23724
P30822 P47166
Q01590 P22214
P33299 P50086
P02309 P39984
P32864 P39969
Q12024 P53927
P25635 Q08492
P38231 P32569
P40070 P22579
P48582 P47017
Q02774 P46965
P38837 P38356
P43609 Q06168
P15179 P05066
P25293 P40971
P29055 P38429
P08678 P17555
P38737 P39743
P33296 P07251
P38873 P15992
P10662 P28817
Q12487 P38064
Q12493 P38238
Q12365 P38751
Q07897 Q02574
P06102 P25655
P40567 Q02574
Q12349 P22135
P14904 P00924
Q01159 P32473
P34730 Q03373
Q03654 P33334
P38068 P47135
O13543 Q02630
P39937 P25694
P11710 Q12407
P06700 P53628
P39706 P40054
Q12034 P53039
Q02260 P53090
Q02821 Q06137
Q04183 Q03337
Q03935 P25293
P39929 P39929
P33201 Q12522
Q06142 P25293
P06838 P25847
P29055 P38249
P32906 Q03776
P11433 P40325
P53843 P14741
P34162 Q02336
P35190 P17157
Q04868 Q04868
P03069 Q02336
P37838 P53927
Q04660 P38779
P53973 Q06623
Q06675 P53211
Q05787 P39986
Q03373 P20437
P38328 P32381
P42223 Q12134
P08518 P26188
Q12445 Q02774
P28519 P04050
P29469 P32875
P53331 P53720
P30656 P21242
P14724 P38042
P33338 P32793
Q02795 P87284
O13532 P47128
P04807 P04807
P19882 P38769
P36048 Q12330
P20676 P30402
P38819 P53337
P47135 P32339
P40971 P53267
P33334 P32357
P39954 P53897
P16140 P53894
P50086 P38886
P32610 P52286
P25382 Q08004
Q12462 Q12462
P22133 P38708
Q00772 Q12329
Q02821 P39979
Q06410 Q99373
P38822 P28495
Q06218 P04819
P16140 Q00362
P33895 P17119
P29704 Q03790
P32529 P37298
P04173 P33322
P38822 P25385
P29055 P48527
Q04437 P02994
P38932 P36015
P29055 Q04869
P04807 Q12749
P38777 P47135
P25605 P13517
P38191 P25491
P53540 P32380
P38302 P32523
P22204 P46655
P38987 P05694
P36084 P32909
P27999 P38958
P38191 Q12508
Q99332 P12612
P40548 P33335
P02557 P06243
P33759 P53874
P39008 P25655
P38886 P32496
P16861 Q12289
P41811 P07251
P04817 P46961
Q12277 P53256
P19882 Q00362
P48236 P40582
P36074 P47135
P02557 P39014
Q04119 P40070
P33334 P53333
P53323 Q12377
P40485 Q02784
P47135 O13554
Q06525 Q08687
Q02931 Q07350
P46963 Q12427
Q07418 P48837
Q03973 P11747
Q02574 Q12164
P32458 P38691
Q05518 P34216
P41896 Q99278
P34234 Q02574
Q03219 Q02805
P47037 P40091
P06786 P33890
P14772 P47093
Q6B0Y7 P25351
Q12509 Q03388
P20795 Q03308
P16140 P47104
Q12460 P40055
P29055 Q07457
Q12330 Q06217
Q04839 P32793
P40051 P22336
P46655 P25454
P47092 P53934
P53901 P32790
P53861 Q12230
P35194 Q12176
P53378 P39723
Q06410 Q03338
Q07084 P53599
P47005 P04387
P49955 Q12330
Q06406 P49960
Q04675 P18239
P40553 P40956
P32641 P07251
P24719 P04397
P24279 P29496
P24583 P11710
Q12159 P15790
P25379 Q04377
P39078 P42841
P27692 P34087
P35193 Q99394
P32259 P25046
P50101 P47047
Q12420 P47093
P39723 Q00916
P53043 P16622
Q12021 P39009
P53311 P32793
P35191 P35191
Q12349 P34078
P28000 P00830
Q07657 P19262
P17255 P06839
P57743 P47093
P32618 Q07457
P25379 Q06834
P32502 P07342
P33401 Q12223
P07251 Q12250
P04819 P00830
P06774 P32582
P20457 P38691
P20435 P07703
Q00916 Q03782
Q03441 P39001
P23641 P41318
P38428 P04817
P39108 P15992
P20676 P32324
P13574 Q03373
Q12017 P47003
P17967 P15790
P14540 P32457
P22141 P53196
P38771 P38987
P32569 Q02574
Q04477 P32481
Q06640 Q12018
